hsk_key	source_word	simplified	ML	example_ML	KK	example_KK
533:宾馆	宾馆	宾馆	ഹോട്ടൽ; താമസസ്ഥലം	ഞങ്ങൾ വിമാനത്താവളത്തിന് സമീപമുള്ള ഹോട്ടലിൽ താമസിക്കുന്നു.	қонақүй	Біз әуежай маңындағы қонақүйде тұрып жатырмыз.
534:冰	冰	冰	ഐസ്; മഞ്ഞ്	കപ്പിൽ ഐസ് ഉണ്ട്.	мұз	Кеседе мұз бар.
537:病人	病人	病人	രോഗി	ഡോക്ടർ ഒരു രോഗിയെ പരിശോധിക്കുന്നു.	науқас	Дәрігер бір науқасты қарап жатыр.
538:不但	不但	不但	മാത്രമല്ല	അവന് ചൈനീസ് മാത്രമല്ല ഇംഗ്ലീഷും സംസാരിക്കാൻ കഴിയും.	тек қана емес	Ол қытай тілін ғана емес, ағылшын тілін де сөйлей алады.
539:不见	不见	不见	കാണാതാകുക; ഏറെ കാലം കാണാത്തത്	നാളുകളായി കണ്ടിട്ടില്ല. അടുത്തിടെ എങ്ങനെയുണ്ട്?	көрінбеу; көптен көрмеу	Көптен көріспедік. Соңғы кезде қалайсың?
540:不用	不用	不用	ആവശ്യമില്ല; ഉപയോഗിക്കേണ്ട	നിങ്ങൾ എന്നെ കാത്തിരിക്കേണ്ട ആവശ്യമില്ല.	қажет емес; қолданбау	Мені күтудің қажеті жоқ.
541:不同	不同	不同	വ്യത്യസ്തം	ഞങ്ങൾക്ക് വ്യത്യസ്ത ആശയങ്ങളുണ്ട്.	әртүрлі	Біздің ойларымыз әртүрлі.
542:不久	不久	不久	അധികം വൈകാതെ; ഉടൻ	അധികം വൈകാതെ അവൻ ഷാങ്ഹായിലേക്ക് മാറി.	көп ұзамай	Көп ұзамай ол Шанхайға көшті.
543:不行	不行	不行	സാധ്യമല്ല; ശരിയല്ല	ഇന്ന് കഴിയില്ല. എനിക്ക് ക്ലാസ് ഉണ്ട്.	болмайды; жарамайды	Бүгін болмайды. Менде сабақ бар.
544:才1	才1	才	അപ്പോൾ മാത്രം; വരെ അല്ല	അവൻ രാത്രി പത്ത് മണിക്ക് മാത്രമേ വീട്ടിലെത്തിയുള്ളൂ.	сонда ғана; дейін емес	Ол тек кешкі сағат онда үйге келді.
548:草地	草地	草地	പുല്മേട്	കുട്ടികൾ പുല്മേടിൽ കളിക്കുന്നു.	көгал	Балалар көгалда ойнап жүр.
550:查	查	查	പരിശോധിക്കുക; അന്വേഷിക്കുക	എനിക്ക് ടിക്കറ്റ് വില പരിശോധിക്കണം.	тексеру; іздеу	Мен билет бағасын тексергім келеді.
554:常	常	常	പലപ്പോഴും	അവൻ പലപ്പോഴും ആ പുസ്തകക്കടയിലേക്ക് പോകുന്നു.	жиі	Ол сол кітап дүкеніне жиі барады.
555:常见	常见	常见	സാധാരണ കാണുന്ന	ഇത് സാധാരണ ചോദ്യം ആണ്.	жиі кездесетін; қарапайым	Бұл жиі кездесетін сұрақ.
556:常用	常用	常用	സാധാരണ ഉപയോഗിക്കുന്ന	ഫോൺ സാധാരണ ഉപയോഗിക്കുന്ന ഒരു ഉപകരണമാണ്.	жиі қолданылатын	Телефон жиі қолданылатын құрал.
557:常常	常常	常常	പലപ്പോഴും	ഞാൻ വൈകുന്നേരങ്ങളിൽ പലപ്പോഴും വായിക്കുന്നു.	жиі-жиі	Мен кешке жиі-жиі оқимын.
564:出院	出院	出院	ആശുപത്രിയിൽ നിന്ന് പുറത്തുവരുക	അവന് ഇന്ന് ആശുപത്രിയിൽ നിന്ന് പുറത്തുവരാം.	ауруханадан шығу	Ол бүгін ауруханадан шыға алады.
565:初中	初中	初中	താഴ്ന്ന ഹൈസ്കൂൾ	എന്റെ ഇളയ സഹോദരി താഴ്ന്ന ഹൈസ്കൂളിൽ പഠിക്കുന്നു.	орта мектептің төменгі сыныбы	Менің қарындасым орта мектептің төменгі сыныбында оқиды.
568:春天	春天	春天	വസന്തം	വസന്തം വന്നിരിക്കുന്നു, പൂക്കൾ വിരിഞ്ഞിരിക്കുന്നു.	көктем	Көктем келді, гүлдер ашылды.
574:大人	大人	大人	വയസ്കൻ	വയസ്കർ ഇരിപ്പുമുറിയിൽ സംസാരിക്കുന്നു.	ересек адам	Ересектер қонақ бөлмеде сөйлесіп отыр.
575:大小	大小	大小	വലിപ്പം	ഈ രണ്ട് വസ്ത്രങ്ങളുടെ വലിപ്പം ഒരുപോലെയാണ്.	өлшем	Бұл екі киімнің өлшемі бірдей.
576:大熊猫	大熊猫	大熊猫	വലിയ പാണ്ട	വലിയ പാണ്ട മുള തിന്നുന്നു.	үлкен панда	Үлкен панда бамбук жеп отыр.
577:大衣	大衣	大衣	മേൽക്കോട്ട്	തണുപ്പായതിനാൽ ഞാൻ മേൽക്കോട്ട് ധരിച്ചു.	қалың пальто	Суық болғандықтан мен қалың пальто кидім.
583:得	得	得	ലഭിക്കുക; നേടുക	അവൻ കഠിനമായി പഠിച്ച് അവസാനം ഉയർന്ന മാർക്ക് നേടി.	алу; иелену	Ол көп оқып, ақыры жоғары балл алды.
584:得到	得到	得到	ലഭിക്കുക; സ്വീകരിക്കുക	എനിക്ക് അധ്യാപകനിൽ നിന്ന് സഹായം ലഭിച്ചു.	алу; қол жеткізу	Мен мұғалімнен көмек алдым.
585:得分	得分	得分	മാർക്ക് നേടുക; സ്കോർ	ഈ കളിയിൽ ഏറ്റവും കൂടുതൽ പോയിന്റ് അവൻ നേടി.	ұпай жинау; ұпай	Бұл ойында ол ең көп ұпай жинады.
586:的话	的话	的话	എങ്കിൽ; അങ്ങനെ ആയാൽ	നിനക്ക് സമയം ഉണ്ടെങ്കിൽ നമുക്ക് ഒരുമിച്ച് പോകാം.	егер; олай болса	Уақытың болса, бірге барайық.
589:地	地	地	ഭൂമി; നിലം	ഈ ഭൂമിയിൽ പച്ചക്കറി വളർത്താം.	жер; топырақ	Бұл жерге көкөніс өсіруге болады.
593:电	电	电	വൈദ്യുതി	മുറിയിൽ വൈദ്യുതി ഇല്ല.	электр	Бөлмеде электр жоқ.
595:电子书	电子书	电子书	ഇ-പുസ്തകം	ഞാൻ ഫോണിൽ ഇ-പുസ്തകങ്ങൾ വായിക്കുന്നു.	электрондық кітап	Мен телефоннан электрондық кітап оқимын.
598:东北	东北	东北	വടക്കുകിഴക്ക്	എന്റെ വീട് നഗരത്തിന്റെ വടക്കുകിഴക്കിലാണ്.	солтүстік-шығыс	Менің үйім қаланың солтүстік-шығысында.
599:东方	东方	东方	കിഴക്ക്; കിഴക്കൻ ഭാഗം	സൂര്യൻ കിഴക്കിൽ ഉദിക്കുന്നു.	шығыс; шығыс жақ	Күн шығыстан шығады.
600:东南	东南	东南	തെക്കുകിഴക്ക്	സ്കൂൾ നഗരത്തിന്റെ തെക്കുകിഴക്കിലാണ്.	оңтүстік-шығыс	Мектеп қаланың оңтүстік-шығысында.
601:冬天	冬天	冬天	ശീതകാലം	ഇവിടെ ശീതകാലത്ത് വളരെ തണുപ്പാണ്.	қыс	Мұнда қыста өте суық.
602:懂得	懂得	懂得	അറിയുക; മനസ്സിലാക്കുക	മറ്റുള്ളവരെ എങ്ങനെ പരിചരിക്കണമെന്ന് അവന് അറിയാം.	білу; түсіну	Ол басқаларға қалай қамқор болуды біледі.
604:动物园	动物园	动物园	മൃഗശാല	ഈ വാരാന്ത്യത്തിൽ ഞങ്ങൾ മൃഗശാലയിലേക്ക് പോകുന്നു.	хайуанаттар бағы	Осы демалыс күндері біз хайуанаттар бағына барамыз.
606:短裤	短裤	短裤	ചെറുകാല്സരം	വേനലിൽ ഞാൻ പലപ്പോഴും ചെറുകാല്സരം ധരിക്കുന്നു.	шорты	Жазда мен жиі шорты киемін.
611:而且	而且	而且	മറ്റുമല്ല; കൂടാതെ	ഈ കട വിലകുറവാണ്, കൂടാതെ സേവനം നല്ലതാണ്.	әрі; сонымен қатар	Бұл дүкен арзан, әрі қызметі жақсы.
613:耳机	耳机	耳机	ഇയർഫോൺ; ഹെഡ്ഫോൺ	എന്റെ ഇയർഫോൺ മേശപ്പുറത്ത് ഉണ്ട്.	құлаққап	Менің құлаққабым үстел үстінде.
620:方便面	方便面	方便面	തൽക്ഷണ നൂഡിൽസ്	ഞാൻ ഇടയ്ക്കിടെ തൽക്ഷണ നൂഡിൽസ് കഴിക്കുന്നു.	тез дайындалатын кеспе	Мен кейде тез дайындалатын кеспе жеймін.
623:房子	房子	房子	വീട്; അപാർട്മെന്റ്	ഈ അപാർട്മെന്റ് വളരെ വൃത്തിയുള്ളതാണ്.	үй; пәтер	Бұл пәтер өте таза.
625:放假	放假	放假	അവധി ലഭിക്കുക	അടുത്ത ആഴ്ച ഞങ്ങൾക്ക് മൂന്ന് ദിവസം അവധിയുണ്ട്.	демалысқа шығу	Келесі аптада бізде үш күн демалыс бар.
627:放学	放学	放学	സ്കൂൾ വിടുക	സ്കൂൾ കഴിഞ്ഞാൽ ഞാൻ ലൈബ്രറിയിലേക്ക് പോകുന്നു.	сабақтан шығу	Сабақтан кейін мен кітапханаға барамын.
628:分开	分开	分开	വേർതിരിക്കുക	ദയവായി ഈ പുസ്തകങ്ങൾ വേർതിരിക്കുക.	бөлу; ажырату	Мына кітаптарды бөліп қойыңыз.
629:风	风	风	കാറ്റ്	ഇന്ന് കാറ്റ് വളരെ ശക്തമായി വീശുന്നു.	жел	Бүгін жел қатты соғып тұр.
630:封	封	封	കത്തുകൾക്കുള്ള എണ്ണിപ്പദം	എനിക്ക് ഒരു കത്ത് ലഭിച്ചു.	хатқа арналған есептік сөз	Мен бір хат алдым.
631:夫妻	夫妻	夫妻	ഭർത്താവും ഭാര്യയും; ദമ്പതികൾ	ഈ ദമ്പതികൾ വളരെ സൗഹൃദപരരാണ്.	ерлі-зайыпты; жұп	Бұл ерлі-зайыпты өте жылы жүзді.
632:服务	服务	服务	സേവനം; സേവിക്കുക	ഈ ഭക്ഷണശാലയുടെ സേവനം വളരെ നല്ലതാണ്.	қызмет; қызмет көрсету	Бұл мейрамхананың қызметі өте жақсы.
635:该1	该1	该	ചെയ്യേണം; വേണം	നാം ഇപ്പോൾ പോകണം.	керек; тиіс	Біз қазір баруымыз керек.
638:感到	感到	感到	അനുഭവപ്പെടുക	എനിക്ക് കുറച്ച് ക്ഷീണം തോന്നുന്നു.	сезіну	Мен өзімді аздап шаршағандай сезінемін.
643:刚刚	刚刚	刚刚	ഇപ്പോഴെ	അവൻ ഇപ്പോഴെ ക്ലാസ് മുറി വിട്ടു.	жаңа ғана	Ол жаңа ғана сынып бөлмесінен шықты.
644:高铁	高铁	高铁	അതിവേഗ ട്രെയിൻ	നാളെ ഞാൻ അതിവേഗ ട്രെയിനിൽ ബീജിംഗിലേക്ക് പോകും.	жоғары жылдамдықты пойыз	Ертең мен Бейжіңге жоғары жылдамдықты пойызбен барамын.
649:工作日	工作日	工作日	ജോലി ദിവസം	ജോലി ദിവസങ്ങളിൽ ഞാൻ രാവിലെ ഏഴിന് എഴുന്നേൽക്കും.	жұмыс күні	Жұмыс күндері мен таңғы жетіде тұрамын.
651:刮	刮	刮	വീശുക; ചുരണ്ടുക	പുറത്ത് ശക്തമായ കാറ്റ് വീശുന്നു.	соғу; қыру	Сыртта қатты жел соғып тұр.
653:关机	关机	关机	ഓഫ് ചെയ്യുക	ക്ലാസ് സമയത്ത് ദയവായി ഫോൺ ഓഫ് ചെയ്യുക.	өшіру	Сабақ кезінде телефоныңызды өшіріңіз.
657:关注	关注	关注	ശ്രദ്ധിക്കുക; ശ്രദ്ധ നൽകുക	എന്റെ കുട്ടിയുടെ പഠനത്തിന് ഞാൻ ഏറെ ശ്രദ്ധ നൽകുന്നു.	назар аудару	Мен баламның оқуына ерекше назар аударамын.
659:过节	过节	过节	ഉത്സവം ആഘോഷിക്കുക	ഉത്സവം ആഘോഷിക്കുമ്പോൾ വീട് സന്തോഷകരമാകുന്നു.	мереке тойлау	Мереке тойлағанда үй өте көңілді болады.
661:海	海	海	കടൽ	എനിക്ക് കടൽത്തീരത്തേക്ക് യാത്ര ചെയ്യണം.	теңіз	Мен теңіз жағасына саяхаттағым келеді.
663:好多	好多	好多	വളരെ അധികം; പല	കടയിൽ വളരെ അധികം പുതിയ പുസ്തകങ്ങൾ ഉണ്ട്.	көп; өте көп	Дүкенде көп жаңа кітап бар.
664:好久	好久	好久	വളരെ നീണ്ട കാലം	നാം ഏറെ കാലമായി തമ്മിൽ കണ്ടിട്ടില്ല.	ұзақ уақыт	Біз бір-бірімізді ұзақ уақыт көрмедік.
667:河	河	河	നദി	ഈ നദി വീതിയുള്ളതാണ്.	өзен	Бұл өзен кең.
670:红绿灯	红绿灯	红绿灯	ട്രാഫിക് ലൈറ്റ്	റോഡ് കടക്കുമ്പോൾ ട്രാഫിക് ലൈറ്റ് നോക്കുക.	бағдаршам	Жолдан өткенде бағдаршамға қараңыз.
672:后年	后年	后年	അടുത്ത വർഷത്തിന് പിന്നാലെയുള്ള വർഷം	അടുത്ത വർഷത്തിന് പിന്നാലെയുള്ള വർഷത്തിൽ ഞാൻ ചൈനയിലേക്ക് പഠിക്കാൻ പോകണം.	арғы жыл	Арғы жылы Қытайға оқуға барғым келеді.
673:后天	后天	后天	മറ്റന്നാൾ	മറ്റന്നാൾ ഞങ്ങൾക്ക് പരീക്ഷയുണ്ട്.	бүрсігүні	Бүрсігүні бізде емтихан бар.
675:花园	花园	花园	തോട്ടം	തോട്ടത്തിൽ വളരെ അധികം പൂക്കൾ ഉണ്ട്.	бақ	Бақта көп гүл бар.
676:画家	画家	画家	ചിത്രകാരൻ	ഈ ചിത്രകാരൻ വളരെ പ്രശസ്തനാണ്.	суретші	Бұл суретші өте танымал.
681:黄色	黄色	黄色	മഞ്ഞ നിറം	ഞാൻ മഞ്ഞ നിറത്തിലുള്ള മേൽവസ്ത്രം വാങ്ങി.	сары түс	Мен сары түсті үстіңгі киім сатып алдым.
685:或	或	或	അല്ലെങ്കിൽ	നിങ്ങൾക്ക് കാറിൽ അല്ലെങ്കിൽ നടന്ന് പോകാം.	немесе	Сіз көлікпен немесе жаяу бара аласыз.
687:鸡	鸡	鸡	കോഴി	മുത്തശ്ശിയുടെ വീട്ടിൽ കുറച്ച് കോഴികൾ വളർത്തുന്നു.	тауық	Әжемнің үйінде бірнеше тауық бар.
691:急	急	急	അവസരം; ആശങ്ക	ആശങ്കപ്പെടേണ്ട. കാർ ഇനിയും എത്തിയിട്ടില്ല.	асығыс; мазасыз	Асықпаңыз. Көлік әлі келген жоқ.
692:记	记	记	ഓർക്കുക; കുറിച്ചുവെക്കുക	ദയവായി എന്റെ ഫോൺ നമ്പർ കുറിച്ചുവെക്കുക.	есте сақтау; жазып алу	Телефон нөмірімді жазып алыңыз.
693:季	季	季	കാലം; ഋതു	ഒരു വർഷത്തിൽ നാല് ഋതുക്കൾ ഉണ്ട്.	маусым	Бір жылда төрт маусым бар.
695:加	加	加	ചേർക്കുക	ദയവായി എനിക്ക് കുറച്ച് വെള്ളം ചേർക്കുക.	қосу	Маған аздап су қосып беріңіз.
696:假期	假期	假期	അവധി	അവധിക്കാലത്ത് എനിക്ക് വിശ്രമിക്കണം.	демалыс	Демалыста тыныққым келеді.
700:检票	检票	检票	ടിക്കറ്റ് പരിശോധിക്കുക	സ്റ്റേഷനിൽ പ്രവേശിക്കുന്നതിന് മുമ്പ് ടിക്കറ്റ് പരിശോധിക്കണം.	билет тексеру	Станцияға кірер алдында билеттер тексерілуі керек.
707:街	街	街	തെരുവ്	ഈ തെരുവ് വളരെ തിരക്കേറിയതാണ്.	көше	Бұл көше өте қызу.
714:姐妹	姐妹	姐妹	സഹോദരിമാർ	അവർ സഹോദരിമാരാണ്.	апалы-сіңлілі; әпкелі-сіңлілі	Олар апалы-сіңлілі.
716:斤	斤	斤	ജിൻ; അര കിലോ അളവ്	ഞാൻ ഏകദേശം ഒരു കിലോ ആപ്പിൾ വാങ്ങി.	цзинь; жарты килолық өлшем	Мен шамамен бір килограмм алма сатып алдым.
720:酒	酒	酒	മദ്യം	അച്ഛൻ വൈകുന്നേരം മദ്യം കുടിക്കാറില്ല.	ішімдік	Әкем кешке ішімдік ішпейді.
722:句	句	句	വാക്യം; വാക്യങ്ങൾക്ക് എണ്ണിപ്പദം	ദയവായി ഇനിയും ഒരു വാക്യം പറയൂ.	сөйлем; сөйлемге арналған есептік сөз	Тағы бір сөйлем айтыңызшы.
725:卡	卡	卡	കാർഡ്	എന്റെ കാർഡ് എന്റെ ബാഗിലാണ്.	карта	Менің картам сөмкемде.
726:开花	开花	开花	പൂക്കുക	വസന്തത്തിൽ മരങ്ങൾ എല്ലാം പൂക്കുന്നു.	гүлдеу	Көктемде ағаштардың бәрі гүлдейді.
727:开会	开会	开会	യോഗം നടത്തുക	ഇന്ന് ഉച്ചയ്ക്ക് മൂന്ന് മണിക്ക് എനിക്ക് യോഗമുണ്ട്.	жиналыс өткізу	Бүгін түстен кейін сағат үште менде жиналыс бар.
728:开机	开机	开机	ഓൺ ചെയ്യുക; ആരംഭിക്കുക	കമ്പ്യൂട്ടർ വളരെ മന്ദഗതിയിൽ ആരംഭിക്കുന്നു.	қосу; іске қосу	Компьютер өте баяу іске қосылады.
730:看来	看来	看来	കാണുമ്പോൾ; തോന്നുന്നു	ഇന്ന് മഴപെയ്യാൻ പോകുന്നു പോലെ തോന്നുന്നു.	қарағанда; сияқты	Бүгін жаңбыр жауатын сияқты.
731:可	可	可	വളരെ; ശരിക്കും	അവൻ ശരിക്കും വളരെ സന്തോഷത്തിലാണ്.	шынымен; өте	Ол шынымен өте қуанышты.
736:课本	课本	课本	പാഠപുസ്തകം	ദയവായി പാഠപുസ്തകം തുറക്കുക.	оқулық	Оқулықты ашыңыз.
738:课文	课文	课文	പാഠഭാഗം	ഈ പാഠഭാഗം ബുദ്ധിമുട്ടല്ല.	мәтін; сабақ мәтіні	Бұл мәтін қиын емес.
746:老人	老人	老人	വൃദ്ധൻ; പ്രായമായ വ്യക്തി	ഈ പ്രായമായ വ്യക്തിക്ക് സഹായം വേണം.	қарт адам	Бұл қарт адамға көмек керек.
751:练	练	练	പരിശീലിക്കുക	ഞാൻ ഓരോ ദിവസവും ചൈനീസ് പരിശീലിക്കുന്നു.	жаттығу; машықтану	Мен күн сайын қытай тілін жаттықтырамын.
755:聊	聊	聊	സംസാരിക്കുക; ചാറ്റ് ചെയ്യുക	എനിക്ക് നിങ്ങളോട് സംസാരിക്കണം.	әңгімелесу	Мен сенімен әңгімелескім келеді.
756:聊天儿	聊天儿	聊天儿	സംസാരിച്ചുകൂടുക	ഞങ്ങൾ വൈകുന്നേരം ഒരുമിച്ച് സംസാരിക്കുന്നു.	сөйлесу; әңгімелесу	Біз кешке бірге сөйлесеміз.
760:留学生	留学生	留学生	വിദേശ വിദ്യാർത്ഥി	അവൻ ജപ്പാനിൽ നിന്നുള്ള വിദേശ വിദ്യാർത്ഥിയാണ്.	шетелдік студент	Ол Жапониядан келген шетелдік студент.
761:楼梯	楼梯	楼梯	പടികൾ	ദയവായി പടികൾ കയറി മുകളിലേക്ക് പോകുക.	баспалдақ	Баспалдақпен жоғары шығыңыз.
762:路边	路边	路边	റോഡരികിൽ	അവൻ കാർ റോഡരികിൽ നിർത്തി.	жол жиегі	Ол көлікті жол жиегіне қойды.
763:路口	路口	路口	ചത്വരം; വഴിച്ചേരിപ്പ്	ഞാൻ വഴിച്ചേരിപ്പിൽ നിന്നെ കാത്തിരിക്കുന്നു.	қиылыс	Мен сені қиылыста күтіп тұрмын.
765:马路	马路	马路	റോഡ്	റോഡ് കടക്കുമ്പോൾ ശ്രദ്ധിക്കുക.	жол	Жолдан өткенде абай болыңыз.
770:面前	面前	面前	മുന്നിൽ	അധ്യാപകൻ വിദ്യാർത്ഥികളുടെ മുന്നിൽ നിൽക്കുന്നു.	алдында	Мұғалім оқушылардың алдында тұр.
772:名单	名单	名单	പേര്പട്ടിക	ദയവായി പട്ടികയിൽ നിങ്ങളുടെ പേര് എഴുതുക.	аты-жөн тізімі	Тізімге атыңызды жазыңыз.
773:名人	名人	名人	പ്രശസ്ത വ്യക്തി	ഈ നഗരത്തിൽ നിരവധി പ്രശസ്തർ ഉണ്ട്.	атақты адам	Бұл қалада көп атақты адам бар.
776:南方	南方	南方	തെക്കൻ പ്രദേശം	തെക്കൻ പ്രദേശത്ത് ശീതകാലം വളരെ തണുപ്പല്ല.	оңтүстік жақ	Оңтүстікте қыс өте суық емес.
778:难看	难看	难看	അഴകില്ലാത്ത; കാണാൻ മോശം	ഈ വസ്ത്രം കുറച്ച് അഴകില്ലാത്തതാണ്.	ұсқынсыз; көріксіз	Бұл киім сәл көріксіз.
780:男生	男生	男生	ആൺ വിദ്യാർത്ഥി; ആൺകുട്ടി	ആ ആൺകുട്ടി ബാസ്കറ്റ്ബോൾ കളിക്കുന്നു.	ұл бала; ер оқушы	Ана ұл бала баскетбол ойнап жүр.
781:难题	难题	难题	കഠിനമായ പ്രശ്നം	ഈ കഠിനമായ പ്രശ്നം എനിക്ക് പരിഹരിക്കാൻ കഴിയുന്നില്ല.	қиын мәселе	Мен бұл қиын мәселені шеше алмаймын.
782:难听	难听	难听	കേൾക്കാൻ മോശം	ഈ ശബ്ദം കേൾക്കാൻ മോശമാണ്.	құлаққа жағымсыз	Бұл дыбыс құлаққа жағымсыз.
785:牛	牛	牛	പശു; കാള	ഈ പശു വളരെ വലുതാണ്.	сиыр; өгіз	Бұл сиыр өте үлкен.
788:女生	女生	女生	പെൺ വിദ്യാർത്ഥി; പെൺകുട്ടി	ഈ പെൺകുട്ടി വളരെ നന്നായി പാടുന്നു.	қыз оқушы; қыз бала	Бұл қыз өте жақсы ән айтады.
789:爬	爬	爬	കയറുക	കുട്ടി പടികൾ കയറുന്നു.	өрмелеу; шығу	Бала баспалдақпен шығып жатыр.
790:怕	怕	怕	ഭയപ്പെടുക	എനിക്ക് ഇരുട്ടിനെ ഭയമാണ്.	қорқу	Мен қараңғыдан қорқамын.
791:拍照	拍照	拍照	ഫോട്ടോ എടുക്കുക	അവർ പാർക്കിൽ ഫോട്ടോകൾ എടുക്കുന്നു.	суретке түсіру	Олар саябақта суретке түсіп жатыр.
801:起	起	起	എഴുന്നേൽക്കുക; ഉയരുക	ദയവായി കുറച്ച് നേരത്തെ എഴുന്നേൽക്കുക.	тұру; көтерілу	Сәл ертерек тұрыңыз.
803:汽车	汽车	汽车	കാർ; മോട്ടോർ വാഹനം	ഈ കാർ വളരെ പുതുതാണ്.	автокөлік	Бұл автокөлік өте жаңа.
804:铅笔	铅笔	铅笔	പെൻസിൽ	ഞാൻ പെൻസിലിൽ എഴുതുന്നു.	қарындаш	Мен қарындашпен жазамын.
805:前年	前年	前年	മുൻപത്തെ വർഷത്തിനു മുൻപുള്ള വർഷം	മുൻപത്തെ വർഷത്തിനു മുൻപുള്ള വർഷത്തിൽ ഞാൻ ഗ്വാങ്‌ഷൗവിലേക്ക് പോയി.	алдыңғы жыл	Алдыңғы жылы мен Гуанчжоуға бардым.
806:前天	前天	前天	മുൻന്നാൾ	മുൻന്നാൾ ഞാൻ അവനെ കണ്ടു.	алдыңғы күн	Алдыңғы күні мен оны көрдім.
809:请客	请客	请客	വിരുന്ന് നൽകുക	ഇന്ന് വിരുന്ന് എന്റെ വകയാണ്.	қонақ ету; сыйлау	Бүгін мен сыйлаймын.
810:秋天	秋天	秋天	ശരത്കാലം	ശരത്കാലത്തെ കാലാവസ്ഥ സൗകര്യപ്രദമാണ്.	күз	Күзде ауа райы жайлы болады.
811:球场	球场	球场	കളിസ്ഥലം; മൈതാനം	മൈതാനത്ത് നിരവധി വിദ്യാർത്ഥികൾ ഉണ്ട്.	спорт алаңы	Спорт алаңында көп оқушы бар.
815:认得	认得	认得	തിരിച്ചറിയുക	എനിക്ക് ഈ അധ്യാപകനെ തിരിച്ചറിയാം.	тану	Мен бұл мұғалімді танимын.
821:扫	扫	扫	അടിച്ചു വാരുക	ദയവായി നിലം വൃത്തിയായി അടിച്ചു വാരുക.	сыпыру	Еденді таза етіп сыпырыңыз.
823:山	山	山	മല	ഈ മല വളരെ ഉയർന്നതാണ്.	тау	Бұл тау өте биік.
824:上衣	上衣	上衣	മേൽവസ്ത്രം	ഈ മേൽവസ്ത്രം പുതുതാണ്.	үстіңгі киім	Бұл үстіңгі киім жаңа.
826:身边	身边	身边	അരികിൽ; ചുറ്റും	എന്റെ ചുറ്റും നിരവധി സുഹൃത്തുക്കൾ ഉണ്ട്.	қасында; айналасында	Менің айналамда көп дос бар.
827:身高	身高	身高	ഉയരം	അവന്റെ ഉയരം ഒരു പുള്ളി എട്ട് മീറ്ററാണ്.	бой	Оның бойы бір бүтін оннан сегіз метр.
828:声	声	声	ശബ്ദം; ശബ്ദങ്ങൾക്ക് എണ്ണിപ്പദം	ഫോൺ ഒരിക്കൽ മുഴങ്ങിയ ശബ്ദം ഞാൻ കേട്ടു.	дыбыс; дыбысқа арналған есептік сөз	Мен телефонның бір рет шырылдағанын естідім.
832:市	市	市	നഗരം; മുനിസിപ്പാലിറ്റി	അവൻ ബീജിംഗ് നഗരത്തിൽ താമസിക്കുന്നു.	қала; муниципалитет	Ол Бейжің қаласында тұрады.
834:室	室	室	മുറി	അധ്യാപകൻ ഓഫീസ്മുറിയിൽ ഉണ്ട്.	бөлме	Мұғалім кеңсе бөлмесінде.
837:收到	收到	收到	ലഭിക്കുക; സ്വീകരിക്കുക	എനിക്ക് നിങ്ങളുടെ ഇമെയിൽ ലഭിച്ചു.	қабылдау; алу	Мен сіздің электрондық хатыңызды алдым.
