source_headword	SR	example_SR
kid	dete	Dete se smeje.
kill	ubiti	Nemoj ubiti insekta.
king	kralj	Kralj je živeo u palati.
knee	koleno	Koleno me boli.
knife	nož	Upotrebi oštar nož.
knock	kucati	Pokucaj pre nego što uđeš.
knowledge	znanje	Znanje raste vežbom.
lab	laboratorija	Laboratorija je zatvorena.
lady	gospođa	Gospođa nam se nasmešila.
lake	jezero	Jezero je mirno.
lamp	lampa	Upali lampu.
laptop	laptop	Moj laptop je nov.
last1 (taking time)	trajati	Film traje dva sata.
laughter	smeh	Čuli smo smeh napolju.
law	zakon	Zakon se juče promenio.
lawyer	advokat	Advokat me je pozvao.
lazy	lenj	Nemoj biti lenj.
lead1	voditi	Dobri vođe vode primerom.
leader	vođa; lider	Ona je vođa tima.
learning	učenje	Učenje zahteva vreme.
least	najmanji; najmanje	Izaberi najjeftiniji.
lecture	predavanje	Predavanje počinje u deset.
lemon	limun	Dodaj limun u čaj.
lend	pozajmiti	Možeš li da mi pozajmiš pet dolara?
less	manje	Jedi manje šećera.
level	nivo	Ovaj nivo je lak.
lifestyle	način života	On ima zdrav način života.
lift	podići	Pažljivo podigni kutiju.
light	zapaliti	Pažljivo zapali sveću.
light (not heavy)	lagan	Ova torba je lagana.
likely	verovatan	Kiša je verovatna sutra.
link	veza	Pošalji mi vezu.
listener	slušalac	Budi dobar slušalac.
lock	zaključati; brava	Zaključaj vrata.
lorry	kamion	Kamion je prevozio kutije.
lost	izgubljen	Izgubili smo se.
loud	glasan	Muzika je glasna.
loudly	glasno	Molim te, ne govori glasno.
lovely	divan	Kakav divan vrt!
low	nizak	Stolica je niska.
luck	sreća	Srećno na testu.
lucky	srećan	Danas imaš sreće.
mail	pošta	Jutros sam dobio poštu.
major	glavni; veliki	Ovo je veliki problem.
male	muški	Mužjak ptice je sjajan.
manage	uspeti; upravljati	Možeš li da obaviš ovaj zadatak?
manager	menadžer; upravnik	Menadžer je zauzet.
manner	način	Govori na pristojan način.
mark	označiti; ocena	Jasno označi svoj odgovor.
marry	oženiti se; udati se	Oni će se venčati u junu.
material	materijal	Ovaj materijal je mekan.
mathematics	matematika	Matematika je moj omiljeni predmet.
maths	matematika	Matematika mi je teška.
matter	biti važno; stvar	Nije važno.
may modal	smeti	Možeš da odeš sada.
media	mediji	Mediji su pratili priču.
medical	medicinski	Ona treba medicinsku pomoć.
medicine	lek	Uzmi ovaj lek posle ručka.
memory	pamćenje; sećanje	Imam dobro pamćenje.
mention	spomenuti	Nemoj spominjati moje ime.
metal	metal	Kapija je metalna.
method	metod	Ovaj metod dobro funkcioniše.
middle	sredina	Stani u sredinu.
might modal	možda	Možda će kasnije padati kiša.
mind	um; mišljenje	Promenio sam mišljenje.
mine (belongs to me)	moj; moje	Ova knjiga je moja.
mirror	ogledalo	Pogledaj se u ogledalo.
missing	nestao; nedostaje	Moji ključevi nedostaju.
mobile	mobilni telefon; mobilni	Moj mobilni telefon je na stolu.
monkey	majmun	Majmun se popeo na drvo.
moon	mesec	Mesec je sjajan.
mostly	uglavnom	Razred je uglavnom tih.
motorcycle	motocikl	On vozi motocikl.
movement	pokret	Video sam pokret među drvećem.
musical	muzički	Ovo je muzički film.
musician	muzičar	Muzičar je svirao gitaru.
myself	ja sam	To sam napravio sam.
narrow	uzak	Put je uzak.
national	nacionalni	To je nacionalni praznik.
nature	priroda	Volim prirodu.
nearly	skoro	Skoro smo stigli.
necessary	potreban	Da li je to potrebno?
neck	vrat	Boli me vrat.
neither	nijedan	Nijedan odgovor nije tačan.
nervous	nervozan	Ona se oseća nervozno.
network	mreža	Mreža ne radi.
noise	buka	Čuo sam glasnu buku.
noisy	bučan	Ulica je bučna.
none	nijedan; niko	Niko od njih nije došao.
normal	normalan	Ovo je normalno.
normally	obično	Obično se budim rano.
notice	primetiti; obaveštenje	Da li si primetio znak?
novel	roman	Ona je napisala roman.
nowhere	nigde	Nema gde da se sedne.
nut	orah; orašasti plod	Orah je tvrd.
ocean	okean	Okean je dubok.
offer	ponuda	Prihvatio sam ponudu.
officer	službenik; oficir	Službenik je proverio moju kartu.
oil	ulje	Dodaj ulje u tiganj.
onto	na; na vrh	Stavi ga na policu.
opportunity	prilika	Ovo je dobra prilika.
option	opcija; mogućnost	Izaberi najbolju opciju.
ordinary	običan	Bio je običan dan.
organization	organizacija	Organizacija pomaže učenicima.
organize	organizovati	Molim te, organizuj datoteke.
original	originalan; izvorni	Sačuvaj izvorni račun.
ourselves	mi sami	Sami smo spremili večeru.
oven	rerna	Rerna je vruća.
owner	vlasnik	Vlasnik je otvorio prodavnicu.
pack	spakovati	Spakuj torbu sada.
pain	bol	Osećam bol u leđima.
painter	moler; slikar	Moler je završio zid.
palace	palata	Palata je stara.
pants	pantalone	Ove pantalone su preduge.
parking	parkiranje	Parkiranje je ovde teško.
particular	određen	Treba mi određena knjiga.
pass	dodati; proći	Dodaj mi so.
passenger	putnik	Svakom putniku treba karta.
patient	strpljiv; pacijent	Budi strpljiv sa decom.
pattern	uzorak	Ovaj uzorak je jednostavan.
peace	mir	Svi želimo mir.
penny	peni; novčić	Našao sam novčić.
per	po	Karte koštaju deset dolara po osobi.
per cent	procenat	Pet procenata je malo.
perform	izvesti; nastupiti	Bend će večeras nastupiti.
perhaps	možda	Možda je kod kuće.
permission	dozvola	Prvo traži dozvolu.
personality	ličnost; karakter	On ima prijateljski karakter.
pet	kućni ljubimac	Moj kućni ljubimac je mačka.
petrol	benzin	Automobilu treba benzin.
physical	fizički	Fizička vežba pomaže zdravlju.
physics	fizika	Fizika je teška.
pick	izabrati; ubrati	Izaberi jednu kartu.
pilot	pilot	Pilot je govorio jasno.
planet	planeta	Zemlja je planeta.
plastic	plastika; plastičan	Ova boca je plastična.
plate	tanjir	Stavi hranu na tanjir.
platform	peron; platforma	Čekaj na drugom peronu.
pleased	zadovoljan	Drago mi je što smo se upoznali.
pocket	džep	Karta je u mom džepu.
polite	pristojan	Budi pristojan prema svima.
pollution	zagađenje	Zagađenje šteti okeanu.
pop	pop muzika	Volim pop muziku.
population	stanovništvo	Stanovništvo raste.
position	položaj	Promeni svoj položaj.
possession	posed; vlasništvo	Ovaj prsten je moj posed.
possibility	mogućnost	Postoji mogućnost kiše.
poster	plakat	Stavi plakat na zid.
power	energija; snaga	Računaru treba napajanje.
predict	predvideti	Ne možemo da predvidimo vreme.
president	predsednik	Predsednik je održao govor.
prevent	sprečiti	Peri ruke da sprečiš bolest.
print	odštampati	Odštampaj dokument.
printer	štampač	Štampač je pokvaren.
prison	zatvor	On je otišao u zatvor.
prize	nagrada	Ona je osvojila nagradu.
process	proces	Proces traje dugo.
produce	proizvoditi	Farme proizvode hranu.
professional	profesionalan	Ona je profesionalna plesačica.
professor	profesor	Profesor je odgovorio na pitanja.
profile	profil	Ažuriraj svoj profil.
program	program	Program počinje sada.
progress	napredak	Danas smo ostvarili napredak.
promise	obećanje; obećati	Održi svoje obećanje.
pronounce	izgovoriti	Molim te, izgovori ovu reč.
protect	zaštititi	Zaštiti svoje oči.
provide	pružiti; obezbediti	Oni pružaju besplatnu vodu.
pub	pab	Sreli smo se u pabu.
public	javni	Park je javni.
publish	objaviti	Oni objavljuju časopis.
pull	povući	Povuci vrata.
purpose	svrha	Koja je svrha?
push	gurnuti; pritisnuti	Pritisni dugme.
quality	kvalitet	Kvalitet je visok.
quantity	količina	Proveri količinu.
queen	kraljica	Kraljica je mahnula.
quietly	tiho	Govori tiho.
race (competition)	trka	Trka uskoro počinje.
railway	železnica	Železnica je zatvorena.
raise	podići; povisiti	Podigni ruku.
rate	cena; stopa	Cena hotela je visoka.
rather	prilično	Prilično sam umoran.
reach	dosegnuti	Možeš li da dosegneš policu?
react	reagovati	Kako je reagovao?
realize	shvatiti	Shvatio sam svoju grešku.
receive	primiti	Da li si primio moju poruku?
recent	nedavni	Ovo je nedavna fotografija.
recently	nedavno	Nedavno sam se preselio ovamo.
reception	prijem; recepcija	Prijem je u ponedeljak.
recipe	recept	Ovaj recept je jednostavan.
recognize	prepoznati	Prepoznajem tu pesmu.
recommend	preporučiti	Preporučujem ovu knjigu.
record	zapis; evidencija	Vodi evidenciju o plaćanjima.
recording	snimak	Snimak zvuči jasno.
recycle	reciklirati	Recikliraj papir i plastiku.
reduce	smanjiti	Smanji vatru.
refer	uputiti; odnositi se	Pogledaj drugu stranicu.
refuse1	odbiti	Odbijam da lažem.
region	region	Ovaj region je hladan.
regular	redovan	On je redovan kupac.
relationship	odnos; veza	Njihov odnos je snažan.
remove	ukloniti; izuti	Izuj cipele.
repair	popraviti	Popravi bicikl danas.
replace	zameniti	Zameni staru bateriju.
reply	odgovoriti	Molim te, odgovori uskoro.
reporter	reporter	Reporter je zapisivao beleške.
request	zahtev; molba	Podneo sam zahtev.
research	istraživati; istraživanje	Istražujemo lokalnu istoriju.
researcher	istraživač	Istraživač je proverio podatke.
respond	odgovoriti	Molim te, odgovori danas.
response	odgovor	Njen odgovor je bio brz.
rest (remaining part)	ostatak	Pojedi ostatak kasnije.
rest (sleep/relax)	odmoriti se	Treba da se odmoriš.
review	ponoviti; pregled	Ponovi svoje beleške večeras.
ring1	prsten	Nosila je zlatni prsten.
ring2	nazvati	Nazovi me posle ručka.
rise	rasti; porasti	Cene rastu svake godine.
rock (stone)	kamen	Kamen je težak.
