simplified	FR	example_FR	DE	example_DE
本来	à l'origine; au départ	Je devais aller voir le spectacle, mais quelque chose est arrivé soudainement.	ursprünglich; eigentlich	Eigentlich wollte ich mir die Aufführung ansehen, aber plötzlich kam etwas dazwischen.
笨	stupide; maladroit	Tu n'es pas bête, tu dois seulement travailler davantage.	dumm; ungeschickt	Du bist nicht dumm, du musst dich nur mehr anstrengen.
比如	par exemple	J'ai beaucoup de loisirs, par exemple la natation et la lecture.	zum Beispiel	Ich habe viele Hobbys, zum Beispiel Schwimmen und Lesen.
毕业	obtenir son diplôme; la fin des études	Cette année, je suis en troisième année d'université et je serai diplômé l'année prochaine.	den Abschluss machen; der Abschluss	Ich bin dieses Jahr im dritten Studienjahr und mache nächstes Jahr meinen Abschluss.
遍	une fois; un passage	Il a répété l'affaire une nouvelle fois.	das Mal; einmal	Er hat die Sache noch einmal erzählt.
标准	la norme; standard	Ton mandarin est très standard.	der Standard; standardmäßig	Dein Hochchinesisch klingt sehr standardgemäß.
表格	le formulaire; le tableau	Veuillez inscrire votre nom dans le formulaire.	das Formular; die Tabelle	Bitte tragen Sie Ihren Namen in das Formular ein.
表示	exprimer; indiquer	Merci de lui exprimer votre gratitude.	ausdrücken; zeigen	Bitte drücken Sie ihm Ihren Dank aus.
表演	le spectacle; jouer	Quel numéro allez-vous présenter ?	die Aufführung; auftreten	Was wollt ihr aufführen?
表扬	féliciter; faire l'éloge	Il reçoit souvent les éloges du directeur.	loben; das Lob	Er wird oft vom Schulleiter gelobt.
饼干	le biscuit; le cookie	J'ai acheté des biscuits, mangeons-en un peu.	der Keks; das Gebäck	Ich habe Kekse gekauft, iss ruhig ein paar.
并且	de plus; et en plus	Elle est intelligente et travaille très dur.	außerdem; und	Sie ist klug und außerdem sehr fleißig.
博士	le docteur; le doctorat	Permettez-moi de vous présenter : voici le docteur Li.	der Doktor; die Promotion	Ich stelle kurz vor: Das ist Dr. Li.
不过	mais; cependant	Il est excellent, mais il ne remplit pas les conditions de recrutement de l'entreprise.	aber; jedoch	Er ist ausgezeichnet, erfüllt aber nicht die Einstellungsbedingungen der Firma.
不得不	devoir; ne pas avoir le choix	Il pleut fort dehors, donc je dois rester à la maison.	müssen; keine andere Wahl haben	Draußen regnet es stark, also muss ich zu Hause bleiben.
不管	peu importe; quel que soit	Peu importe le temps qu'il fait, je dois aller faire de l'escalade.	egal; unabhängig davon	Egal wie das Wetter ist, ich muss den Berg besteigen.
不仅	non seulement	Je suis non seulement allé dans cette ville, mais j'y suis allé plusieurs fois.	nicht nur	Ich war nicht nur in dieser Stadt, sondern schon viele Male dort.
部分	la partie; la section	La partie la plus importante de l'article est le troisième paragraphe.	der Teil; der Abschnitt	Der wichtigste Teil des Artikels ist der dritte Absatz.
擦	essuyer; nettoyer	J'ai déjà nettoyé les fenêtres.	wischen; putzen	Ich habe die Fenster schon sauber geputzt.
猜	deviner	Devine quel cadeau d'anniversaire je t'ai préparé.	raten	Rate mal, welches Geburtstagsgeschenk ich für dich vorbereitet habe.
材料	le matériel; les documents	Quels documents faut-il pour l'inscription ?	das Material; die Unterlagen	Welche Unterlagen braucht man für die Anmeldung?
参观	visiter	Je veux visiter la Grande Muraille ce week-end.	besichtigen; besuchen	Ich möchte am Wochenende die Große Mauer besichtigen.
餐厅	le restaurant; la cantine	Un nouveau restaurant a ouvert près de l'école.	das Restaurant; die Kantine	In der Nähe der Schule hat ein neues Restaurant eröffnet.
厕所	les toilettes	Les toilettes des hommes sont au premier étage.	die Toilette	Die Herrentoilette ist im ersten Stock.
差不多	presque; à peu près	Je me lève vers sept heures tous les jours.	ungefähr; fast	Ich stehe jeden Tag ungefähr um sieben Uhr auf.
尝	goûter	Viens goûter les plats que j'ai préparés ; comment est le goût ?	probieren; kosten	Komm und probier die Gerichte, die ich gekocht habe. Wie schmecken sie?
长城	la Grande Muraille	Je veux visiter la Grande Muraille ce week-end.	die Große Mauer	Ich möchte am Wochenende die Große Mauer besichtigen.
长江	le Yangzi; le fleuve Yangtsé	Le Yangzi est le plus grand fleuve de Chine.	der Jangtse	Der Jangtse ist der größte Fluss Chinas.
场	le lieu; le classificateur d'événement	Cette pluie est arrivée juste à temps.	der Ort; das Ereignis	Dieser Regen kam genau rechtzeitig.
超过	dépasser	Plus de trois cents vols décollent d'ici chaque jour.	überschreiten; übertreffen	Jeden Tag starten hier mehr als dreihundert Flüge.
乘坐	prendre; voyager à bord	Bienvenue à bord de ce vol.	nehmen; fahren mit	Willkommen an Bord dieses Fluges.
成功	le succès; réussir	L'effort est la garantie du succès.	der Erfolg; erfolgreich sein	Anstrengung ist die Garantie für Erfolg.
成为	devenir	Depuis l'enfance, je veux devenir policier.	werden	Seit meiner Kindheit möchte ich Polizist werden.
诚实	honnête; l'honnêteté	Les personnes honnêtes méritent notre respect.	ehrlich; die Ehrlichkeit	Ehrliche Menschen verdienen unseren Respekt.
吃惊	être surpris; être étonné	Il a été très surpris d'entendre cette nouvelle.	überrascht sein; erstaunt sein	Als er diese Nachricht hörte, war er sehr überrascht.
重新	de nouveau; à nouveau	Il a répété l'affaire.	erneut; noch einmal	Er hat die Sache noch einmal erzählt.
抽烟	fumer	Désolé, il est interdit de fumer à l'hôpital.	rauchen	Entschuldigung, im Krankenhaus darf man nicht rauchen.
出差	partir en voyage d'affaires	Papa est en voyage d'affaires depuis plus d'un mois.	auf Dienstreise gehen	Papa ist schon seit über einem Monat auf Dienstreise.
出发	partir; se mettre en route	Je pars de Pékin pour aller à Shanghai.	aufbrechen; losfahren	Ich breche von Peking nach Shanghai auf.
出生	naître	Je suis né dans une petite ville.	geboren werden	Ich wurde in einer kleinen Stadt geboren.
出现	apparaître; surgir	Beaucoup de problèmes sont apparus dans notre travail.	auftreten; erscheinen	Bei unserer Arbeit sind viele Probleme aufgetreten.
厨房	la cuisine	Le couteau à fruits est dans la cuisine.	die Küche	Das Obstmesser liegt in der Küche.
传真	le fax	Veuillez m'aider à envoyer un fax.	das Fax	Bitte senden Sie für mich ein Fax.
窗户	la fenêtre	J'ai déjà nettoyé les fenêtres.	das Fenster	Ich habe die Fenster schon sauber geputzt.
词语	le mot; l'expression	Veuillez utiliser ces mots pour faire quelques phrases.	das Wort; der Ausdruck	Bitte bildet mit diesen Wörtern ein paar Sätze.
从来	toujours; jamais auparavant	Je ne l'ai jamais vu.	immer; noch nie	Ich habe ihn noch nie gesehen.
粗心	négligent; étourdi	Tu es vraiment trop négligent.	nachlässig; unachtsam	Du bist wirklich viel zu unachtsam.
存	déposer; stocker	J'ai déposé l'argent à la banque.	einzahlen; speichern	Ich habe das Geld auf die Bank eingezahlt.
错误	l'erreur; incorrect	Merci d'avoir signalé mon erreur.	der Fehler; falsch	Danke, dass du mich auf meinen Fehler hingewiesen hast.
答案	la réponse	Ta réponse est correcte.	die Antwort	Deine Antwort ist richtig.
打扮	se préparer; s'habiller	Elle s'est simplement préparée puis est sortie.	sich zurechtmachen; sich kleiden	Sie machte sich kurz zurecht und ging dann aus dem Haus.
打扰	déranger	Excuse-moi de te déranger un instant.	stören	Entschuldige, dass ich dich kurz störe.
打印	imprimer	Ces documents ont déjà été imprimés.	drucken	Diese Unterlagen sind schon ausgedruckt.
打招呼	saluer	Il m'a salué avec un sourire.	grüßen	Er grüßte mich mit einem Lächeln.
打折	faire une réduction	Avant la fête du Printemps, les centres commerciaux font des réductions.	Rabatt geben; reduziert sein	Vor dem Frühlingsfest gibt es in den Einkaufszentren Rabatte.
打针	faire une injection; recevoir une injection	Le fils a très peur des piqûres.	eine Spritze geben; eine Spritze bekommen	Der Sohn hat große Angst vor Spritzen.
大概	probablement; environ	Il ne viendra probablement pas.	wahrscheinlich; ungefähr	Er kommt wahrscheinlich nicht.
大使馆	l'ambassade	Demain, je vais à l'ambassade demander un visa.	die Botschaft	Ich gehe morgen zur Botschaft, um ein Visum zu beantragen.
大约	environ; à peu près	Il a environ trente ans passés.	ungefähr; etwa	Er ist etwa über dreißig Jahre alt.
大夫	le médecin	Docteur Li, serez-vous à l'hôpital demain matin ?	der Arzt; die Ärztin	Dr. Li, sind Sie morgen Vormittag im Krankenhaus?
戴	porter; mettre	Il porte ces lunettes noires.	tragen; aufsetzen	Er trägt diese schwarze Brille.
当	être; servir de	Je veux être médecin.	sein; als etwas arbeiten	Ich möchte Arzt werden.
当时	à ce moment-là; alors	Je ne me souviens plus clairement de la situation à ce moment-là.	damals; zu diesem Zeitpunkt	Ich erinnere mich nicht mehr genau an die Situation damals.
刀	le couteau	Le couteau à fruits est dans la cuisine.	das Messer	Das Obstmesser liegt in der Küche.
导游	le guide touristique; la guide touristique	Ma sœur aînée est guide touristique.	der Reiseführer; die Reiseführerin	Meine ältere Schwester ist Reiseführerin.
倒	tomber; renverser	Le vent fort a renversé l'arbre.	umfallen; umstoßen	Der starke Wind hat den Baum umgeweht.
到处	partout	Il y a des fleurs partout dans le parc.	überall	Im Park sind überall frische Blumen.
到底	finalement; au juste	Que signifie cette phrase au juste ?	eigentlich; schließlich	Was bedeutet dieser Satz eigentlich?
道歉	s'excuser	Je me suis déjà excusé auprès de lui.	sich entschuldigen	Ich habe mich schon bei ihm entschuldigt.
得	devoir	Demain j'ai un examen, je dois donc me coucher tôt.	müssen	Ich habe morgen eine Prüfung, also muss ich früh schlafen gehen.
得意	fier de soi; satisfait	Tout le monde était fier du succès du travail.	stolz; selbstzufrieden	Alle waren sehr stolz auf den Erfolg der Arbeit.
登机牌	la carte d'embarquement	Veuillez bien garder votre carte d'embarquement et vous préparer à embarquer.	die Bordkarte	Bitte behalten Sie Ihre Bordkarte bereit und machen Sie sich zum Einsteigen fertig.
等	etc.; et ainsi de suite	Sur la table, il y a des fruits comme des pommes, des bananes, etc.	und so weiter; wie etwa	Auf dem Tisch liegen Früchte wie Äpfel, Bananen und so weiter.
低	bas; faible	Un peu plus haut, c'est trop bas maintenant.	niedrig; tief	Noch etwas höher, jetzt ist es zu niedrig.
底	le fond; la base	Le fond du verre est propre.	der Boden; die Grundlage	Der Boden des Bechers ist sauber.
地点	le lieu; l'endroit	Le lieu de la réunion est la salle de conférence au troisième étage.	der Ort; die Stelle	Der Besprechungsort ist der Konferenzraum im dritten Stock.
地球	la Terre; la planète	La majeure partie de la surface de la Terre est couverte par les océans.	die Erde; der Planet	Der größte Teil der Erdoberfläche ist Ozean.
地址	l'adresse	Veuillez écrire votre adresse.	die Adresse	Bitte schreiben Sie Ihre Adresse auf.
掉	tomber; laisser tomber	La clé est tombée par terre.	fallen; fallen lassen	Der Schlüssel ist auf den Boden gefallen.
调查	l'enquête; enquêter	La police enquête.	die Untersuchung; untersuchen	Die Polizei führt eine Untersuchung durch.
丢	perdre; jeter	Tu as perdu ton cartable ?	verlieren; wegwerfen	Hast du deine Schultasche verloren?
动作	le mouvement; l'action	Je vais t'apprendre à danser ; les mouvements sont très simples.	die Bewegung; die Handlung	Ich bringe dir Tanzen bei; die Bewegungen sind sehr einfach.
堵车	l'embouteillage	J'étais sur la route et il y avait encore un embouteillage.	der Stau	Ich war unterwegs, und es gab wieder Stau.
肚子	le ventre; l'estomac	J'ai mal au ventre.	der Bauch; der Magen	Ich habe Bauchschmerzen.
短信	le SMS; le message texte	S'il se passe quelque chose, envoie-moi un SMS ou appelle-moi.	die SMS; die Kurznachricht	Wenn etwas ist, schreib mir bitte eine SMS oder ruf mich an.
对话	le dialogue	Ce dialogue est assez simple, je peux le comprendre.	der Dialog	Dieser Dialog ist ziemlich einfach, ich kann ihn verstehen.
对面	en face; le côté opposé	J'habite juste en face de l'école.	gegenüber; die Gegenseite	Ich wohne direkt gegenüber der Schule.
对于	concernant; à propos de	J'ai un avis différent sur cette question.	zu; bezüglich	Zu dieser Frage habe ich eine andere Ansicht.
儿童	l'enfant; les enfants	Les enfants de moins d'un mètre vingt peuvent acheter un billet enfant.	das Kind; die Kinder	Kinder unter 1,20 Meter können eine Kinderfahrkarte kaufen.
而	et; mais	Ce vêtement est bon marché et joli.	und; aber	Dieses Kleidungsstück ist billig und schön.
发生	se produire; arriver	La situation a beaucoup changé.	passieren; geschehen	Die Situation hat sich stark verändert.
发展	se développer; le développement	L'économie s'est développée rapidement ces dernières années.	sich entwickeln; die Entwicklung	Die Wirtschaft hat sich in den letzten Jahren schnell entwickelt.
法律	la loi; le droit	J'étudie le droit à l'université.	das Gesetz; das Recht	Ich studiere an der Universität Rechtswissenschaft.
翻译	traduire; le traducteur	Veuillez traduire cet article en chinois.	übersetzen; der Übersetzer	Bitte übersetzen Sie diesen Artikel ins Chinesische.
烦恼	le souci; s'inquiéter	Ne t'inquiète plus pour cette affaire.	die Sorge; sich Sorgen machen	Mach dir darüber keine Sorgen mehr.
反对	s'opposer à	Tout le monde s'oppose à ce plan.	ablehnen; dagegen sein	Alle sind gegen diesen Plan.
方法	la méthode; le moyen	Nous trouverons sûrement une solution au problème.	die Methode; der Weg	Wir werden sicher eine Lösung für das Problem finden.
方面	l'aspect; le domaine	Papa aime lire des livres sur l'histoire.	der Aspekt; der Bereich	Papa liest gern Bücher aus dem Bereich Geschichte.
方向	la direction	Est-ce la bonne direction ? Je pense que nous nous sommes perdus.	die Richtung	Ist das die richtige Richtung? Ich glaube, wir haben uns verlaufen.
房东	le propriétaire; la propriétaire	Mon propriétaire est très aimable et m'aide souvent.	der Vermieter; die Vermieterin	Mein Vermieter ist sehr freundlich und hilft mir oft.
放弃	abandonner; renoncer à	J'ai renoncé à l'occasion d'étudier à l'étranger.	aufgeben; verzichten	Ich habe die Gelegenheit zum Auslandsstudium aufgegeben.
放暑假	être en vacances d'été	Les vacances d'été commencent demain.	Sommerferien bekommen	Morgen beginnen die Sommerferien.
放松	se détendre	L'examen est terminé, nous devons nous détendre un peu.	sich entspannen	Die Prüfung ist vorbei, wir müssen uns etwas entspannen.
份	la part; l'exemplaire	Veuillez m'aider à envoyer un fax.	der Anteil; das Exemplar	Bitte senden Sie für mich ein Fax.
丰富	riche; abondant	La lecture peut enrichir notre vie.	reich; bereichern	Lesen kann unser Leben bereichern.
否则	sinon	Partons maintenant, sinon nous serons en retard.	sonst; andernfalls	Lasst uns jetzt aufbrechen, sonst kommen wir zu spät.
符合	correspondre à; être conforme à	Elle correspond très bien à nos critères de recrutement.	entsprechen; passen zu	Sie erfüllt unsere Einstellungskriterien sehr gut.
付款	payer; le paiement	On peut payer ses achats en ligne.	bezahlen; die Zahlung	Beim Einkaufen kann man online bezahlen.
复印	photocopier; faire une copie	Veuillez faire encore deux copies de ce document.	fotokopieren; kopieren	Bitte kopieren Sie dieses Material noch zweimal.
复杂	compliqué; complexe	C'est un problème technique complexe.	kompliziert; komplex	Das ist ein komplexes technisches Problem.
富	riche	La vie des gens devient de plus en plus riche.	reich	Das Leben der Menschen wird immer reicher.
父亲	le père	Mon père a quatre-vingt-trois ans cette année.	der Vater	Mein Vater ist dieses Jahr dreiundachtzig Jahre alt.
负责	être responsable; prendre en charge	Xiao Li est très responsable dans son travail.	verantwortlich sein; verantwortungsbewusst sein	Xiao Li ist bei der Arbeit sehr verantwortungsbewusst.
改变	changer; modifier	J'ai déjà changé mon plan.	ändern; verändern	Ich habe meinen Plan schon geändert.
干杯	santé; porter un toast	Bonnes fêtes à tous, santé !	Prost; anstoßen	Frohes Fest euch allen, Prost!
感动	émouvoir; touchant	Ses paroles m'ont beaucoup ému.	bewegen; rühren	Seine Worte haben mich sehr bewegt.
感觉	sentir; le sentiment	J'ai un peu froid aujourd'hui.	sich fühlen; das Gefühl	Ich habe heute das Gefühl, dass es etwas kalt ist.
感情	le sentiment; la relation	Leur relation est très bonne.	das Gefühl; die Beziehung	Die Beziehung zwischen ihnen ist sehr gut.
感谢	remercier; la gratitude	Merci pour votre aide.	danken; der Dank	Vielen Dank für Ihre Hilfe.
敢	oser	Je n'ose pas y aller seul.	sich trauen; wagen	Ich traue mich nicht, allein dorthin zu gehen.
赶	se dépêcher; arriver à temps	Merci d'être venu m'aider à temps.	eilen; rechtzeitig kommen	Danke, dass du rechtzeitig gekommen bist, um mir zu helfen.
干	faire; travailler	Qu'est-ce que tu fais ?	machen; arbeiten	Was machst du?
刚	juste; à l'instant	Pardonne-moi ce que je viens de dire.	gerade; soeben	Bitte verzeih mir, was ich eben gesagt habe.
高速公路	l'autoroute	Une nouvelle autoroute a été construite ici.	die Autobahn	Hier wurde eine neue Autobahn gebaut.
胳膊	le bras	Il a un peu mal au bras.	der Arm	Sein Arm tut ein bisschen weh.
各	chaque; chacun	Il y a toutes sortes de fruits au supermarché.	jeder; jeweils	Im Supermarkt gibt es verschiedene Obstsorten.
公里	le kilomètre	La distance entre ces deux villes est de trois cents kilomètres.	der Kilometer	Die Entfernung zwischen den beiden Städten beträgt 300 Kilometer.
功夫	le kung-fu; l'habileté	J'apprends le kung-fu chinois récemment.	das Kung-Fu; die Fähigkeit	Ich lerne in letzter Zeit chinesisches Kung-Fu.
工资	le salaire	Son nouveau travail est très bien payé.	der Lohn; das Gehalt	Seine neue Arbeit ist gut bezahlt.
共同	commun; ensemble	Nous avons un objectif commun.	gemeinsam; gemeinsam	Wir haben ein gemeinsames Ziel.
够	assez; suffisant	Il fait assez froid aujourd'hui.	genug; ausreichend	Heute ist es ziemlich kalt.
购物	les achats; faire des achats	On peut payer ses achats en ligne.	einkaufen; das Einkaufen	Beim Einkaufen kann man online bezahlen.
估计	estimer; supposer	Je pense qu'ils sont déjà arrivés à l'aéroport.	schätzen; vermuten	Ich schätze, sie sind schon am Flughafen angekommen.
鼓励	encourager; l'encouragement	Les parents devraient encourager davantage leurs enfants.	ermutigen; die Ermutigung	Eltern sollten ihren Kindern mehr Ermutigung geben.
故意	exprès; intentionnellement	Désolé, je ne l'ai pas fait exprès.	absichtlich; mit Absicht	Entschuldigung, ich habe es nicht mit Absicht gemacht.
顾客	le client; la cliente	Le nombre de clients a diminué d'un tiers.	der Kunde; die Kundin	Die Zahl der Kunden ist um ein Drittel gesunken.
挂	raccrocher; suspendre	Ne raccroche pas tout de suite, s'il te plaît.	auflegen; aufhängen	Bitte leg noch nicht auf.
关键	le point clé; essentiel	Ce n'est pas le point clé du problème.	der Kernpunkt; entscheidend	Das ist nicht der Kern des Problems.
观众	le public; les spectateurs	Bonjour aux amis du public devant la télévision.	das Publikum; die Zuschauer	Hallo an alle Zuschauerinnen und Zuschauer vor dem Fernseher.
管理	gérer; administrer	Qui gère cette maison maintenant ?	verwalten; managen	Wer verwaltet dieses Haus jetzt?
光	la lumière; l'éclat	La lumière du soleil est forte aujourd'hui.	das Licht; die Helligkeit	Das Sonnenlicht ist heute sehr stark.
广播	la radio; l'émission	Grand-père écoute la radio.	der Rundfunk; die Radiosendung	Opa hört gerade Radio.
广告	la publicité; l'annonce	J'ai vu votre publicité dans le journal.	die Werbung; die Anzeige	Ich habe Ihre Anzeige in der Zeitung gesehen.
逛	se promener; flâner	Allons faire un tour au centre commercial ce week-end.	bummeln; sich umsehen	Gehen wir am Wochenende im Einkaufszentrum bummeln.
规定	la règle; stipuler	L'école a ses propres règles.	die Regel; festlegen	Die Schule hat ihre eigenen Regeln.
国籍	la nationalité	Veuillez indiquer votre nationalité sur le formulaire.	die Staatsangehörigkeit	Bitte tragen Sie Ihre Staatsangehörigkeit in das Formular ein.
国际	international	C'est une réunion internationale.	international	Das ist eine internationale Konferenz.
果汁	le jus de fruit	Je voudrais boire un verre de jus de fruit.	der Fruchtsaft	Ich möchte ein Glas Saft trinken.
过程	le processus; le déroulement	Le processus d'apprentissage est important.	der Prozess; der Ablauf	Der Lernprozess ist wichtig.
海洋	l'océan	La majeure partie de la surface de la Terre est couverte par les océans.	der Ozean; das Meer	Der größte Teil der Erdoberfläche ist Ozean.
害羞	timide	Elle était un peu timide la première fois qu'elle est montée sur scène.	schüchtern	Beim ersten Auftritt auf der Bühne war sie etwas schüchtern.
寒假	les vacances d'hiver	Je veux voyager dans le sud pendant les vacances d'hiver.	die Winterferien	In den Winterferien möchte ich in den Süden reisen.
汗	la sueur	Il fait chaud, essuie ta sueur avec une serviette.	der Schweiß	Dir ist heiß, wisch dir mit dem Handtuch den Schweiß ab.
航班	le vol	Bienvenue à bord de ce vol.	der Flug	Willkommen an Bord dieses Fluges.
好处	l'avantage; le bénéfice	Lire davantage a beaucoup d'avantages.	der Vorteil	Mehr zu lesen hat viele Vorteile.
好像	sembler; comme si	Il semble y avoir un malentendu entre nous.	so scheinen; als ob	Zwischen uns scheint es ein Missverständnis zu geben.
号码	le numéro	Donne-moi ton numéro de téléphone, s'il te plaît.	die Nummer	Bitte gib mir deine Telefonnummer.
合格	qualifié; conforme aux normes	La qualité de ce produit est conforme aux normes.	qualifiziert; normgerecht	Die Qualität dieses Produkts entspricht dem Standard.
合适	adapté; convenable	Cette paire de chaussures va très bien.	passend; geeignet	Dieses Paar Schuhe passt sehr gut.
盒子	la boîte	La boîte est vide, il n'y a rien dedans.	die Schachtel; die Box	Die Schachtel ist leer, darin ist nichts.
厚	épais	Ce livre est épais.	dick	Dieses Buch ist dick.
后悔	regretter	Je regrette de ne pas te l'avoir dit plus tôt.	bereuen	Ich bereue, es dir nicht früher gesagt zu haben.
互联网	l'Internet	Internet a apporté beaucoup de commodité à la vie des gens.	das Internet	Das Internet hat dem Leben der Menschen viel Bequemlichkeit gebracht.
互相	mutuellement; l'un l'autre	Nous deux devons nous soutenir mutuellement.	einander; gegenseitig	Wir beide müssen einander unterstützen.
护士	l'infirmier; l'infirmière	L'infirmière fait une injection au patient.	der Krankenpfleger; die Krankenschwester	Die Krankenschwester gibt dem Patienten gerade eine Spritze.
怀疑	douter; soupçonner	Je soupçonne qu'il a oublié la réunion d'aujourd'hui.	vermuten; zweifeln	Ich vermute, dass er das heutige Meeting vergessen hat.
回忆	se souvenir; le souvenir	Nous repensons souvent à notre enfance.	sich erinnern; die Erinnerung	Wir erinnern uns oft an Dinge aus unserer Kindheit.
活动	bouger; faire de l'exercice	Je suis allé au parc faire un peu d'exercice.	sich bewegen; die Aktivität	Ich bin in den Park gegangen, um mich ein wenig zu bewegen.
活泼	vif; animé	Cet enfant est très vif.	lebhaft	Dieses Kind ist sehr lebhaft.
火	le feu	Le feu est dangereux, fais attention.	das Feuer	Feuer ist gefährlich, sei vorsichtig.
获得	obtenir; recevoir	Même si l'on réussit, il ne faut pas être trop fier.	erhalten; bekommen	Auch wenn man Erfolg hat, darf man nicht zu stolz sein.
基础	la base; le fondement	Veuillez modifier encore un peu à partir de la version originale.	die Grundlage; die Basis	Bitte ändern Sie es noch etwas auf der ursprünglichen Grundlage.
激动	ému; excitant	Cette nouvelle est vraiment enthousiasmante.	aufgeregt; bewegend	Diese Nachricht ist wirklich aufregend.
积极	actif; motivé	Il apprend le chinois avec beaucoup de motivation.	aktiv; engagiert	Er lernt sehr aktiv Chinesisch.
积累	accumuler; l'accumulation	Il a accumulé beaucoup d'expérience dans son travail.	ansammeln; die Ansammlung	Er hat bei der Arbeit viel Erfahrung gesammelt.
即使	même si	Même si tu rencontres des difficultés, n'abandonne pas.	selbst wenn	Selbst wenn du auf Schwierigkeiten stößt, gib nicht auf.
及时	à temps	Cette pluie est arrivée juste à temps.	rechtzeitig	Dieser Regen kam genau rechtzeitig.
寄	envoyer; poster	Ta lettre est déjà arrivée.	schicken; senden	Dein Brief ist schon angekommen.
技术	la technologie; la technique	C'est un problème technique complexe.	die Technik; die Technologie	Das ist ein komplexes technisches Problem.
既然	puisque	Puisque tu es là, mangeons ensemble.	da; weil	Da du schon hier bist, essen wir zusammen.
继续	continuer	Il a exprimé sa volonté de continuer à travailler dans l'entreprise.	weitermachen; fortsetzen	Er hat erklärt, dass er weiter in der Firma arbeiten möchte.
计划	le plan; le projet	J'ai déjà changé mon plan.	der Plan	Ich habe meinen Plan schon geändert.
记者	le journaliste; la journaliste	Le journaliste interviewe le directeur de l'école.	der Journalist; die Journalistin	Der Journalist interviewt gerade den Schulleiter.
加班	faire des heures supplémentaires	Cette semaine, nous avons fait des heures supplémentaires presque tous les jours.	Überstunden machen	Diese Woche haben wir fast jeden Tag Überstunden gemacht.
加油站	la station-service	Y a-t-il une station-service près de chez toi ?	die Tankstelle	Gibt es in der Nähe deines Hauses eine Tankstelle?
家具	les meubles	Après le déménagement, nous avons changé de meubles.	die Möbel	Nach dem Umzug haben wir neue Möbel gekauft.
假	faux; artificiel	Ce billet est faux.	falsch; künstlich	Diese Karte ist gefälscht.
价格	le prix	Depuis l'année dernière, le prix des voitures baisse.	der Preis	Seit letztem Jahr sinken die Autopreise.
坚持	persévérer; insister	Il a toujours maintenu son opinion.	darauf bestehen; beharren	Er hat immer auf seiner Ansicht bestanden.
减肥	maigrir; perdre du poids	Je cours tous les jours pour perdre du poids.	abnehmen	Ich laufe jeden Tag, um abzunehmen.
减少	diminuer; réduire	Le nombre de clients a diminué d'un tiers.	verringern; reduzieren	Die Zahl der Kunden ist um ein Drittel gesunken.
建议	suggérer; la suggestion	Je propose de prendre un jour de repos demain.	vorschlagen; der Vorschlag	Ich schlage vor, morgen einen Tag frei zu nehmen.
将来	l'avenir; dans le futur	Quel travail comptes-tu faire à l'avenir ?	die Zukunft; künftig	Welche Arbeit planst du in Zukunft zu machen?
奖金	la prime; le bonus	Nous avons versé une prime à la fin de l'année.	die Prämie; der Bonus	Am Jahresende haben wir einen Bonus ausgezahlt.
降低	baisser; réduire	L'automne est arrivé et la température commence à baisser.	senken; sinken	Der Herbst ist da, und die Temperatur beginnt zu sinken.
降落	atterrir	L'avion va bientôt atterrir.	landen	Das Flugzeug wird gleich landen.
交	remettre; payer; se faire	J'ai beaucoup d'amis chinois.	übergeben; bezahlen; schließen	Ich habe viele chinesische Freunde gefunden.
