simplified	TE	example_TE
段	ప్యారాగ్రాఫ్; భాగం	దయచేసి ఈ ప్యారాగ్రాఫ్ చదవండి.
锻炼	వ్యాయామం చేయడం	నేను ప్రతి ఉదయం వ్యాయామం చేస్తాను.
多么	ఎంత; ఎంతగా	ఇక్కడి వాతావరణం ఎంత బాగుంది!
饿	ఆకలి	నాకు ఆకలిగా ఉంది, రొట్టె తినాలి.
耳朵	చెవి	నా చెవి కొంచెం నొప్పిగా ఉంది.
发	పంపడం; విడుదల చేయడం	సాయంత్రం నేను ఇమెయిల్ పంపుతాను.
发烧	జ్వరం రావడం	ఆమెకు జ్వరం ఉంది, కాబట్టి పాఠశాలకు వెళ్లలేరు.
发现	కనుగొనడం	ఈ పద్ధతి మంచిదని నేను కనుగొన్నాను.
方便	సౌకర్యమైన	మెట్రోలో వెళ్లడం చాలా సౌకర్యంగా ఉంది.
放	పెట్టడం; వదిలివేయడం	దయచేసి పుస్తకాన్ని బల్లపై పెట్టండి.
放心	ఆందోళన లేకపోవడం	నిశ్చింతగా ఉండండి, నేను సమయానికి చేరుకుంటాను.
分	పంచడం; విభజించడం	దయచేసి కేక్‌ను అందరికీ పంచండి.
复习	పునశ్చరణ చేయడం	పరీక్షకు ముందు నేను పాఠాలు పునశ్చరణ చేయాలి.
附近	దగ్గర; సమీపం	దగ్గరలో ఒక రెస్టారెంట్ ఉంది.
干净	శుభ్రమైన	ఈ గది చాలా శుభ్రంగా ఉంది.
感冒	జలుబు రావడం	నాకు జలుబు వచ్చింది, విశ్రాంతి తీసుకోవాలి.
感兴趣	ఆసక్తి చూపడం	నాకు చైనీస్ భాషపై చాలా ఆసక్తి ఉంది.
刚才	ఇప్పుడే కొద్దిసేపటి క్రితం	ఇప్పుడే నీకు ఎవరు ఫోన్ చేశారు?
个子	ఎత్తు; శరీరాకృతి	అతను ఎత్తుగా ఉన్నాడు.
根据	ప్రకారం; ఆధారంగా	పటం ప్రకారం పాఠశాల తూర్పున ఉంది.
跟	తో; అనుసరించడం	నేను స్నేహితుడితో పార్క్‌కు వెళ్తున్నాను.
更	ఇంకా; మరింత	ఈ రోజు నిన్నకంటే ఇంకా చల్లగా ఉంది.
公斤	కిలోగ్రాము	ఈ ఆపిళ్లు ఒక కిలోగ్రాము.
公园	పార్క్	పిల్లలు పార్క్‌లో ఆడుతున్నారు.
故事	కథ	తాతయ్య నాకు కథ చెబుతున్నారు.
刮风	గాలి వీయడం	ఈ రోజు గాలి వీచుతోంది, సైకిల్‌పై వెళ్లకు.
关	మూయడం; ఆఫ్ చేయడం	దయచేసి తలుపు మూసేయండి.
关系	సంబంధం; అనుబంధం	నా సహోద్యోగితో నాకు మంచి సంబంధం ఉంది.
关心	శ్రద్ధ చూపడం	అమ్మ నా ఆరోగ్యంపై చాలా శ్రద్ధ చూపుతుంది.
关于	గురించి	ఈ పుస్తకం చైనీస్ సంస్కృతి గురించి.
国家	దేశం; రాష్ట్రం	చైనా చాలా పెద్ద దేశం.
过	అనుభవ కణం; ముందు చేసి ఉండడం	నేను బీజింగ్‌కు వెళ్లి వచ్చాను.
过去	గతం; ముందు	ముందు ఇక్కడ మెట్రో లేదు.
还是	లేదా	నువ్వు టీ తాగుతావా, లేక కాఫీనా?
害怕	భయపడడం	నాకు పరీక్ష భయం లేదు.
黑板	బ్లాక్‌బోర్డ్	గురువు బ్లాక్‌బోర్డ్‌పై చైనీస్ అక్షరాలు రాస్తున్నారు.
后来	తర్వాత	తర్వాత మేము పార్క్‌కు వెళ్లాం.
护照	పాస్‌పోర్ట్	దయచేసి పాస్‌పోర్ట్ తీసుకురండి.
96:花	ఖర్చు చేయడం; ఖర్చవడం	ఫోన్ కొనడానికి రెండు వేల యువాన్ ఖర్చయ్యాయి.
97:花	పువ్వు	బల్లపై ఒక పువ్వు ఉంది.
画	చిత్రం; గీయడం	నా చెల్లికి పాండాలు గీయడం ఇష్టం.
坏	చెడు; పాడైన	నా కంప్యూటర్ పాడైంది.
欢迎	స్వాగతించడం	నా ఇంటికి స్వాగతం.
环境	పరిసరాలు; వాతావరణం	ఈ పాఠశాల వాతావరణం చాలా మంచిది.
还	తిరిగి ఇవ్వడం	దయచేసి నా పుస్తకాన్ని రేపు తిరిగి ఇవ్వు.
换	మార్చడం; మార్పిడి చేయడం	నేను చొక్కాను మార్చాలనుకుంటున్నాను.
黄河	హువాంగ్‌హె నది	హువాంగ్‌హె నది చాలా పొడవుగా ఉంది.
回答	సమాధానం ఇవ్వడం	దయచేసి నా ప్రశ్నకు సమాధానం ఇవ్వండి.
会议	సమావేశం	సమావేశం తొమ్మిది గంటలకు ప్రారంభమవుతుంది.
或者	లేదా	నువ్వు మెట్రోలో లేదా బస్సులో వెళ్లవచ్చు.
几乎	దాదాపు	అతను దాదాపు ప్రతిరోజూ వ్యాయామం చేస్తాడు.
机会	అవకాశం	ఇది మంచి అవకాశం.
极	అత్యంత; చాలా	ఆమె అత్యంత సంతోషంగా ఉంది.
季节	ఋతువు; కాలం	శరదృతువు నాకు అత్యంత ఇష్టమైన ఋతువు.
记得	గుర్తుంచుకోవడం	క్రెడిట్ కార్డ్ తీసుకురావడం గుర్తుందా?
检查	పరిశీలించడం; పరీక్షించడం	డాక్టర్ నన్ను పరీక్షిస్తున్నారు.
简单	సులభమైన; సరళమైన	ఈ వాక్యం చాలా సులభం.
健康	ఆరోగ్యం; ఆరోగ్యకరమైన	వ్యాయామం ఆరోగ్యానికి మంచిది.
见面	కలుసుకోవడం	మనం రేపు పాఠశాలలో కలుద్దాం.
讲	మాట్లాడడం; వివరించడం	గురువు చాలా స్పష్టంగా వివరిస్తున్నారు.
教	బోధించడం	ఆమె నాకు చైనీస్ అక్షరాలు రాయడం నేర్పుతోంది.
脚	పాదం	నా పాదం కొంచెం నొప్పిగా ఉంది.
角	మూల; కోణం	దుకాణం వీధి మూలలో ఉంది.
接	స్వాగతించడానికి వెళ్లడం; స్వీకరించడం	స్నేహితుడిని తీసుకురావడానికి నేను విమానాశ్రయానికి వెళ్తున్నాను.
街道	వీధి	ఈ వీధి చాలా శుభ్రంగా ఉంది.
结婚	పెళ్లి చేసుకోవడం	వారు వచ్చే సంవత్సరం పెళ్లి చేసుకుంటారు.
结束	ముగియడం; ముగించడం	పోటీ ఇప్పటికే ముగిసింది.
节目	కార్యక్రమం	ఈ టీవీ కార్యక్రమం చాలా మంచిది.
节日	పండుగ	వసంత పండుగ ముఖ్యమైన చైనీస్ పండుగ.
解决	పరిష్కరించడం	ఈ సమస్య ఇప్పటికే పరిష్కరించబడింది.
借	అప్పుగా తీసుకోవడం; అప్పుగా ఇవ్వడం	నేను నీ నిఘంటువు అప్పుగా తీసుకోవాలనుకుంటున్నాను.
经常	తరచుగా	నేను తరచుగా గ్రంథాలయానికి వెళ్తాను.
经过	దాటి వెళ్లడం; ప్రక్రియ	నేను ప్రతి రోజు ఈ పార్క్ పక్కగా వెళ్తాను.
经理	మేనేజర్	మేనేజర్ సమావేశంలో ఉన్నాడు.
久	చాలా కాలం	నేను ఇక్కడ చాలా కాలంగా నివసిస్తున్నాను.
旧	పాత; వాడిన	ఈ బట్ట చాలా పాతది.
句子	వాక్యం	దయచేసి ఒక వాక్యం రాయండి.
决定	నిర్ణయం; నిర్ణయించడం	నేను చైనీస్ నేర్చుకోవాలని నిర్ణయించుకున్నాను.
可爱	అందమైన; ముద్దైన	ఈ పిల్లి చాలా ముద్దుగా ఉంది.
渴	దాహం	నాకు దాహంగా ఉంది, నీరు తాగాలి.
刻	పదిహేను నిమిషాలు; క్షణం	ఇప్పుడు ఎనిమిది గంటల పదిహేను నిమిషాలు.
客人	అతిథి; వినియోగదారు	ఈ రోజు మా ఇంటికి ఒక అతిథి వచ్చారు.
空调	ఏసీ	దయచేసి ఏసీ ఆన్ చేయండి.
口	నోరు; లెక్కపదం	ఆమె ఒక ముద్ద నీరు తాగింది.
哭	ఏడవడం	పిల్లవాడు ఎందుకు ఏడుస్తున్నాడు?
裤子	ప్యాంటు	ఈ ప్యాంటు కొత్తది.
筷子	చాప్‌స్టిక్లు	నేను చాప్‌స్టిక్లతో తినగలను.
蓝	నీలం	ఆకాశం నీలంగా ఉంది.
老	వయసైన; పాత	నా గురువు వయసైనవారు కాదు.
离开	వదిలి వెళ్లడం	అతను రేపు బీజింగ్‌ను వదిలి వెళ్తాడు.
礼物	బహుమతి	ఇది నీకు బహుమతి.
历史	చరిత్ర	నాకు చైనా చరిత్ర ఇష్టం.
脸	ముఖం	ఆమె ముఖం చాలా ఎర్రగా ఉంది.
练习	అభ్యాసం; సాధన చేయడం	దయచేసి చైనీస్ మాట్లాడటాన్ని ఇంకా సాధన చేయండి.
辆	వాహనాల లెక్కపదం	తలుపు దగ్గర ఒక టాక్సీ ఉంది.
聊天	మాట్లాడుకోవడం	నేను స్నేహితుడితో మాట్లాడుకుంటున్నాను.
了解	అర్థం చేసుకోవడం; తెలుసుకోవడం	నేను చైనీస్ సంస్కృతిని అర్థం చేసుకోవాలనుకుంటున్నాను.
邻居	పక్కింటివాడు	నా పక్కింటివాడు చాలా స్నేహపూర్వకుడు.
留学	విదేశంలో చదవడం	ఆమె చైనాలో చదువుతోంది.
楼	భవనం; అంతస్తు	కార్యాలయం మూడో అంతస్తులో ఉంది.
绿	ఆకుపచ్చ	వసంతంలో చెట్లు ఆకుపచ్చగా మారుతాయి.
马	గుర్రం	ఆ గుర్రం చాలా వేగంగా పరుగెడుతుంది.
马上	వెంటనే	నేను వెంటనే తిరిగి వస్తాను.
满意	సంతృప్తి చెందిన	ఈ గదితో నేను చాలా సంతృప్తిగా ఉన్నాను.
帽子	టోపీ	ఈ టోపీ చాలా అందంగా ఉంది.
米	మీటర్; బియ్యం	ఈ బల్ల రెండు మీటర్లు పొడవుగా ఉంది.
面包	రొట్టె	ఉదయం భోజనానికి నేను రొట్టె తింటాను.
明白	అర్థం చేసుకోవడం; స్పష్టమైన	నువ్వు చెప్పేది నాకు అర్థమైంది.
拿	తీసుకోవడం; పట్టుకోవడం	దయచేసి నాకు ఒక పుస్తకం తీసుకురా.
奶奶	అమ్మమ్మ; నాయనమ్మ	అమ్మమ్మకు సంగీతం వినడం ఇష్టం.
南	దక్షిణం	పాఠశాల నగరానికి దక్షిణంలో ఉంది.
难	కష్టం	ఈ ప్రశ్న కష్టం కాదు.
难过	బాధపడడం	ఆమె ఈ రోజు కొంచెం బాధగా ఉంది.
年级	తరగతి స్థాయి; విద్యా సంవత్సరం	నా చెల్లి మూడో తరగతిలో ఉంది.
年轻	యువ	ఈ మేనేజర్ చాలా యువకుడు.
鸟	పక్షి	చెట్టుపై ఒక పక్షి ఉంది.
努力	ప్రయత్నం; కష్టపడడం	అతను చాలా కష్టపడి చదువుతున్నాడు.
爬山	కొండ ఎక్కడం	ఈ వారాంతంలో మేము కొండ ఎక్కబోతున్నాం.
盘子	పళ్లెం	బల్లపై మూడు పళ్లెాలు ఉన్నాయి.
胖	లావు	ఈ కుక్క కొంచెం లావుగా ఉంది.
啤酒	బీర్	నాన్న బీర్ తాగరు.
皮鞋	తోలు చెప్పులు	ఈ తోలు చెప్పుల జంట ఖరీదైనది.
瓶子	సీసా	సీసాలో నీరు ఉంది.
其实	నిజానికి	నిజానికి నాకు బీర్ ఇష్టం లేదు.
其他	ఇతర; మిగతా	మిగతా తరగతి స్నేహితులందరూ వచ్చారు.
奇怪	వింతైన	ఈ శబ్దం చాలా వింతగా ఉంది.
骑	సవారీ చేయడం; తొక్కడం	ఆమె ప్రతిరోజూ సైకిల్‌పై పనికి వెళ్తుంది.
起飞	ఎగరడం; బయలుదేరడం	విమానం త్వరలో బయలుదేరుతుంది.
起来	లేచడం	దయచేసి లేచి నిలబడండి.
清楚	స్పష్టమైన	నువ్వు చాలా స్పష్టంగా మాట్లాడావు.
请假	సెలవు అడగడం	ఆమెకు జలుబు వచ్చింది, కాబట్టి సెలవు అడగాలి.
秋	శరదృతువు	శరదృతువులో వాతావరణం ఆహ్లాదకరంగా ఉంటుంది.
裙子	స్కర్టు	ఈ స్కర్టు చాలా అందంగా ఉంది.
然后	తర్వాత	నేను మొదట తింటాను, తర్వాత ఇంటిపని చేస్తాను.
热情	ఆప్యాయమైన; ఉత్సాహమైన	చైనీస్ స్నేహితులు చాలా ఆప్యాయంగా ఉంటారు.
认为	అనుకోవడం; భావించడం	ఈ పద్ధతి మంచిదని నేను అనుకుంటున్నాను.
认真	గంభీరమైన; జాగ్రత్తగా	దయచేసి గురువు మాట జాగ్రత్తగా వినండి.
容易	సులభమైన	ఈ చైనీస్ అక్షరం రాయడం సులభం.
如果	అయితే	వర్షం పడితే మేము మెట్రోలో వెళ్తాం.
伞	గొడుగు	వర్షం పడుతోంది, దయచేసి గొడుగు తీసుకో.
上网	ఇంటర్నెట్‌లోకి వెళ్లడం	సాయంత్రం పటం చూడడానికి నేను ఇంటర్నెట్‌లోకి వెళ్తాను.
声音	శబ్దం; స్వరం	నీ స్వరం బాగా వినిపిస్తోంది.
生气	కోపపడడం	కోపపడకు, నేను అది కావాలనే చేయలేదు.
世界	ప్రపంచం	ప్రపంచం చాలా పెద్దది.
试	ప్రయత్నించడం; పరీక్షించడం	నేను ఈ తోలు చెప్పుల జంటను వేసి చూడాలనుకుంటున్నాను.
瘦	సన్నగా	అతను మునుపటి కంటే సన్నగా ఉన్నాడు.
叔叔	మామయ్య	మామయ్య నన్ను కారులో పాఠశాలకు తీసుకెళ్తారు.
舒服	సౌకర్యమైన; సుఖమైన	ఈ కుర్చీ సౌకర్యంగా ఉంది.
数学	గణితం	గణిత తరగతి ఆసక్తికరంగా ఉంది.
树	చెట్టు	ఇంటి ముందు ఒక చెట్టు ఉంది.
刷牙	పళ్లు తోమడం	నేను ప్రతి ఉదయం పళ్లు తోముతాను.
双	జంట	నేను ఒక జంట తోలు చెప్పులు కొన్నాను.
水平	స్థాయి	అతని చైనీస్ స్థాయి ఎక్కువగా ఉంది.
司机	డ్రైవర్	డ్రైవర్ తలుపు దగ్గర మా కోసం ఎదురుచూస్తున్నాడు.
太阳	సూర్యుడు	ఈ రోజు ఎండ చాలా తీవ్రంగా ఉంది.
特别	ప్రత్యేకంగా; ప్రత్యేకమైన	ఈ కార్యక్రమం ప్రత్యేకంగా ఆసక్తికరంగా ఉంది.
疼	నొప్పి ఉండడం	నా పాదం నొప్పిగా ఉంది.
提高	మెరుగుపరచడం; పెంచడం	ఎక్కువ సాధన చేస్తే చైనీస్ స్థాయిని మెరుగుపరచవచ్చు.
体育	క్రీడలు; శారీరక విద్య	నాకు శారీరక విద్య తరగతి ఇష్టం.
甜	తీపి	ఈ పానీయం చాలా తీపిగా ఉంది.
条	పొడవైన వస్తువుల లెక్కపదం; పట్టీ	నేను ఒక స్కర్టు కొనాను.
同事	సహోద్యోగి	నా సహోద్యోగి చాలా బిజీగా ఉన్నాడు.
同意	అంగీకరించడం	నీ నిర్ణయానికి నేను అంగీకరిస్తున్నాను.
头发	జుట్టు	ఆమె జుట్టు పొడవుగా ఉంది.
突然	అకస్మాత్తుగా	అతను అకస్మాత్తుగా వెళ్లిపోయాడు.
图书馆	గ్రంథాలయం	గ్రంథాలయం ఈ రోజు తెరవలేదు.
腿	కాలు	కొండ ఎక్కిన తర్వాత నా కాళ్లు నొప్పిగా ఉన్నాయి.
完成	పూర్తి చేయడం	నేను ఇంటిపనిని ఇప్పటికే పూర్తిచేశాను.
碗	గిన్నె	బల్లపై రెండు గిన్నెలు ఉన్నాయి.
万	పది వేల	ఈ నగరంలో పది వేల మంది ఉన్నారు.
忘记	మర్చిపోవడం	పాస్‌పోర్ట్ తీసుకురావడం మర్చిపోకు.
为	కోసం; కారణంగా	నీ కోసం నేను సంతోషంగా ఉన్నాను.
为了	కోసం; ఉద్దేశ్యంతో	పరీక్ష కోసం ఆమె ప్రతిరోజూ పునశ్చరణ చేస్తుంది.
位	మనుషుల కోసం గౌరవ లెక్కపదం	ఈ గురువు చాలా ప్రసిద్ధుడు.
文化	సంస్కృతి	నేను చైనీస్ సంస్కృతిని అర్థం చేసుకోవాలనుకుంటున్నాను.
西	పడమర	బ్యాంకు పాఠశాల పడమర వైపున ఉంది.
习惯	అలవాటు; అలవాటు పడడం	నాకు ఉదయం వ్యాయామం చేయడం అలవాటు.
洗手间	మరుగుదొడ్డి	మరుగుదొడ్డి కుడి వైపున ఉంది.
洗澡	స్నానం చేయడం	సాయంత్రం నేను స్నానం చేస్తాను.
夏	వేసవి	వేసవి చాలా వేడిగా ఉంటుంది.
先	ముందుగా	నువ్వు ముందుగా తిను.
相信	నమ్మడం	అతను వస్తాడని నేను నమ్ముతున్నాను.
香蕉	అరటిపండు	నేను మూడు అరటిపండ్లు కొనాను.
像	లాగా; పోలి ఉండడం	ఈ మేఘం పక్షిలాగా ఉంది.
向	వైపు; దిశ	దయచేసి ఎడమవైపు వెళ్లండి.
小心	జాగ్రత్తగా ఉండడం	వర్షం పడుతోంది, దారిలో జాగ్రత్తగా ఉండు.
校长	ప్రధానోపాధ్యాయుడు	ప్రధానోపాధ్యాయుడు కార్యాలయంలో ఉన్నారు.
新闻	వార్తలు	నాన్న ప్రతిరోజూ వార్తలు చూస్తారు.
新鲜	తాజా	ఈ పండు చాలా తాజాగా ఉంది.
信用卡	క్రెడిట్ కార్డ్	నేను క్రెడిట్ కార్డ్‌తో చెల్లించవచ్చా?
行李箱	సూట్‌కేస్	నా సూట్‌కేస్ బరువుగా ఉంది.
熊猫	పాండా	పిల్లలకు పాండాలు చూడడం ఇష్టం.
需要	అవసరం ఉండడం	నాకు నీ సహాయం అవసరం.
选择	ఎంచుకోవడం; ఎంపిక	నువ్వు ఏ చొక్కాను ఎంచుకుంటావు?
要求	కోరడం; అవసరం	గురువు ఇంటిపనిని జాగ్రత్తగా చేయాలని కోరుతున్నారు.
爷爷	తాతయ్య	తాతయ్య ప్రతిరోజూ పార్క్‌కు వెళ్తారు.
一直	ఎప్పటినుంచో; నిరంతరం	అతను చాలా సేపుగా నిన్ను వేచి ఉన్నాడు.
一定	తప్పక; ఖచ్చితంగా	నేను తప్పకుండా వస్తాను.
一共	మొత్తం	ఈ పుస్తకాలు మొత్తం ఎంత?
一会儿	కొద్దిసేపు	దయచేసి నా కోసం కొద్దిసేపు వేచి ఉండండి.
一样	ఒకే; సమానమైన	ఈ రెండు కప్పులు ఒకే పరిమాణంలో ఉన్నాయి.
以前	ముందు; గతంలో	నేను ముందు బీజింగ్‌లో నివసించాను.
一般	సాధారణ; సగటు	ఈ రెస్టారెంట్ భోజనం సాధారణంగా ఉంది.
一边	ఒక వైపు; ఒకేసారి	ఆమె సంగీతం వింటూ ఇంటిపని చేస్తోంది.
音乐	సంగీతం	నాకు చైనీస్ సంగీతం ఇష్టం.
银行	బ్యాంకు	బ్యాంకు సూపర్‌మార్కెట్ పక్కన ఉంది.
饮料	పానీయం	ఈ పానీయం రుచి బాగుంది.
应该	చేయాలి; కావాలి	నువ్వు ఇంకా ఎక్కువ విశ్రాంతి తీసుకోవాలి.
影响	ప్రభావం; ప్రభావితం చేయడం	వాతావరణం పోటీపై ప్రభావం చూపుతుంది.
用	ఉపయోగించడం	ఇంటిపని చేయడానికి నేను కంప్యూటర్ ఉపయోగిస్తాను.
游戏	ఆట	పిల్లలు ఒక ఆట ఆడుతున్నారు.
有名	ప్రసిద్ధమైన	ఈ రెస్టారెంట్ చాలా ప్రసిద్ధి చెందినది.
又	మళ్లీ	అతను ఈ రోజు మళ్లీ ఆలస్యంగా వచ్చాడు.
遇到	కలుసుకోవడం; ఎదుర్కొనడం	నేను వీధిలో గురువును కలిశాను.
元	యువాన్	ఈ నిఘంటువు యాభై యువాన్.
愿意	ఇష్టపడడం; సిద్ధంగా ఉండడం	మీరు పాల్గొనడానికి సిద్ధంగా ఉన్నారా?
月亮	చంద్రుడు	ఈ రాత్రి చంద్రుడు ప్రకాశంగా ఉన్నాడు.
越	ఎంత ఎక్కువ... అంత ఎక్కువ...	చైనీస్‌ను ఎంత ఎక్కువ నేర్చుకుంటానో, అంత ఎక్కువ ఆసక్తికరంగా అనిపిస్తుంది.
站	స్టేషన్; నిలబడడం	అతను తలుపు దగ్గర నిలబడి ఉన్నాడు.
张	సపాటైన వస్తువుల లెక్కపదం	దయచేసి నాకు ఒక పటం ఇవ్వండి.
长	పెరగడం	పిల్లలు త్వరగా పెరుగుతారు.
着急	ఆతురపడడం; ఆందోళన చెందడం	ఆందోళన చెందకు, లిఫ్ట్ త్వరలో వస్తుంది.
照顾	చూసుకోవడం; సంరక్షించడం	ఆమె అనారోగ్యంగా ఉన్న అమ్మమ్మను చూసుకుంటోంది.
照片	ఫోటో	ఈ ఫోటో బాగా కనిపిస్తోంది.
照相机	కెమెరా	నేను కెమెరాతో ఫోటోలు తీస్తాను.
283:只	మాత్రమే	నేను ఒక కప్పు టీ మాత్రమే తాగుతాను.
284:只	జంతువుల లెక్కపదం	బల్ల కింద ఒక పిల్లి ఉంది.
只有…才…	మాత్రమే... అప్పుడు మాత్రమే...	జాగ్రత్తగా పునశ్చరణ చేస్తే మాత్రమే పరీక్షలో మంచి ఫలితం పొందగలవు.
中间	మధ్యలో	బల్ల గది మధ్యలో ఉంది.
中文	చైనీస్ భాష; చైనీస్ లిపి	నేను ప్రతిరోజూ చైనీస్ నేర్చుకుంటాను.
终于	చివరకు	మేము చివరకు చేరుకున్నాం.
种	రకం	నీకు ఏ రకమైన పానీయం ఇష్టం?
重要	ముఖ్యమైన	పాస్‌పోర్ట్ చాలా ముఖ్యమైనది.
周末	వారాంతం	వారాంతంలో నాకు పార్క్‌కు వెళ్లాలనుంది.
主要	ప్రధాన; ముఖ్యమైన	ఆమె ప్రధాన అభిరుచి సంగీతం.
注意	శ్రద్ధ పెట్టడం	దయచేసి గురువుపై శ్రద్ధ పెట్టండి.
自己	తానే; స్వయం	ఇంటిపని నేనే చేయాలనుకుంటున్నాను.
自行车	సైకిల్	నా సైకిల్ కింద ఉంది.
总是	ఎప్పుడూ	అతను ఎప్పుడూ కార్యాలయానికి ముందుగానే వస్తాడు.
嘴	నోరు	దయచేసి నోరు తెరవండి.
最后	చివరి; చివరికి	చివరికి మేమంతా అంగీకరించాం.
最近	ఇటీవల; ఈ రోజుల్లో	ఈ రోజుల్లో నేను బిజీగా ఉన్నాను.
作业	ఇంటిపని; పని	నేను ఇంకా ఇంటిపని పూర్తి చేయలేదు.
