source_headword	IT	example_IT
balloon	il palloncino	Il palloncino galleggiava sopra il tavolo.
barely	a malapena	Ha sentito a malapena l'annuncio.
bargain	l'affare	Quella giacca è stata un vero affare.
basement	il seminterrato	Le scatole sono nel seminterrato.
basket	il cesto	Ha messo le mele nel cesto.
bat	la mazza	Il pipistrello volò fuori dalla grotta.
beneficial	vantaggioso	L'esercizio fisico regolare è benefico per la salute.
beside	accanto a	La lampada si trova accanto al divano.
besides	inoltre	Oltre alla matematica, studia chimica.
bias	il pregiudizio	L'articolo mostrava un chiaro pregiudizio.
bid	l'offerta	L'azienda ha fatto un'offerta più alta.
biological	biologico	Il test biologico ha confermato il risultato.
blanket	la coperta	Il bambino dormiva sotto una coperta.
blow	il colpo	Il forte colpo ha rotto la finestra.
bold	audace	Il titolo usava lettere in grassetto.
bombing	il bombardamento	Il bombardamento ha danneggiato diversi edifici.
booking	la prenotazione	Ho confermato la prenotazione dell'hotel.
boost	stimolare	La vittoria ha aumentato la fiducia della squadra.
bound	vincolante	Il pacco era legato con uno spago.
brick	il mattone	Il muro è fatto di mattoni.
briefly	brevemente	Ha parlato brevemente dopo pranzo.
broadcaster	il conduttore	Il presentatore ha intervistato il sindaco.
broadly	in termini generali	I due piani sono ampiamente simili.
bug	il bug	L'app si è bloccata a causa di un bug.
cabin	la baita	Siamo stati in una piccola baita.
canal	il canale	Le barche si muovevano lentamente lungo il canale.
candle	la candela	La candela bruciava sul tavolo.
carbon	il carbonio	Gli alberi assorbono il carbonio dall'aria.
casual	informale	Indossava abiti informali al lavoro.
cave	la grotta	Gli escursionisti sono entrati nella grotta.
certainty	la certezza	Non possiamo saperlo con certezza.
certificate	il certificato	Ha ricevuto un certificato di formazione.
challenging	impegnativo	Il corso è stato impegnativo ma utile.
championship	il campionato	La nostra squadra ha raggiunto la finale del campionato.
charming	affascinante	La vecchia strada sembrava incantevole.
chase	inseguire	Il cane ha inseguito la palla.
cheek	la guancia	Una lacrima le scese lungo la guancia.
cheer	tifare	La folla ha iniziato a esultare ad alta voce.
choir	il coro	Il coro ha cantato magnificamente.
chop	tagliare	Taglia le cipolle in piccoli pezzi.
circuit	il circuito	Il corridore ha completato il circuito.
civilization	la civiltà	L'antica civiltà ha plasmato questa regione.
clarify	chiarire	Per favore, chiarisci l'ultimo punto.
classify	classificare	Gli scienziati classificano gli animali per specie.
clerk	l'impiegato	L'impiegato ha stampato la ricevuta.
cliff	la scogliera	Il sentiero finisce vicino a una scogliera.
clinic	la clinica	La clinica apre alle otto.
clip	la clip	Ha attaccato la graffetta alla carta.
coincidence	la coincidenza	Incontrarlo lì è stata una coincidenza.
collector	il collezionista	Il collezionista ha comprato monete rare.
colony	la colonia	Le formiche hanno costruito una grande colonia.
colourful	colorato	Il mercato era luminoso e colorato.
comic	il fumetto	La scena comica ci ha fatto ridere.
commander	il comandante	Il comandante ha dato ordini chiari.
comparative	comparativo	Il saggio utilizza dati comparativi.
completion	il completamento	Il ponte è vicino al completamento.
compose	comporre	Comporrà la musica per il film.
composer	il compositore	Il compositore ha scritto una nuova canzone.
compound	il composto	Il composto contiene due sostanze chimiche.
comprehensive	completo	La guida fornisce istruzioni complete.
comprise	comprendere	La squadra comprende cinque membri.
compulsory	obbligatorio	La frequenza è obbligatoria per questo corso.
concrete	il cemento	Il pavimento è fatto di cemento.
confess	confessare	Ha confessato l'errore al suo insegnante.
confusion	la confusione	Il ritardo ha causato confusione.
consequently	di conseguenza	Pioveva; di conseguenza, la partita si è fermata.
conservation	la conservazione	La conservazione protegge gli animali rari.
considerable	considerevole	La riparazione ha richiesto un tempo considerevole.
considerably	notevolmente	I prezzi sono aumentati notevolmente quest'anno.
consistently	coerentemente	Si esibisce costantemente bene.
conspiracy	la cospirazione	La polizia ha indagato sulla cospirazione.
consult	consultare	Consulta il tuo medico prima di prendere medicine.
consultant	il consulente	Il consulente ha suggerito una nuova strategia.
consumption	il consumo	Il consumo di energia è diminuito il mese scorso.
controversial	controverso	La politica rimane controversa.
controversy	la controversia	La decisione ha causato controversie.
convenience	la comodità	Il negozio offre una grande comodità.
convention	la convenzione	La convenzione annuale inizia lunedì.
conventional	convenzionale	Ha scelto un design convenzionale.
convey	trasmettere	Il messaggio trasmetteva simpatia.
convincing	convincente	La sua spiegazione è stata convincente.
cope	far fronte a	Ha imparato a far fronte allo stress.
corporation	la corporazione	La corporazione ha aperto un nuovo ufficio.
corridor	il corridoio	Il corridoio era stretto e silenzioso.
counter (long flat surface)	il bancone	Le chiavi sono sul bancone della cucina.
coverage	la copertura	La copertura delle notizie è durata tutta la sera.
crack	la crepa	Una crepa è apparsa sul muro.
craft	il mestiere	Vende artigianato fatto a mano online.
creativity	la creatività	La creatività aiuta a risolvere i problemi.
critically	criticamente	L'articolo era criticamente importante.
cruise	la crociera	Hanno prenotato una crociera per la Grecia.
cue	il segnale	L'attore ha perso il suo segnale.
curious	curioso	Il bambino era curioso riguardo allo spazio.
curriculum	il curriculum	La scuola ha aggiornato il suo curriculum.
cute	carino	Il cucciolo sembrava carino.
dairy	il caseificio	La fattoria produce latticini.
dare	osare	Ti sfido a provarlo.
darkness	l'oscurità	La stanza si è riempita di oscurità.
database	il database	Il database memorizza i record dei clienti.
deadline	la scadenza	La scadenza è venerdì.
deadly	mortale	Il serpente ha un veleno letale.
dealer	il concessionario	Il concessionario di auto ha offerto uno sconto.
deck	il ponte	Le sedie sono sulla terrazza.
defender	il difensore	Il difensore ha bloccato il tiro.
delete	eliminare	Elimina il vecchio messaggio.
democracy	la democrazia	La democrazia dipende dalle libere elezioni.
democratic	democratico	Il voto ha seguito regole democratiche.
demonstration	la manifestazione	Gli studenti si sono uniti a una manifestazione.
depart	partire	Il treno partirà a mezzogiorno.
dependent	dipendente	Il bambino è dipendente dagli adulti.
deposit	il deposito	Ha pagato un deposito per l'appartamento.
depression	la depressione	La depressione richiede supporto professionale.
derive	derivare	Molte parole derivano dal latino.
desperately	disperatamente	Aveva disperatamente bisogno di acqua.
destruction	la distruzione	La tempesta ha causato una distruzione diffusa.
determination	la determinazione	La sua determinazione ha impressionato l'allenatore.
devote	dedicare	Dedica i fine settimana allo studio.
differ	differire	Le loro opinioni differiscono nettamente.
disability	la disabilità	L'edificio ha l'accesso per disabili.
disabled	disabile	L'atleta disabile ha vinto una medaglia.
disagreement	il disaccordo	L'incontro si è concluso in disaccordo.
disappoint	deludere	Il risultato potrebbe deludere i fan.
disappointment	la delusione	Ha provato una profonda delusione.
discourage	scoraggiare	Non scoraggiare i giovani studenti.
disorder	il disturbo	Il medico ha diagnosticato un disturbo del sonno.
distant	distante	Le montagne sembravano distanti.
distinct	distinto	I due suoni sono distinti.
distinguish	distinguere	Riesci a distinguere questi colori?
distract	distrarre	Il rumore può distrarre gli studenti.
disturb	disturbare	Si prega di non disturbare il paziente.
dive	tuffarsi	Si immergeranno vicino alla barriera corallina.
diverse	diverso	La città ha culture diverse.
diversity	la diversità	Celebriamo la diversità culturale.
divorce	il divorzio	Il divorzio è stato difficile per tutti.
dominant	dominante	La squadra dominante ha controllato il gioco.
donation	la donazione	L'ente di beneficenza ha ricevuto una donazione.
dot	il punto	Metti un punto dopo il numero.
downtown	il centro città	Ci siamo incontrati in centro dopo il lavoro.
dramatically	drasticamente	Il prezzo è sceso drasticamente.
drought	la siccità	La siccità ha danneggiato i raccolti.
dull	noioso	La lezione è stata noiosa.
dump	scaricare	Non scaricare i rifiuti qui.
duration	la durata	La durata del volo è di tre ore.
dynamic	dinamico	L'aula sembrava dinamica.
economics	l'economia	Studia economia all'università.
economist	l'economista	L'economista ha previsto una crescita più lenta.
editorial	editoriale	L'editoriale criticava la legge.
efficiently	efficacemente	La squadra ha lavorato efficacemente.
elbow	il gomito	Si è fatto male al gomito.
electronics	l'elettronica	Il negozio vende articoli di elettronica.
elegant	elegante	Il vestito sembrava elegante.
elementary	elementare	Il libro spiega la grammatica elementare.
eliminate	eliminare	La squadra ha eliminato diversi errori.
embrace	accogliere	Ha abbracciato la nuova idea.
emission	l'emissione	I livelli di emissione delle auto sono diminuiti.
emotionally	emotivamente	Ha parlato emotivamente della sua famiglia.
empire	l'impero	L'impero è durato per secoli.
enjoyable	piacevole	Il viaggio è stato piacevole.
entertaining	divertente	Lo spettacolo è stato divertente.
entrepreneur	l'imprenditore	L'imprenditore ha aperto un bar.
envelope	la busta	Metti la lettera in una busta.
equip	equipaggiare	La scuola attrezzerà il laboratorio.
equivalent	l'equivalente	Un dollaro non è equivalente qui.
era	l'era	La scoperta ha iniziato una nuova era.
erupt	esplodere	Il vulcano potrebbe eruttare presto.
essentially	essenzialmente	I due metodi sono essenzialmente identici.
ethic	l'etica	La sua etica del lavoro è forte.
ethnic	etnico	Il festival celebra le tradizioni etniche.
evaluation	la valutazione	Il corso include una valutazione finale.
evident	evidente	Il suo nervosismo era evidente.
evolution	l'evoluzione	L'evoluzione spiega molti cambiamenti biologici.
evolve	evolvere	Le lingue si evolvono nel tempo.
exceed	superare	La domanda potrebbe superare l'offerta.
exception	l'eccezione	C'è un'eccezione.
excessive	eccessivo	Il rumore eccessivo disturba i vicini.
exclude	escludere	L'elenco esclude i lavoratori temporanei.
exhibit	la mostra	Il museo esporrà fotografie rare.
exit	l'uscita	L'uscita è dietro il palco.
exotic	esotico	Il negozio vende frutta esotica.
expansion	l'espansione	L'azienda ha pianificato un'espansione.
expertise	la competenza	La sua competenza ha migliorato il progetto.
exploit	sfruttare	I criminali sfruttano password deboli.
exposure	l'esposizione	L'esposizione al sole può danneggiare la pelle.
extension	l'estensione	La proroga della scadenza ha aiutato tutti.
extensive	esteso	La biblioteca ha ampie risorse.
extensively	ampiamente	L'argomento è stato studiato ampiamente.
extract	l'estratto	L'estratto di vaniglia dà sapore.
fabric	il tessuto	Il tessuto è morbido al tatto.
fabulous	favoloso	Il pasto è stato favoloso.
failed	fallito	Il tentativo fallito ci ha insegnato qualcosa.
fake	falso	Il sito web vendeva biglietti falsi.
fame	la fama	La fama ha cambiato la sua vita privata.
fantasy	la fantasia	Il romanzo è un fantasy.
fare	la tariffa	La tariffa dell'autobus è aumentata.
federal	federale	Il governo federale ha annunciato i fondi.
fever	la febbre	Il bambino ha la febbre.
firefighter	il vigile del fuoco	Il vigile del fuoco ha salvato il cane.
firework	il fuoco d'artificio	Un fuoco d'artificio è esploso sopra il parco.
firm	fermo	Il materasso è rigido.
firmly	fermamente	Ha chiuso la porta saldamente.
flavour	il sapore	La zuppa ha un sapore ricco.
fond	affettuoso	È un appassionato di jazz.
fool	lo sciocco	Non comportarti da sciocco.
forbid	proibire	La legge proibisce di fumare qui.
forecast	la previsione	Le previsioni indicano pioggia.
format	il formato	Usa il formato di file corretto.
formation	la formazione	La formazione delle nuvole cambia rapidamente.
formerly	precedentemente	L'edificio era precedentemente una scuola.
fortunate	fortunato	Siamo stati fortunati ad arrivare presto.
forum	il forum	Il forum ha discusso la politica climatica.
fossil	il fossile	Il fossile è stato trovato nella pietra.
foundation	la fondazione	La casa ha fondamenta solide.
founder	il fondatore	Il fondatore ha dato il benvenuto agli ospiti.
fraction	la frazione	Solo una frazione degli studenti è venuta.
fragment	il frammento	Un frammento di vetro giaceva sul pavimento.
framework	il quadro	La legge crea un quadro normativo chiaro.
fraud	la frode	La banca ha rilevato una frode.
freely	liberamente	I bambini giocavano liberamente all'aperto.
frequent	frequente	Le pause frequenti migliorano la concentrazione.
fulfil	soddisfare	Spero di mantenere la mia promessa.
full-time	a tempo pieno	Ha un lavoro a tempo pieno.
fundamentally	fondamentalmente	Il piano è fondamentalmente diverso.
furious	furioso	Era furioso per il ritardo.
gaming	il gioco	Il gaming può migliorare la velocità di reazione.
gay	gay	Sostiene i diritti dei gay.
gender	il genere	Il sondaggio chiedeva del genere.
gene	il gene	Il gene influenza il colore degli occhi.
genetic	genetico	La malattia ha cause genetiche.
genius	il genio	Il giovane pianista è un genio.
genuine	genuino	Il suo sorriso sembrava genuino.
genuinely	genuinamente	Voleva sinceramente aiutare.
gesture	il gesto	Ha fatto un gesto amichevole.
gig	il concerto	La band ha suonato un concerto in centro.
globalization	la globalizzazione	La globalizzazione colpisce le imprese locali.
globe	il globo	Il globo mostra ogni continente.
golden	d'oro	Il tramonto è diventato dorato.
goodness	la bontà	Crede nella bontà umana.
gorgeous	stupendo	Il giardino era stupendo.
governor	il governatore	Il governatore ha firmato la legge.
graphic	grafico	L'immagine esplicita ha scioccato gli spettatori.
graphics	la grafica	Il gioco ha una grafica semplice.
greatly	molto	Il tuo consiglio ha aiutato enormemente.
greenhouse	la serra	I pomodori crescono dentro la serra.
grocery	il negozio di alimentari	Ha comprato generi alimentari dopo il lavoro.
guideline	la linea guida	La linea guida spiega la pratica sicura.
habitat	l'habitat	La foresta è un habitat per gli uccelli.
harbour	il porto	La barca è entrata nel porto.
headquarters	la sede	La sede centrale dell'azienda si è trasferita in centro.
