source_headword	ID	example_ID
sensitive	sensitif	Topik ini sangat sensitif.
sequence	urutan	Ikuti urutan langkah-langkahnya.
session	sesi	Sesi pelatihan dimulai pada siang hari.
settle	menyelesaikan	Mereka menyelesaikan perdebatan itu dengan cepat.
severe	parah	Badai itu menyebabkan banjir parah.
shade	tempat teduh	Duduklah di tempat teduh.
shadow	bayangan	Sebuah bayangan melintasi jendela.
shallow	dangkal	Danau ini dangkal di sini.
shame	rasa malu	Dia merasa malu setelah berbohong.
shelter	tempat penampungan	Sekolah menyediakan tempat penampungan darurat.
shock	kejutan	Keputusan itu mengejutkan.
shocked	terkejut	Dia tampak terkejut dengan berita itu.
shooting	penembakan	Penembakan itu terjadi di dekat stasiun.
shot	tembakan	Pukulan kemenangan itu mengejutkan semua orang.
significant	signifikan	Penemuan itu sangat penting.
significantly	secara signifikan	Biaya meningkat secara signifikan tahun lalu.
silence	keheningan	Ruangan itu jatuh dalam keheningan.
silk	sutra	Gaun itu terbuat dari sutra.
sincere	tulus	Terimalah ucapan terima kasih saya yang tulus.
slave	budak	Hukum itu membebaskan setiap budak.
slide	meluncur	Anak itu meluncur ke bawah.
slight	sedikit	Ada sedikit penundaan.
slip	terpeleset	Jangan terpeleset di lantai yang basah.
slope	lereng	Jalan setapak itu mengikuti lereng yang curam.
solar	surya	Rumah itu menggunakan energi surya.
somewhat	agak	Instruksinya agak membingungkan.
soul	jiwa	Musik mengangkat jiwanya.
specialist	spesialis	Spesialis itu memeriksa pasien.
species	spesies	Spesies ini hidup di dekat sungai.
spiritual	spiritual	Dia menggambarkan pengalaman spiritual.
split	membagi	Mereka membagi tagihannya secara merata.
sponsor	mensponsori	Perusahaan itu akan mensponsori acara tersebut.
stable	stabil	Pasien tersebut stabil.
stare	menatap	Jangan menatap orang asing.
status	status	Statusnya berubah dalam semalam.
steady	stabil	Pertahankan kecepatan yang stabil.
steel	baja	Jembatan itu terbuat dari baja.
steep	curam	Bukit itu curam.
sticky	lengket	Lantai terasa lengket.
stiff	kaku	Bahunya terasa kaku.
stock	stok	Toko itu tidak memiliki stok tersisa.
stream	sungai kecil	Sebuah sungai kecil melintasi ladang.
stretch	meregangkan	Regangkan kaki Anda setelah penerbangan.
strict	ketat	Sekolah itu memiliki aturan yang ketat.
strike	mogok kerja	Pekerja mungkin mogok kerja besok.
struggle	berjuang	Banyak keluarga berjuang dengan uang sewa.
submit	menyerahkan	Serahkan formulir itu paling lambat hari Jumat.
sum	jumlah	Jumlahnya lebih tinggi dari yang diharapkan.
surgery	operasi	Operasi itu berlangsung selama dua jam.
surround	mengelilingi	Pohon-pohon tinggi mengelilingi rumah tersebut.
surrounding	sekitar	Area sekitarnya sunyi.
suspect	mencurigai	Polisi mencurigai seorang pria setempat.
swear	mengumpat	Jangan mengumpat di kelas.
sweep	menyapu	Sapu lantai sebelum tamu datang.
sympathy	simpati	Dia menyatakan simpati kepada para korban.
tale	kisah	Nenek menceritakan kisah yang aneh.
tank	tangki	Tangki itu menampung air bersih.
tear1	merobek	Jangan merobek dokumen tersebut.
tear2	air mata	Air mata mengalir di pipinya.
temporary	sementara	Kantor itu adalah tempat penampungan sementara.
therapy	terapi	Terapi fisik membantu pemulihannya.
threat	ancaman	Pesan itu berisi ancaman.
threaten	mengancam	Badai dapat mengancam panen.
thus	oleh karena itu	Jalan ditutup; oleh karena itu, kami menunggu.
tone	nada	Nadanya terdengar tenang.
tough	sulit	Wawancaranya sulit.
transfer	mentransfer	Mereka mentransfer data setiap malam.
transform	mengubah	Kebijakan baru akan mengubah layanan.
transition	transisi	Transisinya memakan waktu beberapa bulan.
trial	persidangan	Persidangannya dimulai minggu depan.
tropical	tropis	Badai tropis umum terjadi di sini.
truly	benar-benar	Saya benar-benar menghargai bantuan Anda.
trust	kepercayaan	Membangun kepercayaan membutuhkan waktu.
tune	nada	Band itu memainkan nada yang ceria.
tunnel	terowongan	Terowongannya membentang di bawah sungai.
ultimately	pada akhirnya	Pada akhirnya, rencana itu berhasil.
unconscious	tidak sadar	Pasien itu tetap tidak sadar.
unexpected	tidak terduga	Penundaannya tidak terduga.
unique	unik	Setiap desain itu unik.
universe	alam semesta	Alam semesta sedang meluas.
unknown	tidak diketahui	Namanya tetap tidak diketahui.
upper	atas	Rak atasnya kosong.
upwards	ke atas	Asapnya bergerak ke atas.
urban	perkotaan	Daerah perkotaan membutuhkan transportasi yang lebih baik.
urge	mendesak	Dokter mendesak orang-orang untuk berolahraga.
vary	bervariasi	Harganya bervariasi berdasarkan wilayah.
vast	luas	Gurun itu menutupi area yang luas.
venue	tempat	Tempat itu dapat menampung lima ratus orang.
via	melalui	Kirim dokumennya melalui surel.
victory	kemenangan	Tim itu merayakan kemenangannya.
violence	kekerasan	Kota itu menderita kekerasan politik.
virtual	virtual	Rapatnya virtual.
vision	visi	Visinya membentuk perusahaan itu.
visual	visual	Laporannya menyertakan contoh visual.
vital	sangat penting	Air sangat penting untuk kehidupan.
vitamin	vitamin	Jeruk mengandung vitamin C.
volume	volume	Kecilkan volumenya.
wage	upah	Para pekerja menuntut upah yang lebih tinggi.
weakness	kelemahan	Rencana itu memiliki satu kelemahan.
wealth	kekayaan	Kekayaannya berasal dari perdagangan.
wealthy	kaya	Keluarga kaya itu mendanai museum tersebut.
whereas	sedangkan	Dia suka teh, sedangkan saya lebih suka kopi.
wherever	di mana pun	Duduklah di mana pun Anda merasa nyaman.
whisper	berbisik	Tolong berbisik selama upacara.
whom	siapa	Siapa yang Anda undang?
widely	secara luas	Buku itu dibaca secara luas.
wildlife	satwa liar	Taman itu melindungi satwa liar setempat.
willing	bersedia	Dia bersedia membantu.
wind2	menggulung	Gulung kabelnya di sekitar gulungan.
wire	kabel	Kabel itu menghubungkan kedua perangkat.
wise	bijaksana	Itu adalah pilihan yang bijaksana.
witness	saksi	Seorang saksi mendeskripsikan kecelakaan itu.
wound	luka	Bersihkan lukanya dengan hati-hati.
wrap	membungkus	Bungkus hadiahnya dengan kertas.
zone	zona	Zona ini tertutup untuk lalu lintas.
