source_headword	FR	example_FR
magnetic	magnétique	Le champ magnétique a affecté la boussole.
magnitude	l'ampleur	L'ampleur des dégâts était évidente.
mainland	le continent	Le ferry relie les îles au continent.
mainstream	le courant dominant	L'idée est entrée dans la politique grand public.
maintenance	l'entretien	Un entretien régulier prévient les pannes.
mandate	le mandat	Le président a revendiqué un mandat fort.
mandatory	obligatoire	La présence est obligatoire pour les stagiaires.
manifest	se manifester	Les symptômes peuvent se manifester après des semaines.
manipulate	manipuler	Ne manipulez pas les résultats du sondage.
manipulation	la manipulation	La manipulation des données a été découverte.
manuscript	le manuscrit	L'éditeur a accepté son manuscrit.
march	défiler	Les manifestants vont défiler en centre-ville.
marginal	marginal	Le changement a eu des avantages marginaux.
marine	marin	La vie marine a besoin d'eau propre.
marketplace	le marché	Le marché en ligne s'est développé rapidement.
mask	le masque	Les travailleurs doivent porter un masque.
massacre	le massacre	Le massacre a choqué toute la région.
mathematical	mathématique	Le modèle mathématique a prédit la demande.
mature	mature	Les arbres matures offrent de l'ombre.
maximize	maximiser	La mise à jour maximisera l'autonomie de la batterie.
meaningful	significatif	Ils ont eu une conversation significative.
meantime	l'entre-temps	En attendant, attendez dehors.
medieval	médiéval	Le château a des murs médiévaux.
meditation	la méditation	La méditation quotidienne calme son esprit.
melody	la mélodie	La mélodie est restée dans ma tête.
memo	la note	La note de service expliquait la politique.
memoir	les mémoires	Ses mémoires décrivent l'exil de son enfance.
memorial	le mémorial	Le mémorial honore les soldats locaux.
mentor	le mentor	Son mentor a examiné la proposition.
merchant	le marchand	Le marchand vendait de la soie et des épices.
mercy	la pitié	Le juge a fait preuve de pitié.
mere	simple	Un simple coup d'œil a révélé l'erreur.
merely	simplement	Elle a simplement répété les instructions.
merge	fusionner	Les deux entreprises vont fusionner.
merger	la fusion	La fusion a créé une plus grande banque.
merit	le mérite	La proposition a un mérite évident.
methodology	la méthodologie	L'étude explique sa méthodologie.
midst	le milieu	Ils ont travaillé au milieu du chaos.
migration	la migration	La migration saisonnière affecte les emplois locaux.
militant	le militant	Le groupe militant a rejeté les négociations.
militia	la milice	La milice contrôlait la route.
mill	le moulin	L'ancien moulin est devenu un musée.
minimal	minimal	Le plan nécessite un effort minimal.
minimize	minimiser	Nous devons minimiser les risques inutiles.
mining	l'exploitation minière	L'exploitation minière a endommagé la vallée de la rivière.
ministry	le ministère	Le ministère a annoncé de nouvelles règles.
minute2	minuscule	Une minuscule fissure est apparue dans le verre.
miracle	le miracle	Son rétablissement a semblé être un miracle.
misery	la misère	Les réfugiés ont enduré des années de misère.
misleading	trompeur	Le graphique trompeur a semé la confusion parmi les lecteurs.
missile	le missile	L'essai de missile a ravivé les tensions.
mob	la foule	La foule en colère a bloqué la circulation.
mobility	la mobilité	De meilleurs bus améliorent la mobilité urbaine.
mobilize	mobiliser	Les dirigeants mobilisent rapidement les bénévoles.
moderate	modéré	Le candidat a des opinions modérées.
modification	la modification	La conception a besoin d'une modification.
momentum	l'élan	La campagne a pris de l'élan rapidement.
monk	le moine	Le moine vivait en silence.
monopoly	le monopole	L'entreprise détenait un monopole.
morality	la moralité	Le cours examine la moralité publique.
motive	le motif	La police s'est interrogée sur son motif.
motorist	l'automobiliste	L'automobiliste s'est arrêté au feu rouge.
municipal	municipal	Les services municipaux se sont améliorés cette année.
mutual	mutuel	Ils sont parvenus à un accord mutuel.
namely	à savoir	Un problème demeure, à savoir le financement.
nationwide	à l'échelle nationale	La grève a provoqué des retards à l'échelle nationale.
naval	naval	La base navale a fermé l'année dernière.
neglect	négliger	Ne négligez pas la sécurité de base.
neighbouring	voisin	Les villes voisines partageaient l'hôpital.
nest	le nid	L'oiseau a construit un nid.
net	net	Le bénéfice net a fortement augmenté.
newsletter	la newsletter	La newsletter arrive tous les vendredis.
niche	la niche	L'entreprise a trouvé une niche rentable.
noble	noble	Son geste noble a impressionné tout le monde.
nod	hocher la tête	S'il vous plaît, hochez la tête si vous comprenez.
nominate	nommer	Ils nommeront un nouveau président.
nomination	la nomination	Sa nomination a surpris le comité.
nominee	le candidat	Le candidat a répondu à des questions difficiles.
nonetheless	néanmoins	Néanmoins, le plan a progressé.
non-profit	à but non lucratif	Elle travaille pour une clinique à but non lucratif.
nonsense	l'absurdité	Cette rumeur est une absurdité totale.
noon	le midi	La réunion commence à midi.
notable	notable	Le rapport a fait des progrès notables.
notably	notamment	Notamment, les coûts ont baissé en mai.
notify	informer	Veuillez informer le personnel avant de partir.
notorious	tristement célèbre	La route est tristement célèbre pour ses accidents.
novel	inédit	Ils ont proposé une solution inédite.
nursery	la crèche	La crèche s'occupe des nourrissons.
objection	l'objection	L'avocat a soulevé une objection.
oblige	obliger	Les règles obligent les conducteurs à s'arrêter.
obsess	faire une fixation	Ne faites pas une fixation sur les petites erreurs.
obsession	l'obsession	Son obsession a nui à son travail.
occasional	occasionnel	Des retards occasionnels sont à prévoir.
occurrence	l'événement	Un tel événement est rare.
odds	les chances	Les chances de succès se sont améliorées.
offering	l'offre	L'université a élargi son offre.
offspring	les petits	Le renard a protégé ses petits.
operational	opérationnel	Le nouveau système est opérationnel.
opt	opter	Beaucoup d'étudiants optent pour des cours en ligne.
optical	optique	La lentille optique a besoin d'être nettoyée.
optimism	l'optimisme	L'optimisme est revenu après l'annonce.
oral	oral	L'examen oral commence demain.
organizational	organisationnel	Les changements organisationnels ont commencé immédiatement.
orientation	l'intégration	L'atelier a porté sur l'intégration des employés.
originate	provenir	De nombreuses traditions trouvent leur origine dans les villages ruraux.
outbreak	l'épidémie	L'épidémie s'est propagée à travers la ville.
outing	la sortie	La classe a apprécié une sortie au musée.
outlet	le magasin d'usine	Le magasin d'usine vend des vêtements à prix réduit.
outlook	les perspectives	Les perspectives économiques restent incertaines.
outrage	l'indignation	La décision a provoqué l'indignation du public.
outsider	la personne de l'extérieur	En tant que personne de l'extérieur, elle a remarqué des problèmes.
overlook	négliger	Ne négligez pas les détails mineurs.
overly	excessivement	Les instructions étaient excessivement complexes.
oversee	superviser	Elle supervisera le projet.
overturn	annuler	Le tribunal pourrait annuler la décision.
overwhelm	submerger	Trop d'informations peut submerger les apprenants.
overwhelming	accablant	Les preuves étaient accablantes.
pad	la protection	Utilisez la protection pour protéger les genoux.
parameter	le paramètre	Ajustez un paramètre à la fois.
parental	parental	Le soutien parental a amélioré l'assiduité.
parish	la paroisse	La paroisse a organisé un dîner de charité.
parliamentary	parlementaire	Le débat parlementaire a duré des heures.
partial	partiel	Le rapport a donné une réponse partielle.
partially	partiellement	La fenêtre était partiellement ouverte.
passing	le décès	Son décès a été soudain.
passive	passif	Les investisseurs passifs ont accepté des rendements réguliers.
pastor	le pasteur	Le pasteur a rendu visite à la famille.
patch	la pièce	La veste a besoin d'une petite pièce.
patent	le brevet	L'entreprise a déposé un brevet.
pathway	la voie	La voie mène à la certification.
patrol	la patrouille / patrouiller	La police patrouille la zone la nuit.
patron	le mécène	Le musée a remercié son mécène.
peak	le pic	La demande a atteint un pic hivernal.
peasant	le paysan	Le paysan possédait peu de terres.
peculiar	particulier	La pièce avait une odeur particulière.
persist	persister	Les symptômes peuvent persister pendant des jours.
persistent	persistant	Une toux persistante nécessite de l'attention.
personnel	le personnel	Les dossiers du personnel sont confidentiels.
petition	la pétition	La pétition a recueilli des milliers de signatures.
philosopher	le philosophe	Le philosophe a remis en question les idées reçues.
philosophical	philosophique	La discussion est devenue philosophique.
physician	le médecin	Le médecin a prescrit des analyses de sang.
pioneer	le pionnier / la pionnière	Elle est devenue une pionnière en médecine.
pipeline	le gazoduc	Le gazoduc transporte le gaz sous terre.
pirate	le pirate	Le bateau pirate est apparu au large.
pit	la fosse	Les ouvriers ont creusé une fosse profonde.
plea	l'appel	Son appel à l'aide a été ignoré.
plead	plaider	Le suspect plaidera coupable.
pledge	la promesse / promettre	Ils promettent de soutenir les réformes.
plug	la prise / brancher	Branchez le câble dans la prise.
plunge	chuter	Les prix pourraient chuter après le scandale.
pole	le mât	Le drapeau était suspendu à un mât.
poll	le sondage	Le sondage a montré des opinions changeantes.
pond	l'étang	Les canards ont traversé l'étang gelé.
pop	éclater	Les ballons éclatent près des objets pointus.
portfolio	le portefeuille	Son portefeuille comprend plusieurs start-ups.
portray	dépeindre	Le film dépeindra la vie rurale.
postpone	reporter	Ils ont décidé de reporter l'audience.
post-war	d'après-guerre	Des logements d'après-guerre étaient urgemment nécessaires.
practitioner	le praticien	Le praticien a expliqué le traitement.
preach	prêcher	Le ministre prêchera dimanche.
precedent	le précédent	La décision a créé un précédent important.
precision	la précision	La machine coupe avec précision.
predator	le prédateur	Le prédateur attendait près de la rivière.
predecessor	le prédécesseur	Son prédécesseur a laissé des notes détaillées.
predominantly	principalement	La zone est principalement résidentielle.
pregnancy	la grossesse	La grossesse nécessite des soins médicaux réguliers.
prejudice	le préjugé	La campagne a remis en question les préjugés raciaux.
preliminary	préliminaire	Les résultats préliminaires semblent prometteurs.
premier	le premier ministre	Le premier ministre s'est adressé au parlement aujourd'hui.
premise	la prémisse	L'argument repose sur une fausse prémisse.
premium	la prime	Les clients ont payé un supplément pour la rapidité.
prescribe	prescrire	Les médecins prescrivent les antibiotiques avec prudence.
prescription	l'ordonnance	L'ordonnance expire le mois prochain.
presently	actuellement	Elle est actuellement indisponible.
preservation	la préservation	La préservation protège les bâtiments historiques.
preside	présider	Le juge présidera le procès.
presidency	la présidence	Sa présidence a duré huit ans.
presidential	présidentiel	L'élection présidentielle a attiré l'attention.
prestigious	prestigieux	Elle a remporté une bourse prestigieuse.
presumably	vraisemblablement	Le bureau est vraisemblablement fermé aujourd'hui.
presume	présumer	Nous supposons que les documents sont authentiques.
prevail	prévaloir	Le bon sens devrait l'emporter.
prevalence	la prévalence	La prévalence de l'asthme a augmenté.
prevention	la prévention	La prévention coûte moins cher que la réparation.
