simplified	FI	example_FI
节目	ohjelma	Tämä televisio-ohjelma on erittäin hyvä.
节日	juhla; pyhä	Kevätjuhla on tärkeä kiinalainen juhla.
解决	ratkaista	Tämä ongelma on jo ratkaistu.
借	lainata; antaa lainaksi	Haluan lainata sanakirjaasi.
经常	usein	Käyn usein kirjastossa.
经过	kulkea ohi; mennä läpi; prosessi	Kuljen tämän puiston ohi joka päivä.
经理	johtaja; päällikkö	Johtaja on kokouksessa.
久	kauan; pitkä aika	Olen asunut täällä kauan.
旧	vanha; käytetty	Tämä vaate on hyvin vanha.
句子	lause	Kirjoita yksi lause, ole hyvä.
决定	päättää; päätös	Päätin opiskella kiinaa.
可爱	söpö; ihana	Tämä kissa on hyvin söpö.
渴	janoinen	Minulla on jano ja haluan juoda vettä.
刻	vartti; hetki	Kello on varttia yli kahdeksan.
客人	vieras; asiakas	Tänään meille tuli vieras.
空调	ilmastointi	Kytke ilmastointi päälle, ole hyvä.
口	suu; siemaus; laskusana ihmisille tai eläimille	Hän joi siemauksen vettä.
哭	itkeä	Miksi lapsi itkee?
裤子	housut	Nämä housut ovat uudet.
筷子	syömäpuikot	Osaan syödä syömäpuikoilla.
蓝	sininen	Taivas on sininen.
老	vanha; iäkäs	Opettajani ei ole vanha.
离开	lähteä; poistua	Hän lähtee Pekingistä huomenna.
礼物	lahja	Tämä on lahja sinulle.
历史	historia	Pidän Kiinan historiasta.
脸	kasvot	Hänen kasvonsa ovat hyvin punaiset.
练习	harjoitella; harjoitus	Harjoittele kiinan puhumista enemmän, ole hyvä.
辆	laskusana ajoneuvoille	Ovella on taksi.
聊天	jutella; keskustella	Juttelen ystävän kanssa.
了解	ymmärtää; tutustua	Haluan ymmärtää kiinalaista kulttuuria.
邻居	naapuri	Naapurini on hyvin lämminhenkinen.
留学	opiskella ulkomailla	Hän opiskelee Kiinassa.
楼	rakennus; kerros	Toimisto on kolmannessa kerroksessa.
绿	vihreä	Keväällä puut muuttuivat vihreiksi.
马	hevonen	Se hevonen juoksee hyvin nopeasti.
马上	heti; välittömästi	Tulen heti takaisin.
满意	tyytyväinen	Olen hyvin tyytyväinen tähän huoneeseen.
帽子	hattu; pipo	Tämä pipo on hyvin kaunis.
米	metri; riisi	Tämä pöytä on kaksi metriä pitkä.
面包	leipä	Syön aamiaiseksi leipää.
明白	ymmärtää; selvä	Ymmärrän, mitä tarkoitat.
拿	ottaa; pitää kädessä	Ota minulle yksi kirja, ole hyvä.
奶奶	isän äiti; isoäiti	Isoäiti tykkää kuunnella musiikkia.
南	etelä	Koulu sijaitsee kaupungin eteläosassa.
难	vaikea	Tämä kysymys ei ole vaikea.
难过	surullinen	Hän on tänään vähän surullinen.
年级	luokka; vuosikurssi	Pikkusiskoni on kolmannella luokalla.
年轻	nuori	Tämä johtaja on hyvin nuori.
鸟	lintu	Puussa on lintu.
努力	ponnistus; ponnistella	Hän opiskelee hyvin ahkerasti.
爬山	kiivetä vuorelle; vaeltaa vuorilla	Menemme tänä viikonloppuna vuorille.
盘子	lautanen; tarjotin	Pöydällä on kolme lautasta.
胖	lihava; pyöreä	Tämä koira on vähän lihava.
啤酒	olut	Isä ei juo olutta.
皮鞋	nahkakengät	Tämä nahkakenkäpari on kallis.
瓶子	pullo	Pullossa on vettä.
其实	oikeastaan; itse asiassa	Itse asiassa en pidä oluesta.
其他	muu; muut	Kaikki muut luokkatoverit ovat tulleet.
奇怪	outo	Tämä ääni on hyvin outo.
骑	ratsastaa; ajaa	Hän ajaa polkupyörällä töihin joka päivä.
起飞	nousta ilmaan	Lentokone nousee pian ilmaan.
起来	nousta ylös; ylös; alkaa	Nouskaa ylös, olkaa hyvä.
清楚	selvä; selvästi	Puhuit hyvin selvästi.
请假	pyytää vapaata	Hän on vilustunut ja hänen täytyy pyytää vapaata.
秋	syksy	Syksyllä sää on miellyttävä.
裙子	hame	Tämä hame on hyvin kaunis.
然后	sitten; sen jälkeen	Ensin syön ja sitten teen läksyt.
热情	lämmin; innokas	Kiinalaiset ystävät ovat hyvin lämpimiä.
认为	ajatella; pitää jonakin	Minusta tämä menetelmä on hyvä.
认真	vakava; huolellinen	Kuuntele opettajaa huolellisesti, ole hyvä.
容易	helppo	Tämä kiinalainen merkki on helppo kirjoittaa.
如果	jos	Jos sataa, menemme metrolla.
伞	sateenvarjo	Sataa; ota sateenvarjo mukaan, ole hyvä.
上网	mennä verkkoon; käyttää nettiä	Illalla menen verkkoon tarkistamaan kartan.
声音	ääni	Sinun äänesi kuulostaa kauniilta.
生气	vihainen; suuttua	Älä suutu; en tehnyt sitä tahallani.
世界	maailma	Maailma on hyvin suuri.
试	kokeilla	Haluan kokeilla tätä nahkakenkäparia.
瘦	laiha; hoikka	Hän on laihempi kuin ennen.
叔叔	setä	Setä vie minut kouluun.
舒服	mukava; voida hyvin	Tämä tuoli on mukava.
数学	matematiikka	Matematiikan tunti on kiinnostava.
树	puu	Talon edessä on puu.
刷牙	harjata hampaat	Harjaan hampaat joka aamu.
双	pari; kaksinkertainen	Ostin yhden parin nahkakenkiä.
水平	taso; taitotaso	Hänen kiinan kielen tasonsa on korkea.
司机	kuljettaja	Kuljettaja odottaa meitä ovella.
太阳	aurinko	Aurinko on voimakas tänään.
特别	erityinen; erityisesti	Tämä ohjelma on erityisen kiinnostava.
疼	särkeä; olla kipeä	Jalkaani särkee.
提高	parantaa; nostaa	Lisäharjoittelu voi parantaa kiinan kielen tasoa.
体育	liikunta; urheilu	Pidän liikuntatunnista.
甜	makea	Tämä juoma on liian makea.
条	laskusana pitkille esineille; kappale	Ostin hameen.
同事	kollega	Kollegani on hyvin kiireinen.
同意	olla samaa mieltä; hyväksyä	Olen samaa mieltä päätöksestäsi.
头发	hiukset	Hänen hiuksensa ovat pitkät.
突然	äkkiä; äkillinen	Hän lähti äkkiä.
图书馆	kirjasto	Kirjasto ei ole auki tänään.
腿	jalka	Vuorikiipeilyn jälkeen jalkoihini sattui.
完成	saada valmiiksi; lopettaa	Olen jo saanut läksyt valmiiksi.
碗	kulho	Pöydällä on kaksi kulhoa.
万	kymmenentuhatta; lukematon	Tässä kaupungissa on kymmenentuhatta ihmistä.
忘记	unohtaa	Älä unohda ottaa passia mukaan.
为	varten; vuoksi	Olen iloinen puolestasi.
为了	jotta; vuoksi	Hän kertaa joka päivä koetta varten.
位	kohtelias laskusana ihmisille	Tämä opettaja on hyvin kuuluisa.
文化	kulttuuri	Haluan ymmärtää kiinalaista kulttuuria.
西	länsi	Pankki on koulusta länteen.
习惯	tapa; olla tottunut	Olen tottunut harjoittelemaan aamuisin.
洗手间	wc; vessa	Vessa on oikealla.
洗澡	käydä suihkussa; kylpeä	Käyn suihkussa illalla.
夏	kesä	Kesä on hyvin kuuma.
先	ensin; ennen	Syö sinä ensin.
相信	uskoa	Uskon, että hän tulee.
香蕉	banaani	Ostin kolme banaania.
像	muistuttaa; olla kuin	Tämä pilvi muistuttaa lintua.
向	kohti; suunta	Mene vasemmalle, ole hyvä.
小心	olla varovainen	Sataa; ole varovainen tiellä.
校长	rehtori	Rehtori on toimistossa.
新闻	uutiset	Isä katsoo uutiset joka päivä.
新鲜	tuore	Nämä hedelmät ovat hyvin tuoreita.
信用卡	luottokortti	Voinko maksaa luottokortilla?
行李箱	matkalaukku	Matkalaukkuni on painava.
熊猫	panda	Lapset tykkäävät katsoa pandoja.
需要	tarvita	Tarvitsen apuasi.
选择	valita; valinta	Minkä paidan valitset?
要求	vaatia; pyytää	Opettaja pyytää meitä tekemään läksyt huolellisesti.
爷爷	isän isä; isoisä	Isoisä käy puistossa joka päivä.
一直	koko ajan; jatkuvasti	Hän on odottanut sinua kauan.
一定	varmasti; ehdottomasti	Tulen varmasti.
一共	yhteensä	Paljonko nämä kirjat maksavat yhteensä?
一会儿	hetki; vähän aikaa	Odota minua hetki, ole hyvä.
一样	samanlainen; sama	Nämä kaksi kuppia ovat yhtä suuria.
以前	ennen; aiemmin	Ennen asuin Pekingissä.
一般	tavallinen; keskimääräinen	Tämän ravintolan ruoka on keskinkertaista.
一边	yksi puoli; samalla	Hän kuuntelee musiikkia samalla kun tekee läksyjä.
音乐	musiikki	Pidän kiinalaisesta musiikista.
银行	pankki	Pankki on supermarketin vieressä.
饮料	juoma	Tämä juoma maistuu hyvältä.
应该	pitäisi; täytyä	Sinun pitäisi levätä enemmän.
影响	vaikutus; vaikuttaa	Sää vaikuttaa otteluun.
用	käyttää	Käytän tietokonetta läksyjen tekemiseen.
游戏	peli	Lapset leikkivät.
有名	kuuluisa	Tämä ravintola on hyvin kuuluisa.
又	taas; jälleen	Hän myöhästyi taas tänään.
遇到	tavata; törmätä	Tapasin opettajan kadulla.
元	yuan; rahayksikkö	Tämä sanakirja maksaa viisikymmentä yuania.
愿意	haluta; olla valmis	Oletko valmis osallistumaan?
月亮	kuu	Kuu on kirkas tänä iltana.
越	mitä enemmän... sitä enemmän...	Mitä enemmän opiskelen kiinaa, sitä kiinnostavammaksi se muuttuu.
站	asema; seistä	Hän seisoo ovella.
张	laskusana litteille esineille; arkki	Anna minulle kartta, ole hyvä.
长	kasvaa	Lapset kasvavat nopeasti.
着急	huolestua; olla levoton	Älä huolehdi, hissi tulee pian.
照顾	huolehtia; pitää huolta	Hän pitää huolta sairaasta isoäidistään.
照片	valokuva	Tämä valokuva on kaunis.
照相机	kamera	Käytän kameraa kuvien ottamiseen.
283:只	vain; ainoastaan	Juon vain yhden kupin teetä.
284:只	laskusana eläimille	Pöydän alla on kissa.
只有…才…	vain jos... niin...	Vain jos kertaat huolellisesti, pärjäät kokeessa hyvin.
中间	keskikohta; välissä	Pöytä on huoneen keskellä.
中文	kiina; kiinalainen kirjoitus	Opiskelen kiinaa joka päivä.
终于	vihdoin; lopulta	Vihdoin saavuimme perille.
种	laji; tyyppi	Millaisesta juomasta pidät?
重要	tärkeä	Passi on hyvin tärkeä.
周末	viikonloppu	Haluan mennä puistoon viikonloppuna.
主要	pääasiallinen; tärkein	Hänen tärkein harrastuksensa on musiikki.
注意	kiinnittää huomiota; varoa	Kiinnitä huomiota opettajaan, ole hyvä.
自己	itse	Haluan tehdä läksyt itse.
自行车	polkupyörä	Polkupyöräni on alakerrassa.
总是	aina	Hän tulee aina aikaisin toimistoon.
嘴	suu	Avaa suu, ole hyvä.
最后	viimeinen; lopulta	Lopulta olimme kaikki samaa mieltä.
最近	viime aikoina; hiljattain	Olen ollut kiireinen viime aikoina.
作业	läksyt; tehtävä	En ole vielä saanut läksyjä valmiiksi.
