simplified	SL	example_SL
表情	izraz obraza	Njen izraz je zelo resen.
表现	nastop; pokazati se	Danes se je zelo dobro odrezal.
冰激凌	sladoled	Otroci radi jedo sladoled.
病毒	virus	Ta virus se širi zelo hitro.
播放	predvajati	Prosim, predvajaj to pesem.
玻璃	steklo; kozarec	Stekleni kozarec se je razbil.
博物馆	muzej	Za konec tedna gremo v muzej.
脖子	vrat	Vrat me malo boli.
不断	neprestano; nenehen	Cene nenehno rastejo.
不见得	ni nujno	To ni nujno slaba stvar.
不耐烦	nestrpen	Po dolgem čakanju je postal malo nestrpen.
不要紧	ni pomembno; ni hudo	V redu je, ni hudo.
补充	dodati; dopolniti	Rad bi dodal eno mnenje.
不安	nemiren; zaskrbljen	Ko je slišala to novico, se je počutila zaskrbljeno.
不得了	resen; strašen	Ta zadeva je res resna.
不然	sicer; drugače	Pojdi hitro, sicer boš zamudil.
不如	bolje kot; ne tako dobro kot	Bolje je iti peš kot z vozilom.
不足	nezadosten; pomanjkanje	Tukaj ni dovolj vode.
布	blago; tkanina	Ta kos blaga je zelo mehak.
步骤	korak; postopek	Prosim, ravnaj po korakih.
部门	oddelek	Delam v prodajnem oddelku.
财产	premoženje	Ta hiša je njegovo premoženje.
彩虹	mavrica	Po dežju se je pojavila mavrica.
踩	stopiti na	Ne stopaj na travo.
采访	intervjuvati; opraviti intervju	Novinar intervjuva zdravnika.
采取	sprejeti; uporabiti	Sprejeli smo novo metodo.
参考	vir; posvetovati se	Prosim, uporabi to knjigo kot vir.
参与	sodelovati	Aktivno sodeluje pri dejavnostih.
惭愧	sramovati se	Sram me je zaradi lastne napake.
操场	igrišče; športno igrišče	Učenci tečejo na igrišču.
操心	skrbeti	Ne skrbi zame.
册	zvezek; knjiga; izvod	Kupil sem en izvod knjige.
测验	preizkus; test	Jutri imamo kratek test.
曾经	nekoč; že prej	Nekoč sem živel v Pekingu.
叉子	vilice	Solato jem z vilicami.
差距	vrzel; razlika	Med mestom in podeželjem je razlika.
插	vstaviti; zatakniti	Prosim, postavi rože v vazo.
拆	razstaviti; porušiti	Delavci rušijo staro hišo.
产品	izdelek	Ta izdelek je zelo kakovosten.
产生	nastati; povzročiti	Ta težava je povzročila nov vpliv.
常识	splošno znanje; zdrava pamet	To je osnovno splošno znanje.
长途	dolg; na dolge razdalje	Dolgo potovanje je utrujajoče.
抄	prepisati	Prosim, ne prepisuj domače naloge drugih.
超级	super; zelo velik	To je supermarket.
朝	dinastija; dvor	Dinastija Tang je zelo znana.
潮湿	vlažen	Poletja na jugu so zelo vlažna.
吵	hrupen	Zunaj je zelo hrupno.
吵架	prepirati se	Spet sta se prepirala.
炒	pražiti	Mama praži zelenjavo.
车库	garaža	Avto je parkiran v garaži.
车厢	vagon	Ta vagon je zelo tih.
彻底	temeljit; popolnoma	Popolnoma je razumel.
沉默	molčati; tišina	Ves čas je molčal.
趁	izkoristiti; dokler	Pojdimo, dokler še ni temno.
称	stehtati; imenovati	Prosim, stehtajte ta paket.
称呼	nagovoriti; naziv	Ne vem, kako naj ga nagovorim.
称赞	pohvaliti	Učitelj je pohvalil njegov napredek.
成分	sestavina	Sestavine tega zdravila so preproste.
成果	rezultat; dosežek	Ta projekt je dosegel rezultate.
成就	dosežek	V karieri ima veliko dosežkov.
成立	ustanoviti	Podjetje je bilo ustanovljeno lani.
成人	odrasel	Vstopnice za odrasle so dražje od otroških.
成熟	zrel	Jabolka so že zrela.
成语	idiom; ustaljen izraz	Ta idiom se pogosto uporablja.
成长	odraščati; rast	Otrok počasi odrašča.
承担	prevzeti; nositi	Pripravljen je prevzeti odgovornost.
承认	priznati	Priznal je, da se je zmotil.
承受	prenesti; zdržati	Ne morem prenesti tako velikega pritiska.
程度	stopnja; raven	Njegova raven kitajščine je zelo visoka.
程序	postopek; zaporedje	Prosim, uredite to po postopku.
诚恳	iskren	Njegov odnos je zelo iskren.
吃亏	biti na izgubi	Pred nakupom dobro poglej, da ne boš na izgubi.
持续	trajati; nadaljevati se	Dež je trajal tri dni.
池塘	ribnik	V ribniku je veliko rib.
迟早	prej ali slej	Prej ali slej boš razumel.
尺子	ravnilo	Prosim, izmeri z ravnilom.
翅膀	krilo	Ptičje krilo je poškodovano.
充电器	polnilnik	Moj polnilnik je pokvarjen.
充分	zadosten; poln	Dobro smo se pripravili.
充满	biti poln	Soba je bila polna smeha.
冲	splakniti; sprati	Prosim, splakni skodelico z vodo.
重复	ponoviti	Prosim, ne ponavljaj iste napake.
宠物	hišni ljubljenček	Ima hišnega psa.
抽屉	predal	Ključ je v predalu.
抽象	abstrakten	Ta pojem je preveč abstrakten.
丑	grd	Ta fotografija je nekoliko grda.
臭	smrdljiv; smrdeti	Smeti smrdijo.
出版	izdati; objaviti	Ta knjiga je izšla lani.
出口	izhod	Izhod je spredaj.
出色	izjemen	Njen nastop je izjemen.
出示	pokazati	Prosim, pokaži potni list.
出席	udeležiti se	Udeležil se bo sestanka.
初级	začetni; osnovni	Kitajščino se učim v začetnem razredu.
除非	razen če	Razen če bo deževalo, gremo jutri v hribe.
除夕	silvestrovo; večer pred novim letom	Na silvestrovo vsa družina skupaj večerja.
处理	obravnavati; rešiti	Rešil bom ta problem.
传播	širiti se	Ta novica se je zelo hitro razširila.
传染	nalezljiv; okužiti	Prehlad se zlahka prenaša.
传说	legenda	To je starodavna legenda.
传统	tradicija; tradicionalen	Praznik pomladi je tradicionalni kitajski praznik.
窗帘	zavese	Prosim, odgrni zavese.
闯	prevoziti; nepazljivo vdreti	Po nesreči je prevozil rdečo luč.
创造	ustvariti	Ljudje so ustvarili nova orodja.
吹	pihati	Veter močno piha.
词汇	besedišče; beseda	Ta beseda se pogosto uporablja.
辞职	dati odpoved	Odločil se je dati odpoved.
此外	poleg tega	Poleg tega imam še eno vprašanje.
刺激	vznemirljiv; spodbujati	Ta igra je zelo vznemirljiva.
次要	drugoten	Ta problem je drugoten.
匆忙	naglo; v naglici	V naglici je odšel od doma.
从此	od takrat naprej	Od takrat naprej vsak dan telovadi.
从而	s tem; zato	Pridno se je učil in zato opravil izpit.
从前	nekoč; prej	Nekoč tukaj ni bilo podzemne železnice.
从事	ukvarjati se z	Dela na področju izobraževanja.
粗糙	hrapav	Ta list papirja je zelo hrapav.
促进	spodbujati	Telovadba lahko spodbuja zdravje.
促使	spodbuditi	Ta zadeva ga je spodbudila, da spremeni načrt.
醋	kis	V jed so dodali kis.
催	priganjati	Mama me je priganjala, naj hitro odidem.
存在	obstajati	Ta problem še vedno obstaja.
措施	ukrep	Šola je sprejela varnostne ukrepe.
答应	strinjati se; obljubiti	Strinjal se je, da mi bo pomagal.
达到	doseči	Njegove ocene so dosegle standard.
打工	delati honorarno	Med poletnimi počitnicami dela v restavraciji.
打交道	imeti opravka z	Pogosto imam opravka s strankami.
打喷嚏	kihati	Prehlajen je in ves čas kiha.
打听	povprašati	Rad bi povprašal o vozovnicah za vlak.
大方	radodaren	Pri denarju je zelo radodarna.
大厦	velika stavba	Tista velika stavba je zelo visoka.
大象	slon	Otroci v živalskem vrtu gledajo slone.
大型	velik; obsežen	Tukaj bodo zgradili velik nakupovalni center.
呆	ostati; topogled	On ostane doma in bere.
代表	predstavljati; predstavnik	Ta cvet predstavlja prijateljstvo.
代替	nadomestiti	Danes se bom udeležil sestanka namesto njega.
待遇	ugodnosti; plačilo	Ugodnosti v tem podjetju so dobre.
贷款	posojilo	Zaprosili so za stanovanjsko posojilo.
单纯	preprost	Njena zamisel je zelo preprosta.
单调	enoličen	To delo je nekoliko enolično.
单独	sam; posebej	Rad bi se s teboj pogovoril na samem.
单位	enota; ustanova	Dela v javni ustanovi.
单元	enota	Danes se učimo tretjo enoto.
担任	prevzeti položaj; biti odgovoren	Ona je odgovorna za to dejavnost.
耽误	zamuditi; zapravljati čas	Ne zapravljaj časa vseh.
胆小鬼	strahopetec	Ne kliči ga strahopetec.
淡	blag; premalo začinjen	Ta juha je malo premalo slana.
当地	krajeven; lokalen	Domačini imajo vsi radi ta trg.
当心	paziti	Cesta je spolzka, bodi previden.
挡	blokirati; ovirati	Ta avto blokira vhod.
倒霉	imeti smolo	Danes imam res smolo, izgubil sem telefon.
导演	režiser	Ta režiser je zelo znan.
导致	povzročiti	Močan dež je povzročil prometni zastoj.
岛屿	otok	Ta država ima veliko otokov.
到达	prispeti	Vlak je pravočasno prispel v Šanghaj.
道德	morala; etika	Človek mora imeti moralna načela.
道理	smisel; razlog	To, kar je rekel, ima veliko smisla.
登记	registrirati se; prijaviti se	Prosim, najprej se prijavite na recepciji.
等待	čakati	Čakamo na rezultat.
等于	biti enako	Pet plus pet je enako deset.
滴	kapljica; kapljati	Kapljica vode je padla na mizo.
敌人	sovražnik	Niso sovražniki.
的确	res; zares	Ta zadeva je res zelo pomembna.
地道	pristen	Govori pristno pekinško narečje.
地理	geografija	Zelo me zanima geografija Kitajske.
地区	območje; regija	V tej regiji je pozimi zelo mrzlo.
地毯	preproga	V dnevni sobi je položena preproga.
地位	položaj; status	Izobraževanje ima v družbi pomemben položaj.
地震	potres	Sinoči je tukaj prišlo do potresa.
递	podati; izročiti	Prosim, izroči to pismo učitelju.
点心	prigrizek	Popoldne smo jedli prigrizke.
电池	baterija	Ta igrača potrebuje dve bateriji.
电台	radijska postaja	Na radijski postaji vodi oddajo.
钓	loviti ribe	Dedek rad hodi lovit ribe ob reki.
顶	vrh; kos	Nosi črn klobuk.
冻	zmrzniti; zmrzovati	Zunaj je tako mrzlo, da je voda zmrznila.
动画片	risanka; animirani film	Otroci gledajo risanke.
洞	luknja; jama	V steni je majhna luknja.
豆腐	tofu	Ta jed s tofujem je okusna.
逗	zabavati; dražiti	Njegove besede so vse spravile v smeh.
独立	neodvisen	Želi živeti neodvisno.
独特	edinstven	To mesto ima edinstveno kulturo.
度过	preživeti	Počitnice smo preživeli ob morju.
断	pretrgati se; zlomiti se	Ta vrv se je pretrgala.
堆	kup; nalagati	Na mizi je nakopičenih veliko dokumentov.
兑换	zamenjati	Rad bi zamenjal nekaj renminbijev.
对比	primerjati; primerjava	Prosim, primerjaj ta dva načrta.
对待	obravnavati	Z vsakim bi morali ravnati pošteno.
对方	druga stran	Najprej prisluhni mnenju druge strani.
对手	nasprotnik	Njegov nasprotnik je zelo močan.
对象	predmet; cilj; partner	Predmet raziskave so univerzitetni študenti.
吨	tona	Ta tovornjak lahko prevaža tri tone blaga.
蹲	čepeti	Čepi na tleh in išče ključe.
顿	mera za obrok; premor	Skupaj smo pojedli večerjo.
多亏	po zaslugi; na srečo	Po zaslugi tvoje pomoči sem dokončal nalogo.
多余	odvečen	Ta stavek je odvečen.
朵	klasifikator za cvet	Na mizi je ena roža.
躲藏	skriti se	Mucek se skriva pod posteljo.
恶劣	slab; neugoden	Današnje vreme je zelo slabo.
耳环	uhan	Nosi par uhanov.
发表	objaviti; izraziti	Na sestanku je izrazil svoje mnenje.
发愁	skrbeti	Ne skrbi zaradi te malenkosti.
发达	razvit	Promet v tem mestu je dobro razvit.
发抖	tresti se; drgetati	Od mraza ves čas drgeta.
发挥	uporabiti; razviti	Prosim, uporabite svojo domišljijo.
发明	izumiti; izum	Električna luč je pomemben izum.
发票	račun; faktura	Prosim, izdajte mi račun.
发言	spregovoriti; govoriti	Spregovoril je na sestanku.
罚款	globa; kaznovati z globo	Za napačno parkiranje je treba plačati globo.
法院	sodišče	Ta primer so predali sodišču.
翻	obrniti; prelistati	Prosim, obrnite knjigo na deseto stran.
繁荣	razcvet; uspevati	Gospodarstvo postopoma doživlja razcvet.
反而	nasprotno; namesto tega	Ni se razjezil, nasprotno, zasmejal se je.
反复	ponavljajoče; znova in znova	Ta stavek je treba večkrat vaditi.
反应	odziv; odzvati se	Njegov odziv je hiter.
反映	odražati	To poročilo odraža resnično stanje.
反正	kakor koli že	Kakor koli že, jutri imam čas.
范围	obseg; področje	Prosim, ne prekorači tega obsega.
方	kvadraten; stran	Prosim, nariši kvadrat na papir.
方案	načrt; predlog	Ta načrt je precej razumen.
方式	način	Ta način učenja je zelo učinkovit.
妨碍	ovirati	Prosim, ne oviraj dela drugih.
仿佛	zdeti se; kakor da	Zdi se, da ve vse.
非	ne-; brez	Te zadeve ni mogoče opraviti brez tebe.
肥皂	milo	Pri umivanju rok uporabi milo.
废话	neumnosti; prazne besede	Manj neumnosti, hitro začnimo.
分别	ločiti se; razlikovati	Na postaji sta se ločila.
分布	biti razporejen	Te trgovine so razporejene po vsem mestu.
分配	dodeliti; razdeliti	Učitelj je dodelil novo nalogo.
分手	raziti se	Lani sta se razšla.
分析	analizirati; analiza	Analizirati moramo razloge.
纷纷	drug za drugim	Vsi so drug za drugim izrazili strinjanje.
奋斗	boriti se; prizadevati si	Mladi bi se morali boriti za svoje sanje.
疯狂	nor; divje	Navijači so divje vzklikali.
风格	slog	Slog te restavracije je zelo poseben.
风景	pokrajina	Pokrajina na gori je lepa.
风俗	običaj	Vsak kraj ima svoje običaje.
风险	tveganje	Naložbe imajo določeno tveganje.
讽刺	satirizirati; ironija	Ta članek je satiriziral družbene probleme.
否定	zanikati	Zanikal je to trditev.
否认	zanikati	Zanikal je, da je naredil napako.
幅	klasifikator za slike	Na steni visi slika.
扶	podpreti; pomagati	Prosim, pomagaj starejšemu čez cesto.
服装	oblačila	Ta trgovina prodaja otroška oblačila.
辅导	inštruirati; pomagati pri učenju	Učitelj po pouku inštruira učence.
复制	kopirati	Prosim, kopiraj ta dokument.
妇女	ženska	Ta bolnišnica nudi storitve ženskam.
改革	reforma; reformirati	Šola izvaja reformo poučevanja.
改进	izboljšati	Izboljšati moramo kakovost storitev.
改善	izboljšati	Telovadba lahko izboljša spanec.
改正	popraviti	Prosim, pravočasno popravi napake.
概括	povzeti	Prosim, povzemite vsebino članka.
概念	pojem; koncept	Tega pojma ni prav lahko razumeti.
盖	pokriti; pokrov	Prosim, dobro pokrij skodelico.
干脆	preprosto; naravnost	Preprosto danes ne pojdi.
干燥	suh	Zime na severu so zelo suhe.
感激	hvaležen	Zelo sem hvaležen za tvojo pomoč.
感受	občutek	Razumem tvoje občutke.
感想	misli; vtisi	Prosim, povej svoje misli.
赶紧	pohiteti	Pozno je že, pohiti in pojdi.
赶快	hitro; takoj	Hitro zapri vrata.
干活儿	delati; opravljati delo	Dela na dvorišču.
钢铁	jeklo	Ta most je narejen iz jekla.
高档	visokokakovosten; prestižen	To je prestižen hotel.
高级	napreden; višji	Udeležila se je naprednega tečaja kitajščine.
搞	organizirati; delati	Kakšno dejavnost organiziraš?
告别	posloviti se	Na letališču smo se poslovili od prijatelja.
格外	posebej; zlasti	Danes je nebo posebej modro.
隔壁	sosednji; zraven	Zraven živi učitelj.
个别	posamezen	Nekateri posamezni učenci še niso oddali domače naloge.
个人	oseben; posameznik	To je moje osebno mnenje.
个性	osebnost	Ima izrazito osebnost.
各自	vsak zase	Vsak naj dokonča svojo nalogo.
根	koren; klasifikator za dolge tanke predmete	Pod mizo je ena žica.
根本	sploh; temeljno	Ta problem sploh ni težak.
公布	objaviti	Šola je objavila rezultate izpitov.
公开	javen	Ta sestanek je javen.
公平	pošten; pravičen	Tekmovanje bi moralo biti pošteno.
公寓	stanovanje	Najela je majhno stanovanje.
公元	naše štetje	Letos je leto 2026 našega štetja.
公主	princesa	Deklica ima rada zgodbe o princesah.
功能	funkcija	Ta programska oprema ima veliko funkcij.
工厂	tovarna	Ta tovarna proizvaja avtomobile.
工程师	inženir	Moj starejši brat je inženir.
工具	orodje	Za popravilo kolesa je potrebno orodje.
工人	delavec	Delavci popravljajo cesto.
工业	industrija	To mesto temelji predvsem na industriji.
恭喜	čestitke	Čestitam, opravil si izpit.
贡献	prispevati; prispevek	Prispeval je k podjetju.
沟通	komunikacija; komunicirati	Dobra komunikacija je zelo pomembna.
构成	sestavljati; tvoriti	Ti deli tvorijo celoto.
姑姑	teta po očetovi strani	Za konec tedna grem obiskat teto.
姑娘	dekle; mlada ženska	Tisto dekle je zelo pripravljeno pomagati.
古代	stari časi; antični časi	V starih časih ni bilo mobilnih telefonov.
古典	klasičen	Rad imam klasično glasbo.
股票	delница	Kupil je nekaj delnic.
骨头	kost	Ta kost je zelo trda.
鼓舞	spodbuden	Ta novica je zelo spodbudna.
鼓掌	ploskati	Občinstvo je ploskalo igralcem.
固定	stalen; določen	Imam stalen delovni čas.
挂号	registrirati se pri zdravniku	Pred pregledom se moraš najprej registrirati.
乖	priden; ubogljiv	Ta otrok je zelo priden.
拐弯	zaviti	Na križišču spredaj zavij desno.
怪不得	nič čudnega	Ni čudno, da si tako utrujen.
关闭	zapreti; izklopiti	Pred odhodom prosim izklopi računalnik.
官	uradnik	On je mlad uradnik.
观察	opazovati	Zdravnik opazuje bolnikovo stanje.
观点	stališče	Strinjam se s tvojim stališčem.
观念	pojem; predstava	Predstave mladih se spreminjajo.
管子	cev	Ta cev pušča vodo.
冠军	prvak; prvakinja	Zmagala je na tekmovanju.
光滑	gladek	Površina te mize je zelo gladka.
光临	obiskati; priti	Vabljeni, da nas naslednjič spet obiščete.
光明	svetel	Prihodnost je svetla.
光盘	disk; zgoščenka	Prosim, shrani gradivo na disk.
广场	trg	Na trgu je veliko ljudi.
广大	širok; številni	To novico je sprejelo veliko število študentov.
广泛	širok; obsežen	Ta knjiga ima širok vpliv.
归纳	povzeti	Učitelj nam je pomagal povzeti ključne točke.
规矩	pravila; običaji	Otroci morajo poznati pravila.
规律	pravilen ritem; zakonitost	Življenje mora imeti pravilen ritem.
规模	obseg	To podjetje je velikega obsega.
规则	pravilo	Pravila tekmovanja so zelo jasna.
柜台	pult	Prosim, plačajte pri pultu.
滚	vreti; kotaliti se	Voda že vre.
锅	lonec; ponev	V loncu je vroča juha.
国庆节	dan državnosti	Na dan državnosti imamo prosto.
国王	kralj	Kralj živi v palači.
果然	kot pričakovano	Kot pričakovano je prišel pravočasno.
果实	sadež; plod	Drevo je polno sadežev.
过分	pretiran	Njegova zahteva je nekoliko pretirana.
过敏	alergičen	Sem alergičen na cvetni prah.
过期	poteči; preteči rok	Ta steklenica mleka je že potekla.
哈	ha	Ha, končno razumem.
海关	carina	Na carini smo čakali v vrsti za pregled.
海鲜	morski sadeži	Morski sadeži v tej restavraciji so zelo sveži.
喊	kričati	Ne kriči glasno v učilnici.
行业	panoga	Turistična panoga se hitro razvija.
豪华	razkošen	Bivajo v razkošnem hotelu.
好客	gostoljuben	Domačini so zelo gostoljubni.
好奇	radoveden	Otroci so zelo radovedni glede sveta.
何必	zakaj bi; ni potrebe	Zakaj bi se jezil zaradi malenkosti?
何况	kaj šele; poleg tega	Danes je mrzlo, poleg tega še dežuje.
合法	zakonit	Ta pogodba je zakonita.
合理	razumen	Ta cena je razumna.
合同	pogodba	Podpisali so pogodbo.
合影	skupinska fotografija	Ob diplomi smo posneli skupinsko fotografijo.
合作	sodelovati	Projekt smo dokončali s sodelovanjem.
和平	mir	Vsak si želi miru.
核心	jedro	Zaupanje je jedro sodelovanja.
恨	obžalovati; sovražiti	Obžaluje, da se ni prej bolj potrudil.
猴子	opica	V živalskem vrtu je nekaj opic.
后背	hrbet	Hrbet ga malo boli.
后果	posledice	Razmisliti moraš o posledicah.
呼吸	dihati	Prosim, globoko vdihni.
忽然	nenadoma	Nebo se je nenadoma stemnilo.
忽视	zanemariti; prezreti	Ne prezri tega problema.
壶	čajnik; vrč	Na mizi je čajnik čaja.
糊涂	zmeden	Danes sem malo zmeden.
胡说	govoriti neumnosti	Ne govori neumnosti, to ni res.
胡同	hutong; uličica	V Pekingu je veliko starih hutongov.
蝴蝶	metulj	Na vrtu je metulj.
花生	arašid	Rad je arašide.
华裔	kitajskega rodu	Ona je pisateljica kitajskega rodu.
滑	spolzek	Tla so spolzka, bodi previden.
划	veslati	Na čolnu je on odgovoren za veslanje.
化学	kemija	Na univerzi je študirala kemijo.
话题	tema	Ta tema je zelo zanimiva.
怀念	pogrešati; spominjati se	Zelo pogrešam študentsko življenje.
怀孕	biti noseča	Noseča je tri mesece.
缓解	olajšati; ublažiti	Počitek lahko ublaži stres.
幻想	fantazirati; domišljija	Pogosto fantazira o potovanju v vesolje.
慌张	paničen; zbegan	Ko naletiš na problem, ne paničari.
黄金	zlato	Cena zlata je spet narasla.
恢复	okrevati; obnoviti	Njegovo telo okreva.
挥	mahati	Zamahala je z roko.
灰	siv	Nebo je sivo.
灰尘	prah	Na mizi je veliko prahu.
灰心	izgubiti pogum	Tudi če ne uspeš, ne izgubi poguma.
汇率	menjalni tečaj	Kakšen je današnji menjalni tečaj?
婚礼	poroka	Njuna poroka je bila zelo preprosta.
婚姻	zakon; zakonska zveza	Zakon zahteva medsebojno razumevanje.
活跃	aktiven	Pri pouku je zelo aktiven.
伙伴	partner; tovariš	On je moj najboljši partner.
火柴	vžigalica	V škatlici je ostala samo ena vžigalica.
或许	morda	Morda bo jutri deževalo.
基本	osnoven	To so osnovne zahteve.
机器	stroj	Ta stroj je pokvarjen.
激烈	oster; intenziven	Tekmovanje je bilo zelo intenzivno.
肌肉	mišica	Po vadbi me malo bolijo mišice.
及格	opraviti izpit	Tokratni izpit je opravil.
急忙	naglo	Naglo je stekel iz učilnice.
急诊	urgentni oddelek	Bolnika so poslali na urgenco.
极其	izjemno	Ta problem je izjemno pomemben.
集合	zbrati se	Prosim, zberite se ob osmih pri vhodu.
集体	skupinski	To je skupinska dejavnost.
集中	osredotočiti se	Pri pouku se moraš osredotočiti.
寂寞	osamljen	Življenje samemu je včasih osamljeno.
系领带	zavezati kravato	Vsak dan si pred službo zaveže kravato.
纪录	rekord	Podrl je šolski rekord.
纪律	disciplina	Disciplina v učilnici je zelo pomembna.
纪念	obeležiti; spominjati se	Fotografirali smo se, da obeležimo ta dan.
计算	izračunati	Prosim, izračunaj skupne stroške.
记录	zapisati; zapisnik	Prosim, zapiši vsebino sestanka.
记忆	spomin	Ta spomin je zelo dragocen.
嘉宾	gost	Današnji gost je pisatelj.
夹子	sponka	Prosim, spni dokumente s sponko.
家庭	družina	Družina je za otroke zelo pomembna.
家务	gospodinjska opravila	Za konec tedna moram opraviti gospodinjska opravila.
家乡	rodni kraj	Zelo pogrešam svoj rodni kraj.
假如	če	Če bo jutri deževalo, ne bomo šli.
假设	predpostaviti	Predpostavimo, da si učitelj; kaj bi naredil?
假装	pretvarjati se	Pretvarjal se je, da ni slišal.
甲	stranka A; prvi	Stranka A mora plačati pravočasno.
价值	vrednost	Ta knjiga ima veliko vrednost.
嫁	poročiti se	Naslednje leto se bo poročila s fantom.
驾驶	voziti	Med vožnjo vozi previdno.
兼职	delo s krajšim delovnim časom	Zvečer dela honorarno.
坚决	odločen	Odločno se ne strinja s to odločitvijo.
坚强	močan	Ona je močna oseba.
肩膀	rama	Njegova rama je poškodovana.
艰巨	zahteven; težaven	To je zahtevna naloga.
艰苦	težak; naporen	Doživeli so težko življenje.
剪刀	škarje	Prosim, podaj mi škarje.
捡	pobrati	Pobral je denarnico s tal.
简历	življenjepis	Pred iskanjem službe je treba pripraviti življenjepis.
简直	preprosto; naravnost	Ta novica je naravnost presenetljiva.
健身	telovaditi; skrbeti za kondicijo	Trikrat na teden gre telovadit.
建立	vzpostaviti; ustanoviti	Vzpostavili smo nov odnos.
建设	gradnja; graditi	Gradnja mesta se hitro razvija.
建筑	stavba	Ta stavba ima posebne značilnosti.
键盘	tipkovnica	Mojo tipkovnico je treba očistiti.
讲究	posvečati veliko pozornosti	Kitajci posvečajo veliko pozornosti hrani.
讲座	predavanje	Nocoj je predavanje o kitajščini.
酱油	sojina omaka	V jed dodaj malo sojine omake.
交换	izmenjati	Izmenjali smo telefonske številke.
交际	komunikacija; družabni stiki	Pri učenju jezika je treba vaditi tudi komunikacijo.
交往	hoditi z nekom; družiti se	Hodila sta dve leti.
浇	zalivati	Prosim, vsak dan zalij rože.
胶水	lepilo	Fotografijo sem prilepil z lepilom.
狡猾	zvit	Tista lisica je zelo zvita.
角度	kot; vidik	Poglejmo problem z drugega vidika.
教材	učno gradivo; učbenik	Ta učbenik je zelo uporaben.
教练	trener	Trener zahteva, da pridemo pravočasno.
教训	nauk; lekcija	Ta neuspeh je lekcija.
接触	stik; priti v stik	Prvič sem prišel v stik s kitajsko kulturo.
接待	sprejeti; pogostiti	Podjetje je uredilo posebno osebo za sprejem gostov.
接近	približevati se	Praznik pomladi se vse bolj približuje.
结实	trden	Ta kovček je zelo trden.
阶段	faza; stopnja	Učenje je razdeljeno na tri faze.
结构	zgradba; struktura	Ta članek ima jasno strukturo.
结合	združiti; povezati	Učenje je treba povezati s prakso.
结论	sklep; zaključek	Njegov sklep je zelo prepričljiv.
结账	plačati račun	Po jedi smo šli plačat račun.
节省	prihraniti	Z vožnjo s podzemno železnico lahko prihraniš čas.
借口	izgovor	Nehaj iskati izgovore.
届	izvedba; izdaja	To je tretja izvedba tekmovanja.
戒	opustiti; odvaditi se	Zdravnik mu je svetoval, naj opusti kajenje.
戒指	prstan	Nosi prstan.
金属	kovina	Železo je vrsta kovine.
