source_headword	BG	example_BG
residence	резиденция	Неговата официална резиденция е охранявана.
residential	жилищен	Районът е предимно жилищен.
residue	остатък	Почистващият препарат остави лепкав остатък.
resignation	оставка	Нейната оставка шокира борда.
resistance	съпротива	Съпротивата срещу промяната беше силна.
respective	съответен	Те се върнаха в своите съответни офиси.
respectively	съответно	Резултатите бяха съответно 80 и 90.
restoration	реставрация	Реставрацията на сградата отне години.
restraint	сдържаност	Полицията прояви сдържаност.
resume	възобновявам	Занятията се възобновяват следващата седмица.
retreat	отстъпление	Армията започна отстъпление.
retrieve	извличам	Тя извлече файла.
revelation	разкритие	Разкритието навреди на репутацията му.
revenge	отмъщение	Той искаше отмъщение за обидата.
reverse	отменям	Съдът отмени решението.
revival	възраждане	Градът преживя икономическо възраждане.
revive	възраждам	Фестивалът помогна да се възродят местните традиции.
revolutionary	революционен	Изобретението беше революционно.
rhetoric	реторика	Неговата реторика звучеше агресивно.
rifle	пушка	Пушката беше съхранявана сигурно.
riot	бунт	Бунтът продължи няколко часа.
rip	късам	Скъсайте хартията внимателно.
ritual	ритуал	Ритуалът отбелязва реколтата.
robust	надежден	Системата е надеждна.
rock	разтърсвам	Експлозията разтърси селото.
rod	прът	Завесата виси на прът.
rotate	въртя	Завъртете дръжката бавно.
rotation	ротация	Ротацията на културите предпазва почвата.
ruling	решение	Съдът издаде решение.
rumour	слух	Слухът се разпространи бързо.
sack	уволнявам	Бордът може да уволни треньора.
sacred	свещен	Храмът е свещен.
sacrifice	жертва	Родителите често правят жертви.
saint	светец	Църквата почита местен светец.
sake	заради	Той остана заради нея.
sanction	санкция	Санкцията засегна международната търговия.
say	дума	Служителите имаха думата при съставянето на графика.
scattered	разпръснат	Разпръснати хартии покриваха бюрото.
sceptical	скептичен	Тя остана скептична относно твърдението.
scope	обхват	Обхватът на проекта се разшири.
screw	винт	Затегнете винта внимателно.
scrutiny	проверка	Сделката беше подложена на обществена проверка.
seal	запечатвам	Запечатайте плика преди изпращане.
secular	светски	Училището следва светска учебна програма.
seemingly	привидно	Задачата беше привидно проста.
segment	сегмент	Последният сегмент беше по-кратък.
seize	изземвам	Полициятa иззе документите.
seldom	рядко	Тя рядко пропуска час.
selective	селективен	Програмата е много селективна.
senator	сенатор	Сенаторът подкрепи законопроекта.
sensation	сензация	Откритието предизвика сензация.
sensitivity	чувствителност	Проблемът изисква чувствителност.
sentiment	настроение	Общественото настроение се промени бързо.
separation	раздяла	Раздялата беше трудна.
serial	сериен	Серийният номер липсва.
settlement	споразумение	Споразумението сложи край на спора.
set-up	настройка	Настройката отне цяла сутрин.
sexuality	сексуалност	Курсът обсъжда идентичността и сексуалността.
shareholder	акционер	Един акционер зададе въпроси на борда.
shatter	разбивам	Новината разби увереността му.
shed	съкращавам	Компанията ще съкрати работни места.
sheer	чист	Самият размер изненада всички.
shipping	доставка	Разходите за доставка се увеличиха.
shoot	фотосесия	Фотосесията приключи рано.
shrink	свивам се	Ризата може да се свие.
shrug	свивам рамене	Тя леко сви рамене.
sigh	въздишам	Той въздъхна с облекчение.
simulate	симулирам	Софтуерът може да симулира трафик.
simulation	симулация	Симулацията прогнозира наводнение.
simultaneously	едновременно	Две аларми звъннаха едновременно.
sin	грях	Гордостта се смята за грях.
situated	разположен	Хотелът е разположен в центъра.
sketch	скица	Тя направи бърза скица.
skip	пропускам	Не пропускай закуската.
slam	затръшвам	Той може да затръшне вратата.
slap	удрям	Не удряй по масата.
slavery	робство	Робството е оформило историята на региона.
slot	интервал	Резервирайте часови интервал онлайн.
smash	разбивам се	Чашата се разби на пода.
snap	счупвам се	Клонът се счупи от вятъра.
soak	накисвам	Накиснете боба за една нощ.
soar	покачвам се рязко	Цените на горивата може да се покачат рязко.
socialist	социалистически	Партията подкрепя социалистически политики.
sole	единствен	Той беше единственият оцелял.
solely	единствено	Решението беше единствено негово.
solicitor	адвокат	Адвокатът подготви договора.
solidarity	солидарност	Работниците изразиха солидарност.
solo	соло	Тя издаде самостоятелен албум.
sound	разумен	Планът е разумен и практичен.
sovereignty	суверенитет	Договорът защити националния суверенитет.
spam	спам	Спамът напълни пощенската кутия.
span	пресичам	Мостът пресича реката.
spark	предизвиквам	Една малка забележка предизвика дебат.
specialized	специализиран	Клиниката предлага специализирани грижи.
specification	спецификация	Дизайнът отговаря на всяка спецификация.
specimen	образец	Образецът беше съхранен безопасно.
spectacle	зрелище	Парадът беше ярко зрелище.
spectrum	спектър	Мненията покриват широк спектър.
spell	период	Сухият период продължи седмици.
sphere	сфера	Политиката навлезе в културната сфера.
spin	въртя се	Колелата започнаха да се въртят.
spine	гръбнак	Травмата засегна гръбнака му.
spotlight	светлината на прожекторите	Скандалът го постави в светлината на прожекторите.
spouse	съпруг	Съпругът ѝ присъства на церемонията.
spy	шпионин	Шпионинът изпрати кодирани съобщения.
squad	отряд	Спасителният отряд пристигна бързо.
squeeze	стискам	Стиснете дръжката внимателно.
stab	промушвам	Докладът описва прободна рана.
stability	стабилност	Политиката донесе стабилност.
stabilize	стабилизирам	Лекарството помогна да го стабилизират.
stake	дял	Инвеститорите имат дял тук.
standing	положение	Положението ѝ в партията се издигна.
stark	рязък	Резултатите показаха рязък контраст.
statistical	статистически	Проучването използва статистически методи.
steer	насочвам	Той се опита да насочи дебата.
stem	стъбло	Стъблото се счупи в бурята.
stereotype	стереотип	Филмът оспори един стереотип.
stimulus	стимул	Пакетът осигури икономически стимул.
stir	разбърквам	Разбъркайте соса бавно.
storage	съхранение	Съоръжението предлага сигурно съхранение.
straightforward	ясен	Инструкциите бяха ясни.
strain	напрежение	Дългото забавяне предизвика напрежение.
strand	кичур	Един кичур коса падна.
strategic	стратегически	Компанията направи стратегическа инвестиция.
strip (long narrow piece)	лента	Отрежете тясна лента хартия.
strip (remove clothes/a layer)	свалям	Свалете старата боя внимателно.
strive	стремя се	Те се стремят към съвършенство.
structural	структурен	Мостът има структурни повреди.
stumble	спъвам се	Той се спъна на стълбите.
stun	изумявам	Новината може да изуми хората.
submission	предаване	Крайният срок за предаване изтече.
subscriber	абонат	Всеки абонат получава актуализации.
subscription	абонамент	Абонаментът се подновява автоматично.
subsidy	субсидия	Субсидията намали разходите за гориво.
substantial	значителен	Проектът се нуждае от значително финансиране.
substantially	значително	Цената се увеличи значително.
substitute	заместител	Използвайте мляко като заместител.
substitution	замяна	Замяната промени рецептата.
subtle	фин	Картината има фини детайли.
suburban	крайградски	Те се преместиха в крайградски район.
succession	поредица	Кризата последва поредица от провали.
successive	пореден	Поредните правителства пренебрегнаха проблема.
successor	наследник	Наследникът ще започне в понеделник.
suck	всмуквам	Машината може да всмуква прах.
sue	съдя	Тя реши да съди компанията.
suicide	самоубийство	Превенцията на самоубийствата се нуждае от устойчиво финансиране.
suite	апартамент	Хотелският апартамент гледаше към реката.
summit	среща на върха	Лидерите се срещнаха на срещата на върха.
superb	превъзходен	Представлението беше превъзходно.
superior	по-добър	Новият модел е по-добър.
supervise	ръководя	Тя ще ръководи стажантите.
supervision	надзор	Децата се нуждаят от надзор от възрастен.
supervisor	ръководител	Първо попитайте вашия ръководител.
supplement	допълнение	Докладът включва приложение.
supportive	подкрепящ	Семейството ѝ я подкрепяше.
supposedly	уж	Предполага се, че файлът е бил изтрит.
suppress	потискам	Режимът се опита да потуши протестите.
supreme	върховен	Върховният съд разгледа делото.
surge	токов удар	Внезапен токов удар повреди оборудването.
surgical	хирургичен	Пациентът се нуждае от хирургично лечение.
surplus	излишък	Складът има излишък.
surrender	предавам се	Войниците се съгласиха да се предадат.
surveillance	наблюдение	Камерите за наблюдение записаха входа.
suspension	отстраняване	Отстраняването продължи две седмици.
suspicion	подозрение	Поведението му събуди подозрение.
suspicious	подозрителен	Пакетът изглеждаше подозрителен.
sustain	поддържам	Проектът може да поддържа местните работни места.
swing	люлея се	Вратата започна да се люлее.
sword	меч	Мечът висеше на стената.
symbolic	символичен	Жестът беше символичен.
syndrome	синдром	Синдромът засяга паметта.
synthesis	синтез	Главата предлага синтез.
systematic	систематичен	Прегледът беше систематичен.
tactic	тактика	Тактиката се провали бързо.
tactical	тактически	Отборът направи тактическа промяна.
taxpayer	данъкоплатец	Парите на данъкоплатците финансираха моста.
tempt	изкушавам	Офертата може да изкуши инвеститорите.
tenant	наемател	Наемателят плати наема рано.
tender	нежен	Тя се усмихна нежно.
tenure	мандат	Неговият мандат продължи шест години.
terminal	терминален	Пациентът имаше терминално заболяване.
terminate	прекратявам	Компанията може да прекрати договора.
terrain	терен	Теренът беше труден.
terrific	страхотен	Гледката беше страхотна.
testify	свидетелствам	Тя се съгласи да свидетелства.
testimony	свидетелски показания	Неговите показания бяха подробни.
texture	текстура	Платът има груба текстура.
thankfully	за щастие	За щастие, никой не беше ранен.
theatrical	театрален	Речта звучеше театрално.
theology	теология	Той е учил теология в университета.
theoretical	теоретичен	Моделът е чисто теоретичен.
thereafter	след това	След това правилата се промениха.
thereby	по този начин	Промяната намали разходите, като по този начин спаси работни места.
thoughtful	внимателен	Нейният отговор беше обмислен.
thought-provoking	провокиращ размисъл	Статията провокираше размисъл.
thread	конец	Конецът се скъса лесно.
threshold	праг	Гласуването премина прага.
thrilled	развълнуван	Тя беше развълнувана от новината.
thrive	процъфтявам	Малките бизнеси могат да процъфтяват тук.
tide	прилив	Приливът се вдигна бързо.
tighten	затягам	Затегнете капака здраво.
timber	дървен материал	Къщата използва местен дървен материал.
timely	навременен	Предупреждението беше навременно.
tobacco	тютюн	Продажбите на тютюн спаднаха.
tolerance	толерантност	Политиката насърчава толерантността.
tolerate	толерирам	Не можем да толерираме злоупотреби.
toll	жертви	Бурята взе тежки жертви.
top	надминавам	Продажбите може да надминат миналогодишния рекорд.
torture	мъчение	Договорът абсолютно забранява изтезанията.
