source_headword	CS	example_CS
biology	biologie	Biologie je můj nejlepší předmět.
birth	narození	Narodila se v květnu.
biscuit	sušenka	Jí sušenku.
bit	kousek; trochu	Potřebuji trochu víc času.
blank	prázdný; mezera	Napiš své jméno do mezery.
blood	krev	Krev je červená.
blow	foukat; úder	Vítr může foukat silně.
board	tabule; deska	Napiš to na tabuli.
boil	vařit; vřít	Nejprve uvař vodu.
bone	kost	Pes má kost.
borrow	půjčit si	Mohu si půjčit tvoje pero?
boss	šéf	Můj šéf je přátelský.
bottom	dno; spodní část	Podepiš se dole.
bowl	mísa	Mísa je plná.
brain	mozek	Tvůj mozek potřebuje odpočinek.
bridge	most	Most je starý.
bright	jasný; světlý	Pokoj je světlý.
brilliant	výborný; skvělý	Ten nápad je skvělý.
broken	rozbitý	Židle je rozbitá.
brush	kartáč; čistit	Vyčisti si teď zuby.
burn	hořet; spálit	Nespal chleba.
businessman	obchodník; podnikatel	Podnikatel dorazil brzy.
button	tlačítko; knoflík	Stiskni červené tlačítko.
camp	tábor; tábořit	Táboříme blízko jezera.
camping	kempování	Kempování je v létě zábavné.
can2	plechovka	Opatrně otevři plechovku.
care	péče; starat se	Starej se o své zdraví.
careful	opatrný	Buď opatrný na schodech.
carefully	opatrně; pečlivě	Přečti otázku pečlivě.
carpet	koberec	Koberec je měkký.
cartoon	kreslený film; komiks	Ten kreslený film je vtipný.
case	pouzdro; případ	Dej to do pouzdra.
cash	hotovost	Zaplatil jsem hotově.
castle	hrad	Hrad je velmi starý.
catch	chytit	Chyť míč teď.
cause	způsobit; příčina	Déšť může způsobit problémy.
celebrate	oslavit; slavit	Oslavujeme moje narozeniny.
celebrity	celebrita	Celebrita byla velmi milá.
certain	jistý; určitý	Jsem si tím jistý.
certainly	jistě; určitě	Určitě pomůžu.
chance	šance; příležitost	Máš šanci.
character	postava; povaha	Tato postava je statečná.
charity	charita	Charita pomáhá dětem.
chat	povídat si; chat	Po hodině si povídáme.
chef	kuchař	Kuchař uvařil polévku.
chemistry	chemie	Chemie je pro mě těžká.
chip	čips; žeton	Tento čips je slaný.
choice	volba	Tato volba je důležitá.
church	kostel	Kostel je blízko.
cigarette	cigareta	Cigareta škodí zdraví.
circle	kruh; zakroužkovat	Nakresli tady kruh.
classical	klasický	Mám rád klasickou hudbu.
clear	jasný; vyčistit	Odpověď je jasná.
clearly	jasně	Mluv jasně, prosím.
clever	chytrý	Je to chytré dítě.
climate	podnebí; klima	Klima se mění.
close2	blízko	Moje škola je blízko domova.
closed	zavřený	Obchod je zavřený.
clothing	oblečení	Teplé oblečení je užitečné.
cloud	mrak	Mrak zakrývá slunce.
coach	trenér; autobus	Trenér pomohl týmu.
coast	pobřeží	Jeli jsme podél pobřeží.
code	kód	Zadej sem kód.
colleague	kolega	Kolega mi zavolal.
collect	sbírat	Sbírám staré karty.
column	sloupec	Přečti první sloupec.
comedy	komedie	Tato komedie je vtipná.
comfortable	pohodlný	Tato židle je pohodlná.
comment	komentář; komentovat	Zanech komentář dole.
communicate	komunikovat	Komunikujeme e-mailem.
community	komunita	Naše komunita je přátelská.
compete	soutěžit	Soutěží každý rok.
competition	soutěž	Soutěž začíná zítra.
complain	stěžovat si	Nestěžuj si znovu.
completely	úplně	Úplně s tebou souhlasím.
condition	stav; podmínka	Auto je v dobrém stavu.
conference	konference	Konference začíná v devět.
connect	připojit; spojit	Připoj telefon k počítači.
connected	spojený	Tyto dvě myšlenky jsou spojené.
consider	zvážit	Zvaž prosím můj nápad.
contain	obsahovat	Tato krabice obsahuje knihy.
context	souvislost; kontext	Souvislost pomáhá porozumět.
continent	kontinent	Kontinent je velmi velký.
continue	pokračovat	Pokračuj ve čtení, prosím.
control	ovládat; kontrola	Pečlivě ovládej rychlost.
cooker	sporák	Sporák je čistý.
copy	kopie; kopírovat	Udělej pro mě kopii.
corner	roh; kout	Sedni si do rohu.
correctly	správně	Napiš odpověď správně.
count	počítat	Spočítej knihy.
couple	pár	Pár dorazil brzy.
cover	zakrýt; kryt	Zakryj mísu.
crazy	šílený	Ten nápad zní šíleně.
creative	tvořivý	Má tvořivý nápad.
credit	úvěr; kredit	Zaplatil jsem kreditní kartou.
crime	zločin	Zločin je vážný problém.
criminal	zločinec; trestný	Zločinec rychle odešel.
cross	přejít; kříž	Přejdi ulici opatrně.
crowd	dav	Dav čekal venku.
crowded	přeplněný	Vlak byl přeplněný.
cry	plakat	Teď neplač.
cupboard	skříňka	Šálky jsou ve skříňce.
curly	kudrnatý	Má kudrnaté vlasy.
cycle	jezdit na kole; cyklus	Jezdím do školy na kole.
daily	denní; denně	Denně čtu zprávy.
danger	nebezpečí	Značka ukazuje nebezpečí.
data	data; údaje	Data jsou užitečná.
dead	mrtvý	Rostlina je mrtvá.
deal	dohoda; obchod	To je dobrý obchod.
death	smrt	Smrt je těžké téma.
decision	rozhodnutí	Udělej rozhodnutí dnes.
deep	hluboký	Voda je hluboká.
definitely	rozhodně	Rozhodně chci čaj.
degree	titul; stupeň	Můj titul je z historie.
dentist	zubař	Zubař mi zkontroloval zuby.
department	oddělení	Oddělení bot je nahoře.
depend	záviset	Záleží na počasí.
desert	poušť	Poušť je velmi suchá.
designer	designér; návrhář	Návrhář vytvořil tyto šaty.
destroy	zničit	Neznič ten soubor.
detective	detektiv	Detektiv našel klíč.
develop	vyvíjet	Rozvíjejí novou aplikaci.
device	zařízení	Toto zařízení je užitečné.
diary	deník	Píše si do deníku.
differently	jinak	Děláme to jinak.
digital	digitální	To je digitální fotoaparát.
direct	přímý; řídit	Jeď přímým vlakem.
direction	směr	Jdi tímto směrem.
director	režisér; ředitel	Režisérovi se film líbil.
disagree	nesouhlasit	Nesouhlasím s tím nápadem.
disappear	zmizet	Slunce brzy zmizí.
disaster	katastrofa	Bouře byla katastrofa.
discover	objevit	Objeví nový ostrov.
discovery	objev	Objev změnil vědu.
discussion	diskuse	Diskuse skončila brzy.
disease	nemoc	Tato nemoc je vážná.
distance	vzdálenost	Vzdálenost je krátká.
divorced	rozvedený	Její rodiče jsou rozvedení.
document	dokument; listina	Ulož tento dokument hned.
double	dvojitý; dvoulůžkový	Potřebuji dvoulůžkový pokoj.
download	stáhnout; stažení	Stáhni aplikaci dnes.
drama	drama	Drama začíná dnes večer.
drawing	kresba	Její kresba je krásná.
dream	sen; snít	Měl jsem zvláštní sen.
driving	řízení; jízda	Řízení v noci je těžké.
drop	upustit; kapka	Neupusť sklenici.
drug	lék; droga	Lék mu pomohl.
dry	suchý; sušit	Ručník je suchý.
earn	vydělávat	Vydělávám peníze v práci.
earth	Země; půda	Země je kulatá.
easily	snadno	Učí se snadno.
education	vzdělání	Vzdělání je důležité.
effect	účinek; vliv	Účinek byl jasný.
either	kterýkoli; buď	Kterákoli odpověď je v pořádku.
electric	elektrický	Toto auto je elektrické.
electrical	elektrický	Elektrický systém je bezpečný.
electricity	elektřina	Elektřina je tady drahá.
electronic	elektronický	Tato elektronická jízdenka funguje.
employ	zaměstnat	Zaměstnávají pět lidí.
employee	zaměstnanec	Zaměstnanec tvrdě pracuje.
employer	zaměstnavatel	Můj zaměstnavatel je férový.
empty	prázdný	Pokoj je prázdný.
ending	konec	Konec byl překvapivý.
energy	energie	Dnes nemám energii.
engine	motor	Motor je hlučný.
engineer	inženýr	Inženýr opravil most.
enormous	obrovský	Budova je obrovská.
enter	vstoupit; zadat	Vstup do pokoje potichu.
environment	životní prostředí	Chraň životní prostředí.
equipment	vybavení	Toto vybavení je drahé.
error	chyba	Našel jsem chybu.
especially	zejména; obzvlášť	Obzvlášť se mi líbí tato píseň.
essay	esej	Napiš dnes večer esej.
everyday	každodenní	To je každodenní angličtina.
everywhere	všude	Květiny rostou všude.
evidence	důkaz; důkazy	Důkazy jsou jasné.
exact	přesný	Dej přesné číslo.
exactly	přesně	To je přesně správně.
excellent	výborný	Tvoje práce je výborná.
except	kromě	Všichni přišli kromě mě.
exist	existovat	Existuje tato adresa?
expect	očekávat	Zítra očekávám déšť.
experience	zkušenost	Mám zkušenost s dětmi.
experiment	pokus	Pokus fungoval dobře.
expert	odborník	Zeptej se odborníka na pomoc.
explanation	vysvětlení	Její vysvětlení bylo jasné.
express	vyjádřit	Vyjádři prosím svůj názor.
expression	výraz	Tento výraz je běžný.
extreme	extrémní	Horko bylo extrémní.
extremely	extrémně; velmi	Je extrémně chladno.
factor	faktor; činitel	Cena je jeden faktor.
factory	továrna	Továrna zavírá v pět.
fail	selhat; neuspět	Neselhal jsem.
fair	spravedlivý; férový	Cena je férová.
fan	ventilátor; fanoušek	Zapni ventilátor.
farming	zemědělství	Zemědělství je těžká práce.
fashion	móda	Móda se mění každý rok.
fear	strach; bát se	Strach může lidi zastavit.
feature	vlastnost; funkce	Tento telefon má užitečnou funkci.
feed	krmit; krmení	Nakrm kočku teď.
female	ženský; žena	Zvítězila sportovkyně.
fiction	beletrie	Večer čte beletrii.
field	pole; hřiště	Pole je zelené.
fight	bojovat; hádat se	Příliš se hádají.
figure	postava; číslo	Podívej se na obrázek.
finally	konečně	Konečně jsme dorazili domů.
finger	prst	Bolí mě prst.
firstly	za prvé	Za prvé si přečti otázku.
fishing	rybaření	Rybaření je tady populární.
fit	sedět; pasovat	Tyto boty dobře sedí.
fix	opravit	Oprav rozbitou židli.
flu	chřipka	Mám chřipku.
flying	létání	Létání je rychlé.
focus	soustředit se; pozornost	Soustřeď se na tento úkol.
following	následující	Přečti následující větu.
foreign	cizí; zahraniční	Mluví cizím jazykem.
forest	les	Les je tichý.
fork	vidlička	Použij vidličku.
formal	formální	Tento dopis je formální.
fortunately	naštěstí	Naštěstí se nikdo nezranil.
forward	dopředu	Jdi pomalu dopředu.
fresh	čerstvý	Chléb je čerstvý.
