source_headword	PL	example_PL
rural	wiejski	Wiele wiejskich szkół potrzebuje wsparcia.
rush	spieszyć się	Nie spiesz się z tą decyzją.
satellite	satelita	Satelita przesłał nowe zdjęcia.
satisfied	zadowolony	Klient wydawał się zadowolony.
satisfy	zadowolić	Ta odpowiedź go nie zadowoliła.
saving	oszczędność	Oszczędzanie energii zmniejsza miesięczne koszty.
scale	skala	Skala zniszczeń była ogromna.
scheme	program	Ten program pomaga młodym pracownikom.
scream	krzyk	Usłyszeli krzyk na zewnątrz.
sector	sektor	Sektor technologiczny rośnie.
secure	zabezpieczyć	Zamknij drzwi, aby je zabezpieczyć.
seek	szukać	Oni szukają porady u ekspertów.
select	wybrać	Wybierz najlepszą opcję.
selection	wybór	Sklep oferuje szeroki wybór.
self	ja	Pokazała swoje prawdziwe ja.
senior	starszy	Starszy lekarz zbadał pacjenta.
sensitive	wrażliwy	Ten temat jest bardzo drażliwy.
sequence	sekwencja	Postępuj zgodnie z sekwencją kroków.
session	sesja	Sesja szkoleniowa zaczyna się w południe.
settle	rozwiązać	Szybko rozwiązują spór.
severe	poważny	Burza spowodowała poważne powodzie.
shade	cień	Usiądź w cieniu.
shadow	cień	Cień przemknął przez okno.
shallow	płytki	Jezioro jest tutaj płytkie.
shame	wstyd	Poczuł wstyd po tym, jak skłamał.
shelter	schronienie	Szkoła zapewniła tymczasowe schronienie.
shock	szok	Ta decyzja była szokiem.
shocked	zszokowany	Wyglądała na zszokowaną tą wiadomością.
shooting	strzelanina	Strzelanina miała miejsce w pobliżu stacji.
shot	strzał	Zwycięski strzał zaskoczył wszystkich.
significant	znaczący	Odkrycie było znaczące.
significantly	znacznie	W zeszłym roku koszty znacznie wzrosły.
silence	cisza	W pokoju zapadła cisza.
silk	jedwab	Sukienka była zrobiona z jedwabiu.
sincere	szczery	Proszę przyjąć moje szczere podziękowania.
slave	niewolnik	Prawo uwolniło każdego niewolnika.
slide	ślizgać się	Dziecko zjechało ze zjeżdżalni.
slight	drobny	Było drobne opóźnienie.
slip	poślizgnąć się	Nie poślizgnij się na mokrej podłodze.
slope	zbocze	Ścieżka biegnie wzdłuż stromego zbocza.
solar	słoneczny	Dom wykorzystuje energię słoneczną.
somewhat	nieco	Instrukcje były nieco mylące.
soul	dusza	Muzyka uniosła jej duszę.
specialist	specjalista	Specjalista zbadał pacjenta.
species	gatunek	Ten gatunek żyje w pobliżu rzek.
spiritual	duchowy	Opisała duchowe doświadczenie.
split	podzielić	Podzielili rachunek po równo.
sponsor	sponsorować	Firma będzie sponsorować to wydarzenie.
stable	stabilny	Pacjent jest stabilny.
stare	gapić się	Nie gap się na nieznajomych.
status	status	Jego status zmienił się z dnia na dzień.
steady	stały	Utrzymuj stałą prędkość.
steel	stal	Most jest zrobiony ze stali.
steep	stromy	Wzgórze jest strome.
sticky	lepki	Podłoga jest lepka.
stiff	sztywny	Jego ramię było sztywne.
stock	zapas	W sklepie nie ma już zapasów.
stream	strumień	Przez pole przepływa mały strumień.
stretch	rozciągać	Rozprostuj nogi po locie.
strict	surowy	Szkoła ma surowe zasady.
strike	strajkować	Robotnicy mogą jutro strajkować.
struggle	zmagać się	Wiele rodzin zmaga się z opłaceniem czynszu.
submit	złożyć	Złóż formularz do piątku.
sum	suma	Suma była wyższa niż oczekiwano.
surgery	operacja	Operacja trwała dwie godziny.
surround	otaczać	Wysokie drzewa otaczają dom.
surrounding	okoliczny	Okoliczny obszar jest cichy.
suspect	podejrzewać	Policja podejrzewa lokalnego mężczyznę.
swear	przeklinać	Nie przeklinaj w klasie.
sweep	zamiatać	Zamieć podłogę przed przyjazdem gości.
sympathy	współczucie	Wyraziła współczucie dla ofiar.
tale	opowieść	Babcia opowiedziała dziwną opowieść.
tank	zbiornik	Zbiornik mieści czystą wodę.
tear1	drzeć	Nie podrzyj tego dokumentu.
tear2	łza	Łza spłynęła po jej policzku.
temporary	tymczasowy	Biuro to tymczasowe schronienie.
therapy	terapia	Terapia fizyczna pomogła w jego powrocie do zdrowia.
threat	groźba	Wiadomość zawierała groźbę.
threaten	zagrażać	Burza może zagrozić uprawom.
thus	dlatego	Droga była zamknięta; dlatego czekaliśmy.
tone	ton	Jego ton brzmiał spokojnie.
tough	trudny	Rozmowa kwalifikacyjna była trudna.
transfer	przesyłać	Przesyłają dane każdej nocy.
transform	przekształcać	Nowa polityka przekształci usługi.
transition	przejście	Przejście zajęło kilka miesięcy.
trial	proces	Proces zaczyna się w przyszłym tygodniu.
tropical	tropikalny	Burze tropikalne są tutaj częste.
truly	naprawdę	Naprawdę doceniam twoją pomoc.
trust	zaufanie	Budowanie zaufania wymaga czasu.
tune	melodia	Zespół zagrał wesołą melodię.
tunnel	tunel	Tunel biegnie pod rzeką.
ultimately	ostatecznie	Ostatecznie plan się powiódł.
unconscious	nieprzytomny	Pacjent pozostał nieprzytomny.
unexpected	niespodziewany	Opóźnienie było niespodziewane.
unique	unikalny	Każdy projekt jest unikalny.
universe	wszechświat	Wszechświat się rozszerza.
unknown	nieznany	Imię pozostaje nieznane.
upper	górny	Górna półka jest pusta.
upwards	w górę	Dym unosił się w górę.
urban	miejski	Obszary miejskie potrzebują lepszego transportu.
urge	zachęcać	Lekarze zachęcają ludzi do ćwiczeń.
vary	różnić się	Ceny różnią się w zależności od regionu.
vast	rozległy	Pustynia obejmuje rozległy obszar.
venue	obiekt	Obiekt mieści pięćset osób.
via	przez	Wyślij dokument przez e-mail.
victory	zwycięstwo	Drużyna świętowała swoje zwycięstwo.
violence	przemoc	Miasto ucierpiało z powodu przemocy politycznej.
virtual	wirtualny	Spotkanie jest wirtualne.
vision	wizja	Jej wizja ukształtowała firmę.
visual	wizualny	Raport zawiera przykłady wizualne.
vital	niezbędny	Woda jest niezbędna do życia.
vitamin	witamina	Pomarańcze zawierają witaminę C.
volume	głośność	Ścisz głośność.
wage	płaca	Robotnicy domagali się wyższej płacy.
weakness	słabość	Plan ma jedną słabość.
wealth	bogactwo	Jego bogactwo pochodziło z handlu.
wealthy	bogaty	Bogata rodzina ufundowała muzeum.
whereas	podczas gdy	Ona lubi herbatę, podczas gdy ja wolę kawę.
wherever	gdziekolwiek	Usiądź gdziekolwiek czujesz się komfortowo.
whisper	szeptać	Proszę szeptać podczas ceremonii.
whom	kogo	Kogo zaprosiłeś?
widely	szeroko	Książka jest szeroko czytana.
wildlife	dzika przyroda	Park chroni lokalną dziką przyrodę.
willing	chętny	Ona jest chętna do pomocy.
wind2	nawijać	Nawiń kabel na szpulę.
wire	kabel	Kabel łączy dwa urządzenia.
wise	mądry	To był mądry wybór.
witness	świadek	Świadek opisał wypadek.
wound	rana	Ostrożnie oczyść ranę.
wrap	zapakować	Zapakuj prezent w papier.
zone	strefa	Ta strefa jest zamknięta dla ruchu.
