source_headword	RU	example_RU
necessarily	обязательно	Дорогая еда не обязательно лучше.
needle	игла	Игла очень острая.
neighbourhood	район	Они живут в тихом районе.
net	сеть	Рыбак починил свою сеть.
nor	ни	Он не улыбнулся и не заговорил.
northern	северный	Они посетили северное побережье.
nuclear	ядерный	Спор был о ядерной энергии.
obvious	очевидный	Ответ был очевидным.
obviously	очевидно	Очевидно, нам нужно больше времени.
occasion	случай	Это особый случай.
occur	происходить	Аварии могут происходить где угодно.
odd	странный	Это был странный вопрос.
official	официальный	Официальный результат пришел сегодня.
old-fashioned	старомодный	Ее телефон выглядит старомодно.
operation	операция	Операция длилась два часа.
organized	организованный	Ее стол очень организован.
organizer	организатор	Организатор приветствовал гостей.
originally	первоначально	Первоначально она приехала из Канады.
ought modal	следует	Тебе следует отдохнуть.
ours	наш	Этот стол наш.
outdoor	уличный	Мы купили уличную мебель.
outdoors	на улице	Детям следует играть на улице.
package	посылка	Посылка пришла сегодня утром.
painful	болезненный	Порез был болезненным.
pale	бледный	Его лицо выглядело бледным.
pan	сковорода	Сначала нагрей сковороду.
participate	участвовать	Каждый может участвовать.
particularly	особенно	Мне особенно нравится эта песня.
passion	страсть	Музыка ее страсть.
path	тропинка	Иди по тропинке через парк.
payment	платеж	Платеж нужно внести завтра.
peaceful	мирный	Сад очень мирный.
percentage	процент	Небольшой процент согласился.
perfectly	идеально	План сработал идеально.
performance	выступление	Ее выступление было отличным.
personally	лично	Лично я предпочитаю чай.
persuade	убеждать	Можешь убедить его присоединиться?
photographer	фотограф	Фотограф сделал много снимков.
photography	фотография	Фотография его любимое хобби.
pin	булавка	Поставь булавку на карте.
pipe	труба	Труба переносит воду.
planning	планирование	Планирование требует времени.
pleasant	приятный	У нас был приятный вечер.
pleasure	удовольствие	Было удовольствием познакомиться с вами.
plenty	много	У нас много времени.
plot	сюжет	Сюжет было легко понять.
plus1	плюс	Два плюс три равно пять.
poem	стихотворение	Она написала короткое стихотворение.
poet	поэт	Поэт читал вслух.
poetry	поэзия	Он любит современную поэзию.
poison	яд	Держи яд подальше от детей.
poisonous	ядовитый	Некоторые грибы ядовиты.
policy	политика	Компания изменила свою политику.
political	политический	Речь была политической.
politician	политик	Политик отвечал на вопросы.
politics	политика	Политика может быть сложной.
port	порт	Корабль вошел в порт.
portrait	портрет	Портрет висит в холле.
possibly	возможно	Она возможно приедет поздно.
pot	горшок	Растению нужен больший горшок.
pour	наливать	Наливай молоко медленно.
poverty	бедность	Многие семьи живут в бедности.
powder	порошок	Добавь порошок в воду.
powerful	мощный	Двигатель мощный.
practical	практичный	Это практичное решение.
pray	молиться	Они молятся каждое утро.
prayer	молитва	Она произнесла тихую молитву.
prediction	предсказание	Его предсказание оказалось верным.
prepared	готовый	Я готов к экзамену.
presentation	презентация	Ее презентация была ясной.
press	нажимать	Нажми кнопку один раз.
pressure	давление	Давление может влиять на здоровье.
pretend	притворяться	Не притворяйся спящим.
previous	предыдущий	Предыдущий урок был легче.
previously	ранее	Ранее мы жили в Риме.
priest	священник	Священник говорил тихо.
primary	главный	Здоровье наша главная забота.
prince	принц	Принц посетил школу.
princess	принцесса	Принцесса носила синее платье.
printing	печать	Печать отчета заняла минуты.
prisoner	заключенный	Заключенный сбежал ночью.
private	частный	Это частный разговор.
producer	продюсер	Продюсеру понравился фильм.
production	производство	Производство начнется на следующей неделе.
profession	профессия	Преподавание уважаемая профессия.
profit	прибыль	Магазин получил прибыль.
promote	продвигать	Они продвигают здоровое питание.
proper	подходящий	Надень подходящую обувь для похода.
properly	как следует	Закрой дверь как следует.
property	недвижимость	Они купили недвижимость у реки.
protest	протест	Протест закончился мирно.
proud	гордый	Она гордилась своим сыном.
prove	доказывать	Можешь доказать свой ответ?
punish	наказывать	Учитель не стал его наказывать.
punishment	наказание	Наказание казалось справедливым.
qualification	квалификация	Для этой работы нужна квалификация.
qualified	квалифицированный	Она квалифицированная медсестра.
qualify	пройти отбор	Наша команда может пройти отбор.
queue	очередь	Мы ждали в длинной очереди.
quit	бросить	Он решил бросить курить.
quotation	цитата	Эссе начинается с цитаты.
quote	цитировать	Можно процитировать твои слова?
race (people)	раса	В форме спрашивают о расе.
racing	скачки	Скачки там популярны.
range	ассортимент	Магазин продает широкий ассортимент.
rare	редкий	Эта птица редкая.
rarely	редко	Мы редко едим вне дома.
reaction	реакция	Ее реакция удивила меня.
reality	реальность	Реальность отличалась от его мечты.
receipt	чек	Сохрани чек.
recommendation	рекомендация	Спасибо за рекомендацию.
reference	ссылка	Добавь ссылку в конце.
reflect	отражать	Зеркало может отражать свет.
regularly	регулярно	Она регулярно занимается спортом.
reject	отклонять	Они могут отклонить предложение.
relate	понимать	Я могу понять эту историю.
related	связанный	Эти две проблемы связаны.
relation	связь	Между ними есть связь.
relative	относительный	Скорость относительна.
relaxed	расслабленный	После ужина он почувствовал себя расслабленным.
relaxing	расслабляющий	Музыка была расслабляющей.
release	выпустить	Они скоро выпустят фильм.
reliable	надежный	Этот автобус обычно надежный.
religion	религия	Религия важна для нее.
religious	религиозный	Они посетили религиозное здание.
remain	оставаться	Пожалуйста, оставайтесь спокойными.
remind	напоминать	Напомни мне завтра.
remote	удаленный	Они живут в удаленной деревне.
rent	аренда	Аренда должна быть оплачена сегодня.
repeated	повторный	Повторные ошибки замедлили работу.
represent	представлять	Звезда представляет надежду.
require	требовать	Эта работа потребует обучения.
reservation	бронирование	Я сделал бронирование.
resource	ресурс	Библиотека полезный ресурс.
respect	уважать	Уважай одноклассников.
responsibility	ответственность	Уход за детьми большая ответственность.
responsible	ответственный	Она отвечает за билеты.
retire	уходить на пенсию	Мой отец скоро уйдет на пенсию.
retired	на пенсии	Он учитель на пенсии.
revise	пересматривать	Пересмотри свое эссе сегодня вечером.
risk	риск	Есть риск дождя.
robot	робот	Робот очистил пол.
roll	катить	Кати мяч ко мне.
romantic	романтический	У них был романтический ужин.
rope	веревка	Крепко завяжи веревку.
rough	неровный	Дорога была неровной.
row1	ряд	Сядь в передний ряд.
royal	королевский	Королевская семья прибыла.
rugby	регби	Мы смотрели регби по телевизору.
safety	безопасность	Безопасность важна на работе.
sailor	моряк	Моряк починил лодку.
sample	образец	Медсестра взяла образец крови.
sand	песок	Песок покрыл мою обувь.
scan	сканировать	Сначала отсканируй документ.
scientific	научный	Это научный метод.
script	сценарий	Актер прочитал сценарий.
sculpture	скульптура	Скульптура стоит снаружи.
secondary	второстепенный	Это второстепенная проблема.
security	безопасность	Охрана проверила наши сумки.
seed	семя	Посади семя в почву.
sensible	разумный	Это разумная идея.
seriously	серьезно	Отнесись к этой проблеме серьезно.
servant	слуга	Слуга открыл дверь.
set (put)	ставить	Поставь стакан на стол.
set (group)	набор	Этот набор включает шесть чашек.
setting	место действия	У истории городское место действия.
sex	пол	В форме спрашивают возраст и пол.
sexual	сексуальный	Класс обсуждал сексуальное здоровье.
sharp	острый	Этот нож острый.
shelf	полка	Поставь книгу на полку.
shell	ракушка	Ракушка была пустой.
shift	смена	Моя смена начинается в восемь.
shine	светить	Звезды светят ночью.
shiny	блестящий	Ее туфли блестящие.
shoot	снимать	Фотограф будет снимать сцену.
shy	застенчивый	Он застенчив с незнакомцами.
sight	вид	Гора была прекрасным видом.
signal	сигнал	Сигнал был слабым.
silent	молчаливый	Комната стала молчаливой.
silly	глупый	Это была глупая ошибка.
similarity	сходство	Есть явное сходство.
similarly	похожим образом	Второй план работает похожим образом.
simply	просто	Просто нажми эту кнопку.
sink	тонуть	Тяжелые камни быстро тонут.
slice	ломтик	Я съел ломтик торта.
slightly	слегка	Комната стала слегка теплее.
smart	элегантный	Она носила элегантный жакет.
smooth	гладкий	Дорога гладкая.
software	программное обеспечение	Программное обеспечение нужно обновить.
soil	почва	Почва сухая.
solid	твердый	Стена твердая.
southern	южный	Они живут на южном побережье.
specifically	именно	Я попросил именно чай.
spending	расходы	Государственные расходы выросли.
spicy	острый	Это карри острое.
spirit	дух	Команда показала сильный дух.
spoken	устный	Устный английский улучшается с практикой.
spot	место	Это место идеально.
spread	намазывать	Намажь масло на хлеб.
stadium	стадион	Стадион был полон.
staff	персонал	Персонал был полезным.
standard	стандарт	Стандарт был высоким.
statistic	статистика	Эта статистика удивляет.
statue	статуя	Статуя стоит на площади.
stick (push into/attach)	приклеить	Приклей этикетку к коробке.
stick (piece of wood)	палка	Он поднял палку.
