source_headword	HY	example_HY
inflation	գնաճ	Գնաճը բարձրացրեց սննդամթերքի գները։
info	տեղեկություն	Կայքը պարունակում է օգտակար տեղեկություն։
infrastructure	ենթակառուցվածք	Փոթորիկը վնասել է տեղի ենթակառուցվածքը։
inhabitant	բնակիչ	Յուրաքանչյուր բնակիչ մաքուր ջուր է ստացել։
inherit	ժառանգել	Նա կժառանգի ընտանեկան տունը։
ink	թանաք	Տպիչին սև թանաք է պետք։
innovation	նորարարություն	Նորարարությունը արդյունաբերությունը առաջ է մղում։
innovative	նորարարական	Ընկերությունը թողարկեց նորարարական ապրանք։
input	կարծիք	Ղեկավարը խնդրեց կարծիք հայտնել։
insert	տեղադրել	Տեղադրեք քարտը սարքի մեջ։
inspector	տեսուչ	Տեսուչը ստուգեց շենքը։
installation	տեղադրում	Տեղադրումը տևեց երկու ժամ։
instant	ակնթարթային	Հավելվածը ակնթարթային պատասխան ուղարկեց։
instantly	ակնթարթորեն	Էկրանն ակնթարթորեն միացավ։
integrate	ինտեգրել	Ծրագրակազմը կարող է ինտեգրել նոր գործիքներ։
intellectual	ինտելեկտուալ	Բանավեճը ինտելեկտուալ էր, բայց ընկերական։
interact	շփվել	Ուսանողները շփվում են խմբային աշխատանքի ժամանակ։
interaction	շփում	Շփումը քաղաքավարի էր։
interpretation	մեկնաբանություն	Նրա բանաստեղծության մեկնաբանությունը յուրօրինակ էր։
interval	ընդմիջում	Գործողությունների միջև կարճ ընդմիջում կար։
invade	ներխուժել	Բանակը փորձեց ներխուժել կղզի։
invasion	ներխուժում	Ներխուժումը վնասեց շատ քաղաքներ։
investor	ներդրող	Ներդրողը ֆինանսավորեց նոր ստարտափ։
isolate	մեկուսացնել	Բժիշկները մեկուսացնում են լուրջ վարակներով հիվանդներին։
isolated	մեկուսացված	Գյուղը մեկուսացված էր ձյունով։
jail	բանտ	Գողը բանտ ընկավ։
jet	ռեակտիվ ինքնաթիռ	Ռեակտիվ ինքնաթիռը վայրէջք կատարեց կեսօրին։
joint	համատեղ	Նրանք հայտարարեցին համատեղ նախագծի մասին։
journalism	լրագրություն	Լրագրությունը պահանջում է ճշգրիտ փաստեր։
jury	երդվյալ ատենակալներ	Երդվյալ ատենակալները որոշում կայացրին։
kit	հավաքածու	Վերանորոգման հավաքածուն ներառում է պտուտակներ։
ladder	աստիճան	Սանդուղքը հենված էր պատին։
landing	վայրէջք	Ինքնաթիռը սահուն վայրէջք կատարեց։
lane	գոտի	Մնացեք աջ գոտում։
lately	վերջերս	Վերջերս վատ եմ քնում։
leaflet	թռուցիկ	Թռուցիկը բացատրում է ծառայությունը։
legend	լեգենդ	Լեգենդը պատմում է թաքնված քաղաքի մասին։
lens	ոսպնյակ	Զգուշորեն մաքրեք տեսախցիկի ոսպնյակը։
lifetime	ամբողջ կյանքը	Նա գումար էր խնայել ամբողջ կյանքի ընթացքում։
lighting	լուսավորություն	Լավ լուսավորությունը բարելավում է սենյակը։
likewise	նույնպես	Նա ժպտաց, և նա արեց նույնը։
limitation	սահմանափակում	Պլանն ունի մեկ սահմանափակում։
literally	բառացիորեն	Նա բառացիորեն վազեց ավտոբուսի մոտ։
literary	գրական	Փառատոնը պատվում է գրական ստեղծագործությունները։
litre	լիտր	Գնեք մեկ լիտր կաթ։
litter	աղբ	Աղբ մի թափեք։
logo	լոգո	Լոգոն հայտնվում է ամեն էջում։
lottery	վիճակախաղ	Նա շահեց վիճակախաղի փոքր մրցանակ։
loyal	հավատարիմ	Շունը հավատարիմ էր իր տիրոջը։
lyric	երգի բառեր	Երգի բառերը կրկնում էին հիմնական գաղափարը։
magnificent	հոյակապ	Պալատը հոյակապ տեսք ուներ։
make-up	դիմահարդարում	Նա պարզ դիմահարդարում ուներ։
making	ստեղծում	Ֆիլմի ստեղծումը բարդ էր։
manufacture	արտադրել	Գործարանը կարտադրի հեռախոսներ։
manufacturing	արտադրություն	Արտադրական աշխատատեղերը տեղում ավելացել են։
marathon	մարաթոն	Նա ավարտեց մարաթոնը։
margin	լուսանցք	Գրառումներ արեք լուսանցքում։
marker	մարկեր	Օգտագործեք մարկեր պիտակի համար։
martial	մարտական	Նա ուսումնասիրում է մարտարվեստ։
mate	ընկեր	Իմ հին դպրոցական ընկերը երեկ զանգեց։
mayor	քաղաքապետ	Քաղաքապետը բացեց գրադարանը։
mechanic	մեխանիկ	Մեխանիկը վերանորոգեց ավտոբուսը։
mechanical	մեխանիկական	Ժամացույցը մեխանիկական անսարքություն ունի։
mechanism	մեխանիզմ	Կողպեքի մեխանիզմը պարզ է։
medal	մեդալ	Նա նվաճեց ոսկե մեդալ։
medication	դեղ	Դեղն ընդունեք ջրով։
membership	անդամակցություն	Մարզասրահի անդամակցությունը առցանց ավելի էժան է։
memorable	հիշարժան	Ուղևորությունը հիշարժան էր։
metaphor	փոխաբերություն	Բանաստեղծությունն օգտագործում է ուժեղ փոխաբերություն։
miner	հանքափոր	Հանքափորն աշխատում էր գետնի տակ։
miserable	անտանելի	Անձրևը խնջույքն անտանելի դարձրեց։
mode	ռեժիմ	Տեսախցիկը միացրեք գիշերային ռեժիմի։
modest	համեստ	Նրանք ապրում են համեստ տանը։
monster	հրեշ	Պատմության մեջ սարսափելի հրեշ կա։
monthly	ամսական	Մենք վարձը վճարում ենք ամսական։
monument	հուշարձան	Հուշարձանը կանգնած է գետի մոտ։
moreover	ավելին	Ավելին, ծրագիրը գումար է խնայում։
mortgage	հիփոթեք	Նրանք դիմել են հիփոթեքի համար։
mosque	մզկիթ	Մզկիթը շուկայի մոտ է։
motion	շարժում	Սենսորը ֆիքսում է շարժումը։
motivate	մոտիվացնել	Գովասանքը կարող է մոտիվացնել ուսանողներին։
motivation	մոտիվացիա	Նրա մոտիվացիան մնաց ուժեղ։
moving	հուզիչ	Ելույթը հուզիչ էր։
myth	առասպել	Առասպելը բացատրում է սարի անունը։
naked	մերկ	Երեխան լոգանքից հետո մերկ էր։
nasty	վատ	Վերքը վատ տեսք ուներ։
navigation	նավիգացիա	Հավելվածը բարելավում է նավիգացիան։
nearby	մոտակա	Մոտակա սրճարանը շուտ է բացվում։
necessity	անհրաժեշտություն	Մաքուր ջուրը անհրաժեշտություն է։
negotiate	բանակցել	Նրանք վաղը կբանակցեն պայմանագրի շուրջ։
negotiation	բանակցություն	Բանակցությունը տևեց ամբողջ առավոտ։
neutral	չեզոք	Դատավորը չեզոք մնաց։
newly	նոր	Նոր ներկված դուռը պայծառ տեսք ուներ։
norm	նորմ	Հեռավար աշխատանքը դարձավ նորմ։
notebook	տետր	Գրառումներ արեք ձեր տետրում։
novelist	վիպասան	Վիպասանը ստորագրեց իր գիրքը։
nowadays	մեր օրերում	Մեր օրերում շատ մարդիկ աշխատում են առցանց։
nursing	բուժքույրական գործ	Նա սովորում է բուժքույրական գործ։
nutrition	սնուցում	Լավ սնուցումը նպաստում է առողջությանը։
obesity	ճարպակալում	Ճարպակալումը մեծացնում է առողջական ռիսկերը։
observer	դիտորդ	Դիտորդը գրանցեց արդյունքները։
obstacle	խոչընդոտ	Ընկած ծառը խոչընդոտ էր։
occupation	զբաղմունք	Խնդրում ենք այստեղ գրել ձեր զբաղմունքը։
occupy	զբաղեցնել	Ընտանիքը կզբաղեցնի բնակարանը։
offender	իրավախախտ	Իրավախախտը ներողություն խնդրեց դատարանում։
ongoing	ընթացիկ	Հետաքննությունն ընթացիկ է։
openly	բացահայտ	Նա բացահայտ խոսեց իր վախերի մասին։
opera	օպերա	Մենք Միլանում օպերա դիտեցինք։
operator	օպերատոր	Օպերատորը միացրեց զանգը։
optimistic	լավատես	Նա լավատեսորեն է տրամադրված ապագայի հանդեպ։
orchestra	նվագախումբ	Նվագախումբը մեղմ նվագում էր։
organic	օրգանական	Նրանք օրգանական բանջարեղեն գնեցին։
outfit	հանդերձանք	Նրա հանդերձանքը համապատասխանում էր առիթին։
output	արտադրանք	Մեքենայի արտադրողականությունը մեծացավ։
outstanding	հիանալի	Նրա ելույթը հիանալի էր։
overcome	հաղթահարել	Նրանք միասին հաղթահարում են խնդիրները։
overnight	գիշերով	Ծանրոցը տեղ հասավ գիշերվա ընթացքում։
overseas	արտերկրում	Նա աշխատանք գտավ արտերկրում։
ownership	սեփականություն	Հողի սեփականության իրավունքը փոխվեց։
oxygen	թթվածին	Բույսերը թթվածին են արտադրում։
packet	փաթեթ	Զգուշորեն բացեք փաթեթը։
palm	ափ	Մետաղադրամը պահեք ձեր ափի մեջ։
panic	խուճապ	Խուճապ տարածվեց ամբոխի մեջ։
parade	շքերթ	Շքերթը սկսվեց կեսօրին։
parallel	զուգահեռ	Ճանապարհները զուգահեռ են ընթանում։
participation	մասնակցություն	Դասին մասնակցությունը բարելավվեց։
partnership	գործընկերություն	Գործընկերությունն օգնեց երկու ընկերություններին։
part-time	կես դրույքով	Նա կես դրույքով աշխատանք գտավ։
passionate	կրքոտ	Նա տարված է երաժշտությամբ։
password	գաղտնաբառ	Ընտրեք ուժեղ գաղտնաբառ։
patience	համբերություն	Փոքր երեխաներին սովորեցնելը համբերություն է պահանջում։
pause	դադարեցնել	Դադարեցրեք տեսանյութը հիմա։
peer	հասակակից	Հասակակիցների ճնշումն ազդեց նրա ընտրության վրա։
penalty	տուգանք	Խաղացողը տուգանք ստացավ։
perceive	ընկալել	Մարդիկ ռիսկը տարբեր կերպ են ընկալում։
perception	ընկալում	Վտանգի նրա ընկալումը փոխվեց։
permanently	ընդմիշտ	Խանութն ընդմիշտ փակվեց։
pill	հաբ	Նախաճաշից հետո մեկ հաբ խմեք։
pity	ափսոսանք	Ափսոս է։
placement	տեղադրում	Բազմոցի տեղադրումը կարևոր է։
portion	չափաբաժին	Մատուցեք բրնձի փոքր չափաբաժին։
potentially	հնարավոր է	Այս փոփոխությունը պոտենցիալ օգտակար է։
precede	նախորդել	Մուգ ամպերը հաճախ նախորդում են անձրևին։
precious	թանկարժեք	Մատանին թանկարժեք է։
precise	ճշգրիտ	Հրահանգները ճշգրիտ էին։
precisely	ճշգրտորեն	Ճշգրտորեն չափեք հեռավորությունը։
predictable	կանխատեսելի	Ավարտը կանխատեսելի էր։
preference	նախապատվություն	Նա նախապատվությունը տվեց թեյին։
pride	հպարտություն	Ավարտելուց հետո նա հպարտություն զգաց։
primarily	հիմնականում	Դասընթացը հիմնականում առցանց է։
principal	տնօրեն	Տնօրենը դիմավորեց նոր ուսանողներին։
prior	նախնական	Մեզ նախնական հաստատում է պետք։
probability	հավանականություն	Անձրևի հավանականությունը մեծ է։
probable	հավանական	Անձրևն այս գիշեր հավանական է։
proceed	անցնել	Խնդրում ենք անցնել հաջորդ սենյակ։
programming	ծրագրավորում	Ծրագրավորումը պրակտիկա է պահանջում։
progressive	առաջադեմ	Քաղաքականությունն իր ժամանակի համար առաջադեմ էր։
prohibit	արգելել	Կանոններն արգելում են ծխելը։
promising	խոստումնալից	Արդյունքները խոստումնալից են թվում։
promotion	առաջխաղացում	Նա աշխատավայրում առաջխաղացում ստացավ։
prompt	արագ	Արագ արձագանքը ժամանակ խնայեց։
proportion	համամասնություն	Մեծ մասը կողմ քվեարկեց։
protein	սպիտակուց	Լոբին սպիտակուց է պարունակում։
protester	ցուցարար	Ցուցարարը ցուցանակ էր բռնել։
psychological	հոգեբանական	Վթարը հոգեբանական սթրես առաջացրեց։
publicity	հրապարակայնություն	Միջոցառումը հրապարակայնություն ստացավ։
publishing	հրատարակչություն	Նա աշխատում է հրատարակչությունում։
punk	պանկ	Պանկ երաժշտությունը այնտեղ հայտնի դարձավ։
purely	զուտ	Ընտրությունը զուտ գործնական էր։
pursuit	հետապնդում	Նա շարունակեց արդարության որոնումը։
puzzle	գլուխկոտրուկ	Գլուխկոտրուկը մեկ ժամ տևեց։
questionnaire	հարցաշար	Խնդրում ենք լրացնել հարցաշարը։
racial	ռասայական	Զեկույցը քննարկում էր ռասայական անհավասարությունը։
racism	ռասիզմ	Ռասիզմը վնասում է համայնքներին։
racist	ռասիստական	Մեկնաբանությունը ռասիստական էր։
radiation	ճառագայթում	Ճառագայթումը կարող է վնասել բջիջները։
rail	բազրիք	Բռնեք աստիճանների բազրիքից։
random	պատահական	Համակարգիչն ընտրեց պատահական թիվ։
rat	առնետ	Առնետը վազեց աղբամանների հետևով։
rating	վարկանիշ	Հյուրանոցն ունի բարձր վարկանիշ։
reasonably	բավականին	Սենյակը բավականին մաքուր էր։
rebuild	վերակառուցել	Նրանք կվերակառուցեն կամուրջը։
receiver	ընդունող	Ընդունողը բռնեց գնդակը։
recession	անկում	Անկումը նվազեցրեց ծախսերը։
reckon	կարծել	Կարծում եմ՝ գնացքն ուշանում է։
recognition	ճանաչում	Նա ճանաչում ստացավ իր աշխատանքի համար։
recovery	ապաքինում	Ապաքինումը մի քանի շաբաթ տևեց։
recruit	հավաքագրել	Ընկերությունը ինժեներներ կհավաքագրի։
recruitment	հավաքագրում	Հավաքագրումը սկսվում է հաջորդ երկուշաբթի։
referee	մրցավար	Մրցավարը դադարեցրեց խաղը։
refugee	փախստական	Փախստականը ապահով տուն գտավ։
registration	գրանցում	Գրանցումը փակվում է ուրբաթ օրը։
regulate	կարգավորել	Օրենքը կկարգավորի արտանետումները։
reinforce	ամրապնդել	Լրացուցիչ հեծանները ամրացնում են տանիքը։
relieve	մեղմել	Դեղամիջոցը կարող է մեղմել ցավը։
relieved	հանգստացած	Զանգից հետո նա հանգստացած զգաց իրեն։
remarkable	նշանավոր	Ապաքինումը ուշագրավ էր։
remarkably	զարմանալիորեն	Նա զարմանալիորեն արագ ապաքինվեց։
reporting	զեկուցում	Ճշգրիտ լուսաբանումը կարևոր է։
resign	հրաժարական տալ	Մենեջերը վաղը հրաժարական կտա։
resolution	լուծաչափ	Էկրանն ունի բարձր լուծաչափ։
restore	վերականգնել	Բանվորները վերականգնում են հին նկարը։
restrict	սահմանափակել	Կանոնները սահմանափակում են կայանումը։
restriction	սահմանափակում	Սահմանափակումն ավարտվում է վաղը։
retail	մանրածախ առևտուր	Մանրածախ վաճառքներն աճել են։
retirement	կենսաթոշակ	Նա ուշադիր ծրագրել էր իր թոշակի անցնելը։
revenue	եկամուտ	Տոմսերի եկամուտը վճարեց վերանորոգման համար։
revision	կրկնություն	Կրկնությունն օգնեց քննությունից առաջ։
ridiculous	ծիծաղելի	Գինը ծիծաղելի էր։
risky	ռիսկային	Ծրագիրը ռիսկային էր թվում։
rival	մրցակից	Մեր մրցակիցը նոր խանութ բացեց։
rob	կողոպտել	Տղամարդիկ փորձեցին կողոպտել բանկը։
robbery	կողոպուտ	Կողոպուտը տեղի է ունեցել գիշերը։
rocket	հրթիռ	Հրթիռը հաջողությամբ արձակվեց։
romance	սիրավեպ	Վեպը ներառում է սիրավեպ։
rose	վարդ	Ցանկապատի մոտ կարմիր վարդ աճեց։
roughly	մոտավորապես	Մոտավորապես քսան մարդ ներկա գտնվեց։
ruin	փչացնել	Անձրևը կարող է փչացնել պիկնիկը։
satisfaction	բավարարվածություն	Հաճախորդների բավարարվածությունը բարելավվեց։
scandal	սկանդալ	Սկանդալը վնասեց նրա կարիերան։
scare	վախեցնել	Բարձր ձայնն ինձ վախեցրեց։
scenario	սցենար	Ամենավատ սցենարը քիչ հավանական է։
scholar	գիտնական	Գիտնականն ուսումնասիրում էր հնագույն տեքստեր։
scholarship	կրթաթոշակ	Նա շահեց կրթաթոշակ։
scratch	քերծվածք	Կատուն քերծվածք թողեց։
screening	սքրինինգ	Հիվանդանոցն առաջարկում է քաղցկեղի սքրինինգ։
seeker	որոնող	Աշխատանք փնտրողը դիմումներ ուղարկեց։
seminar	սեմինար	Սեմինարը սկսվում է իննին։
settler	վերաբնակիչ	Վերաբնակիչը փոքր ֆերմա կառուցեց։
severely	խիստ	Փոթորիկը խիստ վնասել է ճանապարհները։
sexy	գրավիչ	Զգեստը սեքսուալ էր համարվում։
shocking	ցնցող	Լուրերը ցնցող էին։
shore	ափ	Մենք քայլեցինք ափի երկայնքով։
shortage	պակաս	Քաղաքը բախվեց ջրի պակասի հետ։
shortly	շուտով	Ավտոբուսը ժամանեց կեսօրից քիչ անց։
short-term	կարճաժամկետ	Ծրագիրն ունի կարճաժամկետ օգուտներ։
sibling	քույր կամ եղբայր	Յուրաքանչյուր քույր և եղբայր նվեր ստացավ։
signature	ստորագրություն	Խնդրում ենք ավելացնել ձեր ստորագրությունը։
significance	նշանակություն	Հայտնագործությունն ունի մեծ նշանակություն։
skilled	հմուտ	Հմուտ բանվորները վերանորոգեցին տանիքը։
slogan	կարգախոս	Արշավն օգտագործեց պարզ կարգախոս։
so-called	այսպես կոչված	Այսպես կոչված փորձագետը սխալներ թույլ տվեց։
somehow	ինչ-որ կերպ	Բանալիներն ինչ-որ կերպ անհետացան։
sometime	երբևէ	Այցելեք մեզ հաջորդ շաբաթ որևէ ժամանակ։
sophisticated	բարդ	Ծրագրային ապահովումը բարդ է։
spare	պահեստային	Մենք պահեստային բանալի ենք պահում։
specialize	մասնագիտանալ	Բժիշկները մասնագիտանում են տարբեր ոլորտներում։
specify	նշել	Խնդրում ենք նշել ձեր ժամանման ժամը։
spectacular	տպավորիչ	Հրավառությունը տպավորիչ էր։
spectator	հանդիսատես	Յուրաքանչյուր հանդիսատես ծրագիր ստացավ։
speculate	ենթադրել	Փորձագետները ենթադրություններ են անում պատճառի մասին։
speculation	ենթադրություն	Հոդվածը խրախուսեց ենթադրությունները։
spice	համեմունք	Ավելացրեք մեկ համեմունք միանգամից։
spill	թափել	Մի թափեք հյութը։
spite	չնայած	Նա հաջողության հասավ չնայած խնդիրներին։
spoil	փչացնել	Չափազանց շատ աղը կարող է փչացնել ապուրը։
spokesman	խոսնակ	Խոսնակը պատասխանեց հարցերին։
spokesperson	խոսնակ	Խոսնակը կարդաց հայտարարությունը։
spokeswoman	խոսնակ	Խոսնակը դիմեց մամուլին։
sponsorship	հովանավորություն	Թիմին անհրաժեշտ է հովանավորություն։
sporting	սպորտային	Քաղաքը հյուրընկալում է սպորտային միջոցառումներ։
stall	կրպակ	Շուկայի կրպակը միրգ է վաճառում։
stance	դիրքորոշում	Նախարարը փոխեց իր դիրքորոշումը։
starve	սովամահ լինել	Առանց սննդի կենդանիները կարող են սովամահ լինել։
steadily	կայուն կերպով	Ընկերությունը կայուն կերպով աճեց։
steam	գոլորշի	Ապուրից գոլորշի էր բարձրանում։
stimulate	խթանել	Վառ գույները կարող են խթանել հետաքրքրությունը։
