simplified	VI	example_VI
经过	đi qua; trải qua	Ngày nào tôi cũng đi qua công viên này.
经理	quản lý; giám đốc	Người quản lý đang họp.
久	lâu	Tôi đã sống ở đây lâu rồi.
旧	cũ	Chiếc áo này rất cũ.
句子	câu	Xin hãy viết một câu.
决定	quyết định	Tôi quyết định học tiếng Trung.
可爱	dễ thương	Con mèo này rất dễ thương.
渴	khát	Tôi khát và muốn uống nước.
刻	mười lăm phút; khắc	Bây giờ là tám giờ mười lăm.
客人	khách	Hôm nay có khách đến nhà chúng tôi.
空调	máy điều hòa	Xin hãy bật máy điều hòa.
口	miệng; ngụm	Anh ấy uống một ngụm nước.
哭	khóc	Tại sao đứa trẻ đang khóc?
裤子	quần	Chiếc quần này mới.
筷子	đũa	Tôi biết ăn bằng đũa.
蓝	xanh lam	Bầu trời màu xanh lam.
老	già; lớn tuổi	Giáo viên của tôi không già.
离开	rời khỏi; rời đi	Ngày mai anh ấy sẽ rời Bắc Kinh.
礼物	quà; món quà	Đây là quà cho bạn.
历史	lịch sử	Tôi thích lịch sử Trung Quốc.
脸	mặt	Mặt cô ấy rất đỏ.
练习	luyện tập; bài tập	Xin hãy luyện nói tiếng Trung nhiều hơn.
辆	lượng từ cho xe cộ	Trước cửa có một chiếc taxi.
聊天	trò chuyện	Tôi trò chuyện với một người bạn.
了解	hiểu; tìm hiểu	Tôi muốn tìm hiểu văn hóa Trung Quốc.
邻居	hàng xóm	Người hàng xóm của tôi rất nhiệt tình.
留学	du học	Cô ấy đang du học ở Trung Quốc.
楼	tòa nhà; tầng	Văn phòng ở tầng ba.
绿	xanh lá cây	Mùa xuân cây cối chuyển sang màu xanh.
马	ngựa	Con ngựa đó chạy rất nhanh.
马上	ngay lập tức; ngay	Tôi sẽ quay lại ngay.
满意	hài lòng	Tôi rất hài lòng với căn phòng này.
帽子	mũ	Cái mũ này rất đẹp.
米	mét; gạo	Cái bàn này dài hai mét.
面包	bánh mì	Bữa sáng tôi ăn bánh mì.
明白	hiểu; rõ	Tôi hiểu ý của bạn.
拿	cầm; lấy	Xin hãy lấy giúp tôi một cuốn sách.
奶奶	bà nội; bà	Bà thích nghe nhạc.
南	nam; phía nam	Trường học ở phía nam thành phố.
难	khó	Câu hỏi này không khó.
难过	buồn	Hôm nay cô ấy hơi buồn.
年级	lớp; khối	Em gái tôi học lớp ba.
年轻	trẻ	Người quản lý này rất trẻ.
鸟	chim	Trên cây có một con chim.
努力	nỗ lực; cố gắng	Anh ấy học rất chăm chỉ.
爬山	leo núi	Cuối tuần này chúng tôi đi leo núi.
盘子	đĩa; khay	Trên bàn có ba cái đĩa.
胖	béo; mập	Con chó này hơi béo.
啤酒	bia	Bố không uống bia.
皮鞋	giày da	Đôi giày da này đắt.
瓶子	chai	Trong chai có nước.
其实	thật ra; thực ra	Thật ra tôi không thích bia.
其他	khác; những người khác	Các bạn cùng lớp khác đều đã đến.
奇怪	lạ; kỳ lạ	Âm thanh này rất lạ.
骑	đi; cưỡi	Hằng ngày anh ấy đi xe đạp đi làm.
起飞	cất cánh	Máy bay sắp cất cánh.
起来	đứng dậy; bắt đầu	Xin hãy đứng dậy.
清楚	rõ; rõ ràng	Bạn nói rất rõ.
请假	xin nghỉ; xin phép nghỉ	Anh ấy bị cảm nên cần xin nghỉ.
秋	mùa thu	Thời tiết mùa thu rất dễ chịu.
裙子	váy	Chiếc váy này rất đẹp.
然后	sau đó; rồi	Tôi ăn trước, sau đó làm bài tập về nhà.
热情	nhiệt tình; thân thiện	Bạn bè Trung Quốc rất nhiệt tình.
认为	cho rằng; nghĩ	Tôi cho rằng cách này tốt.
认真	nghiêm túc; chăm chú	Xin hãy nghe giáo viên giảng một cách chăm chú.
容易	dễ	Chữ Hán này dễ viết.
如果	nếu	Nếu trời mưa, chúng tôi sẽ đi tàu điện ngầm.
伞	ô; dù	Trời đang mưa, xin hãy mang ô.
上网	lên mạng	Buổi tối tôi lên mạng để xem bản đồ.
声音	giọng; âm thanh	Giọng của bạn nghe rất hay.
生气	tức giận; giận	Đừng giận, tôi không cố ý.
世界	thế giới	Thế giới rất rộng lớn.
试	thử; kiểm tra	Tôi muốn thử đôi giày da này.
瘦	gầy; thon	Anh ấy gầy hơn trước.
叔叔	chú; bác trai	Chú chở tôi đến trường.
舒服	thoải mái	Cái ghế này rất thoải mái.
数学	toán học	Tiết toán rất thú vị.
树	cây	Trước nhà có một cái cây.
刷牙	đánh răng	Sáng nào tôi cũng đánh răng.
双	đôi; cặp	Tôi mua một đôi giày da.
水平	trình độ; mức	Trình độ tiếng Trung của anh ấy cao.
司机	tài xế	Tài xế đang đợi chúng tôi trước cửa.
太阳	mặt trời	Hôm nay nắng rất gắt.
特别	đặc biệt; rất	Chương trình này đặc biệt thú vị.
疼	đau	Chân tôi đau.
提高	nâng cao; tăng cường	Luyện tập nhiều hơn có thể nâng cao trình độ tiếng Trung.
体育	thể dục; thể thao	Tôi thích tiết thể dục.
甜	ngọt	Đồ uống này quá ngọt.
条	lượng từ cho vật dài; chiếc	Tôi mua một chiếc váy.
同事	đồng nghiệp	Đồng nghiệp của tôi rất bận.
同意	đồng ý	Tôi đồng ý với quyết định của bạn.
头发	tóc	Tóc của cô ấy dài.
突然	đột nhiên	Anh ấy đột nhiên rời đi.
图书馆	thư viện	Hôm nay thư viện không mở cửa.
腿	chân	Sau khi leo núi, chân tôi đau.
完成	hoàn thành	Tôi đã làm xong bài tập về nhà.
碗	bát; tô	Trên bàn có hai cái bát.
万	mười nghìn; rất nhiều	Thành phố này có mười nghìn người.
忘记	quên	Đừng quên mang hộ chiếu của bạn.
为	vì; cho	Tôi vui cho bạn.
为了	để; vì	Để chuẩn bị cho kỳ thi, ngày nào anh ấy cũng ôn tập.
位	lượng từ lịch sự cho người	Giáo viên này rất nổi tiếng.
文化	văn hóa	Tôi muốn tìm hiểu văn hóa Trung Quốc.
西	tây; phía tây	Ngân hàng ở phía tây của trường.
习惯	thói quen; quen	Tôi quen tập thể dục vào buổi sáng.
洗手间	nhà vệ sinh	Nhà vệ sinh ở bên phải.
洗澡	tắm	Buổi tối tôi tắm.
夏	mùa hè	Mùa hè rất nóng.
先	trước; trước tiên	Bạn ăn trước đi.
相信	tin; tin tưởng	Tôi tin anh ấy sẽ đến.
香蕉	chuối	Tôi mua ba quả chuối.
像	giống; như	Đám mây này trông giống một con chim.
向	về phía; hướng về	Xin hãy đi sang bên trái.
小心	cẩn thận	Trời đang mưa, đi đường cẩn thận.
校长	hiệu trưởng	Hiệu trưởng đang ở văn phòng.
新闻	tin tức	Bố xem tin tức mỗi ngày.
新鲜	tươi	Trái cây này rất tươi.
信用卡	thẻ tín dụng	Tôi có thể trả bằng thẻ tín dụng không?
行李箱	va li; hành lý	Va li của tôi nặng.
熊猫	gấu trúc	Trẻ em thích xem gấu trúc.
需要	cần; cần thiết	Tôi cần sự giúp đỡ của bạn.
选择	chọn; lựa chọn	Bạn chọn chiếc áo sơ mi nào?
要求	yêu cầu	Giáo viên yêu cầu chúng tôi làm bài tập về nhà cẩn thận.
爷爷	ông nội; ông	Ông đi công viên mỗi ngày.
一直	luôn; liên tục	Anh ấy vẫn luôn đợi bạn.
一定	nhất định; chắc chắn	Tôi nhất định sẽ đến.
一共	tổng cộng	Những cuốn sách này tổng cộng bao nhiêu tiền?
一会儿	một lát	Xin hãy đợi tôi một lát.
一样	giống nhau	Hai cái cốc này to bằng nhau.
以前	trước đây; trước kia	Trước đây tôi sống ở Bắc Kinh.
一般	bình thường; thông thường	Đồ ăn ở nhà hàng này bình thường.
一边	một bên; vừa... vừa...	Anh ấy vừa nghe nhạc vừa làm bài tập về nhà.
音乐	âm nhạc; nhạc	Tôi thích nhạc Trung Quốc.
银行	ngân hàng	Ngân hàng ở cạnh siêu thị.
饮料	đồ uống	Đồ uống này ngon.
应该	nên; phải	Bạn nên nghỉ ngơi nhiều hơn.
影响	ảnh hưởng	Thời tiết sẽ ảnh hưởng đến trận đấu.
用	dùng; sử dụng	Tôi dùng máy tính để làm bài tập về nhà.
游戏	trò chơi	Các em nhỏ đang chơi trò chơi.
有名	nổi tiếng	Nhà hàng này rất nổi tiếng.
又	lại; cũng	Hôm nay anh ấy lại đến muộn.
遇到	gặp; gặp phải	Tôi gặp giáo viên trên đường.
元	nhân dân tệ; đơn vị tiền tệ	Cuốn từ điển này giá năm mươi nhân dân tệ.
愿意	sẵn lòng; muốn	Bạn có sẵn lòng tham gia không?
月亮	mặt trăng	Tối nay mặt trăng rất sáng.
越	càng... càng...	Càng học tiếng Trung, tôi càng thấy thú vị.
站	trạm; đứng	Anh ấy đứng ở cửa.
张	lượng từ cho vật phẳng	Xin đưa cho tôi một tấm bản đồ.
长	lớn lên; mọc	Trẻ em lớn rất nhanh.
着急	sốt ruột; lo lắng	Đừng sốt ruột, thang máy sắp đến rồi.
照顾	chăm sóc	Cô ấy chăm sóc bà bị ốm.
照片	ảnh; tấm ảnh	Tấm ảnh này trông đẹp.
照相机	máy ảnh	Tôi dùng máy ảnh để chụp ảnh.
283:只	chỉ; chỉ là	Tôi chỉ uống một tách trà.
284:只	lượng từ cho động vật	Dưới bàn có một con mèo.
只有…才…	chỉ khi... mới...	Chỉ khi ôn tập nghiêm túc thì bạn mới có thể thi tốt.
中间	giữa; ở giữa	Cái bàn ở giữa phòng.
中文	tiếng Trung; chữ Trung Quốc	Tôi học tiếng Trung mỗi ngày.
终于	cuối cùng	Cuối cùng chúng tôi đã đến nơi.
种	loại; thứ	Bạn thích loại đồ uống nào?
重要	quan trọng	Hộ chiếu rất quan trọng.
周末	cuối tuần	Cuối tuần tôi muốn đi công viên.
主要	chủ yếu; chính	Sở thích chính của anh ấy là âm nhạc.
注意	chú ý	Xin hãy chú ý nghe giáo viên.
自己	bản thân; tự mình	Tôi muốn tự mình làm bài tập về nhà.
自行车	xe đạp	Xe đạp của tôi ở dưới lầu.
总是	luôn luôn	Anh ấy luôn đến văn phòng sớm.
嘴	miệng	Xin hãy mở miệng.
最后	cuối cùng; sau cùng	Cuối cùng, tất cả chúng tôi đều đồng ý.
最近	gần đây; dạo này	Dạo này tôi bận.
作业	bài tập về nhà; bài tập	Tôi vẫn chưa làm xong bài tập về nhà.
