hsk_key	source_word	simplified	HI	example_HI	BN	example_BN	TL	example_TL
320:出去	出去	出去	बाहर जाना	मैं बाहर टहलने जाना चाहता हूँ।	বাইরে যাওয়া	আমি বাইরে হাঁটতে যেতে চাই।	lumabas; pumunta sa labas	Gusto kong lumabas para maglakad.
321:床	床	床	बिस्तर	बिस्तर कमरे में है।	বিছানা	বিছানাটি ঘরে আছে।	kama	Nasa silid ang kama.
322:词	词	词	शब्द	मैं यह शब्द नहीं समझता।	শব্দ	আমি এই শব্দটি বুঝি না।	salita	Hindi ko naiintindihan ang salitang ito.
325:从小	从小	从小	बचपन से	मुझे बचपन से चित्र बनाना पसंद है।	ছোটবেলা থেকে	ছোটবেলা থেকে আঁকতে আমার ভালো লাগে।	mula pagkabata	Mula pagkabata, mahilig na akong gumuhit.
327:打1	打1	打	फ़ोन करना	मैं पिताजी को फ़ोन करता हूँ।	ফোন করা	আমি বাবাকে ফোন করি।	tumawag	Tinatawagan ko ang tatay ko.
328:打车	打车	打车	टैक्सी लेना	हम टैक्सी से हवाई अड्डे जाते हैं।	ট্যাক্সি নেওয়া	আমরা ট্যাক্সি নিয়ে বিমানবন্দরে যাই।	sumakay ng taksi	Sasakay kami ng taksi papunta sa paliparan.
329:打开	打开	打开	खोलना	कृपया किताब खोलो।	খোলা	দয়া করে বই খুলুন।	buksan	Buksan mo ang libro.
330:但	但	但	लेकिन	मैं व्यस्त हूँ, लेकिन खुश हूँ।	কিন্তু	আমি ব্যস্ত, কিন্তু খুশি।	ngunit; pero	Abala ako, pero masaya ako.
338:动	动	动	हिलना	मत हिलो।	নড়া	নড়ো না।	gumalaw	Huwag kang gumalaw.
340:飞	飞	飞	उड़ना	पक्षी आकाश में उड़ रहा है।	উড়া	পাখিটি আকাশে উড়ছে।	lumipad	Lumilipad ang ibon sa langit.
342:高中	高中	高中	हाई स्कूल	मेरा बड़ा भाई हाई स्कूल में पढ़ता है।	উচ্চ বিদ্যালয়	আমার বড় ভাই উচ্চ বিদ্যালয়ে পড়ে।	mataas na paaralan	Nag-aaral sa mataas na paaralan ang kuya ko.
346:公交车	公交车	公交车	बस	मैं बस से स्कूल जाता हूँ।	বাস	আমি বাসে করে স্কুলে যাই।	bus ng lungsod	Sumasakay ako ng bus ng lungsod papuntang paaralan.
348:过来	过来	过来	इधर आना	कृपया थोड़ी देर के लिए इधर आओ।	এদিকে আসা	দয়া করে একটু এদিকে আসো।	lumapit dito	Lumapit ka rito sandali.
349:过年	过年	过年	नया साल मनाना	हम नया साल मनाने घर लौटते हैं।	নববর্ষ উদযাপন করা	আমরা নববর্ষ উদযাপন করতে বাড়ি ফিরি।	ipagdiwang ang Bagong Taon	Umuwi kami para ipagdiwang ang Bagong Taon.
353:黑色	黑色	黑色	काला रंग	काला स्कूलबैग बिस्तर पर है।	কালো রং	কালো স্কুলব্যাগটি বিছানার ওপর আছে।	itim na kulay	Nasa kama ang itim na schoolbag.
354:红茶	红茶	红茶	काली चाय	माँ को काली चाय पीना पसंद है।	কালো চা	মা কালো চা খেতে পছন্দ করেন।	itim na tsaa	Mahilig uminom ng itim na tsaa si nanay.
355:红色	红色	红色	लाल रंग	मेरे पास एक लाल कपड़ा है।	লাল রং	আমার একটি লাল পোশাক আছে।	pulang kulay	Mayroon akong pulang damit.
361:回来	回来	回来	वापस आना	वह शाम को वापस आएगा।	ফিরে আসা	সে সন্ধ্যায় ফিরে আসবে।	bumalik	Babalik siya sa gabi.
362:回去	回去	回去	वापस जाना	कक्षा के बाद मैं वापस जाता हूँ।	ফিরে যাওয়া	ক্লাসের পর আমি ফিরে যাই।	bumalik doon	Babalik ako pagkatapos ng klase.
364:机票	机票	机票	हवाई टिकट	मैंने एक हवाई टिकट खरीदा।	বিমান টিকিট	আমি একটি বিমান টিকিট কিনেছি।	tiket sa eroplano	Bumili ako ng tiket sa eroplano.
366:间	间	间	कमरों के लिए मात्रक	यह एक कक्षा-कक्ष है।	ঘরের জন্য পরিমাপক শব্দ	এটি একটি শ্রেণিকক্ষ।	pambilang para sa silid	Ito ay isang silid-aralan.
372:进来	进来	进来	अंदर आना	कृपया अंदर आइए।	ভিতরে আসা	দয়া করে ভিতরে আসুন।	pumasok	Pumasok po kayo.
373:进去	进去	进去	अंदर जाना	चलो अंदर चलते हैं।	ভিতরে যাওয়া	চলো ভিতরে যাই।	pumasok sa loob	Pumasok tayo.
375:酒店	酒店	酒店	होटल; ठहरने की जगह	होटल हवाई अड्डे के बहुत पास है।	হোটেল	হোটেলটি বিমানবন্দরের খুব কাছে।	hotel; tuluyan	Malapit na malapit ang hotel sa paliparan.
379:开学	开学	开学	स्कूल शुरू होना	कल स्कूल शुरू होता है।	স্কুল শুরু হওয়া	আগামীকাল স্কুল শুরু হবে।	pagsisimula ng klase	Magsisimula ang klase bukas.
380:考	考	考	परीक्षा देना; जाँचना	कल मेरी चीनी भाषा की परीक्षा है।	পরীক্ষা দেওয়া; পরীক্ষা করা	আগামীকাল আমার চীনা ভাষার পরীক্ষা আছে।	kumuha ng pagsusulit; subukin	May pagsusulit ako sa Chinese bukas.
386:快要	快要	快要	जल्द ही; लगभग	ट्रेन जल्द ही पहुँचने वाली है।	শিগগির; প্রায়	ট্রেনটি শিগগিরই আসছে।	malapit nang; halos	Malapit nang dumating ang tren.
387:篮球	篮球	篮球	बास्केटबॉल	मुझे बास्केटबॉल खेलना पसंद है।	বাস্কেটবল	আমি বাস্কেটবল খেলতে ভালোবাসি।	basketbol	Mahilig akong maglaro ng basketbol.
390:里面	里面	里面	अंदर	किताब स्कूलबैग के अंदर है।	ভিতরে	বইটি স্কুলব্যাগের ভিতরে আছে।	sa loob	Nasa loob ng schoolbag ang libro.
393:路上	路上	路上	रास्ते में	मैं रास्ते में हूँ।	পথে	আমি পথে আছি।	nasa daan	Nasa daan ako.
395:绿茶	绿茶	绿茶	हरी चाय	पिताजी को हरी चाय पीना पसंद है।	সবুজ চা	বাবা সবুজ চা খেতে পছন্দ করেন।	berdeng tsaa	Mahilig uminom ng berdeng tsaa si tatay.
396:绿色	绿色	绿色	हरा रंग	यह कप हरा है।	সবুজ রং	এই কাপটি সবুজ।	berdeng kulay	Berde ang tasang ito.
398:没意思	没意思	没意思	उबाऊ; दिलचस्प नहीं	यह फ़िल्म उबाऊ है।	বিরক্তিকর; আকর্ষণীয় নয়	এই সিনেমাটি বিরক্তিকর।	nakakabagot; hindi interesante	Nakakabagot ang pelikulang ito.
401:门口	门口	门口	दरवाज़े पर; प्रवेश द्वार	मैं स्कूल के प्रवेश द्वार पर तुम्हारा इंतज़ार कर रहा हूँ।	দরজার কাছে; প্রবেশদ্বার	আমি স্কুলের প্রবেশদ্বারে তোমার জন্য অপেক্ষা করছি।	pasukan; may pintuan	Hinihintay kita sa pasukan ng paaralan.
402:门票	门票	门票	प्रवेश टिकट	प्रवेश टिकट महँगा नहीं है।	প্রবেশ টিকিট	প্রবেশ টিকিটটি দামি নয়।	tiket sa pagpasok	Hindi mahal ang tiket sa pagpasok.
403:面1	面1	面	पक्ष; सतह; स्थान-सूचक प्रत्यय	बाहर बारिश हो रही है।	দিক; পৃষ্ঠ; স্থানসূচক প্রত্যয়	বাইরে বৃষ্টি হচ্ছে।	panig; ibabaw; hulaping pantukoy ng lugar	Umuulan sa labas.
404:名	名	名	व्यक्तियों के लिए मात्रक	यह एक शिक्षक है।	মানুষের জন্য পরিমাপক শব্দ	এটি একজন শিক্ষক।	pambilang para sa tao	Ito ay isang guro.
406:那么	那么	那么	इतना; उस तरह	वह इतना व्यस्त नहीं है।	এত; সেভাবে	সে এত ব্যস্ত নয়।	ganoon; ganoon kalaki	Hindi siya ganoon kaabala.
407:那样	那样	那样	वैसा; उस तरह	वैसा मत कहो।	ওভাবে; সেভাবে	ওভাবে বলো না।	ganoon; sa ganoong paraan	Huwag mong sabihin nang ganoon.
408:奶茶	奶茶	奶茶	दूध वाली चाय	मैं दूध वाली चाय पीना चाहता हूँ।	দুধ চা	আমি দুধ চা খেতে চাই।	tsaa na may gatas	Gusto kong uminom ng tsaa na may gatas.
410:男孩儿	男孩儿	男孩儿	लड़का	वह लड़का दौड़ रहा है।	ছেলে	ওই ছেলেটি দৌড়াচ্ছে।	batang lalaki	Tumatakbo ang batang lalaki na iyon.
412:女孩儿	女孩儿	女孩儿	लड़की	उस लड़की को नाचना पसंद है।	মেয়ে	ওই মেয়েটি নাচতে ভালোবাসে।	batang babae	Mahilig sumayaw ang batang babae na iyon.
414:跑	跑	跑	दौड़ना	वह बहुत तेज़ दौड़ता है।	দৌড়ানো	সে খুব দ্রুত দৌড়ায়।	tumakbo	Napakabilis niyang tumakbo.
421:球	球	球	गेंद	यह गेंद लाल है।	বল	এই বলটি লাল।	bola	Pula ang bolang ito.
423:肉	肉	肉	मांस	मैं मांस नहीं खाता।	মাংস	আমি মাংস খাই না।	karne	Hindi ako kumakain ng karne.
424:商场	商场	商场	शॉपिंग मॉल	शॉपिंग मॉल में बहुत लोग हैं।	শপিং মল	শপিং মলে অনেক মানুষ আছে।	pamilihan; mall	Maraming tao sa mall.
425:上来	上来	上来	ऊपर आना	कृपया ऊपर आओ।	উপরে আসা	দয়া করে উপরে আসো।	umakyat dito	Umakyat ka rito.
426:上面	上面	上面	ऊपर; ऊपर की सतह	किताब मेज़ पर है।	উপরে; ওপরের দিক	বইটি টেবিলের ওপর আছে।	sa ibabaw; sa itaas	Nasa ibabaw ng mesa ang libro.
427:上去	上去	上去	ऊपर जाना	चलो ऊपर जाकर देखते हैं।	উপরে যাওয়া	চলো উপরে গিয়ে দেখি।	umakyat	Umakyat tayo at tingnan.
431:时	时	时	समय; उस समय	उस समय मैं स्कूल में था।	সময়; তখন	তখন আমি স্কুলে ছিলাম।	oras; nang panahong iyon	Nasa paaralan ako noon.
433:手	手	手	हाथ	मेरे हाथ ठंडे हैं।	হাত	আমার হাত ঠান্ডা।	kamay	Malamig ang mga kamay ko.
435:书包	书包	书包	स्कूल बैग	मेरा स्कूल बैग बड़ा है।	স্কুলব্যাগ	আমার স্কুলব্যাগ বড়।	schoolbag; bag sa paaralan	Malaki ang schoolbag ko.
438:虽然	虽然	虽然	हालाँकि	हालाँकि बारिश हो रही है, मुझे फिर भी बाहर जाना है।	যদিও	যদিও বৃষ্টি হচ্ছে, তবু আমাকে বাইরে যেতে হবে।	kahit na	Kahit umuulan, kailangan ko pa ring lumabas.
441:踢	踢	踢	लात मारना; पैर से खेलना	उसे फ़ुटबॉल खेलना पसंद है।	লাথি মারা; পা দিয়ে খেলা	সে ফুটবল খেলতে ভালোবাসে।	sumipa	Mahilig siyang maglaro ng futbol.
445:头	头	头	सिर	मेरे सिर में दर्द है।	মাথা	আমার মাথা ব্যথা করছে।	ulo	Masakit ang ulo ko.
446:外国	外国	外国	विदेशी देश; विदेश	वह विदेश में काम करता है।	বিদেশি দেশ; বিদেশ	সে বিদেশে কাজ করে।	ibang bansa	Nagtatrabaho siya sa ibang bansa.
447:外面	外面	外面	बाहर	बाहर ठंड है।	বাইরে	বাইরে ঠান্ডা।	sa labas	Malamig sa labas.
450:往	往	往	की ओर	कृपया आगे चलिए।	দিকে	দয়া করে সামনে হাঁটুন।	patungo sa	Mangyaring lumakad pasulong.
451:网上	网上	网上	ऑनलाइन; इंटरनेट पर	मैं इंटरनेट पर किताबें खरीदता हूँ।	অনলাইনে; ইন্টারনেটে	আমি অনলাইনে বই কিনি।	online; sa internet	Bumibili ako ng mga libro online.
452:忘	忘	忘	भूलना	मैं उसका नाम भूल गया।	ভুলে যাওয়া	আমি তার নাম ভুলে গেছি।	makalimot	Nakalimutan ko ang pangalan niya.
458:下来	下来	下来	नीचे आना	कृपया नीचे आओ।	নিচে আসা	দয়া করে নিচে আসো।	bumaba dito	Bumaba ka rito.
459:下面	下面	下面	नीचे; के नीचे	बिल्ली मेज़ के नीचे है।	নিচে; তলায়	বিড়ালটি টেবিলের নিচে আছে।	sa ilalim; sa ibaba	Nasa ilalim ng mesa ang pusa.
460:下去	下去	下去	नीचे जाना	चलो नीचे चलते हैं।	নিচে যাওয়া	চলো নিচে যাই।	bumaba	Bumaba tayo.
461:小孩儿	小孩儿	小孩儿	बच्चा	बच्चा गेंद से खेल रहा है।	শিশু; বাচ্চা	বাচ্চাটি বল নিয়ে খেলছে।	bata	Naglalaro ng bola ang bata.
462:小时候	小时候	小时候	बचपन में; जब छोटा था	बचपन में मैं बीजिंग में रहता था।	ছোটবেলায়; শৈশবে	ছোটবেলায় আমি বেইজিংয়ে থাকতাম।	noong bata pa	Noong bata pa ako, tumira ako sa Beijing.
465:姓名	姓名	姓名	पूरा नाम	कृपया अपना पूरा नाम लिखिए।	পূর্ণ নাম	দয়া করে আপনার পূর্ণ নাম লিখুন।	buong pangalan	Isulat mo ang iyong buong pangalan.
469:药店	药店	药店	दवा की दुकान; फ़ार्मेसी	दवा की दुकान अस्पताल के पास है।	ফার্মেসি; ওষুধের দোকান	ফার্মেসিটি হাসপাতালের পাশে।	parmasya	Nasa tabi ng ospital ang parmasya.
477:游	游	游	तैरना	मछली पानी में तैर रही है।	সাঁতার কাটা	মাছটি পানিতে সাঁতার কাটছে।	lumangoy	Lumalangoy ang isda sa tubig.
479:有意思	有意思	有意思	दिलचस्प	यह किताब बहुत दिलचस्प है।	আকর্ষণীয়	এই বইটি খুব আকর্ষণীয়।	kawili-wili	Napaka-kawili-wili ng librong ito.
480:有时	有时	有时	कभी-कभी	मैं कभी-कभी बस से स्कूल जाता हूँ।	কখনো কখনো	আমি কখনো কখনো বাসে করে স্কুলে যাই।	minsan	Minsan sumasakay ako ng bus papuntang paaralan.
481:右	右	右	दायाँ; दाईं ओर	कृपया दाईं ओर देखिए।	ডান; ডান দিক	দয়া করে ডান দিকে তাকান।	kanan; kanang bahagi	Tumingin ka sa kanan.
488:这么	这么	这么	इतना; इतना ज़्यादा	यह किताब इतनी महँगी है।	এত; এতটা	এই বইটি এত দামি।	ganito; ganito kalaki	Ganito kamahal ang librong ito.
489:这样	这样	这样	इस तरह	इस तरह करना काफ़ी अच्छा है।	এভাবে	এভাবে করা বেশ ভালো।	ganito; sa ganitong paraan	Maganda ring gawin ito nang ganito.
492:周	周	周	सप्ताह	अगले सप्ताह मैं बीजिंग जा रहा हूँ।	সপ্তাহ	আগামী সপ্তাহে আমি বেইজিং যাচ্ছি।	linggo	Sa susunod na linggo, pupunta ako sa Beijing.
496:走路	走路	走路	पैदल चलना	मैं हर दिन पैदल स्कूल जाता हूँ।	হেঁটে যাওয়া	আমি প্রতিদিন হেঁটে স্কুলে যাই।	maglakad	Araw-araw akong naglalakad papuntang paaralan.
497:足球	足球	足球	फ़ुटबॉल; फ़ुटबॉल की गेंद	वह फ़ुटबॉल खेल रहा है।	ফুটবল; ফুটবল বল	সে ফুটবল খেলছে।	futbol; bolang futbol	Naglalaro siya ng futbol.
499:左	左	左	बायाँ; बाईं ओर	कृपया बाईं ओर मुड़िए।	বাম; বাম দিক	দয়া করে বামে ঘুরুন।	kaliwa; kaliwang bahagi	Lumiko ka sa kaliwa.
