source_headword	BN	example_BN
email	ইমেইল	আমি একটি ইমেইল পাঠাই।
end	শেষ; শেষ করা	গল্পের শেষ ভালো।
enjoy	উপভোগ করা	আমি সঙ্গীত উপভোগ করি।
enough	যথেষ্ট	আমার কাছে যথেষ্ট সময় আছে।
euro	ইউরো	এটার দাম দশ ইউরো।
even	এমনকি	এমনকি শিশুটিও জানে।
evening	সন্ধ্যা	সন্ধ্যায় আমরা হাঁটি।
event	অনুষ্ঠান; ঘটনা	অনুষ্ঠানটি আজ।
ever	কখনও	তুমি কি কখনও প্যারিসে গেছ?
every	প্রতিটি; প্রত্যেক	আমি প্রতিদিন পড়ি।
everybody	সবাই	সবাই এখন প্রস্তুত।
everyone	সবাই	সবাই আমার কথা শুনছে।
everything	সবকিছু	সবকিছু টেবিলে আছে।
exam	পরীক্ষা	পরীক্ষা আগামীকাল।
example	উদাহরণ	আমাকে একটি উদাহরণ দাও।
excited	উত্তেজিত; আনন্দিত	শিশুরা ভ্রমণের জন্য উত্তেজিত।
exciting	রোমাঞ্চকর	খেলাটি রোমাঞ্চকর।
exercise	ব্যায়াম; অনুশীলন	আমি সকালে ব্যায়াম করি।
expensive	দামী	এই ঘড়িটি দামী।
explain	ব্যাখ্যা করা	শিক্ষক উত্তর ব্যাখ্যা করেন।
extra	অতিরিক্ত	আমার একটি অতিরিক্ত চাবি আছে।
eye	চোখ	তার চোখ নীল।
face	মুখ; মুখোমুখি হওয়া	তোমার মুখ ধুয়ে নাও।
fact	তথ্য; সত্য	এটি একটি গুরুত্বপূর্ণ তথ্য।
fall	পড়া	পাতাগুলো মাটিতে পড়ে।
false	মিথ্যা; ভুল	উত্তরটি ভুল।
family	পরিবার	আমার পরিবার বড়।
famous	বিখ্যাত	সে একজন বিখ্যাত গায়ক।
fantastic	চমৎকার	ছবিটি চমৎকার।
far	দূরে	স্টেশনটি দূরে নয়।
farm	খামার	তারা একটি খামারে থাকে।
farmer	কৃষক	কৃষক মাঠে কাজ করেন।
fast	দ্রুত	ট্রেনটি দ্রুত চলে।
fat	মোটা	বিড়ালটি একটু মোটা।
father	বাবা	আমার বাবা শিক্ষক।
favourite	প্রিয়	আমার প্রিয় খাবার মাছ।
February	ফেব্রুয়ারি	ফেব্রুয়ারি ছোট মাস।
feel	অনুভব করা	আজ আমি ভালো অনুভব করছি।
feeling	অনুভূতি	আমার ভালো অনুভূতি আছে।
festival	উৎসব	আমরা উৎসবে গান গাই।
few	কয়েকটি; অল্প	আমার কাছে কয়েকটি টাকা আছে।
fifteen	পনেরো	ক্লাসে পনেরো জন ছাত্র আছে।
fifth	পঞ্চম	সে পঞ্চম তলায় থাকে।
fifty	পঞ্চাশ	টিকিটের দাম পঞ্চাশ টাকা।
fill	ভরাট করা	গ্লাসটি পানি দিয়ে ভরো।
film	ছবি; চলচ্চিত্র	আমরা একটি ছবি দেখি।
final	চূড়ান্ত; শেষ	এটি চূড়ান্ত উত্তর।
find	খুঁজে পাওয়া	আমি আমার চাবি খুঁজে পাই।
fine	ভালো; সূক্ষ্ম	আমি ভালো আছি।
finish	শেষ করা	আমি কাজ শেষ করি।
fire	আগুন	আগুন গরম।
first	প্রথম	সে প্রথম প্রশ্নের উত্তর দেয়।
fish	মাছ	আমি মাছ খাই।
five	পাঁচ	আমার পাঁচটি বই আছে।
flat	ফ্ল্যাট; সমতল	আমার ফ্ল্যাট ছোট।
flight	উড়ান	আমাদের উড়ান সকাল আটটায়।
floor	মেঝে; তলা	ব্যাগটি মেঝেতে আছে।
flower	ফুল	এই ফুলটি সুন্দর।
fly	উড়া; মাছি	পাখিটি আকাশে উড়ে।
follow	অনুসরণ করা	দয়া করে আমাকে অনুসরণ করো।
food	খাবার	খাবার প্রস্তুত।
foot	পা	তার পা ব্যথা করছে।
football	ফুটবল	আমরা মাঠে ফুটবল খেলি।
for	জন্য	এই উপহার তোমার জন্য।
forget	ভুলে যাওয়া	তোমার বই ভুলে যেও না।
form	ফর্ম; আকার	এই ফর্মটি পূরণ করো।
forty	চল্লিশ	বইটির দাম চল্লিশ টাকা।
four	চার	টেবিলে চারটি কাপ আছে।
fourteen	চৌদ্দ	আমার বোনের বয়স চৌদ্দ।
fourth	চতুর্থ	সে চতুর্থ সারিতে বসে।
free	মুক্ত; বিনামূল্যে	এই টিকিট বিনামূল্যে।
Friday	শুক্রবার	শুক্রবার আমাদের পরীক্ষা আছে।
friend	বন্ধু	আমার বন্ধু এখানে থাকে।
friendly	বন্ধুত্বপূর্ণ	নতুন শিক্ষক বন্ধুত্বপূর্ণ।
from	থেকে	আমি ঢাকা থেকে এসেছি।
front	সামনে	দোকানটি স্কুলের সামনে।
fruit	ফল	আমি প্রতিদিন ফল খাই।
full	পূর্ণ; ভরা	বাসটি পূর্ণ।
fun	মজা	খেলাটি অনেক মজা।
funny	মজার	তার গল্পটি মজার।
future	ভবিষ্যৎ	ভবিষ্যতে আমি ডাক্তার হতে চাই।
game	খেলা	এই খেলাটি সহজ।
garden	বাগান	বাগানে ফুল আছে।
geography	ভূগোল	আমি ভূগোল পড়ি।
get	পাওয়া; আনা	আমি একটি নতুন বই পাই।
girl	মেয়ে	মেয়েটি গান গায়।
girlfriend	প্রেমিকা	তার প্রেমিকা শহরে থাকে।
give	দেওয়া	আমাকে তোমার নম্বর দাও।
glass	গ্লাস; কাচ	গ্লাসে পানি আছে।
go	যাওয়া	আমরা এখন বাড়ি যাই।
good	ভালো	আজ আবহাওয়া ভালো।
goodbye	বিদায়	বিদায়, কাল দেখা হবে।
grandfather	দাদা; নানা	আমার দাদা হাঁটছেন।
grandmother	দাদি; নানি	আমার নানি রান্না করেন।
grandparent	দাদা-দাদি; নানা-নানি	আমার দাদা-দাদি কাছে থাকেন।
great	দারুণ; মহান	তোমার ধারণাটি দারুণ।
green	সবুজ	ঘাস সবুজ।
grey	ধূসর	আকাশ ধূসর।
group	দল; গোষ্ঠী	আমাদের দল ছোট।
grow	বাড়া; জন্মানো	গাছটি দ্রুত বাড়ে।
guess	অনুমান করা	উত্তরটি অনুমান করো।
guitar	গিটার	সে গিটার বাজায়।
gym	ব্যায়ামাগার	আমি ব্যায়ামাগারে যাই।
hair	চুল	তার চুল লম্বা।
half	অর্ধেক	আমি অর্ধেক রুটি খাই।
hand	হাত	তোমার হাত ধুয়ে নাও।
happen	ঘটা	এখানে কী ঘটছে?
happy	খুশি	আমি আজ খুশি।
hard	কঠিন; শক্ত	এই কাজ কঠিন।
hat	টুপি	সে নীল টুপি পরে।
hate	ঘৃণা করা	আমি মিথ্যা ঘৃণা করি।
have	থাকা; পাওয়া	আমার একটি গাড়ি আছে।
have to modal	করতে হওয়া; বাধ্য হওয়া	আমাকে এখন যেতে হবে।
he	সে	সে আমার ভাই।
head	মাথা	আমার মাথা ব্যথা করছে।
health	স্বাস্থ্য	স্বাস্থ্য গুরুত্বপূর্ণ।
healthy	স্বাস্থ্যকর; সুস্থ	এই খাবার স্বাস্থ্যকর।
hear	শোনা	আমি তোমার কণ্ঠ শুনি।
hello	হ্যালো	হ্যালো, তুমি কেমন আছ?
help	সাহায্য; সাহায্য করা	দয়া করে আমাকে সাহায্য করো।
her	তার; তাকে	আমি তাকে দেখি।
here	এখানে	বইটি এখানে আছে।
hey	এই	এই, এখানে এসো।
hi	হাই	হাই, আমার নাম রাহুল।
high	উঁচু	পাহাড়টি উঁচু।
him	তাকে	আমি তাকে চিনি।
his	তার	এটি তার বই।
history	ইতিহাস	আমরা ইতিহাস পড়ি।
hobby	শখ	আমার শখ গান শোনা।
holiday	ছুটি	আমাদের আগামীকাল ছুটি।
home	বাড়ি	আমি বাড়িতে আছি।
homework	বাড়ির কাজ	আমি বাড়ির কাজ শেষ করি।
hope	আশা; আশা করা	আমি আশা করি তুমি আসবে।
horse	ঘোড়া	ঘোড়াটি দ্রুত দৌড়ায়।
hospital	হাসপাতাল	হাসপাতালটি কাছে।
hot	গরম	চা গরম।
hotel	হোটেল	আমরা হোটেলে থাকি।
hour	ঘণ্টা	ক্লাসটি এক ঘণ্টা চলে।
house	বাড়ি	তাদের বাড়ি বড়।
how	কীভাবে; কত	তুমি কীভাবে স্কুলে যাও?
however	তবে; কিন্তু	আমি ক্লান্ত, তবে আমি আসব।
hundred	একশ	এখানে একশ মানুষ আছে।
hungry	ক্ষুধার্ত	আমি এখন ক্ষুধার্ত।
husband	স্বামী	তার স্বামী ডাক্তার।
I	আমি	আমি ইংরেজি শিখি।
ice	বরফ	বরফ ঠান্ডা।
ice cream	আইসক্রিম	শিশুরা আইসক্রিম খায়।
idea	ধারণা	তোমার ধারণা ভালো।
if	যদি	যদি বৃষ্টি হয়, আমি থাকব।
imagine	কল্পনা করা	একটি বড় বাড়ি কল্পনা করো।
important	গুরুত্বপূর্ণ	এই নিয়ম গুরুত্বপূর্ণ।
improve	উন্নতি করা	আমি আমার ইংরেজি উন্নত করি।
in	ভিতরে; মধ্যে	বইটি ব্যাগের ভিতরে আছে।
include	অন্তর্ভুক্ত করা	দামের মধ্যে খাবার আছে।
information	তথ্য	আমার আরও তথ্য দরকার।
interest	আগ্রহ; সুদ	তার সঙ্গীতে আগ্রহ আছে।
interested	আগ্রহী	আমি ইতিহাসে আগ্রহী।
interesting	আকর্ষণীয়	বইটি আকর্ষণীয়।
internet	ইন্টারনেট	ইন্টারনেট আজ ধীর।
interview	সাক্ষাৎকার	আমার সাক্ষাৎকার সোমবার।
into	ভেতরে; মধ্যে	সে ঘরের ভেতরে যায়।
introduce	পরিচয় করিয়ে দেওয়া	আমি তোমাকে আমার বন্ধুর সঙ্গে পরিচয় করাই।
island	দ্বীপ	দ্বীপটি ছোট।
it	এটা	এটা আমার ফোন।
its	এর	বিড়ালটি এর খাবার খায়।
jacket	জ্যাকেট	সে কালো জ্যাকেট পরে।
January	জানুয়ারি	জানুয়ারিতে আবহাওয়া ঠান্ডা।
jeans	জিন্স	আমি নীল জিন্স পরি।
job	চাকরি; কাজ	তার নতুন চাকরি আছে।
join	যোগ দেওয়া	তুমি আমাদের দলে যোগ দাও।
journey	যাত্রা	যাত্রাটি দীর্ঘ।
juice	রস; জুস	আমি কমলার রস খাই।
July	জুলাই	জুলাই মাসে গরম পড়ে।
June	জুন	আমরা জুনে ভ্রমণ করি।
just	শুধু; ঠিক এখন	আমি শুধু পানি চাই।
keep	রাখা	চাবিটি এখানে রাখো।
key	চাবি; মূল	আমার চাবি কোথায়?
kilometre	কিলোমিটার	স্টেশন দুই কিলোমিটার দূরে।
kind (type)	ধরন	তুমি কোন ধরনের সঙ্গীত পছন্দ করো?
kitchen	রান্নাঘর	মা রান্নাঘরে আছেন।
know	জানা	আমি উত্তর জানি।
land	জমি; অবতরণ করা	বিমানটি জমিতে নামে।
language	ভাষা	বাংলা একটি ভাষা।
large	বড়	আমার কাছে বড় ব্যাগ আছে।
last1 (final)	শেষ; সর্বশেষ	এটি শেষ বাস।
late	দেরি	আমি আজ দেরি করেছি।
later	পরে	আমি পরে ফোন করব।
laugh	হাসা	শিশুরা জোরে হাসে।
learn	শেখা	আমি নতুন শব্দ শিখি।
leave	ছাড়া; চলে যাওয়া	আমরা এখন বাড়ি ছাড়ি।
left	বাম; বাকি	বাম দিকে ঘুরো।
leg	পা	তার পা লম্বা।
lesson	পাঠ	আজকের পাঠ সহজ।
let	দেওয়া; অনুমতি দেওয়া	আমাকে চেষ্টা করতে দাও।
letter	চিঠি; অক্ষর	আমি একটি চিঠি লিখি।
library	গ্রন্থাগার	গ্রন্থাগারে অনেক বই আছে।
lie1	শোয়া	আমি বিছানায় শুই।
life	জীবন	জীবন সুন্দর।
like (similar)	মতো; সদৃশ	এই ব্যাগটি আমার ব্যাগের মতো।
like (find sb/sth pleasant)	পছন্দ করা	আমার সঙ্গীত পছন্দ।
line	লাইন; রেখা	লাইনে দাঁড়াও।
lion	সিংহ	সিংহটি বড়।
list	তালিকা	আমার কেনাকাটার তালিকা আছে।
listen	শোনা	দয়া করে মন দিয়ে শোনো।
little	ছোট; অল্প	আমার একটু সময় আছে।
live1	বাস করা	আমি শহরে বাস করি।
local	স্থানীয়	আমরা স্থানীয় বাজারে যাই।
long1	লম্বা; দীর্ঘ	রাস্তা দীর্ঘ।
look	দেখা; তাকানো	ছবিটির দিকে তাকাও।
lose	হারানো	আমি আমার কলম হারাই।
lot	অনেক	আমার অনেক কাজ আছে।
love	ভালোবাসা	আমি আমার পরিবারকে ভালোবাসি।
lunch	দুপুরের খাবার	দুপুরের খাবার প্রস্তুত।
