source_headword	ZH	example_ZH
oblige	迫使	规则强制驾驶员停车。
obsess	纠结	不要纠结于小错误。
obsession	痴迷	他的痴迷损害了他的工作。
occasional	偶尔的	预计会有偶尔的延误。
occurrence	发生	这种情况很罕见。
odds	几率	成功的几率提高了。
offering	课程	这所大学增加了提供的课程。
offspring	后代	狐狸保护它的幼崽。
operational	运营的	新系统已投入运行。
opt	选择	许多学生选择上网课。
optical	光学的	这个光学镜头需要清洗。
optimism	乐观	宣布消息后，乐观情绪恢复了。
oral	口头的	口语考试明天开始。
organizational	组织的	组织上的变革立即开始了。
orientation	培训	研讨会涵盖了新员工入职培训。
originate	起源于	许多传统起源于乡村。
outbreak	爆发	疫情在全市蔓延。
outing	郊游	全班同学很享受去博物馆的郊游。
outlet	折扣店	这家折扣店出售打折衣服。
outlook	前景	经济前景依然不明朗。
outrage	愤怒	这个决定引起了公众的愤怒。
outsider	局外人	作为一个局外人，她注意到了问题。
overlook	忽略	不要忽略微小的细节。
overly	过度地	说明书过于复杂。
oversee	监督	她将监督这个项目。
overturn	推翻	法院可能会推翻这项裁决。
overwhelm	使不知所措	太多的信息会使学习者不知所措。
overwhelming	压倒性的	证据是压倒性的。
pad	护垫	使用护垫来保护膝盖。
parameter	参数	每次调整一个参数。
parental	父母的	父母的支持提高了出勤率。
parish	教区	教区组织了一场慈善晚宴。
parliamentary	议会的	议会辩论持续了几个小时。
partial	部分的	报告给出了一部分的答案。
partially	部分地	窗户部分地开着。
passing	去世	她的去世很突然。
passive	被动的	被动的投资者接受了稳定的回报。
pastor	牧师	牧师拜访了这家人。
patch	补丁	这件夹克需要打个小补丁。
patent	专利	公司申请了专利。
pathway	途径	这条途径可以获得认证。
patrol	巡逻	警察在夜间巡逻该地区。
patron	赞助人	博物馆感谢了它的赞助人。
peak	顶峰	需求在冬季达到了高峰。
peasant	农民	这个农民拥有的土地很少。
peculiar	奇怪的	房间里有一种奇怪的气味。
persist	持续	症状可能会持续几天。
persistent	持续的	持续的咳嗽需要引起注意。
personnel	人事	人事记录是保密的。
petition	请愿书	请愿书收集了数千个签名。
philosopher	哲学家	哲学家质疑了普遍的假设。
philosophical	哲学的	讨论变得有哲学意味了。
physician	医生	医生开了验血单。
pioneer	先驱	她成为了医学界的先驱。
pipeline	管道	管道在地下输送天然气。
pirate	海盗	海盗船出现在近海。
pit	坑	工人们挖了一个深坑。
plea	恳求	他的求救被忽视了。
plead	认罪	嫌疑人将认罪。
pledge	承诺	他们承诺支持改革。
plug	插入	将电缆插入插座。
plunge	暴跌	丑闻发生后价格可能会暴跌。
pole	杆	旗子挂在旗杆上。
poll	民意调查	民意调查显示了观点的改变。
pond	池塘	鸭子穿过结冰的池塘。
pop	爆裂	气球在尖锐物体附近会爆裂。
portfolio	投资组合	她的投资组合包括几家初创公司。
portray	描绘	这部电影将描绘乡村生活。
postpone	推迟	他们决定推迟听证会。
post-war	战后的	战后急需住房。
practitioner	从业者	医生解释了治疗方法。
preach	布道	牧师将在星期天布道。
precedent	先例	这项裁决开创了一个重要的先例。
precision	精度	这台机器切割得很精确。
predator	捕食者	捕食者在河边等待。
predecessor	前任	她的前任留下了详细的笔记。
predominantly	主要地	该地区主要是住宅区。
pregnancy	怀孕	怀孕需要定期的医疗护理。
prejudice	偏见	这场运动挑战了种族偏见。
preliminary	初步的	初步结果看起来很有希望。
premier	总理	总理今天在议会发表了讲话。
premise	前提	这个论点基于一个错误的前提。
premium	额外费用	顾客为了速度支付了额外费用。
prescribe	开处方	医生小心地开抗生素。
prescription	处方	处方下个月过期。
presently	目前	她目前没空。
preservation	保护	保护工作能守护历史建筑。
preside	主持	法官将主持审判。
presidency	总统任期	他的总统任期长达八年。
presidential	总统的	总统选举引起了人们的关注。
prestigious	享有声望的	她获得了一项声望很高的奖学金。
presumably	大概	今天办公室大概关门了。
presume	假定	我们假定这些文件是真实的。
prevail	占上风	常识应该占上风。
prevalence	患病率	哮喘的患病率上升了。
prevention	预防	预防比维修更便宜。
