hsk_key	source_word	simplified	gloss	example_zh	example_pinyin	example_en
2216:打破	打破	打破	to break; shatter	他不小心打破了一个杯子。	Tā bù xiǎo xīn dǎ pò le yí ge bēi zi.	He accidentally broke a cup.
2218:大胆	大胆	大胆	bold; daring	她提出了一个大胆的想法。	Tā tí chū le yí ge dà dǎn de xiǎng fǎ.	She put forward a bold idea.
2219:大多	大多	大多	mostly; most	这里的学生大多来自本地。	Zhè lǐ de xué sheng dà duō lái zì běn dì.	Most of the students here come from the local area.
2220:大会	大会	大会	conference; general meeting	公司大会将在周五上午召开。	Gōng sī dà huì jiāng zài zhōu wǔ shàng wǔ zhào kāi.	The company conference will be held on Friday morning.
2221:大力	大力	大力	vigorously; strongly	学校大力支持学生参加比赛。	Xué xiào dà lì zhī chí xué sheng cān jiā bǐ sài.	The school strongly supports students taking part in the competition.
2222:大妈	大妈	大妈	auntie; older woman	楼下的大妈每天早上都去跳舞。	Lóu xià de dà mā měi tiān zǎo shang dōu qù tiào wǔ.	The auntie downstairs goes dancing every morning.
2223:大米	大米	大米	rice	家里的大米快吃完了。	Jiā lǐ de dà mǐ kuài chī wán le.	The rice at home is almost used up.
2224:大脑	大脑	大脑	brain	充足的睡眠对大脑很重要。	Chōng zú de shuì mián duì dà nǎo hěn zhòng yào.	Enough sleep is very important for the brain.
2225:大批	大批	大批	large number; large batch	大批游客涌进了景区。	Dà pī yóu kè yǒng jìn le jǐng qū.	A large number of tourists poured into the scenic area.
2227:大事	大事	大事	major event	搬家对他们家来说是件大事。	Bān jiā duì tā men jiā lái shuō shì jiàn dà shì.	Moving house is a major event for their family.
2230:大爷	大爷	大爷	elderly man; uncle	那位大爷每天在公园下棋。	Nà wèi dà ye měi tiān zài gōng yuán xià qí.	That elderly man plays chess in the park every day.
2231:大于	大于	大于	greater than	五大于三，这是很简单的比较。	Wǔ dà yú sān, zhè shì hěn jiǎn dān de bǐ jiào.	Five is greater than three; this is a simple comparison.
2232:大众	大众	大众	the public; masses	这部电影很受大众欢迎。	Zhè bù diàn yǐng hěn shòu dà zhòng huān yíng.	This film is very popular with the public.
2233:代	代	代	generation; era	年轻一代有自己的生活方式。	Nián qīng yí dài yǒu zì jǐ de shēng huó fāng shì.	The younger generation has its own way of life.
2235:带动	带动	带动	to drive; stimulate	旅游业带动了当地经济发展。	Lǚ yóu yè dài dòng le dāng dì jīng jì fā zhǎn.	Tourism has driven local economic development.
2238:单	单	单	list; bill; single	服务员把菜单递给了我们。	Fú wù yuán bǎ cài dān dì gěi le wǒ men.	The waiter handed us the menu.
2241:单一	单一	单一	single; unitary	这个产品的功能比较单一。	Zhè ge chǎn pǐn de gōng néng bǐ jiào dān yī.	This product has relatively simple functions.
2243:胆小	胆小	胆小	timid; easily frightened	他小时候很胆小，怕黑。	Tā xiǎo shí hou hěn dǎn xiǎo, pà hēi.	He was timid as a child and afraid of the dark.
2246:当年	当年	当年	that year; in those days	当年他们一起在农村工作。	Dāng nián tā men yì qǐ zài nóng cūn gōng zuò.	In those days, they worked together in the countryside.
2248:当中	当中	当中	among; in the middle	同学当中，他的成绩最好。	Tóng xué dāng zhōng, tā de chéng jì zuì hǎo.	Among the classmates, his grades are the best.
2251:当成	当成	当成	to regard as; treat as	她把这次失败当成一次学习机会。	Tā bǎ zhè cì shī bài dàng chéng yí cì xué xí jī huì.	She treated this failure as a learning opportunity.
2252:当作	当作	当作	to regard as; take as	我把他当作最好的朋友。	Wǒ bǎ tā dàng zuò zuì hǎo de péng you.	I regard him as my best friend.
2258:到期	到期	到期	to expire; become due	我的护照下个月到期。	Wǒ de hù zhào xià ge yuè dào qī.	My passport expires next month.
2259:登	登	登	to climb; publish; log in	他们一早出发去登山。	Tā men yì zǎo chū fā qù dēng shān.	They set off early to climb the mountain.
2260:灯光	灯光	灯光	lighting; light	舞台上的灯光非常漂亮。	Wǔ tái shang de dēng guāng fēi cháng piào liang.	The lighting on the stage is very beautiful.
2266:低头	低头	低头	to lower one's head	他低头看了一眼手机。	Tā dī tóu kàn le yì yǎn shǒu jī.	He lowered his head and glanced at his phone.
2271:地面	地面	地面	ground; floor surface	雨后地面很滑，走路要小心。	Yǔ hòu dì miàn hěn huá, zǒu lù yào xiǎo xīn.	After the rain, the ground is slippery, so walk carefully.
2274:地下	地下	地下	underground	这个城市有很大的地下停车场。	Zhè ge chéng shì yǒu hěn dà de dì xià tíng chē chǎng.	This city has a large underground parking lot.
2277:点赞	点赞	点赞	to like; give a thumbs-up	很多网友给这条视频点赞。	Hěn duō wǎng yǒu gěi zhè tiáo shì pín diǎn zàn.	Many netizens liked this video.
2279:电动	电动	电动	electric-powered	他买了一辆电动自行车。	Tā mǎi le yí liàng diàn dòng zì xíng chē.	He bought an electric bicycle.
2280:电器	电器	电器	electrical appliance	厨房里的电器都很新。	Chú fáng lǐ de diàn qì dōu hěn xīn.	The electrical appliances in the kitchen are all new.
2281:电商	电商	电商	e-commerce	电商平台改变了很多人的购物习惯。	Diàn shāng píng tái gǎi biàn le hěn duō rén de gòu wù xí guàn.	E-commerce platforms have changed many people's shopping habits.
2282:电视台	电视台	电视台	television station	她毕业后去了电视台工作。	Tā bì yè hòu qù le diàn shì tái gōng zuò.	After graduation, she went to work at a television station.
2283:电子版	电子版	电子版	electronic version	会议资料有电子版，也有纸质版。	Huì yì zī liào yǒu diàn zǐ bǎn, yě yǒu zhǐ zhì bǎn.	The meeting materials have an electronic version and a paper version.
2284:调1	调1	调	to transfer; move	他下个月会被调到上海分公司。	Tā xià ge yuè huì bèi diào dào Shàng hǎi fēn gōng sī.	He will be transferred to the Shanghai branch next month.
2285:调研	调研	调研	to research; survey	团队正在调研年轻人的消费习惯。	Tuán duì zhèng zài diào yán nián qīng rén de xiāo fèi xí guàn.	The team is researching young people's consumption habits.
2287:丢失	丢失	丢失	to lose	如果证件丢失，要尽快报警。	Rú guǒ zhèng jiàn diū shī, yào jǐn kuài bào jǐng.	If your ID is lost, report it to the police as soon as possible.
2290:动画	动画	动画	animation	孩子们喜欢看这部动画。	Hái zi men xǐ huan kàn zhè bù dòng huà.	The children like watching this animation.
2291:动人	动人	动人	moving; touching	她的故事非常动人。	Tā de gù shi fēi cháng dòng rén.	Her story is very moving.
2294:豆浆	豆浆	豆浆	soy milk	早餐我喝了一杯热豆浆。	Zǎo cān wǒ hē le yì bēi rè dòu jiāng.	For breakfast, I drank a cup of hot soy milk.
2297:读音	读音	读音	pronunciation	这个字有两个常见读音。	Zhè ge zì yǒu liǎng ge cháng jiàn dú yīn.	This character has two common pronunciations.
2298:独自	独自	独自	alone; by oneself	她独自完成了这项任务。	Tā dú zì wán chéng le zhè xiàng rèn wu.	She completed this task by herself.
2299:堵	堵	堵	to block; jam	早高峰时，这条路经常堵。	Zǎo gāo fēng shí, zhè tiáo lù jīng cháng dǔ.	During the morning rush hour, this road is often jammed.
2300:度	度	度	degree; measure word	今天气温只有十度。	Jīn tiān qì wēn zhǐ yǒu shí dù.	The temperature today is only ten degrees.
2301:短处	短处	短处	weakness; shortcoming	每个人都有自己的长处和短处。	Měi ge rén dōu yǒu zì jǐ de cháng chù hé duǎn chù.	Everyone has their own strengths and weaknesses.
2302:短期	短期	短期	short-term	短期计划要简单明确。	Duǎn qī jì huà yào jiǎn dān míng què.	A short-term plan should be simple and clear.
2312:躲	躲	躲	to hide; avoid	孩子躲在门后笑。	Hái zi duǒ zài mén hòu xiào.	The child hid behind the door and laughed.
2313:儿女	儿女	儿女	children; sons and daughters	老人希望儿女常回家看看。	Lǎo rén xī wàng ér nǚ cháng huí jiā kàn kan.	The elderly person hopes his children often come home to visit.
2314:二手	二手	二手	second-hand	这是一辆二手自行车。	Zhè shì yí liàng èr shǒu zì xíng chē.	This is a second-hand bicycle.
2315:二维码	二维码	二维码	QR code	请扫描桌上的二维码点餐。	Qǐng sǎo miáo zhuō shang de èr wéi mǎ diǎn cān.	Please scan the QR code on the table to order.
2321:发起	发起	发起	to initiate; launch	他们发起了一次环保活动。	Tā men fā qǐ le yí cì huán bǎo huó dòng.	They initiated an environmental protection campaign.
2323:发音	发音	发音	to pronounce; pronunciation	他的中文发音越来越清楚。	Tā de Zhōng wén fā yīn yuè lái yuè qīng chu.	His Chinese pronunciation is becoming clearer.
2324:罚	罚	罚	to punish; fine	司机因为超速被罚了二百元。	Sī jī yīn wèi chāo sù bèi fá le èr bǎi yuán.	The driver was fined two hundred yuan for speeding.
2328:番茄	番茄	番茄	tomato	我喜欢用番茄做汤。	Wǒ xǐ huan yòng fān qié zuò tāng.	I like using tomatoes to make soup.
2330:反	反	反	opposite; against	他反着方向走，当然找不到门。	Tā fǎn zhe fāng xiàng zǒu, dāng rán zhǎo bú dào mén.	He walked in the opposite direction, so of course he could not find the door.
2333:返回	返回	返回	to return	游客下午返回酒店休息。	Yóu kè xià wǔ fǎn huí jiǔ diàn xiū xi.	The tourists returned to the hotel in the afternoon to rest.
2340:防	防	防	to guard against; prevent	夏天要注意防晒。	Xià tiān yào zhù yì fáng shài.	In summer, pay attention to sun protection.
2341:房屋	房屋	房屋	house; building	暴雨后，一些房屋需要修理。	Bào yǔ hòu, yì xiē fáng wū xū yào xiū lǐ.	After the rainstorm, some houses needed repairs.
2345:飞行	飞行	飞行	to fly; flight	这次飞行大约需要两个小时。	Zhè cì fēi xíng dà yuē xū yào liǎng ge xiǎo shí.	This flight takes about two hours.
2346:飞行员	飞行员	飞行员	pilot	他的梦想是成为飞行员。	Tā de mèng xiǎng shì chéng wéi fēi xíng yuán.	His dream is to become a pilot.
2347:非洲	非洲	非洲	Africa	她正在研究非洲的野生动物。	Tā zhèng zài yán jiū Fēi zhōu de yě shēng dòng wù.	She is studying Africa's wild animals.
2351:分类	分类	分类	to classify; sort	图书馆把书按主题分类。	Tú shū guǎn bǎ shū àn zhǔ tí fēn lèi.	The library classifies books by topic.
2352:分离	分离	分离	to separate	机器可以把水和油分离。	Jī qì kě yǐ bǎ shuǐ hé yóu fēn lí.	The machine can separate water and oil.
2356:分享	分享	分享	to share	她愿意和朋友分享经验。	Tā yuàn yì hé péng you fēn xiǎng jīng yàn.	She is willing to share her experience with friends.
2358:丰富多彩	丰富多彩	丰富多彩	rich and colorful	大学生活丰富多彩。	Dà xué shēng huó fēng fù duō cǎi.	University life is rich and colorful.
2367:福	福	福	fortune; blessing	春节时，人们喜欢贴福字。	Chūn jié shí, rén men xǐ huan tiē fú zì.	During Spring Festival, people like to paste the character for fortune.
2371:付出	付出	付出	to pay; give; devote	成功需要长期付出努力。	Chéng gōng xū yào cháng qī fù chū nǔ lì.	Success requires long-term effort.
2374:富有	富有	富有	rich; full of	这篇文章富有感情。	Zhè piān wén zhāng fù yǒu gǎn qíng.	This article is full of emotion.
2379:改天	改天	改天	another day	今天太忙了，我们改天再见吧。	Jīn tiān tài máng le, wǒ men gǎi tiān zài jiàn ba.	Today is too busy; let's meet another day.
2384:敢于	敢于	敢于	to dare to	他敢于说出自己的意见。	Tā gǎn yú shuō chū zì jǐ de yì jiàn.	He dares to express his own opinion.
2385:刚好	刚好	刚好	just right; exactly	我到车站时，车刚好来了。	Wǒ dào chē zhàn shí, chē gāng hǎo lái le.	When I arrived at the station, the bus arrived just then.
2386:高大	高大	高大	tall and big	门口有两棵高大的树。	Mén kǒu yǒu liǎng kē gāo dà de shù.	There are two tall trees at the entrance.
2388:高度	高度	高度	height; high degree	这座楼的高度超过一百米。	Zhè zuò lóu de gāo dù chāo guò yì bǎi mǐ.	The height of this building exceeds one hundred meters.
2390:高科技	高科技	高科技	high technology	高科技产品让生活更方便。	Gāo kē jì chǎn pǐn ràng shēng huó gèng fāng biàn.	High-tech products make life more convenient.
2391:高效	高效	高效	efficient	这种方法简单又高效。	Zhè zhǒng fāng fǎ jiǎn dān yòu gāo xiào.	This method is simple and efficient.
2394:歌词	歌词	歌词	lyrics	我很喜欢这首歌的歌词。	Wǒ hěn xǐ huan zhè shǒu gē de gē cí.	I really like the lyrics of this song.
2395:歌曲	歌曲	歌曲	song	这首歌曲在网上很受欢迎。	Zhè shǒu gē qǔ zài wǎng shàng hěn shòu huān yíng.	This song is very popular online.
2396:隔	隔	隔	to separate; be apart	我家和学校隔着一条河。	Wǒ jiā hé xué xiào gé zhe yì tiáo hé.	My home and the school are separated by a river.
2399:各行各业	各行各业	各行各业	all trades and professions	各行各业都需要认真负责的人。	Gè háng gè yè dōu xū yào rèn zhēn fù zé de rén.	All trades and professions need responsible people.
2405:更换	更换	更换	to replace; change	空调滤网需要定期更换。	Kōng tiáo lǜ wǎng xū yào dìng qī gēng huàn.	The air conditioner filter needs to be replaced regularly.
2408:工程	工程	工程	project; engineering	这项工程计划明年完工。	Zhè xiàng gōng chéng jì huà míng nián wán gōng.	This project is planned to be completed next year.
2413:公务员	公务员	公务员	civil servant	他毕业后考上了公务员。	Tā bì yè hòu kǎo shàng le gōng wù yuán.	After graduation, he passed the civil service exam.
2416:工艺	工艺	工艺	craft; technique	这种传统工艺已经传了很多年。	Zhè zhǒng chuán tǒng gōng yì yǐ jīng chuán le hěn duō nián.	This traditional craft has been passed down for many years.
2419:共享	共享	共享	to share jointly	这座城市有很多共享单车。	Zhè zuò chéng shì yǒu hěn duō gòng xiǎng dān chē.	This city has many shared bicycles.
2422:古	古	古	ancient; old	这座桥保留了古时的样子。	Zhè zuò qiáo bǎo liú le gǔ shí de yàng zi.	This bridge keeps the appearance it had in ancient times.
2423:鼓	鼓	鼓	drum	孩子们听见鼓声就跑了过来。	Hái zi men tīng jiàn gǔ shēng jiù pǎo le guò lái.	The children ran over when they heard the sound of the drum.
2425:古老	古老	古老	ancient; old	这座古老的城市吸引了很多游客。	Zhè zuò gǔ lǎo de chéng shì xī yǐn le hěn duō yóu kè.	This ancient city attracts many tourists.
2430:怪	怪	怪	strange; to blame	今天的天气有点儿怪。	Jīn tiān de tiān qì yǒu diǎnr guài.	The weather today is a little strange.
2438:光线	光线	光线	light; lighting	房间光线太暗，不适合看书。	Fáng jiān guāng xiàn tài àn, bù shì hé kàn shū.	The room's lighting is too dim for reading.
2439:广	广	广	broad; wide	他的兴趣很广。	Tā de xìng qù hěn guǎng.	His interests are broad.
2446:贵姓	贵姓	贵姓	your honorable surname	请问您贵姓？	Qǐng wèn nín guì xìng?	May I ask your surname?
2447:柜子	柜子	柜子	cabinet; cupboard	文件都放在柜子里。	Wén jiàn dōu fàng zài guì zi lǐ.	The documents are all in the cabinet.
2450:国画	国画	国画	traditional Chinese painting	爷爷喜欢画国画。	Yé ye xǐ huan huà guó huà.	Grandpa likes painting traditional Chinese paintings.
2451:国庆	国庆	国庆	National Day	国庆假期我们去了杭州。	Guó qìng jià qī wǒ men qù le Háng zhōu.	During the National Day holiday, we went to Hangzhou.
2461:海外	海外	海外	overseas	这家公司在海外有很多客户。	Zhè jiā gōng sī zài hǎi wài yǒu hěn duō kè hù.	This company has many overseas clients.
2463:含	含	含	to contain; hold in the mouth	这瓶饮料含糖量很高。	Zhè píng yǐn liào hán táng liàng hěn gāo.	This drink contains a lot of sugar.
2464:含量	含量	含量	content; amount contained	这种水果的维生素含量很高。	Zhè zhǒng shuǐ guǒ de wéi shēng sù hán liàng hěn gāo.	This fruit has a high vitamin content.
2465:含有	含有	含有	to contain	牛奶含有丰富的营养。	Niú nǎi hán yǒu fēng fù de yíng yǎng.	Milk contains rich nutrients.
2466:汗水	汗水	汗水	sweat	运动员的汗水湿透了衣服。	Yùn dòng yuán de hàn shuǐ shī tòu le yī fu.	The athlete's sweat soaked his clothes.
2467:行	行	行	line of work; profession	他在餐饮这一行工作了十年。	Tā zài cān yǐn zhè yì háng gōng zuò le shí nián.	He has worked in the food service line for ten years.
2469:好评	好评	好评	positive review	这家餐厅得到了很多好评。	Zhè jiā cān tīng dé dào le hěn duō hǎo píng.	This restaurant has received many positive reviews.
