source_headword	FI	example_FI
society	yhteiskunta	Yhteiskunta muuttuu ajan myötä.
sock	sukka	Yksi sukka puuttuu.
soft	pehmeä	Tämä peitto on pehmeä.
soldier	sotilas	Sotilas tuli kotiin.
solution	ratkaisu	Löysimme ratkaisun.
solve	ratkaista	Ratkaise tämä palapeli.
somewhere	jossakin; jonnekin	Laita se jonnekin turvalliseen paikkaan.
sort	tyyppi; laji	Minkä tyypin haluat?
source	lähde	Tarkista lähde ensin.
speaker	puhuja; kaiutin	Puhuja oli äänekäs.
specific	tietty	Tarvitsen tietyn vastauksen.
speech	puhe	Hänen puheensa oli lyhyt.
speed	nopeus	Vähennä nopeutta tässä.
spider	hämähäkki	Hämähäkki on seinällä.
spoon	lusikka	Käytä lusikkaa keittoon.
square	neliömäinen	Piirrä neliömäinen laatikko.
stage	lava; vaihe	Bändi on lavalla.
stair	porras	Porras on rikki.
stamp	postimerkki	Laita postimerkki kirjeeseen.
state	ilmoittaa	Ilmoita nimesi selvästi.
steal	varastaa	Älä varasta rahaa.
step	askel	Ota yksi askel eteenpäin.
stomach	vatsa	Vatsaani sattuu.
stone	kivi	Kivi on raskas.
store	kauppa	Kauppa sulkeutuu aikaisin.
storm	myrsky	Myrsky on tulossa.
straight	suoraan	Mene suoraan kotiin.
strange	outo	Tuo ääni on outo.
strategy	strategia	Tarvitsemme strategian.
stress	stressi	Työ voi aiheuttaa stressiä.
structure	rakenne	Tämä rakenne on vahva.
stupid	tyhmä	Se oli tyhmä virhe.
succeed	onnistua	Voit onnistua täällä.
successful	menestyvä	Hänestä tuli menestyvä.
such	sellainen	Sellainen apu on hyödyllistä.
suddenly	yhtäkkiä	Yhtäkkiä koira juoksi pois.
suggest	ehdottaa	Ehdotan lyhyttä taukoa.
suggestion	ehdotus	Ehdotuksesi on hyödyllinen.
suit	puku	Tämä puku on kallis.
support	tukea; tuki	Tuemme joukkuettamme.
suppose	olettaa	Oletan, että olet oikeassa.
surprise	yllätys	Yllätys teki hänet iloiseksi.
surprised	yllättynyt	Hän oli yllättynyt tänään.
surprising	yllättävä	Tulos oli yllättävä.
survey	kysely	Täytä kysely.
sweet	makea	Tämä tee on makeaa.
symbol	symboli; merkki	Tämä symboli tarkoittaa vaaraa.
system	järjestelmä	Järjestelmä toimii hyvin.
tablet	tabletti	Tablettini on työpöydällä.
target	kohde; maali	Osu kohteeseen varovasti.
task	tehtävä	Tämä tehtävä on helppo.
taste	maku; maistaa	Maista keittoa ensin.
teaching	opetus; opettaminen	Opettaminen on vaikeaa työtä.
technology	teknologia	Teknologia muuttuu nopeasti.
teenage	teini-ikäinen	Teini-ikäinen veljeni opiskelee ahkerasti.
temperature	lämpötila	Lämpötila on alhainen.
term	lukukausi; termi	Tämä lukukausi päättyy pian.
themselves	itse; itseään	He valmistivat illallisen itse.
thick	paksu	Tämä kirja on paksu.
thief	varas	Varas juoksi pois.
thin	ohut	Paperi on ohutta.
thinking	ajattelu	Ajattelu vie aikaa.
thought	ajatus	Minulla oli outo ajatus.
throw	heittää	Heitä pallo varovasti.
tidy	siisti	Pidä huoneesi siistinä.
tie	sitoa	Sido kenkäsi nyt.
tip	vinkki; juomaraha	Jätä juomaraha palvelusta.
tool	työkalu	Käytä oikeaa työkalua.
top	yläosa; huippu	Ylin hylly on täynnä.
touch	koskea	Älä koske lasiin.
tour	kierros	Teimme kaupunkikierroksen.
tourism	matkailu	Matkailu auttaa tätä kaupunkia.
towards	kohti	Kävele kohti asemaa.
towel	pyyhe	Ota puhdas pyyhe mukaan.
tower	torni	Torni on hyvin vanha.
toy	lelu	Leluauto on punainen.
track	rata; jälki	Rata kulkee pohjoiseen.
tradition	perinne	Tämä perinne on vanha.
traditional	perinteinen	Hän käytti perinteisiä vaatteita.
trainer	valmentaja	Valmentajani on avulias.
training	harjoittelu	Harjoittelu alkaa huomenna.
transport	liikenne; kuljetus	Julkinen liikenne on myöhässä.
traveller	matkaaja; matkustaja	Matkustaja pyysi apua.
trouble	vaikeus; ongelma	Meillä oli vaikeuksia eilen.
truck	kuorma-auto	Kuorma-auto on ulkona.
twin	kaksonen	Kaksoissisareni on pidempi.
typical	tyypillinen	Tämä on tyypillinen päivä.
underground	maanalainen	Juna kulkee maan alla.
understanding	ymmärrys	Ymmärryksesi on oikea.
unfortunately	valitettavasti	Valitettavasti kauppa on kiinni.
unhappy	onneton	Hän näyttää onnettomalta.
uniform	univormu	Hän käyttää koulupukua.
unit	yksikkö	Tämä yksikkö on pieni.
united	yhtenäinen	Joukkue pysyi yhtenäisenä.
unusual	epätavallinen	Tuo ääni on epätavallinen.
used to modal	oli tapana	Meillä oli tapana asua täällä.
user	käyttäjä	Jokaisella käyttäjällä on numero.
usual	tavallinen	Otin tavallisen paikkani.
valley	laakso	Laakso on vihreä.
van	pakettiauto	Pakettiauto on täynnä.
variety	vaihtelu; valikoima	Tarvitsemme enemmän vaihtelua.
vehicle	ajoneuvo	Tämä ajoneuvo on hidas.
view	näkymä	Näkymä on kaunis.
virus	virus	Virus teki hänet sairaaksi.
voice	ääni	Hänen äänensä on hiljainen.
war	sota	Sota päättyi vuosia sitten.
washing	pyykki	Pyykki on ulkona.
wave	aalto	Aalto osui veneeseen.
weak	heikko	Jalkani tuntuvat heikoilta.
web	verkko	Verkkosivu on auki.
wedding	häät	Häät alkavat pian.
weight	paino	Tarkista paino ensin.
wet	märkä	Kenkäni ovat märät.
wheel	pyörä; rengas	Pyörä on rikki.
while	hetki	Odota tässä hetki.
whole	kokonainen	Söin koko omenan.
whose	kenen	Kenen puhelin tämä on?
wide	leveä	Tie on leveä.
wild	villi	Villit eläimet elävät täällä.
wind1	tuuli	Tuuli on voimakas.
winner	voittaja	Voittaja hymyili.
wish	toive; toivoa	Toivo jotain.
wood	puu	Tuoli on tehty puusta.
wooden	puinen	Puinen laatikko on raskas.
working	työskentelevä; työ-	Työpäivä päättyi.
worried	huolestunut	Olen huolestunut tänään.
worry	murehtia	Älä murehdi nyt.
worse	pahempi	Tämä kipu on pahempi.
worst	pahin	Se oli pahin päivä.
wow	vau	Vau, se on hämmästyttävää!
yet	vielä	Olemmeko jo perillä?
yours	sinun	Tämä kirja on sinun.
zero	nolla	Laske nollaan.
