simplified	ES-419	example_ES-419
鼓励	animar; alentar	Los padres deben animar más a sus hijos.
故意	a propósito; deliberadamente	Perdón, no lo hice a propósito.
顾客	el cliente; la clienta	Los clientes disminuyeron en un tercio.
挂	colgar; colgar el teléfono	Por favor, no cuelgues.
关键	la clave; el punto crucial	Esa no es la clave del problema.
观众	el público; los espectadores	Hola, amigos que están frente al televisor.
管理	administrar; gestionar	¿Quién administra esta casa ahora?
光	la luz; el brillo	La luz del sol es muy fuerte hoy.
广播	la radio; la emisión	El abuelo está escuchando la radio.
广告	el anuncio; la publicidad	Vi su anuncio en el periódico.
逛	pasear; recorrer tiendas	Vayamos a pasear por el centro comercial este fin de semana.
规定	la regla; estipular	La escuela tiene sus propias reglas.
国籍	la nacionalidad	Por favor, escribe tu nacionalidad en el formulario.
国际	internacional	Esta es una reunión internacional.
果汁	el jugo de fruta	Me gustaría beber un vaso de jugo.
过程	el proceso	El proceso de aprendizaje es importante.
海洋	el océano	La mayor parte de la superficie de la Tierra es océano.
害羞	tímido; avergonzarse	La primera vez que subió al escenario estaba un poco tímida.
寒假	las vacaciones de invierno	Quiero viajar al sur durante las vacaciones de invierno.
汗	el sudor	Hace calor; límpiate el sudor con una toalla.
航班	el vuelo	Bienvenido a este vuelo.
好处	el beneficio; la ventaja	Leer más tiene muchos beneficios.
好像	parecer; como si	Parece que hay un malentendido entre nosotros.
号码	el número	Por favor, dame tu número de teléfono.
合格	aprobado; que cumple el estándar	Este producto cumple el estándar de calidad.
合适	adecuado; apropiado	Este par de zapatos me queda bien.
盒子	la caja	La caja está vacía, no hay nada dentro.
厚	grueso	Este libro es grueso.
后悔	arrepentirse	Me arrepiento de no habértelo dicho antes.
互联网	el internet	Internet ha traído mucha comodidad a la vida de la gente.
互相	mutuamente; el uno al otro	Los dos debemos apoyarnos mutuamente.
护士	el enfermero; la enfermera	La enfermera le está poniendo una inyección al paciente.
怀疑	sospechar; dudar	Sospecho que olvidó la reunión de hoy.
回忆	recordar; el recuerdo	A menudo recordamos cosas de la infancia.
活动	la actividad; moverse	Fui al parque a moverme un rato.
活泼	vivo; animado	Este niño es muy vivaz.
火	el fuego	El fuego es peligroso, ten cuidado.
获得	obtener; recibir	No puedes sentirte demasiado orgulloso por el éxito.
基础	la base; el fundamento	Por favor, haz un cambio sobre la base original.
激动	emocionado; emocionante	Esta noticia es realmente emocionante.
积极	activo; positivo	Él estudia chino de forma activa.
积累	acumular; la acumulación	Ha acumulado mucha experiencia en el trabajo.
即使	incluso si; aunque	No te rindas aunque encuentres dificultades.
及时	a tiempo; oportuno	La lluvia llegó justo a tiempo.
寄	enviar por correo	Tu carta ha llegado.
技术	la tecnología; la técnica	Este es un problema técnico complejo.
既然	ya que; puesto que	Ya que estás aquí, comamos juntos.
继续	continuar; seguir	Él expresó su deseo de seguir trabajando en la empresa.
计划	el plan; planear	Cambié mi plan.
记者	el periodista; la periodista	El periodista está entrevistando al director de la escuela.
加班	trabajar horas extra	Esta semana trabajamos horas extra casi todos los días.
加油站	la estación de servicio	¿Hay una estación de servicio cerca de tu casa?
家具	los muebles	Cambiamos los muebles después de mudarnos.
假	falso; artificial	Este boleto es falso.
价格	el precio	Desde el año pasado, el precio de los autos ha ido bajando.
坚持	insistir; mantenerse firme	Él siempre ha insistido en su opinión.
减肥	adelgazar; perder peso	Corro todos los días para adelgazar.
减少	reducir; disminuir	Los clientes disminuyeron en un tercio.
建议	sugerir; la sugerencia	Sugiero tomar un día libre mañana.
将来	el futuro; en el futuro	¿Qué trabajo piensas hacer en el futuro?
奖金	el bono; el premio en dinero	A fin de año nos pagaron un bono.
降低	reducir; bajar	Ha llegado el otoño y la temperatura empieza a bajar.
降落	aterrizar	El avión aterrizará pronto.
交	entregar; pagar; hacer amistad	He hecho muchos amigos chinos.
交流	intercambiar; el intercambio	Los intercambios culturales entre países son cada vez más ricos.
交通	el transporte; el tráfico	El transporte aquí es conveniente.
郊区	el suburbio; las afueras	Él vive en las afueras de la ciudad.
骄傲	orgulloso; arrogante	No puedes estar demasiado orgulloso del éxito.
饺子	los jiaozi; las empanadillas chinas	Los chinos comen jiaozi durante la Fiesta de la Primavera.
教授	el profesor; la profesora	Él es profesor universitario.
教育	educar; la educación	Hay que educar a los niños para que sean pacientes.
接受	aceptar	Acepto todas tus opiniones.
接着	luego; continuar	Él pensó un momento y luego escribió.
结果	el resultado	¿Viste el partido? ¿Cuál fue el resultado?
节	el festival; la fiesta	¿Qué fiesta es hoy?
节约	ahorrar; economizar	Por favor, ahorra agua.
解释	explicar; la explicación	Él explicó la razón con mucha claridad.
尽管	aunque; a pesar de	Aunque lo conozco desde hace mucho tiempo, no lo entiendo.
紧张	nervioso; tenso	Estaba nervioso por la primera actuación.
禁止	prohibir	Aquí está prohibido fumar.
进行	llevar a cabo; estar en curso	El partido todavía está en curso.
京剧	la ópera de Pekín	Ella es una actriz famosa de ópera de Pekín.
精彩	maravilloso; brillante	¡La actuación de hoy fue maravillosa!
经济	la economía; económico	La economía se ha desarrollado rápidamente en los últimos años.
经历	la experiencia; experimentar	Ella escribió un artículo sobre su experiencia de viaje.
经验	la experiencia	Él es un profesor con experiencia.
景色	el paisaje	Al atardecer, el paisaje junto al mar es hermoso.
警察	la policía; el policía	La policía está investigando.
竞争	competir; la competencia	Él tiene mucha confianza en sí mismo y le gusta competir con otros.
竟然	inesperadamente; sorprendentemente	Nunca pensé que él fuera una persona así.
镜子	el espejo	Perdón, rompí el espejo.
究竟	al fin y al cabo; exactamente	¿Por qué estás llorando?
举	levantar; alzar; citar	Por favor, levanta la mano para responder a la pregunta.
举办	organizar; celebrar	Este evento lo organizamos nosotros.
举行	celebrar; realizar	La reunión se celebrará a las dos.
拒绝	rechazar; negarse	Él rechazó la invitación de todos.
聚会	la reunión; la fiesta	Mañana hay una fiesta. ¿Quieres asistir?
距离	la distancia; estar lejos	Mi casa está lejos de la empresa.
开玩笑	bromear	¿Estás bromeando?
开心	feliz; contento	Mi hermana mayor sonrió feliz.
看法	la opinión; el punto de vista	Él siempre ha insistido en su opinión.
烤鸭	el pato asado	El pato laqueado de Pekín es famoso.
考虑	considerar; pensar detenidamente	Voy a considerar seriamente este asunto.
棵	clasificador para árboles y plantas	El árbol es alto y grande.
科学	la ciencia; científico	En la escuela aprendió muchos conocimientos científicos.
咳嗽	toser; la tos	Está resfriado y tiene mucha tos.
可怜	pobre; digno de lástima	Este niño no encuentra su casa, qué lástima.
可是	pero; sin embargo	Aunque tengo muchas ganas de ir, de verdad no tengo tiempo.
可惜	es una pena; qué lástima	Es una pena que no puedas venir a nuestra fiesta.
客厅	la sala de estar; el salón	Papá está viendo la televisión en la sala de estar.
肯定	seguro; definitivamente	Definitivamente volveré antes de las cinco.
空	vacío; libre	Esta habitación está vacía.
空气	el aire	El aire del parque es muy fresco.
恐怕	me temo que; probablemente	Me temo que va a llover. ¿Trajiste paraguas?
苦	amargo; duro	Esta taza de café es muy amarga.
矿泉水	el agua mineral	Compré dos botellas de agua mineral.
困	somnoliento; cansado	Tengo sueño y quiero acostarme.
困难	la dificultad; difícil	Esta tarea es muy difícil para mí.
垃圾桶	el basurero; la papelera	En la calle hay muchos basureros.
拉	tirar; tomar de la mano	La madre tomó la mano de su hija.
辣	picante	No estoy acostumbrado a comer platos demasiado picantes.
来不及	no alcanzar el tiempo; ser demasiado tarde	Me levanté tarde esta mañana y ya no tuve tiempo de desayunar.
来得及	hay tiempo; alcanzar el tiempo	La película no empieza hasta las nueve y media, así que todavía hay tiempo.
来自	venir de; ser de	Soy de la provincia de Shandong.
懒	perezoso	Mi gato es muy perezoso y duerme toda la tarde.
浪费	desperdiciar; malgastar	Esto es simplemente una pérdida de tiempo.
浪漫	romántico	Este libro cuenta una historia de amor romántica.
老虎	el tigre	Cada vez que vamos al zoológico, lo que más le gusta ver a mi hijo es el tigre.
冷静	tranquilo; calmarse	No te emociones, por favor cálmate.
理发	cortarse el pelo; el corte de pelo	¿Cuándo vas a cortarte el pelo?
理解	entender; la comprensión	¿Puedes entender esta pregunta?
理想	el ideal; el sueño	¿Cuál es tu profesión ideal?
礼拜天	el domingo	¿Estás libre este domingo?
礼貌	la cortesía; los modales	Este niño es muy educado.
例如	por ejemplo	Me gustan los deportes, por ejemplo correr y nadar.
力气	la fuerza	Después de caminar tanto, estaba tan cansado que no me quedaban fuerzas.
厉害	grave; fuerte; formidable	Estaba muy enfermo y fue hospitalizado.
俩	dos; los dos	Los dos somos buenos amigos.
联系	el contacto; ponerse en contacto	¿Sigues en contacto con tus compañeros de universidad?
连	incluso; unir	¿Por qué incluso te olvidaste de mí?
凉快	fresco; agradablemente fresco	En otoño el clima es muy fresco.
零钱	el cambio; las monedas	¿Puede cambiarme algo de dinero en monedas?
另外	otro; además	Quiero hablar contigo de otro asunto.
流利	fluido	Hablas chino con fluidez.
流行	popular; estar de moda	A muchos jóvenes les gusta la música popular.
留	quedarse; dejar	Por favor, deja tu número de teléfono.
旅行	viajar; el viaje	Planeamos viajar a Yunnan en verano.
乱	desordenado; caótico	El cachorro desordenó la habitación.
律师	el abogado; la abogada	Mi madre es abogada.
麻烦	molesto; problemático; molestar	¿Podrías ayudarme a traer una taza?
马虎	descuidado; negligente	Un pequeño descuido puede causar errores.
满	lleno; repleto	El vaso está lleno.
毛	el pelo; el pelaje	El pelaje de este gato es blanco.
毛巾	la toalla	Hace calor; límpiate el sudor con una toalla.
美丽	hermoso; bello	Ella es realmente una chica hermosa.
梦	el sueño	¡Este sueño es realmente interesante!
迷路	perderse	Se perdió en el bosque.
密码	la contraseña; el código	Olvidé la contraseña de mi tarjeta de crédito.
免费	gratis; gratuito	En este restaurante, las bebidas son gratis.
秒	el segundo	Por favor, espérame diez segundos.
民族	la nacionalidad; el grupo étnico	China es un país multiétnico.
母亲	la madre	Permítanme presentarles: esta es mi madre.
目的	el propósito; la finalidad	No entiendo con qué propósito hace esto.
耐心	paciente; la paciencia	Hay que educar a los niños para que sean pacientes.
难道	acaso; ¿no será que...?	¿Acaso estos platos no están ricos?
难受	sentirse mal; difícil de soportar	Estoy resfriado y me siento mal.
内	dentro; interno	Por favor, completa la tarea dentro de tres días.
内容	el contenido	El contenido de este artículo es muy interesante.
能力	la capacidad; la habilidad	Su capacidad de trabajo es fuerte.
年龄	la edad	Es descortés preguntar la edad de alguien sin motivo.
弄	hacer; manejar; arreglar	El cachorro desordenó la habitación.
暖和	cálido; templado	Ha llegado la primavera y el tiempo se está volviendo más cálido.
偶尔	ocasionalmente; de vez en cuando	La veo ocasionalmente en la escuela.
排队	formar cola; hacer fila	La gente que compra boletos está formando cola.
排列	ordenar; colocar	Por favor, ordena estas cajas de mayor a menor.
判断	juzgar; el juicio	Tu juicio es completamente correcto.
陪	acompañar	Cuando estoy triste, siempre estás a mi lado.
批评	criticar; la crítica	Los profesores rara vez me critican.
皮肤	la piel	Mamá presta mucha atención a proteger la piel.
脾气	el carácter; el temperamento	Tiene buen carácter y nunca se enoja.
篇	el artículo; clasificador para textos	He leído este artículo muchas veces.
骗	engañar	No te mentí, él realmente vino.
乒乓球	el tenis de mesa; el ping-pong	¿Quién quiere participar en un partido de tenis de mesa?
平时	normalmente; en tiempos normales	Ella rara vez hace ejercicio.
破	roto; dañado	Perdón, rompí el espejo.
葡萄	la uva	Las uvas cuestan cinco yuanes por medio kilo.
普遍	común; general	Este problema es común.
普通话	el mandarín; el putonghua	Hablas mandarín muy bien.
其次	en segundo lugar; después	La seguridad va primero y la velocidad en segundo lugar.
其中	entre ellos; de los cuales	En nuestra clase hay veinte estudiantes, de los cuales cinco vienen del extranjero.
气候	el clima	¿Puedes adaptarte al clima del norte?
千万	de ninguna manera; diez millones	De ninguna manera olvides la reunión de mañana.
签证	la visa; el visado	Mañana voy a la embajada a solicitar una visa.
敲	tocar; golpear	Alguien toca la puerta, ve a ver quién viene.
桥	el puente	Hay un puente pequeño sobre el río.
巧克力	el chocolate	Lo que más me gusta es el chocolate.
亲戚	el pariente; la pariente	La mayoría de mis parientes viven en Pekín.
轻	ligero; fácil	Esta caja es ligera.
轻松	fácil; relajado	Este trabajo no es fácil para él.
情况	la situación; las circunstancias	La situación ha cambiado mucho.
穷	pobre	Aunque el anciano es muy pobre, vive felizmente.
区别	la diferencia; distinguir	¿Hay alguna diferencia entre estos dos materiales?
取	tomar; retirar; elegir	Voy al banco a retirar dinero.
全部	todo; completo	La música lo es todo para mí.
缺点	el defecto; el punto débil	Uno no debe comparar sus defectos con las ventajas de otros.
缺少	faltar; la falta	Mira qué falta todavía; lo compraré ahora.
却	pero; sin embargo	Tengo mucho que decir, pero cuando me pongo nervioso no puedo hablar.
确实	realmente; de verdad	Este método realmente es bueno.
然而	sin embargo	He pasado mucho tiempo leyendo este libro, pero todavía no lo he terminado.
热闹	animado; bullicioso	La calle está muy animada.
任何	cualquier; cualquiera	Mamá me conoce mejor que nadie.
任务	la tarea; la misión	El ochenta por ciento de la tarea está terminado.
扔	tirar; arrojar	Por favor, tira la basura en el basurero.
仍然	todavía; aún	Hoy todavía hace buen tiempo.
日记	el diario	La hija ha desarrollado el hábito de escribir un diario todos los días.
入口	la entrada	Te estoy esperando en la entrada del edificio.
散步	pasear; dar un paseo	El cachorro me siguió todo el tiempo cuando estaba paseando.
森林	el bosque	Este bosque es muy grande.
沙发	el sofá	Por favor, siéntate un rato en el sofá, y te serviré una taza de té.
伤心	triste; entristecerse	Después de oír la noticia, me puse muy triste.
商量	discutir; consultar	Llegaste justo a tiempo, hablemos de esto.
稍微	un poco; ligeramente	Un pequeño descuido puede causar errores.
勺子	la cuchara; el cucharón	Perdón, se me cayó la cuchara al suelo.
社会	la sociedad	Todos están muy preocupados por estos problemas sociales.
深	profundo; tarde	Entre nosotros hay una amistad profunda.
申请	solicitar; la solicitud	Solicité una tarjeta de crédito en el banco.
甚至	incluso	Todos se divirtieron mucho e incluso olvidaron la hora.
生活	la vida; vivir	Siempre hay algunos problemas en la vida.
生命	la vida	Él consideraba el arte más importante que su propia vida.
生意	el negocio	Su negocio se está haciendo cada vez más grande.
省	la provincia	Soy de la provincia de Shandong.
剩	quedar; sobrar	Solo quedan dos manzanas.
失败	el fracaso; fracasar	Aunque he vivido muchos fracasos, nunca me rindo.
失望	decepcionado; decepcionarse	Estoy muy decepcionado de él.
师傅	el maestro; el técnico	Disculpe, ¿cómo llego al cine?
十分	muy; sumamente	Ella hace las cosas con mucho cuidado.
实际	real; práctico	Usó un ejemplo práctico para explicar este problema.
实在	realmente; de verdad	Estoy muy cansado.
使	hacer que; causar	Sus palabras me conmovieron mucho.
使用	usar; utilizar	Los chinos generalmente usan palillos para comer.
世纪	el siglo	Ahora estamos en el siglo veintiuno.
是否	si; si acaso	No estoy seguro de si él podrá venir.
适合	ser adecuado; quedar bien	No me queda muy bien la ropa verde.
适应	adaptarse	¿Puedes adaptarte al clima del norte?
收	recibir; recoger	Recibí tu carta.
收入	el ingreso; los ingresos	Sus ingresos son más altos que antes.
收拾	ordenar; recoger; empacar	Estoy empacando.
首都	la capital	La capital de China es Pekín.
首先	primero; ante todo	Primero debes descansar para poder trabajar bien.
受不了	no soportar; insoportable	El tiempo está demasiado caluroso; no lo soporto.
受到	recibir; sufrir	Su novela fue bien recibida por los lectores.
售货员	el vendedor; la vendedora	Trabajo como vendedor en un centro comercial.
输	perder; transportar	Perdimos este partido.
熟悉	conocer bien; estar familiarizado	Los conozco muy bien.
数量	la cantidad	La cantidad de personas inscritas es grande.
数字	el número; la cifra	Por favor, escribe los números claramente.
帅	guapo; elegante	Hoy está vestido con mucho estilo.
顺便	de paso; ya que estoy	De camino a casa desde el trabajo, compré verduras.
顺利	sin problemas; sin contratiempos	El partido transcurrió sin problemas.
顺序	el orden; la secuencia	Por favor, no alteres el orden.
说明	explicar; la explicación	Él explicó a todos la razón de esto.
硕士	la maestría; el máster	Estoy estudiando una maestría en la universidad.
死	morir; muerto	El árbol está muerto.
塑料袋	la bolsa de plástico	Para proteger el medio ambiente, por favor no uses bolsas de plástico.
速度	la velocidad	¡Corre muy rápido!
酸	ácido; agrio	Las uvas que compraste están un poco ácidas.
随便	como quieras; libremente	Por favor, siéntense donde quieran.
随着	con; a medida que	Con el desarrollo de la economía, la vida de la gente ha mejorado mucho.
孙子	el nieto	Al abuelo le gusta mucho su nieto.
所有	todo; todos	Todos pensaban que él estaba equivocado.
台	clasificador para aparatos; la plataforma	Esta computadora es nueva.
抬	levantar; cargar entre varios	Ellos llevaron el escritorio al aula.
态度	la actitud	La actitud del mesero hacia los clientes es muy buena.
弹钢琴	tocar el piano	Empecé a aprender a tocar el piano cuando tenía cuatro años.
谈	hablar; conversar; discutir	Quiero hablar contigo de otro asunto.
汤	la sopa	La sopa no está salada; añadamos un poco más de sal.
糖	el azúcar; el caramelo	Quiero comer un caramelo.
躺	acostarse; estar tumbado	Ella se quedó dormida en la cama.
趟	el viaje; clasificador para trayectos	Fui a Pekín el mes pasado.
讨论	discutir; debatir	Hagamos una reunión para discutirlo.
讨厌	odiar; molesto	Este clima es realmente molesto.
特点	la característica; el rasgo	La característica de este restaurante es que la comida es fresca.
提	llevar; levantar; mencionar	Por favor, levanta esta bolsa.
提供	proporcionar; ofrecer	La biblioteca ofrece a todos un ambiente tranquilo para leer.
提前	adelantar; antes de tiempo	Terminamos la tarea antes de lo previsto.
提醒	recordar; advertir	Se lo recordé, pero aun así lo olvidó.
填空	rellenar el espacio en blanco	Esta es una pregunta de rellenar el espacio en blanco.
条件	la condición; el criterio	Ella cumple muy bien nuestros criterios de contratación.
停	detenerse; parar; estacionar	El auto se detuvo.
挺	bastante; enderezar	Este libro está bastante bien.
通过	pasar; por medio de	Aprobé el examen.
通知	avisar; la notificación	Por favor, avisa a todos que vengan a la reunión.
同情	compadecerse; la compasión	Lo compadezco mucho.
同时	al mismo tiempo	Él escucha música mientras hace la tarea.
推	empujar	Mi auto está descompuesto, ¿podrías ayudarme a empujarlo?
推迟	posponer; retrasar	La hora de salida del avión se retrasó veinte minutos.
脱	quitarse; desprenderse	La habitación está muy cálida. Quítate el abrigo.
袜子	los calcetines	Lavé mis calcetines.
完全	completamente; total	Tu juicio es completamente correcto.
往往	a menudo; frecuentemente	Los domingos suele pasear por el parque.
网球	el tenis	Hace poco empecé a aprender a jugar tenis.
网站	el sitio web	En este sitio web hay muchos materiales de chino.
危险	el peligro; peligroso	Subir una montaña solo de noche es peligroso.
卫生间	el baño; el sanitario	Disculpe, ¿dónde está el baño?
味道	el sabor; el olor	Los baozi de este restaurante están muy buenos.
温度	la temperatura	En invierno, la temperatura baja cada vez más.
文章	el artículo; el ensayo	La parte más importante del artículo es el tercer párrafo.
