source_headword	SL	example_SL
download	prenesti; prenos	Danes prenesi aplikacijo.
drama	drama	Drama se začne nocoj.
drawing	risba	Njena risba je lepa.
dream	sanje; sanjati	Imel sem čudne sanje.
driving	vožnja	Vožnja ponoči je težka.
drop	spustiti; kapljica	Ne spusti kozarca.
drug	zdravilo; droga	Zdravilo mu je pomagalo.
dry	suh	Brisača je suha.
earn	zaslužiti	Zaslužim denar v službi.
earth	Zemlja; zemlja	Zemlja je okrogla.
easily	zlahka	Ona se zlahka uči.
education	izobraževanje	Izobraževanje je pomembno.
effect	učinek	Učinek je bil jasen.
either	katerikoli; ali	Katerikoli odgovor je dober.
electric	električen	Ta avto je električen.
electrical	električni	Električni sistem je varen.
electricity	elektrika	Elektrika je tukaj draga.
electronic	elektronski	Ta elektronska karta deluje.
employ	zaposliti	Zaposlijo pet ljudi.
employee	zaposleni	Zaposleni veliko dela.
employer	delodajalec	Moj delodajalec je pravičen.
empty	prazen	Soba je prazna.
ending	konec; zaključek	Konec je bil presenetljiv.
energy	energija	Danes nimam energije.
engine	motor	Motor je glasen.
engineer	inženir	Inženir je popravil most.
enormous	ogromen	Stavba je ogromna.
enter	vstopiti; vnesti	Tiho vstopi v sobo.
environment	okolje	Varuj okolje.
equipment	oprema	Ta oprema je draga.
error	napaka	Našel sem napako.
especially	posebej; zlasti	Še posebej imam rad to pesem.
essay	esej	Zvečer napiši esej.
everyday	vsakdanji	To je vsakdanja angleščina.
everywhere	povsod	Rože rastejo povsod.
evidence	dokaz	Dokaz je jasen.
exact	natančen	Daj natančno številko.
exactly	natančno; točno	To je natančno.
excellent	odličen	Tvoje delo je odlično.
except	razen	Vsi so prišli razen mene.
exist	obstajati	Ali ta naslov obstaja?
expect	pričakovati	Jutri pričakujem dež.
experience	izkušnja; izkušnje	Imam izkušnje z otroki.
experiment	poskus	Poskus je dobro uspel.
expert	strokovnjak	Za pomoč vprašaj strokovnjaka.
explanation	razlaga	Njena razlaga je bila jasna.
express	izraziti	Prosim, izrazi svoje mnenje.
expression	izraz	Ta izraz je pogost.
extreme	ekstremen	Vročina je bila ekstremna.
extremely	izjemno	Izjemno je hladno.
factor	dejavnik	Cena je en dejavnik.
factory	tovarna	Tovarna se zapre ob petih.
fail	ne uspeti; pasti	Nisem padel.
fair	pošten; pravičen	Cena je pravična.
fan	ventilator; oboževalec	Vklopi ventilator.
farming	kmetovanje; kmetijstvo	Kmetovanje je težko delo.
fashion	moda	Moda se spreminja vsako leto.
fear	strah	Strah lahko ustavi ljudi.
feature	lastnost; funkcija	Ta telefon ima koristno funkcijo.
feed	hraniti	Zdaj nahrani mačko.
female	ženski; ženska	Športnica je zmagala.
fiction	leposlovje; fikcija	Ona zvečer bere leposlovje.
field	polje; področje	Polje je zeleno.
fight	boriti se; prepir	Preveč se prepirajo.
figure	figura; številka	Poglej figuro.
finally	končno	Končno smo prišli domov.
finger	prst	Boli me prst.
firstly	najprej	Najprej preberi vprašanje.
fishing	ribolov	Ribolov je tukaj priljubljen.
fit	ustrezati; pristajati	Ti čevlji mi dobro pristajajo.
fix	popraviti	Popravi zlomljen stol.
flu	gripa	Imam gripo.
flying	letenje	Letenje je hitro.
focus	osredotočiti se; fokus	Osredotoči se na to nalogo.
following	naslednji	Preberi naslednji stavek.
foreign	tuj	Ona govori tuj jezik.
forest	gozd	Gozd je tih.
fork	vilice	Uporabi vilice.
formal	formalen; uraden	To pismo je uradno.
fortunately	na srečo	Na srečo ni bil nihče poškodovan.
forward	naprej	Premikaj se počasi naprej.
fresh	svež	Kruh je svež.
