simplified	ET	example_ET
编辑	toimetama; toimetaja	Ta vastutab selle artikli toimetamise eest.
鞭炮	paugutid	Kevadpüha ajal lastakse pauguteid.
便	siis	Pärast söömist läks ta tundi.
辩论	debatt; väitlema	Nad väitlevad selle küsimuse üle.
标点	kirjavahemärgid	Palun pööra tähelepanu kirjavahemärkidele.
标志	märk	Punane tuli on peatumise märk.
表达	väljendama	Ta väljendas oma arvamust.
表面	pind	Laua pind on väga puhas.
表明	näitama	Tulemus näitab, et tal oli õigus.
表情	näoilme	Tema näoilme on väga tõsine.
表现	esinemine; käitumine	Ta esines täna väga hästi.
冰激凌	jäätis	Lastele meeldib jäätist süüa.
病毒	viirus	See viirus levib kiiresti.
播放	mängima; edastama	Palun pane see laul mängima.
玻璃	klaas	Klaas purunes.
博物馆	muuseum	Me läheme nädalavahetusel muuseumisse.
脖子	kael	Mu kael valutab natuke.
不断	pidevalt	Hinnad tõusevad pidevalt.
不见得	mitte tingimata	See ei ole tingimata halb asi.
不耐烦	kannatamatu	Pärast pikka ootamist muutus ta natuke kannatamatuks.
不要紧	pole hullu	Pole midagi, pole hullu.
补充	lisama	Tahaksin lisada ühe arvamuse.
不安	rahutu; murelik	Seda uudist kuuldes tundis ta end rahutuna.
不得了	väga tõsine	See asi on tõesti väga tõsine.
不然	muidu	Lähme kiiresti, muidu jääme hiljaks.
不如	parem kui	Parem kõndida kui sõita.
不足	ebapiisav	Siin ei ole piisavalt vett.
布	riie	See riidetükk on väga pehme.
步骤	samm	Palun tegutse sammude järgi.
部门	osakond	Ma töötan müügiosakonnas.
财产	vara	See maja on tema vara.
彩虹	vikerkaar	Pärast vihma ilmus vikerkaar.
踩	peale astuma	Ära astu murule.
采访	intervjueerima	Ajakirjanik intervjueerib arsti.
采取	rakendama	Võtsime kasutusele uue meetodi.
参考	viitama; kasutama	Palun kasuta seda raamatut viitena.
参与	osalema	Ta osaleb tegevustes aktiivselt.
惭愧	häbi tundma	Tunnen oma vea pärast häbi.
操场	spordiväljak	Õpilased jooksevad spordiväljakul.
操心	muretsema	Ära minu pärast muretse.
册	köide	Ostsin ühe köite raamatut.
测验	test	Homme on väike test.
曾经	kunagi	Ma elasin kunagi Pekingis.
叉子	kahvel	Ma söön salatit kahvliga.
差距	vahe	Linna ja maa vahel on vahe.
插	pistma; asetama	Palun pane lilled vaasi.
拆	lammutama	Töölised lammutavad vana maja.
产品	toode	Selle toote kvaliteet on väga hea.
产生	tekkima	See küsimus tekitas uue mõju.
常识	üldteadmised	See on põhiline üldteadmine.
长途	pikamaa	Pikamaareis on väsitav.
抄	maha kirjutama	Palun ära kirjuta teiste kodutööd maha.
超级	super-; väga suur	See on supermarket.
朝	dünastia	Tangi dünastia on väga tuntud.
潮湿	niiske	Lõuna suved on väga niisked.
吵	lärmakas	Väljas on väga lärmakas.
吵架	tülitsema	Nad tülitsesid jälle.
炒	praadima	Ema praeb toitu.
车库	garaaž	Auto on garaažis.
车厢	vagun	See vagun on väga vaikne.
彻底	põhjalik; täielikult	Ta sai sellest täielikult aru.
沉默	vaikima	Ta vaikis kogu aeg.
趁	seni kuni	Lähme, kuni pole veel pimedaks läinud.
称	kaaluma	Palun kaalu see pakk ära.
称呼	kutsuma; pöörduma	Ma ei tea, kuidas tema poole pöörduda.
称赞	kiitma	Õpetaja kiitis tema edusamme.
成分	koostisosa	Selle ravimi koostis on lihtne.
成果	tulemus	See projekt saavutas tulemusi.
成就	saavutus	Tal on karjääris palju saavutusi.
成立	asutama	Ettevõte asutati eelmisel aastal.
成人	täiskasvanu	Täiskasvanu pilet on lapse piletist kallim.
成熟	küps	Õunad on juba küpsed.
成语	hiina idioom	See idioom on väga levinud.
成长	kasvama	Laps kasvab aegamööda.
承担	vastutust võtma	Ta on valmis vastutust võtma.
承认	tunnistama	Ta tunnistas, et eksis.
承受	taluma	Ma ei suuda nii suurt survet taluda.
程度	tase	Tema hiina keele tase on kõrge.
程序	protseduur	Palun aja asi protseduuri järgi.
诚恳	siiras	Tema suhtumine on väga siiras.
吃亏	kahju kannatama	Vaata enne ostmist hoolikalt, et sa kahju ei kannataks.
持续	jätkuma	Vihm kestis kolm päeva.
池塘	tiik	Tiigis on palju kalu.
迟早	varem või hiljem	Sa saad varem või hiljem aru.
尺子	joonlaud	Palun mõõda seda joonlauaga.
翅膀	tiib	Linnu tiib sai vigastada.
充电器	laadija	Minu laadija on katki.
充分	piisav; täielik	Me tegime piisavad ettevalmistused.
充满	täis olema	Tuba oli naeru täis.
冲	loputama	Palun loputa tass veega üle.
重复	kordama	Palun ära korda sama viga.
宠物	lemmikloom	Tal on lemmikkoer.
抽屉	sahtel	Võti on sahtlis.
抽象	abstraktne	See mõiste on liiga abstraktne.
丑	kole	See foto on natuke kole.
臭	haisev	Prügi haiseb.
出版	avaldama	See raamat avaldati eelmisel aastal.
出口	väljapääs	Väljapääs on eespool.
出色	silmapaistev	Tema esinemine on silmapaistev.
出示	esitama	Palun esita oma pass.
出席	osalema	Ta osaleb koosolekul.
初级	algaste	Ma õpin hiina keelt algtaseme klassis.
除非	kui just mitte	Kui just vihma ei saja, läheme homme matkama.
除夕	vana-aastaõhtu	Vana-aastaõhtul sööb kogu meie pere koos.
处理	käsitlema; lahendama	Ma lahendan selle probleemi.
传播	levima	See uudis levis väga kiiresti.
传染	nakkama	Külmetus nakkab kergesti.
传说	legend	See on vana legend.
传统	traditsiooniline	Kevadpüha on Hiina traditsiooniline püha.
窗帘	kardin	Palun tõmba kardinad eest.
闯	läbi sõitma; tormama	Ta sõitis kogemata punase tule alt läbi.
创造	looma	Inimesed lõid uued tööriistad.
吹	puhuma	Tuul puhub kõvasti.
词汇	sõnavara	See sõna on väga levinud.
辞职	ametist lahkuma	Ta otsustas ametist lahkuda.
此外	peale selle	Peale selle on mul veel üks küsimus.
刺激	põnev	See mäng on väga põnev.
次要	teisejärguline	See probleem on teisejärguline.
匆忙	kiirustades	Ta lahkus kodust kiirustades.
从此	sellest ajast alates	Sellest ajast alates teeb ta iga päev trenni.
从而	seeläbi	Ta õppis kõvasti ja läbis seeläbi eksami.
从前	varem	Varem ei olnud siin metrood.
从事	tegelema	Ta tegeleb haridustööga.
粗糙	kare	See paberileht on kare.
促进	edendama	Liikumine edendab tervist.
促使	ajendama	See asi ajendas teda plaani muutma.
醋	äädikas	Toidule lisati äädikat.
催	tagant kiirustama	Ema kiirustas mind kiiremini välja minema.
存在	eksisteerima	See probleem on endiselt olemas.
措施	meede	Kool võttis kasutusele ohutusmeetmed.
答应	nõustuma; lubama	Ta nõustus mind aitama.
达到	saavutama	Tema tulemused saavutasid standardi.
打工	osaajaga töötama	Suvevaheajal töötab ta restoranis osaajaga.
打交道	suhtlema; asja ajama	Ma suhtlen sageli klientidega.
打喷嚏	aevastama	Tal on külmetus ja ta aevastab kogu aeg.
打听	uurima	Tahaksin rongipiletite kohta uurida.
大方	helde	Ta on raha kulutades väga helde.
大厦	kõrghoone	See kõrghoone on väga kõrge.
大象	elevant	Lapsed vaatavad loomaaias elevante.
大型	suur; suuremahuline	Siia ehitatakse suur kaubanduskeskus.
呆	kodus püsima; viibima	Ta on kodus ja loeb raamatut.
代表	esindama	See lill esindab sõprust.
代替	asendama	Täna lähen mina tema asemel koosolekule.
待遇	hüved; töötasu	Selle ettevõtte hüved on head.
贷款	laen	Nad taotlesid eluasemelaenu.
单纯	lihtne	Tema mõte on väga lihtne.
单调	üksluine	See töö on natuke üksluine.
单独	üksi	Ma tahan sinuga üksi rääkida.
单位	üksus; asutus	Ta töötab ühes avalikus asutuses.
单元	õppetükk; üksus	Täna õpime kolmandat õppetükki.
担任	ametis olema	Ta on selle ürituse eest vastutav isik.
耽误	viivitama; raiskama	Ära raiska kõigi aega.
胆小鬼	argpüks	Ära kutsu teda argpüksiks.
淡	mahe; lahja	See supp on natuke mage.
当地	kohalik	Kohalikud inimesed armastavad seda turgu.
当心	ettevaatlik olema	Tee on libe, ole ettevaatlik.
挡	blokeerima	See auto blokeerib sissepääsu.
倒霉	ebaõnnelik	Täna läks mul tõesti halvasti, telefon kadus ära.
导演	režissöör	See režissöör on väga kuulus.
导致	põhjustama	Tugev vihm põhjustas liiklusummiku.
岛屿	saar	Selles riigis on palju saari.
到达	saabuma	Rong saabus õigel ajal Shanghaisse.
道德	moraal	Inimesel peaksid olema moraalsed põhimõtted.
道理	mõte; loogika	See, mida ta ütles, on väga loogiline.
登记	registreerima	Palun registreeri end kõigepealt vastuvõtul.
等待	ootama	Me ootame tulemust.
等于	võrduma	Viis pluss viis võrdub kümnega.
滴	tilk	Üks veetilk kukkus lauale.
敌人	vaenlane	Nad ei ole vaenlased.
的确	tõepoolest	See asi on tõepoolest väga tähtis.
地道	ehtne	Ta räägib ehtsat Pekingi kõnekeelt.
地理	geograafia	Mind huvitab väga Hiina geograafia.
地区	piirkond	See piirkond on talvel väga külm.
地毯	vaip	Elutoas on maas vaip.
地位	positsioon	Haridusel on ühiskonnas tähtis positsioon.
地震	maavärin	Eile õhtul toimus siin maavärin.
递	ulatama	Palun anna see kiri õpetajale edasi.
点心	suupiste	Pärastlõunal sõime suupisteid.
电池	patarei	See mänguasi vajab kahte patareid.
电台	raadiojaam	Ta teeb raadiosaadet.
钓	õngega püüdma	Vanaisale meeldib jõe ääres kala püüda.
顶	loendussõna mütsidele	Tal on peas must müts.
冻	külmuma	Väljas on nii külm, et vesi külmus.
动画片	multikas	Lapsed vaatavad multikaid.
洞	auk	Seinas on väike auk.
豆腐	tofu	See tofuroog on maitsev.
逗	naerma ajama	Tema sõnad ajasid kõik naerma.
独立	iseseisev	Ta tahab iseseisvalt elada.
独特	ainulaadne	Sellel linnal on ainulaadne kultuur.
度过	veetma	Veetsime puhkuse mere ääres.
断	katki minema	See nöör läks katki.
堆	kuhjama	Laual on palju dokumente kuhjas.
兑换	vahetama	Tahaksin vahetada natuke renminbi.
对比	võrdlema	Palun võrdle neid kahte plaani.
对待	kohtlema	Me peaksime kõiki õiglaselt kohtlema.
对方	teine pool	Palun kuula kõigepealt teise poole arvamust.
对手	vastane	Tema vastane on väga tugev.
对象	uurimisobjekt	Uurimisobjektid on üliõpilased.
吨	tonn	See veoauto mahutab kolm tonni kaupa.
蹲	kükitama	Ta kükitab maas ja otsib võtmeid.
顿	kord; söögikord	Me sõime koos ühe õhtusöögi.
多亏	tänu	Tänu sinu abile lõpetasin ülesande.
多余	ülearune	See lause on ülearune.
朵	loendussõna lilledele	Laual on üks lill.
躲藏	peitu pugema	Kassipoeg peidab end voodi all.
恶劣	halb; ränk	Täna on ilm väga halb.
耳环	kõrvarõngas	Ta kannab paari kõrvarõngaid.
发表	avaldama	Ta avaldas koosolekul oma arvamust.
发愁	muretsema	Ära muretse selle pisiasja pärast.
发达	arenenud	Selle linna transport on hästi arenenud.
发抖	värisema	Ta väriseb külmast.
发挥	kasutama; esile tooma	Palun kasutage oma kujutlusvõimet.
发明	leiutama; leiutis	Elektrilamp on tähtis leiutis.
发票	arve	Palun väljasta mulle arve.
发言	sõna võtma	Ta võttis koosolekul sõna.
罚款	trahv; trahvima	Valesti parkimise eest tuleb trahvi maksta.
法院	kohus	See juhtum anti kohtule lahendada.
翻	keerama	Palun keera raamat kümnendale leheküljele.
繁荣	õitsema	Majandus muutub tasapisi jõukamaks.
反而	hoopis	Ta ei vihastanud, vaid hoopis naeris.
反复	korduvalt	Seda lauset tuleb korduvalt harjutada.
反应	reaktsioon	Tema reaktsioon on kiire.
反映	peegeldama	See aruanne peegeldab tegelikku olukorda.
反正	igal juhul	Igal juhul on mul homme aega.
范围	ulatus	Palun ära mine sellest ulatusest välja.
方	ruut	Palun joonista paberile ruut.
方案	plaan	See plaan on üsna mõistlik.
方式	viis	See õppimisviis on väga tõhus.
妨碍	takistama	Palun ära takista teiste tööd.
仿佛	näima	Ta näib kõike teadvat.
非	ilma ei saa	Seda asja ei saa ilma sinuta teha.
肥皂	seep	Käte pesemisel tuleb kasutada seepi.
废话	mõttetus	Räägi vähem mõttetusi ja alusta kiiresti.
分别	lahku minema	Nad läksid jaamas lahku.
分布	paiknema	Need poed paiknevad üle kogu linna.
分配	jaotama	Õpetaja jaotas uue ülesande.
分手	lahku minema	Nad läksid eelmisel aastal lahku.
分析	analüüsima	Me peame põhjuseid analüüsima.
纷纷	üksteise järel	Kõik väljendasid üksteise järel nõusolekut.
奋斗	pingutama	Noored peaksid oma unistuste nimel pingutama.
疯狂	hullumeelne	Fännid hõiskasid pööraselt.
风格	stiil	Selle restorani stiil on väga eriline.
风景	maastik	Mäe pealt on vaade väga ilus.
风俗	komme	Igal kohal on oma kombed.
风险	risk	Investeerimisega kaasneb teatud risk.
讽刺	satiiriseerima	See artikkel satiiriseerib ühiskondlikke probleeme.
否定	eitama	Ta eitas seda väidet.
否认	eitama	Ta eitas, et oli vea teinud.
幅	loendussõna piltidele	Seinal ripub üks maal.
扶	toetama	Palun aita eakas inimene üle tee.
服装	rõivad	See pood müüb lasterõivaid.
辅导	juhendama	Õpetaja juhendab õpilasi pärast tundi.
复制	kopeerima	Palun kopeeri see dokument.
妇女	naine	See haigla pakub teenuseid naistele.
改革	reform	Kool viib läbi õpetamisreformi.
改进	parandama	Me peame teenuse kvaliteeti parandama.
改善	parandama	Liikumine võib und parandada.
改正	parandama	Palun paranda vead õigel ajal.
概括	kokku võtma	Palun võta artikli sisu lühidalt kokku.
概念	mõiste	Seda mõistet ei ole eriti lihtne mõista.
盖	katma	Palun kata tass korralikult kinni.
干脆	parem juba	Parem ära täna mine.
干燥	kuiv	Põhja talved on väga kuivad.
感激	tänulik olema	Olen sinu abi eest väga tänulik.
感受	tunne	Ma saan sinu tunnetest aru.
感想	mõtted	Palun räägi oma mõtetest.
赶紧	kiirustama	Aeg on hiline, lähme kiiresti.
赶快	kiiresti	Pane uks kiiresti kinni.
干活儿	tööd tegema	Ta teeb õues tööd.
钢铁	teras	See sild on terasest.
高档	kõrgekvaliteediline	See on kõrgekvaliteediline hotell.
高级	edasijõudnud	Ta osaleb edasijõudnute hiina keele rühmas.
搞	korraldama	Mis üritust sa korraldad?
告别	hüvasti jätma	Me jätsime lennujaamas sõbraga hüvasti.
格外	eriti	Tänane taevas on eriti sinine.
隔壁	kõrval	Kõrval elab üks õpetaja.
个别	üksikud	Üksikud õpilased ei ole veel kodutööd esitanud.
个人	isiklik	See on minu isiklik arvamus.
个性	isikupära	Tal on palju isikupära.
各自	igaüks eraldi	Igaüks lõpetab oma ülesande ise.
根	loendussõna pikkadele peenikestele asjadele	Laua all on üks juhe.
根本	üldse mitte	See probleem ei ole üldse raske.
公布	avalikustama	Kool avalikustas eksamitulemused.
公开	avalik	See koosolek on avalik.
公平	õiglane	Võistlus peaks olema õiglane.
公寓	korter	Ta üüris väikese korteri.
公元	meie ajaarvamise järgi	Tänavu on aasta 2026 meie ajaarvamise järgi.
公主	printsess	Väikesele tüdrukule meeldivad printsessilood.
功能	funktsioon	Sellel tarkvaral on palju funktsioone.
工厂	tehas	See tehas toodab autosid.
工程师	insener	Minu vanem vend on insener.
工具	tööriist	Jalgratta parandamiseks on vaja tööriistu.
工人	tööline	Töölised parandavad teed.
工业	tööstus	See linn põhineb peamiselt tööstusel.
恭喜	palju õnne	Palju õnne eksami sooritamise puhul.
贡献	panus	Ta andis ettevõttesse oma panuse.
沟通	suhtlus	Hea suhtlus on väga tähtis.
构成	moodustama	Need osad moodustavad terviku.
姑姑	isapoolne tädi	Lähen nädalavahetusel tädile külla.
姑娘	neiu	See neiu on väga abivalmis.
古代	vanaaeg	Vanaajal ei olnud mobiiltelefone.
古典	klassikaline	Mulle meeldib klassikaline muusika.
股票	aktsia	Ta ostis mõned aktsiad.
骨头	luu	See luu on väga kõva.
鼓舞	julgustav	See uudis on väga julgustav.
鼓掌	plaksutama	Publik plaksutas näitlejatele.
固定	fikseeritud	Mul on fikseeritud tööaeg.
挂号	registreerima	Enne arsti juurde minekut tuleb registreeruda.
乖	sõnakuulelik	See laps on väga sõnakuulelik.
拐弯	pöörama	Pööra eesoleval ristmikul paremale.
怪不得	pole ime	Pole ime, et sa nii väsinud oled.
关闭	sulgema	Palun sulge arvuti enne lahkumist.
官	ametnik	Ta on noor ametnik.
观察	jälgima	Arst jälgib patsiendi seisundit.
观点	seisukoht	Olen sinu seisukohaga nõus.
观念	arusaam	Noorte arusaamad muutuvad.
管子	toru	See toru lekib.
冠军	meister; võitja	Ta tuli võistluse võitjaks.
光滑	sile	Selle laua pind on väga sile.
光临	külla tulema	Ootame teid ka järgmisel korral.
光明	helge	Tulevik on helge.
光盘	plaat	Palun salvesta materjalid plaadile.
广场	väljak	Väljakul on palju inimesi.
广大	arvukas; lai	See uudis meeldis paljudele õpilastele.
广泛	laialdane	Sellel raamatul on laialdane mõju.
归纳	kokku võtma	Õpetaja aitas meil põhipunktid kokku võtta.
规矩	reegel	Lapsed peaksid reeglitest aru saama.
规律	korrapära	Elul peaks olema korrapärane rütm.
规模	ulatus	Selle ettevõtte ulatus on suur.
规则	reegel	Võistluse reeglid on väga selged.
柜台	lett	Palun maksa letis.
滚	keema	Vesi juba keeb.
锅	pott	Potis on kuum supp.
国庆节	rahvuspüha	Rahvuspühal on meil vaba päev.
国王	kuningas	Kuningas elab palees.
果然	ootuspäraselt	Ta jõudis ootuspäraselt õigel ajal kohale.
果实	vili	Puu on vilju täis.
过分	liigne	Tema nõudmine on natuke liigne.
过敏	allergiline	Ma olen õietolmu vastu allergiline.
过期	aegunud	See piimapudel on juba aegunud.
哈	haa	Haa, ma sain lõpuks aru.
海关	toll	Me seisime tollis kontrollijärjekorras.
海鲜	mereannid	Selle restorani mereannid on väga värsked.
喊	hüüdma	Ära hüüa klassis valjusti.
行业	valdkond; tööstusharu	Turismivaldkond areneb kiiresti.
豪华	luksuslik	Nad ööbivad luksuslikus hotellis.
好客	külalislahke	Kohalikud inimesed on väga külalislahked.
好奇	uudishimulik	Lapsed on maailma vastu väga uudishimulikud.
何必	milleks	Milleks vihastada väikese asja pärast?
何况	rääkimata sellest	Täna on külm, rääkimata sellest, et sajab vihma.
合法	seaduslik	See leping on seaduslik.
合理	mõistlik	See hind on mõistlik.
合同	leping	Nad sõlmisid lepingu.
合影	grupipilt	Lõpetamisel tegime grupipildi.
合作	koostöö	Me lõpetasime projekti koostöös.
和平	rahu	Igaüks loodab rahu.
核心	tuum	Usaldus on koostöö tuum.
恨	kahetsema	Ta kahetseb, et ei pingutanud varem.
猴子	ahv	Loomaaias on mitu ahvi.
后背	selg	Tal valutab natuke selg.
后果	tagajärg	Sa pead tagajärgedega arvestama.
呼吸	hingama	Palun hinga sügavalt.
忽然	äkki	Taevas läks äkki tumedaks.
忽视	ignoreerima	Ära ignoreeri seda probleemi.
壶	kann	Laual on kann teed.
糊涂	segaduses	Ma olen täna natuke segaduses.
胡说	lollusi rääkima	Ära räägi lollusi, see ei ole tõsi.
胡同	hutong; allee	Pekingis on palju vanu hutong'e.
蝴蝶	liblikas	Aias on üks liblikas.
花生	maapähkel	Talle meeldib maapähkleid süüa.
华裔	hiina päritolu	Ta on hiina päritolu kirjanik.
滑	libe	Põrand on libe, ole ettevaatlik.
划	sõudma	Paadisõidul vastutab tema sõudmise eest.
化学	keemia	Ta õppis ülikoolis keemiat.
话题	teema	See teema on väga huvitav.
怀念	igatsema	Ma igatsen väga ülikoolielu.
怀孕	rase	Ta on kolm kuud rase.
缓解	leevendama	Puhkus võib stressi leevendada.
幻想	fantaseerima	Ta fantaseerib tihti kosmosereisist.
慌张	paanikasse sattuma	Probleemi korral ära satu paanikasse.
黄金	kuld	Kulla hind tõusis jälle.
恢复	taastuma	Tema keha taastub.
挥	viipama	Ta viipas käega.
灰	hall	Taevas on hall.
灰尘	tolm	Laual on palju tolmu.
灰心	julgust kaotama	Ära kaota julgust ka siis, kui ebaõnnestud.
汇率	vahetuskurss	Mis on tänane vahetuskurss?
婚礼	pulmad	Nende pulmad olid väga lihtsad.
婚姻	abielu	Abielu nõuab vastastikust mõistmist.
活跃	aktiivne	Ta on tunnis väga aktiivne.
伙伴	kaaslane	Ta on minu parim kaaslane.
火柴	tikk	Karbis on alles ainult üks tikk.
或许	võib-olla	Võib-olla sajab homme vihma.
基本	põhiline	Need on põhinõuded.
机器	masin	See masin on katki.
激烈	äge	Võistlus oli väga äge.
肌肉	lihas	Pärast trenni on lihased natuke valusad.
及格	eksamist läbi saama	Ta sai sellest eksamist läbi.
急忙	kiirustades	Ta jooksis kiirustades klassist välja.
急诊	erakorraline vastuvõtt	Patsient viidi erakorralisse vastuvõttu.
极其	äärmiselt	See küsimus on äärmiselt tähtis.
集合	kogunema	Palun kogunege kell kaheksa sissepääsu juures.
集体	rühm; kollektiiv	See on rühmategevus.
集中	keskenduma	Tunnis tuleb tähelepanu koondada.
寂寞	üksildane	Üksi elades võib vahel üksildane olla.
系领带	lipsu siduma	Ta seob iga päev enne tööle minekut lipsu.
纪录	rekord	Ta purustas kooli rekordi.
纪律	distsipliin	Klassidistsipliin on väga tähtis.
纪念	mälestama; meenutama	Tegime selle päeva meenutamiseks foto.
计算	arvutama	Palun arvuta kogukulu.
记录	üles märkima	Palun märgi koosoleku sisu üles.
记忆	mälestus	See mälestus on väga kallis.
嘉宾	külaline	Tänane külaline on kirjanik.
夹子	klamber	Palun kinnita dokumendid klambriga.
家庭	pere	Pere on lastele väga tähtis.
家务	kodutööd	Nädalavahetusel pean kodutöid tegema.
家乡	kodukoht	Ma igatsen väga oma kodukohta.
假如	kui	Kui homme sajab, siis me ei lähe.
假设	oletama	Oletame, et sina oled õpetaja. Mida sa teeksid?
假装	teesklema	Ta teeskles, et ei kuulnud.
甲	A pool	Lepingus peab A pool õigel ajal maksma.
价值	väärtus	See raamat on väga väärtuslik.
嫁	mehele minema	Ta läheb järgmisel aastal oma poiss-sõbrale mehele.
驾驶	juhtima	Autot juhtides tuleb olla ettevaatlik.
兼职	osaajatöö	Ta teeb õhtuti osaajatööd.
坚决	kindel	Ta on sellele otsusele kindlalt vastu.
坚强	tugev	Ta on tugev inimene.
肩膀	õlg	Tema õlg sai vigastada.
艰巨	raske	See on raske ülesanne.
艰苦	raske	Nad elasid läbi raske elu.
剪刀	käärid	Palun ulata mulle käärid.
捡	üles korjama	Ta korjas rahakoti maast üles.
简历	elulookirjeldus	Enne tööle kandideerimist tuleb ette valmistada elulookirjeldus.
简直	lausa	See uudis on lausa jahmatav.
健身	treenima	Ta käib kolm korda nädalas treenimas.
建立	looma	Me lõime uue suhte.
建设	ehitamine	Linnaehitus areneb kiiresti.
建筑	hoone	Sellel hoonel on eripärased jooned.
键盘	klaviatuur	Minu klaviatuur vajab puhastamist.
讲究	nõudlik olema	Hiinlased on söömise suhtes väga nõudlikud.
讲座	loeng	Täna õhtul on hiina keele loeng.
酱油	sojakaste	Lisa toidule natuke sojakastet.
交换	vahetama	Me vahetasime telefoninumbreid.
交际	suhtlus	Keelt õppides tuleb harjutada ka suhtlust.
交往	suhtes olema	Nad on kaks aastat suhtes olnud.
浇	kastma	Palun kasta lilli iga päev.
胶水	liim	Ma kleepisin foto liimiga.
狡猾	kaval	See rebane on väga kaval.
角度	vaatenurk	Vaatame probleemi teise vaatenurga alt.
教材	õpik	See õpik on väga praktiline.
教练	treener	Treener nõuab, et jõuaksime õigeks ajaks kohale.
教训	õppetund	See ebaõnnestumine oli õppetund.
接触	kokkupuude	See on minu esimene kokkupuude Hiina kultuuriga.
接待	vastu võtma	Ettevõte määras külalisi vastu võtma eraldi inimese.
接近	lähenema	Kevadpüha läheneb üha rohkem.
结实	vastupidav	See kohver on väga vastupidav.
阶段	etapp	Õppimine jaguneb kolmeks etapiks.
结构	ülesehitus	Selle artikli ülesehitus on selge.
结合	ühendama	Õppimine tuleb ühendada praktikaga.
结论	järeldus	Tema järeldus on väga veenev.
结账	arvet maksma	Pärast söömist läksime arvet maksma.
节省	säästma	Metrooga sõitmine säästab aega.
借口	vabandus	Ära otsi enam vabandusi.
届	kord	See on võistluse kolmas kord.
戒	maha jätma	Arst soovitas tal suitsetamise maha jätta.
戒指	sõrmus	Ta kannab üht sõrmust.
金属	metall	Raud on üks metall.
尽快	esimesel võimalusel	Palun vasta e-kirjale esimesel võimalusel.
紧急	hädaolukord	See on hädaolukord.
谨慎	ettevaatlik	Enne investeerimist tuleb olla ettevaatlik.
尽力	andma endast parima	Ma annan endast parima, et sind aidata.
尽量	püüdma	Palun püüa võimalikult vara kohale jõuda.
近代	uusaeg	Uusajal toimus Hiinas palju muutusi.
进步	edenemine	Tema hiina keel edeneb kiiresti.
进口	imporditud	See auto on imporditud.
精力	energia	Lastel on väga palju energiat.
精神	tuju	Tal on täna väga hea tuju.
经典	klassikaline	See on klassikaline film.
经商	äri ajama	Tema isa ajab välismaal äri.
经营	pidama	Ta peab väikest poodi.
酒吧	baar	Õhtul läksid nad baari.
救	päästma	Arst päästis tema elu.
救护车	kiirabi	Kiirabi jõudis kiiresti kohale.
舅舅	emapoolne onu	Minu emapoolne onu elab Nanjingis.
居然	lausa	Ta unustas lausa omaenda sünnipäeva.
桔子	mandariin	Laual on mitu mandariini.
俱乐部	klubi	Ta liitus ujumisklubiga.
具备	omama	Tal on juhtimiskogemus.
具体	konkreetne	Palun räägi natuke konkreetsemalt.
巨大	tohutu	See projekt nõuab tohutut investeeringut.
据说	väidetavalt	Väidetavalt on ta juba kodumaale tagasi läinud.
捐	annetama	Kõik on valmis raha annetama.
决赛	finaal	Homme on jalgpalli finaal.
