simplified	MY	example_MY	KM	example_KM	LO	example_LO
给	ပေးသည်; အား	ကျွန်ုပ် သင့်ကို စာအုပ်တစ်အုပ် ပေးသည်။	ឱ្យ; ជូន	ខ្ញុំឱ្យសៀវភៅមួយក្បាលដល់អ្នក។	ໃຫ້	ຂ້ອຍໃຫ້ປຶ້ມໜຶ່ງເຫຼັ້ມແກ່ເຈົ້າ.
公共汽车	ဘတ်စ်ကား	ကျွန်ုပ် ဘတ်စ်ကားစီးပြီး အလုပ်သို့ သွားသည်။	ឡានក្រុង	ខ្ញុំជិះឡានក្រុងទៅធ្វើការ។	ລົດເມ	ຂ້ອຍຂີ່ລົດເມໄປເຮັດວຽກ.
公斤	ကီလိုဂရမ်	ကျွန်ုပ် ပန်းသီးတစ်ကီလိုဂရမ် ဝယ်သည်။	គីឡូក្រាម	ខ្ញុំទិញផ្លែប៉ោមមួយគីឡូក្រាម។	ກິໂລກຣາມ	ຂ້ອຍຊື້ໝາກໂປມໜຶ່ງກິໂລກຣາມ.
公司	ကုမ္ပဏီ	ကျွန်ုပ် ကုမ္ပဏီတွင် အလုပ်လုပ်သည်။	ក្រុមហ៊ុន	ខ្ញុំធ្វើការនៅក្រុមហ៊ុន។	ບໍລິສັດ	ຂ້ອຍເຮັດວຽກຢູ່ບໍລິສັດ.
贵	ဈေးကြီးသည်	ဤလက်ပတ်နာရီသည် ဈေးကြီးသည်။	ថ្លៃ	នាឡិកាដៃនេះថ្លៃ។	ແພງ	ໂມງຂໍ້ມືນີ້ແພງ.
过	အတွေ့အကြုံအမှုန်	ကျွန်ုပ် တရုတ်နိုင်ငံသို့ သွားဖူးသည်။	ភាគល្អិតបទពិសោធន៍	ខ្ញុំធ្លាប់ទៅប្រទេសចិន។	ຄຳຊ່ວຍບອກປະສົບການ	ຂ້ອຍເຄີຍໄປປະເທດຈີນ.
还	သေးသည်; လည်း	သူ ကျောင်းတွင် ရှိသေးသည်။	នៅតែ; ផងដែរ	គាត់នៅតែនៅសាលារៀន។	ຍັງ; ກໍ	ລາວຍັງຢູ່ໂຮງຮຽນ.
孩子	ကလေး	ဤကလေးသည် အလွန်ပျော်သည်။	ក្មេង; កូន	ក្មេងនេះសប្បាយចិត្តណាស់។	ເດັກ	ເດັກຄົນນີ້ດີໃຈຫຼາຍ.
好吃	အရသာရှိသည်	ဤဟင်းသည် အရသာရှိသည်။	ឆ្ងាញ់	ម្ហូបនេះឆ្ងាញ់។	ແຊບ	ອາຫານນີ້ແຊບ.
号	နံပါတ်; ရက်စွဲ	ယနေ့သည် ရှစ်ရက်နေ့ ဖြစ်သည်။	លេខ; ថ្ងៃទី	ថ្ងៃនេះជាថ្ងៃទីប្រាំបី។	ເລກ; ວັນທີ	ມື້ນີ້ແມ່ນວັນທີແປດ.
黑	မည်းသည်	ဤကြောင်သည် မည်းသည်။	ខ្មៅ	ឆ្មានេះពណ៌ខ្មៅ។	ດຳ	ແມວນີ້ສີດຳ.
红	နီသည်	ကျွန်ုပ် အနီရောင်ပန်းသီး ကြိုက်သည်။	ក្រហម	ខ្ញុំចូលចិត្តផ្លែប៉ោមពណ៌ក្រហម។	ແດງ	ຂ້ອຍມັກໝາກໂປມສີແດງ.
欢迎	ကြိုဆိုသည်; ကြိုဆိုပါတယ်	ပေကျင်းသို့ ကြိုဆိုပါသည်။	ស្វាគមន៍	សូមស្វាគមន៍មកប៉េកាំង។	ຕ້ອນຮັບ; ຍິນດີຕ້ອນຮັບ	ຍິນດີຕ້ອນຮັບສູ່ປັກກິ່ງ.
回答	ဖြေသည်	ဤမေးခွန်းကို ဖြေပါ။	ឆ្លើយ	សូមឆ្លើយសំណួរនេះ។	ຕອບ	ກະລຸນາຕອບຄຳຖາມນີ້.
机场	လေဆိပ်	လေဆိပ်သည် ဤနေရာမှ ဝေးသည်။	អាកាសយានដ្ឋាន	អាកាសយានដ្ឋានឆ្ងាយពីទីនេះ។	ສະໜາມບິນ	ສະໜາມບິນຢູ່ໄກຈາກນີ້.
鸡蛋	ကြက်ဥ	ကျွန်ုပ် ကြက်ဥ စားသည်။	ស៊ុត	ខ្ញុំញ៉ាំស៊ុត។	ໄຂ່	ຂ້ອຍກິນໄຂ່.
件	အဝတ်နှင့် ပစ္စည်းများအတွက် ရေတွက်စကား	ကျွန်ုပ် အဝတ်တစ်ထည် ဝယ်ခဲ့သည်။	លក្ខណនាមសម្រាប់សម្លៀកបំពាក់និងវត្ថុ	ខ្ញុំបានទិញសម្លៀកបំពាក់មួយឈុត។	ລັກສະນະນາມສຳລັບເຄື່ອງນຸ່ງແລະສິ່ງຂອງ	ຂ້ອຍຊື້ເຄື່ອງນຸ່ງໜຶ່ງຊຸດ.
教室	စာသင်ခန်း	ကျောင်းသားများ စာသင်ခန်းတွင် ရှိသည်။	ថ្នាក់រៀន	សិស្សនៅក្នុងថ្នាក់រៀន។	ຫ້ອງຮຽນ	ນັກຮຽນຢູ່ໃນຫ້ອງຮຽນ.
姐姐	အစ်မ	ကျွန်ုပ်၏ အစ်မသည် ဆရာဝန် ဖြစ်သည်။	បងស្រី	បងស្រីរបស់ខ្ញុំជាគ្រូពេទ្យ។	ເອື້ອຍ	ເອື້ອຍຂ້ອຍເປັນທ່ານໝໍ.
介绍	မိတ်ဆက်သည်	ကျွန်ုပ်၏ သူငယ်ချင်းကို မိတ်ဆက်သည်။	ណែនាំ	ខ្ញុំណែនាំមិត្តភក្តិរបស់ខ្ញុំ។	ແນະນຳ	ຂ້ອຍແນະນຳເພື່ອນຂອງຂ້ອຍ.
进	ဝင်သည်	ကျေးဇူးပြု၍ ဝင်ပါ။	ចូល	សូមចូលមក។	ເຂົ້າ	ກະລຸນາເຂົ້າມາ.
近	နီးသည်	ကျောင်းသည် အိမ်နှင့် နီးသည်။	ជិត	សាលារៀនជិតផ្ទះ។	ໃກ້	ໂຮງຮຽນຢູ່ໃກ້ເຮືອນ.
就	ထို့နောက်; ယခုတင်	ကျွန်ုပ် ယခု သွားမည်။	ក៏; ភ្លាម	ខ្ញុំនឹងទៅឥឡូវនេះ។	ກໍ; ເລີຍ	ຂ້ອຍຈະໄປດຽວນີ້.
觉得	ထင်သည်; ခံစားသည်	ဤဟင်းသည် အရသာရှိသည်ဟု ကျွန်ုပ် ထင်သည်။	គិតថា; មានអារម្មណ៍ថា	ខ្ញុំគិតថាម្ហូបនេះឆ្ងាញ់។	ຄິດວ່າ; ຮູ້ສຶກວ່າ	ຂ້ອຍຄິດວ່າອາຫານນີ້ແຊບ.
咖啡	ကော်ဖီ	ကျွန်ုပ် ကော်ဖီ သောက်သည်။	កាហ្វេ	ខ្ញុំផឹកកាហ្វេ។	ກາເຟ	ຂ້ອຍດື່ມກາເຟ.
开始	စတင်သည်; အစ	စာမေးပွဲ စတင်ပြီ။	ចាប់ផ្តើម; ការចាប់ផ្តើម	ការប្រឡងចាប់ផ្តើមហើយ។	ເລີ່ມ; ການເລີ່ມ	ການສອບເສັງເລີ່ມແລ້ວ.
考试	စာမေးပွဲ	မနက်ဖြန် စာမေးပွဲ ရှိသည်။	ការប្រឡង	ស្អែកមានការប្រឡង។	ການສອບເສັງ	ມື້ອື່ນມີການສອບເສັງ.
可能	ဖြစ်နိုင်သည်; ဖြစ်နိုင်ခြေ	သူ အိမ်တွင် ရှိနိုင်သည်။	ប្រហែល; អាចទៅរួច	គាត់ប្រហែលនៅផ្ទះ។	ອາດຈະ; ເປັນໄປໄດ້	ລາວອາດຈະຢູ່ເຮືອນ.
可以	နိုင်သည်; ခွင့်ရှိသည်	ကျွန်ုပ် သွားနိုင်ပါသလား။	អាច; បាន	ខ្ញុំអាចទៅបានទេ?	ໄດ້; ສາມາດ	ຂ້ອຍໄປໄດ້ບໍ?
课	သင်ခန်းစာ; အတန်း	ယနေ့ တရုတ်ဘာသာအတန်း ရှိသည်။	មេរៀន; ថ្នាក់	ថ្ងៃនេះមានថ្នាក់ភាសាចិន។	ບົດຮຽນ; ຊົ່ວໂມງຮຽນ	ມື້ນີ້ມີຫ້ອງຮຽນພາສາຈີນ.
快	မြန်သည်; မကြာခင်	သူ မြန်မြန် လမ်းလျှောက်သည်။	លឿន; ឆាប់	គាត់ដើរលឿន។	ໄວ; ໃກ້ຈະ	ລາວຍ່າງໄວ.
快乐	ပျော်ရွှင်သည်	မွေးနေ့မှာ ပျော်ရွှင်ပါစေ။	សប្បាយចិត្ត	រីករាយថ្ងៃកំណើត។	ມີຄວາມສຸກ	ສຸກສັນວັນເກີດ.
累	ပင်ပန်းသည်	ကျွန်ုပ် ပင်ပန်းသည်။	ហត់; នឿយហត់	ខ្ញុំហត់។	ເມື່ອຍ	ຂ້ອຍເມື່ອຍ.
离	မှ ဝေးသည်; မှ	ကျောင်းသည် အိမ်မှ မဝေးပါ။	ឆ្ងាយពី; ពី	សាលារៀនមិនឆ្ងាយពីផ្ទះទេ។	ຫ່າງຈາກ; ຈາກ	ໂຮງຮຽນບໍ່ໄກຈາກເຮືອນ.
两	နှစ်	ကျွန်ုပ်တွင် ကလေးနှစ်ယောက် ရှိသည်။	ពីរ	ខ្ញុំមានកូនពីរនាក់។	ສອງ	ຂ້ອຍມີລູກສອງຄົນ.
路	လမ်း; ခရီး	ဤလမ်းသည် ရှည်သည်။	ផ្លូវ	ផ្លូវនេះវែង។	ທາງ; ຖະໜົນ	ທາງນີ້ຍາວ.
旅游	ခရီးသွားသည်; ခရီး	ကျွန်ုပ် တရုတ်နိုင်ငံသို့ ခရီးသွားချင်သည်။	ធ្វើដំណើរកម្សាន្ត; ដំណើរកម្សាន្ត	ខ្ញុំចង់ធ្វើដំណើរកម្សាន្តទៅប្រទេសចិន។	ທ່ອງທ່ຽວ; ການທ່ອງທ່ຽວ	ຂ້ອຍຢາກໄປທ່ຽວປະເທດຈີນ.
卖	ရောင်းသည်	ဤဆိုင်တွင် ပန်းသီး ရောင်းသည်။	លក់	ហាងនេះលក់ផ្លែប៉ោម។	ຂາຍ	ຮ້ານນີ້ຂາຍໝາກໂປມ.
慢	နှေးသည်	ကျေးဇူးပြု၍ နည်းနည်း နှေးပါ။	យឺត	សូមយឺតបន្តិច។	ຊ້າ	ກະລຸນາຊ້າລົງໜ້ອຍໜຶ່ງ.
忙	အလုပ်များသည်	ယနေ့ ကျွန်ုပ် အလုပ်များသည်။	រវល់	ថ្ងៃនេះខ្ញុំរវល់។	ຫຍຸ້ງ	ມື້ນີ້ຂ້ອຍຫຍຸ້ງ.
每	တိုင်း; အသီးသီး	ကျွန်ုပ် နေ့တိုင်း တရုတ်ဘာသာ လေ့လာသည်။	រាល់; គ្រប់	ខ្ញុំរៀនភាសាចិនរាល់ថ្ងៃ។	ທຸກ; ແຕ່ລະ	ຂ້ອຍຮຽນພາສາຈີນທຸກມື້.
妹妹	ညီမလေး	ကျွန်ုပ်၏ ညီမလေးသည် တီဗီ ကြည့်နေသည်။	ប្អូនស្រី	ប្អូនស្រីរបស់ខ្ញុំកំពុងមើលទូរទស្សន៍។	ນ້ອງສາວ	ນ້ອງສາວຂ້ອຍກຳລັງເບິ່ງໂທລະພາບ.
门	တံခါး; ဂိတ်	တံခါး ပွင့်သွားသည်။	ទ្វារ; ខ្លោងទ្វារ	ទ្វារបើកហើយ។	ປະຕູ	ປະຕູເປີດແລ້ວ.
男人	ယောက်ျား; အမျိုးသား	ဤယောက်ျားသည် ဆရာ ဖြစ်သည်။	បុរស	បុរសនេះជាគ្រូ។	ຜູ້ຊາຍ	ຜູ້ຊາຍຄົນນີ້ເປັນຄູ.
您	သင်; ယဉ်ကျေးသော သင်	မင်္ဂလာပါ။	អ្នក; ពាក្យគោរព	សួស្តី។	ທ່ານ; ເຈົ້າແບບສຸພາບ	ສະບາຍດີ.
牛奶	နို့	ကျွန်ုပ် နို့ သောက်သည်။	ទឹកដោះគោ	ខ្ញុំផឹកទឹកដោះគោ។	ນົມ	ຂ້ອຍດື່ມນົມ.
女人	မိန်းမ; အမျိုးသမီး	ထိုအမျိုးသမီးသည် ဆရာဝန် ဖြစ်သည်။	ស្ត្រី	ស្ត្រីនោះជាគ្រូពេទ្យ។	ຜູ້ຍິງ	ຜູ້ຍິງຄົນນັ້ນເປັນທ່ານໝໍ.
旁边	ဘေးတွင်	ကျောင်းဘေးတွင် ဆိုင်တစ်ဆိုင် ရှိသည်။	ក្បែរ; នៅខាង	មានហាងមួយនៅក្បែរសាលារៀន។	ຂ້າງ; ຢູ່ຂ້າງ	ມີຮ້ານຢູ່ຂ້າງໂຮງຮຽນ.
跑步	ပြေးသည်	ကျွန်ုပ် မနက်တွင် ပြေးသည်။	រត់; រត់ហាត់ប្រាណ	ខ្ញុំរត់នៅពេលព្រឹក។	ແລ່ນ	ຂ້ອຍແລ່ນຕອນເຊົ້າ.
便宜	ဈေးပေါသည်	ဤပန်းသီးသည် ဈေးပေါသည်။	ថោក	ផ្លែប៉ោមនេះថោក។	ຖືກ	ໝາກໂປມນີ້ລາຄາຖືກ.
票	လက်မှတ်	ကျွန်ုပ် လက်မှတ် ဝယ်သည်။	សំបុត្រ	ខ្ញុំទិញសំបុត្រ។	ປີ້	ຂ້ອຍຊື້ປີ້.
妻子	ဇနီး	ကျွန်ုပ်၏ ဇနီးသည် ဆရာမ ဖြစ်သည်။	ប្រពន្ធ; ភរិយា	ភរិយារបស់ខ្ញុំជាគ្រូ។	ພັນລະຍາ; ເມຍ	ພັນລະຍາຂອງຂ້ອຍເປັນຄູ.
起床	အိပ်ရာထသည်	ကျွန်ုပ် မနက်ခြောက်နာရီတွင် အိပ်ရာထသည်။	ក្រោកពីគេង	ខ្ញុំក្រោកពីគេងម៉ោងប្រាំមួយព្រឹក។	ຕື່ນນອນ; ລຸກຈາກຕຽງ	ຂ້ອຍຕື່ນນອນຫົກໂມງເຊົ້າ.
千	တစ်ထောင်	ဤစက်ဘီးသည် ယွမ်တစ်ထောင် ကျသည်။	មួយពាន់	កង់នេះតម្លៃមួយពាន់យ័ន។	ໜຶ່ງພັນ	ລົດຖີບນີ້ລາຄາໜຶ່ງພັນຢວນ.
晴	နေသာသည်; ကြည်လင်သည်	ယနေ့ နေသာသည်။	មានពន្លឺថ្ងៃ; មេឃស្រឡះ	ថ្ងៃនេះមានពន្លឺថ្ងៃ។	ແດດອອກ; ແຈ້ງ	ມື້ນີ້ແດດອອກ.
去年	မနှစ်က	မနှစ်က ကျွန်ုပ် ပေကျင်းတွင် ရှိခဲ့သည်။	ឆ្នាំមុន	ឆ្នាំមុនខ្ញុំនៅប៉េកាំង។	ປີກາຍ	ປີກາຍຂ້ອຍຢູ່ປັກກິ່ງ.
让	ခွင့်ပြုသည်; လုပ်စေသည်	အမေ ကျွန်ုပ်ကို စာလေ့လာခွင့် ပေးသည်။	អនុញ្ញាត; ឱ្យ	ម៉ាក់អនុញ្ញាតឱ្យខ្ញុំរៀន។	ອະນຸຍາດ; ໃຫ້	ແມ່ອະນຸຍາດໃຫ້ຂ້ອຍຮຽນ.
上班	အလုပ်သို့ သွားသည်	ကျွန်ုပ် ရှစ်နာရီတွင် အလုပ်သို့ သွားသည်။	ទៅធ្វើការ	ខ្ញុំទៅធ្វើការនៅម៉ោងប្រាំបី។	ໄປເຮັດວຽກ	ຂ້ອຍໄປເຮັດວຽກຕອນແປດໂມງ.
身体	ခန္ဓာကိုယ်; ကျန်းမာရေး	သူ၏ ကျန်းမာရေး ကောင်းသည်။	រាងកាយ; សុខភាព	សុខភាពរបស់គាត់ល្អ។	ຮ່າງກາຍ; ສຸຂະພາບ	ສຸຂະພາບຂອງລາວດີ.
生病	ဖျားသည်; နေမကောင်းဖြစ်သည်	သူ နေမကောင်း ဖြစ်သွားသည်။	ឈឺ	គាត់ឈឺហើយ។	ເຈັບປ່ວຍ	ລາວເຈັບປ່ວຍ.
生日	မွေးနေ့	ယနေ့သည် ကျွန်ုပ်၏ မွေးနေ့ ဖြစ်သည်။	ថ្ងៃកំណើត	ថ្ងៃនេះជាថ្ងៃកំណើតរបស់ខ្ញុំ។	ວັນເກີດ	ມື້ນີ້ແມ່ນວັນເກີດຂອງຂ້ອຍ.
时间	အချိန်	ကျွန်ုပ်တွင် အချိန် မရှိပါ။	ពេលវេលា	ខ្ញុំមិនមានពេលទេ។	ເວລາ	ຂ້ອຍບໍ່ມີເວລາ.
事情	ကိစ္စ; အလုပ်	ကျွန်ုပ် လုပ်စရာကိစ္စ ရှိသည်။	រឿង; កិច្ចការ	ខ្ញុំមានរឿងត្រូវធ្វើ។	ເລື່ອງ; ວຽກ	ຂ້ອຍມີເລື່ອງຕ້ອງເຮັດ.
手表	လက်ပတ်နာရီ	ဤလက်ပတ်နာရီသည် အသစ် ဖြစ်သည်။	នាឡិកាដៃ	នាឡិកាដៃនេះថ្មី។	ໂມງຂໍ້ມື	ໂມງຂໍ້ມືນີ້ໃໝ່.
手机	လက်ကိုင်ဖုန်း	ကျွန်ုပ်၏ လက်ကိုင်ဖုန်းသည် စားပွဲပေါ်တွင် ရှိသည်။	ទូរស័ព្ទដៃ	ទូរស័ព្ទដៃរបស់ខ្ញុំនៅលើតុ។	ໂທລະສັບມືຖື	ໂທລະສັບມືຖືຂອງຂ້ອຍຢູ່ເທິງໂຕະ.
送	ပို့သည်; လက်ဆောင်ပေးသည်	ကျွန်ုပ် သင့်ကို စာအုပ်တစ်အုပ် လက်ဆောင်ပေးသည်။	ផ្ញើ; ជូន	ខ្ញុំជូនសៀវភៅមួយក្បាលដល់អ្នក។	ສົ່ງ; ມອບໃຫ້	ຂ້ອຍມອບປຶ້ມໜຶ່ງເຫຼັ້ມໃຫ້ເຈົ້າ.
所以	ထို့ကြောင့်	ယနေ့ မိုးရွာနေသောကြောင့် ကျွန်ုပ် မသွားပါ။	ដូច្នេះ	ថ្ងៃនេះភ្លៀង ដូច្នេះខ្ញុំមិនទៅទេ។	ດັ່ງນັ້ນ	ມື້ນີ້ຝົນຕົກ ດັ່ງນັ້ນຂ້ອຍບໍ່ໄປ.
它	၎င်း; အဲဒါ	၎င်းသည် ကျွန်ုပ်၏ ကြောင် ဖြစ်သည်။	វា	វាជាឆ្មារបស់ខ្ញុំ។	ມັນ	ມັນແມ່ນແມວຂອງຂ້ອຍ.
踢足球	ဘောလုံးကန်သည်	သူတို့ ဘောလုံးကန်သည်။	លេងបាល់ទាត់	ពួកគេលេងបាល់ទាត់។	ຫຼິ້ນບານເຕະ	ພວກເຂົາຫຼິ້ນບານເຕະ.
题	မေးခွန်း; ခေါင်းစဉ်	ဤမေးခွန်း မမှန်ပါ။	សំណួរ; ប្រធានបទ	សំណួរនេះមិនត្រឹមត្រូវទេ។	ຄຳຖາມ; ຫົວຂໍ້	ຄຳຖາມນີ້ບໍ່ຖືກ.
跳舞	ကသည်	သူမ ကရတာ ကြိုက်သည်။	រាំ	នាងចូលចិត្តរាំ។	ເຕັ້ນລຳ; ຟ້ອນ	ນາງມັກເຕັ້ນລຳ.
外	အပြင်	သူ တံခါးအပြင်ဘက်တွင် ရှိသည်။	ក្រៅ; ខាងក្រៅ	គាត់នៅខាងក្រៅទ្វារ។	ຂ້າງນອກ	ລາວຢູ່ຂ້າງນອກປະຕູ.
完	ပြီးသည်; ပြီးစီးသည်	ကျွန်ုပ် လုပ်ပြီးပြီ။	ធ្វើរួច; បញ្ចប់	ខ្ញុំធ្វើរួចហើយ។	ສຳເລັດ; ຈົບ	ຂ້ອຍເຮັດສຳເລັດແລ້ວ.
玩	ကစားသည်; ပျော်သည်	ကလေး ကစားနေသည်။	លេង	ក្មេងកំពុងលេង។	ຫຼິ້ນ	ເດັກກຳລັງຫຼິ້ນ.
晚上	ညနေ; ည	ညနေတွင် ကျွန်ုပ် ရုပ်ရှင် ကြည့်သည်။	ពេលល្ងាច; យប់	ពេលល្ងាចខ្ញុំមើលភាពយន្ត។	ຕອນແລງ; ກາງຄືນ	ຕອນແລງຂ້ອຍເບິ່ງຮູບເງົາ.
