source_headword	KM	example_KM
military	យោធា	មូលដ្ឋានយោធាបានបិទកាលពីឆ្នាំមុន។
mineral	សារធាតុរ៉ែ	ដែកគឺជាសារធាតុរ៉ែដ៏សំខាន់។
minimum	អប្បបរមា	អាយុអប្បបរមាគឺដប់ប្រាំបីឆ្នាំ។
minister	រដ្ឋមន្ត្រី	រដ្ឋមន្ត្រីបានឆ្លើយសំណួរពិបាកៗ។
minor	តូចតាច	គ្រោះថ្នាក់នេះបណ្តាលឲ្យមានការខូចខាតតូចតាច។
minority	ភាគតិច	ភាគតិចបានប្រឆាំងនឹងច្បាប់ថ្មី។
mission	បេសកកម្ម	បេសកកម្មរបស់ពួកគេបានបញ្ចប់ដោយសុវត្ថិភាព។
mixed	លាយ	ព័ត៌មានទទួលបានប្រតិកម្មចម្រុះ។
modify	កែប្រែ	យើងអាចកែប្រែការរចនានៅពេលក្រោយបាន។
monitor	តាមដាន	គិលានុបដ្ឋាយិកានឹងតាមដានស្ថានភាពរបស់គាត់។
moral	សីលធម៌	សាច់រឿងមានមេរៀនសីលធម៌។
motor	ម៉ូទ័រ	ម៉ូទ័របានឈប់ដោយគ្មានការព្រមាន។
mount	ដំឡើង	ពួកគេដំឡើងកាមេរ៉ានៅក្បែរច្រកចូល។
multiple	ច្រើន	កត្តាជាច្រើនបណ្តាលឱ្យមានការពន្យារពេល។
multiply	គុណ	គុណចំនួននេះនឹងដប់។
mysterious	អាថ៌កំបាំង	ពន្លឺដ៏អាថ៌កំបាំងមួយបានលេចចេញនៅខាងក្រៅ។
neat	មានសណ្តាប់ធ្នាប់	តុរបស់នាងតែងតែមានសណ្តាប់ធ្នាប់ជានិច្ច។
nerve	សរសៃប្រសាទ	របួសនោះបានធ្វើឱ្យខូចសរសៃប្រសាទមួយ។
nevertheless	ទោះជាយ៉ាងណាក៏ដោយ	កិច្ចការនោះលំបាក។ទោះជាយ៉ាងណាក៏ដោយយើងបានបញ្ចប់។
nightmare	សុបិនអាក្រក់	ការធ្វើដំណើរនោះបានក្លាយជាសុបិនអាក្រក់។
notion	គំនិត	ច្រានចោលគំនិតដែលថាការផ្លាស់ប្តូរគឺមិនអាចទៅរួចទេ។
numerous	ជាច្រើន	ការសិក្សាជាច្រើនគាំទ្រគំនិតនេះ។
obey	គោរពតាម	អ្នកបើកបរត្រូវតែគោរពតាមផ្លាកសញ្ញា។
objective	គោលដៅ	គោលដៅរបស់យើងគឺកាត់បន្ថយកាកសំណល់។
obligation	កាតព្វកិច្ច	ឪពុកម្តាយមានកាតព្វកិច្ចការពារកូន។
observation	ការសង្កេត	ការសង្កេតរបស់គាត់បានផ្លាស់ប្តូរការពិភាក្សា។
observe	សង្កេត	អ្នកវិទ្យាសាស្ត្រសង្កេតមើលសត្វបក្សីនៅរៀងរាល់រដូវផ្ការីក។
obtain	ទទួលបាន	អ្នកត្រូវតែទទួលបានការអនុញ្ញាតជាលាយលក្ខណ៍អក្សរ។
occasionally	ជួនកាល	នាងធ្វើការពីផ្ទះជួនកាល។
offence	ការប្រមាថ	មតិយោបល់នោះបណ្តាលឱ្យមានការប្រមាថយ៉ាងធ្ងន់ធ្ងរ។
offend	ប្រមាថ	ខ្ញុំមិនមានបំណងប្រមាថនរណាម្នាក់ឡើយ។
offensive	ដែលប្រមាថ	ផ្ទាំងរូបភាពនោះមានពាក្យសម្តីដែលប្រមាថ។
opening	ឱកាសការងារ	ឱកាសការងារនោះបានទាក់ទាញបេក្ខជនជាច្រើន។
operate	ដំណើរការ	ម៉ាស៊ីនអាចដំណើរការដោយស្វ័យប្រវត្តិ។
opponent	គូប្រជែង	គូប្រជែងរបស់នាងបានរិះគន់គោលនយោបាយនេះ។
oppose	ប្រឆាំង	អ្នកស្រុកជាច្រើនប្រឆាំងនឹងផែនការនេះ។
opposed	ផ្ទុយគ្នា	ក្រុមទាំងនោះមានទស្សនៈផ្ទុយគ្នា។
opposition	ការប្រឆាំង	សំណើនោះប្រឈមនឹងការប្រឆាំងយ៉ាងខ្លាំង។
organ	សរីរាង្គ	បេះដូងគឺជាសរីរាង្គដ៏សំខាន់។
origin	ប្រភពដើម	ប្រភពដើមនៃអគ្គិភ័យនេះគឺមិនដឹងទេ។
otherwise	បើមិនដូច្នេះទេ	ចាកចេញឥឡូវនេះ។បើមិនដូច្នេះទេអ្នកនឹងយឺត។
outcome	លទ្ធផល	លទ្ធផលនោះធ្វើឱ្យមនុស្សគ្រប់គ្នាភ្ញាក់ផ្អើល។
outer	ខាងក្រៅ	ជញ្ជាំងខាងក្រៅត្រូវការការជួសជុល។
outline	គូសបញ្ជាក់	សូមគូសបញ្ជាក់អំពីអំណះអំណាងសំខាន់របស់អ្នក។
overall	សរុប	លទ្ធផលសរុបគឺវិជ្ជមាន។
owe	ជំពាក់	ខ្ញុំជំពាក់ការសុំទោសអ្នក។
pace	ល្បឿន	ដើរក្នុងល្បឿនថេរ។
panel	ក្រុមការងារ	ក្រុមការងារបានពិភាក្សាអំពីគោលនយោបាយអាកាសធាតុ។
parliament	សភា	សភាបានអនុម័តច្បាប់ថ្មី។
participant	អ្នកចូលរួម	អ្នកចូលរួមម្នាក់ៗបានចុះហត្ថលេខាលើទម្រង់។
partly	មួយផ្នែក	ការពន្យារពេលគឺជាកំហុសរបស់យើងមួយផ្នែក។
passage	អត្ថបទ	អានអត្ថបទមុននឹងឆ្លើយ។
pension1	ប្រាក់សោធននិវត្តន៍	ប្រាក់សោធននិវត្តន៍របស់គាត់ជួយគាំទ្រគាត់ក្រោយពេលចូលនិវត្តន៍។
permanent	ជាអចិន្ត្រៃយ៍	ពួកគេត្រូវការដំណោះស្រាយជាអចិន្ត្រៃយ៍។
permit	អនុញ្ញាត	ច្បាប់អនុញ្ញាតឱ្យមានការទស្សនាខ្លីៗ។
perspective	ទស្សនវិស័យ	ព្យាយាមមើលទស្សនវិស័យរបស់នាង។
phase	ដំណាក់កាល	គម្រោងនេះបានចូលដល់ដំណាក់កាលចុងក្រោយរបស់ខ្លួន។
phenomenon	បាតុភូត	បាតុភូតនេះកើតឡើងនៅក្នុងវប្បធម៌ជាច្រើន។
philosophy	ទស្សនវិជ្ជា	ទស្សនវិជ្ជារបស់នាងឱ្យតម្លៃលើសកម្មភាពជាក់ស្តែង។
pile	គំនរ	គំនរក្រដាសបានគ្របដណ្តប់លើតុ។
pitch	ទីលាន	ក្រុមនេះបានរៀបចំទីលានយ៉ាងប្រុងប្រយ័ត្ន។
plain	ច្បាស់លាស់	សេចក្តីណែនាំគឺច្បាស់លាស់ និងចំៗ។
pointed	ចាក់ដោត	គាត់បានបញ្ចេញមតិយ៉ាងចំៗ។
popularity	ប្រជាប្រិយភាព	អ្នកចម្រៀងទទួលបានប្រជាប្រិយភាពនៅលើអ៊ីនធឺណិត។
pose	បង្ក	សំណួរនេះអាចបង្កជាបញ្ហា។
possess	មាន	សិស្សតិចតួចណាស់ដែលមានជំនាញនោះ។
potential	សក្តានុពល	គំនិតនេះមានសក្តានុពលពិតប្រាកដ។
praise	ការសរសើរ	គ្រូបានផ្តល់ការសរសើរដោយស្មោះ។
pregnant	មានផ្ទៃពោះ	នាងមានផ្ទៃពោះប្រាំមួយខែហើយ។
preparation	ការរៀបចំ	ការរៀបចំល្អកាត់បន្ថយភាពតានតឹង។
presence	វត្តមាន	វត្តមានរបស់គាត់បានផ្លាស់ប្តូរបរិយាកាស។
preserve	អភិរក្ស	យើងត្រូវតែអភិរក្សអគារប្រវត្តិសាស្ត្រនេះ។
prime	ចម្បង	មូលហេតុចម្បងគឺការធ្វើផែនការមិនល្អ។
principle	គោលការណ៍	សេចក្តីសម្រេចនេះបានអនុវត្តតាមគោលការណ៍ច្បាស់លាស់មួយ។
priority	អាទិភាព	សុវត្ថិភាពគឺជាអាទិភាពទីមួយរបស់យើង។
privacy	ឯកជនភាព	អតិថិជនរំពឹងថានឹងមានឯកជនភាពនៅលើអ៊ីនធឺណិត។
procedure	នីតិវិធី	នីតិវិធីនេះចំណាយពេលសាមសិបនាទី។
proof	ភស្តុតាង	យើងត្រូវការភស្តុតាងមុនពេលចាត់វិធានការ។
proposal	សំណើ	សំណើនេះត្រូវការព័ត៌មានលម្អិតបន្ថែម។
propose	ស្នើ	ខ្ញុំស្នើដំណោះស្រាយផ្សេង។
prospect	ក្តីរំពឹង	ក្តីរំពឹងនៃការបរាជ័យបានធ្វើឱ្យពួកគេព្រួយបារម្ភ។
protection	ការការពារ	មួកសុវត្ថិភាពផ្តល់នូវការការពារជាមូលដ្ឋាន។
psychologist	អ្នកចិត្តសាស្រ្ត	អ្នកចិត្តសាស្រ្តបានពន្យល់ពីលទ្ធផលតេស្ត។
psychology	ចិត្តវិទ្យា	នាងសិក្សាចិត្តវិទ្យានៅសាកលវិទ្យាល័យ។
publication	ការបោះពុម្ពផ្សាយ	ការបោះពុម្ពផ្សាយបានទាក់ទាញចំណាប់អារម្មណ៍សាធារណៈជន។
pupil	សិស្ស	សិស្សម្នាក់ៗទទួលបានសៀវភៅសិក្សាថ្មីមួយ។
purchase	ទិញ	ពួកគេទិញគ្រឿងផ្គត់ផ្គង់ជារៀងរាល់ខែ។
pure	បរិសុទ្ធ	ទឹកគឺបរិសុទ្ធនិងត្រជាក់។
pursue	បន្ត	គាត់នឹងបន្តអាជីពជាគ្រូពេទ្យ។
rank	ឋានៈ	នាងមានឋានៈខ្ពស់។
rapid	រហ័ស	ប្រទេសនេះមានការរីកចម្រើនយ៉ាងឆាប់រហ័ស។
rapidly	យ៉ាងឆាប់រហ័ស	តម្លៃបានកើនឡើងយ៉ាងឆាប់រហ័សនៅឆ្នាំនេះ។
raw	ឆៅ	ចុងភៅបានរៀបចំបន្លែឆៅ។
realistic	ជាក់ស្តែង	កំណត់កាលបរិច្ឆេទកំណត់ជាក់ស្តែង។
reasonable	សមហេតុផល	នោះហាក់ដូចជាសំណួរសមហេតុផល។
recall	ចងចាំ	ខ្ញុំចងចាំពាក្យពិតប្រាកដរបស់គាត់។
recover	ជាសះស្បើយ	នាងនឹងជាសះស្បើយបន្ទាប់ពីការព្យាបាល។
reduction	ការកាត់បន្ថយ	ការកាត់បន្ថយបានសន្សំប្រាក់។
regard	ចាត់ទុក	មនុស្សជាច្រើនចាត់ទុកនាងថាជាមនុស្សស្មោះត្រង់។
regional	ថ្នាក់តំបន់	ការិយាល័យប្រចាំតំបន់បានបិទនៅថ្ងៃនេះ។
register	ចុះឈ្មោះ	សូមចុះឈ្មោះមុនសន្និសីទ។
regret	ស្តាយក្រោយ	ខ្ញុំសោកស្តាយចំពោះការសម្រេចចិត្តពីមុនរបស់ខ្ញុំ។
regulation	បទប្បញ្ញត្តិ	បទប្បញ្ញត្តិថ្មីនេះប៉ះពាល់ដល់អ្នកបើកបរទាំងអស់។
relatively	គួរសម	ការប្រឡងគឺងាយស្រួលគួរសម។
relevant	ដែលពាក់ព័ន្ធ	ជ្រើសរើសតែព័ត៌មានលម្អិតដែលពាក់ព័ន្ធប៉ុណ្ណោះ។
relief	ការធូរស្បើយ	ព័ត៌មាននេះបាននាំមកនូវការធូរស្បើយយ៉ាងខ្លាំង។
rely	ពឹងផ្អែក	កុមារពឹងផ្អែកលើការគាំទ្រពីមនុស្សពេញវ័យ。
remark	ការកត់សម្គាល់	ការកត់សម្គាល់របស់គាត់បានបញ្ចប់ការពិភាក្សា។
representative	អ្នកតំណាង	អ្នកតំណាងបានជួបកម្មករក្នុងស្រុក។
reputation	កេរ្តិ៍ឈ្មោះ	សណ្ឋាគារនេះមានកេរ្តិ៍ឈ្មោះល្អ។
requirement	តម្រូវការ	បទពិសោធន៍គឺជាតម្រូវការមូលដ្ឋាន។
rescue	សង្គ្រោះ	ពួកគេសង្គ្រោះមនុស្សពីទឹកជំនន់។
reserve	បម្រុងទុក	យើងបម្រុងទុកកន្លែងអង្គុយសម្រាប់ភ្ញៀវ។
resident	អ្នករស់នៅ	អ្នករស់នៅម្នាក់ៗទទួលបានសេចក្តីជូនដំណឹង។
resist	ទប់ទល់	ព្យាយាមទប់ទល់នឹងសម្ពាធ។
resolve	ដោះស្រាយ	ពួកគេបានដោះស្រាយជម្លោះដោយសន្តិវិធី។
resort	រមណីយដ្ឋាន	រមណីយដ្ឋានកោះនេះបានបើកនៅខែឧសភា។
retain	រក្សាទុក	ក្រុមហ៊ុនចង់រក្សាបុគ្គលិកទុក។
reveal	បង្ហាញ	របាយការណ៍នឹងបង្ហាញការពិត។
revolution	បដិវត្តន៍	បដិវត្តន៍បានផ្លាស់ប្តូរប្រទេសនេះ។
reward	រង្វាន់	ការខិតខំប្រឹងប្រែងស័ក្តិសមនឹងទទួលបានរង្វាន់។
rhythm	ចង្វាក់	បទចម្រៀងនេះមានចង្វាក់ថេរ។
rid	កម្ចាត់	កម្ចាត់ឯកសារចាស់ៗទាំងនោះចោល។
root	ឫសគល់	ឫសគល់នៃបញ្ហាគឺលុយ។
rub	ដុស	ដុសផ្ទៃដោយក្រណាត់។
rubber	កៅស៊ូ	កៅស៊ូបិទត្រាការពារការលេចធ្លាយ។
rural	ជនបទ	សាលារៀននៅជនបទជាច្រើនត្រូវការការគាំទ្រ។
rush	ប្រញាប់	កុំប្រញាប់ប្រញាល់នឹងការសម្រេចចិត្តនេះ។
satellite	ផ្កាយរណប	ផ្កាយរណបបានបញ្ជូនរូបភាពថ្មីៗ។
satisfied	ពេញចិត្ត	អតិថិជនមើលទៅហាក់ដូចជាពេញចិត្ត។
satisfy	បំពេញចិត្ត	ចម្លើយនោះមិនបានបំពេញចិត្តគាត់ទេ។
saving	ការសន្សំ	ការសន្សំសំចៃថាមពលកាត់បន្ថយការចំណាយប្រចាំខែ។
scale	ទំហំ	ទំហំនៃការខូចខាតគឺធំធេងណាស់។
scheme	គម្រោង	គម្រោងនេះជួយដល់កម្មករវ័យក្មេង។
scream	ស្រែក	ពួកគេបានឮសំឡេងស្រែកនៅខាងក្រៅ។
sector	វិស័យ	វិស័យបច្ចេកវិទ្យាកំពុងរីកចម្រើន។
secure	ធានាសុវត្ថិភាព	ចាក់សោទ្វារដើម្បីធានាសុវត្ថិភាព។
seek	ស្វែងរក	ពួកគេស្វែងរកដំបូន្មានពីអ្នកជំនាញ។
select	ជ្រើសរើស	ជ្រើសរើសជម្រើសល្អបំផុត។
selection	ជម្រើស	ហាងនេះផ្តល់ជូននូវជម្រើសយ៉ាងច្រើន។
self	ខ្លួនឯង	នាងបានបង្ហាញពីអត្តសញ្ញាណពិតរបស់នាង។
senior	ជាន់ខ្ពស់	វេជ្ជបណ្ឌិតជាន់ខ្ពស់ម្នាក់បានពិនិត្យអ្នកជំងឺ។
sensitive	រសើប	ប្រធានបទនេះគឺរសើបខ្លាំងណាស់។
sequence	លំដាប់	អនុវត្តតាមលំដាប់នៃជំហាន។
session	វគ្គ	វគ្គបណ្តុះបណ្តាលចាប់ផ្តើមនៅពេលថ្ងៃត្រង់។
settle	ដោះស្រាយ	ពួកគេបានដោះស្រាយការឈ្លោះប្រកែកគ្នាយ៉ាងលឿន។
severe	ធ្ងន់ធ្ងរ	ព្យុះនេះបានបង្កឱ្យមានទឹកជំនន់យ៉ាងធ្ងន់ធ្ងរ។
shade	ម្លប់	អង្គុយនៅក្នុងម្លប់។
shadow	ស្រមោល	ស្រមោលមួយបានឆ្លងកាត់បង្អួច។
shallow	រាក់	បឹងនេះរាក់នៅទីនេះ។
shame	ភាពខ្មាសអៀន	គាត់មានអារម្មណ៍ខ្មាសអៀនបន្ទាប់ពីបានកុហក។
shelter	ជម្រក	សាលារៀនបានផ្តល់ជម្រកសង្គ្រោះបន្ទាន់។
shock	ការតក់ស្លុត	ការសម្រេចចិត្តនោះគឺជាការតក់ស្លុតមួយ។
shocked	តក់ស្លុត	នាងមើលទៅហាក់ដូចជាតក់ស្លុតនឹងព័ត៌មាននេះ។
shooting	ការបាញ់ប្រហារ	ការបាញ់ប្រហារបានកើតឡើងនៅជិតស្ថានីយ៍។
shot	ការបាញ់	ការបាញ់ចុងក្រោយបានធ្វើឱ្យគ្រប់គ្នាភ្ញាក់ផ្អើល។
significant	សំខាន់	ការរកឃើញនេះគឺមានសារៈសំខាន់ណាស់។
significantly	យ៉ាងខ្លាំង	ការចំណាយបានកើនឡើងយ៉ាងខ្លាំងកាលពីឆ្នាំមុន។
silence	ភាពស្ងៀមស្ងាត់	បន្ទប់បានធ្លាក់ចូលទៅក្នុងភាពស្ងៀមស្ងាត់។
silk	សូត្រ	រ៉ូបនេះធ្វើពីសូត្រ។
sincere	ស្មោះត្រង់	សូមទទួលយកការថ្លែងអំណរគុណយ៉ាងស្មោះត្រង់របស់ខ្ញុំ។
slave	ទាសករ	ច្បាប់បានរំដោះទាសករគ្រប់រូប។
slide	រអិល	ក្មេងនោះបានចុះតាមរអិល។
slight	បន្តិចបន្តួច	មានការពន្យារពេលបន្តិចបន្តួច។
slip	រអិល	កុំរអិលនៅលើឥដ្ឋសើម។
slope	ជម្រាល	ផ្លូវនេះដើរតាមជម្រាលចោត។
solar	ពន្លឺព្រះអាទិត្យ	ផ្ទះនេះប្រើប្រាស់ថាមពលពន្លឺព្រះអាទិត្យ។
somewhat	រាង	ការណែនាំគឺរាងច្របូកច្របល់បន្តិច។
soul	ព្រលឹង	តន្ត្រីបានលើកស្ទួយព្រលឹងរបស់នាង។
specialist	ឯកទេស	គ្រូពេទ្យឯកទេសបានពិនិត្យអ្នកជំងឺ។
species	ប្រភេទ	ប្រភេទសត្វនេះរស់នៅក្បែរទន្លេ។
spiritual	ខាងវិញ្ញាណ	នាងបានរៀបរាប់ពីបទពិសោធន៍ខាងវិញ្ញាណមួយ។
split	បែងចែក	ពួកគេបានបែងចែកវិក័យប័ត្រស្មើគ្នា។
sponsor	ឧបត្ថម្ភ	ក្រុមហ៊ុននឹងឧបត្ថម្ភកម្មវិធីនេះ។
stable	ស្ថិរភាព	អ្នកជំងឺមានស្ថិរភាព។
stare	សម្លឹង	កុំសម្លឹងមើលមនុស្សចម្លែក។
status	ស្ថានភាព	ស្ថានភាពរបស់គាត់បានផ្លាស់ប្តូរត្រឹមមួយយប់។
steady	ថេរ	រក្សាល្បឿនឱ្យថេរ។
steel	ដែកថែប	ស្ពាននេះធ្វើពីដែកថែប។
steep	ចោត	ភ្នំនេះចោត។
sticky	ស្អិត	ឥដ្ឋមានអារម្មណ៍ថាស្អិត។
stiff	រឹង	ស្មាគាត់មានអារម្មណ៍ថារឹង។
stock	ស្តុក	ហាងនេះមិនមានស្តុកនៅសល់ទេ។
stream	អូរ	អូរតូចមួយហូរកាត់វាល។
stretch	សន្ធឹង	សន្ធឹងជើងរបស់អ្នកបន្ទាប់ពីការហោះហើរ។
strict	តឹងរ៉ឹង	សាលារៀនមានច្បាប់តឹងរ៉ឹង។
strike	ធ្វើកូដកម្ម	កម្មករអាចនឹងធ្វើកូដកម្មនៅថ្ងៃស្អែក។
struggle	តស៊ូ	គ្រួសារជាច្រើនតស៊ូជាមួយថ្លៃឈ្នួលផ្ទះ។
submit	ដាក់ស្នើ	ដាក់ស្នើទម្រង់បែបបទត្រឹមថ្ងៃសុក្រ។
sum	ចំនួនទឹកប្រាក់	ចំនួនទឹកប្រាក់គឺខ្ពស់ជាងការរំពឹងទុក។
surgery	ការវះកាត់	ការវះកាត់មានរយៈពេលពីរម៉ោង។
surround	ព័ទ្ធជុំវិញ	ដើមឈើខ្ពស់ៗព័ទ្ធជុំវិញផ្ទះ។
surrounding	ជុំវិញ	តំបន់ជុំវិញគឺស្ងប់ស្ងាត់។
suspect	សង្ស័យ	ប៉ូលីសសង្ស័យបុរសក្នុងស្រុកម្នាក់។
swear	ជេរ	កុំជេរនៅក្នុងថ្នាក់។
sweep	បោស	បោសសម្អាតឥដ្ឋមុនពេលភ្ញៀវមកដល់។
sympathy	ការអាណិតអាសូរ	នាងបានបង្ហាញការអាណិតអាសូរដល់ជនរងគ្រោះ។
tale	រឿង	លោកយាយបានប្រាប់រឿងចម្លែកមួយ។
tank	ធុង	ធុងមានផ្ទុកទឹកស្អាត។
tear1	ហែក	កុំហែកឯកសារ។
tear2	ទឹកភ្នែក	ទឹកភ្នែកមួយតំណក់បានស្រក់ចុះមកលើថ្ពាល់របស់នាង។
temporary	បណ្តោះអាសន្ន	ការិយាល័យនេះគឺជាជម្រកបណ្តោះអាសន្ន។
therapy	ការព្យាបាល	ការព្យាបាលដោយចលនាបានជួយឱ្យគាត់ជាសះស្បើយ។
threat	ការគំរាមកំហែង	សារនោះមានការគំរាមកំហែងមួយ។
threaten	គំរាមកំហែង	ព្យុះអាចគំរាមកំហែងដល់ដំណាំ។
thus	ដូច្នេះ	ផ្លូវត្រូវបានបិទ។ដូច្នេះហើយយើងរង់ចាំ។
tone	សំឡេង	សំឡេងរបស់គាត់ស្តាប់ទៅស្ងប់ស្ងាត់។
tough	ពិបាក	បទសម្ភាសន៍នេះគឺពិបាកណាស់។
transfer	ផ្ទេរ	ពួកគេផ្ទេរទិន្នន័យរៀងរាល់យប់។
transform	ផ្លាស់ប្តូរ	គោលការណ៍ថ្មីនឹងផ្លាស់ប្តូរសេវាកម្ម។
transition	ការផ្លាស់ប្តូរ	ការផ្លាស់ប្តូរនេះចំណាយពេលជាច្រើនខែ។
trial	សវនាការ	សវនាការចាប់ផ្តើមនៅសប្តាហ៍ក្រោយ។
tropical	តំបន់ត្រូពិក	ព្យុះតំបន់ត្រូពិកគឺជារឿងធម្មតានៅទីនេះ។
truly	ពិតជា	ខ្ញុំពិតជាកោតសរសើរចំពោះជំនួយរបស់អ្នក។
trust	ទំនុកចិត្ត	ទំនុកចិត្តត្រូវការពេលវេលាដើម្បីកសាង។
tune	បទភ្លេង	ក្រុមតន្ត្រីបានលេងបទភ្លេងដ៏រីករាយមួយ។
tunnel	ផ្លូវរូងក្រោមដី	ផ្លូវរូងក្រោមដីនេះរត់នៅក្រោមទន្លេ។
ultimately	ទីបំផុត	ទីបំផុតផែនការបានជោគជ័យ។
unconscious	សន្លប់	អ្នកជំងឺនៅតែសន្លប់។
unexpected	មិននឹកស្មានដល់	ការពន្យារពេលគឺជារឿងមិននឹកស្មានដល់។
unique	តែមួយគត់	ការរចនានីមួយៗគឺមានតែមួយគត់។
universe	សកលលោក	សកលលោកកំពុងពង្រីក។
unknown	មិនស្គាល់	ឈ្មោះនៅតែមិនស្គាល់។
upper	ខាងលើ	ធ្នើរខាងលើគឺទទេ។
upwards	ឡើងលើ	ផ្សែងហុយឡើងលើ។
urban	ទីក្រុង	តំបន់ទីក្រុងត្រូវការការដឹកជញ្ជូនប្រសើរជាងមុន។
urge	ជំរុញ	វេជ្ជបណ្ឌិតជំរុញឱ្យប្រជាជនធ្វើលំហាត់ប្រាណ។
vary	ប្រែប្រួល	តម្លៃប្រែប្រួលទៅតាមតំបន់។
vast	ធំទូលាយ	វាលខ្សាច់គ្របដណ្តប់លើផ្ទៃដីដ៏ធំទូលាយ។
venue	ទីកន្លែង	ទីកន្លែងនេះផ្ទុកមនុស្សបានប្រាំរយនាក់។
via	តាមរយៈ	ផ្ញើឯកសារតាមរយៈអ៊ីមែល។
