source_headword	LV	example_LV
mathematics	matemātika	Matemātika ir mans mīļākais priekšmets.
maths	matemātika	Matemātika man ir grūta.
matter	būt svarīgi	Tam nav nozīmes.
may modal	drīkst; var	Tu drīksti tagad iet prom.
media	mediji	Mediji atspoguļoja stāstu.
medical	medicīnisks	Viņai vajag medicīnisku palīdzību.
medicine	zāles	Lieto šīs zāles pēc pusdienām.
memory	atmiņa	Mana atmiņa ir laba.
mention	pieminēt	Nepiemini manu vārdu.
metal	metāls; metāla	Vārti ir no metāla.
method	metode	Šī metode darbojas labi.
middle	vidus	Stāvi vidū.
might modal	varētu	Vēlāk varētu līt.
mind	prāts; pārdomāt	Es pārdomāju.
mine (belongs to me)	mans; mana	Šī grāmata ir mana.
mirror	spogulis	Paskaties spogulī.
missing	pazudis	Manas atslēgas ir pazudušas.
mobile	mobilais tālrunis	Mans mobilais tālrunis ir uz galda.
monkey	pērtiķis	Pērtiķis uzkāpa kokā.
moon	mēness	Mēness ir spožs.
mostly	pārsvarā	Klase pārsvarā ir klusa.
motorcycle	motocikls	Viņš brauc ar motociklu.
movement	kustība	Es redzēju kustību kokos.
musical	muzikāls; mūzikls	Šī ir muzikāla filma.
musician	mūziķis	Mūziķis spēlēja ģitāru.
myself	pats; pati	Es pats to izgatavoju.
narrow	šaurs	Ceļš ir šaurs.
national	valsts; nacionāls	Tie ir valsts svētki.
nature	daba	Es mīlu dabu.
nearly	gandrīz	Mēs gandrīz esam klāt.
necessary	nepieciešams	Vai tas ir nepieciešams?
neck	kakls	Man sāp kakls.
neither	neviens no diviem	Neviena atbilde nav pareiza.
nervous	nervozs	Viņa jūtas nervoza.
network	tīkls	Tīkls nedarbojas.
noise	troksnis	Es dzirdēju skaļu troksni.
noisy	trokšņains	Iela ir trokšņaina.
none	neviens	Neviens no viņiem neatnāca.
normal	normāls	Tas ir normāli.
normally	parasti	Es parasti pamostos agri.
notice	pamanīt	Vai tu pamanīji zīmi?
novel	romāns	Viņa uzrakstīja romānu.
nowhere	nekur	Nav kur sēdēt.
nut	rieksts	Rieksts ir ciets.
ocean	okeāns	Okeāns ir dziļš.
offer	piedāvājums	Es pieņēmu piedāvājumu.
officer	amatpersona	Amatpersona pārbaudīja manu biļeti.
oil	eļļa	Pievieno eļļu pannā.
onto	uz	Noliec to uz plaukta.
opportunity	iespēja	Šī ir laba iespēja.
option	iespēja; variants	Izvēlies labāko variantu.
ordinary	parasts	Tā bija parasta diena.
organization	organizācija	Organizācija palīdz studentiem.
organize	sakārtot	Lūdzu, sakārto failus.
original	oriģināls; sākotnējs	Saglabā oriģinālo čeku.
ourselves	paši; pašas	Mēs paši pagatavojām vakariņas.
oven	krāsns	Krāsns ir karsta.
owner	īpašnieks	Īpašnieks atvēra veikalu.
pack	sakravāt; paka	Sakrāmē somu tagad.
pain	sāpes	Es jūtu sāpes mugurā.
painter	krāsotājs; gleznotājs	Krāsotājs pabeidza sienu.
palace	pils	Pils ir veca.
pants	bikses	Šīs bikses ir pārāk garas.
parking	autostāvvieta; stāvvieta	Šeit stāvvieta ir sarežģīta.
particular	konkrēts	Man vajag konkrētu grāmatu.
pass	padot	Padod man sāli.
passenger	pasažieris	Katram pasažierim vajag biļeti.
patient	pacietīgs	Esi pacietīgs ar bērniem.
pattern	raksts; paraugs	Šis raksts ir vienkāršs.
peace	miers	Mēs visi gribam mieru.
penny	penss; monēta	Es atradu monētu.
per	uz	Biļetes maksā desmit dolārus uz cilvēku.
per cent	procents	Pieci procenti ir maz.
perform	uzstāties	Grupa šovakar uzstāsies.
perhaps	varbūt	Varbūt viņa ir mājās.
permission	atļauja	Vispirms pajautā atļauju.
personality	personība	Viņam ir draudzīga personība.
pet	mājdzīvnieks	Mans mājdzīvnieks ir kaķis.
petrol	benzīns	Automašīnai vajag benzīnu.
physical	fizisks	Fiziski vingrinājumi palīdz veselībai.
physics	fizika	Fizika ir grūta.
pick	izvēlēties	Izvēlies vienu kartīti.
pilot	pilots	Pilots runāja skaidri.
planet	planēta	Zeme ir planēta.
plastic	plastmasa; plastmasas	Šī pudele ir no plastmasas.
plate	šķīvis	Uzliec ēdienu uz šķīvja.
platform	perons; platforma	Gaidi uz otrā perona.
pleased	priecīgs	Priecājos ar tevi iepazīties.
pocket	kabata	Biļete ir manā kabatā.
polite	pieklājīgs	Esi pieklājīgs pret visiem.
pollution	piesārņojums	Piesārņojums kaitē okeānam.
pop	popmūzika	Man patīk popmūzika.
population	iedzīvotāju skaits	Iedzīvotāju skaits pieaug.
position	pozīcija; stāvoklis	Maini savu pozīciju.
possession	īpašums	Šis gredzens ir mans īpašums.
possibility	iespēja	Pastāv lietus iespēja.
poster	plakāts	Pieliec plakātu pie sienas.
power	elektrība; jauda	Datoram vajag elektrību.
predict	prognozēt	Mēs nevaram prognozēt laikapstākļus.
president	prezidents	Prezidents teica runu.
prevent	novērst	Mazgā rokas, lai novērstu slimību.
print	drukāt	Izdrukā dokumentu.
printer	printeris	Printeris ir salūzis.
prison	cietums	Viņš nonāca cietumā.
prize	balva	Viņa ieguva balvu.
process	process	Process prasa laiku.
produce	ražot	Saimniecības ražo pārtiku.
professional	profesionāls	Viņa ir profesionāla dejotāja.
professor	profesors	Profesors atbildēja uz jautājumiem.
profile	profils	Atjaunini savu profilu.
program	programma	Programma sākas tagad.
progress	progress	Mēs šodien panācām progresu.
promise	solījums	Turi savu solījumu.
pronounce	izrunāt	Lūdzu, izrunā šo vārdu.
protect	aizsargāt	Aizsargā savas acis.
provide	nodrošināt	Viņi nodrošina bezmaksas ūdeni.
pub	krogs	Mēs satikāmies krogā.
public	publisks	Parks ir publisks.
publish	publicēt; izdot	Viņi izdod žurnālu.
pull	vilkt	Pavelc durvis.
purpose	mērķis	Kāds ir mērķis?
push	spiest	Nospied pogu.
quality	kvalitāte	Kvalitāte ir augsta.
quantity	daudzums	Pārbaudi daudzumu.
queen	karaliene	Karaliene pamāja.
quietly	klusi	Runā klusi.
race (competition)	sacensības	Sacensības drīz sāksies.
railway	dzelzceļš	Dzelzceļš ir slēgts.
raise	pacelt	Pacel roku.
rate	cena; likme	Viesnīcas cena ir augsta.
rather	diezgan	Es esmu diezgan noguris.
reach	aizsniegt	Vai vari aizsniegt plauktu?
react	reaģēt	Kā viņš reaģēja?
realize	saprast	Es saprotu savu kļūdu.
receive	saņemt	Vai tu saņēmi manu ziņu?
recent	nesens	Šī ir nesena fotogrāfija.
recently	nesen	Es nesen pārcēlos šurp.
reception	pieņemšana	Pieņemšana ir pirmdien.
recipe	recepte	Šī recepte ir viegla.
recognize	atpazīt	Es atpazīstu to dziesmu.
recommend	ieteikt	Es iesaku šo grāmatu.
record	ieraksts; uzskaite	Saglabā maksājumu uzskaiti.
recording	ieraksts	Ieraksts skan skaidri.
recycle	pārstrādāt	Pārstrādā papīru un plastmasu.
reduce	samazināt	Samazini karstumu.
refer	atsaukties; skatīt	Skaties otrajā lapā.
refuse1	atteikties	Es atsakos melot.
region	reģions	Šis reģions ir auksts.
regular	pastāvīgs; regulārs	Viņš ir pastāvīgs klients.
relationship	attiecības	Viņu attiecības ir stipras.
remove	noņemt	Novelc kurpes.
repair	salabot	Salabo velosipēdu šodien.
replace	nomainīt	Nomaini veco bateriju.
reply	atbildēt	Lūdzu, atbildi drīz.
reporter	reportieris	Reportieris pierakstīja piezīmes.
request	lūgums	Es izteicu lūgumu.
research	pētīt	Mēs pētām vietējo vēsturi.
researcher	pētnieks	Pētnieks pārbaudīja datus.
respond	atbildēt	Lūdzu, atbildi šodien.
response	atbilde	Viņas atbilde bija ātra.
rest (remaining part)	pārējais	Apēd pārējo vēlāk.
rest (sleep/relax)	atpūsties	Tev vajag atpūsties.
review	pārskatīt	Pārskati savas piezīmes šovakar.
ring1	gredzens	Viņa nēsāja zelta gredzenu.
ring2	zvanīt	Piezvani man pēc pusdienām.
rise	celties; pieaugt	Cenas katru gadu pieaug.
rock (stone)	akmens	Akmens ir smags.
