source_headword	LT	example_LT
regulator	reguliuotojas	Reguliuotojas skyrė baudą įmonei.
regulatory	reguliavimo	Reguliavimo institucijos patvirtinimas užtruko kelis mėnesius.
rehabilitation	reabilitacija	Reabilitacija padėjo jam vėl vaikščioti.
reign	valdymas	Karaliaus valdymas truko dešimtmečius.
rejection	atmetimas	Atmetimas pakenkė jos pasitikėjimui savimi.
relevance	aktualumas	Duomenų aktualumas yra ribotas.
reliability	patikimumas	Patikimumas yra svarbus avarines sistemas.
reluctant	nenorintis	Jis nenorėjo kalbėti.
remainder	likutis	Likutis atiteko labdarai.
remains	palaikai	Palaikai buvo atidžiai ištirti.
remedy	priemonė	Įstatymas numato teisinę priemonę.
reminder	priminimas	El. laiškas buvo naudingas priminimas.
removal	pašalinimas	Kliūčių pašalinimas padėjo prekybai.
render	padaryti	Dėl klaidos sutartis tapo negaliojanti.
renew	atnaujinti	Greitai atnaujinkite savo pasą.
renowned	garsus	Ji garsi savo tyrimais.
rental	nuoma	Į nuomą įskaičiuotas draudimas.
replacement	pakaitalas	Pakaitinė detalė atkeliavo šiandien.
reportedly	pranešama	Pranešama, kad ministras vakar atsistatydino.
representation	atstovavimas	Sąžiningas atstovavimas išlieka svarbus.
reproduce	daugintis	Šie augalai greitai dauginasi.
reproduction	reprodukcija	Skaitmeninė reprodukcija pagerino prieigą.
republic	respublika	Respublikoje vyko rinkimai.
resemble	būti panašiam	Abu dizainai labai panašūs vienas į kitą.
reside	gyventi	Jie gyvena netoli sienos.
residence	rezidencija	Jo oficiali rezidencija yra saugoma.
residential	gyvenamasis	Šis rajonas daugiausia yra gyvenamasis.
residue	likutis	Valiklis paliko lipnų likutį.
resignation	atsistatydinimas	Jos atsistatydinimas šokiravo valdybą.
resistance	pasipriešinimas	Pasipriešinimas pokyčiams buvo stiprus.
respective	atitinkamas	Jie grįžo į savo atitinkamus biurus.
respectively	atitinkamai	Rezultatai buvo atitinkamai 80 ir 90.
restoration	restauravimas	Pastato restauravimas truko ne vienerius metus.
restraint	santūrumas	Policija parodė santūrumą.
resume	atnaujinti	Užsiėmimai atsinaujins kitą savaitę.
retreat	atsitraukimas	Kariuomenė pradėjo atsitraukimą.
retrieve	atgauti	Ji atgavo failą.
revelation	apreiškimas	Atskleidimas pakenkė jo reputacijai.
revenge	kerštas	Jis norėjo keršto už įžeidimą.
reverse	panaikinti	Teismas panaikino sprendimą.
revival	atgimimas	Miestas patyrė ekonominį atgimimą.
revive	atgaivinti	Festivalis padėjo atgaivinti vietines tradicijas.
revolutionary	revoliucinis	Išradimas buvo revoliucinis.
rhetoric	retorika	Jo retorika skambėjo agresyviai.
rifle	šautuvas	Šautuvas buvo saugiai laikomas.
riot	riaušės	Riaušės truko kelias valandas.
rip	perplėšti	Atsargiai perplėškite popierių.
ritual	ritualas	Ritualas žymi derliaus nuėmimą.
robust	tvirtas	Sistema yra tvirta.
rock	sukrėsti	Sprogimas sukrėtė kaimą.
rod	strypas	Užuolaida kaba ant strypo.
rotate	pasukti	Lėtai pasukite rankenėlę.
rotation	sėjomaina	Sėjomaina apsaugo dirvožemį.
ruling	nutartis	Teismas priėmė nutartį.
rumour	gandas	Gandas greitai pasklido.
sack	atleisti	Valdyba gali atleisti trenerį.
sacred	šventas	Šventykla yra šventa.
sacrifice	pasiaukojimas	Tėvai dažnai pasiaukoja.
saint	šventasis	Bažnyčia pagerbia vietinį šventąjį.
sake	labas	Jis liko dėl jos.
sanction	sankcija	Sankcija paveikė tarptautinę prekybą.
say	balso teisė	Darbuotojai turėjo balso teisę sudarant tvarkaraštį.
scattered	išmėtytas	Išmėtyti popieriai uždengė stalą.
sceptical	skeptiškas	Ji liko skeptiška dėl teiginio.
scope	apimtis	Projekto apimtis išsiplėtė.
screw	varžtas	Atsargiai priveržkite varžtą.
scrutiny	nagrinėjimas	Sandoris buvo viešai nagrinėjamas.
seal	užklijuoti	Prieš išsiųsdami užklijuokite voką.
secular	pasaulietinis	Mokykla laikosi pasaulietinės mokymo programos.
seemingly	iš pažiūros	Užduotis atrodė iš pažiūros paprasta.
segment	segmentas	Paskutinis segmentas buvo trumpesnis.
seize	konfiskuoti	Policija konfiskavo dokumentus.
seldom	retai	Ji retai praleidžia pamokas.
selective	selektyvus	Programa yra labai selektyvi.
senator	senatorius	Senatorius palaikė įstatymo projektą.
sensation	sensacija	Atradimas sukėlė sensaciją.
sensitivity	jautrumas	Šis klausimas reikalauja jautrumo.
sentiment	nuotaika	Visuomenės nuotaika greitai pasikeitė.
separation	išsiskyrimas	Išsiskyrimas buvo sunkus.
serial	serijos	Trūksta serijos numerio.
settlement	susitarimas	Susitarimas užbaigė ginčą.
set-up	sąranka	Sąranka užtruko visą rytą.
sexuality	seksualumas	Kursas aptaria tapatybę ir seksualumą.
shareholder	akcininkas	Akcininkas apklausė valdybą.
shatter	sugriauti	Naujiena sugriovė jo pasitikėjimą.
shed	panaikinti	Įmonė panaikins darbo vietas.
sheer	grynas	Vien tik dydis visus nustebino.
shipping	siuntimas	Siuntimo išlaidos padidėjo.
shoot	fotosesija	Fotosesija baigėsi anksčiau.
shrink	susitraukti	Marškiniai gali susitraukti.
shrug	gūžtelėti	Ji šiek tiek gūžtelėjo pečiais.
sigh	atsidūsėti	Jis su palengvėjimu atsiduso.
simulate	imituoti	Programinė įranga gali imituoti eismą.
simulation	simuliacija	Simuliacija prognozavo potvynį.
simultaneously	vienu metu	Du pavojaus signalai nuskambėjo vienu metu.
sin	nuodėmė	Puikybė laikoma nuodėme.
situated	įsikūręs	Viešbutis įsikūręs miesto centre.
sketch	eskizas	Ji nupiešė greitą eskizą.
skip	praleisti	Nepraleiskite pusryčių.
slam	užtrenkti	Jis gali užtrenkti duris.
slap	trenkti	Nedaužykite per stalą.
slavery	vergija	Vergija suformavo regiono istoriją.
slot	laiko tarpsnis	Užsisakykite laiko tarpsnį internetu.
smash	sudaužyti	Stiklinė sudužo ant grindų.
snap	nulūžti	Šaka nulūžo vėjyje.
soak	mirkyti	Mirkyti pupeles per naktį.
soar	sparčiai kilti	Kuro kainos gali smarkiai išaugti.
socialist	socialistinis	Partija palaiko socialistinę politiką.
sole	vienintelis	Jis buvo vienintelis išgyvenęs.
solely	tik	Sprendimas buvo tik jo.
solicitor	advokatas	Advokatas paruošė sutartį.
solidarity	solidarumas	Darbuotojai išreiškė solidarumą.
solo	solinis	Ji išleido solinį albumą.
sound	pagrįstas	Planas yra pagrįstas ir praktiškas.
sovereignty	suverenitetas	Sutartis apsaugojo nacionalinį suverenitetą.
spam	šlamštas	Šlamštas užpildė pašto dėžutę.
span	driektis	Tiltas driekiasi per upę.
spark	sukelti	Maža pastaba sukėlė diskusijas.
specialized	specializuotas	Klinika teikia specializuotą pagalbą.
specification	specifikacija	Dizainas atitinka visas specifikacijas.
specimen	pavyzdys	Pavyzdys buvo saugiai saugomas.
spectacle	reginys	Paradas buvo ryškus reginys.
spectrum	spektras	Nuomonės apima platų spektrą.
spell	laikotarpis	Sausros laikotarpis truko savaites.
sphere	sfera	Politika įžengė į kultūrinę sferą.
spin	suktis	Ratai pradėjo suktis.
spine	stuburas	Trauma paveikė jo stuburą.
spotlight	dėmesio centras	Skandalas jį pastatė į dėmesio centrą.
spouse	sutuoktinis	Jos sutuoktinis dalyvavo ceremonijoje.
spy	šnipas	Šnipas siuntė užkoduotus pranešimus.
squad	būrys	Gelbėtojų būrys atvyko greitai.
squeeze	suspausti	Švelniai suspauskite rankeną.
stab	dūris	Ataskaitoje buvo aprašyta durtinė žaizda.
stability	stabilumas	Politika atnešė stabilumą.
stabilize	stabilizuoti	Vaistas padėjo jį stabilizuoti.
stake	dalis	Investuotojai čia turi savo dalį.
standing	padėtis	Jos padėtis partijoje išaugo.
stark	ryškus	Rezultatai parodė ryškų kontrastą.
statistical	statistinis	Tyrime naudoti statistiniai metodai.
steer	pakreipti	Jis bandė pakreipti diskusiją.
stem	stiebas	Stiebas nulūžo per audrą.
stereotype	stereotipas	Filmas paneigė stereotipą.
stimulus	stimulas	Paketas suteikė ekonominį stimulą.
stir	maišyti	Lėtai maišykite padažą.
storage	saugojimas	Objektas siūlo saugų sandėliavimą.
straightforward	aiškus	Instrukcijos buvo aiškios.
strain	įtampa	Ilgas vėlavimas sukėlė įtampą.
strand	sruoga	Nukrito plaukų sruoga.
strategic	strateginis	Įmonė padarė strateginę investiciją.
strip (long narrow piece)	juostelė	Atkirpkite siaurą popieriaus juostelę.
strip (remove clothes/a layer)	pašalinti	Atsargiai pašalinkite senus dažus.
strive	siekti	Jie siekia tobulumo.
structural	struktūrinis	Tiltas turi struktūrinių pažeidimų.
stumble	suklupti	Jis suklupo ant laiptų.
stun	priblokšti	Naujiena gali priblokšti žmones.
submission	pateikimas	Pateikimo terminas baigėsi.
subscriber	prenumeratorius	Kiekvienas prenumeratorius gauna atnaujinimus.
subscription	prenumerata	Prenumerata atsinaujina automatiškai.
subsidy	subsidija	Subsidija sumažino degalų kainas.
substantial	didelis	Projektui reikia didelio finansavimo.
substantially	gerokai	Kaina gerokai išaugo.
substitute	pakaitalas	Naudokite pieną kaip pakaitalą.
substitution	pakeitimas	Pakeitimas pakeitė receptą.
subtle	subtilus	Paveikslas turi subtilių detalių.
suburban	priemiesčio	Jie persikėlė į priemiesčio rajoną.
succession	seka	Po krizės sekė nesėkmių virtinė.
successive	nuoseklus	Viena po kitos ėjusios vyriausybės ignoravo problemą.
successor	įpėdinis	Įpėdinis pradės dirbti pirmadienį.
suck	siurbti	Mašina gali siurbti dulkes.
sue	paduoti į teismą	Ji nusprendė paduoti įmonę į teismą.
suicide	savižudybė	Savižudybių prevencijai reikia ilgalaikio finansavimo.
suite	liukso numeris	Iš viešbučio liukso numerio matėsi upė.
summit	viršūnių susitikimas	Lyderiai susitiko viršūnių susitikime.
superb	puikus	Pasirodymas buvo puikus.
superior	pranašesnis	Naujasis modelis yra pranašesnis.
supervise	prižiūrėti	Ji prižiūrės stažuotojus.
supervision	priežiūra	Vaikams reikia suaugusiųjų priežiūros.
supervisor	vadovas	Pirmiausia paklauskite savo vadovo.
supplement	priedas	Ataskaitoje yra priedas.
supportive	palaikantis	Jos šeima buvo labai palaikanti.
supposedly	tariamai	Failas buvo tariamai ištrintas.
suppress	nuslopinti	Režimas bandė nuslopinti protestus.
supreme	aukščiausias	Aukščiausiasis teismas išnagrinėjo bylą.
surge	šuolis	Staigus šuolis sugadino įrangą.
surgical	chirurginis	Pacientui reikia chirurginio gydymo.
surplus	perteklius	Sandėlyje yra perteklius.
surrender	pasiduoti	Kareiviai sutiko pasiduoti.
surveillance	stebėjimas	Stebėjimo kameros užfiksavo įėjimą.
suspension	sustabdymas	Sustabdymas truko dvi savaites.
suspicion	įtarimas	Jo elgesys sukėlė įtarimą.
suspicious	įtartinas	Pakuotė atrodė įtartinai.
sustain	palaikyti	Projektas gali išlaikyti vietines darbo vietas.
swing	siūbuoti	Durys pradėjo siūbuoti.
sword	kardas	Kardas kabėjo ant sienos.
symbolic	simbolinis	Gestas buvo simbolinis.
syndrome	sindromas	Sindromas veikia atmintį.
synthesis	sintezė	Skyriuje pateikiama sintezė.
systematic	sistemingas	Peržiūra buvo sisteminga.
tactic	taktika	Taktika greitai žlugo.
tactical	taktinis	Komanda padarė taktinį pakeitimą.
taxpayer	mokesčių mokėtojas	Mokesčių mokėtojų pinigai finansavo tiltą.
tempt	vilioti	Pasiūlymas gali vilioti investuotojus.
tenant	nuomininkas	Nuomininkas sumokėjo nuomą anksčiau.
tender	švelnus	Ji nusišypsojo švelnia šypsena.
tenure	kadencija	Jo kadencija truko šešerius metus.
terminal	mirtinas	Pacientas sirgo mirtina liga.
terminate	nutraukti	Įmonė gali nutraukti sutartį.
terrain	reljefas	Reljefas buvo sudėtingas.
terrific	nuostabus	Vaizdas buvo nuostabus.
testify	liudyti	Ji sutiko liudyti.
testimony	parodymai	Jo parodymai buvo išsamūs.
texture	tekstūra	Audinys turi šiurkščią tekstūrą.
thankfully	laimei	Laimei, niekas nenukentėjo.
theatrical	teatrališkas	Kalba skambėjo teatrališkai.
theology	teologija	Jis studijavo teologiją universitete.
theoretical	teorinis	Modelis yra grynai teorinis.
thereafter	po to	Po to taisyklės pasikeitė.
thereby	tuo būdu	Pakeitimas sumažino išlaidas, taip išsaugant darbo vietas.
thoughtful	apgalvotas	Jos atsakymas buvo apgalvotas.
thought-provoking	verčiantis susimąstyti	Straipsnis vertė susimąstyti.
thread	siūlas	Siūlas lengvai nutrūko.
threshold	slenkstis	Balsavimas peržengė slenkstį.
thrilled	sužavėtas	Ji buvo sužavėta naujienos.
thrive	klestėti	Smulkusis verslas čia gali klestėti.
tide	potvynis	Potvynis greitai pakilo.
tighten	priveržti	Tvirtai užveržkite dangtelį.
timber	mediena	Namui naudojama vietinė mediena.
timely	savalaikis	Įspėjimas buvo savalaikis.
tobacco	tabakas	Tabako pardavimai sumažėjo.
tolerance	tolerancija	Politika skatina toleranciją.
tolerate	toleruoti	Mes negalime toleruoti piktnaudžiavimo.
toll	nuostolis	Audra padarė didelių nuostolių.
top	viršyti	Pardavimai gali viršyti praėjusių metų rekordą.
torture	kankinimas	Sutartis visiškai draudžia kankinimą.
