source_headword	SW	example_SW
ultimate	-a mwisho	Lengo la mwisho ni amani.
unacceptable	-isiyokubalika	Ucheleweshaji haukukubalika kwa abiria.
uncertainty	kutokuwa na uhakika	Kutokuwa na uhakika kuliwafanya wawekezaji kuwa na wasiwasi.
undergo	kufanyiwa	Mgonjwa atafanyiwa upasuaji kesho.
undertake	kufanya	Timu itafanya utafiti.
unfold	kudhihirika	Tamthilia ilianza kudhihirika polepole.
unfortunate	-a bahati mbaya	Kosa hilo lilikuwa la bahati mbaya lakini linaweza kurekebishwa.
unite	kuunganisha	Viongozi walijaribu kuunganisha chama.
unity	umoja	Hotuba ilitoa wito wa umoja wa kitaifa.
universal	-a ulimwengu wote	Programu hutumia muundo wa ulimwengu wote.
urgent	-a haraka	Hospitali ilipokea simu ya haraka.
usage	matumizi	Mwongozo unaelezea matumizi sahihi.
useless	-isiyo na maana	Chaja iliyovunjika haina maana.
valid	halali	Pasipoti yako bado ni halali.
variation	tofauti	Kuna tofauti kubwa katika bei.
vertical	wima	Chati ina mhimili wa wima.
viewpoint	mtazamo	Mtazamo wake ulibadilika baada ya mjadala.
visa	viza	Aliomba viza ya mwanafunzi.
visible	-inayoonekana	Ishara inaonekana kutoka hapa.
voluntary	-a hiari	Kozi hiyo inajumuisha warsha za hiari.
voting	upigaji kura	Upigaji kura wa mapema unaanza wiki ijayo.
wander	kuzurura	Watalii wanazurura kwenye soko la zamani.
warming	ongezeko la joto	Ongezeko la joto duniani huathiri viwango vya bahari.
weekly	-a kila wiki	Timu hufanya mkutano wa kila wiki.
weird	-a ajabu	Sauti hiyo ilionekana ya ajabu.
welfare	ustawi	Mpango huu unasaidia ustawi wa watoto.
wheat	ngano	Mkulima analima ngano.
whoever	yeyote	Yeyote anayewasili kwanza anapaswa kusubiri nje.
widespread	-enye kuenea	Dhoruba ilisababisha uharibifu ulioenea.
wisdom	hekima	Nyanya yake alishiriki hekima ya vitendo.
withdraw	kujiondoa	Aliamua kujiondoa kwenye maombi yake.
workforce	nguvu kazi	Nguvu kazi inahitaji ujuzi mpya.
workplace	eneo la kazi	Eneo la kazi lina sheria wazi za usalama.
workshop	warsha	Warsha inaanza saa nne.
worm	mdudu	Mdudu alitembea kwenye udongo.
wrist	kifundo cha mkono	Aliumiza kifundo cha mkono wake.
