simplified	TH	example_TH	MS	example_MS	ID	example_ID
笑	ยิ้ม; หัวเราะ	เธอยิ้ม	tersenyum; ketawa	Dia tersenyum.	tersenyum; tertawa	Dia tersenyum.
新	ใหม่	นี่คือหนังสือใหม่	baharu; baru	Ini buku baharu.	baru	Ini buku baru.
姓	นามสกุล; แซ่	คุณนามสกุลอะไร	nama keluarga; bermarga	Apa nama keluarga kamu?	nama keluarga; bermarga	Apa nama keluarga Anda?
休息	พักผ่อน; พัก	ฉันอยากพักผ่อน	berehat; rehat	Saya mahu berehat.	beristirahat; istirahat	Saya ingin beristirahat.
雪	หิมะ	วันนี้หิมะตก	salji	Hari ini turun salji.	salju	Hari ini turun salju.
颜色	สี	ฉันชอบสีนี้	warna	Saya suka warna ini.	warna	Saya suka warna ini.
眼睛	ตา	เธอตาโต	mata	Matanya besar.	mata	Matanya besar.
羊肉	เนื้อแกะ; เนื้อแพะ	ฉันไม่กินเนื้อแกะ	daging kambing; daging biri-biri	Saya tidak makan daging kambing.	daging kambing; daging domba	Saya tidak makan daging domba.
药	ยา	เขากินยา	ubat	Dia makan ubat.	obat	Dia minum obat.
要	อยาก; ต้องการ; ต้อง	ฉันอยากดื่มน้ำ	mahu; perlu	Saya mahu minum air.	ingin; harus	Saya ingin minum air.
也	ก็; ด้วย	ฉันก็จะไป	juga	Saya juga akan pergi.	juga	Saya juga akan pergi.
已经	แล้ว; เรียบร้อยแล้ว	ฉันมาถึงแล้ว	sudah	Saya sudah sampai.	sudah	Saya sudah sampai.
一起	ด้วยกัน	พวกเราไปด้วยกัน	bersama-sama	Kita pergi bersama-sama.	bersama-sama	Kita pergi bersama-sama.
意思	ความหมาย	ตัวอักษรจีนตัวนี้หมายความว่าอะไร	maksud; makna	Apakah maksud aksara Cina ini?	arti; makna	Apa arti karakter ini?
阴	ครึ้ม; มีเมฆมาก	วันนี้มีเมฆมาก	mendung; berawan	Hari ini mendung.	mendung; berawan	Hari ini mendung.
因为	เพราะ; เนื่องจาก	เพราะฝนตกฉันจึงไม่ไป	kerana; sebab	Oleh sebab hujan, saya tidak pergi.	karena; sebab	Karena hujan, saya tidak pergi.
游泳	ว่ายน้ำ	ฉันว่ายน้ำเป็น	berenang	Saya tahu berenang.	berenang	Saya bisa berenang.
右边	ด้านขวา; ขวามือ	ร้านค้าอยู่ด้านขวา	sebelah kanan; kanan	Kedai berada di sebelah kanan.	sebelah kanan; kanan	Toko berada di sebelah kanan.
鱼	ปลา	ฉันกินปลา	ikan	Saya makan ikan.	ikan	Saya makan ikan.
元	หยวน	ถ้วยใบนี้ราคาสิบหยวน	yuan	Cawan ini berharga sepuluh yuan.	yuan	Cangkir ini harganya sepuluh yuan.
远	ไกล	สนามบินอยู่ไกล	jauh	Lapangan terbang itu jauh.	jauh	Bandara itu jauh.
运动	กีฬา; ออกกำลังกาย	ฉันชอบเล่นกีฬา	sukan; senaman	Saya suka bersukan.	olahraga; latihan fisik	Saya suka berolahraga.
再	อีกครั้ง; อีก	พรุ่งนี้ฉันจะมาอีก	lagi; semula	Saya akan datang lagi esok.	lagi; kembali	Saya akan datang lagi besok.
早上	ตอนเช้า	ตอนเช้าฉันดื่มชา	pagi	Pada waktu pagi, saya minum teh.	pagi	Pagi hari saya minum teh.
张	ลักษณนามสำหรับของแบน	ฉันซื้อตั๋วหนึ่งใบ	penjodoh bilangan untuk benda rata	Saya membeli sekeping tiket.	kata bantu bilangan untuk benda pipih	Saya membeli selembar tiket.
丈夫	สามี	สามีของเธอเป็นหมอ	suami	Suaminya doktor.	suami	Suaminya dokter.
找	หา; มองหา	ฉันกำลังหาเพื่อน	cari; mencari	Saya sedang mencari kawan.	mencari; menemukan	Saya sedang mencari teman.
着	คำช่วยแสดงสภาพต่อเนื่อง	ประตูเปิดอยู่	partikel keadaan berterusan	Pintu sedang terbuka.	partikel keadaan berlangsung	Pintu sedang terbuka.
真	จริงๆ; แท้จริง	หนังสือเล่มนี้ดีจริงๆ	benar-benar; betul	Buku ini benar-benar bagus.	sungguh; benar-benar	Buku ini sungguh bagus.
正在	กำลัง	เขากำลังดูทีวี	sedang	Dia sedang menonton TV.	sedang	Dia sedang menonton TV.
知道	รู้	ฉันไม่รู้	tahu	Saya tidak tahu.	tahu	Saya tidak tahu.
准备	เตรียม; การเตรียม	ฉันกำลังเตรียมสอบ	bersedia; menyediakan	Saya sedang bersedia untuk peperiksaan.	bersiap; menyiapkan	Saya sedang bersiap untuk ujian.
自行车	จักรยาน	จักรยานของฉันใหม่	basikal	Basikal saya baharu.	sepeda	Sepeda saya baru.
走	เดิน; ไป	ฉันเดินกลับบ้าน	berjalan; pergi	Saya berjalan pulang ke rumah.	berjalan; pergi	Saya berjalan pulang ke rumah.
最	ที่สุด; มากที่สุด	เขาสูงที่สุด	paling	Dia paling tinggi.	paling	Dia paling tinggi.
左边	ด้านซ้าย; ซ้ายมือ	โรงเรียนอยู่ด้านซ้าย	sebelah kiri; kiri	Sekolah berada di sebelah kiri.	sebelah kiri; kiri	Sekolah berada di sebelah kiri.
