source_headword	CS	example_CS
invade	napadnout	Armáda se pokusila ostrov napadnout.
invasion	invaze	Invaze zničila mnoho měst.
investor	investor	Investor financoval nový startup.
isolate	izolovat	Lékaři izolují pacienty s vážnými infekcemi.
isolated	odříznutý	Vesnice byla odříznutá sněhem.
jail	vězení	Zloděj šel do vězení.
jet	tryskáč	Tryskáč přistál v poledne.
joint	společný	Oznámili společný projekt.
journalism	žurnalistika	Žurnalistika vyžaduje přesná fakta.
jury	porota	Porota dospěla k rozhodnutí.
kit	sada	Opravná sada obsahuje šrouby.
ladder	žebřík	Žebřík byl opřený o zeď.
landing	přistání	Letadlo hladce přistálo.
lane	pruh	Zůstaňte v pravém pruhu.
lately	v poslední době	V poslední době jsem spal špatně.
leaflet	leták	Leták vysvětluje tuto službu.
legend	legenda	Legenda vypráví o skrytém městě.
lens	objektiv	Objektiv fotoaparátu čistěte opatrně.
lifetime	celý život	Šetřil peníze celý život.
lighting	osvětlení	Dobré osvětlení vylepšuje místnost.
likewise	podobně	Usmála se; on udělal totéž.
limitation	omezení	Plán má jedno omezení.
literally	doslova	Ona doslova běžela na autobus.
literary	literární	Festival oceňuje literární dílo.
litre	litr	Kupte litr mléka.
litter	odpadky	Neodhazujte odpadky.
logo	logo	Logo se zobrazuje na každé stránce.
lottery	loterie	Vyhrál malou cenu v loterii.
loyal	věrný	Pes byl svému majiteli věrný.
lyric	text písně	Text písně opakoval hlavní myšlenku.
magnificent	velkolepý	Palác vypadal velkolepě.
make-up	make-up	Měla jednoduchý make-up.
making	tvorba	Tvorba filmu byla obtížná.
manufacture	vyrábět	Továrna bude vyrábět telefony.
manufacturing	výroba	Pracovní místa ve výrobě místně vzrostla.
marathon	maraton	Dokončila maraton.
margin	okraj	Pište si poznámky na okraj.
marker	fixa	Na štítek použijte fixu.
martial	bojový	Studuje bojová umění.
mate	kamarád	Můj starý kamarád ze školy včera volal.
mayor	starosta	Starosta otevřel knihovnu.
mechanic	mechanik	Mechanik opravil autobus.
mechanical	mechanický	Hodiny mají mechanickou závadu.
mechanism	mechanismus	Zamykací mechanismus je jednoduchý.
medal	medaile	Vyhrála zlatou medailli.
medication	lék	Zapijte lék vodou.
membership	členství	Členství v posilovně stojí online méně.
memorable	nezapomenutelný	Výlet byl nezapomenutelný.
metaphor	metafora	Báseň používá silnou metaforu.
miner	horník	Horník pracoval v podzemí.
miserable	mizerný	Déšť udělal piknik mizerným.
mode	režim	Přepněte fotoaparát do nočního režimu.
modest	skromný	Žijí ve skromném domě.
monster	příšera	Příběh má děsivou příšeru.
monthly	měsíční	Nájem platíme měsíčně.
monument	pomník	Pomník stojí blízko řeky.
moreover	navíc	Navíc tento plán šetří peníze.
mortgage	hypotéka	Požádali o hypotéku.
mosque	mešita	Mešita je blízko trhu.
motion	pohyb	Senzor detekuje pohyb.
motivate	motivovat	Pochvala může motivovat studenty.
motivation	motivace	Její motivace zůstala silná.
moving	dojemný	Projev byl dojemný.
myth	mýtus	Mýtus vysvětluje název hory.
naked	nahý	Dítě bylo po koupeli nahé.
nasty	ošklivý	To říznutí vypadalo ošklivě.
navigation	navigace	Aplikace zlepšuje navigaci.
nearby	poblíž	Kavárna poblíž otevírá brzy.
necessity	nutnost	Čistá voda je nutností.
negotiate	vyjednávat	Zítra vyjednávají o smlouvě.
negotiation	vyjednávání	Vyjednávání trvalo celé dopoledne.
neutral	neutrální	Soudce zůstal neutrální.
newly	nově	Nově natřené dveře vypadaly jasně.
norm	norma	Práce na dálku se stala normou.
notebook	sešit	Pište si poznámky do sešitu.
novelist	romanopisec	Romanopisec podepsal svou knihu.
nowadays	dnes	Dnes mnoho lidí pracuje online.
nursing	ošetřovatelství	Studuje ošetřovatelství.
nutrition	výživa	Dobrá výživa podporuje zdraví.
obesity	obezita	Obezita zvyšuje zdravotní rizika.
observer	pozorovatel	Pozorovatel zaznamenal výsledky.
obstacle	překážka	Spadlý strom byl překážkou.
occupation	povolání	Napište sem prosím své povolání.
occupy	obsadit	Rodina obsadí byt.
offender	pachatel	Pachatel se u soudu omluvil.
ongoing	probíhající	Vyšetřování probíhá.
openly	otevřeně	Otevřeně mluvila o svých obavách.
opera	opera	Viděli jsme operu v Miláně.
operator	operátor	Operátor spojil hovor.
optimistic	optimistický	Cítí se ohledně budoucnosti optimisticky.
orchestra	orchestr	Orchestr hrál potichu.
organic	organický	Koupili organickou zeleninu.
outfit	oblečení	Její oblečení se hodilo k příležitosti.
output	výkon	Výkon stroje se zvýšil.
outstanding	vynikající	Jeho výkon byl vynikající.
overcome	překonat	Překonávají problémy společně.
overnight	přes noc	Balíček dorazil přes noc.
overseas	v zámoří	Našel si práci v zámoří.
ownership	vlastnictví	Vlastnictví pozemku se změnilo.
oxygen	kyslík	Rostliny produkují kyslík.
packet	balíček	Otevřete balíček opatrně.
palm	dlaň	Držte minci v dlani.
panic	panika	Davem se rozšířila panika.
parade	průvod	Průvod začal v poledne.
parallel	paralelní	Silnice vedou paralelně.
participation	účast	Účast ve třídě se zlepšila.
partnership	partnerství	Partnerství pomohlo oběma společnostem.
part-time	na částečný úvazek	Našla si práci na částečný úvazek.
passionate	vášnivý	Je vášnivý ohledně hudby.
password	heslo	Vyberte si silné heslo.
patience	trpělivost	Výuka malých dětí vyžaduje trpělivost.
pause	pauza	Zastavte nyní video.
peer	vrstevník	Tlak vrstevníků ovlivnil jeho volbu.
penalty	penalta	Hráč dostal penaltu.
perceive	vnímat	Lidé vnímají riziko odlišně.
perception	vnímání	Jeho vnímání nebezpečí se změnilo.
permanently	trvale	Obchod se trvale uzavřel.
pill	pilulka	Vezměte si jednu pilulku po snídani.
pity	škoda	To je škoda.
placement	umístění	Na umístění pohovky záleží.
portion	porce	Podávejte malou porci rýže.
potentially	potenciálně	Tato změna je potenciálně užitečná.
precede	předcházet	Tmavé mraky často předcházejí dešti.
precious	vzácný	Prsten je vzácný.
precise	přesný	Pokyny byly přesné.
precisely	přesně	Změřte vzdálenost přesně.
predictable	předvídatelný	Konec byl předvídatelný.
preference	přednost	Vyjádřila přednost čaji.
pride	hrdost	Po dokončení cítil hrdost.
primarily	především	Kurz je především online.
principal	ředitel	Ředitel přivítal nové studenty.
prior	předchozí	Potřebujeme předchozí schválení.
probability	pravděpodobnost	Pravděpodobnost deště je vysoká.
probable	pravděpodobný	Dnes večer je pravděpodobný déšť.
proceed	pokračovat	Prosím, pokračujte do další místnosti.
programming	programování	Programování vyžaduje praxi.
progressive	progresivní	Politika byla na svou dobu progresivní.
prohibit	zakázat	Pravidla zakazují kouření.
promising	slibný	Výsledky vypadají slibně.
promotion	povýšení	Dostala v práci povýšení.
prompt	rychlý	Rychlá odpověď ušetřila čas.
proportion	podíl	Velký podíl hlasoval ano.
protein	bílkovina	Fazole obsahují bílkoviny.
protester	demonstrant	Demonstrant držel transparent.
psychological	psychologický	Nehoda způsobila psychologický stres.
publicity	publicita	Událost získala publicitu.
publishing	vydavatelství	Pracuje ve vydavatelství.
punk	punk	Punková hudba se tam stala populární.
purely	čistě	Volba byla čistě praktická.
pursuit	hledání	Pokračoval ve svém hledání spravedlnosti.
puzzle	puzzle	Skládání puzzle trvalo hodinu.
questionnaire	dotazník	Vyplňte prosím dotazník.
racial	rasový	Zpráva diskutovala o rasové nerovnosti.
racism	rasismus	Rasismus škodí komunitám.
racist	rasistický	Komentář byl rasistický.
radiation	radiace	Radiace může poškodit buňky.
rail	zábradlí	Držte se zábradlí na schodech.
random	náhodný	Počítač vybral náhodné číslo.
rat	krysa	Krysa běžela za popelnice.
rating	hodnocení	Hotel má vysoké hodnocení.
reasonably	rozumně	Pokoj byl rozumně čistý.
rebuild	přebudovat	Most přebudují.
receiver	přijímač	Přijímač chytil míč.
recession	recese	Recese snížila výdaje.
reckon	počítat	Počítám, že vlak má zpoždění.
recognition	uznání	Dostala uznání za svou práci.
recovery	zotavení	Zotavení trvalo několik týdnů.
recruit	najmout	Společnost najme inženýry.
recruitment	nábor	Nábor začíná příští pondělí.
referee	rozhodčí	Rozhodčí zastavil zápas.
refugee	uprchlík	Uprchlík našel bezpečný domov.
registration	registrace	Registrace končí v pátek.
regulate	regulovat	Zákon bude regulovat emise.
reinforce	zpevnit	Extra trámy zpevňují střechu.
relieve	ulevit	Lék může ulevit od bolesti.
relieved	s úlevou	Po hovoru cítila úlevu.
remarkable	pozoruhodný	Zotavení bylo pozoruhodné.
remarkably	pozoruhodně	Zotavil se pozoruhodně rychle.
reporting	podávání zpráv	Na přesném podávání zpráv záleží.
resign	odstoupit	Manažer zítra odstoupí.
resolution	rozlišení	Obrazovka má vysoké rozlišení.
restore	obnovit	Pracovníci obnovují starý obraz.
restrict	omezit	Pravidla omezují parkování.
restriction	omezení	Omezení končí zítra.
retail	maloobchod	Maloobchodní prodej vzrostl.
retirement	důchod	Pečlivě si naplánovala odchod do důchodu.
revenue	příjem	Příjmy ze vstupenek zaplatily opravy.
revision	opakování	Opakování před zkouškou pomohlo.
ridiculous	směšný	Cena byla směšná.
risky	riskantní	Plán se zdál být riskantní.
rival	rival	Náš rival otevřel nový obchod.
rob	vykrást	Muži se pokusili vykrást banku.
robbery	loupež	Loupež se stala v noci.
rocket	raketa	Raketa úspěšně odstartovala.
romance	romance	Román obsahuje romanci.
rose	růže	U plotu rostla červená růže.
roughly	zhruba	Zúčastnilo se zhruba dvacet lidí.
ruin	zničit	Déšť může zničit piknik.
satisfaction	spokojenost	Spokojenost zákazníků se zlepšila.
scandal	skandál	Skandál zničil jeho kariéru.
scare	leknutí	Hlasitý hluk mi způsobil leknutí.
scenario	scénář	Nejhorší scénář je nepravděpodobný.
scholar	učenec	Učenec studoval starověké texty.
scholarship	stipendium	Vyhrála stipendium.
scratch	škrábanec	Kočka zanechala škrábanec.
screening	vyšetření	Nemocnice nabízí vyšetření rakoviny.
seeker	uchazeč	Uchazeč o zaměstnání poslal žádosti.
seminar	seminář	Seminář začíná v devět.
settler	osadník	Osadník postavil malou farmu.
severely	vážně	Bouře vážně poškodila silnice.
sexy	sexy	Šaty byly považovány za sexy.
shocking	šokující	Ta zpráva byla šokující.
shore	pobřeží	Šli jsme podél pobřeží.
shortage	nedostatek	Město čelilo nedostatku vody.
shortly	krátce	Autobus dorazil krátce po poledni.
short-term	krátkodobý	Plán má krátkodobé výhody.
sibling	sourozenec	Každý sourozenec dostal dárek.
signature	podpis	Prosím přidejte svůj podpis.
significance	význam	Objev má velký význam.
skilled	kvalifikovaný	Kvalifikovaní pracovníci opravili střechu.
slogan	slogan	Kampaň použila jednoduchý slogan.
so-called	takzvaný	Takzvaný expert dělal chyby.
somehow	nějak	Nějakým způsobem klíče zmizely.
sometime	někdy	Navštivte nás někdy příští týden.
sophisticated	sofistikovaný	Software je sofistikovaný.
spare	náhradní	Necháváme si náhradní klíč.
specialize	specializovat se	Lékaři se specializují v různých oborech.
specify	upřesnit	Prosím upřesněte čas svého příjezdu.
spectacular	velkolepý	Ohňostroj byl velkolepý.
spectator	divák	Každý divák dostal program.
speculate	spekulovat	Odborníci spekulují o příčině.
speculation	spekulace	Článek podpořil spekulace.
spice	koření	Přidejte jedno koření po druhém.
spill	rozlít	Nerozlij ten džus.
spite	zášť	Uspěl navzdory problémům.
spoil	zkazit	Příliš mnoho soli může zkazit polévku.
spokesman	mluvčí	Mluvčí odpovídal na otázky.
spokesperson	mluvčí	Mluvčí přečetl prohlášení.
spokeswoman	mluvčí	Mluvčí oslovila tisk.
sponsorship	sponzorství	Tým potřebuje sponzorství.
sporting	sportovní	Město hostí sportovní události.
stall	stánek	Stánek na trhu prodává ovoce.
stance	postoj	Ministr změnil svůj postoj.
starve	hladovět	Bez jídla mohou zvířata hladovět.
steadily	plynule	Společnost plynule rostla.
steam	pára	Z polévky stoupala pára.
stimulate	stimulovat	Jasné barvy mohou stimulovat zájem.
