simplified	SI	example_SI
冷	සීතල	අද සීතලයි.
里	ඇතුළේ; තුළ	කෝප්පය ඇතුළේ වතුර තියෙනවා.
零	බිංදුව	බිංදුව එකක් නොවේ.
六	හය	දැන් හයයි.
妈妈	අම්මා; මව	අම්මා තේ බොනවා.
吗	ඔව්-නැහැ ප්‍රශ්න පදය	ඔයා සිසුවෙක්ද?
买	මිලදී ගන්නවා	මම ඇපල් මිලදී ගන්නවා.
猫	බළලා; පූසා	බළලා පුටුව උඩ ඉන්නවා.
没	නැහැ; කරලා නැහැ	මට සල්ලි නැහැ.
没关系	කමක් නැහැ; ප්‍රශ්නයක් නැහැ	කමක් නැහැ.
米饭	බත්	මම බත් කනවා.
名字	නම	ඔයාගේ නම මොකක්ද?
明天	හෙට	හෙට මම බෙයිජිංට යනවා.
哪	කොයි; කොහේ	ඔයා කොහේ යනවද?
那	ඒ; ඒවා	ඒ මගේ ගුරුතුමායි.
呢	ප්‍රශ්න පදය; එහෙනම්	එතකොට ඔයා?
能	පුළුවන් වෙනවා	මට යන්න පුළුවන්ද?
你	ඔයා; ඔබ	ඔයා හොඳින්ද?
年	අවුරුද්ද; වසර	අවුරුද්දකට මාස දොළහක් තියෙනවා.
女儿	දුව	ඇගේ දුව ඉතා ලස්සනයි.
朋友	මිතුරා; මිතුරිය	ඔහු මගේ මිතුරායි.
漂亮	ලස්සන; සුන්දර	ඇය ඉතා ලස්සනයි.
苹果	ඇපල්	මම ඇපල්වලට කැමතියි.
七	හත	දැන් හතයි.
前面	ඉදිරිපස; ඉදිරියෙන්	ආපනශාලාව කඩය ඉදිරිපිට තියෙනවා.
钱	සල්ලි; මුදල්	මට සල්ලි නැහැ.
请	කරුණාකර; ආරාධනා කරනවා; ඉල්ලනවා	කරුණාකර තේ බොන්න.
去	යනවා	මම පාසලට යනවා.
热	උණුසුම්; රස්නෙයි	අද රස්නෙයි.
人	මිනිසා; පුද්ගලයා; මිනිසුන්	පාසලේ මිනිසුන් බොහෝ දෙනෙක් ඉන්නවා.
认识	දන්නවා; හඳුනනවා	මම ඔහුව හඳුනනවා.
日	දවස; දිනය	අද මාර්තු පළමුවැනිදා.
三	තුන	මට කෝප්ප තුනක් තියෙනවා.
商店	කඩය; සාප්පුව	කඩය පාසල ඉදිරිපිට තියෙනවා.
上	මත; උඩ; ඉහළ	පොත මේසය උඩ තියෙනවා.
上午	උදෑසන; පෙරවරුව	උදෑසන මම චීන භාෂාව ඉගෙන ගන්නවා.
少	අඩු; ටික	සිසුන් ටික දෙනෙක් ඉන්නවා.
什么	මොකක්; කුමක්	මේක මොකක්ද?
十	දහය	මට පොත් දහයක් තියෙනවා.
时候	වේලාව; මොහොත	ඔයා කවදා එනවද?
是	වේ; යි	මම සිසුවෙක්.
书	පොත	මම පොතක් කියවනවා.
谁	කවුද	ඔහු කවුද?
水	වතුර	මම වතුර බොනවා.
水果	පලතුරු	මම පලතුරු මිලදී ගන්නවා.
睡觉	නිදා ගන්නවා	මම නිදා ගන්න යනවා.
说话	කතා කරනවා	ගුරුතුමා කතා කරමින් ඉන්නවා.
四	හතර	මට මිතුරන් හතර දෙනෙක් ඉන්නවා.
岁	වයස අවුරුදු	මට වයස අවුරුදු දහයයි.
他	ඔහු	ඔහු ගුරුවරයෙක්.
她	ඇය	ඇය සිසුවියක්.
太	ඕනෑවට වඩා; ඉතා	මේ කෝප්පය ලොකු වැඩියි.
天气	කාලගුණය	අද කාලගුණය හොඳයි.
听	අහනවා; සවන් දෙනවා	මම ගුරුතුමා කතා කරන දේ අහනවා.
同学	පන්තියේ මිතුරා; සහපාඨියා	ඔහු මගේ පන්තියේ මිතුරායි.
喂	හලෝ	හලෝ?
我	මම; මට; මගේ	මම වෛද්‍යවරයෙක්.
我们	අපි; අපට	අපි පාසලට යනවා.
五	පහ	මට ඇපල් ගෙඩි පහක් තියෙනවා.
喜欢	කැමති වෙනවා	මම තේ බොන්න කැමතියි.
下	යට; පහළ; ඊළඟ	පොත මේසය යට තියෙනවා.
下午	පස්වරුව	පස්වරුවේ මම කඩයට යනවා.
下雨	වැස්ස වැටෙනවා	අද වැස්ස වැටෙනවා.
先生	මහත්මයා; සර්; ස්වාමිපුරුෂයා	ආයුබෝවන්, මහත්මයා.
现在	දැන්	දැන් මම පාසලේ ඉන්නවා.
想	ඕනෑ වෙනවා; සිතනවා; මතක් වෙනවා	මට වතුර බොන්න ඕනෑ.
小	කුඩා; පොඩි	මේ කෝප්පය පොඩියි.
小姐	මෙනවිය; තරුණිය	ආයුබෝවන්, මෙනවිය.
些	කීපයක්; ටිකක්	මට පොත් කීපයක් තියෙනවා.
写	ලියනවා	මම අකුරු ලියනවා.
谢谢	ස්තුතියි	ස්තුතියි.
星期	සතිය; සතියේ දවස	අද සඳුදා.
学生	සිසුවා; සිසුවිය	මම සිසුවෙක්.
学习	ඉගෙන ගන්නවා	මම චීන භාෂාව ඉගෙන ගන්නවා.
学校	පාසල	පාසල ලොකුයි.
一	එක	මට එක කෝප්පයක් තියෙනවා.
衣服	ඇඳුම්	මම ඇඳුම් මිලදී ගන්නවා.
医生	වෛද්‍යවරයා; වෛද්‍යවරිය	ඇය වෛද්‍යවරියක්.
医院	රෝහල	රෝහල පාසල ඉදිරිපිට තියෙනවා.
椅子	පුටුව	පුටුව මේසයට පිටුපසින් තියෙනවා.
有	තියෙනවා; ඉන්නවා	මට මිතුරන් ඉන්නවා.
月	මාසය; සඳ	අද මැයි හතරවැනිදා.
再见	නැවත හමුවෙමු; ආයුබෝවන්	ගුරුතුමනි, නැවත හමුවෙමු.
在	හි; තුළ; සිටිනවා	මම ගෙදර ඉන්නවා.
怎么	කොහොමද	මේ අකුර කොහොමද කියවන්නේ?
怎么样	කොහොමද; තත්ත්වය කොහොමද	අද ඔයා කොහොමද?
这	මේ; මේවා	මේක මගේ පොතයි.
中国	චීනය	මම චීනයට යනවා.
中午	දවල්; මධ්‍යාහ්නය	දවල්ට මම බත් කනවා.
住	ජීවත් වෙනවා; නවතිනවා	මම බෙයිජිංවල ජීවත් වෙනවා.
桌子	මේසය	පොත මේසය උඩ තියෙනවා.
字	අකුර; ලකුණ	මේ අකුර පොඩියි.
昨天	ඊයේ	ඊයේ මම චිත්‍රපටයක් බැලුවා.
坐	ඉඳගන්නවා; වාහනයක යනවා	මම ගුවන් යානයෙන් බෙයිජිංට යනවා.
做	කරනවා; හදනවා	මම කෑම හදනවා.
