simplified	TA	example_TA
巴不得	ஆவலுடன் எதிர்பார்த்தல்	நான் உடனே புறப்பட ஆவலுடன் எதிர்பார்த்தேன்.
巴结	புகழ்ந்து சாதகத்தை நாடுதல்	அவன் தலைவர்களை புகழ்ந்து சாதகத்தை நாட விரும்பவில்லை.
扒	பற்றிக்கொள்ளுதல்	குழந்தை கதவைப் பற்றிக்கொண்டு வெளியே பார்த்தது.
疤	தழும்பு	அவனுடைய கையில் ஒரு தழும்பு உள்ளது.
拔苗助长	அவசரத்தால் காரியத்தை கெடுப்பது	இப்படி குழந்தையைப் படிக்க வற்புறுத்துவது அவசரத்தால் காரியத்தை கெடுப்பதுதான்.
把关	சரிபார்த்து கண்காணித்தல்	இந்த ஒப்பந்தத்தை வழக்கறிஞர் சரிபார்த்து கண்காணிக்க வேண்டும்.
把手	கைப்பிடி	கதவின் கைப்பிடி உடைந்துவிட்டது.
罢工	வேலைநிறுத்தம்	தொழிலாளர்கள் நாளை வேலைநிறுத்தம் செய்ய முடிவு செய்தனர்.
霸道	ஆதிக்கமாக நடக்கும்	அவன் பேசும் விதம் மிகவும் ஆதிக்கமாக இருக்கிறது.
掰	கைகளால் உடைத்தல்	அவள் ரொட்டியை இரு துண்டுகளாக கைகளால் உடைத்தாள்.
摆脱	விடுபடுதல்	அவன் இறுதியாக கெட்ட பழக்கத்திலிருந்து விடுபட்டான்.
拜访	சென்று சந்தித்தல்	நாங்கள் வார இறுதியில் ஆசிரியரைச் சென்று சந்திப்போம்.
拜年	புத்தாண்டு வாழ்த்து கூறச் செல்வது	வசந்த விழாவில் நாங்கள் தாத்தா பாட்டியைச் சென்று புத்தாண்டு வாழ்த்து கூறினோம்.
拜托	தயவு செய்து ஒப்படைத்தல்	இந்த விஷயத்தை உன்னிடம் தயவு செய்து ஒப்படைக்கிறேன்.
败坏	கெடுத்தல்	இத்தகைய நடத்தை நிறுவனத்தின் பெயரை கெடுக்கும்.
斑	புள்ளி	பூனையின் உடலில் ஒரு கருப்பு புள்ளி உள்ளது.
颁布	அறிவித்து வெளியிடுதல்	புதிய விதிகள் அடுத்த வாரம் அறிவித்து வெளியிடப்படும்.
颁发	வழங்கி கௌரவித்தல்	பள்ளி சிறந்த மாணவர்களுக்கு சான்றிதழ்களை வழங்கி கௌரவித்தது.
版本	பதிப்பு	இந்த மென்பொருளுக்கு புதிய பதிப்பு உள்ளது.
伴侣	துணை	அவள் நாயைத் தனது துணையாகக் கருதுகிறாள்.
伴随	உடன் வருதல்	வெற்றி பெரும்பாலும் அழுத்தத்துடன் சேர்ந்து வருகிறது.
半途而废	நடுவே கைவிடுதல்	ஆராய்ச்சி செய்யும்போது நடுவே கைவிடக் கூடாது.
扮演	பாத்திரம் ஏற்றல்	அவன் திரைப்படத்தில் மருத்துவரின் பாத்திரம் ஏற்றான்.
榜样	முன்மாதிரி	பெற்றோர் குழந்தைகளுக்கு முன்மாதிரிகள்.
绑架	கடத்தல்	போலீசார் ஒரு கடத்தல் வழக்கைத் தடுத்தனர்.
磅	பவுண்ட்	இந்த பெட்டி இருபது பவுண்ட் எடையுள்ளது.
包庇	குற்றத்தை மறைத்துக் காப்பாற்றுதல்	யாரும் குற்றத்தை மறைத்துக் காப்பாற்றக் கூடாது.
包袱	சுமை	அவன் சுமையை இறக்கி வைத்தபின் மிகவும் இலகுவாக உணர்ந்தான்.
包围	சுற்றிவளைத்தல்	செய்தியாளர்கள் நடிகரைச் சுற்றிவளைத்தனர்.
包装	பொதி	இந்த பரிசின் பொதி மிகவும் அழகாக உள்ளது.
保管	பாதுகாப்பாக வைத்தல்	இந்த ஆவணங்கள் என்னிடம் பாதுகாப்பாக வைக்கப்பட்டுள்ளன.
保密	ரகசியமாக வைத்தல்	கூட்டத்தின் உள்ளடக்கத்தை ரகசியமாக வைத்திருக்க வேண்டும்.
保姆	குழந்தைப் பராமரிப்பாளர்	அவர்கள் ஒரு குழந்தைப் பராமரிப்பாளரை வேலைக்கு வைத்தனர்.
保守	பழமைவாதமான	அவனுடைய கருத்துகள் ஒப்பிடும்போது பழமைவாதமானவை.
保卫	பாதுகாத்தல்	சிப்பாய்கள் எல்லையை பாதுகாக்கிறார்கள்.
保养	பராமரித்தல்	இந்த காரை முறையாக பராமரிக்க வேண்டும்.
保障	உறுதி செய்து பாதுகாத்தல்	சட்டம் குடிமக்களின் உரிமைகளை உறுதி செய்து பாதுகாக்கிறது.
保重	உடல்நலத்தை கவனித்துக்கொள்ளுதல்	வெளியில் இருக்கும் போது தயவு செய்து உடல்நலத்தை கவனித்துக்கொள்ளுங்கள்.
饱和	நிறைவு நிலை	இந்த சந்தை ஏற்கனவே நிறைவு நிலைக்கு அருகில் உள்ளது.
饱经沧桑	பல மாற்றங்களையும் கஷ்டங்களையும் அனுபவித்த	இந்த முதியவர் பல மாற்றங்களையும் கஷ்டங்களையும் அனுபவித்தவர்.
报酬	ஊதியம்	அவனுக்கு நியாயமான ஊதியம் கிடைத்தது.
报仇	பழிவாங்குதல்	அவன் பழிவாங்க விரும்பவில்லை, மீண்டும் தொடங்கவே விரும்பினான்.
报答	நன்றி செலுத்தி பதிலளித்தல்	உன் உதவிக்கு நான் செயலால் நன்றி செலுத்தி பதிலளிப்பேன்.
报复	பதிலடி பழிவாங்குதல்	பதிலடி பழிவாங்குதல் முரண்பாட்டை இன்னும் ஆழப்படுத்தும்.
报警	போலீசுக்கு அறிவித்தல்	தீ இருப்பதை கண்டவுடன் உடனே போலீசுக்கு அறிவிக்க வேண்டும்.
报销	செலவுத்தொகை திரும்பப் பெறுதல்	பயணச் செலவுகளை திரும்பப் பெறலாம்.
抱负	பேராசை இலக்கு	அவனுக்கு சிறு வயதிலிருந்தே பெரிய பேராசை இலக்குகள் இருந்தன.
暴力	வன்முறை	எந்த வடிவிலான வன்முறையையும் நாங்கள் எதிர்க்கிறோம்.
暴露	வெளிப்படுதல்	இந்த பிரச்சினை மெதுவாக வெளிப்பட்டது.
曝光	வெளிச்சத்திற்கு வருதல்	இந்த புகைப்படம் வெளிச்சத்திற்கு வந்தபின் கவனம் பெற்றது.
爆发	வெடித்து எழுதல்	எரிமலை திடீரென வெடித்து எழுந்தது.
爆炸	வெடிப்பு	ஆய்வகத்தில் வெடிப்பு ஏற்பட்டது.
卑鄙	இழிவான	இத்தகைய இழிவான நடைமுறை மக்களை கோபப்படுத்துகிறது.
悲哀	துயரமான	இந்த செய்தியை கேட்டபின் அவன் மிகவும் துயரமாக உணர்ந்தான்.
悲惨	துயரகரமான	அது ஒரு துயரகரமான வரலாற்றுக் காலம்.
北极	வட துருவம்	அறிவியலாளர்கள் வட துருவத்தில் ஆய்வு செய்கிறார்கள்.
备份	காப்புப்பிரதி	முக்கிய கோப்புகளுக்கு முதலில் காப்புப்பிரதி எடுக்கவும்.
备忘录	நினைவுக் குறிப்பு	அவள் நினைவுக் குறிப்பில் முக்கிய அம்சங்களை எழுதினாள்.
背叛	துரோகம்	நண்பனின் துரோகத்தை அவனால் ஏற்க முடியவில்லை.
背诵	மனப்பாடம் செய்து ஓதுதல்	மாணவர்கள் பாடத்தை மனப்பாடம் செய்து ஓதுகிறார்கள்.
被动	செயலற்ற	பேச்சுவார்த்தையில் நாம் மிகவும் செயலற்றவர்களாக இருக்கக் கூடாது.
被告	குற்றச்சாட்டுப் பிரதிவாதி	குற்றச்சாட்டுப் பிரதிவாதி எல்லா குற்றச்சாட்டுகளையும் மறுத்தான்.
贝壳	சிப்பி	குழந்தை கடற்கரையில் சிப்பிகளை எடுத்தது.
奔波	அலைந்து ஓடுதல்	அவன் வேலைக்காக எங்கும் அலைந்து ஓடுகிறான்.
奔驰	வேகமாக பாய்தல்	கார் நெடுஞ்சாலையில் வேகமாக பாய்ந்தது.
本能	உள்ளுணர்வு	குழந்தையைப் பாதுகாப்பது பெற்றோரின் உள்ளுணர்வு.
本钱	மூலதனம்	வியாபாரம் செய்ய மூலதனம் தேவை.
本人	நான் தானே	நான் தானே பொறுப்பை ஏற்கத் தயாராக இருக்கிறேன்.
本身	தன்னிலேயே	இந்தத் திட்டத்திலேயே எந்தப் பிரச்சினையும் இல்லை.
本事	திறமை	அவனுக்கு மிகுந்த திறமை உள்ளது.
笨拙	தடுமாறும்	அவனுடைய அசைவுகள் கொஞ்சம் தடுமாறின.
崩溃	சரிந்து செயலிழத்தல்	கணினி அமைப்பு திடீரென சரிந்து செயலிழந்தது.
甭	தேவையில்லை	இந்த விஷயத்தைப் பற்றி நீ கவலைப்படத் தேவையில்லை.
蹦	துள்ளுதல்	குட்டி நாய் புல்வெளியில் இங்கும் அங்கும் துள்ளியது.
迸发	பீறிட்டு எழுதல்	கைத்தட்டல் கூட்டத்திலிருந்து பீறிட்டு எழுந்தது.
逼迫	வற்புறுத்துதல்	அவர்கள் அவனை ஒப்பந்தத்தில் கையெழுத்திட வற்புறுத்தினர்.
鼻涕	மூக்குநீர்	குழந்தைக்கு சளி பிடித்ததால் தொடர்ந்து மூக்குநீர் வடிகிறது.
比方	உதாரணம்	உதாரணமாக, நாம் முதலில் ஒரு மாதம் முயற்சி செய்யலாம்.
比喻	உவமை	இந்த உவமை மிகவும் உயிரோட்டமாக உள்ளது.
比重	விகிதம்	சேவைத் துறையின் விகிதம் மேலும் மேலும் உயர்கிறது.
鄙视	இகழ்ந்து பார்க்குதல்	மற்றவர்களின் முயற்சியை இகழ்ந்து பார்க்காதே.
弊病	குறைபாடு	இந்த முறையில் பல குறைபாடுகள் உள்ளன.
弊端	பாதகம்	புதிய திட்டம் பழைய முறையின் பாதகங்களைத் தீர்த்தது.
臂	கை	அவனுடைய வலது கை காயமடைந்தது.
闭塞	தனிமைப்படைந்த	இந்த மலைக் கிராமத்தில் போக்குவரத்து முன்பு மிகவும் தனிமைப்படைந்திருந்தது.
编织	நெய்தல்	பாட்டி ஒரு கம்பளி சட்டையை நெய்துக்கொண்டிருக்கிறார்.
边疆	எல்லைப் பகுதி	பல சிப்பாய்கள் நாட்டின் எல்லைப் பகுதியைக் காக்கிறார்கள்.
边界	எல்லை	இரு நாடுகளும் எல்லையை மீண்டும் வரையறுத்தன.
边境	எல்லைப்பகுதி	எல்லைப்பகுதிகளில் பாதுகாப்புச் சோதனைகள் அதிகரிக்கப்பட்டன.
边缘	விளிம்பு	கோப்பை மேசையின் விளிம்பில் வைக்கப்பட்டுள்ளது.
鞭策	ஊக்கி முன்னேற்றுதல்	ஆசிரியரின் வார்த்தைகள் எப்போதும் என்னை ஊக்கி முன்னேற்றின.
扁	தட்டையான	இந்த பெட்டி அகலமாகவும் தட்டையாகவும் உள்ளது.
贬低	இழிவாக மதித்தல்	மற்றவர்களின் முயற்சியை எளிதாக இழிவாக மதிக்காதே.
贬义	எதிர்மறை அர்த்தம்	இந்தச் சொல்லுக்கு இங்கு எதிர்மறை அர்த்தம் உள்ளது.
便利	வசதியான	மெட்ரோ பயணத்தை மேலும் வசதியாக்குகிறது.
便条	சிறு குறிப்பு	அவன் மேசையில் ஒரு சிறு குறிப்பை விட்டுச் சென்றான்.
便于	பயன்படுத்த எளிதான	இந்த வடிவமைப்பு முதியவர்கள் பயன்படுத்த எளிதானது.
变故	எதிர்பாராத துயரச் சம்பவம்	வீட்டில் திடீரென எதிர்பாராத துயரச் சம்பவம் நடந்தது.
变迁	மாற்றங்கள்	நகரத்தின் மாற்றங்கள் அவனை பலவிதமாக உணர வைத்தன.
变质	கெட்டுப்போதல்	பால் நீண்ட நேரம் வைக்கப்பட்டால் கெட்டுப்போகும்.
辨认	அடையாளம் காணுதல்	புகைப்படத்தில் உள்ள நபரை அடையாளம் காணுமாறு போலீசார் அவனிடம் கேட்டனர்.
辩护	பாதுகாப்பாக வாதிடுதல்	வழக்கறிஞர் குற்றச்சாட்டுப் பிரதிவாதிக்காக பாதுகாப்பாக வாதிட்டார்.
辩解	விளக்கம் கூறி தன்னை நியாயப்படுத்துதல்	அவன் தனது தவறுக்கு விளக்கம் கூறி தன்னை நியாயப்படுத்த முயன்றான்.
辩证	இயக்கவியல் முறையில் பார்க்குதல்	இந்தப் பிரச்சினையை நாம் இயக்கவியல் முறையில் பார்க்க வேண்டும்.
辫子	சடை	சிறுமி இரண்டு சடைகளை கட்டியிருந்தாள்.
遍布	முழுவதும் பரவியிருத்தல்	இந்த வகைத் தாவரம் நாடு முழுவதும் பரவியுள்ளது.
标本	மாதிரி	அருங்காட்சியகத்தில் விலங்கு மாதிரிகள் காட்சிப்படுத்தப்பட்டுள்ளன.
标记	குறியீடு	முக்கிய பத்திகளின் அருகில் தயவு செய்து குறியீடு இடுங்கள்.
标题	தலைப்பு	இந்தக் கட்டுரையின் தலைப்பு மிகவும் ஈர்க்கக்கூடியது.
表决	வாக்கெடுப்பு நடத்துதல்	பிரதிநிதிகள் முன்மொழிவுக்கு வாக்கெடுப்பு நடத்துவார்கள்.
表态	நிலைப்பாடு தெரிவித்தல்	அவன் இன்னும் பொதுவாக தனது நிலைப்பாட்டை தெரிவிக்கவில்லை.
表彰	பாராட்டி கௌரவித்தல்	நிறுவனம் சிறந்த பணியாளர்களை பாராட்டி கௌரவித்தது.
憋	அடக்கிக் கொள்ளுதல்	அவன் சிரிப்பை அடக்கிக் கொண்டு எதுவும் பேசவில்லை.
别墅	தனி மாளிகை	அவர்கள் புறநகரில் ஒரு தனி மாளிகை வாங்கினர்.
别致	தனித்துவமான	இந்தக் காபி கடையின் அலங்காரம் மிகவும் தனித்துவமானது.
别扭	இயல்பற்ற	இந்த வாக்கியம் கொஞ்சம் இயல்பற்றதாக கேட்கிறது.
濒临	விளிம்பில் இருத்தல்	இந்த விலங்கு அழிவின் விளிம்பில் உள்ளது.
冰雹	ஆலங்கட்டி மழை	நேற்று பிற்பகலில் கடுமையான ஆலங்கட்டி மழை பெய்தது.
丙	மூன்றாம் வரிசை	மூன்றாம் குழுவின் போட்டி பிற்பகலில் தொடங்குகிறது.
并非	அப்படியல்ல	விஷயம் நீ நினைப்பது போல அப்படியல்ல.
并列	சமநிலையில் இருத்தல்	இந்த இரண்டு திட்டங்களும் முதல் இடத்தில் சமநிலையில் உள்ளன.
剥削	சுரண்டல்	பழைய சமூகத்தில் கடுமையான சுரண்டல் இருந்தது.
拨	எண்ணை அழுத்துதல்	தயவு செய்து இந்த தொலைபேசி எண்ணை அழுத்துங்கள்.
播种	விதைப்பு	விவசாயிகள் வசந்த காலத்தில் விதைப்பைத் தொடங்குகிறார்கள்.
波浪	அலை	கடல் மேற்பரப்பில் பெரிய அலைகள் எழுந்தன.
波涛	பேரலை	படகு பேரலைகளுக்குள் முன்னேறியது.
伯母	பெரியம்மா	நான் வார இறுதியில் பெரியம்மாவைச் சந்திக்கப் போகிறேன்.
博大精深	விரிவும் ஆழமும் கொண்ட	சீனப் பண்பாடு விரிவும் ஆழமும் கொண்டது.
博览会	பொருட்காட்சி	சர்வதேச பொருட்காட்சி பல நிறுவனங்களை ஈர்த்தது.
搏斗	போராடுதல்	போலீசார் குற்றவாளியுடன் போராடினர்.
薄弱	பலவீனமான	அவனுடைய இலக்கண அடித்தளம் ஒப்பிடும்போது பலவீனமானது.
不顾	பொருட்படுத்தாமல்	அவன் ஆபத்தை பொருட்படுத்தாமல் உள்ளே பாய்ந்தான்.
不愧	தகுதியுடையது	அவன் அனுபவமிக்க நிபுணர் என்று சொல்லத் தகுதியுடையவன்.
不料	எதிர்பாராதவிதமாக	எதிர்பாராதவிதமாக கூட்டம் திடீரென ரத்து செய்யப்பட்டது.
不像话	ஏற்றுக்கொள்ள முடியாத	நீ விருந்தினர்களை இவ்வாறு நடத்துவது மிகவும் ஏற்றுக்கொள்ள முடியாதது.
不屑一顾	இகழ்ந்து பொருட்படுத்தாமை	அவன் அந்த வதந்திகளை இகழ்ந்து பொருட்படுத்தவில்லை.
哺乳	பாலூட்டுதல்	தாய் குழந்தைக்கு பாலூட்டுகிறாள்.
捕捉	பிடித்தல்	புகைப்படக் கலைஞர் அற்புதமான தருணத்தைப் பிடித்தார்.
补偿	இழப்பீடு அளித்தல்	நிறுவனம் உன் இழப்பிற்கு இழப்பீடு அளிக்கும்.
补救	சரிசெய்தல்	இதைச் சரிசெய்ய இன்னும் நமக்கு நேரம் உள்ளது.
补贴	உதவித்தொகை	அரசு குறைந்த வருமானக் குடும்பங்களுக்கு உதவித்தொகை வழங்குகிறது.
不得已	வேறு வழியின்றி	அவன் வேறு வழியின்றி சொந்த ஊரை விட்டுச் சென்றான்.
不妨	முயன்றால் தீங்கில்லை	முதலில் அவன் விளக்கத்தைக் கேட்டு பார்ப்பதில் தீங்கில்லை.
不敢当	புகழை ஏற்கத் தயங்குதல்	நீங்கள் இவ்வளவு புகழ்வது எனக்குத் தகுதியில்லை.
不禁	தடுக்க முடியாமல்	இந்த செய்தியை கேட்டவுடன் அவன் தடுக்க முடியாமல் சிரித்தான்.
不堪	தாங்க முடியாத	இங்குள்ள சத்தம் தாங்க முடியாததாக உள்ளது.
不可思议	நம்ப முடியாத	இந்த முடிவு உண்மையில் நம்ப முடியாதது.
不免	தவிர்க்க முடியாத	முதல் முறையாக மேடைக்கு சென்றதால் அவனுக்கு சிறிது பதட்டம் தவிர்க்க முடியாதது.
不时	அவ்வப்போது	அவன் அவ்வப்போது தலை தூக்கி கடிகாரத்தைப் பார்த்தான்.
不惜	தயங்காமல்	ஒருவரை காப்பாற்ற அவன் ஆபத்தை ஏற்க தயங்கவில்லை.
不相上下	சமமான	இரு அணிகளின் பலம் கிட்டத்தட்ட சமமானது.
不言而喻	சொல்லத் தேவையில்லாத	நேர்மையின் முக்கியத்துவம் சொல்லத் தேவையில்லாதது.
不由得	தடுக்க முடியாமல்	பழைய புகைப்படத்தை பார்த்ததும் நான் குழந்தைப் பருவத்தை தடுக்க முடியாமல் நினைத்தேன்.
不择手段	எந்த வழியையும் பயன்படுத்துதல்	பணம் சம்பாதிக்க அவன் எந்த வழியையும் பயன்படுத்துகிறான்.
不止	மேற்பட்ட	கூட்டத்தில் நூற்றுக்கும் மேற்பட்டோர் பங்கேற்றனர்.
布告	அறிவிப்பு	பள்ளி வாசலில் ஒரு அறிவிப்பு ஒட்டப்பட்டது.
布局	அமைப்பு	இந்த குடியிருப்பின் அமைப்பு மிகவும் நியாயமானது.
布置	ஒதுக்குதல்	ஆசிரியர் புதிய வீட்டுப்பாடத்தை ஒதுக்கினார்.
步伐	சீரான நடை	அணி சீரான நடையுடன் முன்னேறியது.
部署	திட்டமிட்டு அமல்படுத்துதல்	நிறுவனம் புதிய விற்பனைத் திட்டத்தை அமல்படுத்துகிறது.
部位	பகுதி	மருத்துவர் காயமடைந்த பகுதியைப் பரிசோதித்தார்.
才干	திறமை	அவளுக்கு மேலாண்மையில் மிகுந்த திறமை உள்ளது.
裁缝	தையல்காரர்	இந்த தையல்காரரின் கைதிறன் மிகவும் நல்லது.
裁判	நடுவர்	நடுவர் போட்டி தற்காலிகமாக நிறுத்தப்பட்டது என்று அறிவித்தார்.
裁员	பணியாளர் குறைத்தல்	இழப்புகள் காரணமாக நிறுவனம் பணியாளர்களைக் குறைக்க முடிவு செய்தது.
财富	செல்வம்	அறிவும் ஒரு வகை செல்வம்.
财务	நிதி	நிதித் துறை கணக்குகளைச் சரிபார்த்து வருகிறது.
财政	அரசு நிதி	இந்த ஆண்டு அரசு நிதி வருவாய் ஓரளவு அதிகரித்துள்ளது.
彩票	லாட்டரி சீட்டு	அவன் அவ்வப்போது ஒரு லாட்டரி சீட்டு வாங்குவான்.
采购	கொள்முதல் செய்தல்	நிறுவனம் உபகரணங்களை கொள்முதல் செய்ய ஒருவரை அனுப்பியது.
采集	சேகரித்தல்	ஆராய்ச்சியாளர்கள் காட்டில் மாதிரிகளைச் சேகரித்தனர்.
采纳	ஏற்றுக்கொள்ளுதல்	தலைவர் எங்களுடைய பரிந்துரையை ஏற்றுக்கொண்டார்.
参谋	ஆலோசனை வழங்குதல்	அவன் அடிக்கடி மேலாளருக்கு ஆலோசனை வழங்குகிறான்.
参照	ஒப்பிட்டு பின்பற்றுதல்	தயவு செய்து இந்த வடிவத்தை ஒப்பிட்டு பின்பற்றி படிவத்தை நிரப்புங்கள்.
残疾	மாற்றுத்திறன்	இந்த நிலையம் மாற்றுத்திறனுடைய பயணிகளுக்கு உதவி வழங்குகிறது.
残酷	கொடூரமான	போர் மிகவும் கொடூரமானது.
残留	மீதமிருத்தல்	கோப்பையில் இன்னும் காபி மணம் மீதமுள்ளது.
残忍	இரக்கமற்ற	விலங்குகளைத் துன்புறுத்துவது இரக்கமற்ற செயல்.
灿烂	பிரகாசமான	அவள் பிரகாசமான புன்னகையை வெளிப்படுத்தினாள்.
仓促	அவசரமான	இந்த முடிவு மிக அவசரமாக எடுக்கப்பட்டது.
仓库	கிடங்கு	சரக்குகள் ஏற்கனவே கிடங்கிற்கு அனுப்பப்பட்டுள்ளன.
舱	விமான அறை	பயணிகள் விமான அறைக்குள் நுழைகிறார்கள்.
苍白	வெளிறிய	அவனுடைய முகம் மிகவும் வெளிறியதாகத் தோன்றியது.
操劳	உழைத்து கவனித்தல்	அம்மா இந்தக் குடும்பத்திற்காக பல ஆண்டுகள் உழைத்து கவனித்தார்.
操练	பயிற்சி செய்தல்	சிப்பாய்கள் ஒவ்வொரு காலையும் பயிற்சி செய்கிறார்கள்.
操纵	கட்டுப்படுத்துதல்	இந்த இயந்திரம் கணினியால் கட்டுப்படுத்தப்படுகிறது.
操作	இயக்குதல்	வழிமுறைகளின்படி உபகரணத்தை இயக்குங்கள்.
嘈杂	சத்தமுள்ள	நிலையத்தில் மிகவும் சத்தமாக உள்ளது.
草案	வரைவு	குழு வரைவை விவாதித்து வருகிறது.
草率	கவனக்குறைவான	இவ்வளவு முக்கியமான முடிவு கவனக்குறைவாக இருக்கக் கூடாது.
侧面	பக்கவாட்டு	பக்கவாட்டில் பார்த்தால் இந்த கட்டிடம் இன்னும் உயரமாகத் தெரிகிறது.
测量	அளவிடுதல்	பொறியாளர் பாலத்தின் நீளத்தை அளவிடுகிறார்.
策划	திட்டமிடுதல்	அவர்கள் ஒரு பெரிய நிகழ்ச்சியைத் திட்டமிட்டனர்.
策略	உத்தி	இந்த உத்தி நிறுவனத்திற்கு செலவைக் குறைக்க உதவியது.
层出不穷	தொடர்ந்து தோன்றுதல்	புதிய பிரச்சினைகள் ஒன்றன் பின் ஒன்றாக தொடர்ந்து தோன்றுகின்றன.
层次	அடுக்கமைப்பு	இந்தக் கட்டுரையின் அடுக்கமைப்பு மிகவும் தெளிவானது.
差别	வேறுபாடு	இரண்டு முறைகளுக்கிடையில் பெரிய வேறுபாடு இல்லை.
插座	மின் சாக்கெட்	இந்த அறையில் மின் சாக்கெட்டுகள் போதவில்லை.
查获	பறிமுதல் செய்தல்	சுங்கத்துறை போலி பொருட்களின் ஒரு தொகுதியைப் பறிமுதல் செய்தது.
刹那	கணநேரம்	கணநேரத்தில் எல்லா விளக்குகளும் அணைந்துவிட்டன.
岔	கிளைப் பிரிவு	முன்னிலுள்ள சந்திப்பில் வாகனங்கள் கிளைப் பிரிந்தன.
诧异	ஆச்சரியமடைதல்	அவனுடைய முடிவு அனைவரையும் மிகவும் ஆச்சரியப்படுத்தியது.
柴油	டீசல் எரிபொருள்	இந்த லாரி டீசல் எரிபொருளைப் பயன்படுத்துகிறது.
搀	கையால் தாங்குதல்	செவிலியர் முதியவரை கையால் தாங்கி நோயறைக்குள் அழைத்துச் சென்றார்.
缠绕	சுற்றிப்பிணைதல்	கொடிகள் மரக்கிளைகளில் சுற்றிப்பிணைந்துள்ளன.
馋	ஆசைப்படுதல்	கேக்கைப் பார்த்ததும் குழந்தை கொஞ்சம் ஆசைப்பட்டது.
产业	தொழில் துறை	சுற்றுலா இங்குள்ள முக்கியமான தொழில் துறை.
阐述	விரிவாக விளக்குதல்	பேராசிரியர் தனது கருத்தை விரிவாக விளக்கினார்.
颤抖	நடுங்குதல்	அவள் குளிரால் முழு உடலும் நடுங்கினாள்.
昌盛	செழிப்பான	நாடு செழிப்பாக வளர வேண்டும் என்று நாங்கள் விரும்புகிறோம்.
偿还	திருப்பிச் செலுத்துதல்	அவன் கடனை நேரத்தில் திருப்பிச் செலுத்தினான்.
尝试	முயற்சி செய்தல்	நாம் புதிய முறையை முயற்சி செய்யலாம்.
场合	சூழ்நிலை	இத்தகைய சூழ்நிலையில் நகைச்சுவை பொருத்தமல்ல.
场面	காட்சி	திருமணத்தின் காட்சி மிகவும் உற்சாகமாக இருந்தது.
场所	இடம்	இது பொது இடம், தயவு செய்து புகைபிடிக்காதீர்கள்.
敞开	முழுதாகத் திறந்துவைத்தல்	தயவு செய்து ஜன்னலை சிறிது நேரம் முழுதாகத் திறந்துவையுங்கள்.
倡导	ஆதரித்து பரப்புதல்	பள்ளி ஆரோக்கியமான வாழ்க்கை முறையை ஆதரித்து பரப்புகிறது.
倡议	முன்மொழிவு	இந்த சுற்றுச்சூழல் முன்மொழிவு ஆதரவைப் பெற்றது.
畅通	தடையின்றி இயங்குதல்	மழை நின்றபின் சாலை மீண்டும் தடையின்றி இயங்கியது.
畅销	அதிகம் விற்பனையாகும்	இந்த நாவல் மிகவும் அதிகம் விற்பனையாகிறது.
超越	மீறிச் செல்லுதல்	அவன் இறுதியாக தனது சாதனையை மீறிச் சென்றான்.
钞票	காகிதப் பணம்	பணப்பையில் சில காகிதப் பணத்தாள்கள் மட்டுமே மீதமிருந்தன.
嘲笑	கேலி செய்தல்	மற்றவர்களின் குறைகளை கேலி செய்யாதே.
巢穴	விலங்கு உறைவிடம்	வேட்டையாளர் விலங்கின் உறைவிடத்தை கண்டுபிடித்தான்.
朝代	வம்ச ஆட்சி காலம்	தாங் காலம் சீன வரலாற்றில் ஒரு வம்ச ஆட்சி காலம்.
