source_headword	KA	example_KA
leisure	თავისუფალი დრო	კითხვა ჩემი საყვარელი თავისუფალი დროის საქმეა.
length	სიგრძე	ოთახის სიგრძე გაზომე.
lie2 (tell a lie)	ტყუილის თქმა	მშობლებს ტყუილი არ უთხრა.
limit	ზღვარი	სიჩქარის ზღვარი ორმოცდაათია.
lip	ტუჩი	მან ტუჩი იკბინა.
liquid	სითხე	წყალი გამჭვირვალე სითხეა.
literature	ლიტერატურა	ის ფრანგულ ლიტერატურას სწავლობს.
live2	ცოცხლად	ჯგუფმა გუშინ ღამით ცოცხლად დაუკრა.
living	ცოცხალი	ცოცხალ მცენარეებს სინათლე სჭირდებათ.
locate	პოვნა	შეგიძლია ფაილი იპოვო?
located	მდებარე	ოფისი ქალაქის ცენტრში მდებარეობს.
location	ადგილი	ეს კარგი ადგილია.
lonely	მარტოსული	გადასვლის შემდეგ ის თავს მარტოსულად გრძნობდა.
loss	დანაკარგი	დანაკარგი ყველასთვის მძიმე იყო.
luxury	ფუფუნება	სასტუმრო ნამდვილ ფუფუნებას სთავაზობს.
mad	გაბრაზებული	დაგვიანების გამო ის გაბრაზდა.
magic	მაგია	წარმოდგენა მაგიით იყო სავსე.
mainly	ძირითადად	ჯგუფი ძირითადად სტუდენტებისგან შედგება.
mall	სავაჭრო ცენტრი	ჩვენ სავაჭრო ცენტრში შევხვდით.
management	მართვა	კარგი მართვა დროს ზოგავს.
marketing	მარკეტინგი	მარკეტინგი პროდუქტს გაყიდვაში ეხმარება.
marriage	ქორწინება	მათი ქორწინება ოცდაათი წელი გაგრძელდა.
meanwhile	ამასობაში	ამასობაში მე ვახშამი მოვამზადე.
measure	გაზომვა	მაგიდა ყურადღებით გაზომე.
medium	საშუალო	მე საშუალო პიცა შევუკვეთე.
mental	ფსიქიკური	სტრესი ფსიქიკურ ჯანმრთელობაზე მოქმედებს.
mess	არეულობა	ეს არეულობა მოაწესრიგე.
mild	რბილი	სუპს რბილი გემო აქვს.
mine (hole in the ground)	შახტი	შახტი გასულ წელს დაიხურა.
mix	შერევა	კვერცხი რძეს შეურიე.
mixture	ნარევი	ნარევი გასქელდა.
mood	განწყობა	მუსიკამ მისი განწყობა შეცვალა.
mud	ტალახი	მისი ფეხსაცმელი ტალახით დაიფარა.
murder	მკვლელობა	მკვლელობა ღამით მოხდა.
muscle	კუნთი	ვარჯიში კუნთს ზრდის.
mystery	საიდუმლო	ძველი სახლი საიდუმლოა.
nail	ფრჩხილი	ერთი ფრჩხილი გამიტყდა.
narrative	თხრობა	რომანს მკაფიო თხრობა აქვს.
nation	ერი	მთელმა ერმა იზეიმა.
native	მშობლიური	ესპანური მისი მშობლიური ენაა.
naturally	ბუნებრივად	ბავშვები თამაშით ბუნებრივად სწავლობენ.
necessarily	აუცილებლად	ძვირი საჭმელი აუცილებლად უკეთესი არ არის.
needle	ნემსი	ნემსი ძალიან ბასრია.
neighbourhood	უბანი	ისინი მშვიდ უბანში ცხოვრობენ.
net	ბადე	მეთევზემ ბადე შეაკეთა.
nor	არც	მან არც გაიღიმა და არც ილაპარაკა.
northern	ჩრდილოეთი	ისინი ჩრდილოეთ სანაპიროს ეწვივნენ.
nuclear	ბირთვული	დისკუსია ბირთვულ ენერგიაზე იყო.
obvious	აშკარა	პასუხი აშკარა იყო.
obviously	აშკარად	აშკარად, მეტი დრო გვჭირდება.
occasion	შემთხვევა	ეს განსაკუთრებული შემთხვევაა.
occur	მოხდება	უბედური შემთხვევები ყველგან შეიძლება მოხდეს.
odd	უცნაური	ეს უცნაური კითხვა იყო.
official	ოფიციალური	ოფიციალური შედეგი დღეს მოვიდა.
old-fashioned	მოძველებული	მისი ტელეფონი მოძველებული ჩანს.
operation	ოპერაცია	ოპერაცია ორი საათი გაგრძელდა.
organized	მოწესრიგებული	მისი მაგიდა ძალიან მოწესრიგებულია.
organizer	ორგანიზატორი	ორგანიზატორმა სტუმრები მიიღო.
originally	თავდაპირველად	ის თავდაპირველად კანადიდან მოვიდა.
ought modal	უნდა	უნდა დაისვენო.
ours	ჩვენი	ეს მაგიდა ჩვენია.
outdoor	გარე	ჩვენ გარე ავეჯი ვიყიდეთ.
outdoors	გარეთ	ბავშვები გარეთ უნდა თამაშობდნენ.
package	პაკეტი	პაკეტი დღეს დილით მოვიდა.
painful	მტკივნეული	ჭრილობა მტკივნეული იყო.
pale	ფერმკრთალი	მისი სახე ფერმკრთალი ჩანდა.
pan	ტაფა	ჯერ ტაფა გააცხელე.
participate	მონაწილეობა	ყველას შეუძლია მონაწილეობა.
particularly	განსაკუთრებით	ეს სიმღერა განსაკუთრებით მომწონს.
passion	ვნება	მუსიკა მისი ვნებაა.
path	ბილიკი	პარკში ბილიკს გაჰყევი.
payment	გადახდა	გადახდა ხვალ არის საჭირო.
peaceful	მშვიდი	ბაღი მშვიდია.
percentage	პროცენტი	მცირე პროცენტი დაეთანხმა.
perfectly	სრულყოფილად	გეგმა სრულყოფილად იმუშავა.
performance	შესრულება	მისი შესრულება შესანიშნავი იყო.
personally	პირადად	პირადად მე ჩაის ვამჯობინებ.
persuade	დარწმუნება	შეგიძლია ის მონაწილეობაში დაარწმუნო?
photographer	ფოტოგრაფი	ფოტოგრაფმა ბევრი სურათი გადაიღო.
photography	ფოტოგრაფია	ფოტოგრაფია მისი საყვარელი ჰობია.
pin	სარჭი	რუკაზე სარჭი დადე.
pipe	მილი	მილი წყალს ატარებს.
planning	დაგეგმვა	დაგეგმვას დრო სჭირდება.
pleasant	სასიამოვნო	ჩვენ სასიამოვნო საღამო გვქონდა.
pleasure	სიამოვნება	თქვენთან შეხვედრა სიამოვნება იყო.
plenty	ბევრი	ჩვენ ბევრი დრო გვაქვს.
plot	სიუჟეტი	სიუჟეტის მიყოლა ადვილი იყო.
plus1	პლუს	ორი პლუს სამი ხუთია.
poem	ლექსი	მან მოკლე ლექსი დაწერა.
poet	პოეტი	პოეტმა ხმამაღლა წაიკითხა.
poetry	პოეზია	მას თანამედროვე პოეზია უყვარს.
poison	შხამი	შხამი ბავშვებისგან შორს შეინახე.
poisonous	შხამიანი	ზოგი სოკო შხამიანია.
policy	პოლიტიკა	კომპანიამ პოლიტიკა შეცვალა.
political	პოლიტიკური	სიტყვა პოლიტიკური იყო.
politician	პოლიტიკოსი	პოლიტიკოსმა კითხვებს უპასუხა.
politics	პოლიტიკა	პოლიტიკა რთული შეიძლება იყოს.
port	პორტი	გემი პორტში შევიდა.
portrait	პორტრეტი	პორტრეტი დარბაზში კიდია.
possibly	შესაძლოა	ის შესაძლოა გვიან მოვიდეს.
pot	ქოთანი	მცენარეს უფრო დიდი ქოთანი სჭირდება.
pour	დასხმა	რძე ნელა დაასხი.
poverty	სიღარიბე	ბევრი ოჯახი სიღარიბეში ცხოვრობს.
powder	ფხვნილი	ფხვნილი წყალში დაამატე.
powerful	ძლიერი	ძრავა ძლიერია.
practical	პრაქტიკული	ეს პრაქტიკული გამოსავალია.
pray	ლოცვა	ისინი ყოველ დილით ლოცულობენ.
prayer	ლოცვა	მან მშვიდი ლოცვა თქვა.
prediction	პროგნოზი	მისი პროგნოზი სწორი იყო.
prepared	მზად	მე გამოცდისთვის მზად ვარ.
presentation	პრეზენტაცია	მისი პრეზენტაცია ნათელი იყო.
press	დაჭერა	ღილაკს ერთხელ დააჭირე.
pressure	წნევა	წნევამ შეიძლება ჯანმრთელობაზე იმოქმედოს.
pretend	თავის მოჩვენება	ძილად თავის მოჩვენებას ნუ გააკეთებ.
previous	წინა	წინა გაკვეთილი უფრო ადვილი იყო.
previously	ადრე	ჩვენ ადრე რომში ვცხოვრობდით.
priest	მღვდელი	მღვდელმა ჩუმად ისაუბრა.
primary	მთავარი	ჯანმრთელობა ჩვენი მთავარი საზრუნავია.
prince	პრინცი	პრინცმა სკოლა მოინახულა.
princess	პრინცესა	პრინცესას ლურჯი კაბა ეცვა.
printing	ბეჭდვა	ანგარიშის ბეჭდვას რამდენიმე წუთი დასჭირდა.
prisoner	პატიმარი	პატიმარი ღამით გაიქცა.
private	პირადი	ეს პირადი საუბარია.
producer	პროდიუსერი	პროდიუსერს ფილმი მოეწონა.
production	წარმოება	წარმოება მომავალ კვირას იწყება.
profession	პროფესია	მასწავლებლობა პატივსაცემი პროფესიაა.
profit	მოგება	მაღაზიამ მოგება მიიღო.
promote	ხელშეწყობა	ისინი ჯანსაღ კვებას ხელს უწყობენ.
proper	სწორი	ლაშქრობისთვის სწორი ფეხსაცმელი ჩაიცვი.
properly	სწორად	კარი სწორად დახურე.
property	ქონება	მათ მდინარესთან ქონება იყიდეს.
protest	პროტესტი	პროტესტი მშვიდობიანად დასრულდა.
proud	ამაყი	ის თავისი შვილით ამაყობდა.
prove	დამტკიცება	შეგიძლია შენი პასუხი დაამტკიცო?
punish	დასჯა	მასწავლებელმა ის არ დასაჯა.
punishment	სასჯელი	სასჯელი სამართლიანი ჩანდა.
qualification	კვალიფიკაცია	ამ სამუშაოსთვის კვალიფიკაცია გჭირდება.
qualified	კვალიფიციური	ის კვალიფიციური ექთანია.
qualify	კვალიფიკაციის მიღება	ჩვენმა გუნდმა შეიძლება კვალიფიკაცია მიიღოს.
queue	რიგი	ჩვენ გრძელ რიგში ვიდექით.
quit	მიტოვება	მან მოწევის მიტოვება გადაწყვიტა.
quotation	ციტატა	ესე ციტატით იწყება.
quote	ციტირება	შენი სიტყვების ციტირება შემიძლია?
race (people)	რასა	ფორმა რასას შესახებ ეკითხება.
racing	რბოლა	ცხენების რბოლა იქ პოპულარულია.
range	დიაპაზონი	მაღაზია ფართო დიაპაზონს ყიდის.
rare	იშვიათი	ეს ფრინველი იშვიათია.
rarely	იშვიათად	ჩვენ იშვიათად ვჭამთ გარეთ.
reaction	რეაქცია	მისმა რეაქციამ გამაოცა.
reality	რეალობა	რეალობა მისი ოცნებისგან განსხვავებული იყო.
receipt	ქვითარი	ქვითარი შეინახე.
recommendation	რეკომენდაცია	რეკომენდაციისთვის მადლობა.
reference	წყარო	ბოლოში წყარო დაამატე.
reflect	არეკვლა	სარკეს სინათლის არეკვლა შეუძლია.
regularly	რეგულარულად	ის რეგულარულად ვარჯიშობს.
reject	უარყოფა	მათ შეიძლება შეთავაზება უარყონ.
relate	დაკავშირება	მე ამ ამბავთან დაკავშირება შემიძლია.
related	დაკავშირებული	ორი პრობლემა დაკავშირებულია.
relation	კავშირი	მათ შორის კავშირია.
relative	შედარებითი	სიჩქარე შედარებითია.
relaxed	მოდუნებული	ვახშმის შემდეგ ის მოდუნებული ჩანდა.
relaxing	დამამშვიდებელი	მუსიკა დამამშვიდებელი იყო.
release	გამოშვება	ისინი ფილმს მალე გამოუშვებენ.
reliable	სანდო	ეს ავტობუსი ჩვეულებრივ სანდოა.
religion	რელიგია	რელიგია მისთვის მნიშვნელოვანია.
religious	რელიგიური	ისინი რელიგიურ შენობას ეწვივნენ.
remain	დარჩენა	გთხოვ, მშვიდად დარჩი.
remind	შეხსენება	ხვალ შემახსენე.
remote	შორეული	ისინი შორეულ სოფელში ცხოვრობენ.
rent	ქირა	ქირა დღეს გადასახდელია.
repeated	განმეორებული	განმეორებულმა შეცდომებმა საქმე შეანელა.
represent	წარმოდგენა	ვარსკვლავი იმედს წარმოადგენს.
require	მოთხოვნა	ეს სამუშაო სწავლას მოითხოვს.
reservation	დაჯავშნა	მე დაჯავშნა გავაკეთე.
resource	რესურსი	ბიბლიოთეკა სასარგებლო რესურსია.
respect	პატივისცემა	თანაკლასელებს პატივი ეცი.
responsibility	პასუხისმგებლობა	ბავშვის მოვლა დიდი პასუხისმგებლობაა.
responsible	პასუხისმგებელი	ის ბილეთებზე პასუხისმგებელია.
retire	პენსიაზე გასვლა	მამაჩემი მალე პენსიაზე გავა.
retired	პენსიონერი	ის პენსიონერი მასწავლებელია.
revise	გადახედვა	დღეს საღამოს ესეს გადახედე.
risk	რისკი	წვიმის რისკია.
robot	რობოტი	რობოტმა იატაკი გაწმინდა.
roll	გაგორება	ბურთი ჩემკენ გააგორე.
romantic	რომანტიკული	მათ რომანტიკული ვახშამი ჰქონდათ.
rope	თოკი	თოკი მაგრად შეკარი.
rough	უხეში	გზა უხეში იყო.
row1	რიგი	წინა რიგში დაჯექი.
royal	სამეფო	სამეფო ოჯახი ჩამოვიდა.
rugby	რაგბი	ჩვენ ტელევიზორში რაგბს ვუყურეთ.
safety	უსაფრთხოება	სამსახურში უსაფრთხოება მნიშვნელოვანია.
sailor	მეზღვაური	მეზღვაურმა ნავი შეაკეთა.
sample	ნიმუში	ექთანმა სისხლის ნიმუში აიღო.
sand	ქვიშა	ქვიშამ ჩემი ფეხსაცმელი დაფარა.
scan	სკანირება	ჯერ დოკუმენტი დაასკანირე.
scientific	სამეცნიერო	ეს სამეცნიერო მეთოდია.
script	სცენარი	მსახიობმა სცენარი წაიკითხა.
sculpture	ქანდაკება	ქანდაკება გარეთ დგას.
secondary	მეორეული	ეს მეორეული პრობლემაა.
security	უსაფრთხოება	უსაფრთხოებამ ჩვენი ჩანთები შეამოწმა.
seed	თესლი	თესლი ნიადაგში დარგე.
sensible	გონივრული	ეს გონივრული აზრია.
seriously	სერიოზულად	ეს პრობლემა სერიოზულად მიიღე.
servant	მსახური	მსახურმა კარი გააღო.
set (put)	დადება	ჭიქა მაგიდაზე დადე.
set (group)	კომპლექტი	ამ კომპლექტში ექვსი ჭიქაა.
setting	გარემო	მოთხრობას ქალაქის გარემო აქვს.
sex	სქესი	ფორმა ასაკსა და სქესს ეკითხება.
sexual	სქესობრივი	კლასმა სქესობრივი ჯანმრთელობა განიხილა.
sharp	ბასრი	ეს დანა ბასრია.
shelf	თარო	წიგნი თაროზე დადე.
shell	ნიჟარა	ნიჟარა ცარიელი იყო.
shift	ცვლა	ჩემი ცვლა რვაზე იწყება.
shine	ბრწყინვა	ვარსკვლავები ღამით ბრწყინავენ.
shiny	მბზინავი	მისი ფეხსაცმელი მბზინავია.
shoot	გადაღება	ფოტოგრაფი სცენას გადაიღებს.
shy	მორცხვი	ის უცხოებთან მორცხვია.
sight	ხედი	მთა ლამაზი ხედი იყო.
signal	სიგნალი	სიგნალი სუსტი იყო.
silent	ჩუმი	ოთახი ჩუმი გახდა.
silly	სულელური	ეს სულელური შეცდომა იყო.
similarity	მსგავსება	აშკარა მსგავსებაა.
similarly	მსგავსად	მეორე გეგმა მსგავსად მუშაობს.
simply	უბრალოდ	უბრალოდ ამ ღილაკს დააჭირე.
sink	ჩაძირვა	მძიმე ქვები სწრაფად იძირება.
slice	ნაჭერი	მე ტორტის ერთი ნაჭერი ვჭამე.
slightly	ოდნავ	ოთახი ოდნავ უფრო თბილია.
smart	ელეგანტური	მას ელეგანტური ქურთუკი ეცვა.
smooth	გლუვი	გზა გლუვია.
software	პროგრამული უზრუნველყოფა	პროგრამულ უზრუნველყოფას განახლება სჭირდება.
soil	ნიადაგი	ნიადაგი მშრალია.
solid	მყარი	კედელი მყარია.
southern	სამხრეთი	ისინი სამხრეთ სანაპიროზე ცხოვრობენ.
specifically	კონკრეტულად	მე კონკრეტულად ჩაი ვითხოვე.
spending	ხარჯვა	სახელმწიფო ხარჯვა გაიზარდა.
spicy	ცხარე	ეს კარი ცხარეა.
spirit	სული	გუნდმა დიდი სული აჩვენა.
spoken	სასაუბრო	ვარჯიშით სასაუბრო ინგლისური უმჯობესდება.
spot	ადგილი	ეს ადგილი სრულყოფილია.
spread	წასმა	პურზე კარაქი წაუსვი.
stadium	სტადიონი	სტადიონი სავსე იყო.
staff	პერსონალი	პერსონალი დამხმარე იყო.
standard	სტანდარტი	სტანდარტი მაღალი იყო.
statistic	სტატისტიკა	ეს სტატისტიკა გასაკვირია.
statue	ქანდაკება	ქანდაკება მოედანზე დგას.
stick (push into/attach)	მიკვრა	ეტიკეტი ყუთზე მიაკარი.
stick (piece of wood)	ჯოხი	მან ჯოხი აიღო.
