simplified	RU	example_RU
并列	стоять рядом; делить место	Эти два проекта разделили первое место.
剥削	эксплуатировать; эксплуатация	В старом обществе существовала серьезная эксплуатация.
拨	набирать номер; отодвигать; выделять	Пожалуйста, наберите этот номер телефона.
播种	сеять; посев	Весной крестьяне начинают сеять.
波浪	волна	На море поднялись огромные волны.
波涛	бурные волны; валы	Лодка двигалась вперед среди бурных волн.
伯母	тетя; жена старшего брата отца	В выходные я навещу тетю.
博大精深	широкий и глубокий; всеобъемлющий	Китайская культура широка и глубока.
博览会	выставка; ярмарка	Международная выставка привлекла много компаний.
搏斗	бороться; сражаться	Полиция вступила в схватку с преступником.
薄弱	слабый; непрочный	Его грамматическая база довольно слабая.
不顾	невзирая на; несмотря на	Он бросился внутрь, несмотря на опасность.
不愧	достойный называться; не зря	Он действительно достоин называться опытным специалистом.
不料	неожиданно; к удивлению	Неожиданно совещание внезапно отменили.
不像话	возмутительный; никуда не годится	Так обращаться с гостями совершенно возмутительно.
不屑一顾	презирать; не считать достойным внимания	Он с презрением отмахнулся от этих слухов.
哺乳	кормить грудью; вскармливание	Мать кормит младенца грудью.
捕捉	поймать; уловить; запечатлеть	Фотограф запечатлел прекрасный момент.
补偿	компенсировать; возмещать	Компания компенсирует твои потери.
补救	исправить; принять меры	У нас еще есть время исправить ситуацию.
补贴	субсидия; пособие; субсидировать	Правительство выдает пособия семьям с низким доходом.
不得已	вынужденно; не иметь выбора	Он покинул родной город только вынужденно.
不妨	можно; не помешает	Можешь сначала послушать его объяснение.
不敢当	не заслуживать похвалы; вы мне льстите	Вы так меня хвалите, что я правда не заслуживаю.
不禁	не удержаться; невольно	Услышав эту новость, он невольно рассмеялся.
不堪	невыносимый; не выдерживать	Шум здесь невыносим.
不可思议	невероятный; немыслимый	Этот результат действительно невероятен.
不免	неизбежно; трудно избежать	Впервые выйдя на сцену, он неизбежно немного нервничал.
不时	время от времени; часто	Он время от времени поднимал голову и смотрел на часы.
不惜	не пожалеть; не колебаться	Чтобы спасти человека, он не побоялся рискнуть.
不相上下	примерно равный; не уступать друг другу	Силы двух команд примерно равны.
不言而喻	само собой разумеется	Важность честности само собой разумеется.
不由得	невольно; не удержаться	Увидев старую фотографию, я невольно вспомнил детство.
不择手段	любыми средствами; не гнушаясь ничем	Ради денег он использует любые средства.
不止	больше чем; не только	В совещании участвовало больше ста человек.
布告	объявление; извещение	У ворот школы повесили объявление.
布局	планировка; расположение	Планировка этой квартиры очень разумная.
布置	расположить; оформить; задать	Учитель задал новую домашнюю работу.
步伐	шаг; темп	Отряд двигался вперед ровным шагом.
部署	развертывать; планировать; размещать	Компания развертывает новый план продаж.
部位	место; участок	Врач осмотрел поврежденный участок.
才干	способности; талант	У нее большие способности в управлении.
裁缝	портной; швея	Этот портной очень искусный.
裁判	судья; судить	Судья объявил перерыв в матче.
裁员	сокращать персонал; увольнять сотрудников	Компания решила сократить сотрудников из-за убытков.
财富	богатство; состояние	Знание тоже является богатством.
财务	финансы; финансовые дела	Финансовый отдел сверяет счета.
财政	финансы; финансовый	Бюджетные доходы в этом году немного выросли.
彩票	лотерейный билет	Он иногда покупает лотерейный билет.
采购	закупать; приобретать	Компания отправила человека закупать оборудование.
采集	собирать; заготавливать	Исследователи собирали образцы в лесу.
采纳	принять; взять на вооружение	Руководитель принял наше предложение.
参谋	советник; давать советы	Он часто дает советы менеджеру.
参照	сверяться; руководствоваться	Пожалуйста, заполните форму по этому образцу.
残疾	инвалидность; с ограниченными возможностями	Эта станция оказывает помощь пассажирам с инвалидностью.
残酷	жестокий; беспощадный	Война очень жестока.
残留	оставаться; остаточный	В чашке все еще оставался запах кофе.
残忍	жестокий; безжалостный	Жестокое обращение с животными - бесчеловечный поступок.
灿烂	яркий; блистательный	Она улыбнулась яркой улыбкой.
仓促	спешный; поспешно	Это решение приняли слишком поспешно.
仓库	склад	Товары уже доставили на склад.
舱	кабина; салон; отсек	Пассажиры входят в салон самолета.
苍白	бледный	Его лицо выглядело очень бледным.
操劳	усердно трудиться; заботиться	Мать много лет трудилась ради этой семьи.
操练	тренировка; строевая подготовка	Солдаты тренируются каждое утро.
操纵	управлять; контролировать	Этой машиной управляет компьютер.
操作	работать с; управлять	Пожалуйста, работайте с оборудованием по инструкции.
嘈杂	шумный	На вокзале очень шумно.
草案	проект; черновик	Комитет обсуждает проект.
草率	небрежный; поспешный	Такое важное решение нельзя принимать небрежно.
侧面	бок; сторона; аспект	Сбоку это здание кажется выше.
测量	измерять; проводить замеры	Инженер измеряет длину моста.
策划	планировать; организовывать	Они спланировали крупное мероприятие.
策略	стратегия; тактика	Эта стратегия помогла компании снизить расходы.
层出不穷	появляться один за другим	Новые проблемы появляются одна за другой.
层次	уровень; структура	Структура этой статьи очень ясная.
差别	различие; разница	Между двумя методами нет большой разницы.
插座	розетка	В этой комнате не хватает розеток.
查获	обнаружить и изъять; задержать	Таможня изъяла партию поддельных товаров.
刹那	мгновение; миг	В одно мгновение все лампы погасли.
岔	развилка; ответвление	Машины разъехались на перекрестке впереди.
诧异	удивленный; пораженный	Его решение очень удивило всех.
柴油	дизельное топливо	Этот грузовик использует дизельное топливо.
搀	поддерживать под руку; помогать идти	Медсестра поддержала старика и провела его в палату.
缠绕	обвивать; оплетать	Лозы обвивают ветви дерева.
馋	испытывать сильное желание съесть; лакомый	Увидев торт, ребенок немного захотел сладкого.
产业	отрасль; индустрия	Туризм здесь является важной отраслью.
阐述	излагать; подробно объяснять	Профессор подробно изложил свою точку зрения.
颤抖	дрожать; трястись	Ей было так холодно, что она дрожала всем телом.
昌盛	процветающий; благополучный	Мы надеемся, что страна будет процветать.
偿还	возвращать долг; погашать	Он вовремя погасил кредит.
尝试	пытаться; пробовать	Мы можем попробовать новый метод.
场合	случай; ситуация	В такой ситуации шутить неуместно.
场面	сцена; обстановка	Свадьба была очень оживленной.
场所	место; помещение	Это общественное место, пожалуйста, не курите.
敞开	распахнуть; держать открытым	Пожалуйста, ненадолго распахните окно.
倡导	выступать за; пропагандировать	Школа выступает за здоровый образ жизни.
倡议	инициатива; предлагать	Эта экологическая инициатива получила поддержку.
畅通	свободный; беспрепятственный	После дождя дорога снова стала свободной.
畅销	хорошо продаваться; ходовой	Этот роман очень хорошо продается.
超越	превзойти; превысить	Он наконец превзошел собственный рекорд.
钞票	банкнота; бумажные деньги	В кошельке осталось только несколько банкнот.
嘲笑	насмехаться; высмеивать	Не высмеивай недостатки других людей.
巢穴	логово; гнездо	Охотник обнаружил логово животного.
朝代	династия; эпоха правления	Династия Тан - одна из династий в истории Китая.
潮流	течение; тенденция; тренд	Молодежь внимательно следит за модными тенденциями.
撤退	отступать; отходить	Войска отступили после получения приказа.
撤销	отменять; аннулировать	Суд отменил прежнее решение.
沉淀	оседать; выпадать в осадок	Ил будет медленно оседать.
沉闷	душный; гнетущий	Сегодня погода жаркая и душная.
沉思	размышлять; глубокое раздумье	Он сидел у окна в глубоком раздумье.
沉重	тяжелый; серьезный	Эта новость тяжело подействовала на всех.
沉着	спокойный; хладнокровный	При опасности нужно сохранять хладнокровие.
陈旧	устаревший; старомодный	Эта машина уже очень устарела.
陈列	выставлять; экспонировать	В выставочном зале выставлено много культурных реликвий.
陈述	излагать; заявлять	Пожалуйста, ясно изложи факты.
称心如意	полностью удовлетворять; быть по душе	Эта работа ему очень по душе.
衬托	подчеркивать; оттенять	Белая стена подчеркивает цвет цветов.
称号	звание; титул	Он получил звание отличного учителя.
乘	ехать на; пользоваться	Я каждый день езжу на метро на работу.
呈现	проявляться; принимать вид	Небо приняло бледно-красный оттенок.
城堡	замок	На вершине горы стоит старинный замок.
惩罚	наказывать; наказание	Школа будет наказывать учеников за списывание.
成本	себестоимость; затраты	Рост цен на сырье увеличил затраты.
成交	заключить сделку; состояться	Эта сделка наконец состоялась.
成天	целыми днями; все время	Он целыми днями сидит перед компьютером.
成效	эффект; результат	Новый метод управления быстро дал результат.
成心	намеренно; специально	Он не хотел намеренно поставить тебя в неловкое положение.
成员	член; участник	Каждый участник должен прийти на совещание.
承办	организовывать; брать на себя проведение	Эта компания организовала выставку.
承包	подрядиться; взять по контракту	Они взяли этот проект по контракту.
承诺	обещать; обязательство	Он обещал выполнить задачу вовремя.
橙	апельсин	Я купил несколько свежих апельсинов.
澄清	прояснять; разъяснять	Менеджер вышел и прояснил недоразумение.
盛	накладывать; наливать; вмещать	Она налила гостю миску супа.
诚挚	искренний; сердечный	Пожалуйста, примите мою искреннюю благодарность.
秤	весы	Эти весы не очень точные.
吃苦	терпеть трудности	Молодым людям следует учиться терпеть трудности.
吃力	трудный; требующий усилий	Переносить этот ящик очень тяжело.
持久	длительный; стойкий	Успех требует длительных усилий.
迟钝	медлительный; заторможенный	В последнее время его реакции немного замедлены.
迟缓	медленный; вялый	После дождя движение стало медленным.
迟疑	колебаться; медлить	Она немного поколебалась и только потом ответила.
赤道	экватор	Рядом с экватором круглый год жарко.
赤字	дефицит; убыток	В этом году у компании возник дефицит.
充当	выступать в роли; служить	В проекте он выступал координатором.
充沛	обильный; полный сил	Дети полны энергии.
充实	содержательный; наполнять	Этот опыт сделал мою жизнь более наполненной.
充足	достаточный; обильный	Перед поездкой нужно подготовить достаточно воды.
冲动	импульс; порыв	Не принимай решение под влиянием минутного порыва.
冲击	удар; воздействие	Новые технологии оказали воздействие на традиционные отрасли.
冲突	конфликт; столкновение	Обе стороны старались избежать конфликта.
崇拜	боготворить; восхищаться	Многие молодые люди восхищаются этим ученым.
崇高	благородный; возвышенный	Обязанности врача благородны.
崇敬	глубоко уважать; почитать	Все ученики глубоко уважают этого учителя.
重叠	перекрываться; накладываться	Эти две задачи частично перекрываются.
稠密	густой; плотный	Население здесь очень плотное.
筹备	готовить; подготовка	Они готовятся к свадьбе.
丑恶	уродливый; отвратительный	Он разоблачил отвратительную правду за этим событием.
出路	выход; путь вперед	Учеба может дать молодым людям больше путей вперед.
出卖	продавать; предавать	Он не предаст друзей.
出身	происхождение	Он происходит из обычной семьи.
出神	быть поглощенным; задуматься	Она была полностью поглощена музыкой.
出息	перспективы; будущее	У этого ребенка будет хорошее будущее.
初步	предварительный; начальный	Мы уже достигли предварительного соглашения.
除	кроме; удалить; исключить	Кроме него, все уже пришли.
储备	резервировать; запас	Компании нужно накопить больше средств.
储存	хранить; запасать	Эти данные будут сохраняться автоматически.
储蓄	сберегать; сбережения	Он каждый месяц откладывает часть зарплаты.
处分	наказывать дисциплинарно; взыскание	Школа вынесла ему серьезное взыскание.
处境	положение; затруднительная ситуация	Их нынешнее положение очень трудное.
处置	обрабатывать; распоряжаться; утилизировать	Это старое оборудование нужно правильно утилизировать.
触犯	нарушать; задевать	Такой поступок нарушит закон.
川流不息	непрерывным потоком	Машины на улице идут непрерывным потоком.
穿越	проходить сквозь; пересекать	Поезд прошел через длинный туннель.
传达	передавать; сообщать	Пожалуйста, передай эту новость всем.
传单	листовка; флаер	Волонтеры раздавали листовки на улице.
传授	передавать знания; обучать	Учитель передавал ученикам свой опыт.
船舶	суда; корабли	В порту стоит много судов.
喘气	задыхаться; тяжело дышать	После пробежки он долго тяжело дышал.
串	нанизывать; соединять	Она нанизала бусины в ожерелье.
床单	простыня	Пожалуйста, смените простыню.
创立	основать; учреждать	Они вместе основали эту компанию.
创新	инновация; вводить новое	Развитие предприятия требует постоянных инноваций.
创业	начать дело; открыть бизнес	Многие молодые люди выбирают открыть свое дело.
创作	создавать; писать	Писатель создает длинный роман.
吹牛	хвастаться	Не хвастайся, покажи доказательства.
吹捧	чрезмерно хвалить; превозносить	СМИ чрезмерно расхвалили этот продукт.
炊烟	дым от очага; кухонный дым	Вечером над деревней поднялся дым от очагов.
垂直	вертикальный; перпендикулярный	Эти две линии перпендикулярны друг другу.
锤	молоток; бить молотком	Рабочий ударял молотком по железной пластине.
纯粹	чистый; исключительно	Его помощь была исключительно из добрых намерений.
纯洁	чистый; невинный	Душа ребенка очень чистая.
慈善	благотворительность; благотворительный	Эта компания часто участвует в благотворительных мероприятиях.
慈祥	добрый; ласковый	У бабушки очень добрая улыбка.
磁带	магнитная лента; кассета	Эту старую кассету еще можно воспроизвести.
雌雄	самец и самка; мужской и женский	У этой птицы самцы и самки отличаются цветом.
伺候	ухаживать; обслуживать	Медсестра заботливо ухаживала за пациентом.
刺	шип; заноза; колоть	На ветках розы много шипов.
次品	бракованный товар; дефектное изделие	Эти бракованные товары нельзя продавать.
次序	порядок; последовательность	Пожалуйста, становитесь в очередь по порядку.
丛	заросль; группа	У дороги растет кустик полевых цветов.
从容	спокойный; неторопливый	Она спокойно ответила на вопрос.
凑合	сгодиться; кое-как обходиться	Комната небольшая, но жить можно.
粗鲁	грубый; невоспитанный	Он говорит слишком грубо.
窜	юркнуть; метнуться; сбежать	Кошка вдруг юркнула в дом.
摧残	разрушать; губить	Длительное загрязнение погубит этот лес.
脆弱	хрупкий; слабый	Изделия из стекла очень хрупкие.
搓	тереть; растирать	Он потер замерзшие руки.
磋商	консультироваться; вести переговоры	Стороны продолжат переговоры.
挫折	неудача; препятствие	Каждый человек сталкивается с неудачами.
搭	строить; ехать на транспорте	Мы поедем в аэропорт на автобусе.
搭档	партнер; напарник	Он мой рабочий партнер уже много лет.
搭配	сочетаться; подбирать в пару	Это пальто хорошо сочетается с брюками.
答辩	защита; отвечать на вопросы	Аспирант готовится к защите диссертации.
答复	ответ; отвечать	Пожалуйста, дайте мне ответ как можно скорее.
达成	достичь; заключить	Стороны наконец достигли соглашения.
打包	упаковывать; взять с собой	Официант упаковал нам остатки еды.
打官司	судиться; вести судебное дело	Они судились из-за проблемы с договором.
打击	удар; наносить удар	Эта неудача стала для него большим ударом.
打架	драться	Ученики, которые дерутся в школе, будут наказаны.
打量	оглядывать; оценивать взглядом	Она окинула меня взглядом с головы до ног.
打猎	охотиться	Здесь запрещено охотиться.
打仗	воевать; вести бой	Никто не хочет воевать.
大不了	в худшем случае; самое большее	В худшем случае мы попробуем еще раз завтра.
大臣	министр	Король вызвал нескольких министров.
大伙儿	все; ребята	Все ждут твоего решения.
大肆	широко; безудержно	Торговцы широко рекламировали новый продукт.
大体	в целом; примерно	В целом с планом нет проблем.
大意	основная мысль; общий смысл	Сначала расскажи основную мысль этой статьи.
大致	примерно; в общих чертах	Я примерно понял, что произошло.
歹徒	преступник; бандит	Полиция быстро поймала преступника.
代价	цена; расплата	Успех часто требует заплатить цену.
代理	исполнять обязанности; агент	Он временно исполняет обязанности менеджера.
带领	вести; руководить	Учитель повел учеников осматривать музей.
怠慢	пренебрегать; невнимательно относиться	Мы не должны пренебрегать гостями.
