source_headword	ES	example_ES
employee	el empleado; la empleada	El empleado trabaja mucho.
employer	el empleador; la empleadora	Mi empleador es justo.
empty	vacío; vaciar	La habitación está vacía.
ending	el final	El final fue inesperado.
energy	la energía	No tengo energía hoy.
engine	el motor	El motor hace ruido.
engineer	el ingeniero; la ingeniera	La ingeniera reparó el puente.
enormous	enorme	El edificio es enorme.
enter	entrar; introducir	Entra en la habitación en silencio.
environment	el medio ambiente	Cuida el medio ambiente.
equipment	el equipo; el equipamiento	Este equipo es caro.
error	el error	Encontré un error.
especially	especialmente	Me gusta especialmente esta canción.
essay	el ensayo; la redacción	Escribe una redacción esta noche.
everyday	cotidiano; de todos los días	Es inglés cotidiano.
everywhere	en todas partes	Las flores crecen en todas partes.
evidence	la prueba; la evidencia	Las pruebas son claras.
exact	exacto; exacta	Da el número exacto.
exactly	exactamente	Es exactamente correcto.
excellent	excelente	Tu trabajo es excelente.
except	excepto; salvo	Todos vinieron excepto yo.
exist	existir	¿Existe esta dirección?
expect	esperar	Espero lluvia mañana.
experience	la experiencia	Tengo experiencia con niños.
experiment	el experimento	El experimento salió bien.
expert	el experto; la experta	Pide ayuda a un experto.
explanation	la explicación	Su explicación fue clara.
express	expresar	Por favor, expresa tu opinión.
expression	la expresión	Esta expresión es común.
extreme	extremo; extrema	El calor fue extremo.
extremely	extremadamente; muy	Hace mucho frío.
factor	el factor	El coste es un factor.
factory	la fábrica	La fábrica cierra a las cinco.
fail	fracasar; suspender	No suspendí.
fair	justo; justa	El precio es justo.
fan	el ventilador; el fan	Enciende el ventilador.
farming	la agricultura; el trabajo agrícola	La agricultura es un trabajo duro.
fashion	la moda	La moda cambia cada año.
fear	el miedo; temer	El miedo puede detener a la gente.
feature	la característica; la función	Este teléfono tiene una función útil.
feed	alimentar; la comida	Dale de comer al gato ahora.
female	femenino; la mujer	La atleta ganó.
fiction	la ficción; la literatura de ficción	Ella lee ficción por la noche.
field	el campo; el área	El campo es verde.
fight	pelear; la pelea	Ellos pelean demasiado.
figure	la figura; la cifra	Mira la figura.
finally	finalmente; por fin	Por fin llegamos a casa.
finger	el dedo	Me duele el dedo.
firstly	en primer lugar	En primer lugar, lee la pregunta.
fishing	la pesca	La pesca es popular aquí.
fit	quedar bien; caber	Estos zapatos quedan bien.
fix	arreglar; reparar	Arregla la silla rota.
flu	la gripe	Tengo gripe.
flying	el vuelo; volador	El vuelo es rápido.
focus	concentrarse; el foco	Concéntrate en esta tarea.
following	siguiente	Lee la siguiente frase.
foreign	extranjero; extranjera	Ella habla una lengua extranjera.
forest	el bosque	El bosque está tranquilo.
fork	el tenedor	Usa el tenedor.
formal	formal	Esta carta es formal.
fortunately	afortunadamente; por suerte	Por suerte, nadie resultó herido.
forward	hacia adelante	Avanza despacio.
fresh	fresco; fresca	El pan está fresco.
