source_headword	PT	example_PT
weight	o peso	Verifica primeiro o peso.
wet	molhado	Os meus sapatos estão molhados.
wheel	a roda	A roda está partida.
while	um momento	Espera aqui um momento.
whole	inteiro	Comi a maçã inteira.
whose	de quem	De quem é este telemóvel?
wide	largo	A estrada é larga.
wild	selvagem	Animais selvagens vivem aqui.
wind1	o vento	O vento está forte.
winner	o vencedor	O vencedor sorriu.
wish	o desejo	Pede um desejo.
wood	a madeira	A cadeira é feita de madeira.
wooden	de madeira	A caixa de madeira é pesada.
working	de trabalho	O dia de trabalho acabou.
worried	preocupado	Sinto-me preocupado hoje.
worry	preocupar-se	Não te preocupes agora.
worse	pior	Esta dor está pior.
worst	o pior	Aquele foi o pior dia.
wow	uau	Uau, isso é incrível!
yet	já	Já chegámos?
yours	teu	Este livro é teu.
zero	zero	Conta até zero.
