source_headword	TR	example_TR
twenty	yirmi	Burada yirmi öğrenci var.
twice	iki kez	Haftada iki kez yüzerim.
two	iki	İki kişi bekliyor.
type	tür; yazmak	Ne tür müzik istersin?
umbrella	şemsiye	Şemsiyeyi al.
uncle	amca; dayı	Amcam nazik.
under	altında	Çanta masanın altında.
understand	anlamak	Soruyu anlıyorum.
university	üniversite	Üniversite yakın.
until	kadar	Saat beşe kadar bekle.
up	yukarı; kalkmak	Şimdi kalk.
upstairs	üst katta	Odam üst katta.
us	bizi; bize	Lütfen bize yardım et.
use	kullanmak; kullanım	Bu kalemi kullan.
useful	yararlı; faydalı	Bu harita yararlı.
usually	genellikle	Genellikle eve yürürüm.
vacation	tatil	Tatilimiz yarın başlar.
vegetable	sebze	Havuç bir sebzedir.
very	çok	Oda çok sessiz.
video	video	Bu videoyu izle.
village	köy	Köy küçük.
visit	ziyaret etmek	Teyzemizi ziyaret ederiz.
visitor	ziyaretçi; misafir	Misafir dışarıda bekliyor.
wait	beklemek	Lütfen burada bekle.
waiter	garson	Garson çay getirir.
wake	uyanmak; uyandırmak	Sabah erken uyanırım.
walk	yürümek	Okula yürürüz.
wall	duvar	Duvar beyaz.
want	istemek; ihtiyaç duymak	Su istiyorum.
warm	sıcak; ılık	Oda ılık.
wash	yıkamak	Ellerini yıka.
watch	izlemek; saat	Televizyon izliyorum.
water	su; sulamak	Biraz su iç.
way	yol; yöntem	Bu yol kısa.
we	biz	Biz İngilizce öğreniyoruz.
wear	giymek; takmak	Ceket giyiyorum.
weather	hava	Hava soğuk.
website	web sitesi	Bu web sitesi yararlı.
Wednesday	çarşamba	Ders çarşamba günü başlar.
week	hafta	Bu hafta yoğun.
weekend	hafta sonu	Hafta sonu yarın başlar.
welcome	hoş geldiniz; karşılamak	Sınıfımıza hoş geldiniz.
well	iyi; iyi şekilde	O iyi şarkı söyler.
west	batı	Güneş batıda batar.
what	ne	Bu ne?
when	ne zaman	Ne zaman çalışırsın?
where	nerede	İstasyon nerede?
which	hangi	Hangi çanta senin?
white	beyaz	Duvar beyaz.
who	kim	Bu kim?
why	neden; niçin	Neden geç kaldın?
wife	eş; hanım	Onun eşi öğretmen.
will modal	gelecek zaman ifadesi	Sana yardım edeceğim.
win	kazanmak	Takımımız kazanabilir.
window	pencere	Pencereyi aç.
wine	şarap	Bu şarap kırmızı.
winter	kış	Burada kış soğuk.
with	ile	Benimle gel.
without	-siz; olmadan	Şekersiz çay iyi.
woman	kadın	Kadın kitap okur.
wonderful	harika; mükemmel	Manzara harika.
word	kelime; sözcük	Bir kelime yaz.
work	çalışmak; iş	Evde çalışıyorum.
worker	işçi; çalışan	Çalışan meşgul.
world	dünya	Dünya büyük.
would modal	kibar istek ifadesi	Çay isterdim.
write	yazmak	Adını yaz.
writer	yazar	Yazar burada yaşıyor.
writing	yazı; el yazısı	Onun el yazısı açık.
wrong	yanlış	Bu cevap yanlış.
yeah	evet	Evet, gelebilirim.
year	yıl; sene	Bu yıl iyi.
yellow	sarı	Muz sarı.
yes	evet	Evet, anladım.
yesterday	dün	Dün aradım.
you	sen; siz	Sen benim arkadaşımsın.
young	genç; küçük	Çocuk küçük.
your	senin; sizin	Senin çantan burada.
yourself	kendin; kendiniz	Çayı kendin al.
