source_headword	RU	example_RU
monitor	монитор	Медсестра будет следить за его состоянием.
moral	моральный	В этой истории есть моральный урок.
motor	мотор	Мотор остановился без предупреждения.
mount	устанавливать	Они устанавливают камеры возле входа.
multiple	многочисленный	Задержку вызвали многочисленные факторы.
multiply	умножать	Умножьте это число на десять.
mysterious	таинственный	Снаружи появился таинственный свет.
neat	аккуратный	Ее стол всегда аккуратный.
nerve	нерв	Травма повредила нерв.
nevertheless	тем не менее	Задача была сложной, тем не менее, мы ее закончили.
nightmare	кошмар	Путешествие превратилось в кошмар.
notion	понятие	Отбросьте мысль о том, что перемены невозможны.
numerous	многочисленный	Многочисленные исследования подтверждают эту идею.
obey	соблюдать	Водители должны соблюдать знаки.
objective	цель	Наша цель — сократить количество отходов.
obligation	обязанность	Родители обязаны защищать детей.
observation	наблюдение	Его замечание изменило ход обсуждения.
observe	наблюдать	Каждую весну ученые наблюдают за птицами.
obtain	получать	Вы должны получить письменное разрешение.
occasionally	иногда	Иногда она работает из дома.
offence	оскорбление	Этот комментарий вызвал серьезную обиду.
offend	оскорблять	Я не хотел никого обидеть.
offensive	оскорбительный	Плакат содержал оскорбительные выражения.
opening	вакансия	Вакансия привлекла множество соискателей.
operate	работать	Машина может работать автоматически.
opponent	противник	Ее оппонент раскритиковал эту политику.
oppose	выступать против	Многие жители выступают против этого плана.
opposed	противоположный	У этих групп были противоположные взгляды.
opposition	оппозиция	Предложение встретило сильное сопротивление.
organ	орган	Сердце — это жизненно важный орган.
origin	происхождение	Происхождение пожара неизвестно.
otherwise	иначе	Уходи сейчас, иначе ты опоздаешь.
outcome	результат	Исход удивил всех.
outer	внешний	Внешняя стена нуждается в ремонте.
outline	план	Пожалуйста, изложите вкратце ваш главный аргумент.
overall	общий	Общий результат оказался положительным.
owe	быть должным	Я должен тебе извинения.
pace	темп	Идите в ровном темпе.
panel	комиссия	Группа экспертов обсудила климатическую политику.
parliament	парламент	Парламент одобрил новый закон.
participant	участник	Каждый участник подписал форму.
partly	частично	Задержка произошла частично по нашей вине.
passage	отрывок	Прочитайте отрывок, прежде чем отвечать.
pension1	пенсия	Пенсия поддерживает его после выхода на пенсию.
permanent	постоянный	Им нужно постоянное решение.
permit	разрешать	Правила разрешают короткие визиты.
perspective	перспектива	Постарайся понять ее точку зрения.
phase	фаза	Проект вступил в свою финальную фазу.
phenomenon	феномен	Это явление встречается во многих культурах.
philosophy	философия	Ее философия ценит практические действия.
pile	куча	Куча бумаг покрывала стол.
pitch	поле	Команда тщательно подготовила поле.
plain	простой	Инструкции были простыми и прямыми.
pointed	колкий	Он сделал колкое замечание.
popularity	популярность	Певец обрел популярность в интернете.
pose	создавать	Этот вопрос может создать проблему.
possess	обладать	Лишь немногие студенты обладают этим навыком.
potential	потенциал	У этой идеи есть реальный потенциал.
praise	похвала	Учитель высказал искреннюю похвалу.
pregnant	беременная	Она на шестом месяце беременности.
preparation	подготовка	Хорошая подготовка снижает стресс.
presence	присутствие	Его присутствие изменило настроение.
preserve	сохранить	Мы должны сохранить это историческое здание.
prime	главный	Главной причиной было плохое планирование.
principle	принцип	Решение следовало ясному принципу.
priority	приоритет	Безопасность — наш первый приоритет.
privacy	конфиденциальность	Клиенты ожидают конфиденциальности в интернете.
procedure	процедура	Процедура занимает тридцать минут.
proof	доказательство	Нам нужны доказательства, прежде чем действовать.
proposal	предложение	Предложение нуждается в больших деталях.
propose	предлагать	Я предлагаю другое решение.
prospect	перспектива	Перспектива неудачи беспокоила их.
protection	защита	Шлем дает базовую защиту.
psychologist	психолог	Психолог объяснил результаты теста.
psychology	психология	Она изучает психологию в университете.
publication	публикация	Публикация привлекла внимание общественности.
pupil	ученик	Каждый ученик получил новый учебник.
purchase	покупка	Они закупают припасы каждый месяц.
pure	чистый	Вода была чистой и холодной.
pursue	стремиться	Он будет строить медицинскую карьеру.
rank	звание	Она имеет высокое звание.
rapid	быстрый	Страна пережила быстрый рост.
rapidly	быстро	Цены быстро выросли в этом году.
raw	сырой	Повар приготовил сырые овощи.
realistic	реалистичный	Установите реалистичный срок.
reasonable	разумный	Это кажется разумной просьбой.
recall	вспоминать	Я помню его точные слова.
recover	поправиться	Она поправится после лечения.
reduction	сокращение	Сокращение позволило сэкономить деньги.
regard	считать	Многие люди считают ее честной.
regional	региональный	Региональный офис закрылся сегодня.
register	регистрироваться	Пожалуйста, зарегистрируйтесь перед конференцией.
regret	сожалеть	Я сожалею о своем предыдущем решении.
regulation	правило	Новое правило касается всех водителей.
relatively	относительно	Экзамен был относительно легким.
relevant	уместный	Выбирайте только уместные детали.
relief	облегчение	Новость принесла большое облегчение.
rely	полагаться	Дети полагаются на поддержку взрослых.
remark	замечание	Его замечание положило конец дискуссии.
representative	представитель	Представитель встретился с местными рабочими.
reputation	репутация	У отеля хорошая репутация.
requirement	требование	Опыт является основным требованием.
rescue	спасать	Они спасают людей от наводнений.
reserve	резерв	Мы бронируем места для гостей.
resident	житель	Каждый житель получил уведомление.
resist	сопротивляться	Постарайся сопротивляться давлению.
resolve	разрешать	Они мирно разрешили спор.
resort	курорт	Островной курорт открылся в мае.
retain	удерживать	Компания хочет удержать сотрудников.
reveal	раскрывать	Отчет раскроет правду.
revolution	революция	Революция изменила страну.
reward	награда	Тяжелая работа заслуживает награды.
rhythm	ритм	У песни ровный ритм.
rid	избавляться	Избавьтесь от этих старых файлов.
root	корень	Корень проблемы в деньгах.
rub	тереть	Протрите поверхность тканью.
rubber	резина	Резиновое уплотнение предотвращает утечки.
rural	сельский	Многим сельским школам нужна поддержка.
rush	торопиться	Не торопитесь с этим решением.
satellite	спутник	Спутник прислал новые снимки.
satisfied	довольный	Клиент казался довольным.
satisfy	удовлетворять	Ответ его не удовлетворил.
saving	экономия	Экономия энергии снижает ежемесячные расходы.
scale	масштаб	Масштаб ущерба был огромен.
scheme	схема	Эта программа помогает молодым работникам.
scream	кричать	Они услышали крик на улице.
sector	сектор	Технологический сектор растет.
secure	защищать	Заприте дверь, чтобы обезопасить ее.
seek	искать	Они обращаются за советом к экспертам.
select	выбирать	Выберите лучший вариант.
selection	выбор	Магазин предлагает широкий выбор.
self	личность	Она показала свое истинное лицо.
senior	старший	Старший врач осмотрел пациента.
sensitive	чувствительный	Эта тема очень деликатная.
sequence	последовательность	Следуйте последовательности шагов.
session	сеанс	Тренировочное занятие начинается в полдень.
settle	улаживать	Они быстро уладили спор.
severe	серьезный	Шторм вызвал сильное наводнение.
shade	тень	Сядьте в тень.
shadow	тень	Тень промелькнула в окне.
shallow	мелкий	Озеро здесь мелкое.
shame	стыд	Он почувствовал стыд после лжи.
shelter	убежище	Школа предоставила временное убежище.
shock	шок	Решение стало шоком.
shocked	шокированный	Она выглядела шокированной новостями.
shooting	стрельба	Стрельба произошла возле станции.
shot	бросок	Победный бросок удивил всех.
significant	значительный	Открытие было значительным.
significantly	значительно	В прошлом году затраты значительно выросли.
silence	тишина	В комнате воцарилась тишина.
silk	шёлк	Платье было сделано из шёлка.
sincere	искренний	Пожалуйста, примите мою искреннюю благодарность.
slave	раб	Закон освободил каждого раба.
slide	скользить	Ребенок скатился с горки.
slight	незначительный	Произошла незначительная задержка.
slip	поскользнуться	Не поскользнитесь на мокром полу.
slope	склон	Тропа идет по крутому склону.
solar	солнечный	В доме используется солнечная энергия.
somewhat	отчасти	Инструкции были отчасти запутанными.
soul	душа	Музыка возвысила её душу.
specialist	специалист	Специалист осмотрел пациента.
species	вид	Этот вид обитает возле рек.
spiritual	духовный	Она описала духовный опыт.
split	разделить	Они разделили счет поровну.
sponsor	спонсировать	Компания будет спонсировать мероприятие.
stable	стабильный	Состояние пациента стабильное.
stare	пристально смотреть	Не смотрите пристально на незнакомцев.
status	статус	Его статус изменился в одночасье.
steady	постоянный	Поддерживайте постоянную скорость.
steel	сталь	Мост сделан из стали.
steep	крутой	Холм крутой.
sticky	липкий	Пол кажется липким.
stiff	затекший	Его плечо затекло.
stock	запас	В магазине не осталось запасов.
stream	ручей	Через поле протекает небольшой ручей.
stretch	размять	Разомните ноги после полета.
strict	строгий	В школе строгие правила.
strike	бастовать	Завтра рабочие могут начать бастовать.
struggle	испытывать трудности	Многие семьи с трудом платят за аренду.
submit	отправить	Отправьте форму до пятницы.
sum	сумма	Сумма оказалась выше ожидаемой.
surgery	операция	Операция длилась два часа.
surround	окружать	Дом окружают высокие деревья.
surrounding	окружающий	В окружающем районе тихо.
suspect	подозревать	Полиция подозревает местного жителя.
swear	ругаться	Не ругайтесь в классе.
sweep	подметать	Подметите пол до прихода гостей.
sympathy	сочувствие	Она выразила сочувствие жертвам.
tale	сказка	Бабушка рассказала странную сказку.
tank	бак	Бак наполнен чистой водой.
tear1	рвать	Не порвите документ.
tear2	слеза	По её щеке скатилась слеза.
temporary	временный	Офис является временным убежищем.
therapy	терапия	Физиотерапия помогла ему выздороветь.
threat	угроза	В сообщении содержалась угроза.
threaten	угрожать	Шторм может угрожать урожаю.
thus	таким образом	Дорога была закрыта, поэтому мы ждали.
tone	тон	Его тон казался спокойным.
tough	трудный	Интервью было трудным.
transfer	передавать	Они передают данные каждую ночь.
transform	преобразовывать	Новая политика преобразует услуги.
transition	переход	Переход занял несколько месяцев.
trial	суд	Суд начнется на следующей неделе.
tropical	тропический	Тропические штормы здесь частое явление.
truly	искренне	Я искренне ценю вашу помощь.
trust	доверие	На создание доверия требуется время.
tune	мелодия	Группа сыграла веселую мелодию.
tunnel	туннель	Туннель проходит под рекой.
ultimately	в конечном счете	В конечном счете, план увенчался успехом.
unconscious	без сознания	Пациент оставался без сознания.
unexpected	неожиданный	Задержка была неожиданной.
unique	уникальный	Каждый дизайн уникален.
universe	вселенная	Вселенная расширяется.
unknown	неизвестный	Имя остается неизвестным.
upper	верхний	Верхняя полка пуста.
upwards	вверх	Дым поднимался вверх.
urban	городской	Городские районы нуждаются в лучшем транспорте.
urge	призывать	Врачи призывают людей заниматься спортом.
vary	варьироваться	Цены варьируются в зависимости от региона.
vast	обширный	Пустыня покрывает обширную территорию.
venue	место проведения	Место проведения вмещает пятьсот человек.
via	через	Отправьте документ через электронную почту.
victory	победа	Команда отпраздновала свою победу.
violence	насилие	Город пострадал от политического насилия.
virtual	виртуальный	Встреча является виртуальной.
vision	видение	Ее видение сформировало компанию.
visual	визуальный	Отчет включает визуальные примеры.
vital	жизненно важный	Вода жизненно важна для жизни.
vitamin	витамин	Апельсины содержат витамин С.
volume	громкость	Убавьте громкость.
wage	заработная плата	Рабочие потребовали более высокую заработную плату.
weakness	слабое место	У плана есть одно слабое место.
wealth	богатство	Его богатство появилось благодаря торговле.
wealthy	богатый	Богатая семья профинансировала музей.
whereas	в то время как	Она любит чай, в то время как я предпочитаю кофе.
wherever	где угодно	Садись, где тебе удобно.
whisper	шептать	Пожалуйста, шепчите во время церемонии.
whom	кого	Кого вы пригласили?
widely	широко	Эта книга широко читается.
wildlife	дикая природа	Парк защищает местную дикую природу.
willing	готовый	Она готова помочь.
wind2	наматывать	Намотайте кабель на катушку.
wire	провод	Провод соединяет два устройства.
wise	мудрый	Это был мудрый выбор.
witness	свидетель	Свидетель описал аварию.
wound	рана	Тщательно очистите рану.
wrap	заворачивать	Заверните подарок в бумагу.
zone	зона	Эта зона закрыта для движения.
