source_headword	BN	example_BN
origin	উৎস	আগুনের উৎস অজানা।
otherwise	অন্যথায়	এখনি চলে যান; অন্যথায়, আপনার দেরি হবে।
outcome	ফলাফল	ফলাফলটি সবাইকে অবাক করেছিল।
outer	বাইরের	বাইরের দেয়ালটি মেরামত করা প্রয়োজন।
outline	রূপরেখা	অনুগ্রহ করে আপনার মূল যুক্তির রূপরেখা দিন।
overall	সামগ্রিক	সামগ্রিক ফলাফল ইতিবাচক ছিল।
owe	ঋণী থাকা	আমি আপনার কাছে ক্ষমাপ্রার্থী।
pace	গতি	স্থির গতিতে হাঁটুন।
panel	প্যানেল	প্যানেল জলবায়ু নীতি নিয়ে আলোচনা করেছে।
parliament	সংসদ	সংসদ নতুন আইনটি অনুমোদন করেছে।
participant	অংশগ্রহণকারী	প্রত্যেক অংশগ্রহণকারী ফর্মে স্বাক্ষর করেছেন।
partly	আংশিকভাবে	দেরিটা আংশিকভাবে আমাদের দোষ ছিল।
passage	অনুচ্ছেদ	উত্তর দেওয়ার আগে অনুচ্ছেদটি পড়ুন।
pension1	পেনশন	অবসরের পর তার পেনশন তাকে সাহায্য করে।
permanent	স্থায়ী	তাদের একটি স্থায়ী সমাধান প্রয়োজন।
permit	অনুমতি দেওয়া	নিয়মগুলো সংক্ষিপ্ত দর্শনের অনুমতি দেয়।
perspective	দৃষ্টিভঙ্গি	তার দৃষ্টিভঙ্গি দেখার চেষ্টা করুন।
phase	পর্যায়	প্রকল্পটি তার চূড়ান্ত পর্যায়ে প্রবেশ করেছে।
phenomenon	ঘটনা	এই ঘটনা অনেক সংস্কৃতিতে ঘটে।
philosophy	দর্শন	তার দর্শন ব্যবহারিক কাজকে মূল্য দেয়।
pile	স্তূপ	কাগজের একটি স্তূপ ডেস্কটি ঢেকে রেখেছিল।
pitch	পিচ	দলটি সাবধানে পিচ প্রস্তুত করেছিল।
plain	স্পষ্ট	নির্দেশাবলী স্পষ্ট এবং সরাসরি ছিল।
pointed	তীক্ষ্ণ	তিনি একটি তীক্ষ্ণ মন্তব্য করেছিলেন।
popularity	জনপ্রিয়তা	গায়ক অনলাইনে জনপ্রিয়তা অর্জন করেছিলেন।
pose	সৃষ্টি করা	প্রশ্নটি একটি সমস্যা সৃষ্টি করতে পারে।
possess	অধিকারী হওয়া	খুব কম শিক্ষার্থীরই সেই দক্ষতা রয়েছে।
potential	সম্ভাবনা	ধারণাটির বাস্তব সম্ভাবনা রয়েছে।
praise	প্রশংসা	শিক্ষক সৎ প্রশংসা করেছেন।
pregnant	গর্ভবতী	তিনি ছয় মাসের গর্ভবতী।
preparation	প্রস্তুতি	ভালো প্রস্তুতি মানসিক চাপ কমায়।
presence	উপস্থিতি	তার উপস্থিতি মেজাজ পরিবর্তন করে দিয়েছে।
preserve	সংরক্ষণ করা	আমাদের এই ঐতিহাসিক ভবনটি সংরক্ষণ করতে হবে।
prime	প্রধান	প্রধান কারণ ছিল দুর্বল পরিকল্পনা।
principle	নীতি	সিদ্ধান্তটি একটি স্পষ্ট নীতি অনুসরণ করেছিল।
priority	অগ্রাধিকার	নিরাপত্তাই আমাদের প্রথম অগ্রাধিকার।
privacy	গোপনীয়তা	গ্রাহকরা অনলাইনে গোপনীয়তা আশা করেন।
procedure	পদ্ধতি	পদ্ধতিতে ত্রিশ মিনিট সময় লাগে।
proof	প্রমাণ	কাজ করার আগে আমাদের প্রমাণ দরকার।
proposal	প্রস্তাব	প্রস্তাবে আরও বিশদ প্রয়োজন।
propose	প্রস্তাব করা	আমি একটি ভিন্ন সমাধানের প্রস্তাব করছি।
prospect	সম্ভাবনা	ব্যর্থতার সম্ভাবনা তাদের চিন্তিত করেছিল।
protection	সুরক্ষা	হেলমেট মৌলিক সুরক্ষা দেয়।
psychologist	মনোবিজ্ঞানী	মনোবিজ্ঞানী পরীক্ষার ফলাফল ব্যাখ্যা করেছেন।
psychology	মনোবিজ্ঞান	সে বিশ্ববিদ্যালয়ে মনোবিজ্ঞান অধ্যয়ন করে।
publication	প্রকাশনা	প্রকাশনাটি জনসাধারণের দৃষ্টি আকর্ষণ করেছিল।
pupil	ছাত্র	প্রতিটি ছাত্র একটি নতুন পাঠ্যপুস্তক পেয়েছে।
purchase	কেনা	তারা প্রতি মাসে সরবরাহ কেনে।
pure	বিশুদ্ধ	জলটি বিশুদ্ধ এবং ঠান্ডা ছিল।
pursue	অনুসরণ করা	তিনি একটি চিকিৎসা কর্মজীবন অনুসরণ করবেন।
rank	পদমর্যাদা	তিনি একটি সিনিয়র পদমর্যাদা ধারণ করেন।
rapid	দ্রুত	দেশটি দ্রুত প্রবৃদ্ধি দেখেছে।
rapidly	দ্রুতগতিতে	এই বছর দাম দ্রুত বেড়েছে।
raw	কাঁচা	শেফ কাঁচা সবজি প্রস্তুত করেছেন।
realistic	বাস্তবসম্মত	একটি বাস্তবসম্মত সময়সীমা নির্ধারণ করুন।
reasonable	যুক্তিসঙ্গত	এটি একটি যুক্তিসঙ্গত অনুরোধ বলে মনে হচ্ছে।
recall	স্মরণ করা	আমি তার হুবহু কথা মনে করতে পারি।
recover	সুস্থ হওয়া	তিনি চিকিৎসার পর সুস্থ হয়ে উঠবেন।
reduction	হ্রাস	হ্রাসের কারণে টাকা বাঁচে।
regard	বিবেচনা করা	অনেকেই তাকে সৎ বলে বিবেচনা করেন।
regional	আঞ্চলিক	আঞ্চলিক অফিস আজ বন্ধ হয়ে গেছে।
register	নিবন্ধন করা	সম্মেলনের আগে নিবন্ধন করুন।
regret	অনুশোচনা করা	আমি আমার আগের সিদ্ধান্তের জন্য অনুশোচনা করি।
regulation	প্রবিধান	নতুন প্রবিধান সকল চালককে প্রভাবিত করে।
relatively	তুলনামূলকভাবে	পরীক্ষাটি তুলনামূলকভাবে সহজ ছিল।
relevant	প্রাসঙ্গিক	শুধুমাত্র প্রাসঙ্গিক বিবরণ নির্বাচন করুন।
relief	স্বস্তি	খবরটি দারুণ স্বস্তি এনে দিয়েছে।
rely	নির্ভর করা	শিশুরা প্রাপ্তবয়স্কদের সমর্থনের উপর নির্ভর করে।
remark	মন্তব্য	তার মন্তব্য আলোচনাটি শেষ করে দেয়।
representative	প্রতিনিধি	প্রতিনিধি স্থানীয় শ্রমিকদের সাথে দেখা করেন।
reputation	সুনাম	হোটেলটির সুনাম রয়েছে।
requirement	প্রয়োজনীয়তা	অভিজ্ঞতা একটি প্রাথমিক প্রয়োজনীয়তা।
rescue	উদ্ধার করা	তারা বন্যা থেকে মানুষকে উদ্ধার করে।
reserve	সংরক্ষণ করা	আমরা অতিথিদের জন্য আসন সংরক্ষণ করি।
resident	বাসিন্দা	প্রত্যেক বাসিন্দা একটি নোটিশ পেয়েছেন।
resist	প্রতিরোধ করা	চাপ প্রতিরোধ করার চেষ্টা করুন।
resolve	সমাধান করা	তারা শান্তিপূর্ণভাবে বিরোধের সমাধান করেছে।
resort	রিসর্ট	দ্বীপের রিসর্টটি মে মাসে খোলা হয়েছে।
retain	ধরে রাখা	কোম্পানি কর্মীদের ধরে রাখতে চায়।
reveal	প্রকাশ করা	প্রতিবেদনটি সত্য প্রকাশ করবে।
revolution	বিপ্লব	বিপ্লব দেশটিকে বদলে দিয়েছিল।
reward	পুরস্কার	কঠোর পরিশ্রম পুরস্কারের দাবিদার।
rhythm	ছন্দ	গানটির একটি স্থির ছন্দ রয়েছে।
rid	মুক্তি পাওয়া	ওই পুরনো ফাইলগুলো থেকে মুক্তি পান।
root	মূল	সমস্যার মূল হলো টাকা।
rub	ঘষা	একটি কাপড় দিয়ে পৃষ্ঠটি ঘষুন।
rubber	রাবার	রাবার সিল ফুটো রোধ করে।
rural	গ্রামীণ	অনেক গ্রামীণ বিদ্যালয়ের সমর্থন প্রয়োজন।
rush	তাড়াহুড়ো করা	এই সিদ্ধান্তে তাড়াহুড়ো করবেন না।
satellite	উপগ্রহ	উপগ্রহটি নতুন ছবি পাঠিয়েছে।
satisfied	সন্তুষ্ট	গ্রাহককে সন্তুষ্ট মনে হয়েছিল।
satisfy	সন্তুষ্ট করা	উত্তরটি তাকে সন্তুষ্ট করতে পারেনি।
saving	সঞ্চয়	শক্তি সঞ্চয় মাসিক খরচ কমায়।
scale	মাত্রা	ক্ষয়ক্ষতির মাত্রা অনেক বড় ছিল।
scheme	স্কিম	এই স্কিমটি তরুণ কর্মীদের সাহায্য করে।
scream	চিৎকার	তারা বাইরে একটি চিৎকার শুনতে পেল।
sector	খাত	প্রযুক্তি খাত বাড়ছে।
secure	সুরক্ষিত করা	এটি সুরক্ষিত করতে দরজা লক করুন।
seek	খোঁজা	তারা বিশেষজ্ঞদের কাছ থেকে পরামর্শ খোঁজে।
select	নির্বাচন করা	সেরা বিকল্পটি নির্বাচন করুন।
selection	নির্বাচন	দোকানটিতে অনেক ধরনের বিকল্প রয়েছে।
self	স্বয়ং	সে তার আসল রূপ দেখিয়েছিল।
senior	সিনিয়র	একজন সিনিয়র চিকিৎসক রোগীকে পরীক্ষা করেছেন।
sensitive	সংবেদনশীল	এই বিষয়টি খুব সংবেদনশীল।
sequence	ক্রম	ধাপগুলোর ক্রম অনুসরণ করুন।
session	সেশন	প্রশিক্ষণ সেশনটি দুপুরে শুরু হয়।
settle	মীমাংসা করা	তারা দ্রুত বিতর্কের মীমাংসা করে।
severe	গুরুতর	ঝড়ের কারণে তীব্র বন্যা হয়েছে।
shade	ছায়া	ছায়ায় বসুন।
shadow	ছায়া	জানলার উপর দিয়ে একটি ছায়া পার হলো।
shallow	অগভীর	হ্রদটি এখানে অগভীর।
shame	লজ্জা	মিথ্যা বলার পর সে লজ্জা বোধ করল।
shelter	আশ্রয়	স্কুলটি জরুরি আশ্রয় প্রদান করেছিল।
shock	ধাক্কা	সিদ্ধান্তটি একটি ধাক্কা ছিল।
shocked	হতবাক	খবরটি শুনে তাকে হতবাক লাগছিল।
shooting	গোলাগুলি	স্টেশনের কাছে গোলাগুলির ঘটনা ঘটেছিল।
shot	শট	বিজয়ী শটটি সবাইকে অবাক করেছিল।
significant	উল্লেখযোগ্য	আবিষ্কারটি উল্লেখযোগ্য ছিল।
significantly	উল্লেখযোগ্যভাবে	গত বছর খরচ উল্লেখযোগ্যভাবে বৃদ্ধি পেয়েছে।
silence	নীরবতা	ঘরটিতে নীরবতা নেমে এল।
silk	রেশম	পোশাকটি রেশমের তৈরি ছিল।
sincere	আন্তরিক	অনুগ্রহ করে আমার আন্তরিক ধন্যবাদ গ্রহণ করুন।
slave	দাস	আইনটি প্রতিটি দাসকে মুক্ত করেছে।
slide	পিছলে পড়া	শিশুটি স্লাইড দিয়ে নিচে নামল।
slight	সামান্য	সামান্য দেরি হয়েছিল।
slip	পিছলে যাওয়া	ভেজা মেঝেতে পিছলে যাবেন না।
slope	ঢাল	পথটি একটি খাড়া ঢাল অনুসরণ করে।
solar	সৌর	বাড়িটিতে সৌরশক্তি ব্যবহৃত হয়।
somewhat	কিছুটা	নির্দেশাবলী কিছুটা বিভ্রান্তিকর ছিল।
soul	আত্মা	গান তার আত্মাকে প্রফুল্ল করেছিল।
specialist	বিশেষজ্ঞ	বিশেষজ্ঞ রোগীকে পরীক্ষা করেছেন।
species	প্রজাতি	এই প্রজাতিটি নদীর কাছে বাস করে।
spiritual	আধ্যাত্মিক	তিনি একটি আধ্যাত্মিক অভিজ্ঞতার বর্ণনা দিয়েছেন।
split	ভাগ করা	তারা বিলটি সমানভাবে ভাগ করে নিয়েছে।
sponsor	স্পনসর করা	কোম্পানিটি ইভেন্টটি স্পনসর করবে।
stable	স্থিতিশীল	রোগীর অবস্থা স্থিতিশীল।
stare	একদৃষ্টে তাকিয়ে থাকা	অপরিচিতদের দিকে একদৃষ্টে তাকিয়ে থাকবেন না।
status	অবস্থা	রাতারাতি তার অবস্থা বদলে গেল।
steady	স্থির	স্থির গতি বজায় রাখুন।
steel	ইস্পাত	সেতুটি ইস্পাতের তৈরি।
steep	খাড়া	পাহাড়টি খাড়া।
sticky	আঠালো	মেঝেটি আঠালো লাগছে।
stiff	শক্ত	তার কাঁধ শক্ত হয়ে ছিল।
stock	মজুত	দোকানে কোনো মজুত অবশিষ্ট নেই।
stream	স্রোত	একটি ছোট স্রোত মাঠ পেরিয়ে গেছে।
stretch	প্রসারিত করা	ফ্লাইটের পরে আপনার পা প্রসারিত করুন।
strict	কঠোর	স্কুলের কঠোর নিয়ম রয়েছে।
strike	ধর্মঘট করা	শ্রমিকরা আগামীকাল ধর্মঘট করতে পারে।
struggle	সংগ্রাম করা	অনেক পরিবার ভাড়া নিয়ে সংগ্রাম করে।
submit	জমা দেওয়া	শুক্রবারের মধ্যে ফর্মটি জমা দিন।
sum	পরিমাণ	পরিমাণটি প্রত্যাশার চেয়ে বেশি ছিল।
surgery	অস্ত্রোপচার	অস্ত্রোপচারটি দুই ঘণ্টা ধরে চলেছিল।
surround	ঘিরে রাখা	লম্বা গাছগুলো বাড়িটিকে ঘিরে রেখেছে।
surrounding	আশেপাশের	আশেপাশের এলাকাটি শান্ত।
suspect	সন্দেহ করা	পুলিশ একজন স্থানীয় লোককে সন্দেহ করছে।
swear	গালি দেওয়া	ক্লাসে গালি দেবেন না।
sweep	ঝাড়ু দেওয়া	অতিথিরা আসার আগে মেঝে ঝাড়ু দিন।
sympathy	সমবেদনা	তিনি ক্ষতিগ্রস্তদের প্রতি সমবেদনা প্রকাশ করেছেন।
tale	গল্প	দাদি একটি অদ্ভুত গল্প বলেছিলেন।
tank	ট্যাঙ্ক	ট্যাঙ্কটিতে পরিষ্কার জল রয়েছে।
tear1	ছেঁড়া	নথিটি ছিঁড়বেন না।
tear2	চোখের জল	তার গাল বেয়ে চোখের জল গড়িয়ে পড়ল।
temporary	অস্থায়ী	অফিসটি একটি অস্থায়ী আশ্রয়স্থল।
therapy	থেরাপি	ফিজিক্যাল থেরাপি তাকে সুস্থ হতে সাহায্য করেছিল।
threat	হুমকি	বার্তাটিতে একটি হুমকি ছিল।
threaten	হুমকি দেওয়া	ঝড় ফসলের ক্ষতি করতে পারে।
thus	তাই	রাস্তাটি বন্ধ ছিল; তাই, আমরা অপেক্ষা করেছিলাম।
tone	সুর	তার সুর শান্ত শোনাচ্ছিল।
tough	কঠিন	সাক্ষাৎকারটি কঠিন ছিল।
transfer	স্থানান্তর করা	তারা প্রতি রাতে ডেটা স্থানান্তর করে।
transform	রূপান্তর করা	নতুন নীতি পরিষেবাগুলিকে রূপান্তর করবে।
transition	রূপান্তর	রূপান্তরটি কয়েক মাস সময় নিয়েছে।
trial	বিচার	বিচার আগামী সপ্তাহে শুরু হবে।
tropical	গ্রীষ্মমন্ডলীয়	গ্রীষ্মমন্ডলীয় ঝড় এখানে সাধারণ।
truly	সত্যই	আমি সত্যই আপনার সাহায্যের প্রশংসা করি।
trust	বিশ্বাস	বিশ্বাস তৈরি করতে সময় লাগে।
tune	সুর	ব্যান্ডটি একটি প্রফুল্ল সুর বাজিয়েছিল।
tunnel	সুড়ঙ্গ	সুড়ঙ্গটি নদীর নিচ দিয়ে গেছে।
ultimately	শেষ পর্যন্ত	শেষ পর্যন্ত, পরিকল্পনাটি সফল হয়েছিল।
unconscious	অজ্ঞান	রোগী অজ্ঞান ছিলেন।
unexpected	অপ্রত্যাশিত	বিলম্বটি অপ্রত্যাশিত ছিল।
unique	অনন্য	প্রতিটি নকশা অনন্য।
universe	মহাবিশ্ব	মহাবিশ্ব প্রসারিত হচ্ছে।
unknown	অজানা	নামটি অজানা রয়ে গেছে।
upper	উপরের	উপরের তাকটি খালি।
upwards	উপরের দিকে	ধোঁয়া উপরের দিকে উঠল।
urban	শহুরে	শহুরে এলাকায় উন্নত পরিবহন ব্যবস্থা প্রয়োজন।
urge	তাগিদ দেওয়া	ডাক্তাররা লোকজনকে ব্যায়াম করার তাগিদ দেন।
vary	ভিন্ন হওয়া	অঞ্চলভেদে দাম ভিন্ন হয়।
vast	বিশাল	মরুভূমিটি একটি বিশাল এলাকা জুড়ে রয়েছে।
venue	স্থান	স্থানটিতে পাঁচশত জন লোক ধরে।
via	মাধ্যমে	ইমেলের মাধ্যমে নথিটি পাঠান।
victory	জয়	দলটি তাদের জয় উদযাপন করেছে।
violence	সহিংসতা	শহরটি রাজনৈতিক সহিংসতার শিকার হয়েছিল।
virtual	ভার্চুয়াল	মিটিংটি ভার্চুয়াল।
vision	দৃষ্টি	তার দৃষ্টিভঙ্গি কোম্পানিকে রূপ দিয়েছে।
visual	চাক্ষুষ	প্রতিবেদনে চাক্ষুষ উদাহরণ অন্তর্ভুক্ত রয়েছে।
vital	অত্যাবশ্যক	জল জীবনের জন্য অত্যাবশ্যক।
vitamin	ভিটামিন	কমলায় ভিটামিন সি থাকে।
volume	ভলিউম	ভলিউম কমান।
wage	মজুরি	শ্রমিকরা বেশি মজুরির দাবি জানিয়েছে।
weakness	দুর্বলতা	পরিকল্পনাটির একটি দুর্বলতা আছে।
wealth	সম্পদ	তার সম্পদ বাণিজ্য থেকে এসেছে।
wealthy	ধনী	ধনী পরিবারটি জাদুঘরটিতে অর্থায়ন করেছিল।
whereas	যেখানে	সে চা পছন্দ করে, যেখানে আমি কফি পছন্দ করি।
wherever	যেখানেই	আপনার যেখানেই আরামদায়ক মনে হয় সেখানে বসুন।
whisper	ফিসফিস করা	অনুগ্রহ করে অনুষ্ঠানে ফিসফিস করে কথা বলুন।
whom	কাকে	আপনি কাকে আমন্ত্রণ জানিয়েছেন?
widely	ব্যাপকভাবে	বইটি ব্যাপকভাবে পঠিত হয়।
wildlife	বন্যপ্রাণী	পার্কটি স্থানীয় বন্যপ্রাণীদের রক্ষা করে।
willing	ইচ্ছুক	সে সাহায্য করতে ইচ্ছুক।
wind2	মোড়ানো	তারের রিলের চারপাশে কেবলটি জড়ান।
wire	তার	তারটি দুটি ডিভাইসকে সংযুক্ত করে।
wise	বুদ্ধিমান	এটি একটি বুদ্ধিমান পছন্দ ছিল।
witness	সাক্ষী	একজন সাক্ষী দুর্ঘটনার বর্ণনা দিয়েছেন।
wound	ক্ষত	ক্ষতটি সাবধানে পরিষ্কার করুন।
wrap	মোড়ানো	উপহারটি কাগজে মুড়ে দিন।
zone	জোন	এই জোনটি যান চলাচলের জন্য বন্ধ।
