simplified	RO	example_RO
承担	a-și asuma	El este dispus să își asume responsabilitatea.
承认	a recunoaște	El a recunoscut că a greșit.
承受	a suporta	Nu pot suporta o presiune atât de mare.
程度	un grad; un nivel	Nivelul lui de chineză este foarte ridicat.
程序	o procedură; un program	Te rog să te ocupi de asta conform procedurii.
诚恳	sincer	Atitudinea lui este foarte sinceră.
吃亏	a ieși în pierdere	Uită-te cu atenție înainte să cumperi, ca să nu ieși în pierdere.
持续	a continua	Ploaia a continuat trei zile.
池塘	un iaz	În iaz sunt mulți pești.
迟早	mai devreme sau mai târziu	Mai devreme sau mai târziu vei înțelege.
尺子	o riglă	Te rog să măsori cu rigla.
翅膀	o aripă	Aripa păsării este rănită.
充电器	un încărcător	Încărcătorul meu s-a stricat.
充分	suficient; deplin	Ne-am pregătit pe deplin.
充满	plin de	Camera era plină de râsete.
冲	a clăti	Te rog să clătești cana cu apă.
重复	a repeta	Te rog să nu repeți aceeași greșeală.
宠物	un animal de companie	Ea are un câine ca animal de companie.
抽屉	un sertar	Cheia este în sertar.
抽象	abstract	Acest concept este prea abstract.
丑	urât	Această fotografie este puțin urâtă.
臭	urât mirositor	Gunoiul miroase urât.
出版	a publica	Această carte a fost publicată anul trecut.
出口	o ieșire	Ieșirea este în față.
出色	remarcabil	Performanța ei este remarcabilă.
出示	a prezenta	Vă rog să prezentați pașaportul.
出席	a participa	El va participa la ședință.
初级	elementar; începător	Studiez chineza la clasa de începători.
除非	dacă nu	Dacă nu plouă, mâine vom merge în drumeție.
除夕	ajunul Anului Nou lunar	În ajunul Anului Nou lunar, toată familia mănâncă împreună.
处理	a gestiona; a rezolva	Eu voi rezolva această problemă.
传播	a se răspândi; a răspândi	Această știre s-a răspândit foarte repede.
传染	a transmite; a infecta	Răceala se transmite ușor.
传说	o legendă	Aceasta este o legendă veche.
传统	o tradiție; tradițional	Sărbătoarea Primăverii este o sărbătoare tradițională chineză.
窗帘	o perdea	Te rog să tragi perdelele.
闯	a trece pe neașteptate; a încălca	A trecut din greșeală pe roșu.
创造	a crea	Oamenii au creat unelte noi.
吹	a sufla	Vântul suflă puternic.
词汇	vocabular; cuvânt	Acest cuvânt este folosit frecvent.
辞职	a demisiona	El a decis să demisioneze.
此外	în plus	În plus, mai am o întrebare.
刺激	stimulant; palpitant	Acest joc este foarte palpitant.
次要	secundar	Această problemă este secundară.
匆忙	grăbit	El a plecat grăbit de acasă.
从此	de atunci	De atunci, face exerciții în fiecare zi.
从而	astfel	A învățat serios și astfel a trecut examenul.
从前	odinioară	Odinioară nu era metrou aici.
从事	a lucra în; a se ocupa de	Ea lucrează în educație.
粗糙	aspru; grosier	Această foaie de hârtie este foarte aspră.
促进	a promova; a favoriza	Exercițiile pot favoriza sănătatea.
促使	a determina	Această chestiune l-a determinat să își schimbe planul.
醋	oțet	În mâncare s-a adăugat oțet.
催	a grăbi; a îndemna	Mama m-a grăbit să ies repede.
存在	a exista	Această problemă încă există.
措施	o măsură	Școala a luat măsuri de siguranță.
答应	a accepta; a promite	El a acceptat să mă ajute.
达到	a atinge	Notele lui au atins standardul.
打工	a munci temporar	În vacanța de vară lucrează la un restaurant.
打交道	a avea de-a face cu	Am des de-a face cu clienți.
打喷嚏	a strănuta	Este răcit și strănută întruna.
打听	a se interesa	Aș vrea să mă interesez despre biletele de tren.
大方	generos	Ea este foarte generoasă cu banii.
大厦	o clădire mare	Clădirea aceea mare este foarte înaltă.
大象	un elefant	Copiii se uită la elefanți la grădina zoologică.
大型	de mari dimensiuni	Aici se va construi un centru comercial mare.
呆	a sta	El stă acasă și citește.
代表	a reprezenta; un reprezentant	Această floare reprezintă prietenia.
代替	a înlocui; în locul cuiva	Astăzi voi participa la ședință în locul lui.
待遇	beneficii; tratament	Beneficiile acestei companii sunt bune.
贷款	un împrumut	Ei au solicitat un credit pentru locuință.
单纯	simplu	Ideea ei este foarte simplă.
单调	monoton	Această muncă este puțin monotonă.
单独	singur; separat	Vreau să vorbesc cu tine separat.
单位	o unitate; o instituție	El lucrează la o instituție publică.
单元	o unitate	Astăzi studiem unitatea a treia.
担任	a ocupa o funcție	Ea este responsabila acestui eveniment.
耽误	a întârzia; a irosi	Nu irosi timpul tuturor.
胆小鬼	un laș	Nu îl numi laș.
淡	slab; fad	Acest bol de supă este puțin fad.
当地	local	Localnicilor le place această piață.
当心	a avea grijă	Drumul este alunecos, ai grijă.
挡	a bloca	Această mașină blochează intrarea.
倒霉	ghinionist	Astăzi chiar am ghinion; mi-am pierdut telefonul.
导演	un regizor	Acest regizor este foarte faimos.
导致	a cauza	Ploaia puternică a cauzat un ambuteiaj.
岛屿	o insulă	Această țară are multe insule.
到达	a ajunge	Trenul a ajuns la timp la Shanghai.
道德	morală; etică	Un om ar trebui să aibă principii morale.
道理	un motiv; o logică	Ceea ce a spus are mult sens.
登记	a se înregistra	Vă rog să vă înregistrați mai întâi la recepție.
等待	a aștepta	Așteptăm rezultatul.
等于	a fi egal cu	Cinci plus cinci este egal cu zece.
滴	o picătură	O picătură de apă a căzut pe masă.
敌人	un dușman	Ei nu sunt dușmani.
的确	într-adevăr	Această chestiune este într-adevăr foarte importantă.
地道	autentic	El vorbește un dialect autentic din Beijing.
地理	geografie	Sunt foarte interesat de geografia Chinei.
地区	o regiune	Această regiune este foarte rece iarna.
地毯	un covor	În sufragerie este întins un covor.
地位	o poziție; un statut	Educația are o poziție importantă în societate.
地震	un cutremur	Aici a avut loc un cutremur aseară.
递	a înmâna	Te rog să îi dai această scrisoare profesorului.
点心	o gustare; un desert	După-amiază am mâncat gustări.
电池	o baterie	Această jucărie are nevoie de două baterii.
电台	un post de radio	El prezintă o emisiune la un post de radio.
钓	a pescui	Bunicului îi place să pescuiască pe malul râului.
顶	un clasificator pentru pălării	El poartă o pălărie neagră.
冻	a îngheța	Afară este atât de frig încât apa a înghețat.
动画片	un desen animat	Copiii se uită la desene animate.
洞	o gaură; o peșteră	În perete este o gaură mică.
豆腐	tofu	Acest fel de mâncare cu tofu este gustos.
逗	a face să râdă	Cuvintele lui i-au făcut pe toți să râdă.
独立	independent	Ea vrea să trăiască independent.
独特	unic; distinctiv	Acest oraș are o cultură unică.
度过	a petrece; a trece prin	Am petrecut vacanța la mare.
断	a se rupe	Această funie s-a rupt.
堆	o grămadă; a se aduna	Pe masă s-au adunat multe documente.
兑换	a schimba bani	Aș vrea să schimb niște renminbi.
对比	a compara	Te rog să compari aceste două planuri.
对待	a trata	Trebuie să îi tratăm pe toți corect.
对方	cealaltă parte	Te rog să asculți mai întâi opinia celeilalte părți.
对手	un adversar	Adversarul lui este foarte puternic.
对象	un obiect; un partener	Subiecții cercetării sunt studenți universitari.
吨	o tonă	Acest camion poate transporta trei tone de marfă.
蹲	a sta ghemuit	El stă ghemuit pe jos și își caută cheile.
顿	o dată; o masă	Am luat cina împreună.
多亏	datorită	Datorită ajutorului tău, am terminat sarcina.
多余	inutil; de prisos	Această propoziție este inutilă.
朵	un clasificator pentru flori	Pe masă este o floare.
躲藏	a se ascunde	Pisicuța se ascunde sub pat.
恶劣	foarte rău	Vremea de astăzi este foarte rea.
耳环	un cercel	Ea poartă o pereche de cercei.
发表	a publica; a exprima	El și-a exprimat opinia la ședință.
发愁	a-și face griji	Nu îți face griji pentru acest lucru mărunt.
发达	dezvoltat	Transportul din acest oraș este bine dezvoltat.
发抖	a tremura	El tremură de frig.
发挥	a folosi; a valorifica	Te rog să îți folosești imaginația.
发明	o invenție; a inventa	Becul electric este o invenție importantă.
发票	o factură	Vă rog să îmi emiteți o factură.
发言	a lua cuvântul	El a luat cuvântul la ședință.
罚款	o amendă; a amenda	Parcarea ilegală va fi amendată.
法院	un tribunal	Acest caz a fost predat tribunalului.
翻	a întoarce; a răsfoi	Te rog să deschizi cartea la pagina zece.
繁荣	prosper	Economia devine treptat prosperă.
反而	dimpotrivă	Nu s-a supărat; dimpotrivă, a râs.
反复	repetat	Această propoziție trebuie exersată repetat.
反应	o reacție	Reacția lui este rapidă.
反映	a reflecta	Acest raport reflectă situația reală.
反正	oricum	Oricum, mâine am timp.
范围	un domeniu; o limită	Te rog să nu depășești această limită.
方	un pătrat	Te rog să desenezi un pătrat pe hârtie.
方案	un plan; o propunere	Acest plan este destul de rezonabil.
方式	un mod; o metodă	Acest mod de a învăța este foarte eficient.
妨碍	a împiedica	Te rog să nu împiedici munca altora.
仿佛	parcă; ca și cum	El pare să știe totul.
非	nu; neapărat	Această chestiune nu poate fi făcută fără tine.
肥皂	săpun	Folosește săpun când te speli pe mâini.
废话	prostii; vorbe inutile	Lasă vorbele inutile și începe repede.
分别	a se despărți	Ei s-au despărțit la gară.
分布	a fi distribuit	Aceste magazine sunt distribuite în tot orașul.
分配	a distribui; a repartiza	Profesorul a repartizat o sarcină nouă.
分手	a se despărți	Ei s-au despărțit anul trecut.
分析	a analiza	Trebuie să analizăm motivele.
纷纷	unul după altul	Toți și-au exprimat acordul unul după altul.
奋斗	a lupta; a se strădui	Tinerii ar trebui să lupte pentru visurile lor.
疯狂	nebun; frenetic	Fanii au aplaudat frenetic.
风格	un stil	Stilul acestui restaurant este foarte distinctiv.
风景	un peisaj	Peisajul de pe munte este frumos.
风俗	un obicei	Fiecare loc are propriile obiceiuri.
风险	un risc	Investiția implică un anumit risc.
讽刺	a satiriza	Acest articol a satirizat probleme sociale.
否定	a nega	El a negat această afirmație.
否认	a nega	El a negat că a făcut o greșeală.
幅	un clasificator pentru imagini	Pe perete atârnă un tablou.
扶	a sprijini; a ajuta	Vă rog să ajutați persoanele în vârstă să traverseze strada.
服装	îmbrăcăminte	Acest magazin vinde haine pentru copii.
辅导	a medita; a îndruma	Profesorul îi meditează pe elevi după ore.
复制	a copia	Te rog să copiezi acest document.
妇女	o femeie	Acest spital oferă servicii pentru femei.
改革	o reformă; a reforma	Școala realizează o reformă a predării.
改进	a îmbunătăți	Trebuie să îmbunătățim calitatea serviciilor.
改善	a îmbunătăți	Exercițiile pot îmbunătăți somnul.
改正	a corecta	Te rog să corectezi greșelile la timp.
概括	a rezuma	Te rog să rezumi conținutul articolului.
概念	un concept	Acest concept nu este foarte ușor de înțeles.
盖	a acoperi	Te rog să acoperi bine cana.
干脆	pur și simplu; mai bine	Mai bine nu te duce astăzi.
干燥	uscat	Iernile din nord sunt foarte uscate.
感激	recunoscător	Îți sunt foarte recunoscător pentru ajutor.
感受	un sentiment; a simți	Îți pot înțelege sentimentele.
感想	o impresie; un gând	Te rog să vorbești despre impresiile tale.
赶紧	a se grăbi	Se face târziu, grăbește-te și pleacă.
赶快	repede	Închide repede ușa.
干活儿	a munci	El lucrează în curte.
钢铁	oțel	Acest pod este făcut din oțel.
高档	de lux; de calitate superioară	Acesta este un hotel de lux.
高级	avansat; de nivel înalt	Ea s-a înscris la o clasă avansată de chineză.
搞	a face; a organiza	Ce fel de eveniment organizezi?
告别	a-și lua rămas-bun	Ne-am luat rămas-bun de la prietenul nostru la aeroport.
格外	în mod deosebit	Cerul este deosebit de albastru astăzi.
隔壁	alături; vecin	Alături locuiește un profesor.
个别	individual; câțiva	Câțiva elevi nu și-au predat încă tema.
个人	personal	Aceasta este opinia mea personală.
个性	personalitate	Ea are multă personalitate.
各自	fiecare; propriu	Fiecare își termină propria sarcină.
根	un clasificator pentru obiecte lungi și subțiri	Sub masă este un fir.
根本	deloc; fundamental	Această problemă nu este deloc dificilă.
公布	a anunța public	Școala a anunțat public rezultatele examenului.
公开	public	Această ședință este publică.
公平	corect; echitabil	Competiția ar trebui să fie corectă.
公寓	un apartament	Ea a închiriat un apartament mic.
公元	era noastră	Anul acesta este 2026 era noastră.
公主	o prințesă	Fetiței îi plac poveștile cu prințese.
功能	o funcție	Acest software are multe funcții.
工厂	o fabrică	Această fabrică produce mașini.
工程师	un inginer	Fratele meu mai mare este inginer.
工具	o unealtă; un instrument	Pentru repararea bicicletei sunt necesare unelte.
工人	un muncitor	Muncitorii repară drumul.
工业	industrie	Acest oraș se bazează în principal pe industrie.
恭喜	felicitări	Felicitări pentru că ai trecut examenul.
贡献	o contribuție; a contribui	El a avut o contribuție la companie.
沟通	comunicare	Buna comunicare este foarte importantă.
构成	a forma	Aceste părți formează un întreg.
姑姑	mătușa din partea tatălui	În acest weekend merg să îmi vizitez mătușa.
姑娘	o fată; o tânără	Acea tânără este foarte caldă.
古代	antichitate; vremuri străvechi	În vremurile străvechi nu existau telefoane mobile.
古典	clasic	Îmi place muzica clasică.
股票	acțiuni	El a cumpărat câteva acțiuni.
骨头	un os	Acest os este foarte tare.
鼓舞	a încuraja	Această veste este foarte încurajatoare.
鼓掌	a aplauda	Publicul i-a aplaudat pe actori.
固定	fix; stabil	Am program de lucru fix.
挂号	a se înregistra	Înainte să vezi medicul, trebuie să te înregistrezi.
乖	cuminte	Acest copil este foarte cuminte.
拐弯	a vira	La intersecția din față virează la dreapta.
怪不得	nu-i de mirare	Nu-i de mirare că ești atât de obosit.
关闭	a închide	Te rog să închizi computerul înainte să pleci.
官	un funcționar	El este un funcționar tânăr.
观察	a observa	Doctorul observă starea pacientului.
观点	un punct de vedere	Sunt de acord cu punctul tău de vedere.
观念	o concepție	Concepțiile tinerilor se schimbă.
管子	o țeavă	Această țeavă curge.
冠军	un campion	Ea a câștigat titlul de campioană la concurs.
光滑	neted	Suprafața acestei mese este foarte netedă.
光临	a onora cu prezența	Vă așteptăm cu drag să reveniți data viitoare.
光明	luminos	Viitorul este luminos.
光盘	un disc	Te rog să salvezi materialele pe disc.
广场	o piață	În piață sunt mulți oameni.
广大	numeros; vast	Această veste a fost bine primită de numeroși studenți.
广泛	larg; extins	Această carte are o influență largă.
归纳	a rezuma	Profesorul ne-a ajutat să rezumăm punctele-cheie.
规矩	o regulă	Copiii trebuie să înțeleagă regulile.
规律	o regularitate; o lege	Viața ar trebui să aibă un ritm regulat.
规模	o scară; o amploare	Această companie este de mare amploare.
规则	o regulă	Regulile competiției sunt foarte clare.
柜台	un ghișeu	Vă rog să plătiți la ghișeu.
滚	a fierbe	Apa fierbe deja.
锅	o oală	În oală este supă fierbinte.
国庆节	Ziua Națională	Avem liber de Ziua Națională.
国王	un rege	Regele locuiește în palat.
果然	așa cum era de așteptat	A ajuns la timp, așa cum era de așteptat.
果实	fruct; rezultat	Pomul este plin de fructe.
过分	excesiv	Cerința lui este puțin excesivă.
过敏	alergic	Sunt alergic la polen.
过期	a expira	Această sticlă de lapte a expirat deja.
哈	ha	Ha, în sfârșit am înțeles.
海关	vama	Am stat la coadă pentru control la vamă.
海鲜	fructe de mare	Fructele de mare de la acest restaurant sunt foarte proaspete.
喊	a striga	Nu striga tare în clasă.
行业	o industrie	Industria turismului se dezvoltă rapid.
豪华	de lux	Ei stau la un hotel de lux.
好客	ospitalier	Localnicii sunt foarte ospitalieri.
好奇	curios	Copiii sunt foarte curioși despre lume.
何必	de ce să	De ce să te superi pentru un lucru mărunt?
何况	ca să nu mai spunem că	Astăzi este frig, ca să nu mai spunem că plouă.
合法	legal	Acest contract este legal.
合理	rezonabil	Acest preț este rezonabil.
合同	un contract	Ei au semnat un contract.
合影	o fotografie de grup	Am făcut o fotografie de grup la absolvire.
合作	cooperare	Am finalizat proiectul prin cooperare.
和平	pace	Toată lumea speră la pace.
核心	nucleu; esență	Încrederea este nucleul cooperării.
恨	a regreta; a urî	El regretă că nu a muncit mai mult mai devreme.
猴子	o maimuță	La grădina zoologică sunt câteva maimuțe.
后背	spatele	Îl doare puțin spatele.
后果	o consecință	Trebuie să iei în considerare consecințele.
呼吸	a respira	Te rog să respiri adânc.
忽然	deodată	Cerul s-a întunecat deodată.
忽视	a ignora	Nu ignora această problemă.
壶	un ceainic	Pe masă este un ceainic cu ceai.
糊涂	confuz	Astăzi sunt puțin confuz.
胡说	a vorbi prostii	Nu vorbi prostii; nu este adevărat.
胡同	o alee veche	Beijingul are multe alei vechi.
蝴蝶	un fluture	În grădină este un fluture.
花生	arahide	Lui îi place să mănânce arahide.
华裔	de origine chineză	Ea este o scriitoare de origine chineză.
滑	alunecos	Podeaua este alunecoasă, ai grijă.
划	a vâsli	Când merge cu barca, el este responsabil cu vâslitul.
化学	chimie	Ea a studiat chimia la universitate.
话题	un subiect	Acest subiect este foarte interesant.
怀念	a-i fi dor de	Îi este foarte dor de viața universitară.
怀孕	însărcinată	Ea este însărcinată în trei luni.
缓解	a ameliora	Odihna poate ameliora stresul.
幻想	a fantaza	El fantazează adesea călătorind în spațiu.
慌张	panicat	Nu intra în panică atunci când întâlnești o problemă.
黄金	aur	Prețul aurului a crescut din nou.
恢复	a se recupera	Corpul lui se recuperează.
挥	a face semn	Ea a făcut semn cu mâna.
灰	gri	Cerul este gri.
灰尘	praf	Pe masă este mult praf.
灰心	a se descuraja	Nu te descuraja chiar dacă eșuezi.
汇率	cursul de schimb	Care este cursul de schimb de astăzi?
婚礼	o nuntă	Nunta lor a fost foarte simplă.
婚姻	o căsătorie	Căsătoria necesită înțelegere reciprocă.
活跃	activ	El este foarte activ la clasă.
伙伴	un partener	El este cel mai bun partener al meu.
火柴	un chibrit	În cutie a mai rămas doar un chibrit.
或许	poate	Poate mâine va ploua.
基本	de bază	Acestea sunt cerințe de bază.
机器	o mașină; un aparat	Această mașină s-a stricat.
激烈	intens	Competiția a fost foarte intensă.
肌肉	un mușchi	După exerciții, mă dor puțin mușchii.
及格	a trece examenul	El a trecut acest examen.
急忙	în grabă	El a fugit în grabă din clasă.
急诊	urgențe	Pacientul a fost trimis la urgențe.
极其	extrem de	Această problemă este extrem de importantă.
集合	a se aduna	Vă rog să vă adunați la intrare la ora opt.
集体	colectiv	Aceasta este o activitate colectivă.
集中	a se concentra	Trebuie să te concentrezi la curs.
寂寞	singuratic	A trăi singur poate fi uneori singuratic.
系领带	a-și pune cravată	El își pune cravata în fiecare zi înainte de muncă.
纪录	un record	El a doborât recordul școlii.
纪律	disciplină	Disciplina în clasă este foarte importantă.
纪念	a comemora	Am făcut fotografii ca să comemorăm această zi.
计算	a calcula	Te rog să calculezi costul total.
记录	a nota; o înregistrare	Te rog să notezi conținutul ședinței.
记忆	o amintire	Această amintire este foarte prețioasă.
嘉宾	un invitat	Invitatul de astăzi este un scriitor.
夹子	o agrafă; o clemă	Te rog să prinzi documentele cu o agrafă.
家庭	o familie	Familia este foarte importantă pentru copii.
家务	treburi casnice	Trebuie să fac treburi casnice în weekend.
家乡	oraș natal	Îmi este foarte dor de orașul natal.
假如	dacă	Dacă mâine plouă, nu vom merge.
假设	a presupune	Să presupunem că ai fi profesorul; ce ai face?
假装	a se preface	El s-a prefăcut că nu aude.
甲	partea A	Partea A trebuie să plătească la timp.
价值	valoare	Această carte este foarte valoroasă.
嫁	a se mărita	Ea se va mărita cu iubitul ei anul viitor.
驾驶	a conduce	Condu cu grijă când conduci mașina.
兼职	part-time	El lucrează part-time seara.
坚决	ferm	El nu este deloc de acord cu această decizie.
坚强	puternic	Ea este o persoană puternică.
肩膀	un umăr	Umărul lui este rănit.
艰巨	dificil; dificil de realizat	Aceasta este o sarcină dificilă.
艰苦	greu; dificil	Ei au trecut printr-o viață grea.
剪刀	foarfecă	Te rog să îmi dai foarfeca.
捡	a ridica	El a ridicat portofelul de pe jos.
简历	un CV	Pregătește un CV înainte să aplici pentru un loc de muncă.
简直	pur și simplu	Această veste este pur și simplu șocantă.
健身	a face sport	El merge la sală de trei ori pe săptămână.
建立	a stabili	Am stabilit o relație nouă.
建设	construcție; dezvoltare	Construcția urbană se dezvoltă rapid.
建筑	o clădire	Această clădire are trăsături distinctive.
键盘	o tastatură	Tastatura mea trebuie curățată.
讲究	a acorda atenție	Chinezii acordă multă atenție mâncării.
讲座	o prelegere	În această seară este o prelegere despre chineză.
酱油	sos de soia	Adaugă puțin sos de soia în mâncare.
交换	a schimba	Am făcut schimb de numere de telefon.
交际	comunicare; relații sociale	Când înveți o limbă, trebuie să exersezi și comunicarea.
交往	a avea o relație	Ei sunt împreună de doi ani.
浇	a uda	Te rog să uzi florile în fiecare zi.
胶水	lipici	Am folosit lipici ca să lipesc fotografia.
狡猾	viclean	Acea vulpe este foarte vicleană.
角度	un unghi; un punct de vedere	Să privim problema din alt unghi.
教材	un manual; material didactic	Acest manual este foarte practic.
教练	un antrenor	Antrenorul ne cere să ajungem la timp.
教训	o lecție	Acest eșec este o lecție.
接触	contact	Acesta este primul meu contact cu cultura chineză.
接待	a primi	Compania a aranjat pe cineva să primească oaspeții.
接近	a se apropia	Sărbătoarea Primăverii se apropie.
结实	solid; rezistent	Această valiză este foarte rezistentă.
阶段	o etapă	Studiul este împărțit în trei etape.
结构	o structură	Acest articol are o structură clară.
结合	a combina	Studiul trebuie combinat cu practica.
结论	o concluzie	Concluzia lui este foarte convingătoare.
结账	a plăti nota	După masă, am mers să plătim nota.
节省	a economisi	Mersul cu metroul poate economisi timp.
借口	o scuză	Nu mai căuta scuze.
届	un clasificator pentru ediții	Aceasta este a treia ediție a competiției.
戒	a renunța la	Doctorul l-a sfătuit să renunțe la fumat.
戒指	un inel	Ea poartă un inel.
金属	un metal	Fierul este un fel de metal.
尽快	cât mai curând	Te rog să răspunzi la e-mail cât mai curând.
紧急	urgent	Aceasta este o urgență.
谨慎	prudent	Fii prudent înainte să investești.
尽力	a face tot posibilul	Voi face tot posibilul să te ajut.
尽量	cât mai mult posibil	Te rog să încerci să ajungi cât mai devreme.
近代	modern; epoca modernă	China modernă a trecut prin multe schimbări.
进步	progres; a progresa	Chineza lui progresează repede.
进口	importat	Această mașină este importată.
精力	energie	Copiii au multă energie.
精神	stare de spirit; spirit	El este într-o stare de spirit bună astăzi.
经典	clasic	Acesta este un film clasic.
经商	a face afaceri	Tatăl lui face afaceri în străinătate.
