source_headword	ET	example_ET
aspect	aspekt	See aspekt vajab rohkem tähelepanu.
assess	hindama	Õpetaja hindas meie tööd.
assessment	hinnang	Hinnang valmis pärast testi.
associate	seostama	Paljud seostavad seda lõhna suvega.
associated	seotud	Need riskid on projektiga seotud.
association	ühendus	Ühendus korraldas avaliku arutelu.
assume	eeldama	Ma eeldan, et ta tuleb.
attempt	katse	Esimene katse ebaõnnestus.
bacteria	bakterid	Bakterid levivad soojas vees.
barrier	tõke	Keel oli suur tõke.
basically	põhimõtteliselt	Põhimõtteliselt oli plaan lihtne.
bear (deal with)	taluma	Ma ei suuda seda müra taluda.
beg	paluma	Ta palus abi väga siiralt.
being	olend	See olend liikus aeglaselt.
bent	painutatud	Painutatud traat murdus kergesti.
bet	kihlvedu	Ta võitis väikese kihlveo.
beyond	kaugemale	Rada jätkus majast kaugemale.
bitter	kibe	Kohv maitses liiga kibe.
blame	süüdistama	Ära süüdista teda kõiges.
blind	pime	Pime mees tundis ukse ära.
bond	side	Tugev side kasvas aastatega.
breast	rind	Arst kontrollis rinda hoolikalt.
brief	lühike	Koosolek oli lühike.
broad	lai	Tänav oli lai ja vaikne.
broadcast	üle kandma	Kanal kandis mängu üle.
budget	eelarve	Eelarve jäi sel aastal väikeseks.
bullet	kuul	Kuul tabas metallplaati.
bunch	kimp	Laual oli kimp lilli.
bush	põõsas	Põõsas kasvas akna all.
cable	kaabel	Kaabel läks laua taha.
calculate	arvutama	Programm arvutab summa ise.
cancel	tühistama	Nad tühistasid lennu hommikul.
cancer	vähk	Vähk vajab varajast ravi.
capable	võimeline	Ta on võimeline seda tegema.
capacity	maht	Saali maht on piiratud.
capture	jäädvustama	Kaamera jäädvustas hetke.
cast	osatäitjad	Filmi osatäitjad olid tuntud.
cell	rakk	Iga rakk sisaldab infot.
chairman	esimees	Esimees avas koosoleku.
characteristic	omadus	See omadus eristab liiki.
chief	peamine	Peamine põhjus oli ilm.
circumstance	asjaolu	See asjaolu muutis otsust.
cite	tsiteerima	Artikkel tsiteeris vana uuringut.
citizen	kodanik	Iga kodanik sai hääletada.
civil	tsiviil-	Tsiviilõigus kehtib siin.
classic	klassikaline	See on klassikaline näide.
closely	tähelepanelikult	Nad jälgisid olukorda tähelepanelikult.
collapse	kokku varisema	Vana sein varises kokku.
combination	kombinatsioon	See kombinatsioon töötas hästi.
comfort	mugavus	Tool pakkus rohkem mugavust.
command	käsk	Arvuti ei tundnud käsku ära.
commission	komisjon	Komisjon uuris juhtumit.
commitment	pühendumus	Töö nõudis suurt pühendumust.
committee	komitee	Komitee hääletas ettepaneku üle.
commonly	tavaliselt	Seda sõna kasutatakse tavaliselt koolis.
complicated	keeruline	Juhend oli liiga keeruline.
component	komponent	Üks komponent tuli välja vahetada.
concentration	keskendumine	Keskendumine kadus müra tõttu.
concept	mõiste	See mõiste vajab selgitust.
concern	mure	Tema peamine mure oli turvalisus.
concerned	mures	Vanemad olid laste pärast mures.
conduct	läbi viima	Meeskond viis uuringu läbi.
confidence	eneseusk	Eneseusk kasvas pärast võitu.
conflict	konflikt	Konflikt algas väikese vaidlusega.
confusing	segane	Juhised olid segased.
conscious	teadlik	Ta oli riskist teadlik.
conservative	konservatiivne	See oli konservatiivne hinnang.
consideration	kaalutlus	See kaalutlus mõjutas otsust.
consistent	järjekindel	Tema töö oli järjekindel.
constant	pidev	Pidev müra väsitas kõiki.
constantly	pidevalt	Telefon helises pidevalt.
construct	ehitama	Nad ehitasid ajutise silla.
construction	ehitus	Ehitus kestis kaks kuud.
contemporary	kaasaegne	Galerii näitas kaasaegset kunsti.
contest	võistlus	Võistlus algas keskpäeval.
contract	leping	Leping allkirjastati täna.
contribute	panustama	Kõik pidid projekti panustama.
contribution	panus	Tema panus oli oluline.
convert	muundama	Programm muundab faili kiiresti.
convinced	veendunud	Olen selles täiesti veendunud.
core	tuum	Tuumikmeeskond jäi samaks.
corporate	ettevõtte	Ettevõtte reeglid on ranged.
council	nõukogu	Nõukogu kogunes õhtul.
county	maakond	Maakond avas uue tee.
courage	julgus	Tal oli julgust rääkida.
crash	kokkupõrge	Kokkupõrge peatas liikluse.
creation	loomine	Uue süsteemi loomine võttis aega.
creature	olend	Väike olend kadus metsa.
crew	meeskond	Meeskond valmistas laeva ette.
crisis	kriis	Kriis kestis terve nädala.
criterion	kriteerium	Peamine kriteerium oli selgus.
critic	kriitik	Kriitik kiitis lavastust.
critical	kriitiline	See oli kriitiline hetk.
criticism	kriitika	Kriitika oli üsna karm.
criticize	kritiseerima	Nad kritiseerisid otsust avalikult.
crop	saak	Saak oli sel aastal hea.
crucial	otsustav	Aeg oli otsustav tegur.
cure	ravi	Arstid otsisid uut ravi.
curve	kõver	Tee tegi järsu kõvera.
curved	kõverdatud	Kõverdatud klaas peegeldas valgust.
debate	arutelu	Arutelu kestis kaua.
debt	võlg	Võlg maksti lõpuks ära.
decent	korralik	Tuba oli korralik ja puhas.
declare	kuulutama	Linn kuulutas välja eriolukorra.
decline	langus	Müük näitas selget langust.
decoration	kaunistus	Kaunistus rippus ukse kohal.
decrease	vähenema	Kulud vähenesid kevadel.
deeply	sügavalt	Ta hingas sügavalt sisse.
defeat	kaotus	Kaotus oli meeskonnale raske.
defence	kaitse	Kaitse esitas uue tõendi.
defend	kaitsma	Ta püüdis oma otsust kaitsta.
delay	viivitus	Viivitus kestis tund aega.
deliberate	tahtlik	See oli tahtlik valik.
deliberately	tahtlikult	Ta jättis selle tahtlikult välja.
delight	rõõm	Uudis tõi kõigile rõõmu.
delighted	rõõmus	Ta oli tulemuse üle rõõmus.
delivery	kohaletoimetamine	Kohaletoimetamine hilines veidi.
demand	nõudlus	Nõudlus kasvas kiiresti.
demonstrate	näitama	Katse näitas mõju selgelt.
deny	eitama	Ta eitas süüdistust.
depressed	masendunud	Ta tundis end masendununa.
depressing	masendav	Ilm oli tõesti masendav.
depth	sügavus	Järve sügavus üllatas meid.
deserve	väärima	Nad väärivad tunnustust.
desire	soov	Tugev soov viis teda edasi.
desperate	meeleheitel	Nad olid abi järele meeleheitel.
detailed	üksikasjalik	Aruanne oli väga üksikasjalik.
detect	tuvastama	Andur tuvastas liikumise.
dig	kaevama	Lapsed kaevasid liiva sisse augu.
disc	ketas	Vana ketas ei avanenud.
discipline	distsipliin	Sport nõuab distsipliini.
dishonest	ebaaus	Ebaaus vastus rikkus usalduse.
dismiss	vallandama	Juht vallandas töötaja.
display	kuvama	Ekraan kuvas uue teate.
distribute	jaotama	Nad jaotasid lehed klassis.
distribution	jaotus	Jaotus oli ebaühtlane.
district	piirkond	See piirkond on kiiresti kasvanud.
division	jaoskond	Ettevõte lõi uue jaoskonna.
domestic	kodumaine	Kodumaine turg jäi tugevaks.
dominate	domineerima	Üks meeskond domineeris mängu.
downwards	allapoole	Hind liikus allapoole.
dozen	tosin	Laual oli tosin muna.
draft	mustand	Ta saatis mulle mustandi.
drag	lohistama	Hiirt tuleb ikooni peale lohistada.
dramatic	dramaatiline	Muutus oli dramaatiline.
edit	toimetama	Ma pean teksti toimetama.
edition	väljaanne	Uus väljaanne ilmus täna.
efficient	tõhus	Süsteem on nüüd tõhusam.
elderly	eakas	Eakas naine istus pargis.
elect	valima	Nad valisid uue juhi.
elsewhere	mujal	Otsi vastust mujalt.
emerge	ilmnema	Uued faktid ilmnesid hiljem.
emotional	emotsionaalne	Kõne oli väga emotsionaalne.
emphasis	rõhk	Õpetaja pani rõhu selgusele.
emphasize	rõhutama	Ta rõhutas tähtaega.
enable	võimaldama	Uus tööriist võimaldab kiiremat tööd.
encounter	kogema	Reisil kogesime mitu probleemi.
engage	kaasama	Õpetaja püüdis kõiki kaasata.
enhance	parandama	Uus valgus parandas pilti.
enquiry	päring	Päring saadeti hommikul.
ensure	tagama	Kontroll tagab kvaliteedi.
enthusiasm	entusiasm	Ta rääkis suure entusiasmiga.
enthusiastic	entusiastlik	Publik oli entusiastlik.
entire	terve	Terve meeskond jäi hiljaks.
entirely	täielikult	Ma ei ole täielikult nõus.
establish	asutama	Nad asutasid uue klubi.
estate	kinnistu	Kinnistu müüdi kiiresti.
estimate	hinnang	Esialgne hinnang oli kõrge.
ethical	eetiline	See on eetiline küsimus.
evaluate	hindama	Me peame tulemusi hindama.
evil	kuri	Loos oli kuri kuningas.
examination	eksam	Eksam algas kell üheksa.
excuse	vabandus	See vabandus ei kõlanud usutavalt.
executive	juhtivtöötaja	Juhtivtöötaja kinnitas plaani.
existence	olemasolu	Tõendid kinnitasid selle olemasolu.
expectation	ootus	Ootus oli väga kõrge.
expense	kulu	See kulu tuli eelarvest.
exploration	uurimine	Koopa uurimine jätkus.
expose	paljastama	Uurimus paljastas vea.
extend	pikendama	Nad pikendasid tähtaega.
extent	ulatus	Kahju ulatus selgus hiljem.
external	väline	Väline audit algab homme.
extraordinary	erakordne	See oli erakordne saavutus.
facility	rajatis	Uus rajatis avati kevadel.
failure	ebaõnnestumine	Ebaõnnestumine õpetas meile palju.
faith	usk	Ta ei kaotanud usku.
fault	süü	Viga ei olnud tema süü.
feather	sulg	Sulg langes aeglaselt maha.
fee	tasu	Tasu tuleb maksta ette.
feedback	tagasiside	Saime kasulikku tagasisidet.
fellow	kaaslane	Tema kaaslane ootas väljas.
finance	rahandus	Rahandus vajab täpseid andmeid.
finding	leid	Peamine leid oli ootamatu.
firm	ettevõte	Ettevõte palkas uusi inimesi.
flame	leek	Leek liikus tuules.
flash	välgatus	Taevas nägime eredat välgatust.
flexible	paindlik	Graafik on üsna paindlik.
float	hõljuma	Paat hõljus vaikselt vees.
folding	kokkupandav	Kokkupandav tool mahtus kappi.
forgive	andeks andma	Ta suutis lõpuks andeks anda.
former	endine	Endine juht andis intervjuu.
fortune	varandus	Ta päris suure varanduse.
found	asutama	Nad asutasid kooli ammu.
freedom	vabadus	Vabadus on talle tähtis.
frequency	sagedus	Sagedus muutus katse ajal.
fully	täielikult	Uks oli täielikult avatud.
fund	fond	Fond toetab noori teadlasi.
fundamental	põhiline	See on põhiline põhimõte.
funding	rahastus	Rahastus lõppes sügisel.
furthermore	lisaks	Lisaks oli plaan liiga kallis.
gain	võitma	Ta võitis kiiresti kogemust.
gang	jõuk	Jõuk kogunes jaama juures.
generate	looma	Süsteem loob raporti automaatselt.
genre	žanr	See žanr meeldib noortele.
govern	valitsema	Seadused valitsevad seda protsessi.
grab	haarama	Ta haaras koti kiiresti.
gradually	järk-järgult	Valu kadus järk-järgult.
grand	suurejooneline	Plaan oli liiga suurejooneline.
grant	toetus	Ülikool sai uue toetuse.
guarantee	garantii	Garantii kehtib kaks aastat.
handle	käsitsema	See tööriist käsitseb suuri faile.
harm	kahju	Suits võib põhjustada kahju.
harmful	kahjulik	See aine on kahjulik.
hearing	kuulmine	Kuulmine halvenes vanusega.
heaven	taevas	Pilved katsid taevast.
heel	kand	Kand valutas pärast jooksu.
hell	põrgu	Tuba oli kuum nagu põrgu.
hesitate	kõhklema	Ära kõhkle abi küsida.
hollow	õõnes	Puu tüvi oli õõnes.
holy	püha	See on püha paik.
honour	au	Talle anti suur au.
household	majapidamine	Majapidamine kulutas vähem energiat.
housing	elamumajandus	Linn investeeris elamumajandusse.
humorous	humoorikas	Artikkel oli humoorikas.
humour	huumor	Tema huumor tegi pinget vähemaks.
hunting	jaht	Jaht on siin rangelt piiratud.
illustrate	illustreerima	Joonis illustreerib ideed.
illustration	illustratsioon	Raamatus oli ilus illustratsioon.
imagination	kujutlusvõime	Lapsed kasutasid kujutlusvõimet.
impatient	kannatamatu	Ta muutus järjekorras kannatamatuks.
imply	vihjama	Tema vastus vihjas probleemile.
impose	kehtestama	Valitsus kehtestas uue maksu.
impress	muljet avaldama	Esitlus avaldas publikule muljet.
impressed	muljet avaldanud	Olin tema tööga muljet avaldanud.
inch	toll	Laud liikus tolli võrra.
incident	juhtum	Juhtum leidis aset õhtul.
income	sissetulek	Sissetulek kasvas aeglaselt.
increasingly	üha enam	Töö muutus üha enam digitaalseks.
industrial	tööstuslik	Tööstuslik piirkond jäi linnast välja.
infection	nakkus	Nakkus levis kiiresti.
inform	teavitama	Palun teavita mind muudatusest.
initial	esmane	Esmane tulemus oli positiivne.
initially	esialgu	Esialgu tundus kõik lihtne.
initiative	algatus	Algatus tuli õpilastelt.
inner	sisemine	Sisemine uks oli lukus.
insight	arusaam	Arutelu andis uue arusaama.
insist	nõudma	Ta nõudis selget vastust.
inspire	inspireerima	Tema lugu inspireeris meid.
install	paigaldama	Tehnik paigaldas tarkvara.
instance	juhtum	See on üks selge juhtum.
