source_headword	KK	example_KK
uncomfortable	ыңғайсыз	Бұл орындық ыңғайсыз.
underwear	іш киім	Сапарға таза іш киімді сал.
unemployed	жұмыссыз	Ол екі ай жұмыссыз болды.
unemployment	жұмыссыздық	Қыс мезгілінде жұмыссыздық өсті.
unfair	әділетсіз	Шешім әділетсіз болып көрінді.
union	кәсіподақ	Кәсіподақ қауіпсіз жұмыс сұрады.
unless	егер ... болмаса	Мен қоңырау шалмасам, кетпеңіз.
unlike	ұқсамайтын	Томға қарағанда, Ана қысты жақсы көреді.
unlikely	екіталай	Осы аптада қар жаууы екіталай.
unnecessary	қажетсіз	Артық сөмкелер қажет емес.
unpleasant	жағымсыз	Бөлмеде жағымсыз иіс болды.
update	жаңарту	Маған телефонымды жаңарту керек.
upon	үстінде	Баяғыда бір патша болыпты.
upset	ренжіген	Қоңыраудан кейін ол өзін ренжулі сезінді.
used1	пайдаланылатын	Бұл бөлме жиналыстар үшін қолданылады.
used2	дағдыланған	Мен ерте тұруға үйренгенмін.
valuable	құнды	Бұл сағат құнды.
value	құн	Үй өткен жылы құнын жоғалтты.
various	түрлі	Біз әртүрлі жергілікті тағамдардың дәмін татып көрдік.
version	нұсқа	Бұл нұсқа жақсырақ жұмыс істейді.
victim	жәбірленуші	Жәбірленуші полиция шақырды.
viewer	көрермен	Бір көрермен сұрақ қойды.
violent	қатыгез	Фильм өте қатыгез болды.
volunteer	ерікті	Мен кітапханада еріктімін.
vote	дауыс беру	Ертең дауыс беруді ұмытпа.
warn	ескерту	Мен оған ескертуге тырыстым.
warning	ескерту	Экранда ескерту пайда болды.
waste	босқа құрту	Таза суды босқа құртпа.
weapon	қару	Пышақ қаруға айналды.
weigh	өлшеу	Ұнды мұқият өлше.
western	батыс	Олар вестерн фильмін көрді.
whatever	кез келген	Өзіңе ұнаған кез келген нәрсені таңда.
whenever	қашан болса да	Көмек қажет болған кезде қоңырау шал.
whether	ма/ме	Оның келісетінін немесе келіспейтінін білмеймін.
wing	қанат	Құс бір қанатын жарақаттап алды.
within	ішінде	Екі күн ішінде жауап беріңіз.
wonder	білгісі келу	Не болғанын білгім келеді.
wool	жүн	Бұл пальто жүннен жасалған.
worldwide	бүкіл әлем бойынша	Ән бүкіл әлемге танымал болды.
worth	тұратын	Бұл кітап оқуға тұрарлық.
written	жазбаша	Жазбаша нұсқауларды жіберіңізші.
yard	аула	Балалар аулада ойнады.
youth	жастар	Жастар клубтары жергілікті жасөспірімдерді қолдайды.
