source_headword	ET	example_ET
instant	kohene	Rakendus saatis kohese vastuse.
instantly	koheselt	Ekraan lülitus koheselt sisse.
integrate	integreerima	Tarkvara saab integreerida uusi tööriistu.
intellectual	intellektuaalne	Arutelu oli intellektuaalne, kuid sõbralik.
interact	suhtlema	Õpilased suhtlevad rühmatöö ajal.
interaction	suhtlus	Suhtlus oli viisakas.
interpretation	tõlgendus	Tema luuletuse tõlgendus oli originaalne.
interval	intervall	Vaatuste vahel oli lühike intervall.
invade	tungima	Armee püüdis saarele tungida.
invasion	sissetung	Sissetung kahjustas paljusid linnu.
investor	investor	Investor rahastas uut idufirmat.
isolate	isoleerima	Arstid isoleerivad raskete infektsioonidega patsiendid.
isolated	isoleeritud	Küla oli lume tõttu isoleeritud.
jail	vangla	Varas läks vanglasse.
jet	reaktiivlennuk	Reaktiivlennuk maandus keskpäeval.
joint	ühine	Nad teatasid ühisest projektist.
journalism	ajakirjandus	Ajakirjandus nõuab täpseid fakte.
jury	žürii	Žürii jõudis otsusele.
kit	komplekt	Remondikomplekt sisaldab kruvisid.
ladder	redel	Redel toetus seina vastu.
landing	maandumine	Lennuk tegi sujuva maandumise.
lane	rada	Püsige parempoolsel rajal.
lately	viimasel ajal	Olen viimasel ajal halvasti maganud.
leaflet	infoleht	Infoleht selgitab teenust.
legend	legend	Legend räägib peidetud linnast.
lens	objektiiv	Puhastage kaamera objektiivi hoolikalt.
lifetime	eluaeg	Ta säästis raha terve elu.
lighting	valgustus	Hea valgustus teeb toa paremaks.
likewise	samamoodi	Ta naeratas; tema tegi samamoodi.
limitation	piirang	Plaanil on üks piirang.
literally	sõna otseses mõttes	Ta sõna otseses mõttes jooksis bussi peale.
literary	kirjanduslik	Festival austab kirjanduslikku tööd.
litre	liiter	Ostke liiter piima.
litter	prügi	Ärge loopige prügi.
logo	logo	Logo ilmub igal lehel.
lottery	loterii	Ta võitis väikese loteriiauhinna.
loyal	lojaalne	Koer oli oma omanikule lojaalne.
lyric	laulusõnad	Laulusõnad kordasid põhiideed.
magnificent	suurepärane	Palee nägi suurepärane välja.
make-up	meik	Ta kandis lihtsat meiki.
making	tegemine	Filmi tegemine oli keeruline.
manufacture	tootma	Tehas hakkab telefone tootma.
manufacturing	tootmine	Tootmistöökohad kasvasid kohapeal.
marathon	maraton	Ta lõpetas maratoni.
margin	veerg	Kirjutage märkmed veergu.
marker	marker	Kasutage sildi jaoks markerit.
martial	võitlus-	Ta õpib võitluskunste.
mate	kaaslane	Mu vana koolikaaslane helistas eile.
mayor	linnapea	Linnapea avas raamatukogu.
mechanic	mehaanik	Mehaanik parandas bussi.
mechanical	mehaaniline	Kellal on mehaaniline viga.
mechanism	mehhanism	Lukumehhanism on lihtne.
medal	medal	Ta võitis kuldmedali.
medication	ravim	Võtke ravimit veega.
membership	liikmelisus	Jõusaali liikmelisus maksab veebis vähem.
memorable	meeldejääv	Reis oli meeldejääv.
metaphor	metafoor	Luuletus kasutab tugevat metafoori.
miner	kaevur	Kaevur töötas maa all.
miserable	vilets	Vihm tegi pikniku viletsaks.
mode	režiim	Lülitage kaamera öörežiimi.
modest	tagasihoidlik	Nad elavad tagasihoidlikus majas.
monster	koletis	Lool on hirmus koletis.
monthly	igakuine	Me maksame üüri igakuiselt.
monument	monument	Monument seisab jõe ääres.
moreover	pealegi	Pealegi säästab plaan raha.
mortgage	hüpoteek	Nad taotlesid hüpoteeki.
mosque	mošee	Mošee asub turu lähedal.
motion	liikumine	Andur tuvastab liikumist.
motivate	motiveerima	Kiitus võib õpilasi motiveerida.
motivation	motivatsioon	Tema motivatsioon jäi tugevaks.
moving	liigutav	Kõne oli liigutav.
myth	müüt	Müüt selgitab mäe nime.
naked	alasti	Beebi oli pärast vanni alasti.
nasty	kole	Lõige nägi kole välja.
navigation	navigeerimine	Rakendus parandab navigeerimist.
nearby	lähedal	Läheduses asuv kohvik avatakse varakult.
necessity	vajadus	Puhas vesi on vajadus.
negotiate	läbi rääkima	Nad räägivad lepingu üle läbi homme.
negotiation	läbirääkimine	Läbirääkimine kestis terve hommiku.
neutral	neutraalne	Kohtunik jäi neutraalseks.
newly	äsja	Äsja värvitud uks nägi särav välja.
norm	norm	Kaugtööst sai norm.
notebook	märkmik	Kirjutage märkmed oma märkmikku.
novelist	romaanikirjanik	Romaanikirjanik allkirjastas oma raamatu.
nowadays	tänapäeval	Tänapäeval töötavad paljud inimesed veebis.
nursing	õendus	Ta õpib õendust.
nutrition	toitumine	Hea toitumine toetab tervist.
obesity	rasvumine	Rasvumine suurendab terviseriske.
observer	vaatleja	Vaatleja registreeris tulemused.
obstacle	takistus	Langenud puu oli takistus.
occupation	elukutse	Palun kirjutage siia oma elukutse.
occupy	hõivama	Perekond kolib korterisse.
offender	õiguserikkuja	Õiguserikkuja vabandas kohtus.
ongoing	käimasolev	Uurimine on käimas.
openly	avameelselt	Ta rääkis oma hirmudest avameelselt.
opera	ooper	Me nägime Milanos ooperit.
operator	operaator	Operaator ühendas kõne.
optimistic	optimistlik	Ta tunneb end tuleviku suhtes optimistlikult.
orchestra	orkester	Orkester mängis vaikselt.
organic	orgaaniline	Nad ostsid orgaanilisi köögivilju.
outfit	riietus	Tema riietus sobis sündmusega.
output	toodang	Masina toodang suurenes.
outstanding	silmapaistev	Tema esitus oli silmapaistev.
overcome	ületama	Nad ületavad probleeme koos.
overnight	üleöö	Pakk saabus üleöö.
overseas	välismaa	Ta leidis tööd välismaal.
ownership	omandiõigus	Maa omandiõigus muutus.
oxygen	hapnik	Taimed toodavad hapnikku.
packet	pakk	Avage pakk hoolikalt.
palm	peopesa	Hoidke münti peopesas.
panic	paanika	Paanika levis rahva seas.
parade	paraad	Paraad algas keskpäeval.
parallel	paralleelne	Teed kulgevad paralleelselt.
participation	osalemine	Klassis osalemine paranes.
partnership	partnerlus	Partnerlus aitas mõlemat ettevõtet.
part-time	osalise tööajaga	Ta leidis osalise tööajaga töö.
passionate	kirglik	Ta on muusika suhtes kirglik.
password	parool	Valige tugev parool.
patience	kannatlikkus	Väikeste laste õpetamine nõuab kannatlikkust.
pause	paus	Peatage video nüüd.
peer	eakaaslane	Eakaaslaste surve mõjutas tema valikut.
penalty	karistus	Mängija sai karistuse.
perceive	tajuma	Inimesed tajuvad riski erinevalt.
perception	taju	Tema taju ohu suhtes muutus.
permanently	püsivalt	Pood suleti püsivalt.
pill	tablett	Võtke üks tablett pärast hommikusööki.
pity	kahju	Sellest on kahju.
placement	paigutus	Diivani paigutus on oluline.
portion	portsjon	Serveeri väike portsjon riisi.
potentially	potentsiaalselt	See muudatus on potentsiaalselt kasulik.
precede	eelnema	Tumedad pilved eelnevad sageli vihmale.
precious	kallis	Sõrmus on kallis.
precise	täpne	Juhised olid täpsed.
precisely	täpselt	Mõõtke vahemaa täpselt.
predictable	ettearvatav	Lõpp oli ettearvatav.
preference	eelistus	Ta väljendas eelistust tee suhtes.
pride	uhkus	Pärast lõpetamist tundis ta uhkust.
primarily	peamiselt	Kursus on peamiselt veebis.
principal	direktor	Direktor tervitas uusi õpilasi.
prior	eelnev	Me vajame eelnevat heakskiitu.
probability	tõenäosus	Vihma tõenäosus on suur.
probable	tõenäoline	Vihm on täna õhtul tõenäoline.
proceed	jätkama	Palun minge edasi järgmisse tuppa.
programming	programmeerimine	Programmeerimine nõuab harjutamist.
progressive	progressiivne	Poliitika oli oma aja kohta progressiivne.
prohibit	keelama	Reeglid keelavad suitsetamise.
promising	paljutõotav	Tulemused tunduvad paljutõotavad.
promotion	edutamine	Ta sai tööl edutamise.
prompt	kiire	Kiire vastus säästis aega.
proportion	osakaal	Suur osakaal hääletas poolt.
protein	valk	Oad sisaldavad valku.
protester	protestija	Protestija hoidis silti.
psychological	psühholoogiline	Õnnetus põhjustas psühholoogilist stressi.
publicity	reklaam	Üritus sai tähelepanu.
publishing	kirjastamine	Ta töötab kirjastamises.
punk	punk	Punkmuusika muutus seal populaarseks.
purely	puhtalt	Valik oli puhtalt praktiline.
pursuit	püüdlus	Ta jätkas oma õigluse otsinguid.
puzzle	pusle	Pusle võttis tunni.
questionnaire	küsimustik	Palun täitke küsimustik.
racial	rassiline	Aruanne arutas rassilist ebavõrdsust.
racism	rassism	Rassism kahjustab kogukondi.
racist	rassist	Kommentaar oli rassistlik.
radiation	kiirgus	Kiirgus võib kahjustada rakke.
rail	käsipuu	Hoidke trepil käsipuust kinni.
random	juhuslik	Arvuti valis juhusliku numbri.
rat	rott	Rott jooksis prügikastide taha.
rating	hinnang	Hotellil on kõrge hinnang.
reasonably	mõistlikult	Tuba oli mõistlikult puhas.
rebuild	üles ehitama	Nad ehitavad silla uuesti üles.
receiver	vastuvõtja	Vastuvõtja püüdis palli.
recession	majanduslangus	Majanduslangus vähendas kulutusi.
reckon	arvama	Ma arvan, et rong hilineb.
recognition	tunnustus	Ta sai oma töö eest tunnustust.
recovery	taastumine	Taastumine võttis mitu nädalat.
recruit	värbama	Ettevõte värbab insenere.
recruitment	värbamine	Värbamine algab järgmisel esmaspäeval.
referee	kohtunik	Kohtunik peatas matši.
refugee	pagulane	Pagulane leidis turvalise kodu.
registration	registreerimine	Registreerimine lõpeb reedel.
regulate	reguleerima	Seadus reguleerib heitkoguseid.
reinforce	tugevdama	Lisatalad tugevdavad katust.
relieve	leevendama	Ravim võib valu leevendada.
relieved	kergendust tundev	Pärast kõnet tundis ta kergendust.
remarkable	tähelepanuväärne	Taastumine oli tähelepanuväärne.
remarkably	märkimisväärselt	Ta taastus märkimisväärselt kiiresti.
reporting	aruandlus	Täpne aruandlus on oluline.
resign	tagasi astuma	Juhataja astub homme tagasi.
resolution	eraldusvõime	Ekraanil on kõrge eraldusvõime.
restore	taastama	Töölised taastavad vana maali.
restrict	piirama	Reeglid piiravad parkimist.
restriction	piirang	Piirang lõpeb homme.
retail	jaemüük	Jaemüük kasvas.
retirement	pension	Ta planeeris oma pensionile jäämist hoolikalt.
revenue	tulu	Piletitulu maksis remondi eest.
revision	kordamine	Kordamine aitas enne eksamit.
ridiculous	naeruväärne	Hind oli naeruväärne.
risky	riskantne	Plaan tundus riskantne.
rival	konkurent	Meie konkurent avas uue poe.
rob	röövima	Mehed üritasid panka röövida.
robbery	rööv	Rööv toimus öösel.
rocket	rakett	Rakett startis edukalt.
romance	romantika	Romaan sisaldab romantikat.
rose	roos	Aia ääres kasvas punane roos.
roughly	umbes	Kohal oli umbes paarkümmend inimest.
ruin	rikkuma	Vihm võib pikniku rikkuda.
satisfaction	rahulolu	Kliendi rahulolu paranes.
scandal	skandaal	Skandaal kahjustas tema karjääri.
scare	ehmatus	Kõva müra ehmatas mind.
scenario	stsenaarium	Halvim stsenaarium on ebatõenäoline.
scholar	õpetlane	Õpetlane uuris iidseid tekste.
scholarship	stipendium	Ta võitis stipendiumi.
scratch	kriimustus	Kass jättis kriimustuse.
screening	sõeluuring	Haigla pakub vähi sõeluuringut.
seeker	otsija	Tööotsija saatis avaldused.
seminar	seminar	Seminar algab kell üheksa.
settler	asuniku	Asunik ehitas väikese talu.
severely	raskelt	Torm kahjustas teid raskelt.
sexy	seksikas	Kleiti peeti seksikaks.
shocking	šokeeriv	Uudis oli šokeeriv.
shore	kallas	Me kõndisime mööda kallast.
shortage	puudus	Linn silmitsi seisis veepuudusega.
shortly	peagi	Buss saabus peagi pärast keskpäeva.
short-term	lühiajaline	Plaanil on lühiajalised eelised.
sibling	õde või vend	Iga õde-vend sai kingituse.
signature	allkiri	Palun lisage oma allkiri.
significance	tähtsus	Avastusel on suur tähtsus.
skilled	oskustööline	Oskustöölised parandasid katuse.
slogan	loosung	Kampaania kasutas lihtsat loosungit.
so-called	niinimetatud	Niinimetatud ekspert tegi vigu.
somehow	kuidagi	Kuidagi kadusid võtmed ära.
sometime	kunagi	Külastage meid kunagi järgmisel nädalal.
sophisticated	keerukas	Tarkvara on keerukas.
spare	varu-	Me hoiame varuvõtit.
specialize	spetsialiseeruma	Arstid spetsialiseeruvad erinevates valdkondades.
specify	täpsustama	Palun täpsustage oma saabumisaeg.
spectacular	suurejooneline	Ilutulestik oli suurejooneline.
spectator	pealtvaataja	Iga pealtvaataja sai programmi.
speculate	spekuleerima	Eksperdid spekuleerivad põhjuse üle.
speculation	spekulatsioon	Artikkel julgustas spekulatsioone.
spice	vürts	Lisage üks vürts korraga.
spill	maha ajama	Ärge ajage mahla maha.
spite	kiuste	Ta saavutas edu probleemide kiuste.
spoil	rikkuma	Liiga palju soola võib supi rikkuda.
spokesman	pressiesindaja	Pressiesindaja vastas küsimustele.
spokesperson	pressiesindaja	Pressiesindaja luges avalduse ette.
spokeswoman	pressiesindaja	Pressiesindaja pöördus ajakirjanduse poole.
sponsorship	sponsorlus	Meeskond vajab sponsorlust.
sporting	spordi-	Linn korraldab spordiüritusi.
stall	müügilett	Turu müügilett müüb puuvilju.
stance	seisukoht	Minister muutis oma seisukohta.
starve	nälgima	Ilma toiduta võivad loomad nälga surra.
steadily	stabiilselt	Ettevõte kasvas stabiilselt.
steam	aur	Supist tõusis auru.
stimulate	stimuleerima	Erksad värvid võivad huvi stimuleerida.
