source_headword	TR	example_TR
reform	reform	Reform kamu hizmetlerini iyileştirdi.
refuge	sığınak	Aile yurtdışında sığınak aradı.
refusal	ret	Reddi komiteyi şaşırttı.
regain	yeniden kazanmak	Güveni yeniden kazanmak için çok çalıştı.
regardless	gözetmeksizin	Eleştirilere gözetmeksizin devam ettiler.
regime	rejim	Rejim ifade özgürlüğünü kısıtladı.
regulator	düzenleyici	Düzenleyici şirkete para cezası verdi.
regulatory	düzenleyici	Düzenleyici kurumun onayı aylar sürdü.
rehabilitation	rehabilitasyon	Rehabilitasyon yeniden yürümesine yardımcı oldu.
reign	saltanat	Kralın saltanatı on yıllarca sürdü.
rejection	reddedilme	Reddedilme güvenini zedeledi.
relevance	ilgi	Verinin ilgisi sınırlıdır.
reliability	güvenilirlik	Acil durum sistemlerinde güvenilirlik önemlidir.
reluctant	isteksiz	Konuşmaya isteksizdi.
remainder	geri kalan	Geri kalanı hayır kurumuna gitti.
remains	kalıntılar	Kalıntılar dikkatle incelendi.
remedy	çare	Yasa bir çare sunmaktadır.
reminder	hatırlatıcı	E-posta yararlı bir hatırlatıcıydı.
removal	kaldırma	Engellerin kaldırılması ticarete yardımcı oldu.
render	kılmak	Hata sözleşmeyi geçersiz kıldı.
renew	yenilemek	Pasaportunuzu yakında yenileyin.
renowned	ünlü	Araştırmalarıyla ünlüdür.
rental	kiralama	Kiralamaya sigorta dahildir.
replacement	yedek	Yedek parça bugün geldi.
reportedly	bildirildiğine göre	Bildirildiğine göre bakan dün istifa etti.
representation	temsil	Adil temsil önemini koruyor.
reproduce	çoğalmak	Bu bitkiler çabuk çoğalır.
reproduction	kopyalama	Dijital kopyalama erişimi iyileştirdi.
republic	cumhuriyet	Cumhuriyet seçimler düzenledi.
resemble	benzemek	İki tasarım birbirine çok benziyor.
reside	yaşamak	Sınıra yakın yaşıyorlar.
residence	konut	Resmi konutu korunmaktadır.
residential	yerleşim	Bölge çoğunlukla yerleşim yeridir.
residue	kalıntı	Temizleyici yapışkan bir kalıntı bıraktı.
resignation	istifa	İstifası kurulu şoke etti.
resistance	direnç	Değişime karşı direnç güçlüydü.
respective	kendi	Kendi ofislerine döndüler.
respectively	sırasıyla	Puanlar sırasıyla 80 ve 90'dı.
restoration	restorasyon	Binanın restorasyonu yıllar sürdü.
restraint	itidal	Polis itidal gösterdi.
resume	yeniden başlamak	Dersler haftaya yeniden başlıyor.
retreat	geri çekilme	Ordu geri çekilmeye başladı.
retrieve	geri almak	Dosyayı geri aldı.
revelation	ifşa	İfşa itibarına zarar verdi.
revenge	intikam	Hakaretin intikamını almak istedi.
reverse	tersine çevirmek	Mahkeme kararı tersine çevirdi.
revival	canlanma	Kasaba ekonomik bir canlanma yaşadı.
revive	canlandırmak	Festival yerel gelenekleri canlandırmaya yardımcı oldu.
revolutionary	devrim niteliğinde	İcat devrim niteliğindeydi.
rhetoric	söylem	Söylemi agresif geliyordu.
rifle	tüfek	Tüfek güvenli bir şekilde saklandı.
riot	isyan	İsyan birkaç saat sürdü.
rip	yırtmak	Kağıdı dikkatlice yırtın.
ritual	ritüel	Ritüel hasadı simgeler.
robust	sağlam	Sistem sağlamdır.
rock	sarsmak	Patlama köyü sarstı.
rod	çubuk	Perde bir çubuktan sarkar.
rotate	döndürmek	Kolu yavaşça döndürün.
rotation	rotasyon	Ürün rotasyonu toprağı korur.
ruling	karar	Mahkeme bir karar çıkardı.
rumour	söylenti	Söylenti çabucak yayıldı.
sack	kovmak	Kurul koçu kovabilir.
sacred	kutsal	Tapınak kutsaldır.
sacrifice	fedakarlık	Ebeveynler genellikle fedakarlık yaparlar.
saint	aziz	Kilise yerel bir azizi onurlandırıyor.
sake	hatır	Onun hatırı için kaldı.
sanction	yaptırım	Yaptırım uluslararası ticareti etkiledi.
say	söz hakkı	Çalışanların planlamada söz hakkı vardı.
scattered	dağınık	Dağınık kağıtlar masayı kaplamıştı.
sceptical	şüpheci	İddiaya karşı şüpheci yaklaştı.
scope	kapsam	Proje kapsamı genişledi.
screw	vida	Vidayı dikkatlice sıkın.
scrutiny	inceleme	Anlaşma kamuoyunun incelemesiyle karşı karşıya kaldı.
seal	mühürlemek	Postalamadan önce zarfı mühürleyin.
secular	laik	Okul laik bir müfredat izliyor.
seemingly	görünüşte	Görev görünüşte basitti.
segment	bölüm	Son bölüm daha kısaydı.
seize	el koymak	Polis belgelere el koydu.
seldom	nadiren	Dersleri nadiren kaçırır.
selective	seçici	Program oldukça seçicidir.
senator	senatör	Senatör yasa tasarısını destekledi.
sensation	heyecan	Keşif büyük bir heyecan yarattı.
sensitivity	hassasiyet	Konu hassasiyet gerektiriyor.
sentiment	düşünce	Kamuoyunun düşüncesi hızla değişti.
separation	ayrılık	Ayrılık zordu.
serial	seri	Seri numarası eksik.
settlement	anlaşma	Anlaşma anlaşmazlığı sona erdirdi.
set-up	kurulum	Kurulum bütün sabah sürdü.
sexuality	cinsellik	Kurs kimlik ve cinselliği tartışıyor.
shareholder	hissedar	Bir hissedar kurulu sorguladı.
shatter	yıkmak / paramparça etmek	Haberler onun güvenini yıktı.
shed	çıkarmak / atmak	Şirket işçi çıkaracak.
sheer	muazzam / sırf	Muazzam büyüklük herkesi şaşırttı.
shipping	nakliye	Nakliye masrafları arttı.
shoot	çekim	Fotoğraf çekimi erken bitti.
shrink	çekmek / küçülmek	Gömlek çekebilir.
shrug	omuz silkmek	Hafifçe omuz silkti.
sigh	iç çekmek	Rahatlayarak iç çekti.
simulate	simüle etmek	Yazılım trafiği simüle edebilir.
simulation	simülasyon	Simülasyon seli öngördü.
simultaneously	aynı anda	İki alarm aynı anda çaldı.
sin	günah	Kibir bir günah sayılır.
situated	konumlanmış	Otel şehir merkezinde yer almaktadır.
sketch	taslak	Hızlıca bir taslak çizdi.
skip	atlamak	Kahvaltıyı atlamayın.
slam	çarpmak	Kapıyı çarpabilir.
slap	vurmak / tokatlamak	Masaya vurma.
slavery	kölelik	Kölelik bölgenin tarihini şekillendirdi.
slot	zaman dilimi	Çevrimiçi bir zaman dilimi ayırtın.
smash	parçalamak / tuz buz olmak	Bardak yere düşüp tuz buz oldu.
snap	kırılmak / çatlamak	Dal rüzgarda kırıldı.
soak	ıslatmak / suda bekletmek	Fasulyeleri gece boyunca suda bekletin.
soar	fırlamak / hızla yükselmek	Yakıt fiyatları fırlayabilir.
socialist	sosyalist	Parti sosyalist politikaları destekliyor.
sole	tek	O tek kurtulan kişiydi.
solely	yalnızca	Karar yalnızca onundu.
solicitor	avukat	Avukat sözleşmeyi hazırladı.
solidarity	dayanışma	İşçiler dayanışma ifade etti.
solo	solo	Solo bir albüm çıkardı.
sound	sağlam	Plan sağlam ve pratik.
sovereignty	egemenlik	Antlaşma ulusal egemenliği korudu.
spam	spam	Spam gelen kutusunu doldurdu.
span	kapsamak / uzanmak	Köprü nehri aşıyor.
spark	ateşlemek	Küçük bir yorum tartışmayı ateşledi.
specialized	uzmanlaşmış	Klinik uzman bakımı sağlar.
specification	şartname	Tasarım her şartnameyi karşılıyor.
specimen	örnek / numune	Numune güvenle saklandı.
spectacle	gösteri	Geçit töreni canlı bir gösteriydi.
spectrum	yelpaze	Görüşler geniş bir yelpazeyi kapsar.
spell	dönem	Kurak dönem haftalarca sürdü.
sphere	alan	Siyaset kültürel alana girdi.
spin	dönmek	Tekerlekler dönmeye başladı.
spine	omurga	Yaralanma omurgasını etkiledi.
spotlight	ilgi odağı	Skandal onu ilgi odağı yaptı.
spouse	eş	Eşi törene katıldı.
spy	casus	Casus şifreli mesajlar gönderdi.
squad	ekip	Kurtarma ekibi hızlıca geldi.
squeeze	sıkmak	Sapı nazikçe sıkın.
stab	bıçaklamak / saplamak	Raporda bir bıçak yarası anlatıldı.
stability	istikrar	Politika istikrar getirdi.
stabilize	stabilize etmek	İlaç onu stabilize etmeye yardımcı oldu.
stake	pay	Yatırımcıların burada bir payı var.
standing	konum	Partideki konumu yükseldi.
stark	bariz	Sonuçlar bariz bir tezat gösterdi.
statistical	istatistiksel	Çalışmada istatistiksel yöntemler kullanıldı.
steer	yönlendirmek	Tartışmayı yönlendirmeye çalıştı.
stem	gövde / sap	Sap fırtınada kırıldı.
stereotype	basmakalıp yargı	Film basmakalıp bir yargıya meydan okudu.
stimulus	teşvik	Paket ekonomik teşvik sağladı.
stir	karıştırmak	Sosu yavaşça karıştırın.
storage	depolama	Tesis güvenli depolama sunuyor.
straightforward	açık / anlaşılır	Talimatlar açıktı.
strain	gerginlik	Uzun süren gecikme gerginliğe neden oldu.
strand	tel	Bir saç teli düştü.
strategic	stratejik	Şirket stratejik bir yatırım yaptı.
strip (long narrow piece)	şerit	Dar bir kağıt şeridi kesin.
strip (remove clothes/a layer)	sökmek / soymak	Eski boyayı dikkatlice sökün.
strive	çabalamak	Mükemmellik için çabalarlar.
structural	yapısal	Köprüde yapısal hasar var.
stumble	tökezlemek	Merdivenlerde tökezledi.
stun	şoke etmek	Haberler insanları şoke edebilir.
submission	teslim	Teslim için son tarih geçti.
subscriber	abone	Her abone güncellemeleri alır.
subscription	abonelik	Abonelik otomatik olarak yenilenir.
subsidy	sübvansiyon	Sübvansiyon yakıt maliyetlerini düşürdü.
substantial	önemli / yüklü	Projenin yüklü miktarda fona ihtiyacı var.
substantially	önemli ölçüde	Fiyat önemli ölçüde arttı.
substitute	alternatif / yedek	Alternatif olarak süt kullanın.
substitution	ikame	İkame tarifi değiştirdi.
subtle	ince	Tablonun ince detayları var.
suburban	banliyö	Bir banliyö bölgesine taşındılar.
succession	silsile	Kriz, birbiri ardına gelen başarısızlıkların ardından geldi.
successive	birbirini izleyen	Birbirini izleyen hükümetler sorunu görmezden geldi.
successor	halef	Halef pazartesi günü başlayacak.
suck	emmek / çekmek	Makine tozu çekebilir.
sue	dava açmak	Şirkete dava açmaya karar verdi.
suicide	intihar	İntiharı önleme sürekli fonlamaya ihtiyaç duyar.
suite	süit	Otel süiti nehre bakıyordu.
summit	zirve	Liderler zirvede buluştu.
superb	mükemmel	Performans mükemmeldi.
superior	üstün	Yeni model daha üstün.
supervise	denetlemek	Stajyerleri o denetleyecek.
supervision	gözetim	Çocukların yetişkin gözetimine ihtiyacı var.
supervisor	amir	Önce amirine sor.
supplement	ek	Rapor bir ek içeriyor.
supportive	destekleyici	Ailesi destekleyiciydi.
supposedly	sözde	Dosya iddiaya göre silinmişti.
suppress	bastırmak	Rejim protestoları bastırmaya çalıştı.
supreme	yüce / en üst	Yüksek mahkeme davayı gördü.
surge	ani artış	Ani bir dalgalanma ekipmana zarar verdi.
surgical	cerrahi	Hastanın cerrahi tedaviye ihtiyacı var.
surplus	fazlalık	Depoda fazlalık var.
surrender	teslim olmak	Askerler teslim olmayı kabul etti.
surveillance	gözetim	Güvenlik kameraları girişi kaydetti.
suspension	uzaklaştırma	Uzaklaştırma iki hafta sürdü.
suspicion	şüphe	Davranışı şüphe uyandırdı.
suspicious	şüpheli	Paket şüpheli görünüyordu.
sustain	sürdürmek / desteklemek	Proje yerel işleri destekleyebilir.
swing	sallanmak	Kapı sallanmaya başladı.
sword	kılıç	Kılıç duvarda asılıydı.
symbolic	sembolik	Jest sembolikti.
syndrome	sendrom	Sendrom hafızayı etkiler.
synthesis	sentez	Bölüm bir sentez sunuyor.
systematic	sistematik	İnceleme sistematikti.
tactic	taktik	Taktik çabucak başarısız oldu.
tactical	taktiksel	Takım taktiksel bir değişiklik yaptı.
taxpayer	vergi mükellefi	Köprüyü vergi mükelleflerinin parası finanse etti.
tempt	cezbetmek	Teklif yatırımcıları cezbedebilir.
tenant	kiracı	Kiracı kirayı erken ödedi.
tender	şefkatli	Şefkatli bir gülümseme verdi.
tenure	görev süresi	Görev süresi altı yıl sürdü.
terminal	ölümcül	Hastanın ölümcül bir hastalığı vardı.
terminate	sonlandırmak	Şirket sözleşmeyi sonlandırabilir.
terrain	arazi	Arazi zordu.
terrific	müthiş	Manzara müthişti.
testify	ifade vermek	İfade vermeyi kabul etti.
testimony	ifade / tanıklık	İfadesi detaylıydı.
texture	doku	Kumaşın pürüzlü bir dokusu var.
thankfully	neyse ki	Neyse ki kimse yaralanmadı.
theatrical	tiyatral	Konuşma tiyatral geliyordu.
theology	teoloji / ilahiyat	Üniversitede ilahiyat okudu.
theoretical	teorik	Model tamamen teoriktir.
thereafter	ondan sonra	Ondan sonra kurallar değişti.
thereby	böylece	Değişiklik maliyetleri düşürdü, böylece işleri kurtardı.
thoughtful	düşünceli	Cevabı düşünceliydi.
thought-provoking	düşündürücü	Makale düşündürücüydü.
thread	iplik	İplik kolayca koptu.
threshold	baraj / eşik	Oy barajı geçti.
thrilled	çok mutlu	Haberler karşısında çok mutluydu.
thrive	gelişmek / büyümek	Küçük işletmeler burada gelişebilir.
tide	gelgit	Gelgit hızla yükseldi.
tighten	sıkmak	Kapağı sıkıca kapatın.
timber	kereste	Evde yerel kereste kullanılıyor.
timely	zamanında	Uyarı zamanındaydı.
tobacco	tütün	Tütün satışları düştü.
tolerance	hoşgörü	Politika hoşgörüyü teşvik ediyor.
tolerate	müsamaha göstermek	İstismara müsamaha gösteremeyiz.
toll	bilanço / kayıp	Fırtına ağır bir kayba neden oldu.
top	aşmak / geçmek	Satışlar geçen yılın rekorunu aşabilir.
torture	işkence	Antlaşma işkenceyi kesinlikle yasaklıyor.
