source_headword	CS	example_CS
remainder	zbytek	Zbytek šel na charitu.
remains	ostatky	Ostatky byly pečlivě prozkoumány.
remedy	náprava	Zákon poskytuje nápravu.
reminder	připomínka	E-mail byl užitečnou připomínkou.
removal	odstranění	Odstranění překážek pomohlo obchodu.
render	učinit	Chyba učinila smlouvu neplatnou.
renew	obnovit	Obnovte si brzy pas.
renowned	proslulý	Je proslulá svým výzkumem.
rental	pronájem	Pronájem zahrnuje pojištění.
replacement	náhrada	Náhradní díl dorazil dnes.
reportedly	údajně	Ministr včera údajně odstoupil.
representation	zastoupení	Spravedlivé zastoupení zůstává důležité.
reproduce	rozmnožovat se	Tyto rostliny se rychle rozmnožují.
reproduction	reprodukce	Digitální reprodukce zlepšila přístup.
republic	republika	Republika uspořádala volby.
resemble	podobat se	Tyto dva návrhy se navzájem úzce podobají.
reside	sídlit	Sídlí poblíž hranic.
residence	rezidence	Jeho oficiální rezidence je střežena.
residential	obytný	Oblast je převážně obytná.
residue	zbytek	Čistič zanechal lepkavý zbytek.
resignation	rezignace	Její rezignace šokovala správní radu.
resistance	odpor	Odpor ke změně byl silný.
respective	příslušný	Vrátili se do svých příslušných kanceláří.
respectively	v tomto pořadí	Skóre bylo 80 a 90, v tomto pořadí.
restoration	obnova	Obnova budovy trvala roky.
restraint	zdrženlivost	Policie projevila zdrženlivost.
resume	pokračovat	Vyučování pokračuje příští týden.
retreat	ústup	Armáda zahájila ústup.
retrieve	získat zpět	Získala ten soubor.
revelation	odhalení	Odhalení poškodilo jeho pověst.
revenge	pomsta	Chtěl pomstu za tu urážku.
reverse	zvrátit	Soud zvrátil rozhodnutí.
revival	oživení	Město zažilo hospodářské oživení.
revive	oživit	Festival pomohl oživit místní tradice.
revolutionary	revoluční	Vynález byl revoluční.
rhetoric	rétorika	Jeho rétorika zněla agresivně.
rifle	puška	Puška byla bezpečně uložena.
riot	nepokoje	Nepokoje trvaly několik hodin.
rip	roztrhnout	Opatrně roztrhněte ten papír.
ritual	rituál	Rituál označuje sklizeň.
robust	robustní	Systém je robustní.
rock	otřást	Výbuch otřásl vesnicí.
rod	tyč	Závěs visí z tyče.
rotate	otočit	Pomalu otočte rukojetí.
rotation	střídání	Střídání plodin chrání půdu.
ruling	rozhodnutí	Soud vydal rozhodnutí.
rumour	fáma	Fáma se rychle rozšířila.
sack	vyhodit	Správní rada může trenéra vyhodit.
sacred	posvátný	Chrám je posvátný.
sacrifice	oběť	Rodiče často přinášejí oběti.
saint	svatý	Kostel uctívá místního svatého.
sake	kvůli	Zůstal kvůli ní.
sanction	sankce	Sankce ovlivnila mezinárodní obchod.
say	slovo	Zaměstnanci měli slovo v plánování.
scattered	roztroušený	Roztroušené papíry pokrývaly stůl.
sceptical	skeptický	Zůstala vůči tvrzení skeptická.
scope	rozsah	Rozsah projektu se zvětšil.
screw	šroub	Opatrně utáhněte šroub.
scrutiny	zkoumání	Dohoda čelila veřejnému zkoumání.
seal	zalepit	Před odesláním obálku zalepte.
secular	sekulární	Škola se řídí sekulárními osnovami.
seemingly	zdánlivě	Úkol byl zdánlivě jednoduchý.
segment	segment	Poslední segment byl kratší.
seize	zabavit	Policie zabavila dokumenty.
seldom	zřídka	Zřídka chybí na hodině.
selective	selektivní	Program je vysoce selektivní.
senator	senátor	Senátor podpořil návrh zákona.
sensation	senzace	Objev vyvolal senzaci.
sensitivity	citlivost	Problém vyžaduje citlivost.
sentiment	nálada	Veřejná nálada se rychle změnila.
separation	odloučení	Odloučení bylo těžké.
serial	sériový	Sériové číslo chybí.
settlement	vyrovnání	Vyrovnání ukončilo spor.
set-up	příprava	Příprava trvala celé dopoledne.
sexuality	sexualita	Kurz se zabývá identitou a sexualitou.
shareholder	akcionář	Akcionář vznesl dotaz na správní radu.
shatter	otřást	Zpráva otřásla jeho sebevědomím.
shed	zrušit	Společnost zruší pracovní místa.
sheer	pouhý	Pouhá velikost všechny překvapila.
shipping	doprava	Náklady na dopravu se zvýšily.
shoot	focení	Focení skončilo brzy.
shrink	srazit se	Košile se může srazit.
shrug	pokrčit rameny	Mírně pokrčila rameny.
sigh	povzdechnout si	S úlevou si povzdechl.
simulate	simulovat	Software dokáže simulovat provoz.
simulation	simulace	Simulace předpověděla záplavy.
simultaneously	současně	Dva alarmy zazvonily současně.
sin	hřích	Pýcha se považuje za hřích.
situated	situovaný	Hotel se nachází v centru města.
sketch	náčrt	Udělala rychlý náčrt.
skip	vynechat	Nevynechávejte snídani.
slam	zabouchnout	Může zabouchnout dveře.
slap	plácnout	Neplácejte do stolu.
slavery	otroctví	Otroctví utvářelo historii regionu.
slot	termín	Rezervujte si časový termín online.
smash	rozbít	Sklenice se rozbila o podlahu.
snap	prasknout	Větev ve větru praskla.
soak	namočit	Namočte fazole přes noc.
soar	prudce stoupnout	Ceny pohonných hmot mohou prudce stoupnout.
socialist	socialistický	Strana podporuje socialistickou politiku.
sole	jediný	Byl jediným přeživším.
solely	výhradně	Rozhodnutí bylo výhradně jeho.
solicitor	advokát	Advokát připravil smlouvu.
solidarity	solidarita	Dělníci vyjádřili solidaritu.
solo	sólový	Vydala sólové album.
sound	rozumný	Plán je rozumný a praktický.
sovereignty	suverenita	Smlouva chránila národní suverenitu.
spam	spam	Spam zaplnil doručenou poštu.
span	klenout se	Most se klene přes řeku.
spark	vyvolat	Malá poznámka vyvolala debatu.
specialized	specializovaný	Klinika poskytuje specializovanou péči.
specification	specifikace	Návrh splňuje každou specifikaci.
specimen	vzorek	Vzorek byl bezpečně uložen.
spectacle	podívaná	Průvod byl živou podívanou.
spectrum	spektrum	Názory pokrývají široké spektrum.
spell	období	Období sucha trvalo týdny.
sphere	sféra	Politika vstoupila do kulturní sféry.
spin	točit se	Kola se začala točit.
spine	páteř	Zranění zasáhlo jeho páteř.
spotlight	střed pozornosti	Skandál ho dostal do středu pozornosti.
spouse	choť	Její choť se obřadu zúčastnil.
spy	špion	Špion poslal kódované zprávy.
squad	oddíl	Záchranný oddíl dorazil rychle.
squeeze	stisknout	Jemně stiskněte rukojeť.
stab	bodnout	Zpráva popisovala bodné zranění.
stability	stabilita	Politika přinesla stabilitu.
stabilize	stabilizovat	Lék ho pomohl stabilizovat.
stake	podíl	Investoři zde mají podíl.
standing	postavení	Její postavení ve straně stouplo.
stark	ostrý	Výsledky ukázaly ostrý kontrast.
statistical	statistický	Studie využila statistické metody.
steer	řídit	Snažil se řídit debatu.
stem	stonek	Stonek se v bouři zlomil.
stereotype	stereotyp	Film zpochybnil stereotyp.
stimulus	stimul	Balíček poskytl ekonomický stimul.
stir	zamíchat	Omáčku pomalu zamíchejte.
storage	skladování	Zařízení nabízí bezpečné skladování.
straightforward	jasný	Pokyny byly jasné.
strain	napětí	Dlouhé zpoždění způsobilo napětí.
strand	pramen	Pramen vlasů spadl.
strategic	strategický	Společnost učinila strategickou investici.
strip (long narrow piece)	proužek	Ustřihněte úzký proužek papíru.
strip (remove clothes/a layer)	odstranit	Starou barvu opatrně odstraňte.
strive	usilovat	Usilují o dokonalost.
structural	konstrukční	Most má konstrukční poškození.
stumble	zakopnout	Zakopl na schodech.
stun	ohromit	Zpráva může lidi ohromit.
submission	odevzdání	Termín odevzdání vypršel.
subscriber	odběratel	Každý odběratel dostává aktualizace.
subscription	předplatné	Předplatné se automaticky obnovuje.
subsidy	dotace	Dotace snížila náklady na palivo.
substantial	značný	Projekt potřebuje značné financování.
substantially	podstatně	Cena se podstatně zvýšila.
substitute	náhrada	Jako náhradu použijte mléko.
substitution	nahrazení	Nahrazení změnilo recept.
subtle	jemný	Obraz má jemné detaily.
suburban	příměstský	Přestěhovali se do příměstské oblasti.
succession	sled	Krize následovala po sledu neúspěchů.
successive	po sobě jdoucí	Po sobě jdoucí vlády tento problém ignorovaly.
successor	nástupce	Nástupce nastoupí v pondělí.
suck	vysát	Stroj dokáže vysát prach.
sue	žalovat	Rozhodla se společnost zažalovat.
suicide	sebevražda	Prevence sebevražd potřebuje trvalé financování.
suite	apartmá	Hotelové apartmá mělo výhled na řeku.
summit	summit	Lídři se sešli na summitu.
superb	vynikající	Představení bylo vynikající.
superior	lepší	Nový model je lepší.
supervise	dohlížet	Bude dohlížet na stážisty.
supervision	dohled	Děti potřebují dohled dospělých.
supervisor	vedoucí	Zeptejte se nejprve svého vedoucího.
supplement	doplněk	Zpráva obsahuje doplněk.
supportive	podpůrný	Její rodina byla velmi podpůrná.
supposedly	údajně	Soubor byl údajně smazán.
suppress	potlačit	Režim se snažil potlačit protesty.
supreme	nejvyšší	Nejvyšší soud projednal případ.
surge	přepětí	Náhlé přepětí poškodilo zařízení.
surgical	chirurgický	Pacient potřebuje chirurgickou léčbu.
surplus	přebytek	Sklad má přebytek.
surrender	vzdát se	Vojáci souhlasili, že se vzdají.
surveillance	dohled	Bezpečnostní kamery zaznamenaly vchod.
suspension	pozastavení	Pozastavení trvalo dva týdny.
suspicion	podezření	Jeho chování vzbudilo podezření.
suspicious	podezřelý	Balíček vypadal podezřele.
sustain	udržet	Projekt dokáže udržet místní pracovní místa.
swing	houpat se	Dveře se začaly houpat.
sword	meč	Meč visel na zdi.
symbolic	symbolický	Gesto bylo symbolické.
syndrome	syndrom	Syndrom ovlivňuje paměť.
synthesis	syntéza	Kapitola nabízí syntézu.
systematic	systematický	Přezkum byl systematický.
tactic	taktika	Taktika rychle selhala.
tactical	taktický	Tým provedl taktickou změnu.
taxpayer	daňový poplatník	Peníze daňových poplatníků financovaly most.
tempt	lákat	Nabídka může lákat investory.
tenant	nájemník	Nájemník zaplatil nájem dříve.
tender	něžný	Věnovala mu něžný úsměv.
tenure	funkční období	Jeho funkční období trvalo šest let.
terminal	nevyléčitelný	Pacient měl nevyléčitelnou nemoc.
terminate	ukončit	Společnost může smlouvu ukončit.
terrain	terén	Terén byl obtížný.
terrific	úžasný	Výhled byl úžasný.
testify	svědčit	Souhlasila, že bude svědčit.
testimony	svědectví	Jeho svědectví bylo detailní.
texture	textura	Látka má hrubou texturu.
thankfully	naštěstí	Naštěstí nebyl nikdo zraněn.
theatrical	divadelní	Projev zněl divadelně.
theology	teologie	Na univerzitě studoval teologii.
theoretical	teoretický	Model je čistě teoretický.
thereafter	poté	Poté se pravidla změnila.
thereby	čímž	Změna snížila náklady, čímž zachránila pracovní místa.
thoughtful	promyšlený	Její odpověď byla promyšlená.
thought-provoking	podnětný	Článek byl podnětný.
thread	nit	Nit se snadno přetrhla.
threshold	práh	Hlasování překročilo práh.
thrilled	nadšený	Byla z té zprávy nadšená.
thrive	prosperovat	Malé podniky zde mohou prosperovat.
tide	příliv	Příliv rychle stoupl.
tighten	utáhnout	Pevně utáhněte víko.
timber	dřevo	Dům využívá místní dřevo.
timely	včasný	Varování bylo včasné.
tobacco	tabák	Prodej tabáku klesl.
tolerance	tolerance	Politika podporuje toleranci.
tolerate	tolerovat	Nemůžeme tolerovat zneužívání.
toll	daň	Bouře si vybrala krutou daň.
top	překonat	Tržby mohou překonat loňský rekord.
torture	mučení	Smlouva absolutně zakazuje mučení.
