source_headword	CS	example_CS
authority	úřad	Místní úřad opravil silnici.
aware	vědomý	Je si vědomá rizika.
backwards	dozadu	Opatrně šel dozadu.
bake	péct	Každou neděli peču chleba.
balance	rovnováha	Dobré boty pomáhají udržet rovnováhu.
ban	zakázat	Město zakáže auta.
bank (river)	břeh	Seděli jsme na břehu řeky.
base	základna	Tým se vrátil na základnu.
basic	základní	Každý potřebuje základní počítačové dovednosti.
basis	základ	Důvěra je základ přátelství.
battery	baterie	Baterie mého telefonu je slabá.
battle	bitva	Bitva trvala celou noc.
beauty	krása	Obdivovali jsme krásu hor.
bee	včela	Včela přistála na květině.
belief	víra	Jeho víra mu dodala odvahu.
bell	zvonek	Školní zvonek hlasitě zazvonil.
bend	ohnout	Při zvedání ohni kolena.
bite	kousnout	Pes může kousnout cizí lidi.
block	zablokovat	Spadlý strom zablokoval silnici.
bomb	bomba	Bomba poškodila několik budov.
border	hranice	Hranici překročili v noci.
bother	otravovat	Prosím, neotravuj svou sestru.
branch	větev	V bouři se zlomila větev.
brand	značka	Tato značka je oblíbená mezi studenty.
brave	statečný	Statečný muž zachránil dítě.
breath	dech	Zhluboka se nadechni.
breathe	dýchat	V tom kouři nemohu dýchat.
breathing	dýchání	Její dýchání bylo pomalé.
bride	nevěsta	Nevěsta měla bílé šaty.
bubble	bublina	Nad sklenicí se vznášela bublina.
bury	pohřbít	Krabici pohřbili v písku.
calm	klidný	Během zkoušky zůstaň klidný.
campaign	kampaň	Kampaň vybrala peníze pro školy.
campus	kampus	Studenti bydlí blízko kampusu.
candidate	kandidát	Každý kandidát odpověděl na tři otázky.
cap	kšiltovka	Měl baseballovou kšiltovku.
captain	kapitán	Kapitán promluvil k týmu.
careless	neopatrný	Neopatrná chyba nás stála čas.
category	kategorie	Vyber správnou kategorii.
ceiling	strop	Strop byl natřen bíle.
celebration	oslava	Oslava trvala celý večer.
central	centrální	Hotel má centrální polohu.
ceremony	obřad	Obřad začal v poledne.
chain	řetízek	Nosila stříbrný řetízek.
challenge	výzva	Tento projekt je skutečná výzva.
champion	šampion	Šampionka poděkovala trenérovi.
channel	kanál	Změň kanál, prosím.
chapter	kapitola	Dnes večer si přečti další kapitolu.
charge	poplatek	Za děti se neplatí žádný poplatek.
cheat	podvádět	Nepodváděj u testu.
cheerful	veselý	Dnes ráno zněla vesele.
chemical	chemický	Chemický zápach byl silný.
chest	hrudník	Po běhu ho bolel hrudník.
childhood	dětství	Pamatuji si svůj domov z dětství.
claim	tvrdit	Tvrdí, že produkt je bezpečný.
clause	věta	Tato věta mění význam.
click	kliknout	Klikni na modré tlačítko.
client	klient	Klient požádal o více podrobností.
cloth	hadřík	Otři stůl tímto hadříkem.
clue	vodítko	Vodítko nám pomohlo to vyřešit.
coal	uhlí	Starý vlak používal uhlí.
coin	mince	Na podlaze našel minci.
collection	sbírka	Její sbírka známek je velká.
coloured	barevný	Měla barevný šátek.
combine	spojit	Spoj mouku a vodu.
commercial	reklamní	Reklamní přestávka trvala pět minut.
commit	zavázat se	Musíme se zavázat k plánu.
communication	komunikace	Dobrá komunikace předchází chybám.
comparison	srovnání	Toto srovnání je užitečné.
competitive	konkurenční	Trh je velmi konkurenční.
competitor	konkurent	Náš hlavní konkurent snížil ceny.
complaint	stížnost	Podala stížnost na hluk.
complex	složitý	Pokyny jsou příliš složité.
concentrate	soustředit se	Nemohu se soustředit, když hraje hudba.
conclude	uzavřít	Schůzku teď uzavřeme.
conclusion	závěr	Jeho závěr se zdál rozumný.
confident	sebevědomý	Před pohovorem se cítila sebevědomě.
confirm	potvrdit	Potvrď prosím svou e-mailovou adresu.
confuse	plést	Tato dvě jména mě pletou.
confused	zmatený	Podle mapy jsem se cítil zmatený.
connection	připojení	Internetové připojení je pomalé.
consequence	následek	Nedostatek spánku má následky.
consist	skládat se	Jídlo se skládá ze tří chodů.
consume	spotřebovat	Velká auta spotřebují více paliva.
consumer	spotřebitel	Spotřebitel chce jasné informace.
contact	kontaktovat	Kontaktuj mě po obědě.
container	nádoba	Dej polévku do nádoby.
content1	obsah	Obsah kurzu je užitečný.
continuous	nepřetržitý	Stroj vydával nepřetržitý hluk.
contrast	kontrast	Kontrast mezi nimi je jasný.
convenient	pohodlný	Stanice je velmi pohodlná.
convince	přesvědčit	Přesvědčila ho, aby to zkusil znovu.
costume	kostým	Měl pirátský kostým.
cottage	chata	Pronajali si malou chatu.
cotton	bavlna	Tato košile je z bavlny.
countryside	venkov	Procházeli jsme venkovem.
court	soud	Případ šel k soudu.
covered	pokrytý	Stůl byl pokrytý papíry.
cruel	krutý	Bylo kruté se smát.
cultural	kulturní	Muzeum nabízí kulturní akce.
currency	měna	Místní měnou je euro.
current	současný	Současná situace je obtížná.
currently	v současnosti	V současnosti studuje v zahraničí.
curtain	závěs	Na noc zatáhni závěs.
custom	zvyk	Tento zvyk je velmi starý.
damage	škoda	Bouře způsobila vážnou škodu.
decade	desetiletí	Žili tam desetiletí.
decorate	zdobit	Pokoj zdobíme společně.
define	definovat	Můžeš definovat tento pojem?
definite	určitý	Potřebujeme určitou odpověď.
definition	definice	Napiš definici do sešitu.
deliver	doručit	Doručují jídlo k nám domů.
departure	odjezd	Čas odjezdu se změnil.
despite	navzdory	Navzdory dešti jsme šli pěšky.
destination	cíl	Paříž byla jejich konečný cíl.
determine	určit	Testy určí tvoji úroveň.
determined	odhodlaný	Byla odhodlaná uspět.
development	rozvoj	Rozvoj města byl rychlý.
diagram	schéma	Nakresli jednoduché schéma.
diamond	diamant	Prsten měl malý diamant.
difficulty	potíž	Měl potíž otevřít dveře.
directly	přímo	Prosím, mluv přímo se mnou.
dirt	špína	Jeho boty byly pokryté špínou.
disadvantage	nevýhoda	Dlouhá cesta je nevýhoda.
disappointed	zklamaný	Byla zklamaná výsledkem.
disappointing	zklamání	Konec byl zklamání.
discount	sleva	Studenti zde dostanou slevu.
dislike	nesnášet	Nesnáším velmi hlasitou hudbu.
divide	rozdělit	Rozděl dort na kousky.
documentary	dokument	Dívali jsme se na dokument o vesmíru.
donate	darovat	Mnoho lidí daruje staré oblečení.
doubt	pochybnost	Nemám o tom žádnou pochybnost.
dressed	oblečený	Byl oblečený v černém.
drum	buben	Buben zněl přes celou místnost.
drunk	opilý	Řidič byl opilý.
due	termín	Zpráva má termín zítra.
dust	prach	Staré knihy pokryl prach.
duty	povinnost	Je mou povinností pomoci.
earthquake	zemětřesení	Zemětřesení poškodilo most.
eastern	východní	Východní pobřeží je větrné.
economic	ekonomický	Země čelí ekonomickým problémům.
economy	ekonomika	Ekonomika letos rostla.
edge	okraj	Stůj dál od okraje.
editor	editor	Editor zkontroloval článek.
educate	vzdělávat	Školy vzdělávají mladé lidi.
educated	vzdělaný	Je velmi vzdělaná.
educational	vzdělávací	Hra je vzdělávací.
effective	účinný	Tento lék je účinný.
effectively	účinně	Vysvětlila pravidlo účinně.
effort	úsilí	Tvé úsilí něco změnilo.
election	volby	Výsledek voleb byl těsný.
element	prvek	Důvěra je důležitý prvek.
embarrassed	trapně	Cítil se trapně po pádu.
embarrassing	trapný	To byla trapná chyba.
emergency	nouzová situace	V nouzové situaci zavolej na toto číslo.
emotion	emoce	Strach je silná emoce.
employment	zaměstnanost	Zaměstnanost tento měsíc vzrostla.
encourage	povzbuzovat	Učitelé povzbuzují studenty ke čtení.
enemy	nepřítel	Tyto dvě země byly nepřátelé.
engaged	zasnoubený	Zasnoubili se loni na jaře.
engineering	inženýrství	Studuje inženýrství na univerzitě.
entertain	bavit	Zpěvák bude bavit hosty.
entertainment	zábava	Město nabízí večerní zábavu.
entrance	vchod	Sejdeme se u vchodu.
entry	vstup	Vstup je pro děti zdarma.
environmental	environmentální	Diskutovali jsme o environmentálních problémech.
episode	epizoda	Poslední epizoda byla vzrušující.
equal	rovný	Dostávají rovnou mzdu.
equally	rovnoměrně	Práce je rozdělena rovnoměrně.
escape	utéct	Vězni se pokusili utéct.
essential	nezbytný	Voda je nezbytná pro život.
eventually	nakonec	Nakonec jsme našli hotel.
examine	vyšetřit	Lékař mi vyšetřil ruku.
exchange	výměna	V obchodě jsme provedli výměnu.
excitement	vzrušení	Hra byla plná vzrušení.
exhibition	výstava	Výstava umění se otevírá zítra.
expand	expandovat	Společnost plánuje expandovat.
expected	očekávaný	Očekávané náklady jsou vysoké.
expedition	expedice	Expedice přešla poušť.
experienced	zkušený	Je zkušená zdravotní sestra.
explode	vybuchnout	Láhev může v horku vybuchnout.
explore	prozkoumat	Prozkoumali jsme staré město.
explosion	výbuch	Výbuch rozbil několik oken.
export	vývoz	Káva je důležitý vývoz.
fairly	docela	Test byl docela snadný.
familiar	povědomý	Její tvář vypadala povědomě.
fancy	mít chuť	Máš chuť na kávu?
fascinating	fascinující	Příběh byl fascinující.
fashionable	módní	Ty boty jsou módní.
fasten	zapnout	Zapni si bezpečnostní pás.
favour	laskavost	Můžeš mi udělat laskavost?
fence	plot	Plot obklopuje zahradu.
fighting	boje	Boje skončily za úsvitu.
file	soubor	Před zavřením ulož soubor.
financial	finanční	Potřebuje finanční radu.
fitness	kondice	Běh zlepšuje tvoji kondici.
fixed	pevný	Cena je pevná.
flag	vlajka	Vlajka vlála nad školou.
flood	povodeň	Povodeň poškodila mnoho domů.
flour	mouka	Přidej mouku do mísy.
flow	téct	Řeka teče městem.
fold	přeložit	Přelož papír napůl.
folk	folkový	Sál zaplnila folková hudba.
force	síla	Vítr měl velkou sílu.
forever	navždy	Budu si to pamatovat navždy.
frame	rám	Fotografie potřebuje rám.
freeze	zmrznout	Voda přes noc zmrzne.
frequently	často	Často navštěvuje své rodiče.
friendship	přátelství	Jejich přátelství trvalo roky.
frighten	vyděsit	Hlasité zvuky děsí dítě.
frightened	vyděšený	Dítě vypadalo vyděšeně.
frightening	děsivý	Bouře byla děsivá.
frozen	zmrzlý	Jezero bylo zmrzlé.
fry	smažit	Smaž cibuli pět minut.
fuel	palivo	Auto potřebuje více paliva.
function	funkce	Toto tlačítko má jednu funkci.
fur	srst	Kočka má měkkou srst.
garage	garáž	Auto je v garáži.
gather	shromáždit se	Shromáždili jsme se kolem stolu.
generally	obvykle	Obvykle přichází brzy.
generation	generace	Každá generace čelí novým problémům.
generous	štědrý	Je štědrý se svým časem.
gentle	jemný	Použij jemný hlas.
gentleman	pán	Pán otevřel dveře.
ghost	duch	Příběh zmiňuje ducha.
giant	obrovský	Obrovská obrazovka zaplnila pódium.
glad	rád	Jsem rád, že jsi přišel.
global	globální	Změna klimatu je globální problém.
glove	rukavice	Ztratil jsem jednu rukavici.
goods	zboží	Zboží dorazilo pozdě.
grade	známka	Dostala vysokou známku.
graduate	absolvent	Je čerstvý absolvent.
grain	zrnko	Zrnko rýže spadlo.
grateful	vděčný	Jsem vděčný za tvou podporu.
growth	růst	Rostlina ukázala stálý růst.
guard	strážný	Strážný zkontroloval naše lístky.
guilty	vinný	Cítil se vinný kvůli lhaní.
hang	pověsit	Pověs si kabát sem.
happiness	štěstí	Peníze si štěstí nekoupí.
hardly	sotva	Sotva jsem tě slyšel.
headline	titulek	Titulek mě zaujal.
heating	topení	Topení přestalo fungovat.
heavily	silně	Celou noc silně pršelo.
helicopter	vrtulník	Nedaleko přistál vrtulník.
highlight	zvýraznit	Zvýrazni hlavní myšlenku.
highly	vysoce	Je vysoce respektovaná.
hire	pronajmout	Musíme si pronajmout auto.
historic	historický	Navštívili jsme historickou budovu.
historical	historický	Má ráda historické romány.
honest	upřímný	Prosím, dej upřímnou odpověď.
horrible	hrozný	Zápach byl hrozný.
horror	horor	Má rád hororové filmy.
host	hostitel	Hostitel přivítal každého hosta.
