simplified	ES	example_ES
顿	pausa; clasificador para comidas	Cenamos juntos.
多亏	gracias a; por suerte	Gracias a tu ayuda, pude completar la tarea.
多余	innecesario; sobrante	Esta frase es innecesaria.
朵	clasificador para flores	Hay una flor sobre la mesa.
躲藏	esconderse	El gatito está escondido debajo de la cama.
恶劣	malo; pésimo	El tiempo de hoy es muy malo.
耳环	el pendiente; el arete	Ella lleva un par de pendientes.
发表	publicar; expresar	Él expresó su opinión en la reunión.
发愁	preocuparse; angustiarse	No te preocupes por este asunto pequeño.
发达	desarrollado; avanzado	El transporte de esta ciudad está muy desarrollado.
发抖	temblar	Él tiembla sin parar por el frío.
发挥	usar; desplegar	Por favor, usen su imaginación.
发明	el invento; inventar	La luz eléctrica es un invento importante.
发票	la factura	Por favor, emíteme una factura.
发言	hablar; intervenir	Él habló en la reunión.
罚款	la multa; multar	Estacionar ilegalmente implica una multa.
法院	el tribunal; la corte	Este caso se remitió al tribunal.
翻	pasar; dar vuelta	Por favor, pasa el libro a la página diez.
繁荣	próspero; prosperar	La economía está prosperando poco a poco.
反而	en cambio; por el contrario	No se enojó; al contrario, se rio.
反复	repetidamente	Esta oración hay que practicarla repetidamente.
反应	la reacción; reaccionar	Su reacción es rápida.
反映	reflejar	Este informe refleja la situación real.
反正	de todos modos	De todos modos, mañana tengo tiempo.
范围	el alcance; el ámbito	Por favor, no salgas de este ámbito.
方	cuadrado; lado	Por favor, dibuja un cuadrado en el papel.
方案	el plan; la propuesta	Este plan es bastante razonable.
方式	la forma; el método	Esta forma de estudiar es muy eficaz.
妨碍	molestar; obstaculizar	Por favor, no molestes a otros mientras trabajan.
仿佛	parecer; como si	Parece que él lo sabe todo.
非	no; indispensable	Este asunto no se puede hacer sin ti.
肥皂	el jabón	Usa jabón al lavarte las manos.
废话	tonterías; palabras inútiles	Deja de decir tonterías y empieza ya.
分别	separarse; distinguir	Ellos se separaron en la estación.
分布	distribuirse	Estas tiendas están distribuidas por toda la ciudad.
分配	asignar; distribuir	El profesor asignó una nueva tarea.
分手	separarse; terminar una relación	Ellos terminaron el año pasado.
分析	analizar; el análisis	Necesitamos analizar las razones.
纷纷	uno tras otro	Todos expresaron su acuerdo uno tras otro.
奋斗	luchar; esforzarse	Los jóvenes deben luchar por sus sueños.
疯狂	loco; frenético	Los aficionados vitorearon frenéticamente.
风格	el estilo	El estilo de este restaurante es muy particular.
风景	el paisaje	El paisaje de la montaña es hermoso.
风俗	la costumbre	Cada lugar tiene sus propias costumbres.
风险	el riesgo	Invertir implica cierto riesgo.
讽刺	satirizar; ironizar	Este artículo satirizó problemas sociales.
否定	negar; la negación	Él negó esta afirmación.
否认	negar	Él negó haber cometido un error.
幅	clasificador para cuadros y telas	En la pared cuelga un cuadro.
扶	ayudar a sostener; apoyar	Por favor, ayuda al anciano a cruzar la calle.
服装	la ropa; la vestimenta	Esta tienda vende ropa infantil.
辅导	dar tutoría; orientar	El profesor da tutoría a los estudiantes después de clase.
复制	copiar; duplicar	Por favor, copia este documento.
妇女	la mujer	Este hospital ofrece servicios para mujeres.
改革	la reforma; reformar	La escuela está llevando a cabo una reforma educativa.
改进	mejorar	Necesitamos mejorar la calidad del servicio.
改善	mejorar	El ejercicio puede mejorar el sueño.
改正	corregir	Por favor, corrige los errores a tiempo.
概括	resumir; generalizar	Por favor, resume el contenido del artículo.
概念	el concepto	Este concepto no es muy fácil de entender.
盖	tapar; cubrir	Por favor, tapa bien el vaso.
干脆	simplemente; directo	Mejor no vayas hoy.
干燥	seco	El invierno en el norte es muy seco.
感激	agradecido; agradecer	Estoy muy agradecido por tu ayuda.
感受	el sentimiento; sentir	Puedo entender tus sentimientos.
感想	la impresión; la reflexión	Por favor, habla de tus impresiones.
赶紧	apresurarse; darse prisa	Ya se está haciendo tarde, vámonos rápido.
赶快	rápidamente; enseguida	Cierra la puerta enseguida.
干活儿	trabajar; hacer trabajo manual	Él está trabajando en el patio.
钢铁	el acero	Este puente está hecho de acero.
高档	de alta gama; de categoría alta	Este es un hotel de alta gama.
高级	avanzado; de nivel alto	Ella se inscribió en una clase avanzada de chino.
搞	hacer; organizar	¿Qué tipo de actividad estás organizando?
告别	despedirse	Nos despedimos de nuestro amigo en el aeropuerto.
格外	especialmente; particularmente	El cielo está especialmente azul hoy.
隔壁	al lado; la puerta de al lado	Al lado vive un profesor.
个别	algunos; individual	Algunos estudiantes todavía no han entregado la tarea.
个人	personal; individual	Esta es mi opinión personal.
个性	la personalidad	Ella tiene mucha personalidad.
各自	cada uno; respectivo	Cada uno completa su propia tarea.
根	la raíz; clasificador para objetos largos	Hay un cable debajo de la mesa.
根本	en absoluto; fundamental	Este problema no es difícil en absoluto.
公布	anunciar; publicar	La escuela anunció los resultados del examen.
公开	público; hacer público	Esta reunión es pública.
公平	justo; imparcial	La competencia debe ser justa.
公寓	el apartamento	Ella alquiló un apartamento pequeño.
公元	después de Cristo; era común	Este año es 2026 de la era común.
公主	la princesa	A la niña le gustan las historias de princesas.
功能	la función	Este programa tiene muchas funciones.
工厂	la fábrica	Esta fábrica produce coches.
工程师	el ingeniero	Mi hermano mayor es ingeniero.
工具	la herramienta	Para reparar una bicicleta se necesitan herramientas.
工人	el trabajador	Los trabajadores están reparando la carretera.
工业	la industria	Esta ciudad se basa principalmente en la industria.
恭喜	felicidades	Felicidades por aprobar el examen.
贡献	la contribución; contribuir	Él hizo una contribución a la empresa.
沟通	la comunicación; comunicarse	La buena comunicación es muy importante.
构成	formar; constituir	Estas partes forman un conjunto.
姑姑	la tía paterna	Este fin de semana voy a visitar a mi tía.
姑娘	la joven; la muchacha	Esa joven es muy servicial.
古代	la antigüedad	En la antigüedad no había teléfonos móviles.
古典	clásico	Me gusta la música clásica.
股票	las acciones	Él compró algunas acciones.
骨头	el hueso	Este hueso es muy duro.
鼓舞	animar; alentador	Esta noticia es muy alentadora.
鼓掌	aplaudir	El público aplaudió a los actores.
固定	fijo; estable	Tengo un horario de trabajo fijo.
挂号	registrarse para consulta	Antes de ver al médico hay que registrarse.
乖	obediente; bien portado	Este niño se porta muy bien.
拐弯	girar; doblar	Gira a la derecha en el cruce de adelante.
怪不得	con razón	Con razón estás tan cansado.
关闭	cerrar; apagar	Por favor, apaga la computadora antes de irte.
官	el funcionario	Él es un funcionario joven.
观察	observar	El médico está observando el estado del paciente.
观点	el punto de vista	Estoy de acuerdo con tu punto de vista.
观念	la idea; el concepto	Las ideas de los jóvenes están cambiando.
管子	el tubo; la tubería	Esta tubería está perdiendo agua.
冠军	el campeón; el campeonato	Ella ganó el campeonato de la competencia.
光滑	liso; suave	La superficie de esta mesa es muy lisa.
光临	visitar; honrar con la presencia	Le esperamos de nuevo en su próxima visita.
光明	brillante; luminoso	El futuro es brillante.
光盘	el disco; el CD	Por favor, guarda los materiales en el disco.
广场	la plaza	Hay mucha gente en la plaza.
广大	numeroso; amplio	Esta noticia fue bien recibida por numerosos estudiantes.
广泛	amplio; extenso	Este libro tiene una influencia amplia.
归纳	resumir; sintetizar	El profesor nos ayudó a resumir los puntos clave.
规矩	la regla; las normas	Los niños deben conocer las normas.
规律	la regularidad; el patrón	La vida debe tener un ritmo regular.
规模	la escala; el tamaño	Esta empresa es de gran tamaño.
规则	la regla; el reglamento	Las reglas de la competencia son muy claras.
柜台	el mostrador	Por favor, paga en el mostrador.
滚	hervir; rodar	El agua ya está hirviendo.
锅	la olla; la cacerola	Hay sopa caliente en la olla.
国庆节	el Día Nacional	En el Día Nacional tenemos vacaciones.
国王	el rey	El rey vive en el palacio.
果然	tal como se esperaba; efectivamente	Él llegó a tiempo, tal como se esperaba.
果实	el fruto	El árbol está lleno de frutos.
过分	excesivo	Su exigencia es un poco excesiva.
过敏	ser alérgico; la alergia	Soy alérgico al polen.
过期	caducar	Esta botella de leche ya caducó.
哈	ja; ah	Ja, por fin entendí.
海关	la aduana	Hicimos fila para la inspección en la aduana.
海鲜	los mariscos	Los mariscos de este restaurante son muy frescos.
喊	gritar	No grites en voz alta en el aula.
行业	la industria; el sector	El sector turístico se desarrolla rápidamente.
豪华	lujoso	Se alojan en un hotel lujoso.
好客	hospitalario	La gente local es muy hospitalaria.
好奇	curioso	Los niños sienten mucha curiosidad por el mundo.
何必	para qué; no hace falta	¿Para qué enojarse por una cosa pequeña?
何况	y más aún; por no hablar de	Hoy hace frío, y además está lloviendo.
合法	legal	Este contrato es legal.
合理	razonable	Este precio es razonable.
合同	el contrato	Ellos firmaron un contrato.
合影	la foto de grupo	Al graduarnos nos tomamos una foto de grupo.
合作	cooperar; colaborar	Completamos el proyecto mediante cooperación.
和平	la paz	Todos esperan la paz.
核心	el núcleo; el centro	La confianza es el núcleo de la cooperación.
恨	odiar; lamentar	Él lamenta no haberse esforzado antes.
猴子	el mono	En el zoológico hay varios monos.
后背	la espalda	Le duele un poco la espalda.
后果	la consecuencia	Debes considerar las consecuencias.
呼吸	respirar	Por favor, respira profundamente.
忽然	de repente	El cielo se oscureció de repente.
忽视	ignorar; descuidar	No ignores este problema.
壶	la tetera; la jarra	Hay una tetera de té sobre la mesa.
糊涂	confundido; aturdido	Hoy estoy un poco confundido.
胡说	decir tonterías	No digas tonterías, esto no es verdad.
胡同	el callejón	En Pekín hay muchos callejones antiguos.
蝴蝶	la mariposa	Hay una mariposa en el jardín.
花生	el cacahuate; el maní	A él le gusta comer cacahuates.
华裔	de origen chino	Ella es una escritora de origen chino.
滑	resbaladizo; deslizarse	El piso está resbaladizo, ten cuidado.
划	remar; trazar	Cuando van en barco, él se encarga de remar.
化学	la química	Ella estudió química en la universidad.
话题	el tema	Este tema es muy interesante.
怀念	echar de menos; recordar con cariño	Echo mucho de menos la vida universitaria.
怀孕	estar embarazada	Ella tiene tres meses de embarazo.
缓解	aliviar; mitigar	Descansar puede aliviar el estrés.
幻想	fantasear; la fantasía	Él suele fantasear con viajar al espacio.
慌张	alterado; entrar en pánico	No entres en pánico cuando te encuentres con un problema.
黄金	el oro	El precio del oro volvió a subir.
恢复	recuperarse; restaurar	Su cuerpo se está recuperando.
挥	saludar con la mano; agitar	Ella agitó la mano.
灰	gris; ceniza	El cielo está gris.
灰尘	el polvo	Hay mucho polvo sobre la mesa.
灰心	desanimarse	No te desanimes aunque fracases.
汇率	el tipo de cambio	¿Cuál es el tipo de cambio de hoy?
婚礼	la boda	Su boda fue muy sencilla.
婚姻	el matrimonio	El matrimonio requiere comprensión mutua.
活跃	activo	Él es muy activo en clase.
伙伴	el compañero; el socio	Él es mi mejor compañero.
火柴	el fósforo; la cerilla	Solo queda un fósforo en la caja.
或许	quizás; tal vez	Quizás llueva mañana.
基本	básico; fundamental	Estos son requisitos básicos.
机器	la máquina	Esta máquina está rota.
激烈	intenso; feroz	La competencia fue muy intensa.
肌肉	el músculo	Me duelen un poco los músculos después de hacer ejercicio.
及格	aprobar un examen	Él aprobó este examen.
急忙	apresuradamente	Él salió corriendo del aula.
急诊	urgencias	El paciente fue enviado a urgencias.
极其	extremadamente	Este asunto es extremadamente importante.
集合	reunirse; la reunión	Por favor, reúnanse en la entrada a las ocho.
集体	colectivo; grupal	Esta es una actividad grupal.
集中	concentrar; enfocarse	En clase hay que concentrarse.
寂寞	solitario; solo	Vivir solo a veces puede ser solitario.
系领带	atarse la corbata	Él se ata la corbata antes de ir al trabajo todos los días.
纪录	el récord	Él rompió el récord de la escuela.
纪律	la disciplina	La disciplina en clase es muy importante.
纪念	conmemorar; recordar	Nos tomamos fotos para recordar este día.
计算	calcular	Por favor, calcula el costo total.
记录	registrar; tomar nota	Por favor, toma nota del contenido de la reunión.
记忆	el recuerdo; la memoria	Este recuerdo es muy valioso.
嘉宾	el invitado	El invitado de hoy es un escritor.
夹子	el clip; la pinza	Por favor, sujeta los documentos con un clip.
家庭	la familia	La familia es muy importante para los niños.
家务	las tareas domésticas	El fin de semana tengo que hacer tareas domésticas.
家乡	el pueblo natal; la tierra natal	Echo mucho de menos mi tierra natal.
假如	si; suponiendo que	Si mañana llueve, no iremos.
假设	suponer; la hipótesis	Supón que eres el profesor, ¿qué harías?
假装	fingir	Él fingió no haber oído.
甲	parte A; primero	La parte A debe pagar a tiempo.
价值	el valor	Este libro tiene mucho valor.
嫁	casarse; casarse con	Ella se casará con su novio el año que viene.
驾驶	conducir; pilotar	Conduce con cuidado cuando manejes.
兼职	trabajo de medio tiempo	Él trabaja de medio tiempo por la noche.
坚决	firme; decidido	Él se opone firmemente a esta decisión.
坚强	fuerte; resistente	Ella es una persona fuerte.
肩膀	el hombro	Tiene el hombro lesionado.
艰巨	arduo; muy difícil	Esta es una tarea ardua.
艰苦	duro; difícil	Ellos pasaron por una vida dura.
剪刀	las tijeras	Por favor, pásame las tijeras.
捡	recoger	Él recogió la cartera del suelo.
简历	el currículum	Antes de buscar trabajo hay que preparar un currículum.
简直	simplemente	Esta noticia es simplemente sorprendente.
健身	hacer ejercicio; ponerse en forma	Él va a hacer ejercicio tres veces por semana.
建立	establecer; crear	Establecimos una nueva relación.
建设	construcción; construir	La construcción urbana se desarrolla rápidamente.
建筑	el edificio; la arquitectura	Este edificio tiene rasgos distintivos.
键盘	el teclado	Mi teclado necesita una limpieza.
讲究	prestar mucha atención a; ser exigente	Los chinos prestan mucha atención a la comida.
讲座	la conferencia; la charla	Esta noche hay una conferencia de chino.
酱油	la salsa de soja	Añade un poco de salsa de soja al plato.
交换	intercambiar	Intercambiamos números de teléfono.
交际	las relaciones sociales; la comunicación	También hay que practicar la comunicación al aprender un idioma.
交往	salir con alguien; relacionarse	Ellos estuvieron saliendo dos años.
浇	regar; verter	Por favor, riega las flores todos los días.
胶水	el pegamento	Usé pegamento para pegar la foto.
狡猾	astuto; taimado	Ese zorro es muy astuto.
角度	el ángulo; el punto de vista	Veamos el problema desde otro ángulo.
教材	el material didáctico; el libro de texto	Este libro de texto es muy práctico.
教练	el entrenador; la entrenadora	El entrenador nos exige llegar a tiempo.
教训	la lección; el escarmiento	Este fracaso es una lección.
接触	el contacto; entrar en contacto	Es la primera vez que entro en contacto con la cultura china.
接待	recibir; atender	La empresa organizó a una persona para recibir a los invitados.
接近	acercarse; cercano	La Fiesta de la Primavera se acerca cada vez más.
结实	resistente; robusto	Esta maleta es muy resistente.
阶段	la etapa; la fase	El estudio se divide en tres etapas.
结构	la estructura	Este artículo tiene una estructura clara.
结合	combinar; integrar	El estudio debe combinarse con la práctica.
结论	la conclusión	Su conclusión es muy convincente.
