source_headword	MY	example_MY
mine (hole in the ground)	မိုင်းတွင်း	မိုင်းတွင်းက မနှစ်က ပိတ်သွားတယ်။
mix	ရောမွှေသည်	ဥတွေကို နို့နဲ့ ရောမွှေပါ။
mixture	အရောအနှော	အရောအနှောက ထူလာတယ်။
mood	စိတ်အခြေအနေ	ဂီတက သူမရဲ့ စိတ်အခြေအနေကို ပြောင်းလဲစေတယ်။
mud	ရွှံ့	သူ့ဖိနပ်တွေက ရွှံ့နဲ့ ဖုံးနေတယ်။
murder	လူသတ်မှု	လူသတ်မှုက ညမှာ ဖြစ်ခဲ့တယ်။
muscle	ကြွက်သား	လေ့ကျင့်ခန်းက ကြွက်သားကို တည်ဆောက်တယ်။
mystery	လျှို့ဝှက်မှု	အိမ်ဟောင်းက လျှို့ဝှက်မှုတစ်ခု ဖြစ်တယ်။
nail	လက်သည်း	ကျွန်တော် လက်သည်းတစ်ချောင်း ကျိုးသွားတယ်။
narrative	ဇာတ်ကြောင်း	ဝတ္ထုမှာ ရှင်းလင်းတဲ့ ဇာတ်ကြောင်း ရှိတယ်။
nation	နိုင်ငံ	နိုင်ငံတစ်ခုလုံးက အောင်ပွဲခံခဲ့တယ်။
native	မိခင်ဘာသာဖြစ်သော	စပိန်ဘာသာက သူမရဲ့ မိခင်ဘာသာ ဖြစ်တယ်။
naturally	သဘာဝအတိုင်း	ကလေးတွေက ကစားခြင်းမှ သဘာဝအတိုင်း သင်ယူကြတယ်။
necessarily	မဖြစ်မနေ	စျေးကြီးတဲ့ အစားအစာက မဖြစ်မနေ ပိုကောင်းတာ မဟုတ်ဘူး။
needle	အပ်	အပ်က အလွန် ချွန်တယ်။
neighbourhood	ရပ်ကွက်	သူတို့ တိတ်ဆိတ်တဲ့ ရပ်ကွက်မှာ နေကြတယ်။
net	ပိုက်ကွန်	ငါးဖမ်းသမားက သူ့ပိုက်ကွန်ကို ပြင်ခဲ့တယ်။
nor	လည်းမဟုတ်	သူ မပြုံးခဲ့သလို မပြောလည်း မပြောခဲ့ဘူး။
northern	မြောက်ပိုင်း	သူတို့ မြောက်ပိုင်း ကမ်းခြေကို သွားလည်ခဲ့ကြတယ်။
nuclear	နျူကလီးယား	ဆွေးနွေးမှုက နျူကလီးယား စွမ်းအင်အကြောင်း ဖြစ်တယ်။
obvious	ထင်ရှားသော	အဖြေက ထင်ရှားနေတယ်။
obviously	ထင်ရှားစွာ	ထင်ရှားစွာပဲ ကျွန်တော်တို့ အချိန်ပို လိုတယ်။
occasion	အခါသမယ	ဒါက အထူး အခါသမယ တစ်ခု ဖြစ်တယ်။
occur	ဖြစ်ပွားသည်	မတော်တဆမှုတွေက ဘယ်နေရာမှာမဆို ဖြစ်ပွားနိုင်တယ်။
odd	ထူးဆန်းသော	အဲဒါက ထူးဆန်းတဲ့ မေးခွန်း ဖြစ်တယ်။
official	တရားဝင်သော	တရားဝင် ရလဒ်က ဒီနေ့ ရောက်လာတယ်။
old-fashioned	ခေတ်ဟောင်းဆန်သော	သူမရဲ့ ဖုန်းက ခေတ်ဟောင်းဆန်တယ်။
operation	ခွဲစိတ်မှု	ခွဲစိတ်မှုက နှစ်နာရီ ကြာခဲ့တယ်။
organized	စနစ်တကျဖြစ်သော	သူမရဲ့ စားပွဲက အလွန် စနစ်တကျ ဖြစ်တယ်။
organizer	စီစဉ်သူ	စီစဉ်သူက ဧည့်သည်တွေကို ကြိုဆိုခဲ့တယ်။
originally	မူလက	သူမ မူလက ကနေဒါက လာခဲ့တာပါ။
ought modal	သင့်သည်	သင် အနားယူသင့်တယ်။
ours	ကျွန်တော်တို့၏	ဒီစားပွဲက ကျွန်တော်တို့ရဲ့ဟာပါ။
outdoor	အပြင်ဘက်ဆိုင်ရာ	ကျွန်တော်တို့ အပြင်ဘက်သုံး ပရိဘောဂ ဝယ်ခဲ့တယ်။
outdoors	အပြင်မှာ	ကလေးတွေ အပြင်မှာ ကစားသင့်တယ်။
package	ထုပ်ပိုးပစ္စည်း	ထုပ်ပိုးပစ္စည်းက ဒီမနက် ရောက်လာတယ်။
painful	နာကျင်သော	ဒဏ်ရာက နာကျင်နေတယ်။
pale	ဖြူဖပ်ဖြူရော်သော	သူ့မျက်နှာက ဖြူဖပ်ဖြူရော် ဖြစ်နေတယ်။
pan	ဒယ်အိုး	ဒယ်အိုးကို အရင် အပူပေးပါ။
participate	ပါဝင်ဆောင်ရွက်သည်	လူတိုင်း ပါဝင်ဆောင်ရွက်နိုင်တယ်။
particularly	အထူးသဖြင့်	ကျွန်တော် ဒီသီချင်းကို အထူးသဖြင့် ကြိုက်တယ်။
passion	ဝါသနာပြင်းပြမှု	ဂီတက သူမရဲ့ ဝါသနာပြင်းပြမှု ဖြစ်တယ်။
path	လမ်းကြောင်း	ပန်းခြံထဲက လမ်းကြောင်းကို လိုက်ပါ။
payment	ငွေပေးချေမှု	ငွေပေးချေမှုက မနက်ဖြန် နောက်ဆုံးရက် ဖြစ်တယ်။
peaceful	ငြိမ်းချမ်းသော	ဥယျာဉ်က ငြိမ်းချမ်းတယ်။
percentage	ရာခိုင်နှုန်း	ရာခိုင်နှုန်း အနည်းငယ်က သဘောတူခဲ့တယ်။
perfectly	ပြီးပြည့်စုံစွာ	အစီအစဉ်က ပြီးပြည့်စုံစွာ အလုပ်ဖြစ်ခဲ့တယ်။
performance	ဖျော်ဖြေမှု	သူမရဲ့ ဖျော်ဖြေမှုက အလွန်ကောင်းခဲ့တယ်။
personally	ကိုယ်တိုင်အားဖြင့်	ကိုယ်တိုင်အားဖြင့် ကျွန်တော် လက်ဖက်ရည်ကို ပိုကြိုက်တယ်။
persuade	ဖျောင်းဖျသည်	သူ့ကို ပါဝင်ဖို့ ဖျောင်းဖျနိုင်မလား။
photographer	ဓာတ်ပုံဆရာ	ဓာတ်ပုံဆရာက ဓာတ်ပုံအများကြီး ရိုက်ခဲ့တယ်။
photography	ဓာတ်ပုံပညာ	ဓာတ်ပုံပညာက သူ့အကြိုက်ဆုံး ဝါသနာ ဖြစ်တယ်။
pin	ပင်	မြေပုံပေါ်မှာ ပင်တစ်ခု တပ်ပါ။
pipe	ပိုက်	ပိုက်က ရေကို သယ်ဆောင်တယ်။
planning	အစီအစဉ်ရေးဆွဲခြင်း	အစီအစဉ်ရေးဆွဲခြင်းက အချိန်ယူတယ်။
pleasant	နှစ်သက်ဖွယ်သော	ကျွန်တော်တို့ နှစ်သက်ဖွယ် ညနေခင်းတစ်ခု ရခဲ့တယ်။
pleasure	ပျော်ရွှင်မှု	မင်းကို ကူညီရတာ ကျွန်တော့်အတွက် ပျော်ရွှင်မှု ဖြစ်တယ်။
plenty	လုံလောက်မှု	ကျွန်တော်တို့မှာ အချိန် လုံလောက်တယ်။
plot	ဇာတ်ကွက်	ဇာတ်ကွက်ကို လိုက်နားလည်ရတာ လွယ်တယ်။
plus1	ပေါင်း	နှစ်နဲ့ သုံး ပေါင်းရင် ငါး ဖြစ်တယ်။
poem	ကဗျာ	သူမ ကဗျာတိုတစ်ပုဒ် ရေးခဲ့တယ်။
poet	ကဗျာဆရာ	ကဗျာဆရာက တိတ်ဆိတ်တဲ့ ကဗျာတစ်ပုဒ် ရေးခဲ့တယ်။
poetry	ကဗျာ	သူမ ကဗျာဖတ်ရတာ ကြိုက်တယ်။
poison	အဆိပ်	ပုလင်းထဲမှာ အဆိပ် ပါနိုင်တယ်။
poisonous	အဆိပ်ရှိသော	အဲဒီမှိုက အဆိပ်ရှိနိုင်တယ်။
policy	မူဝါဒ	ကျောင်းက မူဝါဒအသစ် ထုတ်ပြန်ခဲ့တယ်။
political	နိုင်ငံရေးဆိုင်ရာ	ဒါက နိုင်ငံရေးဆိုင်ရာ ဆုံးဖြတ်ချက် ဖြစ်တယ်။
politician	နိုင်ငံရေးသမား	နိုင်ငံရေးသမားက မြို့ကို လည်ပတ်ခဲ့တယ်။
politics	နိုင်ငံရေး	သူတို့ ညစာစားချိန်မှာ နိုင်ငံရေးအကြောင်း ပြောခဲ့ကြတယ်။
port	ဆိပ်ကမ်း	သင်္ဘောက ဆိပ်ကမ်းကို ဝင်လာတယ်။
portrait	ပုံတူပန်းချီ	ပုံတူပန်းချီက နံရံပေါ်မှာ ချိတ်ထားတယ်။
possibly	ဖြစ်နိုင်ချေရှိစွာ	ကျွန်တော် ဖြစ်နိုင်ချေရှိစွာ နောက်ကျနိုင်တယ်။
pot	အိုး	အိုးကို ရေနဲ့ ဖြည့်ပါ။
pour	လောင်းသည်	နို့ကို ဖန်ခွက်ထဲ လောင်းပါ။
poverty	ဆင်းရဲမွဲတေမှု	ဆင်းရဲမွဲတေမှုက မိသားစုအများအပြားကို ထိခိုက်စေတယ်။
powder	အမှုန့်	အမှုန့်ကို ရေနဲ့ ရောပါ။
powerful	အားကောင်းသော	အင်ဂျင်က အလွန် အားကောင်းတယ်။
practical	လက်တွေ့ကျသော	ဒါက လက်တွေ့ကျတဲ့ ဖြေရှင်းချက် ဖြစ်တယ်။
pray	ဆုတောင်းသည်	သူတို့ မနက်တိုင်း ဆုတောင်းကြတယ်။
prayer	ဆုတောင်းခြင်း	သူမ တိတ်တိတ်ဆိတ်ဆိတ် ဆုတောင်းခြင်းတစ်ခု ပြုခဲ့တယ်။
prediction	ခန့်မှန်းချက်	သူ့ခန့်မှန်းချက်က မှန်ခဲ့တယ်။
prepared	ပြင်ဆင်ထားသော	ကျွန်တော် စာမေးပွဲအတွက် ပြင်ဆင်ထားတယ်။
presentation	တင်ပြချက်	သူမရဲ့ တင်ပြချက်က ရှင်းလင်းခဲ့တယ်။
press	နှိပ်သည်	ခလုတ်ကို တစ်ကြိမ် နှိပ်ပါ။
pressure	ဖိအား	ဖိအားက သင့်ကျန်းမာရေးကို သက်ရောက်နိုင်တယ်။
pretend	ဟန်ဆောင်သည်	အိပ်ပျော်နေသလို ဟန်မဆောင်ပါနှင့်။
previous	ယခင်	ယခင် သင်ခန်းစာက ပိုလွယ်ခဲ့တယ်။
previously	ယခင်က	ကျွန်တော်တို့ ယခင်က ရောမမှာ နေခဲ့တယ်။
priest	ဘုန်းကြီး	ဘုန်းကြီးက နူးညံ့စွာ ပြောခဲ့တယ်။
primary	အဓိက	ကျန်းမာရေးက ကျွန်တော်တို့ရဲ့ အဓိက စိုးရိမ်ချက် ဖြစ်တယ်။
prince	မင်းသား	မင်းသားက ကျောင်းကို လာလည်ခဲ့တယ်။
princess	မင်းသမီး	မင်းသမီးက အပြာရောင် ဝတ်စုံ ဝတ်ခဲ့တယ်။
printing	ပုံနှိပ်ခြင်း	အစီရင်ခံစာ ပုံနှိပ်ခြင်းက မိနစ်အနည်းငယ် ကြာတယ်။
prisoner	အကျဉ်းသား	အကျဉ်းသားက ညမှာ ထွက်ပြေးခဲ့တယ်။
private	ကိုယ်ပိုင်သော	ဒါက ကိုယ်ပိုင် စကားပြောဆိုမှု ဖြစ်တယ်။
producer	ထုတ်လုပ်သူ	ထုတ်လုပ်သူက ရုပ်ရှင်ကို သဘောကျခဲ့တယ်။
production	ထုတ်လုပ်မှု	ထုတ်လုပ်မှုက နောက်အပတ် စတင်မယ်။
profession	အသက်မွေးဝမ်းကျောင်း	သင်ကြားရေးက လေးစားရတဲ့ အသက်မွေးဝမ်းကျောင်း ဖြစ်တယ်။
profit	အမြတ်	ဆိုင်က အမြတ် ရခဲ့တယ်။
promote	မြှင့်တင်သည်	သူတို့ ကျန်းမာတဲ့ အစားအစာစားခြင်းကို မြှင့်တင်ကြတယ်။
proper	သင့်လျော်သော	တောင်တက်ဖို့ သင့်လျော်တဲ့ ဖိနပ် ဝတ်ပါ။
properly	မှန်ကန်စွာ	တံခါးကို မှန်ကန်စွာ ပိတ်ပါ။
property	အိမ်ခြံမြေ	သူတို့ မြစ်အနီးမှာ အိမ်ခြံမြေ ဝယ်ခဲ့တယ်။
protest	ဆန္ဒပြပွဲ	ဆန္ဒပြပွဲက ငြိမ်းချမ်းစွာ ပြီးဆုံးခဲ့တယ်။
proud	ဂုဏ်ယူသော	သူမက သားကို ဂုဏ်ယူခဲ့တယ်။
prove	သက်သေပြသည်	သင့်အဖြေကို သက်သေပြနိုင်မလား။
punish	အပြစ်ပေးသည်	ဆရာက သူ့ကို အပြစ်မပေးခဲ့ဘူး။
punishment	အပြစ်ဒဏ်	အပြစ်ဒဏ်က မျှတသလို ထင်ရတယ်။
qualification	အရည်အချင်း	ဒီအလုပ်အတွက် အရည်အချင်း လိုတယ်။
qualified	အရည်အချင်းပြည့်မီသော	သူမက အရည်အချင်းပြည့်မီတဲ့ သူနာပြု ဖြစ်တယ်။
qualify	အရည်အချင်းပြည့်မီသည်	ကျွန်တော်တို့ အသင်း အရည်အချင်းပြည့်မီနိုင်တယ်။
queue	တန်းစီခြင်း	ကျွန်တော်တို့ ရှည်လျားတဲ့ တန်းမှာ စောင့်ခဲ့တယ်။
quit	စွန့်လွှတ်သည်	သူ ဆေးလိပ်သောက်တာကို စွန့်လွှတ်ဖို့ ဆုံးဖြတ်ခဲ့တယ်။
quotation	ကိုးကားချက်	အက်ဆေးက ကိုးကားချက်တစ်ခုနဲ့ စတင်တယ်။
quote	ကိုးကားသည်	မင်းရဲ့ စကားတွေကို ကျွန်တော် ကိုးကားလို့ရမလား။
race (people)	လူမျိုး	ဖောင်မှာ လူမျိုးအကြောင်း မေးထားတယ်။
racing	ပြိုင်ပွဲ	မြင်းပြိုင်ပွဲက အဲဒီမှာ လူကြိုက်များတယ်။
range	အမျိုးအစားအကွာအဝေး	ဆိုင်က အမျိုးအစားအကွာအဝေး ကျယ်ကျယ် ရောင်းတယ်။
rare	ရှားပါးသော	ဒီငှက်က ရှားပါးတယ်။
rarely	ရှားရှားပါးပါး	ကျွန်တော်တို့ အပြင်မှာ ရှားရှားပါးပါး စားတယ်။
reaction	တုံ့ပြန်မှု	သူမရဲ့ တုံ့ပြန်မှုက ကျွန်တော့်ကို အံ့အားသင့်စေတယ်။
reality	အမှန်တရား	အမှန်တရားက သူ့အိပ်မက်နဲ့ ကွဲပြားနေတယ်။
receipt	ပြေစာ	ပြေစာကို သိမ်းထားပါ။
recommendation	အကြံပြုချက်	အကြံပြုချက်အတွက် ကျေးဇူးတင်ပါတယ်။
reference	ရည်ညွှန်းချက်	နောက်ဆုံးမှာ ရည်ညွှန်းချက်တစ်ခု ထည့်ပါ။
reflect	ရောင်ပြန်ဟပ်သည်	မှန်က အလင်းကို ရောင်ပြန်ဟပ်နိုင်တယ်။
regularly	ပုံမှန်	သူမ ပုံမှန် လေ့ကျင့်ခန်းလုပ်တယ်။
reject	ငြင်းပယ်သည်	သူတို့ ကမ်းလှမ်းချက်ကို ငြင်းပယ်နိုင်တယ်။
relate	ဆက်စပ်ခံစားသည်	အဲဒီဇာတ်လမ်းနဲ့ ကျွန်တော် ဆက်စပ်ခံစားနိုင်တယ်။
related	ဆက်စပ်သော	ပြဿနာနှစ်ခုက ဆက်စပ်နေတယ်။
relation	ဆက်နွယ်မှု	သူတို့ကြားမှာ ဆက်နွယ်မှု ရှိတယ်။
relative	နှိုင်းယှဉ်ဆိုင်ရာ	အမြန်နှုန်းက နှိုင်းယှဉ်ဆိုင်ရာ ဖြစ်တယ်။
relaxed	သက်သောင့်သက်သာဖြစ်သော	ညစာစားပြီးနောက် သူ သက်သောင့်သက်သာ ဖြစ်နေတယ်။
relaxing	အနားယူစရာကောင်းသော	ဂီတက အနားယူစရာကောင်းတယ်။
release	ထုတ်လွှတ်သည်	သူတို့ ရုပ်ရှင်ကို မကြာမီ ထုတ်လွှတ်မယ်။
reliable	ယုံကြည်စိတ်ချရသော	ဒီဘတ်စ်ကားက များသောအားဖြင့် ယုံကြည်စိတ်ချရတယ်။
religion	ဘာသာရေး	ဘာသာရေးက သူမအတွက် အရေးကြီးတယ်။
religious	ဘာသာရေးဆိုင်ရာ	သူတို့ ဘာသာရေးဆိုင်ရာ အဆောက်အအုံကို သွားလည်ခဲ့ကြတယ်။
remain	ဆက်လက်ရှိနေသည်	ကျေးဇူးပြု၍ တည်ငြိမ်စွာ ဆက်လက်ရှိနေပါ။
remind	သတိပေးသည်	မနက်ဖြန် ကျွန်တော့်ကို သတိပေးပါ။
remote	ဝေးလံသော	သူတို့ ဝေးလံတဲ့ ရွာမှာ နေကြတယ်။
rent	အိမ်ငှားခ	အိမ်ငှားခက ဒီနေ့ ပေးရမယ်။
repeated	ထပ်ခါထပ်ခါ ဖြစ်သော	ထပ်ခါထပ်ခါ ဖြစ်တဲ့ အမှားတွေက အလုပ်ကို နှေးစေတယ်။
represent	ကိုယ်စားပြုသည်	ကြယ်က မျှော်လင့်ချက်ကို ကိုယ်စားပြုတယ်။
require	လိုအပ်သည်	ဒီအလုပ်က လေ့ကျင့်မှု လိုအပ်မယ်။
reservation	ကြိုတင်မှာယူမှု	ကျွန်တော် ကြိုတင်မှာယူမှု လုပ်ခဲ့တယ်။
resource	အရင်းအမြစ်	စာကြည့်တိုက်က အသုံးဝင်တဲ့ အရင်းအမြစ် ဖြစ်တယ်။
respect	လေးစားမှု	သင့်အတန်းဖော်တွေကို လေးစားပါ။
responsibility	တာဝန်	ကလေးစောင့်ရှောက်မှုက ကြီးမားတဲ့ တာဝန် ဖြစ်တယ်။
responsible	တာဝန်ရှိသော	သူမက လက်မှတ်တွေအတွက် တာဝန်ရှိတယ်။
retire	အငြိမ်းစားယူသည်	ကျွန်တော့်အဖေ မကြာမီ အငြိမ်းစားယူမယ်။
retired	အငြိမ်းစားယူထားသော	သူက အငြိမ်းစားယူထားတဲ့ ဆရာ ဖြစ်တယ်။
revise	ပြန်လည်ပြင်ဆင်သည်	ဒီည မင်းရဲ့ အက်ဆေးကို ပြန်လည်ပြင်ဆင်ပါ။
risk	အန္တရာယ်	မိုးရွာနိုင်တဲ့ အန္တရာယ် ရှိတယ်။
robot	စက်ရုပ်	စက်ရုပ်က ကြမ်းပြင်ကို သန့်ရှင်းခဲ့တယ်။
roll	လှိမ့်သည်	ဘောလုံးကို ကျွန်တော့်ဘက်ကို လှိမ့်ပါ။
