simplified	PL	example_PL
不料	nieoczekiwanie	Nieoczekiwanie spotkanie nagle odwołano
不像话	oburzający	To oburzające, że tak traktujesz gości
不屑一顾	lekceważyć	On lekceważył te plotki
哺乳	karmić piersią	Matka karmi dziecko piersią
捕捉	uchwycić	Fotograf uchwycił wspaniały moment
补偿	zrekompensować	Firma zrekompensuje twoje straty
补救	naprawić	Wciąż mamy czas, żeby to naprawić
补贴	dotacja	Rząd wypłaca dotacje rodzinom o niskich dochodach
不得已	nie mieć wyboru	Opuścił rodzinne strony tylko dlatego, że nie miał wyboru
不妨	możesz równie dobrze	Możesz równie dobrze najpierw posłuchać jego wyjaśnień
不敢当	nie zasługuję	Gdy tak mnie pan chwali, naprawdę na to nie zasługuję
不禁	nie móc się powstrzymać	Słysząc tę wiadomość, nie mógł powstrzymać śmiechu
不堪	nie do zniesienia	Hałas tutaj jest nie do zniesienia
不可思议	niewiarygodny	Ten wynik jest naprawdę niewiarygodny
不免	nieunikniony	Gdy pierwszy raz wyszedł na scenę, nieuniknienie trochę się denerwował
不时	od czasu do czasu	On od czasu do czasu podnosił głowę i patrzył na zegar
不惜	nie wahać się	Aby uratować człowieka, nie wahał się podjąć ryzyka
不相上下	wyrównany	Siły obu drużyn są wyrównane
不言而喻	oczywisty	Znaczenie uczciwości jest oczywiste
不由得	nie móc się oprzeć	Widząc stare zdjęcie, nie mógł się oprzeć wspomnieniom z dzieciństwa
不择手段	bez skrupułów	On bez skrupułów używa wszelkich środków, żeby zarabiać pieniądze
不止	ponad	W spotkaniu uczestniczyło ponad sto osób
布告	ogłoszenie	Przy bramie szkoły wywieszono ogłoszenie
布局	układ	Układ tego mieszkania jest bardzo rozsądny
布置	zadać	Nauczyciel zadał nową pracę domową
步伐	krok	Zespół posuwał się naprzód równym krokiem
部署	wdrażać	Firma wdraża nowy plan sprzedaży
部位	miejsce	Lekarz zbadał zranione miejsce
才干	kompetencje	Ona ma duże kompetencje w zarządzaniu
裁缝	krawiec	Ten krawiec ma bardzo dobre umiejętności
裁判	sędzia	Sędzia ogłosił przerwę w meczu
裁员	zwolnienia	Firma z powodu strat zdecydowała się na zwolnienia
财富	majątek	Wiedza także jest rodzajem majątku
财务	finanse	Dział finansów sprawdza rachunki
财政	fiskalny	Dochody fiskalne w tym roku nieco wzrosły
彩票	los na loterię	On od czasu do czasu kupuje los na loterię
采购	kupować	Firma wysłała kogoś, żeby kupił sprzęt
采集	zbierać	Badacze zbierali próbki w lesie
采纳	przyjąć	Kierownictwo przyjęło naszą sugestię
参谋	doradzać	On często doradza kierownikowi
参照	według wzoru	Proszę wypełnić formularz według tego wzoru
残疾	niepełnosprawny	Ta stacja zapewnia pomoc pasażerom niepełnosprawnym
残酷	okrutny	Wojna jest bardzo okrutna
残留	pozostawać	W kubku nadal pozostaje zapach kawy
残忍	okrutny	Znęcanie się nad zwierzętami jest okrutnym zachowaniem
灿烂	promienny	Ona pokazała promienny uśmiech
仓促	pochopny	Ta decyzja została podjęta zbyt pochopnie
仓库	magazyn	Towary zostały już dostarczone do magazynu
舱	kabina	Pasażerowie wchodzą do kabiny samolotu
苍白	blady	Jego twarz wyglądała bardzo blado
操劳	trudzić się	Matka trudziła się dla tej rodziny przez wiele lat
操练	musztrować	Żołnierze ćwiczą musztrę każdego ranka
操纵	sterować	Ta maszyna jest sterowana przez komputer
操作	obsługiwać	Proszę obsługiwać urządzenie zgodnie z instrukcją
嘈杂	hałaśliwy	Na stacji jest bardzo hałaśliwie
草案	projekt	Komisja omawia projekt
草率	lekkomyślny	Tak ważna decyzja nie może być lekkomyślna
侧面	bok	Z boku ten budynek wygląda na wyższy
测量	mierzyć	Inżynier mierzy długość mostu
策划	planować	Oni zaplanowali dużą imprezę
策略	strategia	Ta strategia pomogła firmie obniżyć koszty
层出不穷	ciągle się pojawiać	Ciągle pojawiają się nowe problemy
层次	struktura	Struktura tego artykułu jest bardzo jasna
差别	różnica	Między tymi dwiema metodami nie ma dużej różnicy
插座	gniazdko	W tym pokoju nie ma wystarczająco dużo gniazdek
查获	zarekwirować	Celnicy zarekwirowali partię podróbek
刹那	chwila	W jednej chwili zgasły wszystkie światła
岔	rozwidlenie	Samochody rozjechały się na skrzyżowaniu przed nimi
诧异	zdziwiony	Jego decyzja bardzo wszystkich zdziwiła
柴油	diesel	Ta ciężarówka używa diesla
搀	podpierać	Pielęgniarka podparła starszą osobę i wprowadziła ją na oddział
缠绕	owijać się	Pnącza owijają się wokół gałęzi
馋	mieć ochotę	Na widok ciasta dziecko nabrało ochoty
产业	branża	Turystyka jest tutaj ważną branżą
阐述	wyjaśniać	Profesor szczegółowo wyjaśnił swój punkt widzenia
颤抖	drżeć	Było jej tak zimno, że całe ciało drżało
昌盛	dobrobyt	Mamy nadzieję na dobrobyt kraju
偿还	spłacić	On spłacił pożyczkę na czas
尝试	spróbować	Możemy spróbować nowej metody
场合	okazja	Taka okazja nie nadaje się do żartów
场面	scena	Scena wesela była bardzo ożywiona
场所	miejsce	To jest miejsce publiczne, proszę nie palić
敞开	szeroko otworzyć	Proszę na chwilę szeroko otworzyć okno
倡导	promować	Szkoła promuje zdrowy styl życia
倡议	inicjatywa	Ta inicjatywa ekologiczna otrzymała wsparcie
畅通	przejezdny	Po ustaniu deszczu droga znów stała się przejezdna
畅销	dobrze się sprzedawać	Ta powieść bardzo dobrze się sprzedaje
超越	przewyższyć	On w końcu przewyższył swój własny rekord
钞票	banknot	W portfelu zostało tylko kilka banknotów
嘲笑	wyśmiewać	Nie wyśmiewaj wad innych ludzi
巢穴	legowisko	Myśliwy odkrył legowisko zwierzęcia
朝代	dynastia	Dynastia Tang jest jedną z dynastii w historii Chin
潮流	trend	Młodzi ludzie bardzo śledzą trendy mody
撤退	wycofać się	Wojsko wycofało się po otrzymaniu rozkazu
撤销	uchylić	Sąd uchylił pierwotny wyrok
沉淀	osadzać się	Muł będzie powoli się osadzał
沉闷	duszny	Dzisiejsza pogoda jest gorąca i duszna
沉思	zamyślić się	On siedział przy oknie zamyślony
沉重	ciężki	Ta wiadomość sprawiła, że wszystkim zrobiło się ciężko na sercu
沉着	opanowany	W obliczu niebezpieczeństwa trzeba zachować opanowanie
陈旧	przestarzały	Ta maszyna jest już bardzo przestarzała
陈列	wystawiać	W sali wystawowej wystawiono wiele zabytków
陈述	przedstawić	Proszę jasno przedstawić fakty
称心如意	zadowalający	Ta praca jest dla niego bardzo zadowalająca
衬托	podkreślać	Biała ściana podkreśla kolor kwiatów
称号	tytuł	On otrzymał tytuł wybitnego nauczyciela
乘	jechać	Codziennie jeżdżę metrem do pracy
呈现	przybrać	Niebo przybrało lekko czerwony kolor
城堡	zamek	Na szczycie góry jest stary zamek
惩罚	ukarać	Szkoła ukarze uczniów, którzy oszukują
成本	koszt	Wzrost cen surowców zwiększył koszt
成交	zawrzeć transakcję	Ta transakcja została w końcu zawarta
成天	całymi dniami	On całymi dniami siedzi przed komputerem
成效	efekt	Nowa metoda zarządzania szybko przyniosła efekty
成心	celowo	On nie celowo wprawił cię w zakłopotanie
成员	członek	Każdy członek musi uczestniczyć w spotkaniu
承办	organizować	Ta firma zorganizowała wystawę
承包	wziąć kontrakt	Oni wzięli kontrakt na ten projekt
承诺	obiecać	On obiecał zakończyć zadanie na czas
橙	pomarańcza	Kupiłem kilka świeżych pomarańczy
澄清	wyjaśnić	Kierownik wyszedł, żeby wyjaśnić nieporozumienie
盛	nalać	Ona nalała gościowi miskę zupy
诚挚	szczery	Proszę przyjąć moje szczere podziękowania
秤	waga	Ta waga nie jest zbyt dokładna
吃苦	znosić trud	Młodzi ludzie powinni nauczyć się znosić trud
吃力	wymagać wysiłku	Przeniesienie tego pudła wymaga dużo wysiłku
持久	trwały	Sukces wymaga trwałego wysiłku
迟钝	powolny	Jego reakcje są ostatnio trochę powolne
迟缓	spowolniony	Po deszczu ruch uliczny stał się spowolniony
迟疑	wahać się	Ona zawahała się chwilę, zanim odpowiedziała
赤道	równik	W pobliżu równika jest gorąco przez cały rok
赤字	deficyt	Firma odnotowała w tym roku deficyt
充当	pełnić rolę	On pełnił rolę koordynatora w projekcie
充沛	obfity	Dzieci mają bardzo dużo energii
充实	spełniony	To doświadczenie uczyniło moje życie bardziej spełnionym
充足	wystarczający	Przed podróżą trzeba przygotować wystarczającą ilość wody
冲动	impuls	Nie podejmuj decyzji pod wpływem chwilowego impulsu
冲击	wpływ	Nowa technologia wpłynęła na tradycyjne branże
冲突	konflikt	Obie strony starały się uniknąć konfliktu
崇拜	podziwiać	Wielu młodych ludzi podziwia tego naukowca
崇高	wzniosły	Obowiązek lekarza jest wzniosły
崇敬	szacunek	Wszyscy uczniowie bardzo szanują tego nauczyciela
重叠	nakładać się	Te dwa zadania częściowo się nakładają
稠密	gęsty	Ludność tutaj jest bardzo gęsta
筹备	przygotowywać	Oni przygotowują wesele
丑恶	brzydki	On ujawnił brzydką prawdę stojącą za tym zdarzeniem
出路	wyjście	Nauka może dać młodym ludziom więcej dróg wyjścia
出卖	zdradzić	On nie zdradzi przyjaciół
出身	pochodzenie	On pochodzi ze zwykłej rodziny
出神	zasłuchany	Ona zasłuchała się w muzyce
出息	perspektywy	To dziecko będzie miało obiecującą przyszłość
初步	wstępny	Osiągnęliśmy już wstępne porozumienie
除	oprócz	Wszyscy już przybyli oprócz niego
储备	rezerwować	Firma musi zarezerwować więcej środków
储存	przechowywać	Te dane będą przechowywane automatycznie
储蓄	oszczędzać	On co miesiąc oszczędza część pensji
处分	kara dyscyplinarna	Szkoła udzieliła mu surowej kary dyscyplinarnej
处境	sytuacja	Ich obecna sytuacja jest bardzo trudna
处置	utylizować	Ten stary sprzęt trzeba odpowiednio zutylizować
触犯	naruszać	Takie działanie naruszy prawo
川流不息	nieustanny ruch	Pojazdy na ulicy są w nieustannym ruchu
穿越	przejechać przez	Pociąg przejechał przez długi tunel
传达	przekazać	Proszę przekazać tę wiadomość wszystkim
传单	ulotka	Wolontariusze rozdawali ulotki na ulicy
传授	przekazywać	Nauczyciel przekazywał uczniom doświadczenie
船舶	statki	W porcie cumuje wiele statków
喘气	dyszeć	On po biegu ciągle dyszał
串	nawlec	Ona nawlekła koraliki na naszyjnik
床单	prześcieradło	Proszę zmienić prześcieradło
创立	założyć	Oni wspólnie założyli tę firmę
创新	innowacja	Rozwój przedsiębiorstwa wymaga ciągłych innowacji
创业	założyć firmę	Wielu młodych ludzi wybiera założenie firmy
创作	tworzyć	Pisarz tworzy długą powieść
吹牛	przechwalać się	Nie przechwalaj się, pokaż dowody
吹捧	przesadnie chwalić	Media przesadnie chwaliły ten produkt
炊烟	dym z kuchni	Wieczorem nad wioską uniósł się dym z kuchni
垂直	pionowy	Te dwie linie są względem siebie pionowe
锤	młotek	Robotnik uderzał młotkiem w żelazną płytę
纯粹	czysto	Jego pomoc wynikała czysto z dobrej woli
纯洁	czysty	Serce dziecka jest bardzo czyste
慈善	charytatywny	Ta firma często uczestniczy w działaniach charytatywnych
慈祥	łagodny	Uśmiech babci jest bardzo łagodny
磁带	taśma magnetofonowa	Tę starą taśmę magnetofonową nadal można odtworzyć
雌雄	samiec i samica	Samiec i samica tego ptaka mają różne kolory
伺候	opiekować się	Pielęgniarka troskliwie opiekowała się pacjentem
刺	cierń	Na gałęziach róży jest wiele cierni
次品	wadliwy produkt	Tych wadliwych produktów nie można sprzedawać
次序	kolejność	Proszę ustawić się w kolejności
丛	kępa	Przy drodze jest kępa dzikich kwiatów
从容	spokojnie	Ona spokojnie odpowiedziała na pytanie
凑合	zadowolić się	Pokój nie jest duży, ale da się w nim mieszkać
粗鲁	niegrzeczny	On mówi zbyt niegrzecznie
窜	wskoczyć	Ten kot nagle wskoczył do domu
摧残	niszczyć	Długotrwałe zanieczyszczenie zniszczy ten las
脆弱	kruchy	Wyroby ze szkła są bardzo kruche
搓	potrzeć	On potarł zmarznięte dłonie
磋商	konsultacje	Obie strony będą kontynuować konsultacje
挫折	niepowodzenie	Każdy napotyka niepowodzenia
搭	jechać	Pojedziemy autobusem na lotnisko
搭档	partner	On jest moim partnerem w pracy od wielu lat
搭配	pasować	Ta kurtka i spodnie dobrze do siebie pasują
答辩	obrona	Doktorant przygotowuje się do obrony pracy
答复	odpowiedź	Proszę dać mi odpowiedź jak najszybciej
达成	osiągnąć	Obie strony w końcu osiągnęły porozumienie
打包	spakować	Kelner spakował nam resztki jedzenia
打官司	procesować się	Oni procesowali się z powodu problemu z umową
打击	cios	Ta porażka była dla niego dużym ciosem
打架	bić się	Uczniowie, którzy biją się na kampusie, zostaną ukarani
打量	obejrzeć	Ona obejrzała mnie od góry do dołu
打猎	polować	Tutaj polowanie jest zabronione
打仗	wojować	Nikt nie chce wojować
大不了	w najgorszym razie	W najgorszym razie spróbujemy jutro jeszcze raz
大臣	minister	Król wezwał kilku ministrów
大伙儿	wszyscy	Wszyscy czekają na twoją decyzję
大肆	na dużą skalę	Sklep na dużą skalę reklamował nowy produkt
大体	ogólnie	Z planem ogólnie nie ma problemu
大意	główna myśl	Proszę najpierw opowiedzieć główną myśl tego artykułu
大致	mniej więcej	Mniej więcej rozumiem przebieg sprawy
歹徒	bandyta	Policja szybko złapała bandytę
代价	cena	Sukces często wymaga zapłacenia ceny
代理	zastępować	On tymczasowo zastępuje kierownika
带领	prowadzić	Nauczyciel prowadził uczniów po muzeum
怠慢	zaniedbać	Nie możemy zaniedbać gości
逮捕	aresztować	Policja aresztowała głównego podejrzanego
担保	poręczenie	Bank wymaga, żeby ktoś udzielił poręczenia
胆怯	nieśmiały	Podczas pierwszego przemówienia był trochę nieśmiały
淡季	martwy sezon	Bilety lotnicze są tańsze w turystycznym martwym sezonie
淡水	woda słodka	Ten gatunek ryby może żyć tylko w wodzie słodkiej
蛋白质	białko	Jajka zawierają dużo białka
诞辰	rocznica urodzin	Dzisiaj jest rocznica urodzin tego pisarza
诞生	narodzić się	Ten pomysł narodził się podczas dyskusji
当场	na miejscu	On na miejscu przyznał się do błędu
当初	na początku	Na początku wszyscy popieraliśmy tę decyzję
当代	współczesny	Współczesne społeczeństwo zmienia się bardzo szybko
当面	twarzą w twarz	Problemy najlepiej wyjaśnić twarzą w twarz
当前	obecny	Obecnie najważniejsze jest zapewnienie bezpieczeństwa
当事人	osoba zaangażowana	Policja przesłuchuje osobę zaangażowaną
当务之急	najpilniejsza sprawa	Rozwiązanie problemu mieszkaniowego jest najpilniejszą sprawą
当选	zostać wybranym	Ona pomyślnie została wybrana na przewodniczącą
党	partia	Ta partia zaproponowała nową politykę
档案	akta	Szkoła przechowywała akta uczniów
档次	standard	Ten hotel ma wysoki standard
倒闭	zamknąć działalność	Ten mały sklep zamknął działalność w zeszłym roku
导弹	pocisk	Wiadomości poinformowały o teście pocisku
导航	nawigacja	Proszę włączyć nawigację w telefonie
导向	ukierunkowanie	Polityka edukacyjna powinna być ukierunkowana na sprawiedliwość
捣乱	przeszkadzać	Proszę nie przeszkadzać na lekcji
盗窃	kradzież	Centrum handlowe wzmocniło środki zapobiegające kradzieży
稻谷	ryż	Rolnicy zbierają ryż
得不偿失	nieopłacalny	Kupowanie słabych materiałów dla oszczędności będzie nieopłacalne
得力	kompetentny	On jest kompetentnym asystentem kierownika
得天独厚	wyjątkowe atuty	To miasto ma wyjątkowe atuty geograficzne
得罪	urazić	Nie chcę urazić kolegów z powodu drobiazgu
灯笼	lampion	Podczas Święta Wiosny przy wejściu wiszą czerwone lampiony
登录	zalogować się	Proszę najpierw zalogować się na swoje konto
登陆	dotrzeć do lądu	Tajfun może dziś wieczorem dotrzeć do wybrzeża
蹬	odepchnąć się	On mocno odepchnął się nogą i rower ruszył
等候	czekać	Pasażerowie czekają w hali na wejście na pokład
等级	poziom	To oprogramowanie ma różne poziomy członkostwa
瞪	gapić się gniewnie	On gniewnie spojrzał na mnie
堤坝	tama	Po ulewnym deszczu tama wymaga dokładnej kontroli
敌视	wrogo traktować	Nie powinniśmy wrogo traktować odmiennych opinii
抵达	dotrzeć	Samolot dotarł do Pekinu punktualnie
抵抗	stawiać opór	Mieszkańcy wioski wspólnie stawiali opór powodzi
抵制	bojkotować	Konsumenci zaczęli bojkotować produkty niskiej jakości
地步	stopień	Sprawa nie doszła jeszcze do tak poważnego stopnia
地势	ukształtowanie terenu	Teren tutaj jest wyższy, więc woda nie gromadzi się łatwo
地质	geologia	Eksperci badają lokalne warunki geologiczne
递增	stopniowo rosnąć	Sprzedaż stopniowo rosła przez trzy kolejne miesiące
颠簸	wyboisty	Górska droga jest bardzo wyboista, więc jedź ostrożnie
颠倒	odwrócić	Odwróciłeś kolejność dwóch liczb
典礼	uroczystość	Uroczystość ukończenia szkoły odbędzie się w auli
典型	typowy	To jest typowy przykład sukcesu
点缀	ozdabiać	Kilka małych kwiatów ozdabiało stół
垫	podłożyć	Proszę podłożyć tę kartkę pod kubek
奠定	położyć fundament	Ta współpraca położyła fundament pod długoterminową relację
惦记	martwić się	Matka zawsze martwi się o dziecko daleko od domu
电源	zasilanie	Przed wyjściem proszę wyłączyć zasilanie
叼	trzymać w pysku	Ten pies trzyma kość w pysku
雕刻	rzeźbić	On lubi rzeźbić wzory w drewnie
雕塑	rzeźba	Na środku placu stoi rzeźba
吊	podnieść	Robotnicy użyli maszyny, żeby podnieść stalową belkę
调动	przenieść	Firma przeniosła go do pracy w Szanghaju
跌	spaść	Cena akcji dziś znowu spadła
丁	kostka	W przepisie napisano, żeby pokroić ziemniaki w kostkę
叮嘱	przypominać	Nauczyciel wielokrotnie przypominał nam o bezpieczeństwie
盯	wpatrywać się	Proszę nie wpatrywać się ciągle w innych
定期	regularnie	Lekarz zalecił mu regularne badania
定义	definicja	Proszę najpierw wyjaśnić definicję tego pojęcia
丢人	wstyd	Kłamanie publicznie to naprawdę wstyd
丢三落四	roztargniony	On zawsze jest roztargniony i często zapomina kluczy wychodząc z domu
东道主	gospodarz	Jako gospodarze powinniśmy dobrze zadbać o gości
东张西望	rozglądać się	Nie rozglądaj się podczas lekcji
董事长	przewodniczący zarządu	Przewodniczący zarządu uczestniczył dziś w spotkaniu
冻结	zamrozić	Bank tymczasowo zamroził to konto
动荡	niestabilny	Wojna sprawiła, że region długo pozostawał niestabilny
动机	motyw	Policja bada jego motyw
动静	odgłos	W pokoju nie było najmniejszego odgłosu ani ruchu
动力	motywacja	Zainteresowanie jest motywacją do nauki
动脉	tętnica	Lekarz zbadał jego tętnicę
动身	wyruszyć	Jutro wcześnie rano wyruszymy na lotnisko
动手	zacząć bójkę	Sprawa nie jest jeszcze jasna, więc nikt nie powinien zaczynać bójki
动态	postępy	Proszę na bieżąco śledzić postępy projektu
动员	zmobilizować	Szkoła zmobilizowała uczniów do udziału w wolontariacie
栋	budynek	Ten budynek ma dwadzieścia pięter
兜	kieszeń	On włożył klucze do kieszeni płaszcza
陡峭	stromy	Ta górska droga jest bardzo stroma
