hsk_key	source_word	simplified	ML	example_ML	KK	example_KK
5053:笑容	笑容	笑容	പുഞ്ചിരി	അവളുടെ മുഖത്തിലെ പുഞ്ചിരി എല്ലാവർക്കും ആശ്വാസമായി.	күлкі; жымиыс	Оның жүзіндегі жымиыс бәрін тыныштандырды.
5054:效应	效应	效应	പ്രഭാവം; ഫലം	ഈ നയത്തിന്റെ പ്രഭാവം ഇനിയും നിരീക്ഷിക്കേണ്ടതാണ്.	әсер; нәтиже	Бұл саясаттың әсерін әлі бақылау керек.
5060:心爱	心爱	心爱	പ്രിയപ്പെട്ട; ഹൃദയത്തിന് അടുപ്പമുള്ള	അവൻ തന്റെ പ്രിയപ്പെട്ട ക്യാമറ യാത്രയ്ക്ക് കൊണ്ടുപോയി.	сүйікті; қымбат	Ол саяхатқа сүйікті камерасын алып барды.
5061:心底	心底	心底	ഹൃദയത്തിന്റെ ആഴം; മനസ്സിന്റെ അടിത്തട്ട്	അവൾ ഹൃദയത്തിന്റെ ആഴത്തിൽ നിന്ന് അധ്യാപകനോട് നന്ദി പറഞ്ഞു.	жүрек түбі; көңіл түбі	Ол мұғалімнің көмегіне жүрек түбінен алғыс айтты.
5062:新款	新款	新款	പുതിയ മോഡൽ; പുതിയ ശൈലി	ഈ കടയിൽ ഇപ്പോൾ പുതിയ മോഡൽ ചെരുപ്പുകൾ വിൽപ്പനയ്ക്ക് വച്ചു.	жаңа үлгі; жаңа модель	Бұл дүкен жаңа үлгідегі аяқ киімдерді жаңа ғана сөреге қойды.
5064:新媒体	新媒体	新媒体	പുതിയ മാധ്യമം	പുതിയ മാധ്യമം ആളുകൾ വിവരം നേടുന്ന രീതി മാറ്റി.	жаңа медиа	Жаңа медиа адамдардың ақпарат алу тәсілін өзгертті.
5065:心目	心目	心目	മനസ്സിൽ; കാഴ്ചപ്പാടിൽ	എന്റെ മനസ്സിൽ അവൾ ഒരു മികച്ച എഴുത്തുകാരിയാണ്.	көңілде; ойда	Менің ойымда ол өте жақсы жазушы.
5066:新能源	新能源	新能源	പുതിയ ഊർജം; നവീകരണ ഊർജം	പുതിയ ഊർജ വ്യവസായം വേഗത്തിൽ വികസിക്കുന്നു.	жаңа энергия; жаңартылатын энергия	Жаңа энергия саласы тез дамып келеді.
5069:新兴	新兴	新兴	ഉദിച്ചുവരുന്ന; പുതുതായി വളരുന്ന	ഉദിച്ചുവരുന്ന വ്യവസായങ്ങൾ നിരവധി യുവാക്കളെ ആകർഷിച്ചു.	жаңадан дамып келе жатқан	Жаңадан дамып келе жатқан салалар көптеген жастарды тартты.
5071:心愿	心愿	心愿	മനസ്സിലെ ആഗ്രഹം; ഹൃദയാഭിലാഷം	അവൾ വർഷങ്ങളായിരുന്ന ആഗ്രഹം ഒടുവിൽ നിറവേറ്റി.	тілек; жүрек қалауы	Ол көп жылдық тілегін ақыры орындады.
5075:兴起	兴起	兴起	ഉയർന്ന് വരുക; ഉദിക്കുക	ഓൺലൈൻ പഠനം പല പ്രദേശങ്ങളിലും ഉയർന്ന് വന്നു.	пайда болу; өрлеу	Онлайн оқу көптеген өңірлерде кең тарала бастады.
5076:型号	型号	型号	മോഡൽ നമ്പർ; തരം നമ്പർ	ദയവായി കമ്പ്യൂട്ടറിന്റെ മോഡൽ നമ്പർ ഫോമിൽ എഴുതുക.	модель нөмірі; түрі	Компьютердің модель нөмірін формаға жазыңыз.
5078:性价比	性价比	性价比	വിലയ്ക്ക് തക്ക മൂല്യം; പണത്തിന് മൂല്യം	ഈ ഹോട്ടലിന് പണത്തിന് വളരെ നല്ല മൂല്യം ലഭിക്കുന്നു.	баға мен сапа арақатынасы; ақшасына тұрарлық	Бұл қонақүй ақшасына өте тұрарлық.
5081:修订	修订	修订	പരിഷ്കരിക്കുക; തിരുത്തുക	എഡിറ്റർ ഈ പാഠപുസ്തകം പരിഷ്കരിക്കുന്നു.	түзету; қайта қарау	Редактор бұл оқулықты қайта қарап жатыр.
5083:袖子	袖子	袖子	കൈപ്പുറം; വസ്ത്രത്തിന്റെ കൈ	ഈ കോട്ടിന്റെ കൈകൾ കുറച്ച് നീളമാണ്.	жең; киімнің жеңі	Бұл пальтоның жеңдері сәл ұзын.
5088:选修	选修	选修	ഐച്ഛിക വിഷയമായി എടുക്കുക	അടുത്ത സെമസ്റ്ററിൽ മനശ്ശാസ്ത്രം ഐച്ഛികമായി എടുക്കാൻ ഞാൻ ആഗ്രഹിക്കുന്നു.	таңдау пәні ретінде алу	Мен келесі семестрде психологияны таңдау пәні ретінде алғым келеді.
5089:学会	学会	学会	സംഘം; പണ്ഡിതസംഘം	അവൻ പ്രാദേശിക ഭാഷാ സംഘത്തിൽ ചേർന്നു.	қоғам; ғылыми қауымдастық	Ол жергілікті тіл қоғамына қосылды.
5092:学员	学员	学员	പരിശീലനാർത്ഥി; വിദ്യാർത്ഥി	പരിശീലന ക്ലാസിൽ ഇരുപത് പരിശീലനാർത്ഥികൾ ഉണ്ട്.	тыңдаушы; курсант	Оқу сыныбында жиырма тыңдаушы бар.
5093:血管	血管	血管	രക്തക്കുഴൽ	ഈ രക്തക്കുഴലിന് കൂടുതൽ പരിശോധന വേണമെന്നു ഡോക്ടർ പറഞ്ഞു.	қан тамыры	Дәрігер бұл қан тамырын қосымша тексеру керек деді.
5094:血型	血型	血型	രക്തഗ്രൂപ്പ്	രജിസ്ട്രേഷൻ ചെയ്യുമ്പോൾ സ്വന്തം രക്തഗ്രൂപ്പ് പൂരിപ്പിക്കണം.	қан тобы	Тіркелу кезінде өз қан тобыңызды көрсету керек.
5096:血液	血液	血液	രക്തം	വ്യായാമം രക്തചംക്രമണം മെച്ചപ്പെടുത്താൻ കഴിയും.	қан	Жаттығу қан айналымын жақсартады.
5098:寻求	寻求	寻求	തിരയുക; തേടുക	അവർ കൂടുതൽ നല്ല പരിഹാരം തേടുകയാണ്.	іздеу; ұмтылу	Олар жақсырақ шешім іздеп жатыр.
5101:淹	淹	淹	മുക്കുക; വെള്ളത്തിൽ മുങ്ങിക്കുക	കനത്ത മഴ താഴ്ന്ന റോഡിനെ വെള്ളത്തിൽ മുക്കി.	су басу; батыру	Қатты жаңбыр ойпаң жолды суға басты.
5103:严	严	严	കഠിനമായ; ഗുരുതരമായ	സ്കൂൾ പരീക്ഷാ ശാസനയിൽ വളരെ കർശനമാണ്.	қатаң; ауыр	Мектеп емтихан тәртібіне өте қатаң қарайды.
5111:研讨	研讨	研讨	ചർച്ച ചെയ്ത് പഠിക്കുക	വിദഗ്ധർ പുതിയ ചികിത്സാ പദ്ധതി ചർച്ച ചെയ്ത് പഠിക്കുന്നു.	талқылап зерттеу	Сарапшылар жаңа емдеу жоспарын талқылап зерттеп жатыр.
5113:言语	言语	言语	വാക്കുകൾ; സംസാരഭാഷ	അവന്റെ വാക്കുകൾ വളരെ സത്യസന്ധമായിരുന്നു.	сөз; сөйлеу	Оның сөздері өте шынайы болды.
5114:炎症	炎症	炎症	വീക്കം; അണുബാധാ വീക്കം	ഈ മരുന്ന് വീക്കം കുറയ്ക്കാൻ കഴിയും.	қабыну	Бұл дәрі қабынуды азайта алады.
5116:眼看	眼看	眼看	കണ്ണിന് മുന്നിൽ; ഉടൻ തന്നെ	ഇപ്പോഴേ ഇരുട്ടാകാനിരിക്കുകയാണ്, അതിനാൽ നമുക്ക് മടങ്ങണം.	көз алдында; жақында	Күн батып барады, сондықтан қайтуымыз керек.
5120:仰	仰	仰	മുകളിലേക്ക് നോക്കുക; തല ഉയർത്തുക	കുഞ്ഞ് തല ഉയർത്തി നക്ഷത്രങ്ങളെ നോക്കി.	жоғары қарау; шалқаю	Бала басын көтеріп жұлдыздарға қарады.
5122:养老	养老	养老	വൃദ്ധാവസ്ഥാ പരിചരണം; വിരമിക്കൽ ജീവിതം	അവർ വിരമിച്ചശേഷമുള്ള വൃദ്ധാവസ്ഥാ ജീവിതം പദ്ധതിയിടുന്നു.	қарттық қамы; зейнет өмірі	Олар зейнетке шыққаннан кейінгі қарттық өмірін жоспарлап жатыр.
5123:养老院	养老院	养老院	വൃദ്ധസദനം	ഈ വൃദ്ധസദനം ആശുപത്രിക്ക് വളരെ അടുത്താണ്.	қарттар үйі	Бұл қарттар үйі ауруханаға өте жақын.
5125:样	样	样	തരം; ഇനം	അവൻ മൂന്ന് തരത്തിലുള്ള പലഹാരങ്ങൾ വാങ്ങി.	түр; зат	Ол үш түрлі тіскебасар сатып алды.
5128:要么	要么	要么	അല്ലെങ്കിൽ; അല്ലെങ്കിൽ	നീ ഇപ്പോൾ പോകുകയോ നാളെവരെ കാത്തിരിക്കുകയോ ചെയ്യാം.	немесе; әйтпесе	Не қазір кет, не ертеңге дейін күт.
5130:野	野	野	കാട്ടു; കൃഷി ചെയ്യാത്ത	ഈ മലപ്രദേശത്ത് നിരവധി കാട്ടുപൂക്കൾ ഉണ്ട്.	жабайы; өңделмеген	Бұл тау аймағында жабайы гүл көп.
5131:也好	也好	也好	പോയാലും പോകരുതായാലും; ആയാലും	നീ പോയാലും പോകരുതായാലും എന്നോട് പറയണം.	барсаң да, бармасаң да	Барсаң да, бармасаң да, маған айтуың керек.
5132:野生	野生	野生	കാട്ടു; സ്വാഭാവികമായി വളരുന്ന	ഇവിടെ കാട്ടുമൃഗങ്ങളെ പിടിക്കുന്നത് നിരോധിച്ചിരിക്കുന്നു.	жабайы; табиғи өсетін	Мұнда жабайы жануарларды ұстауға тыйым салынған.
5133:野外	野外	野外	തുറസ്സായിടം; ഫീൽഡ്	വിദ്യാർത്ഥികൾ തുറസ്സായിടത്ത് സസ്യങ്ങളെ നിരീക്ഷിച്ചു.	дала; ашық жер	Оқушылар далада өсімдіктерді бақылап отырды.
5134:业	业	业	വ്യവസായം; തൊഴിൽ	സേവന വ്യവസായത്തിന് കൂടുതൽ പ്രൊഫഷണൽ ആളുകൾ ആവശ്യമുണ്ട്.	сала; кәсіп	Қызмет көрсету саласына көбірек кәсіби маман керек.
5139:衣食住行	衣食住行	衣食住行	ജീവിതത്തിന്റെ അടിസ്ഥാന ആവശ്യങ്ങൾ	ഈ റിപ്പോർട്ട് നഗരവാസികളുടെ ജീവിതത്തിന്റെ അടിസ്ഥാന ആവശ്യങ്ങൾ വിശകലനം ചെയ്യുന്നു.	өмірдің негізгі қажеттері	Бұл есеп қала тұрғындарының негізгі тұрмыстық қажеттерін талдайды.
5140:医药	医药	医药	വൈദ്യവും ഔഷധങ്ങളും; ഔഷധരംഗം	അടുത്തിടെ വൈദ്യവും ഔഷധ ചെലവും കുറച്ച് ഉയർന്നിട്ടുണ്ട്.	медицина және дәрі-дәрмек	Соңғы жылдары медицина мен дәрі-дәрмек шығыны біршама өсті.
5141:一一	一一	一一	ഒന്നൊന്നായി	അധ്യാപകൻ ചോദ്യങ്ങൾ ഒന്നൊന്നായി വ്യക്തമായി വിശദീകരിച്ചു.	бір-бірлеп; рет-ретімен	Мұғалім сұрақтарды бір-бірлеп анық түсіндірді.
5142:姨	姨	姨	അമ്മയുടെ സഹോദരി; അമ്മായി	എന്റെ അമ്മായി ഇന്ന് വീട്ടിലേക്ക് ഭക്ഷണത്തിന് വരുന്നു.	нағашы әпке; тәте	Менің нағашы тәтем бүгін үйге тамаққа келеді.
5146:一带	一带	一带	പ്രദേശം; ചുറ്റുപാട്	സ്കൂൾ ചുറ്റുപാടിൽ നിരവധി പുസ്തകക്കടകൾ ഉണ്ട്.	маңай; өңір	Мектеп маңында көп кітап дүкені бар.
5147:一道	一道	一道	ഒരുമിച്ച്; കൂടെ	നമുക്ക് ഒരുമിച്ച് പ്രദർശനം കാണാൻ പോകാം.	бірге; қатар	Көрмені бірге көруге барайық.
5155:一系列	一系列	一系列	ഒരു പരമ്പര; നിര	കമ്പനി പുതിയ ഉൽപ്പന്നങ്ങളുടെ ഒരു പരമ്പര പുറത്തിറക്കി.	бірқатар; серия	Компания жаңа өнімдердің бірқатарын шығарды.
5157:一阵	一阵	一阵	ഒരു വീശൽ; കുറച്ചു സമയം	ജാലകത്തിന് പുറത്തുനിന്ന് തണുത്ത കാറ്റിന്റെ ഒരു വീശൽ വന്നു.	бір леп; бір сәт	Терезенің сыртынан салқын желдің бір легі соқты.
5158:遗址	遗址	遗址	പുരാവസ്തു സ്ഥലം; അവശിഷ്ടങ്ങൾ	ഈ പുരാതന നഗരാവശിഷ്ടം നിരവധി വിനോദസഞ്ചാരികളെ ആകർഷിക്കുന്നു.	тарихи орын; қиранды	Бұл көне қала орны көптеген туристі тартады.
5163:益处	益处	益处	ലാഭം; ഗുണം	ദിവസവും വ്യായാമം ചെയ്യുന്നത് ആരോഗ്യത്തിന് നിരവധി ഗുണങ്ങൾ നൽകുന്നു.	пайда; артықшылық	Күн сайын жаттығу жасау денсаулыққа көп пайда береді.
5164:一帆风顺	一帆风顺	一帆风顺	എല്ലാം സുഗമമായി നടക്കുക; തടസ്സമില്ലാത്ത വിജയം	നിന്റെ പുതിയ ജോലി തടസ്സമില്ലാതെ വിജയിക്കട്ടെ എന്ന് ആശംസിക്കുന്നു.	ісінің сәтті жүруі; жолы болу	Жаңа жұмысың сәтті жүрсін деп тілеймін.
5165:一口气	一口气	一口气	ഒറ്റ ശ്വാസത്തിൽ; നിർത്താതെ	അവൻ ഒറ്റ ശ്വാസത്തിൽ മലമുകളിൽ വരെ ഓടി.	бір деммен; тоқтамай	Ол бір деммен тау басына дейін жүгірді.
5167:一模一样	一模一样	一模一样	ഒട്ടും വ്യത്യാസമില്ലാത്ത; പൂർണ്ണമായി ഒരേ	ഈ രണ്ട് ഫോട്ടോകളും ഒട്ടും വ്യത്യാസമില്ലാതെ ഒരേപോലെ തോന്നുന്നു.	айнымай бірдей; дәл сондай	Бұл екі сурет айнымай бірдей көрінеді.
5168:艺人	艺人	艺人	കലാകാരൻ; അവതാരകൻ	ഈ കലാകാരൻ വേദിയിൽ വളരെ ആത്മവിശ്വാസമുള്ളവനാണ്.	өнерпаз; әртіс	Бұл өнерпаз сахнада өте сенімді.
5169:一身	一身	一身	മുഴുവൻ ശരീരം; മുഴുവൻ വസ്ത്രം	അവൻ മുഴുവൻ കറുത്ത വസ്ത്രം ധരിച്ചു.	бүкіл дене; толық киім	Ол толық қара костюм киді.
5170:一时	一时	一时	ഒരു നിമിഷം; ആ സമയത്ത്	ആ സമയത്ത് എനിക്ക് അവന്റെ പേര് ഓർമ്മ വന്നില്ല.	бір сәт; сол кезде	Сол сәтте оның аты есіме түспеді.
5171:一同	一同	一同	ഒരുമിച്ച്; കൂടെ	ഞങ്ങൾ ഈ പദ്ധതി ഒരുമിച്ച് പൂർത്തിയാക്കി.	бірге	Біз бұл жобаны бірге аяқтадық.
5172:易于	易于	易于	എളുപ്പത്തിൽ; ചെയ്യാൻ എളുപ്പമുള്ള	ഈ സോഫ്റ്റ്‌വെയർ ഉപയോഗിക്കാൻ എളുപ്പമാണ്.	оңай; оңай істелетін	Бұл бағдарламаны қолдану оңай.
5173:抑制	抑制	抑制	നിയന്ത്രിക്കുക; അടക്കുക	ഈ മരുന്ന് വേദന അടക്കാൻ കഴിയും.	тежеу; басу	Бұл дәрі ауырсынуды баса алады.
5174:因	因	因	കാരണം; മൂലം	കനത്ത മഴ കാരണം യോഗം മാറ്റിവച്ചു.	себебінен; байланысты	Қатты жаңбыр себебінен жиналыс кейінге қалдырылды.
5175:音节	音节	音节	അക്ഷരഘടകം; സിലബിൾ	ഈ വാക്കിന് മൂന്ന് അക്ഷരഘടകങ്ങൾ ഉണ്ട്.	буын; дыбыстық буын	Бұл сөзде үш буын бар.
5177:银牌	银牌	银牌	വെള്ളി മെഡൽ	അവൾ മത്സരത്തിൽ വെള്ളി മെഡൽ നേടി.	күміс медаль	Ол жарыста күміс медаль алды.
5178:引	引	引	ഉദ്ധരിക്കുക; നയിക്കുക	അധ്യാപകൻ തന്റെ അഭിപ്രായം വിശദീകരിക്കാൻ ഒരു പഴയ കവിത ഉദ്ധരിച്ചു.	дәйек келтіру; жетелеу	Мұғалім өз ойын түсіндіру үшін көне өлеңнен дәйек келтірді.
5179:隐藏	隐藏	隐藏	മറയ്ക്കുക; ഒളിപ്പിക്കുക	ഫയൽ സിസ്റ്റം ഫോൾഡറിൽ മറച്ചുവച്ചു.	жасыру; жасырын ұстау	Файл жүйелік қалтада жасырылды.
5181:引发	引发	引发	ഉളവാക്കുക; കാരണമാകുക	ഈ വാർത്ത ചൂടേറിയ ചർച്ചയ്ക്ക് കാരണമായി.	тудыру; қозғау	Бұл жаңалық қызу талқылау тудырды.
5182:引入	引入	引入	പരിചയപ്പെടുത്തുക; കൊണ്ടുവരുക	സ്കൂൾ പുതിയ അധ്യാപനരീതി കൊണ്ടുവരാൻ പദ്ധതിയിടുന്നു.	енгізу; алып келу	Мектеп жаңа оқыту әдісін енгізуді жоспарлап отыр.
5184:饮用水	饮用水	饮用水	കുടിവെള്ളം	ഇവിടെയുള്ള കുടിവെള്ളം കർശന പരിശോധനകൾ കഴിഞ്ഞതാണ്.	ауыз су	Мұндағы ауыз су қатаң тексеруден өткен.
5185:印	印	印	അച്ചടിക്കുക; മുദ്രയിടുക	ദയവായി ഇവിടെ കമ്പനിയുടെ ചിഹ്നം അച്ചടിക്കുക.	басып шығару; мөр басу	Мұнда компанияның белгісін басып шығарыңыз.
5192:用餐	用餐	用餐	ഭക്ഷണം കഴിക്കുക	അതിഥികൾ റെസ്റ്റോറന്റിൽ ഭക്ഷണം കഴിക്കുകയാണ്.	тамақтану	Қонақтар мейрамханада тамақтанып отыр.
5193:用处	用处	用处	ഉപയോഗം; പ്രയോജനം	ഈ ചെറിയ കത്തിക്ക് പല പ്രയോജനങ്ങളുണ്ട്.	пайда; қолданылу	Бұл кішкентай пышақтың пайдасы көп.
5195:用人	用人	用人	ആളുകളെ നിയമിക്കുക	ഈ കമ്പനി ആളുകളെ നിയമിക്കുമ്പോൾ വളരെ ജാഗ്രത പാലിക്കുന്നു.	адам жалдау; кадр қолдану	Бұл компания адам жалдағанда өте сақ болады.
5196:用心	用心	用心	ശ്രദ്ധയോടെ; ആത്മാർഥമായി	ഈ സമ്മാനത്തിൽ വലിയ ശ്രദ്ധ നൽകിയിട്ടുണ്ടെന്ന് കാണാം.	мұқият; ықыласпен	Бұл сыйлыққа көп ықылас берілгені көрініп тұр.
5197:优化	优化	优化	മെച്ചപ്പെടുത്തുക; ഓപ്റ്റിമൈസ് ചെയ്യുക	എഞ്ചിനീയർ സിസ്റ്റത്തിന്റെ വേഗം മെച്ചപ്പെടുത്തുകയാണ്.	оңтайландыру	Инженер жүйенің жылдамдығын оңтайландырып жатыр.
5200:由来	由来	由来	ഉത്ഭവം; കാരണം	ഈ ആചാരത്തിന്റെ ഉത്ഭവം വളരെ രസകരമാണ്.	шығу тегі; себебі	Бұл дәстүрдің шығу тегі өте қызық.
5201:游人	游人	游人	സന്ദർശകൻ; വിനോദസഞ്ചാരി	വസന്തകാലത്ത് പാർക്കിൽ സന്ദർശകർ വളരെ കൂടുതലാണ്.	турист; келуші	Көктемде саябақта келушілер өте көп.
5203:有机	有机	有机	ജൈവ	ഈ ഫാം ജൈവ പച്ചക്കറികൾ മാത്രം വിൽക്കുന്നു.	органикалық	Бұл ферма тек органикалық көкөніс сатады.
5204:有劲	有劲	有劲	ഊർജമുള്ള; രസകരമായ	ഈ സിനിമ കാണുന്തോറും കൂടുതൽ രസകരമാകുന്നു.	күшті; қызықты	Бұл фильм көрген сайын қызығырақ бола түседі.
5205:有序	有序	有序	ക്രമബദ്ധമായ	പ്രേക്ഷകർ ക്രമമായി ഹാളിലേക്ക് കടന്നു.	реттелген; тәртіппен	Көрермендер залға тәртіппен кірді.
5206:于	于	于	-ൽ; സമയത്ത്	യോഗം രാവിലെ ഒൻപതിന് ആരംഭിക്കും.	-да/-де; кезінде	Жиналыс таңғы тоғызда басталады.
5207:余额	余额	余额	ശേഷിപ്പുതുക; ബാലൻസ്	ദയവായി ആദ്യം ബാങ്ക് കാർഡിലെ ബാലൻസ് പരിശോധിക്കുക.	қалдық; баланс	Алдымен банк картасының балансын тексеріңіз.
5210:预定	预定	预定	മുൻകൂട്ടി ബുക്ക് ചെയ്യുക	ഞാൻ നാളെയുടെ രാത്രിക്കുള്ള സീറ്റുകൾ ഇതിനകം ബുക്ക് ചെയ്തു.	брондау; алдын ала белгілеу	Мен ертең кешкі орындарды алдын ала брондадым.
5213:浴室	浴室	浴室	കുളിമുറി	കുളിമുറിയുടെ നിലം അല്പം വഴുക്കുന്നു.	жуынатын бөлме	Жуынатын бөлменің едені сәл тайғақ.
5215:原本	原本	原本	ആദ്യം; യഥാർത്ഥത്തിൽ	ഞാൻ ആദ്യം വാരാന്ത്യത്തിൽ ബെയ്ജിങ്ങിലേക്ക് പോകാൻ വിചാരിച്ചിരുന്നു.	бастапқыда; әуелде	Мен бастапқыда демалыста Бейжіңге баруды жоспарлаған едім.
5216:原材料	原材料	原材料	അസംസ്കൃത വസ്തു	ഫാക്ടറിയ്ക്ക് സ്ഥിരമായ അസംസ്കൃത വസ്തു വിതരണം വേണം.	шикізат	Зауытқа тұрақты шикізат жеткізілімі қажет.
5224:元宵	元宵	元宵	യുവാൻഷിയാവോ; വിളക്കുത്സവത്തിലെ മധുര അരിയുണ്ട	വിളക്കുത്സവ ദിവസം ഞങ്ങൾ യുവാൻഷിയാവോ കഴിച്ചു.	юаньсяо; Шамдар мерекесінің тәтті күріш домалағы	Шамдар мерекесі күні біз юаньсяо жедік.
5225:源于	源于	源于	ഉത്ഭവിക്കുക; നിന്നുണ്ടാകുക	ഈ പരമ്പര്യം ഒരു പുരാതന ഉത്സവത്തിൽ നിന്നാണ് ഉത്ഭവിച്ചത്.	бастау алу; шығу	Бұл дәстүр көне мерекеден бастау алады.
5226:远程	远程	远程	ദൂരസ്ഥ; വിദൂര	കമ്പനി ദൂരസ്ഥ അഭിമുഖം ക്രമീകരിച്ചു.	қашықтан; шалғай	Компания қашықтан сұхбат ұйымдастырды.
