source_headword	ML	example_ML
landscape	പ്രകൃതിദൃശ്യം	കൊടുങ്കാറ്റിനുശേഷം പ്രകൃതിദൃശ്യം മാറി.
largely	വലിയ അളവിൽ	പദ്ധതി വലിയ അളവിൽ വിജയകരമായിരുന്നു.
launch	പുറത്തിറക്കുക	അവർ നാളെ ഉൽപ്പന്നം പുറത്തിറക്കും.
leadership	നേതൃത്വം	ശക്തമായ നേതൃത്വം ടീമിനെ കരകയറാൻ സഹായിച്ചു.
league	ലീഗ്	ഞങ്ങളുടെ ക്ലബ്ബ് ഒരു പ്രാദേശിക ലീഗിൽ ചേർന്നു.
lean	ചാരിനിൽക്കുക	നനഞ്ഞ ഭിത്തിയിൽ ചാരി നിൽക്കരുത്.
licence	ലൈസൻസ്	ലൈസൻസിൻ്റെ കാലാവധി അടുത്ത മാസം അവസാനിക്കും.
limited	പരിമിതമായ	ഞങ്ങൾക്ക് ഇന്ന് പരിമിതമായ സമയമേയുള്ളൂ.
lively	സജീവമായ	ഉച്ചഭക്ഷണത്തിന് ശേഷം യോഗം സജീവമായി.
load	ഭാരം	ട്രക്ക് വലിയ ഭാരം വഹിച്ചു.
loan	വായ്പ	ബാങ്ക് വായ്പ അനുവദിച്ചു.
logical	യുക്തിസഹമായ	അവളുടെ വാദം വ്യക്തവും യുക്തിസഹവുമായിരുന്നു.
long-term	ദീർഘകാല	ഇതൊരു ദീർഘകാല പരിഹാരമാണ്.
loose	അയഞ്ഞ	പിടി അയഞ്ഞതായി തോന്നുന്നു.
lord	പ്രഭു	പ്രഭുവിന് നിരവധി ഗ്രാമങ്ങൾ ഉണ്ടായിരുന്നു.
lower	കുറയ്ക്കുക	അവർ ശൈത്യകാലത്ത് വില കുറയ്ക്കുന്നു.
lung	ശ്വാസകോശം	പുകവലി ശ്വാസകോശത്തെ നശിപ്പിക്കും.
maintain	നിലനിർത്തുക	ഞങ്ങൾ സ്ഥിരം സമ്പർക്കം നിലനിർത്തുന്നു.
majority	ഭൂരിപക്ഷം	ഭൂരിപക്ഷം പേരും നിർദ്ദേശത്തെ പിന്തുണച്ചു.
mass	കൂട്ടം	മേഘങ്ങളുടെ ഒരു കൂട്ടം ആകാശം മൂടി.
massive	വൻ	ഭൂകമ്പം വൻ നാശനഷ്ടമുണ്ടാക്കി.
master	വിദഗ്ദ്ധ	അവൾ ചർച്ചകളിൽ ഒരു വിദഗ്ദ്ധയായി.
matching	അനുയോജ്യമായ	അവൻ അനുയോജ്യമായ ഷൂസും ബെൽറ്റും ധരിച്ചു.
maximum	പരമാവധി	മുറി പരമാവധി ശേഷിയിലെത്തി.
means	മാർഗ്ഗം	ഇമെയിൽ ആണ് ഞങ്ങളുടെ പ്രധാന സമ്പർക്ക മാർഗ്ഗം.
measurement	അളവ്	അളവ് അല്പം തെറ്റായിരുന്നു.
melt	ഉരുകുക	ഉച്ചയോടെ മഞ്ഞ് ഉരുകും.
military	സൈനിക	സൈനിക താവളം കഴിഞ്ഞ വർഷം അടച്ചുപൂട്ടി.
mineral	ധാതു	ഇരുമ്പ് ഒരു പ്രധാന ധാതുവാണ്.
minimum	കുറഞ്ഞ	കുറഞ്ഞ പ്രായം പതിനെട്ടാണ്.
minister	മന്ത്രി	മന്ത്രി ബുദ്ധിമുട്ടുള്ള ചോദ്യങ്ങൾക്ക് ഉത്തരം നൽകി.
minor	ചെറിയ	അപകടത്തിൽ ചെറിയ നാശനഷ്ടമുണ്ടായി.
minority	ന്യൂനപക്ഷം	ഒരു ന്യൂനപക്ഷം പുതിയ നിയമത്തെ എതിർത്തു.
mission	ദൗത്യം	അവരുടെ ദൗത്യം സുരക്ഷിതമായി അവസാനിച്ചു.
mixed	സമ്മിശ്രമായ	വാര്‍ത്തയ്ക്ക് സമ്മിശ്ര പ്രതികരണമാണ് ലഭിച്ചത്.
modify	പരിഷ്കരിക്കുക	നമുക്ക് ഡിസൈൻ പിന്നീട് പരിഷ്കരിക്കാം.
monitor	നിരീക്ഷിക്കുക	നഴ്സ് അവന്റെ അവസ്ഥ നിരീക്ഷിക്കും.
moral	ധാർമ്മികമായ	കഥയ്ക്ക് ഒരു ധാർമ്മിക പാഠമുണ്ട്.
motor	മോട്ടോർ	മുന്നറിയിപ്പില്ലാതെ മോട്ടോർ നിന്നു.
mount	സ്ഥാപിക്കുക	അവർ പ്രവേശന കവാടത്തിനടുത്ത് ക്യാമറകൾ സ്ഥാപിക്കുന്നു.
multiple	ഒന്നിലധികം	ഒന്നിലധികം കാരണങ്ങൾ കാലതാമസത്തിന് കാരണമായി.
multiply	ഗുണിക്കുക	സംഖ്യയെ പത്ത് കൊണ്ട് ഗുണിക്കുക.
mysterious	ദുരൂഹമായ	ദുരൂഹമായ ഒരു വെളിച്ചം പുറത്ത് പ്രത്യക്ഷപ്പെട്ടു.
neat	വൃത്തിയുള്ള	അവളുടെ മേശ എപ്പോഴും വൃത്തിയുള്ളതാണ്.
nerve	നാഡി	പരിക്ക് ഒരു നാഡിക്ക് കേടുവരുത്തി.
nevertheless	എന്നിരുന്നാലും	ജോലി ബുദ്ധിമുട്ടായിരുന്നു, എന്നിരുന്നാലും ഞങ്ങൾ അത് പൂർത്തിയാക്കി.
nightmare	ദുർസ്വപ്നം	യാത്ര ഒരു ദുർസ്വപ്നമായി മാറി.
notion	ധാരണ	മാറ്റം അസാധ്യമാണെന്ന ധാരണ ഉപേക്ഷിക്കുക.
numerous	നിരവധി	നിരവധി പഠനങ്ങൾ ഈ ആശയത്തെ പിന്തുണയ്ക്കുന്നു.
obey	അനുസരിക്കുക	ഡ്രൈവർമാർ അടയാളങ്ങൾ അനുസരിക്കണം.
objective	ലക്ഷ്യം	മാലിന്യം കുറയ്ക്കുക എന്നതാണ് ഞങ്ങളുടെ ലക്ഷ്യം.
obligation	കടമ	കുട്ടികളെ സംരക്ഷിക്കാൻ മാതാപിതാക്കൾക്ക് കടമയുണ്ട്.
observation	നിരീക്ഷണം	അദ്ദേഹത്തിന്റെ നിരീക്ഷണം ചർച്ചയെ മാറ്റിമറിച്ചു.
observe	നിരീക്ഷിക്കുക	ശാസ്ത്രജ്ഞർ എല്ലാ വസന്തകാലത്തും പക്ഷികളെ നിരീക്ഷിക്കുന്നു.
obtain	നേടുക	നിങ്ങൾ രേഖാമൂലമുള്ള അനുമതി നേടണം.
occasionally	ഇടയ്ക്കിടെ	അവൾ ഇടയ്ക്കിടെ വീട്ടിൽ നിന്ന് ജോലി ചെയ്യുന്നു.
offence	അപമാനം	ആ അഭിപ്രായം കടുത്ത അപമാനത്തിന് കാരണമായി.
offend	മുറിപ്പെടുത്തുക	ആരെയും മുറിപ്പെടുത്താൻ ഞാൻ ഉദ്ദേശിച്ചിരുന്നില്ല.
offensive	അധിക്ഷേപകരമായ	പോസ്റ്ററിൽ അധിക്ഷേപകരമായ ഭാഷ അടങ്ങിയിട്ടുണ്ട്.
opening	ഒഴിവ്	ജോലി ഒഴിവ് നിരവധി അപേക്ഷകരെ ആകർഷിച്ചു.
operate	പ്രവർത്തിക്കുക	യന്ത്രത്തിന് സ്വയമേവ പ്രവർത്തിക്കാൻ കഴിയും.
opponent	എതിരാളി	അവളുടെ എതിരാളി നയത്തെ വിമർശിച്ചു.
oppose	എതിർക്കുക	പല താമസക്കാരും ഈ പദ്ധതിയെ എതിർക്കുന്നു.
opposed	വിരുദ്ധമായ	ഗ്രൂപ്പുകൾ വിരുദ്ധമായ വീക്ഷണങ്ങൾ പുലർത്തി.
opposition	എതിർപ്പ്	നിർദ്ദേശത്തിന് ശക്തമായ എതിർപ്പ് നേരിടേണ്ടിവന്നു.
organ	അവയവം	ഹൃദയം ഒരു പ്രധാന അവയവമാണ്.
origin	ഉറവിടം	തീയുടെ ഉറവിടം അജ്ഞാതമാണ്.
otherwise	അല്ലെങ്കിൽ	ഇപ്പോൾ പോവുക; അല്ലെങ്കിൽ, നിങ്ങൾ വൈകും.
outcome	ഫലം	ഫലം എല്ലാവരെയും അത്ഭുതപ്പെടുത്തി.
outer	പുറത്തെ	പുറത്തെ മതിൽ നന്നാക്കേണ്ടതുണ്ട്.
outline	രൂപരേഖ	ദയവായി നിങ്ങളുടെ പ്രധാന വാദത്തിന്റെ രൂപരേഖ തയ്യാറാക്കുക.
overall	മൊത്തത്തിലുള്ള	മൊത്തത്തിലുള്ള ഫലം അനുകൂലമായിരുന്നു.
owe	കടപ്പെട്ടിരിക്കുക	ഞാൻ നിങ്ങളോട് ക്ഷമ ചോദിക്കാൻ കടപ്പെട്ടിരിക്കുന്നു.
pace	വേഗത	സ്ഥിരമായ വേഗതയിൽ നടക്കുക.
panel	സമിതി	കാലാവസ്ഥാ നയത്തെക്കുറിച്ച് സമിതി ചർച്ച ചെയ്തു.
parliament	പാർലമെന്റ്	പാർലമെന്റ് പുതിയ നിയമം അംഗീകരിച്ചു.
participant	പങ്കാളി	ഓരോ പങ്കാളിയും ഫോമിൽ ഒപ്പുവച്ചു.
partly	ഭാഗികമായി	കാലതാമസം ഭാഗികമായി ഞങ്ങളുടെ തെറ്റായിരുന്നു.
passage	ഖണ്ഡിക	ഉത്തരം നൽകുന്നതിന് മുമ്പ് ഖണ്ഡിക വായിക്കുക.
pension1	പെൻഷൻ	വിരമിച്ച ശേഷം അവന്റെ പെൻഷൻ അവനെ പിന്തുണയ്ക്കുന്നു.
permanent	ശാശ്വതമായ	അവർക്ക് ഒരു ശാശ്വതമായ പരിഹാരം ആവശ്യമാണ്.
permit	അനുവദിക്കുക	നിയമങ്ങൾ ഹ്രസ്വ സന്ദർശനങ്ങളെ അനുവദിക്കുന്നു.
perspective	വീക്ഷണം	അവളുടെ വീക്ഷണം കാണാൻ ശ്രമിക്കുക.
phase	ഘട്ടം	പദ്ധതി അതിന്റെ അവസാന ഘട്ടത്തിലേക്ക് കടന്നു.
phenomenon	പ്രതിഭാസം	പ്രതിഭാസം പല സംസ്കാരങ്ങളിലും സംഭവിക്കുന്നു.
philosophy	തത്ത്വശാസ്ത്രം	അവളുടെ തത്ത്വശാസ്ത്രം പ്രായോഗിക പ്രവർത്തനത്തിന് വില നൽകുന്നു.
pile	കൂമ്പാരം	ഒരു കൂമ്പാരം കടലാസുകൾ മേശയിൽ നിറഞ്ഞിരുന്നു.
pitch	മൈതാനം	ടീം മൈതാനം ശ്രദ്ധയോടെ തയ്യാറാക്കി.
plain	വ്യക്തമായ	നിർദ്ദേശങ്ങൾ വ്യക്തവും നേരിട്ടുള്ളതുമായിരുന്നു.
pointed	മൂർച്ചയുള്ള	അദ്ദേഹം മൂർച്ചയുള്ള ഒരു അഭിപ്രായം പറഞ്ഞു.
popularity	ജനപ്രീതി	ഗായകൻ ഓൺലൈനിൽ ജനപ്രീതി നേടി.
pose	സൃഷ്ടിക്കുക	ഈ ചോദ്യം ഒരു പ്രശ്നം സൃഷ്ടിച്ചേക്കാം.
possess	സ്വന്തമായിരിക്കുക	ചുരുക്കം വിദ്യാർത്ഥികൾക്ക് മാത്രമേ ആ കഴിവുള്ളൂ.
potential	സാധ്യത	ഈ ആശയത്തിന് യഥാർത്ഥ സാധ്യതയുണ്ട്.
praise	പ്രശംസ	അധ്യാപകൻ സത്യസന്ധമായ പ്രശംസ നൽകി.
pregnant	ഗർഭിണി	അവൾ ആറു മാസം ഗർഭിണിയാണ്.
preparation	തയ്യാറെടുപ്പ്	നല്ല തയ്യാറെടുപ്പ് സമ്മർദ്ദം കുറയ്ക്കുന്നു.
presence	സാന്നിധ്യം	അദ്ദേഹത്തിന്റെ സാന്നിധ്യം അന്തരീക്ഷം മാറ്റി.
preserve	സംരക്ഷിക്കുക	നാം ഈ ചരിത്രപരമായ കെട്ടിടം സംരക്ഷിക്കണം.
prime	പ്രധാന	പ്രധാന കാരണം മോശം ആസൂത്രണമായിരുന്നു.
principle	തത്ത്വം	തീരുമാനം വ്യക്തമായ ഒരു തത്ത്വം പിന്തുടർന്നു.
priority	മുൻഗണന	സുരക്ഷയ്ക്കാണ് ഞങ്ങളുടെ ഒന്നാം മുൻഗണന.
privacy	സ്വകാര്യത	ഉപഭോക്താക്കൾ ഓൺലൈനിൽ സ്വകാര്യത പ്രതീക്ഷിക്കുന്നു.
procedure	നടപടിക്രമം	നടപടിക്രമത്തിന് മുപ്പത് മിനിറ്റ് എടുക്കും.
proof	തെളിവ്	പ്രവർത്തിക്കുന്നതിന് മുമ്പ് നമുക്ക് തെളിവ് ആവശ്യമാണ്.
proposal	നിർദ്ദേശം	നിർദ്ദേശത്തിന് കൂടുതൽ വിശദാംശങ്ങൾ ആവശ്യമാണ്.
propose	നിർദ്ദേശിക്കുക	ഞാൻ വ്യത്യസ്തമായ ഒരു പരിഹാരം നിർദ്ദേശിക്കുന്നു.
prospect	സാധ്യത	പരാജയപ്പെടുമെന്ന സാധ്യത അവരെ ആശങ്കപ്പെടുത്തി.
protection	സംരക്ഷണം	ഹെൽമെറ്റ് അടിസ്ഥാന സംരക്ഷണം നൽകുന്നു.
psychologist	മനശാസ്ത്രജ്ഞൻ	മനശാസ്ത്രജ്ഞൻ പരിശോധനാ ഫലങ്ങൾ വിശദീകരിച്ചു.
psychology	മനശാസ്ത്രം	അവൾ സർവ്വകലാശാലയിൽ മനശാസ്ത്രം പഠിക്കുന്നു.
publication	പ്രസിദ്ധീകരണം	പ്രസിദ്ധീകരണം പൊതുജന ശ്രദ്ധ ആകർഷിച്ചു.
pupil	വിദ്യാർത്ഥി	ഓരോ വിദ്യാർത്ഥിക്കും പുതിയ ഒരു പാഠപുസ്തകം ലഭിച്ചു.
purchase	വാങ്ങൽ	അവർ എല്ലാ മാസവും സാധനങ്ങൾ വാങ്ങുന്നു.
pure	ശുദ്ധമായ	വെള്ളം ശുദ്ധവും തണുത്തതുമായിരുന്നു.
pursue	പിന്തുടരുക	അദ്ദേഹം ഒരു മെഡിക്കൽ കരിയർ പിന്തുടരും.
rank	പദവി	അവൾ ഒരു മുതിർന്ന പദവി വഹിക്കുന്നു.
rapid	വേഗത്തിലുള്ള	രാജ്യം വേഗത്തിലുള്ള വളർച്ച കണ്ടു.
rapidly	വേഗത്തിൽ	ഈ വർഷം വിലകൾ വേഗത്തിൽ വർദ്ധിച്ചു.
raw	പച്ചയായ	പാചകക്കാരൻ പച്ചക്കറികൾ തയ്യാറാക്കി.
realistic	യാഥാർത്ഥ്യബോധമുള്ള	യാഥാർത്ഥ്യബോധമുള്ള ഒരു സമയപരിധി നിശ്ചയിക്കുക.
reasonable	ന്യായമായ	അതൊരു ന്യായമായ അഭ്യർത്ഥനയാണെന്ന് തോന്നുന്നു.
recall	ഓർമ്മിക്കുക	ഞാൻ അദ്ദേഹത്തിന്റെ കൃത്യമായ വാക്കുകൾ ഓർമ്മിക്കുന്നു.
recover	സുഖം പ്രാപിക്കുക	ചികിത്സയ്ക്ക് ശേഷം അവൾ സുഖം പ്രാപിക്കും.
reduction	കുറവ്	കുറവ് പണം ലാഭിച്ചു.
regard	പരിഗണിക്കുക	പലരും അവളെ സത്യസന്ധയായി കണക്കാക്കുന്നു.
regional	പ്രാദേശിക	പ്രാദേശിക ഓഫീസ് ഇന്ന് അടച്ചു.
register	രജിസ്റ്റർ ചെയ്യുക	കോൺഫറൻസിന് മുമ്പ് ദയവായി രജിസ്റ്റർ ചെയ്യുക.
regret	ഖേദിക്കുക	എന്റെ നേരത്തെയുള്ള തീരുമാനത്തിൽ ഞാൻ ഖേദിക്കുന്നു.
regulation	നിയന്ത്രണം	പുതിയ നിയന്ത്രണം എല്ലാ ഡ്രൈവർമാരെയും ബാധിക്കുന്നു.
relatively	താരതമ്യേന	പരീക്ഷ താരതമ്യേന എളുപ്പമായിരുന്നു.
relevant	പ്രസക്തമായ	പ്രസക്തമായ വിശദാംശങ്ങൾ മാത്രം തിരഞ്ഞെടുക്കുക.
relief	ആശ്വാസം	വാർത്ത വലിയ ആശ്വാസം നൽകി.
rely	ആശ്രയിക്കുക	കുട്ടികൾ മുതിർന്നവരുടെ പിന്തുണയെ ആശ്രയിക്കുന്നു.
remark	അഭിപ്രായം	അദ്ദേഹത്തിന്റെ അഭിപ്രായം ചർച്ച അവസാനിപ്പിച്ചു.
representative	പ്രതിനിധി	പ്രതിനിധി പ്രാദേശിക തൊഴിലാളികളെ കണ്ടു.
reputation	സൽപ്പേര്	ഹോട്ടലിന് നല്ല സൽപ്പേരുണ്ട്.
requirement	നിബന്ധന	പ്രവൃത്തിപരിചയം ഒരു അടിസ്ഥാന നിബന്ധനയാണ്.
rescue	രക്ഷിക്കുക	വെള്ളപ്പൊക്കത്തിൽ നിന്ന് അവർ ആളുകളെ രക്ഷിക്കുന്നു.
reserve	മാറ്റിവെക്കുക	അതിഥികൾക്കായി ഞങ്ങൾ സീറ്റുകൾ മാറ്റിവെക്കുന്നു.
resident	താമസക്കാരൻ	ഓരോ താമസക്കാരനും നോട്ടീസ് ലഭിച്ചു.
resist	ചെറുക്കുക	സമ്മർദ്ദത്തെ ചെറുക്കാൻ ശ്രമിക്കുക.
resolve	പരിഹരിക്കുക	അവർ തർക്കം സമാധാനപരമായി പരിഹരിച്ചു.
resort	റിസോർട്ട്	ദ്വീപിലെ റിസോർട്ട് മെയ് മാസത്തിൽ തുറന്നു.
retain	നിലനിർത്തുക	ജീവനക്കാരെ നിലനിർത്താൻ കമ്പനി ആഗ്രഹിക്കുന്നു.
reveal	വെളിപ്പെടുത്തുക	റിപ്പോർട്ട് സത്യം വെളിപ്പെടുത്തും.
revolution	വിപ്ലവം	വിപ്ലവം രാജ്യത്തെ മാറ്റിമറിച്ചു.
reward	പ്രതിഫലം	കഠിനാധ്വാനത്തിന് പ്രതിഫലം അർഹിക്കുന്നു.
rhythm	താളം	പാട്ടിന് സ്ഥിരമായ താളമുണ്ട്.
rid	ഒഴിവാക്കുക	ആ പഴയ ഫയലുകൾ ഒഴിവാക്കുക.
root	വേര്	പ്രശ്നത്തിന്റെ വേര് പണമാണ്.
rub	ഉരസുക	ഒരു തുണികൊണ്ട് ഉപരിതലത്തിൽ ഉരസുക.
rubber	റബ്ബർ	റബ്ബർ സീൽ ചോർച്ച തടയുന്നു.
rural	ഗ്രാമീണ	പല ഗ്രാമീണ സ്കൂളുകൾക്കും പിന്തുണ ആവശ്യമാണ്.
rush	തിടുക്കം കൂട്ടുക	ഈ തീരുമാനത്തിന് തിടുക്കം കൂട്ടരുത്.
satellite	ഉപഗ്രഹം	ഉപഗ്രഹം പുതിയ ചിത്രങ്ങൾ അയച്ചു.
satisfied	സംതൃപ്തൻ	ഉപഭോക്താവ് സംതൃപ്തനാണെന്ന് തോന്നി.
satisfy	തൃപ്തിപ്പെടുത്തുക	ഉത്തരം അവനെ തൃപ്തിപ്പെടുത്തിയില്ല.
saving	ലാഭിക്കൽ	ഊർജ്ജം ലാഭിക്കുന്നത് പ്രതിമാസ ചെലവുകൾ കുറയ്ക്കുന്നു.
scale	വ്യാപ്തി	നാശനഷ്ടത്തിന്റെ വ്യാപ്തി വലുതായിരുന്നു.
scheme	പദ്ധതി	ഈ പദ്ധതി യുവ തൊഴിലാളികളെ സഹായിക്കുന്നു.
scream	അലർച്ച	അവർ പുറത്ത് ഒരു അലർച്ച കേട്ടു.
sector	മേഖല	സാങ്കേതിക മേഖല വളരുകയാണ്.
secure	സുരക്ഷിതമാക്കുക	അത് സുരക്ഷിതമാക്കാൻ വാതിൽ പൂട്ടുക.
seek	തേടുക	അവർ വിദഗ്ധരിൽ നിന്ന് ഉപദേശം തേടുന്നു.
select	തിരഞ്ഞെടുക്കുക	മികച്ച ഓപ്ഷൻ തിരഞ്ഞെടുക്കുക.
selection	ശേഖരം	കട ഒരു വലിയ ശേഖരം വാഗ്ദാനം ചെയ്യുന്നു.
self	സ്വയം	അവൾ തന്റെ യഥാർത്ഥ സ്വയം കാണിച്ചു.
senior	മുതിർന്ന	ഒരു മുതിർന്ന ഡോക്ടർ രോഗിയെ പരിശോധിച്ചു.
sensitive	സെൻസിറ്റീവ് ആയ	ഈ വിഷയം വളരെ സെൻസിറ്റീവ് ആണ്.
sequence	ക്രമം	ഘട്ടങ്ങളുടെ ക്രമം പിന്തുടരുക.
session	സെഷൻ	പരിശീലന സെഷൻ ഉച്ചയ്ക്ക് ആരംഭിക്കുന്നു.
settle	പരിഹരിക്കുക	അവർ തർക്കം വേഗത്തിൽ പരിഹരിച്ചു.
severe	കടുത്ത	കൊടുങ്കാറ്റ് കടുത്ത വെള്ളപ്പൊക്കത്തിന് കാരണമായി.
shade	തണൽ	തണലിൽ ഇരിക്കുക.
shadow	നിഴൽ	ഒരു നിഴൽ ജനലിലൂടെ കടന്നുപോയി.
shallow	ആഴമില്ലാത്ത	ഇവിടെ തടാകത്തിന് ആഴമില്ല.
shame	നാണക്കേട്	കള്ളം പറഞ്ഞതിന് ശേഷം അവന് നാണക്കേട് തോന്നി.
shelter	അഭയം	സ്കൂൾ അടിയന്തര അഭയം നൽകി.
shock	ഞെട്ടൽ	ആ തീരുമാനം ഒരു ഞെട്ടലായിരുന്നു.
shocked	ഞെട്ടിയ	വാർത്ത കേട്ട് അവൾ ഞെട്ടിയതായി തോന്നി.
shooting	വെടിവെപ്പ്	സ്റ്റേഷന് സമീപമാണ് വെടിവെപ്പ് നടന്നത്.
shot	ഷോട്ട്	വിജയകരമായ ഷോട്ട് എല്ലാവരെയും അത്ഭുതപ്പെടുത്തി.
significant	പ്രധാനപ്പെട്ട	കണ്ടെത്തൽ പ്രധാനപ്പെട്ടതായിരുന്നു.
significantly	ഗണ്യമായി	കഴിഞ്ഞ വർഷം ചെലവുകൾ ഗണ്യമായി വർദ്ധിച്ചു.
silence	നിശബ്ദത	മുറിയിൽ നിശബ്ദത പടർന്നു.
silk	പട്ട്	ആ വസ്ത്രം പട്ട് കൊണ്ടുണ്ടാക്കിയതാണ്.
sincere	ആത്മാർത്ഥമായ	ദയവായി എന്റെ ആത്മാർത്ഥമായ നന്ദി സ്വീകരിക്കുക.
slave	അടിമ	നിയമം എല്ലാ അടിമകളെയും മോചിപ്പിച്ചു.
slide	തെന്നിനീങ്ങുക	കുട്ടി സ്ലൈഡിലൂടെ താഴേക്ക് പോയി.
slight	നേരിയ	ഒരു ചെറിയ കാലതാമസം ഉണ്ടായി.
slip	തെന്നിവീഴുക	നനഞ്ഞ തറയിൽ തെന്നിവീഴരുത്.
slope	ചരിവ്	പാത ഒരു വലിയ ചരിവിലൂടെ പോകുന്നു.
solar	സൗര	ഈ വീട് സൗരോർജ്ജം ഉപയോഗിക്കുന്നു.
somewhat	കുറെയൊക്കെ	നിർദ്ദേശങ്ങൾ കുറെയൊക്കെ ആശയക്കുഴപ്പമുണ്ടാക്കുന്നതായിരുന്നു.
soul	ആത്മാവ്	സംഗീതം അവളുടെ ആത്മാവിനെ ഉണർത്തി.
specialist	വിദഗ്ദ്ധൻ	വിദഗ്ദ്ധൻ രോഗിയെ പരിശോധിച്ചു.
species	ജീവിവർഗ്ഗം	ഈ ജീവിവർഗ്ഗം നദികൾക്കരികിൽ ജീവിക്കുന്നു.
spiritual	ആത്മീയ	അവൾ ഒരു ആത്മീയ അനുഭവം വിവരിച്ചു.
split	പങ്കിടുക	അവർ ബിൽ തുല്യമായി പങ്കിട്ടു.
sponsor	സ്പോൺസർ ചെയ്യുക	കമ്പനി പരിപാടി സ്പോൺസർ ചെയ്യും.
stable	സ്ഥിരതയുള്ള	രോഗിയുടെ നില സ്ഥിരമാണ്.
stare	തുറിച്ചുനോക്കുക	അപരിചിതരെ തുറിച്ചുനോക്കരുത്.
status	പദവി	അവന്റെ പദവി ഒറ്റരാത്രികൊണ്ട് മാറി.
steady	സ്ഥിരമായ	സ്ഥിരമായ വേഗത നിലനിർത്തുക.
steel	ഉരുക്ക്	പാലം ഉരുക്ക് കൊണ്ടുണ്ടാക്കിയതാണ്.
steep	കുത്തനെയുള്ള	കുന്ന് കുത്തനെയുള്ളതാണ്.
sticky	ഒട്ടുന്ന	തറയിൽ ഒട്ടുന്ന അനുഭവമുണ്ട്.
stiff	മരവിച്ച	അവന്റെ തോളിന് മരവിപ്പ് അനുഭവപ്പെട്ടു.
stock	സ്റ്റോക്ക്	കടയിൽ സ്റ്റോക്ക് ബാക്കിയില്ല.
stream	അരുവി	ഒരു ചെറിയ അരുവി മൈതാനത്തുകൂടി ഒഴുകുന്നു.
stretch	വലിച്ചുനീട്ടുക	വിമാനയാത്രയ്ക്ക് ശേഷം കാലുകൾ നീട്ടുക.
strict	കർശനമായ	സ്കൂളിന് കർശനമായ നിയമങ്ങളുണ്ട്.
strike	പണിമുടക്കുക	തൊഴിലാളികൾ നാളെ പണിമുടക്കിയേക്കാം.
struggle	കഷ്ടപ്പെടുക	പല കുടുംബങ്ങളും വാടക നൽകാൻ കഷ്ടപ്പെടുന്നു.
submit	സമർപ്പിക്കുക	വെള്ളിയാഴ്ചയ്ക്കകം ഫോം സമർപ്പിക്കുക.
sum	തുക	തുക പ്രതീക്ഷിച്ചതിലും കൂടുതലായിരുന്നു.
surgery	ശസ്ത്രക്രിയ	ശസ്ത്രക്രിയ രണ്ട് മണിക്കൂർ നീണ്ടുനിന്നു.
surround	ചുറ്റുക	വലിയ മരങ്ങൾ വീടിനെ ചുറ്റിനിൽക്കുന്നു.
surrounding	ചുറ്റുമുള്ള	ചുറ്റുമുള്ള പ്രദേശം ശാന്തമാണ്.
suspect	സംശയിക്കുക	പോലീസ് ഒരു നാട്ടുകാരനെ സംശയിക്കുന്നു.
swear	അസഭ്യം പറയുക	ക്ലാസ്സിൽ അസഭ്യം പറയരുത്.
