source_headword	HI	example_HI
shape	आकार	चौकोर आकार बनाओ.
sheet	चादर	बिस्तर पर चादर डालो.
ship	जहाज़	जहाज़ आज रवाना हुआ.
shoulder	कंधा	मेरा कंधा दुखता है.
shout	चिल्लाना	कक्षा में मत चिल्लाओ.
shut	बंद करना	कृपया खिड़की बंद करो.
side	तरफ़	इस तरफ बैठो.
sign	संकेत; निशान	संकेत ध्यान से पढ़ो.
silver	चाँदी	चाँदी हल्की धातु है.
simple	सरल	यह अभ्यास सरल है.
since	से	मैं दोपहर से इंतज़ार कर रहा हूँ.
singing	गाना	गाना मुझे आराम देता है.
single	एकल	मैंने एक टिकट खरीदा.
sir	सर	सर, आपका बैग तैयार है.
site	वेबसाइट	यह वेबसाइट सुरक्षित है.
size	आकार	तुम्हें कौन सा आकार चाहिए?
ski	स्की करना	सर्दियों में हम स्की करते हैं.
skiing	स्कीइंग	सर्दियों में स्कीइंग मज़ेदार है.
skin	त्वचा	उसकी त्वचा सूखी है.
sky	आसमान	आसमान साफ है.
slowly	धीरे	बर्फ पर धीरे चलो.
smartphone	स्मार्टफोन	मेरा स्मार्टफोन नया है.
smell	गंध; महकना	सूप अच्छी महक देता है.
smile	मुस्कान; मुस्कुराना	कैमरे की ओर मुस्कुराओ.
smoke	धुआँ	धुएँ ने कमरा भर दिया.
smoking	धूम्रपान	धूम्रपान की अनुमति नहीं है.
soap	साबुन	साबुन और पानी इस्तेमाल करो.
soccer	फुटबॉल	फुटबॉल यहाँ लोकप्रिय है.
social	सामाजिक	यह सामाजिक कार्यक्रम है.
society	समाज	समाज समय के साथ बदलता है.
sock	मोज़ा	एक मोज़ा गायब है.
soft	नरम	यह कंबल नरम है.
soldier	सैनिक	सैनिक घर लौट आया.
solution	समाधान	हमें समाधान मिला.
solve	हल करना	यह पहेली हल करो.
somewhere	कहीं	इसे कहीं सुरक्षित रखो.
sort	प्रकार	तुम कौन सा प्रकार चाहते हो?
source	स्रोत	पहले स्रोत जाँचो.
speaker	वक्ता; स्पीकर	स्पीकर तेज़ था.
specific	विशिष्ट	मुझे विशिष्ट उत्तर चाहिए.
speech	भाषण	उसका भाषण छोटा था.
speed	गति	यहाँ गति कम करो.
spider	मकड़ी	दीवार पर मकड़ी है.
spoon	चम्मच	सूप के लिए चम्मच इस्तेमाल करो.
square	चौकोर	चौकोर डिब्बा बनाओ.
stage	मंच	बैंड मंच पर है.
stair	सीढ़ी	सीढ़ी टूटी है.
stamp	डाक टिकट	पत्र पर डाक टिकट लगाओ.
state	बताना	अपना नाम साफ बताओ.
steal	चुराना	पैसे मत चुराओ.
step	कदम	एक कदम आगे बढ़ो.
stomach	पेट	मेरा पेट दुखता है.
stone	पत्थर	पत्थर भारी है.
store	दुकान	दुकान जल्दी बंद होती है.
storm	तूफ़ान	तूफ़ान आ रहा है.
straight	सीधा	सीधे घर जाओ.
strange	अजीब	यह आवाज़ अजीब है.
strategy	रणनीति	हमें रणनीति चाहिए.
stress	तनाव	काम तनाव दे सकता है.
structure	संरचना	यह संरचना मजबूत है.
stupid	मूर्ख	यह मूर्खतापूर्ण गलती थी.
succeed	सफल होना	तुम यहाँ सफल हो सकते हो.
successful	सफल	वह सफल हो गई.
such	ऐसा	ऐसी मदद उपयोगी है.
suddenly	अचानक	अचानक कुत्ता भाग गया.
suggest	सुझाव देना	मैं छोटे विराम का सुझाव देता हूँ.
suggestion	सुझाव	तुम्हारा सुझाव उपयोगी है.
suit	सूट	यह सूट महँगा है.
support	समर्थन करना	हम अपनी टीम का समर्थन करते हैं.
suppose	मानना	मैं मानता हूँ कि तुम सही हो.
surprise	आश्चर्य	आश्चर्य ने उसे खुश किया.
surprised	हैरान	वह आज हैरान थी.
surprising	चौंकाने वाला	परिणाम चौंकाने वाला था.
survey	सर्वेक्षण	कृपया सर्वेक्षण भरें.
sweet	मीठा	यह चाय मीठी है.
symbol	प्रतीक	यह प्रतीक खतरा बताता है.
system	प्रणाली	प्रणाली अच्छी तरह काम करती है.
tablet	टैबलेट	मेरा टैबलेट मेज़ पर है.
target	लक्ष्य	लक्ष्य को सावधानी से मारो.
task	कार्य	यह कार्य सरल है.
taste	स्वाद; चखना	पहले सूप चखो.
teaching	शिक्षण	शिक्षण कठिन काम है.
technology	तकनीक	तकनीक तेज़ी से बदलती है.
teenage	किशोर	मेरा किशोर भाई मेहनत से पढ़ता है.
temperature	तापमान	तापमान कम है.
term	अवधि; सत्र	यह सत्र जल्दी खत्म होगा.
themselves	वे खुद	उन्होंने रात का खाना खुद बनाया.
thick	मोटा	यह किताब मोटी है.
thief	चोर	चोर भाग गया.
thin	पतला	कागज़ पतला है.
thinking	सोचना	सोचने में समय लगता है.
thought	विचार	मुझे अजीब विचार आया.
throw	फेंकना	गेंद धीरे फेंको.
tidy	साफ-सुथरा	अपना कमरा साफ-सुथरा रखो.
tie	बाँधना	अब अपने जूते बाँधो.
tip	सलाह; बख्शीश	सेवा के लिए बख्शीश छोड़ो.
tool	औज़ार	सही औज़ार इस्तेमाल करो.
top	ऊपरी हिस्सा; चोटी	ऊपरी शेल्फ भरी है.
touch	छूना	काँच को मत छुओ.
tour	दौरा	हम शहर के दौरे पर गए.
tourism	पर्यटन	पर्यटन इस शहर की मदद करता है.
towards	की ओर	स्टेशन की ओर जाओ.
towel	तौलिया	साफ तौलिया लो.
tower	मीनार	मीनार बहुत पुरानी है.
toy	खिलौना	खिलौना कार लाल है.
track	पटरी; निशान	पटरी उत्तर की ओर जाती है.
tradition	परंपरा	यह परंपरा पुरानी है.
traditional	पारंपरिक	उसने पारंपरिक कपड़े पहने.
trainer	प्रशिक्षक	मेरा प्रशिक्षक मददगार है.
training	प्रशिक्षण	प्रशिक्षण कल शुरू होता है.
transport	परिवहन	सार्वजनिक परिवहन देर से है.
traveller	यात्री	यात्री ने मदद माँगी.
trouble	समस्या	कल हमें समस्या हुई.
truck	ट्रक	ट्रक बाहर है.
twin	जुड़वाँ	मेरी जुड़वाँ बहन लंबी है.
typical	सामान्य	यह सामान्य दिन है.
underground	भूमिगत	ट्रेन भूमिगत चलती है.
understanding	समझ	तुम्हारी समझ सही है.
unfortunately	दुर्भाग्य से	दुर्भाग्य से दुकान बंद है.
unhappy	दुखी	वह दुखी दिखता है.
uniform	वर्दी	वह स्कूल की वर्दी पहनती है.
unit	इकाई	यह इकाई छोटी है.
united	एकजुट	टीम एकजुट रही.
unusual	असामान्य	यह आवाज़ असामान्य है.
used to modal	पहले	पहले हम यहाँ रहते थे.
user	उपयोगकर्ता	हर उपयोगकर्ता के पास संख्या है.
usual	सामान्य	मैं अपनी सामान्य सीट पर बैठा.
valley	घाटी	घाटी हरी है.
van	वैन	वैन भरी हुई है.
variety	विविधता	हमें अधिक विविधता चाहिए.
vehicle	वाहन	यह वाहन धीमा है.
view	दृश्य	दृश्य सुंदर है.
virus	वायरस	वायरस ने उसे बीमार किया.
voice	आवाज़	उसकी आवाज़ धीमी है.
war	युद्ध	युद्ध वर्षों पहले समाप्त हुआ.
washing	धुलाई	धुलाई बाहर है.
wave	लहर	लहर जहाज़ से टकराई.
weak	कमज़ोर	मेरे पैर कमज़ोर हैं.
web	वेब	वेब पेज खुला है.
wedding	शादी	शादी जल्द शुरू होती है.
weight	वज़न	पहले वज़न जाँचो.
wet	गीला	मेरे जूते गीले हैं.
wheel	पहिया	पहिया टूटा है.
while	थोड़ी देर	यहाँ थोड़ी देर रुको.
whole	पूरा	मैंने पूरा सेब खाया.
whose	किसका	यह फोन किसका है?
wide	चौड़ा	रास्ता चौड़ा है.
wild	जंगली	जंगली जानवर यहाँ रहते हैं.
wind1	हवा	हवा तेज़ है.
winner	विजेता	विजेता मुस्कुराया.
wish	इच्छा	एक इच्छा करो.
wood	लकड़ी	कुर्सी लकड़ी की है.
wooden	लकड़ी का	लकड़ी का डिब्बा भारी है.
working	कामकाजी	कामकाजी दिन खत्म हो गया.
worried	चिंतित	मैं आज चिंतित हूँ.
worry	चिंता करना	अब चिंता मत करो.
worse	बदतर	यह दर्द बदतर है.
worst	सबसे बुरा	यह सबसे बुरा दिन था.
wow	वाह	वाह, यह अविश्वसनीय है!
yet	अभी तक; पहले ही	क्या हम पहले ही पहुँच गए हैं?
yours	तुम्हारा; आपका	यह किताब तुम्हारी है.
zero	शून्य	शून्य तक उलटी गिनती करो.
