source_headword	SV	example_SV
tool	ett verktyg	Använd rätt verktyg.
top	en topp	Den översta hyllan är full.
touch	röra	Rör inte glaset.
tour	en rundtur	Vi gjorde en rundtur i staden.
tourism	turism	Turism hjälper den här staden.
towards	mot	Gå mot stationen.
towel	en handduk	Ta med en ren handduk.
tower	ett torn	Tornet är mycket gammalt.
toy	en leksak	Leksaksbilen är röd.
track	ett spår	Spåret går norrut.
tradition	en tradition	Den här traditionen är gammal.
traditional	traditionell	Hon bar traditionella kläder.
trainer	en tränare	Min tränare är hjälpsam.
training	träning	Träningen börjar i morgon.
transport	transport	Kollektivtrafiken är sen.
traveller	en resenär	Resenären bad om hjälp.
trouble	problem	Vi hade problem i går.
truck	en lastbil	Lastbilen står utanför.
twin	en tvilling	Min tvillingsyster är längre.
typical	typisk	Det här är en typisk dag.
underground	underjordisk	Tåget går under jorden.
understanding	en förståelse	Din förståelse är korrekt.
unfortunately	tyvärr	Tyvärr är butiken stängd.
unhappy	olycklig	Han ser olycklig ut.
uniform	en uniform	Hon bär en skoluniform.
unit	en enhet	Den här enheten är liten.
united	förenad	Laget förblev förenat.
unusual	ovanlig	Det här ljudet är ovanligt.
used to modal	brukade	Vi brukade bo här.
user	en användare	Varje användare har ett nummer.
usual	vanlig	Jag tog min vanliga plats.
valley	en dal	Dalen är grön.
van	en skåpbil	Skåpbilen är full.
variety	en variation	Vi behöver mer variation.
vehicle	ett fordon	Det här fordonet är långsamt.
view	en utsikt	Utsikten är vacker.
virus	ett virus	Viruset gjorde honom sjuk.
voice	en röst	Hennes röst är mjuk.
war	ett krig	Kriget slutade för länge sedan.
washing	tvätt	Tvätten hänger ute.
wave	en våg	Vågen slog mot båten.
weak	svag	Mina ben är svaga.
web	webben	Webben är full av information.
wedding	ett bröllop	Bröllopet börjar snart.
weight	en vikt	Kontrollera vikten först.
wet	våt	Mina skor är våta.
wheel	ett hjul	Hjulet är trasigt.
while	en stund	Vänta här en stund.
whole	hel	Jag åt hela äpplet.
whose	vems	Vems telefon är det?
wide	bred	Vägen är bred.
wild	vild	Vilda djur lever här.
wind1	en vind	Vinden är stark.
winner	en vinnare	Vinnaren ler.
wish	en önskan	Önska dig något.
wood	trä	Stolen är gjord av trä.
wooden	trä-	Trälådan är tung.
working	arbetande; arbets-	Arbetsdagen är slut.
worried	orolig	Jag är orolig i dag.
worry	oroa sig	Oroa dig inte nu.
worse	värre	Den här smärtan är värre.
worst	värst	Det här var den värsta dagen.
wow	wow	Wow, det är fantastiskt!
yet	ännu; redan	Är vi framme än?
yours	din; ditt	Den här boken är din.
zero	noll	Räkna ner till noll.
