source_headword	HY	example_HY
allowance	գրպանի փող	Նրա գրպանի փողը ծածկում է ճաշն ու տրանսպորտը։
ally	դաշնակից	Կանադան դարձավ մերձավոր դաշնակից։
aluminium	ալյումին	Շրջանակը պատրաստված է ալյումինից։
amateur	սիրողական	Նկարը արել է սիրողական լուսանկարիչը։
ambassador	դեսպան	Դեսպանը հանդիպեց տեղի ուսանողներին։
amend	փոփոխել	Խորհրդարանը քվեարկեց օրենքը փոփոխելու օգտին։
amendment	փոփոխություն	Փոփոխությունը փոխեց մեկ պարբերություն։
amid	ֆոնին	Ելույթը տեղի ունեցավ աճող լարվածության ֆոնին։
analogy	անալոգիա	Ուսուցիչը օգտագործեց պարզ անալոգիա։
anchor	խարիսխ	Նավը խարիսխ գցեց կղզու մոտ։
angel	հրեշտակ	Երեխան հրեշտակի համազգեստ էր հագել։
anonymous	անանուն	Բողոքը անանուն էր։
apparatus	սարքավորում	Լաբորատոր սարքավորումը մաքրման կարիք ունի։
appealing	գրավիչ	Առաջարկը գրավիչ է թվում ուսանողների համար։
appetite	ախորժակ	Վարժությունները մեծացրին նրա ախորժակը։
applaud	ծափահարել	Հանդիսատեսը սկսեց բարձրաձայն ծափահարել։
applicable	կիրառելի	Զեղչը կիրառելի է այսօր։
appoint	նշանակել	Խորհուրդը տնօրեն կնշանակի։
appreciation	երախտագիտություն	Նա երախտագիտություն հայտնեց նրանց օգնության համար։
arbitrary	կամայական	Վերջնաժամկետը կամայական էր թվում անձնակազմին։
architectural	ճարտարապետական	Քաղաքը պահպանում է իր ճարտարապետական ժառանգությունը։
archive	արխիվ	Արխիվում պահվում են հին լուսանկարներ։
arena	ասպարեզ	Բանավեճը տեղափոխվեց հանրային ասպարեզ։
arguably	թերևս	Սա թերևս նրա լավագույն վեպն է։
arm	զինել	Պահակները կզինեն շարասյունը։
array	տեսականի	Խանութն առաջարկում է գործիքների լայն տեսականի։
articulate	հստակ ձևակերպել	Նա կարողանում է հստակ ձևակերպել բարդ գաղափարները։
ash	մոխիր	Հրդեհից հետո մոխիրը ծածկեց մեքենան։
aspiration	ձգտում	Նրա ձգտումն է դառնալ վիրաբույժ։
aspire	ձգտել	Շատ ուսանողներ ձգտում են սովորել արտասահմանում։
assassination	սպանություն	Սպանությունը փոխեց երկրի քաղաքականությունը։
assault	հարձակում	Հարձակումը տեղի է ունեցել կայարանի մոտ։
assemble	հավաքել	Բանվորները կահույքը ձեռքով են հավաքում։
assembly	հավաք	Դպրոցի հավաքը սկսվում է ժամը իննին։
assert	հաստատել	Նա փորձեց հաստատել իր հեղինակությունը։
assertion	պնդում	Նրա պնդումը զարմացրեց հանձնաժողովին։
assurance	հավաստիացում	Ղեկավարը աջակցության հավաստիացում տվեց։
asylum	ապաստան	Ընտանիքը սահմանին ապաստան է խնդրել։
atrocity	վայրագություն	Ֆիլմը նկարագրում էր պատերազմական վայրագությունը։
attain	հասնել	Քիչ վազորդներ են հասնում այդ արագությանը։
attendance	հաճախում	Հայտարարությունից հետո հաճախումը բարելավվեց։
attorney	փաստաբան	Փաստաբանը հարցաքննեց վկային։
attribute	վերագրել	Գիտնականները աճը վերագրում են աղտոտմանը։
audit	աուդիտ	Աուդիտը մի քանի սխալ հայտնաբերեց։
authentic	իսկական	Ռեստորանը մատուցում է իսկական տարածաշրջանային ուտեստներ։
authorize	լիազորել	Միայն ղեկավարները կարող են լիազորել գումարի վերադարձը։
auto	ավտո	Ավտոարդյունաբերությունը արագորեն փոխվեց։
autonomy	ինքնավարություն	Տարածաշրջանը ցանկանում է ավելի մեծ ինքնավարություն ունենալ։
availability	հասանելիություն	Տեղերի հասանելիությունը սահմանափակ է։
await	սպասել	Մի քանի հաղորդագրություն սպասում է ձեր պատասխանին։
backdrop	ֆոն	Լեռները դրամատիկ ֆոն ձևավորեցին։
backing	աջակցություն	Առաջարկը ընտրողների աջակցությունը ստացավ։
backup	պահուստային պատճեն	Համակարգը ամեն օր պահուստային պատճեն է ստեղծում։
bail	գրավ	Դատավորը գրավ սահմանեց կեսօրին։
ballot	քվեաթերթիկ	Յուրաքանչյուր ընտրող ստացավ քվեաթերթիկ։
banner	պաստառ	Պաստառը կախված էր մուտքի վերևում։
bare	դատարկ	Սենյակն ուներ դատարկ պատեր։
barrel	տակառ	Տակառը լի էր ջրով։
bass1	բաս	Բասը խորն ու տաք էր հնչում։
battlefield	մարտադաշտ	Հին մարտադաշտը դարձավ հուշահամալիր։
bay	ծոց	Գյուղը գտնվում է խաղաղ ծոցի կողքին։
beam	հեծան	Պողպատե հեծանը պահում է տանիքը։
beast	գազան	Պատմությունը նկարագրում է կատաղի մի գազանի։
behalf	անունից	Նա խոսեց իր թիմի անունից։
beloved	սիրելի	Սիրելի ուսուցիչն այսօր թոշակի անցավ։
bench	նստարան	Նրանք նստեցին փայտե նստարանին։
benchmark	չափանիշ	Թեստը դարձավ արդյունաբերության չափանիշ։
beneath	տակ	Փաստաթղթերը թղթապանակի տակ էին։
beneficiary	շահառու	Նրա որդին գլխավոր շահառուն էր։
betray	դավաճանել	Մի դավաճանիր ընկերոջդ վստահությանը։
bind	պարտավորեցնել	Համաձայնագիրը կպարտավորեցնի երկու ընկերություններին։
biography	կենսագրություն	Նրա կենսագրությունը վաճառվեց բազմաթիվ օրինակներով։
bishop	եպիսկոպոս	Եպիսկոպոսն այցելեց գյուղի եկեղեցի։
bizarre	տարօրինակ	Ֆիլմն ուներ տարօրինակ ավարտ։
blade	շեղբ	Շեղբը կտրեց պարանը։
blast	պայթյուն	Պայթյունը կոտրեց մոտակա պատուհանները։
bleed	արյունահոսել	Վերքը սկսեց ուժեղ արյունահոսել։
blend	խառնել	Խառնեք սոուսը մինչև հարթ դառնալը։
bless	օրհնել	Քահանան կօրհնի տունը։
blessing	օրհնություն	Աջակցություն ունենալը օրհնություն էր։
boast	պարծենալ	Նա սիրում է պարծենալ փողով։
bonus	բոնուս	Աշխատակիցները տոնական բոնուս ստացան։
boom	վերելք	Քաղաքը ապրեց շինարարական բում։
bounce	ցատկել	Գնդակը կարող է շատ բարձր ցատկել։
boundary	սահման	Գետը նշում է սահմանը։
bow1	խոնարհվել	Դերասանը խորը խոնարհվեց։
breach	խախտում	Խախտումը բացահայտեց անձնական տվյալները։
breakdown	բաշխում	Զեկույցը ներառում է ծախսերի բաշխումը։
breakthrough	բեկում	Հայտնագործությունը մեծ բեկում էր։
breed	բազմանալ	Այս թռչունները բազմանում են գարնանը։
broadband	լայնաշերտ ինտերնետ	Գրասենյակին ավելի արագ լայնաշերտ կապ է պետք։
browser	դիտարկիչ	Մուտք գործելուց առաջ թարմացրեք ձեր դիտարկիչը։
brutal	դաժան	Հարձակումը դաժան էր և հանկարծակի։
buck	դոլար	Տոմսն արժե տասը դոլար։
buddy	ընկեր	Նրա ընկերը սպասում էր դրսում։
buffer	բուֆեր	Ծառերը ստեղծում են աղմուկի բուֆեր։
bulk	մեծաքանակ	Նրանք բրինձը գնեցին մեծաքանակ։
burden	բեռ	Պարտքը դարձավ ծանր բեռ։
bureaucracy	բյուրոկրատիա	Բյուրոկրատիան ուշացրեց թույլտվությունը։
burial	հուղարկավորություն	Հուղարկավորությունը տեղի ունեցավ լուսաբացին։
burst	պայթել	Խողովակը ճնշման տակ կարող է պայթել։
cabinet	կաբինետ	Կառավարությունը հաստատեց ծրագիրը։
calculation	հաշվարկ	Հաշվարկը տևեց մի քանի րոպե։
canvas	կտավ	Նկարիչը նկարեց մեծ կտավի վրա։
capability	հնարավորություն	Սարքն ունի անլար կապի հնարավորություն։
capitalism	կապիտալիզմ	Կապիտալիզմը ձևավորեց ժամանակակից տնտեսությունը։
capitalist	կապիտալիստական	Կապիտալիստական համակարգը խրախուսում է մասնավոր ներդրումները։
cargo	բեռ	Նավը տեղափոխում էր բժշկական բեռ։
carriage	վագոն	Գնացքի վագոնը գրեթե դատարկ էր։
carve	փորագրել	Նա զգուշորեն կփորագրի փայտը։
casino	խաղատուն	Խաղատունը բացվեց հյուրանոցի մոտ։
casualty	զոհ	Վթարը պատճառ դարձավ մեկ զոհի։
catalogue	կատալոգ	Կատալոգը թվարկում է յուրաքանչյուր ապրանք։
cater	սպասարկել	Ռեստորանը կարող է սպասարկել մեծ միջոցառումներ։
cattle	խոշոր եղջերավոր անասուններ	Անասունները արածում էին գետի մոտ։
caution	զգուշություն	Զգույշ եղեք սառցակալած ճանապարհներին։
cautious	զգույշ	Ներդրողներն այս շաբաթ մնում են զգույշ։
cease	դադարեցնել	Գործարանը շուտով կդադարեցնի արտադրությունը։
cemetery	գերեզմանատուն	Գերեզմանատունը նայում է դեպի ծովը։
chamber	պալատ	Քվեարկության ժամանակ դահլիճը լուռ էր։
chaos	քաոս	Ուշացումը օդանավակայանում քաոս առաջացրեց։
characterize	բնութագրել	Փորձագետները ծրագիրը բնութագրում են որպես ռիսկային։
charm	հմայք	Քաղաքն ունի հին աշխարհի հմայք։
charter	կանոնադրություն	Կանոնադրությունը պաշտպանում է հիմնական իրավունքները։
chronic	խրոնիկ	Նա տառապում է մեջքի քրոնիկ ցավից։
chunk	կտոր	Կտրեք պանիրը կտորներով։
circulate	տարածել	Խնդրում ենք այսօր տարածել օրակարգը։
circulation	շրջանառություն	Թերթի տպաքանակը կտրուկ ընկավ։
citizenship	քաղաքացիություն	Նա դիմեց Ֆրանսիայի քաղաքացիության համար։
civic	քաղաքացիական	Հանդիպմանը մասնակցեցին քաղաքացիական առաջնորդները։
civilian	քաղաքացիական անձ	Մի քանի քաղաքացիական տներ վնասվել են։
clarity	պարզություն	Գծապատկերը հստակություն ավելացրեց զեկույցին։
clash	բախում	Բախումը սկսվեց երթից հետո։
classification	դասակարգում	Դասակարգումը կախված է չափից։
cling	կառչել	Թաց հագուստը կպչում է մաշկին։
clinical	կլինիկական	Կլինիկական փորձարկումը սկսվում է հաջորդ ամիս։
closure	փակում	Ընտանիքը ցանկանում էր գործի փակում։
cluster	խումբ	Մոտակայքում մի խումբ տներ կային։
coalition	կոալիցիա	Կոալիցիան կորցրեց իր մեծամասնությունը։
coastal	ափամերձ	Ափամերձ գյուղերը նախապատրաստվեցին ջրհեղեղին։
cocktail	կոկտեյլ	Նա պատվիրեց մրգային կոկտեյլ։
cognitive	ճանաչողական	Ճանաչողական հմտությունները բարելավվում են պրակտիկայի միջոցով։
coincide	համընկնել	Փառատոնը կհամընկնի ավարտական երեկոյի հետ։
collaborate	համագործակցել	Թիմերը համագործակցում են ծրագրային ապահովման շուրջ։
collaboration	համագործակցություն	Նրանց համագործակցությունը տվեց ուժեղ արդյունքներ։
collective	կոլեկտիվ	Որոշումը կոլեկտիվ ջանք էր։
collision	բախում	Բախումը փակել էր մայրուղին։
colonial	գաղութային	Շենքն ունի գաղութային ճարտարապետություն։
columnist	սյունակագիր	Սյունակագիրը քննադատեց քաղաքականությունը։
combat	մարտ	Զինվորները պատրաստվում էին մարտի։
commence	սկսել	Արարողությունը կսկսվի կեսօրին։
commentary	մեկնաբանություն	Խաղի մեկնաբանությունը աշխույժ էր։
commentator	մեկնաբան	Մեկնաբանը բացատրեց որոշումը։
commerce	առևտուր	Առցանց առևտուրը արագորեն աճեց։
commissioner	հանձնակատար	Հանձնակատարը հայտարարեց նոր կանոններ։
commodity	ապրանք	Ցորենը կարևոր ապրանք է։
communist	կոմունիստական	Կոմունիստական կուսակցությունը ժողով անցկացրեց։
companion	ուղեկից	Նրա շունը հավատարիմ ուղեկից է։
comparable	համեմատելի	Երկու քաղաքները չափերով համեմատելի են։
compassion	կարեկցանք	Բուժքույրը մեծ կարեկցանք ցուցաբերեց։
compel	ստիպել	Ապացույցները կարող են ստիպել պատասխան տալ։
compelling	համոզիչ	Վավերագրական ֆիլմը համոզիչ փաստարկ ներկայացրեց։
compensate	փոխհատուցել	Ընկերությունը կփոխհատուցի տուժած հաճախորդներին։
compensation	փոխհատուցում	Աշխատողները արդար փոխհատուցում պահանջեցին։
competence	կոմպետենտություն	Թեստը չափում է մասնագիտական կոմպետենտությունը։
competent	կոմպետենտ	Նա կոմպետենտ ինժեներ է։
compile	կազմել	Հետազոտողները տվյալներ են հավաքում հիվանդանոցներից։
complement	լրացնել	Գինին կլրացնի ճաշը։
complexity	բարդություն	Նախագիծն անսպասելի բարդություն ունի։
compliance	համապատասխանություն	Աուդիտը ստուգեց իրավական համապատասխանությունը։
complication	բարդություն	Վիրահատությունը մեկ բարդություն ունեցավ։
comply	ենթարկվել	Ընկերությունները պետք է ենթարկվեն կանոններին։
composition	ստեղծագործություն	Ստեղծագործությունը ներառում է ջութակ և դաշնամուր։
compromise	փոխզիջում	Փոխզիջումը գոհացրեց երկու կողմերին։
compute	հաշվարկել	Ծրագիրը կարող է հաշվարկել ընդհանուր գումարը։
conceal	թաքցնել	Նա փորձեց թաքցնել վնասը։
concede	ընդունել	Նախարարը հրաժարվեց ընդունել պարտությունը։
conceive	մտածել	Նրանք չէին կարող ավելի լավ ծրագիր մտածել։
conception	հայեցակարգ	Ֆիլմը փոխեց իմ պատկերացումը պատմության մասին։
concession	զիջում	Ընկերությունը մեկ զիջում առաջարկեց։
condemn	դատապարտել	Առաջնորդները հրապարակավ դատապարտում են հարձակումը։
confer	շնորհել	Մրցանակը հեղինակություն կշնորհի։
confession	խոստովանություն	Նրա խոստովանությունը զարմացրեց դատարանին։
configuration	կոնֆիգուրացիա	Կոնֆիգուրացիան վերահսկում է ցանցի մուտքը։
confine	սահմանափակել	Կանոնները սահմանափակում են շներին այս տարածքում։
confirmation	հաստատում	Մենք հաստատում ստացանք էլփոստով։
confront	առերեսվել	Նա որոշեց առերեսվել խնդրի հետ։
confrontation	առճակատում	Առճակատումն ավարտվեց առանց բռնության։
congratulate	շնորհավորել	Ես զանգահարեցի շնորհավորելու քրոջս։
congregation	ժողով	Ժողովը միասին երգեց։
congressional	կոնգրեսի	Կոնգրեսի լսումները տևեցին ժամեր։
conquer	գրավել	Թիմը հույս ունի գրավել շուկան։
conscience	խիղճ	Նրա խիղճը թույլ չէր տա ստել։
consciousness	գիտակցություն	Վթարն ազդել էր նրա գիտակցության վրա։
consecutive	անընդմեջ	Նա հաղթեց երեք անընդմեջ խաղում։
consensus	համաձայնություն	Կոմիտեն արագ համաձայնության եկավ։
consent	համաձայնություն	Գրավոր համաձայնություն է պահանջվում։
conserve	խնայել	Մենք ջուր ենք խնայում երաշտի ժամանակ։
consistency	հետևողականություն	Հետևողականությունը կարևոր է լեզվի ուսումնասիրության մեջ։
consolidate	միավորել	Ընկերությունը կմիավորի երկու գրասենյակ։
constituency	ընտրատարածք	Թեկնածուն այցելեց յուրաքանչյուր ընտրատարածք։
constitute	կազմել	Կանայք կազմում են կոմիտեի կեսը։
constitution	սահմանադրություն	Սահմանադրությունը երաշխավորում է խոսքի ազատություն։
constitutional	սահմանադրական	Դատարանը վերանայեց սահմանադրական իրավունքները։
constraint	սահմանափակում	Բյուջեի սահմանափակումը խանգարեց նախագծին։
consultation	խորհրդակցություն	Խորհրդակցությունը տևեց երկու շաբաթ։
contemplate	խորհել	Նա կանգ առավ առաջարկի շուրջ խորհելու համար։
contempt	արհամարհանք	Նա արհամարհանք ցուցաբերեց կանոնների նկատմամբ։
contend	պայքարել	Մի քանի ընկերություններ պայքարում են պայմանագրի համար։
contender	հավակնորդ	Նա ուժեղ հավակնորդ է։
content2	գոհ	Նա գոհ էր արդյունքից։
contention	վեճ	Հիմնական վեճը վերաբերում է ֆինանսավորմանը։
continually	շարունակաբար	Համակարգը շարունակաբար ստուգում է սխալները։
contractor	կապալառու	Կապալառուն վերանորոգեց տանիքը։
contradiction	հակասություն	Նրա հայտարարությունը հակասություն էր պարունակում։
contrary	հակառակ	Հակառակ ապացույցը փոխեց գործը։
contributor	աջակից	Նա մշտական աջակից է։
conversion	փոխարկում	Փոխարկումը դոլարը փոխեց եվրոյի։
convict	դատապարտել	Երդվյալ ատենակալները կարող են դատապարտել կասկածյալին։
conviction	դատվածություն	Նրա դատապարտումը ցնցեց հասարակությանը։
cooperate	համագործակցել	Խնդրում ենք համագործակցել հետաքննության հետ։
cooperative	համագործակցող	Անձնակազմը համագործակցող և հանգիստ էր։
coordinate	համակարգել	Նրանք ամեն առավոտ համակարգում են առաքումները։
coordination	համակարգում	Լավ համակարգումը ժամանակ խնայեց։
coordinator	համակարգող	Համակարգողը բաշխեց յուրաքանչյուր առաջադրանք։
cop	ոստիկան	Ոստիկանը կանգնած էր կայարանի դրսում։
copper	պղինձ	Խողովակը պատրաստված է պղնձից։
copyright	հեղինակային իրավունք	Պատկերը պաշտպանված է հեղինակային իրավունքով։
correction	ուղղում	Ուսուցիչը մեկ ուղղում արեց։
correlate	փոխկապակցել	Բարձր սթրեսը կարող է փոխկապակցված լինել հիվանդության հետ։
correlation	փոխկապակցվածություն	Ուսումնասիրությունը գտավ ուժեղ փոխկապակցվածություն։
correspond	համապատասխանել	Այս թվերը համապատասխանում են պիտակներին։
correspondence	նամակագրություն	Նրանց նամակագրությունը տևեց տարիներ։
correspondent	թղթակից	Թղթակիցը հաղորդեց Կահիրեից։
corresponding	համապատասխան	Յուրաքանչյուր կոճակ ունի համապատասխան լույս։
corrupt	կոռումպացված	Կոռումպացված պաշտոնյան փող վերցրեց։
corruption	կոռուպցիա	Կոռուպցիան թուլացրեց հանրային վստահությունը։
costly	ծախսատար	Սխալը թանկ արժեցավ թիմի համար։
councillor	խորհրդի անդամ	Խորհրդի անդամը պատասխանեց բնակիչների հարցերին։
counselling	խորհրդատվություն	Նա խորհրդատվություն ստացավ վթարից հետո։
counsellor	խորհրդատու	Խորհրդատուն օգնեց նոր ուսանողներին։
counter (argue against)	հակադարձել	Նա փորձեց հակադարձել նրա փաստարկին։
counterpart	գործընկեր	Նա հանդիպեց իր ճապոնացի գործընկերոջը։
countless	անթիվ	Անթիվ կամավորներ միացան որոնմանը։
coup	հեղաշրջում	Հեղաշրջումը հեռացրեց նախագահին։
courtesy	քաղաքավարություն	Նա շնորհակալություն հայտնեց նրանց քաղաքավարության համար։
