source_headword	HU	example_HU
conserve	megóv	Aszály idején megóvjuk a vizet.
consistency	következetesség	A nyelvtanulásban számít a következetesség.
consolidate	egyesít	A vállalat két irodát fog egyesíteni.
constituency	választókerület	A jelölt minden választókerületet meglátogatott.
constitute	alkot	A nők alkotják a bizottság felét.
constitution	alkotmány	Az alkotmány garantálja a szólásszabadságot.
constitutional	alkotmányos	A bíróság megvizsgálta az alkotmányos jogokat.
constraint	korlát	A költségvetési korlát behatárolta a projektet.
consultation	konzultáció	A konzultáció két hétig tartott.
contemplate	mérlegel	Megállt, hogy mérlegelje az ajánlatot.
contempt	megvetés	Megvetést mutatott a szabályok iránt.
contend	verseng	Több cég verseng a szerződésért.
contender	versenyző	Ő egy erős versenyző.
content2	elégedett	Elégedett volt az eredménnyel.
contention	vita	A fő vita a finanszírozásról szól.
continually	folyamatosan	A rendszer folyamatosan ellenőrzi a hibákat.
contractor	vállalkozó	A vállalkozó megjavította a tetőt.
contradiction	ellentmondás	A kijelentése ellentmondást tartalmazott.
contrary	ellentétes	Az ellentétes bizonyíték megváltoztatta az ügyet.
contributor	közreműködő	Ő egy rendszeres közreműködő.
conversion	átváltás	Az átváltás során dollárt euróra cseréltek.
convict	elítél	Az esküdtszék elítélheti a gyanúsítottat.
conviction	elítélés	Az elítélése sokkolta a közvéleményt.
cooperate	együttműködik	Kérjük, működjön együtt a nyomozással.
cooperative	együttműködő	A személyzet együttműködő és nyugodt volt.
coordinate	koordinál	Minden reggel koordinálják a szállításokat.
coordination	koordináció	A jó koordináció időt takarított meg.
coordinator	koordinátor	A koordinátor kiosztotta az összes feladatot.
cop	zsaru	Egy zsaru állt az állomás előtt.
copper	réz	A cső rézből készült.
copyright	szerzői jog	A képet szerzői jog védi.
correction	javítás	A tanár egy javítást végzett.
correlate	összefügg	A magas stressz összefügghet a betegséggel.
correlation	összefüggés	A tanulmány erős összefüggést talált.
correspond	megfelel	Ezek a számok megfelelnek a címkéknek.
correspondence	levelezés	A levelezésük évekig tartott.
correspondent	tudósító	A tudósító Kairóból jelentkezett.
corresponding	megfelelő	Minden gombnak van egy megfelelő lámpája.
corrupt	korrupt	A korrupt tisztviselő pénzt fogadott el.
corruption	korrupció	A korrupció gyengítette a közbizalmat.
costly	költséges	A hiba költséges volt a csapat számára.
councillor	tanácsnok	A tanácsnok válaszolt a lakosok kérdéseire.
counselling	tanácsadás	Tanácsadásban részesült a baleset után.
counsellor	tanácsadó	A tanácsadó segített az új diákoknak.
counter (argue against)	ellenez	Megpróbálta ellenezni az érvelését.
counterpart	kolléga	Találkozott japán kollégájával.
countless	számtalan	Számtalan önkéntes csatlakozott a kereséshez.
coup	puccs	A puccs eltávolította az elnököt.
courtesy	udvariasság	Megköszönte nekik az udvariasságukat.
