hsk_key	source_word	simplified	JA	example_JA	KO	example_KO	VI	example_VI	TH	example_TH	MS	example_MS	ID	example_ID
3625:保修	保修	保修	保証修理する	このパソコンは1年間無料で保証修理できる。	무상 보증 수리하다	이 컴퓨터는 일 년 동안 무료 보증 수리를 받을 수 있다.	sửa chữa theo bảo hành	Máy tính này có thể được sửa chữa miễn phí theo bảo hành trong một năm.	ซ่อมตามประกัน	คอมพิวเตอร์เครื่องนี้ซ่อมฟรีตามประกันได้หนึ่งปี	membaiki di bawah jaminan	Komputer ini boleh dibaiki secara percuma di bawah jaminan selama setahun.	memperbaiki dalam garansi	Komputer ini dapat diperbaiki gratis dalam garansi selama satu tahun.
3627:爆	爆	爆	破裂する; 爆発する	風船が突然破裂した。	터지다; 폭발하다	풍선이 갑자기 터졌다.	nổ; vỡ tung	Quả bóng bay đột nhiên nổ tung.	ระเบิด; แตก	ลูกโป่งแตกขึ้นมาทันที	meletup; pecah	Belon itu tiba-tiba pecah.	meletus; pecah	Balon itu tiba-tiba pecah.
3629:报刊	报刊	报刊	新聞・雑誌	図書館には中国語の新聞や雑誌がたくさんある。	신문과 정기간행물	도서관에는 중국어 신문과 정기간행물이 많다.	báo chí và tạp chí	Trong thư viện có nhiều báo và tạp chí tiếng Trung.	หนังสือพิมพ์และวารสาร	ในห้องสมุดมีหนังสือพิมพ์และวารสารภาษาจีนจำนวนมาก	akhbar dan majalah berkala	Perpustakaan itu mempunyai banyak akhbar dan majalah berkala berbahasa Cina.	surat kabar dan majalah berkala	Perpustakaan itu memiliki banyak surat kabar dan majalah berkala berbahasa Mandarin.
3635:悲剧	悲剧	悲剧	悲劇	この事故は悲劇だった。	비극	이 사고는 비극이었다.	bi kịch	Vụ tai nạn này là một bi kịch.	โศกนาฏกรรม	อุบัติเหตุครั้งนี้เป็นโศกนาฏกรรม	tragedi	Kemalangan ini ialah satu tragedi.	tragedi	Kecelakaan ini adalah sebuah tragedi.
3636:悲伤	悲伤	悲伤	悲しい; 悲しんでいる	その知らせを聞いて、彼はとても悲しんだ。	슬프다; 비통하다	그 소식을 듣고 그는 매우 슬퍼했다.	buồn; đau buồn	Nghe tin này, anh ấy rất buồn.	เศร้า; โศกเศร้า	เมื่อได้ยินข่าวนี้ เขารู้สึกเศร้ามาก	sedih; pilu	Selepas mendengar berita itu, dia sangat sedih.	sedih; berduka	Setelah mendengar berita itu, dia sangat sedih.
3638:北美洲	北美洲	北美洲	北アメリカ	カナダは北アメリカに位置している。	북아메리카	캐나다는 북아메리카에 위치해 있다.	Bắc Mỹ	Canada nằm ở Bắc Mỹ.	อเมริกาเหนือ	แคนาดาตั้งอยู่ในอเมริกาเหนือ	Amerika Utara	Kanada terletak di Amerika Utara.	Amerika Utara	Kanada terletak di Amerika Utara.
3640:被迫	被迫	被迫	余儀なくされる; 強いられる	大雨のため、試合は中止を余儀なくされた。	강요받다; 어쩔 수 없이 하다	큰비 때문에 경기는 어쩔 수 없이 취소되었다.	bị buộc; buộc phải	Vì mưa lớn, trận đấu buộc phải hủy.	ถูกบังคับ; จำเป็นต้อง	เพราะฝนตกหนัก การแข่งขันจึงถูกบังคับให้ยกเลิก	terpaksa	Disebabkan hujan lebat, perlawanan itu terpaksa dibatalkan.	terpaksa; dipaksa	Karena hujan lebat, pertandingan itu terpaksa dibatalkan.
3641:背心	背心	背心	タンクトップ; ベスト	夏、彼はよくタンクトップを着ている。	민소매 셔츠; 조끼	여름에 그는 자주 민소매 셔츠를 입는다.	áo ba lỗ	Mùa hè anh ấy thường mặc áo ba lỗ.	เสื้อกล้าม	ฤดูร้อนเขามักใส่เสื้อกล้าม	singlet; baju tanpa lengan	Pada musim panas, dia sering memakai singlet.	kaus tanpa lengan; singlet	Pada musim panas, dia sering memakai kaus tanpa lengan.
3642:备用	备用	备用	予備の; バックアップ用	予備の鍵を1本用意してください。	여분의; 예비용	여분의 열쇠 하나를 준비해 주세요.	dự phòng	Hãy chuẩn bị một chiếc chìa khóa dự phòng.	สำรอง	กรุณาเตรียมกุญแจสำรองไว้หนึ่งดอก	simpanan; sandaran	Sila sediakan satu kunci simpanan.	cadangan; untuk digunakan sebagai cadangan	Tolong siapkan satu kunci cadangan.
3643:倍增	倍增	倍增	倍増する	今年の注文数は大きく倍増した。	크게 늘다; 배가되다	올해 주문 수량이 크게 늘었다.	tăng gấp bội	Số lượng đơn đặt hàng năm nay tăng gấp bội.	เพิ่มขึ้นหลายเท่า	จำนวนคำสั่งซื้อปีนี้เพิ่มขึ้นหลายเท่า	meningkat berlipat ganda	Jumlah pesanan tahun ini meningkat berlipat ganda.	meningkat berlipat ganda	Jumlah pesanan tahun ini meningkat berlipat ganda.
3644:奔跑	奔跑	奔跑	走る; 駆ける	子どもが運動場で走っている。	달리다	아이가 운동장에서 달리고 있다.	chạy	Đứa trẻ đang chạy trên sân chơi.	วิ่ง	เด็กกำลังวิ่งอยู่ในสนาม	berlari	Kanak-kanak itu berlari di padang sekolah.	berlari	Anak itu berlari di lapangan sekolah.
3647:本土	本土	本土	地元の; 本土	この会社は地元文化を重視している。	현지의; 본토	이 회사는 현지 문화를 중시한다.	bản địa; địa phương	Công ty này coi trọng văn hóa địa phương.	ท้องถิ่น; แผ่นดินเดิม	บริษัทนี้ให้ความสำคัญกับวัฒนธรรมท้องถิ่น	tempatan; tanah asal	Syarikat ini mementingkan budaya tempatan.	lokal; tanah asal	Perusahaan ini menghargai budaya lokal.
3648:逼	逼	逼	無理にさせる; 迫る	子どもに嫌いなことを無理にさせないでください。	강요하다; 몰아붙이다	아이에게 싫어하는 일을 강요하지 마세요.	ép buộc; thúc ép	Đừng ép trẻ làm những việc chúng không thích.	บังคับ; กดดัน	อย่าบังคับเด็กให้ทำสิ่งที่ไม่ชอบ	memaksa; mendesak	Jangan paksa anak melakukan perkara yang tidak disukainya.	memaksa; menekan	Jangan memaksa anak melakukan hal yang tidak disukainya.
3651:闭	闭	闭	閉める; 閉じる	ドアを閉めてください。	닫다	문을 닫아 주세요.	đóng; khép	Vui lòng đóng cửa lại.	ปิด	กรุณาปิดประตู	menutup	Sila tutup pintu.	menutup	Tolong tutup pintunya.
3652:避	避	避	避ける	車を運転するときはラッシュアワーを避けなさい。	피하다	운전할 때는 출퇴근 시간을 피해야 한다.	tránh	Khi lái xe, cần tránh giờ cao điểm.	หลีกเลี่ยง	เวลาขับรถควรหลีกเลี่ยงชั่วโมงเร่งด่วน	mengelak; menghindari	Semasa memandu, elakkan waktu puncak.	menghindari	Saat mengemudi, hindari jam sibuk.
3653:必修	必修	必修	必修の; 必須	この授業は大学1年生の必修科目だ。	필수의; 필수 과목	이 과목은 대학 일학년의 필수 과목이다.	bắt buộc; môn bắt buộc	Môn này là môn bắt buộc cho sinh viên năm nhất đại học.	บังคับ; วิชาบังคับ	วิชานี้เป็นวิชาบังคับของนักศึกษามหาวิทยาลัยปีหนึ่ง	wajib; kursus wajib	Kursus ini wajib untuk pelajar tahun pertama universiti.	wajib; mata kuliah wajib	Mata kuliah ini wajib bagi mahasiswa tahun pertama.
3654:编	编	编	編集する; 編む	彼は中国語教材を1冊編集中だ。	엮다; 편집하다	그는 중국어 교재 한 권을 엮고 있다.	biên soạn; chỉnh sửa	Anh ấy đang biên soạn một giáo trình tiếng Trung.	เรียบเรียง; แก้ไข	เขากำลังเรียบเรียงตำราเรียนภาษาจีนเล่มหนึ่ง	menyusun; menyunting	Dia sedang menyusun sebuah buku teks bahasa Cina.	menyusun; mengedit	Dia sedang menyusun sebuah buku ajar bahasa Mandarin.
3656:编写	编写	编写	編んで書く; 作成する	先生は練習問題集を作成した。	엮어 쓰다; 작성하다	선생님은 연습 문제 한 세트를 작성했다.	biên soạn và viết	Giáo viên đã biên soạn một bộ bài tập.	เรียบเรียงและเขียน	ครูเรียบเรียงชุดแบบฝึกหัดหนึ่งชุด	menyusun dan menulis	Guru itu menyusun satu set latihan.	menyusun dan menulis	Guru itu menyusun satu set latihan.
3657:遍地	遍地	遍地	至る所に; 一面に	春の公園には至る所に花が咲いている。	곳곳에; 온 땅에	봄에는 공원 곳곳에 꽃이 가득하다.	khắp nơi; đầy khắp	Mùa xuân, hoa nở khắp công viên.	ทุกที่; เต็มไปทั่ว	ฤดูใบไม้ผลิในสวนสาธารณะมีดอกไม้เต็มไปทั่ว	di merata tempat	Pada musim bunga, bunga ada di merata tempat di taman.	di mana-mana; memenuhi tempat	Pada musim semi, bunga ada di mana-mana di taman.
3658:便捷	便捷	便捷	便利な; 手軽な	この支払い方法はとても便利だ。	편리한	이 결제 방식은 매우 편리하다.	tiện lợi	Phương thức thanh toán này rất tiện lợi.	สะดวก	วิธีชำระเงินนี้สะดวกมาก	mudah; praktikal	Kaedah pembayaran ini sangat mudah.	mudah; praktis	Metode pembayaran ini sangat praktis.
3660:兵	兵	兵	兵士	この兵士は国境で勤務している。	병사; 군인	이 병사는 국경에서 복무하고 있다.	binh sĩ; lính	Người lính này phục vụ ở biên giới.	ทหาร	ทหารคนนี้ประจำการอยู่ที่ชายแดน	askar	Askar ini bertugas di sempadan.	prajurit; tentara	Prajurit ini bertugas di perbatasan.
3662:播	播	播	放送する; 流す	テレビ局は今夜このドキュメンタリーを放送する。	방송하다; 틀다	방송국은 오늘 밤 이 다큐멘터리를 방송한다.	phát sóng; phát	Đài truyền hình sẽ phát sóng bộ phim tài liệu này tối nay.	ออกอากาศ; เปิด	สถานีโทรทัศน์จะออกอากาศสารคดีเรื่องนี้คืนนี้	menyiarkan; memainkan	Stesen TV akan menyiarkan dokumentari ini malam ini.	menyiarkan; memutar	Stasiun TV akan menyiarkan dokumenter ini malam ini.
3670:不适	不适	不适	体調不良; 不快感	薬を飲んだ後、彼は体調不良を感じた。	몸이 불편함; 불쾌감	약을 먹은 뒤 그는 몸이 불편하다고 느꼈다.	khó chịu; không khỏe	Sau khi uống thuốc, anh ấy cảm thấy không khỏe.	ไม่สบาย; ความไม่สบายตัว	หลังจากกินยาแล้ว เขารู้สึกไม่สบายตัว	tidak sihat; rasa tidak selesa	Selepas makan ubat, dia berasa tidak sihat.	tidak enak badan; ketidaknyamanan	Setelah minum obat, dia merasa tidak enak badan.
3671:不至于	不至于	不至于	そこまでではない	この小さなミスは結果に影響するほどではない。	그 정도는 아니다	이 작은 실수는 결과에 영향을 줄 정도는 아니다.	chưa đến mức; không đến nỗi	Lỗi nhỏ này chưa đến mức ảnh hưởng đến kết quả.	ไม่ถึงขั้นนั้น	ความผิดพลาดเล็กน้อยนี้ไม่ถึงขั้นกระทบผลลัพธ์	tidak sampai begitu	Kesilapan kecil ini tidak sampai menjejaskan hasilnya.	tidak sampai begitu	Kesalahan kecil ini tidak sampai memengaruhi hasil.
3672:补	补	补	補う; 繕う	この報告書にはまだデータを少し補う必要がある。	보충하다; 고치다	이 보고서는 아직 데이터를 좀 보충해야 한다.	bổ sung; vá	Báo cáo này vẫn cần bổ sung thêm một số dữ liệu.	เติม; ซ่อมแซม	รายงานนี้ยังต้องเติมข้อมูลบางส่วน	menambah; membaiki	Laporan ini masih perlu ditambah beberapa data.	menambah; memperbaiki	Laporan ini masih perlu ditambahkan beberapa data.
3673:捕	捕	捕	捕まえる; 捕獲する	警察はすぐに容疑者を捕まえた。	잡다; 체포하다	경찰은 곧 용의자를 잡았다.	bắt; bắt giữ	Cảnh sát nhanh chóng bắt được nghi phạm.	จับ; จับกุม	ตำรวจจับผู้ต้องสงสัยได้อย่างรวดเร็ว	menangkap	Polis segera menangkap suspek itu.	menangkap	Polisi segera menangkap tersangka itu.
3675:补课	补课	补课	補習する; 欠席分を補う	彼は病気の後、補習を受ける必要がある。	보충 수업을 하다	그는 아픈 뒤 보충 수업을 받아야 한다.	học bù	Sau khi bị ốm, anh ấy cần học bù.	เรียนชดเชย	หลังจากป่วย เขาต้องเรียนชดเชย	mengganti pelajaran	Selepas sakit, dia perlu mengganti pelajaran.	mengganti pelajaran	Setelah sakit, dia perlu mengganti pelajaran.
3677:补习	补习	补习	補習を受ける; 個別指導を受ける	彼女は週末に数学の補習を受けに行く。	보충 수업을 받다; 과외하다	그녀는 주말에 수학 보충 수업을 받으러 간다.	học thêm; phụ đạo	Cuối tuần cô ấy đi học thêm toán.	เรียนพิเศษ	เธอไปเรียนพิเศษคณิตศาสตร์ในวันหยุดสุดสัปดาห์	mengikuti kelas tambahan	Dia mengikuti kelas tambahan matematik pada hujung minggu.	mengikuti les tambahan	Dia mengikuti les matematika pada akhir pekan.
3680:不曾	不曾	不曾	かつてない; 一度もない	私はそのことを一度も聞いたことがない。	한 번도 ...한 적이 없다	나는 그 일을 한 번도 들어 본 적이 없다.	chưa từng; chưa bao giờ	Tôi chưa từng nghe nói về việc này.	ไม่เคย	ฉันไม่เคยได้ยินเรื่องนี้มาก่อน	tidak pernah	Saya tidak pernah mendengar perkara ini.	tidak pernah	Saya tidak pernah mendengar hal ini.
3681:不成	不成	不成	うまくいかない; 成り立たない	このやり方では恐らくうまくいかない。	안 되다; 실패하다	이렇게 하면 아마 안 될 것이다.	không được; thất bại	Làm như vậy e rằng không được.	ไม่สำเร็จ; ใช้ไม่ได้	ทำแบบนี้เกรงว่าจะไม่สำเร็จ	tidak menjadi; gagal	Cara begini mungkin tidak menjadi.	tidak berhasil; gagal	Cara seperti ini mungkin tidak berhasil.
3682:不得	不得	不得	してはならない; 許されない	公共の場所では喫煙してはならない。	해서는 안 되다; 허용되지 않다	공공장소에서는 흡연해서는 안 된다.	không được; không được phép	Không được hút thuốc ở nơi công cộng.	ห้าม; ไม่อนุญาต	ห้ามสูบบุหรี่ในสถานที่สาธารณะ	tidak boleh; dilarang	Merokok tidak dibenarkan di tempat awam.	tidak boleh; dilarang	Merokok tidak diperbolehkan di tempat umum.
3683:部队	部队	部队	部隊; 軍の部隊	この部隊は山岳地帯で訓練している。	부대; 군부대	이 부대는 산악 지역에서 훈련하고 있다.	đơn vị quân đội; quân đội	Đơn vị quân đội này đang huấn luyện ở vùng núi.	หน่วยทหาร; กองทหาร	หน่วยทหารนี้กำลังฝึกอยู่ในเขตภูเขา	pasukan tentera; unit tentera	Unit tentera ini sedang berlatih di kawasan pergunungan.	pasukan tentara; unit militer	Unit militer ini sedang berlatih di daerah pegunungan.
3687:不许	不许	不许	許さない; してはいけない	ここでは駐車してはいけない。	허락하지 않다; 금지하다	여기서는 주차가 허용되지 않는다.	không cho phép; cấm	Ở đây không cho phép đỗ xe.	ไม่อนุญาต; ห้าม	ที่นี่ไม่อนุญาตให้จอดรถ	tidak membenarkan; dilarang	Tempat letak kereta tidak dibenarkan di sini.	tidak mengizinkan; dilarang	Parkir tidak diperbolehkan di sini.
3688:不宜	不宜	不宜	適さない; 望ましくない	食後すぐに運動するのは望ましくない。	적합하지 않다; 바람직하지 않다	식후 바로 운동하는 것은 바람직하지 않다.	không thích hợp; không nên	Không nên tập thể dục ngay sau bữa ăn.	ไม่เหมาะ; ไม่ควร	หลังอาหารไม่ควรออกกำลังกายทันที	tidak sesuai; tidak digalakkan	Tidak digalakkan bersenam sebaik sahaja makan.	tidak sesuai; tidak dianjurkan	Tidak dianjurkan berolahraga segera setelah makan.
3689:不已	不已	不已	やまない; しきりに	よい知らせを聞いて、みんなは興奮してやまなかった。	그치지 않다; 몹시	좋은 소식을 듣고 모두가 몹시 흥분했다.	không ngừng; vô cùng	Nghe tin tốt, mọi người vô cùng xúc động.	ไม่หยุด; อย่างมาก	เมื่อได้ยินข่าวดี ทุกคนตื่นเต้นอย่างมาก	tidak berhenti; amat	Setelah mendengar berita baik itu, semua orang amat teruja.	tak henti-hentinya; sangat	Setelah mendengar kabar baik itu, semua orang sangat bersemangat.
3693:猜测	猜测	猜测	推測する; 憶測する	彼はただ推測しているだけで、まだ証拠はない。	추측하다; 짐작하다	그는 그저 추측할 뿐 아직 증거가 없다.	đoán; suy đoán	Anh ấy chỉ đang suy đoán, vẫn chưa có bằng chứng.	เดา; คาดเดา	เขาแค่คาดเดา ยังไม่มีหลักฐาน	meneka; membuat spekulasi	Dia hanya meneka dan belum ada bukti.	menebak; berspekulasi	Dia hanya menebak dan belum memiliki bukti.
3696:才华	才华	才华	才能; 才華	彼女は音楽の面でとても才能がある。	재능; 재주	그녀는 음악 방면에 재능이 많다.	tài năng; năng khiếu	Cô ấy rất có tài năng về âm nhạc.	พรสวรรค์; ความสามารถ	เธอมีพรสวรรค์ด้านดนตรีมาก	bakat; kebolehan	Dia sangat berbakat dalam bidang muzik.	bakat; talenta	Dia memiliki bakat besar dalam musik.
3697:才能	才能	才能	能力; 才能	このプロジェクトには管理能力が必要だ。	재능; 능력	이 프로젝트에는 관리 능력이 필요하다.	năng lực; tài năng	Dự án này cần năng lực quản lý.	ความสามารถ	โครงการนี้ต้องการความสามารถด้านการจัดการ	kebolehan; bakat	Projek ini memerlukan kebolehan pengurusan.	kemampuan; bakat	Proyek ini membutuhkan kemampuan manajemen.
3699:财物	财物	财物	財物; 所持品	個人の所持品をきちんと管理してください。	재물; 소지품	개인 소지품을 잘 보관해 주세요.	tài sản; đồ đạc cá nhân	Vui lòng giữ gìn tài sản cá nhân cẩn thận.	ทรัพย์สิน; ของมีค่า	กรุณาดูแลทรัพย์สินส่วนตัวให้ดี	harta benda; barang milik	Sila jaga harta benda peribadi anda dengan baik.	harta benda; barang pribadi	Mohon jaga barang pribadi Anda dengan baik.
3700:材质	材质	材质	素材; 質感	この服の素材はとても心地よい。	재질; 소재	이 옷의 재질은 매우 편안하다.	chất liệu; kết cấu	Chất liệu của bộ quần áo này rất thoải mái.	วัสดุ; เนื้อวัสดุ	วัสดุของเสื้อผ้าชิ้นนี้ใส่สบายมาก	bahan; tekstur	Bahan pakaian ini sangat selesa.	bahan; tekstur	Bahan pakaian ini sangat nyaman.
3707:参展	参展	参展	出展する; 展示会に参加する	会社は今年初めて出展する。	전시에 참가하다	회사는 올해 처음으로 전시에 참가한다.	tham gia triển lãm	Năm nay công ty lần đầu tham gia triển lãm.	เข้าร่วมงานแสดงสินค้า	บริษัทเข้าร่วมงานแสดงสินค้าเป็นครั้งแรกในปีนี้	menyertai pameran	Syarikat itu menyertai pameran buat kali pertama tahun ini.	berpartisipasi dalam pameran	Perusahaan itu mengikuti pameran untuk pertama kalinya tahun ini.
3710:草原	草原	草原	草原; そうげん	夏の草原はとても美しい。	초원	여름의 초원은 매우 아름답다.	thảo nguyên; đồng cỏ	Thảo nguyên mùa hè rất đẹp.	ทุ่งหญ้า	ทุ่งหญ้าในฤดูร้อนสวยงามมาก	padang rumput; prairie	Padang rumput pada musim panas sangat indah.	padang rumput; prairi	Padang rumput pada musim panas sangat indah.
3711:侧	侧	侧	側; 側面	彼は道の左側に立っていた。	쪽; 측면	그는 길의 왼쪽에 서 있었다.	bên; phía	Anh ấy đứng ở bên trái con đường.	ด้าน; ข้าง	เขายืนอยู่ด้านซ้ายของถนน	sebelah; sisi	Dia berdiri di sebelah kiri jalan.	sisi; sebelah	Dia berdiri di sisi kiri jalan.
3716:层面	层面	层面	レベル; 側面	この問題は法律の側面から分析する必要がある。	차원; 측면	이 문제는 법률적 차원에서 분석해야 한다.	cấp độ; khía cạnh	Vấn đề này cần được phân tích từ khía cạnh pháp lý.	ระดับ; แง่มุม	ปัญหานี้ต้องวิเคราะห์จากแง่มุมทางกฎหมาย	tahap; aspek	Isu ini perlu dianalisis dari aspek undang-undang.	tingkat; aspek	Masalah ini perlu dianalisis dari aspek hukum.
3717:叉	叉	叉	フォーク	ウェイターは私にフォークを1本くれた。	포크	종업원이 나에게 포크 하나를 주었다.	cái nĩa	Người phục vụ đưa cho tôi một cái nĩa.	ส้อม	พนักงานเสิร์ฟให้ส้อมฉันหนึ่งคัน	garpu	Pelayan memberi saya sebatang garpu.	garpu	Pelayan memberi saya sebuah garpu.
3718:差异	差异	差异	違い; 差異	南北の気候の違いは大きい。	차이; 격차	남북의 기후 차이가 매우 크다.	khác biệt; chênh lệch	Sự khác biệt khí hậu giữa miền bắc và miền nam rất lớn.	ความแตกต่าง	สภาพอากาศระหว่างเหนือกับใต้แตกต่างกันมาก	perbezaan; jurang	Perbezaan iklim antara utara dan selatan sangat besar.	perbedaan; kesenjangan	Perbedaan iklim antara utara dan selatan sangat besar.
3720:查询	查询	查询	調べる; 問い合わせる	オンラインでフライト情報を調べられる。	조회하다; 문의하다	온라인에서 항공편 정보를 조회할 수 있다.	tra cứu; hỏi	Bạn có thể tra cứu thông tin chuyến bay trên mạng.	ค้นหา; สอบถาม	คุณสามารถค้นหาข้อมูลเที่ยวบินทางออนไลน์ได้	menyemak; mencari	Anda boleh menyemak maklumat penerbangan dalam talian.	mencari; mengecek	Anda dapat mencari informasi penerbangan secara online.
3721:拆除	拆除	拆除	取り壊す; 撤去する	この古い橋は来月取り壊される。	철거하다; 해체하다	이 오래된 다리는 다음 달에 철거될 예정이다.	tháo dỡ; phá bỏ	Cây cầu cũ này sẽ bị tháo dỡ vào tháng tới.	รื้อถอน; เอาออก	สะพานเก่าแห่งนี้จะถูกรื้อถอนในเดือนหน้า	merobohkan; menanggalkan	Jambatan lama ini akan dirobohkan bulan depan.	membongkar; merobohkan	Jembatan tua ini akan dibongkar bulan depan.
3722:产出	产出	产出	産出する; 生産する	この土地は毎年多くの穀物を産出する。	생산하다; 산출하다	이 땅은 매년 많은 곡식을 생산한다.	sản xuất; tạo ra	Mảnh đất này mỗi năm sản xuất nhiều lương thực.	ผลิต; ให้ผลผลิต	ที่ดินผืนนี้ผลิตธัญพืชจำนวนมากทุกปี	menghasilkan	Tanah ini menghasilkan banyak bijirin setiap tahun.	menghasilkan	Tanah ini menghasilkan banyak bahan pangan setiap tahun.
3723:产地	产地	产地	産地; 原産地	このお茶の産地は雲南だ。	산지; 원산지	이 차의 산지는 윈난이다.	nơi sản xuất; xuất xứ	Nơi xuất xứ của loại trà này là Vân Nam.	แหล่งผลิต; แหล่งกำเนิด	แหล่งผลิตของชาชนิดนี้อยู่ที่ยูนนาน	tempat asal; kawasan pengeluaran	Tempat asal teh ini ialah Yunnan.	daerah asal; tempat produksi	Daerah asal teh ini berada di Yunnan.
3724:肠	肠	肠	腸	医者は彼の腸を検査した。	장; 창자	의사가 그의 장을 검사했다.	ruột	Bác sĩ đã kiểm tra ruột của anh ấy.	ลำไส้	แพทย์ตรวจลำไส้ของเขา	usus	Doktor memeriksa ususnya.	usus	Dokter memeriksa ususnya.
3725:长短	长短	长短	長さ; 長短	この2本のロープは長さが違う。	길이; 길고 짧음	이 두 줄은 길이가 다르다.	độ dài; dài ngắn	Hai sợi dây này khác nhau về độ dài.	ความยาว; สั้นยาว	เชือกสองเส้นนี้มีความยาวต่างกัน	panjang pendek; ukuran panjang	Kedua-dua tali ini berbeza panjangnya.	panjang pendek; ukuran panjang	Kedua tali ini berbeda panjangnya.
