simplified	DA	example_DA	FI	example_FI	CS	example_CS	SK	example_SK
报名	at tilmelde sig; tilmelding	Hvilke materialer er nødvendige for tilmeldingen?	ilmoittautua; ilmoittautuminen	Mitä asiakirjoja ilmoittautumiseen tarvitaan?	přihlásit se; přihláška	Jaké materiály jsou potřeba k registraci?	prihlásiť sa; prihláška	Aké materiály sú potrebné na registráciu?
抱	at holde; at bære i armene; at kramme	Han løftede barnet op i armene.	pidellä sylissä; halata	Hän nosti lapsen syliinsä.	držet v náručí; obejmout	Zvedl dítě do náruče.	držať v náručí; objať	Zdvihol dieťa do náručia.
抱歉	undskyld; at være ked af det	Jeg er meget ked af at have ladet Dem vente så længe.	pahoillaan; anteeksi	Olen hyvin pahoillani, että jouduitte odottamaan näin kauan.	promiňte; litovat	Velmi se omlouvám, že jste musel tak dlouho čekat.	prepáčte; ľutovať	Veľmi sa ospravedlňujem, že ste museli tak dlho čakať.
倍	gange; dobbelt	Antallet af internationale studerende på vores skole er fordoblet i forhold til sidste år.	kertaa; kaksinkertainen	Koulumme kansainvälisten opiskelijoiden määrä on kaksinkertaistunut viime vuodesta.	krát; dvojnásobek	Počet zahraničních studentů na naší škole se oproti loňsku zdvojnásobil.	krát; dvojnásobok	Počet zahraničných študentov na našej škole sa oproti minulému roku zdvojnásobil.
本来	oprindeligt; egentlig	Jeg skulle egentlig se forestillingen, men der kom pludselig noget i vejen.	alun perin; oikeastaan	Minun piti alun perin mennä katsomaan esitystä, mutta yhtäkkiä tuli muuta menoa.	původně; vlastně	Původně jsem šel na představení, ale najednou mi do toho něco přišlo.	pôvodne; vlastne	Pôvodne som mal ísť na predstavenie, ale zrazu mi do toho niečo prišlo.
笨	dum; klodset	Du er ikke dum, du skal bare arbejde hårdere.	tyhmä; hölmö	Et ole tyhmä, sinun täytyy vain yrittää enemmän.	hloupý; nešikovný	Nejsi hloupý, jen se musíš víc snažit.	hlúpy; nešikovný	Nie si hlúpy, len sa musíš viac snažiť.
比如	for eksempel	Jeg har mange hobbyer, for eksempel svømning og læsning.	esimerkiksi	Minulla on monia harrastuksia, esimerkiksi uiminen ja lukeminen.	například	Mám mnoho koníčků, například plavání a čtení.	napríklad	Mám veľa koníčkov, napríklad plávanie a čítanie.
毕业	at blive færdiguddannet; dimission	Jeg går på tredje år i år og bliver færdig næste år.	valmistua; valmistuminen	Olen tänä vuonna kolmannella vuosikurssilla ja valmistun ensi vuonna.	absolvovat; promovat	Letos jsem ve třetím ročníku a příští rok absolvuji.	absolvovať; promovať	Tento rok som v treťom ročníku a budúci rok skončím školu.
遍	en gang; én omgang	Han forklarede sagen igen én gang.	kerta; kerran	Hän kertoi asian uudelleen kerran.	jednou; jedenkrát	Zopakoval tu věc ještě jednou.	raz; jedenkrát	Zopakoval tú vec ešte raz.
标准	en standard; standard	Dit mandarin lyder meget standard.	standardi; vakiomuotoinen	Mandariinikiinasi on hyvin standardin mukaista.	standard; standardní	Tvoje mandarínština je velmi standardní.	štandard; štandardný	Tvoja mandarínčina je veľmi štandardná.
表格	en formular; en tabel	Udfyld venligst Deres navn i formularen.	lomake; taulukko	Täyttäkää nimenne lomakkeeseen.	formulář; tabulka	Vyplňte prosím své jméno do formuláře.	formulár; tabuľka	Prosím, vyplňte svoje meno do formulára.
表示	at udtrykke; at vise	Vær venlig at takke ham.	ilmaista; osoittaa	Kiitä häntä, ole hyvä.	vyjádřit; ukázat	Prosím, vyjádřete mu poděkování.	vyjadriť; ukázať	Prosím, vyjadrite mu poďakovanie.
表演	at optræde; en optræden	Hvilket nummer skal I optræde med?	esiintyä; esitys	Minkä ohjelmanumeron aiotte esittää?	vystupovat; představení	Jaké číslo budete předvádět?	vystupovať; predstavenie	Aké číslo budete predvádzať?
表扬	at rose; ros	Han får ofte ros af rektoren.	kehua; kiitos	Häntä kehuu usein koulun rehtori.	chválit; pochvala	Ředitel ho často chválí.	chváliť; pochvala	Riaditeľ ho často chváli.
饼干	en småkage; en kiks	Jeg har købt småkager, tag lidt.	keksi; keksi	Ostin keksejä, ota vähän.	sušenka; keks	Koupil jsem sušenky, dejte si trochu.	sušienka; keks	Kúpil som sušienky, dajte si trochu.
并且	desuden; og	Hun er meget klog og arbejder meget hårdt.	ja lisäksi; sekä	Hän on hyvin älykäs ja tekee paljon töitä.	a navíc; a také	Je velmi chytrá a navíc velmi pracovitá.	a navyše; a tiež	Je veľmi múdra a navyše veľmi usilovná.
博士	en doktor; en ph.d.	Lad mig præsentere jer, dette er Dr. Li.	tohtori; tohtorintutkinto	Annanpa esitellä, tässä on tohtori Li.	doktor; Ph.D.	Dovolte mi představit, toto je doktor Li.	doktor; PhD	Dovoľte mi predstaviť, toto je doktor Li.
不过	men; dog	Han er fremragende, men han opfylder ikke virksomhedens ansættelseskrav.	mutta; kuitenkin	Hän on erinomainen, mutta ei täytä yrityksen rekrytointiehtoja.	ale; nicméně	Je výborný, ale nesplňuje náborové požadavky firmy.	ale; avšak	Je výborný, ale nespĺňa náborové požiadavky firmy.
不得不	at være nødt til	Det regner kraftigt udenfor, så jeg er nødt til at blive hjemme.	olla pakko	Ulkona sataa rankasti, joten minun täytyy jäädä kotiin.	muset; být nucen	Venku silně prší, takže musím zůstat doma.	musieť; byť nútený	Vonku silno prší, takže musím zostať doma.
不管	uanset; lige meget hvad	Uanset hvordan vejret er, skal jeg bestige bjerget.	riippumatta; olipa miten tahansa	Millainen sää tahansa on, minun täytyy kiivetä vuorelle.	bez ohledu na; ať už	Bez ohledu na to, jaké je počasí, musím vylézt na horu.	bez ohľadu na; nech už	Bez ohľadu na to, aké je počasie, musím vyliezť na horu.
不仅	ikke kun	Ikke alene har jeg været i den by, jeg har også været der mange gange.	ei vain	Olen paitsi käynyt siinä kaupungissa myös käynyt siellä monta kertaa.	nejen	Nejenže jsem v tom městě byl, byl jsem tam dokonce mnohokrát.	nielen	Nielenže som v tom meste bol, bol som tam dokonca mnohokrát.
部分	en del; et afsnit	Den vigtigste del af artiklen er tredje afsnit.	osa; osio	Artikkelin tärkein osa on kolmas kappale.	část; oddíl	Nejdůležitější část článku je třetí odstavec.	časť; oddiel	Najdôležitejšia časť článku je tretí odsek.
擦	at tørre af; at viske ud	Jeg har allerede pudset vinduerne rene.	pyyhkiä; poistaa	Olen jo pyyhkinyt ikkunat puhtaiksi.	utírat; mazat	Už jsem okna utřel do čista.	utierať; mazať	Už som okná vyutieral dočista.
猜	at gætte	Gæt, hvilken fødselsdagsgave jeg har forberedt til dig.	arvata	Arvaa, minkä syntymäpäivälahjan valmistelin sinulle.	hádat	Uhodni, jaký narozeninový dárek jsem pro tebe připravil.	hádať	Uhádni, aký narodeninový darček som pre teba pripravil.
材料	materiale; dokumenter	Hvilke materialer er nødvendige for tilmeldingen?	materiaali; asiakirjat	Mitä asiakirjoja ilmoittautumiseen tarvitaan?	materiál; dokumenty	Jaké materiály jsou potřeba k registraci?	materiál; dokumenty	Aké materiály sú potrebné na registráciu?
参观	at besøge; at se sig omkring	Jeg vil gerne besøge Den Kinesiske Mur i weekenden.	vierailla; käydä katsomassa	Haluaisin käydä viikonloppuna Kiinan muurilla.	navštívit; prohlédnout si	Chci o víkendu navštívit Velkou čínskou zeď.	navštíviť; prezrieť si	Cez víkend chcem navštíviť Veľký čínsky múr.
餐厅	en restaurant; en spisestue	Der er åbnet en ny restaurant i nærheden af skolen.	ravintola; ruokasali	Koulun lähelle avattiin uusi ravintola.	restaurace; jídelna	U školy se otevřela nová restaurace.	reštaurácia; jedáleň	Pri škole otvorili novú reštauráciu.
厕所	et toilet	Herretoilettet ligger på første sal.	wc; käymälä	Miesten wc on ensimmäisessä kerroksessa.	toaleta	Pánské toalety jsou v prvním patře.	toaleta	Pánske toalety sú na prvom poschodí.
差不多	næsten; cirka	Jeg står op omkring klokken syv hver dag.	melkein; suunnilleen	Nousen joka päivä noin seitsemältä.	téměř; přibližně	Každý den vstávám přibližně v sedm hodin.	takmer; približne	Každý deň vstávam približne o siedmej.
尝	at smage; at prøve	Kom hurtigt og smag den mad, jeg har lavet. Hvordan smager den?	maistaa; kokeilla	Tule nopeasti maistamaan ruokaa, jonka tein. Miltä se maistuu?	ochutnat; zkusit	Pojď rychle ochutnat jídlo, které jsem uvařil. Jak chutná?	ochutnať; skúsiť	Poď rýchlo ochutnať jedlo, ktoré som uvaril. Ako chutí?
长城	Den Kinesiske Mur	Jeg vil gerne besøge Den Kinesiske Mur i weekenden.	Kiinan muuri	Haluaisin käydä viikonloppuna Kiinan muurilla.	Velká čínská zeď	Chci o víkendu navštívit Velkou čínskou zeď.	Veľký čínsky múr	Cez víkend chcem navštíviť Veľký čínsky múr.
长江	Yangtze-floden	Yangtze-floden er Kinas største flod.	Jangtsejoki	Jangtse on Kiinan suurin joki.	řeka Jang-c'-ťiang	Jang-c'-ťiang je největší čínská řeka.	rieka Jang-c’-ťiang	Jang-c’-ťiang je najväčšia rieka v Číne.
场	klassifikator for begivenheder; sted	Denne regn kom lige i rette tid.	luokittelusana tapahtumille; paikka	Tämä sade tuli juuri oikeaan aikaan.	klasifikátor pro události; místo	Tento déšť přišel právě včas.	klasifikátor pre udalosti; miesto	Tento dážď prišiel práve včas.
超过	at overstige; mere end	Der afgår mere end tre hundrede fly herfra hver dag.	ylittää; enemmän kuin	Täältä lähtee päivittäin yli kolmesataa lentoa.	překročit; více než	Každý den odtud odlétá více než tři sta letů.	presiahnuť; viac než	Každý deň odtiaľto odlieta viac než tristo letov.
乘坐	at køre med; at tage	Velkommen om bord på denne flyvning.	matkustaa; käyttää kulkuvälinettä	Tervetuloa tälle lennolle.	jet; cestovat	Vítejte na tomto letu.	cestovať; viezť sa	Vitajte na tomto lete.
成功	en succes; at lykkes	Anstrengelse er garantien for succes.	menestys; onnistua	Ponnistelu on onnistumisen tae.	úspěch; uspět	Snaha je zárukou úspěchu.	úspech; uspieť	Snaha je zárukou úspechu.
成为	at blive	Jeg har siden barndommen ønsket at blive politibetjent.	tulla joksikin	Olen lapsesta asti halunnut tulla poliisiksi.	stát se	Od dětství jsem se chtěl stát policistou.	stať sa	Od detstva som sa chcel stať policajtom.
诚实	ærlig; ærlighed	Ærlige mennesker fortjener vores respekt.	rehellinen; rehellisyys	Rehelliset ihmiset ansaitsevat kunnioituksemme.	čestný; poctivost	Čestní lidé si zaslouží náš respekt.	čestný; poctivosť	Čestní ľudia si zaslúžia náš rešpekt.
吃惊	at blive overrasket; chokeret	Han blev meget overrasket over at høre nyheden.	yllättyä; järkyttyä	Hän yllättyi kuullessaan uutisen.	být překvapen; být ohromen	Když tu zprávu slyšel, byl velmi překvapený.	byť prekvapený; byť ohromený	Keď tú správu počul, bol veľmi prekvapený.
重新	igen; på ny	Han forklarede sagen igen én gang.	uudelleen; taas	Hän kertoi asian uudelleen kerran.	znovu; opět	Zopakoval tu věc ještě jednou.	znova; opäť	Zopakoval tú vec ešte raz.
抽烟	at ryge	Undskyld, man må ikke ryge på hospitalet.	tupakoida	Anteeksi, sairaalassa ei saa tupakoida.	kouřit	Promiňte, v nemocnici se nesmí kouřit.	fajčiť	Prepáčte, v nemocnici sa nesmie fajčiť.
出差	at tage på forretningsrejse	Far har allerede været på forretningsrejse i mere end en måned.	lähteä työmatkalle	Isä on ollut työmatkalla jo yli kuukauden.	jet na služební cestu	Táta je na služební cestě už více než měsíc.	ísť na služobnú cestu	Otec je na služobnej ceste už viac než mesiac.
出发	at tage af sted; at sætte ud	Jeg tager af sted fra Beijing til Shanghai.	lähteä matkaan	Lähden Pekingistä Shanghaihin.	vyrazit; odjet	Vyrážím z Pekingu do Šanghaje.	vyraziť; odísť	Vyrážam z Pekingu do Šanghaja.
出生	at blive født	Jeg blev født i en lille by.	syntyä	Synnyin pienessä kaupungissa.	narodit se	Narodil jsem se v malém městě.	narodiť sa	Narodil som sa v malom meste.
出现	at dukke op; at opstå	Der er opstået mange problemer i vores arbejde.	ilmaantua; syntyä	Työssämme on ilmennyt monia ongelmia.	objevit se; vzniknout	V naší práci se objevilo mnoho problémů.	objaviť sa; vzniknúť	V našej práci sa objavilo mnoho problémov.
厨房	et køkken	Frugtkniven er i køkkenet.	keittiö	Hedelmäveitsi on keittiössä.	kuchyně	Nůž na ovoce je v kuchyni.	kuchyňa	Nôž na ovocie je v kuchyni.
传真	en fax	Send mig venligst en fax.	faksi	Lähetä minulle faksi, ole hyvä.	fax	Pošlete mi prosím fax.	fax	Prosím, pošlite mi fax.
窗户	et vindue	Jeg har allerede pudset vinduerne rene.	ikkuna	Olen jo pyyhkinyt ikkunat puhtaiksi.	okno	Už jsem okna utřel do čista.	okno	Už som okná vyutieral dočista.
词语	et ord; et udtryk	Brug venligst disse ord til at lave nogle sætninger.	sana; ilmaus	Käytä näitä sanoja muutaman lauseen muodostamiseen.	slovo; výraz	Použijte prosím tato slova a řekněte několik vět.	slovo; výraz	Prosím, použite tieto slová a povedzte niekoľko viet.
从来	altid; aldrig før	Jeg har aldrig set ham før.	aina; ei koskaan ennen	En ole koskaan nähnyt häntä.	vždy; nikdy předtím	Nikdy jsem ho neviděl.	vždy; nikdy predtým	Nikdy som ho nevidel.
粗心	skødesløs; uopmærksom	Du er virkelig alt for skødesløs.	huolimaton; ajattelematon	Olet todella liian huolimaton.	neopatrný; nedbalý	Jsi opravdu příliš neopatrný.	neopatrný; nedbanlivý	Si naozaj príliš neopatrný.
存	at indsætte; at gemme	Jeg satte pengene ind i banken.	tallettaa; säilyttää	Talletin rahat pankkiin.	uložit; uschovat	Uložil jsem peníze do banky.	uložiť; uschovať	Uložil som peniaze do banky.
错误	en fejl; forkert	Tak fordi du påpegede min fejl.	virhe; väärä	Kiitos, että huomautit virheestäni.	chyba; omyl	Děkuji za upozornění na mou chybu.	chyba; omyl	Ďakujem za upozornenie na moju chybu.
答案	et svar; en løsning	Dit svar er korrekt.	vastaus; ratkaisu	Vastauksesi on oikea.	odpověď; řešení	Tvoje odpověď je správná.	odpoveď; riešenie	Tvoja odpoveď je správna.
打扮	at pynte sig; at gøre sig i stand	Hun gjorde sig hurtigt i stand og gik ud.	laittautua; pukeutua	Hän laittautui yksinkertaisesti ja lähti ulos.	upravit se; obléct se	Jednoduše se upravila a vyšla ven.	upraviť sa; obliecť sa	Jednoducho sa upravila a vyšla von.
打扰	at forstyrre; at ulejlige	Undskyld, jeg forstyrrer dig lige et øjeblik.	häiritä; vaivata	Anteeksi, että häiritsen hetkeksi.	rušit; obtěžovat	Promiňte, na chvíli vás vyruším.	rušiť; obťažovať	Prepáčte, na chvíľu vás vyruším.
打印	at printe	Disse materialer er allerede printet færdige.	tulostaa	Nämä materiaalit on jo tulostettu.	tisknout	Tyto materiály už byly vytištěny.	tlačiť	Tieto materiály už boli vytlačené.
打招呼	at hilse	Han hilste på mig med et smil.	tervehtiä	Hän tervehti minua hymyillen.	pozdravit	S úsměvem mě pozdravil.	pozdraviť	S úsmevom ma pozdravil.
打折	at give rabat	Før Forårsfestivalen er der udsalg i alle indkøbscentre.	antaa alennusta; olla alennuksessa	Ennen kevätjuhlaa ostoskeskuksissa on alennusmyyntejä.	dávat slevu; být ve slevě	Před Svátky jara mají obchodní centra slevy.	dávať zľavu; byť v zľave	Pred Sviatkami jari majú obchodné centrá zľavy.
打针	at få en injektion; at give en injektion	Sønnen er meget bange for sprøjter.	saada pistos; antaa pistos	Poika pelkää pistoksia kovasti.	dostat injekci; dát injekci	Syn se velmi bojí injekcí.	dostať injekciu; dať injekciu	Syn sa veľmi bojí injekcií.
大概	sandsynligvis; cirka	Han kommer sandsynligvis ikke.	todennäköisesti; suunnilleen	Hän ei todennäköisesti tule.	pravděpodobně; přibližně	Pravděpodobně nepřijde.	pravdepodobne; približne	Pravdepodobne nepríde.
大使馆	en ambassade	Jeg skal på ambassaden i morgen for at søge om visum.	suurlähetystö	Menen huomenna suurlähetystöön hakemaan viisumia.	velvyslanectví	Zítra půjdu na velvyslanectví vyřídit vízum.	veľvyslanectvo	Zajtra pôjdem na veľvyslanectvo vybaviť vízum.
大约	cirka; omtrent	Han er omkring tredive år gammel.	noin; suunnilleen	Hän on noin kolmekymmentä vuotta vanha.	asi; přibližně	Je mu asi něco přes třicet.	asi; približne	Má asi niečo cez tridsať.
大夫	en læge	Doktor Li, er De på hospitalet i morgen formiddag?	lääkäri	Tohtori Li, oletteko huomenna aamupäivällä sairaalassa?	lékař	Doktore Li, budete zítra dopoledne v nemocnici?	lekár	Doktor Li, budete zajtra doobeda v nemocnici?
戴	at have på; at bære	Han har et par sorte briller på.	pitää päällä; käyttää	Hänellä on mustat silmälasit.	nosit; nasadit si	Má na sobě černé brýle.	nosiť; nasadiť si	Má na sebe čierne okuliare.
当	at være; at arbejde som	Jeg vil gerne være læge.	olla; toimia jonakin	Haluan olla lääkäri.	být; pracovat jako	Chci být lékařem.	byť; pracovať ako	Chcem byť lekárom.
当时	dengang; på det tidspunkt	Jeg kan ikke huske situationen dengang tydeligt.	silloin; siihen aikaan	En muista silloista tilannetta selvästi.	tehdy; v té době	Už si jasně nepamatuji tehdejší situaci.	vtedy; v tom čase	Už si jasne nepamätám vtedajšiu situáciu.
刀	en kniv	Frugtkniven er i køkkenet.	veitsi	Hedelmäveitsi on keittiössä.	nůž	Nůž na ovoce je v kuchyni.	nôž	Nôž na ovocie je v kuchyni.
导游	en guide; at guide	Min storesøster er guide.	opas; opastaa	Isosiskoni on opas.	průvodce; provázet	Moje starší sestra je průvodkyně.	sprievodca; sprevádzať	Moja staršia sestra je sprievodkyňa.
倒	at falde; at vælte	Den stærke vind væltede træet.	kaatua; kaataa	Kova tuuli kaatoi puun.	spadnout; porazit	Silný vítr porazil strom.	spadnúť; zvaliť	Silný vietor zvalil strom.
到处	overalt	Der er blomster overalt i parken.	kaikkialla	Puistossa on kukkia kaikkialla.	všude	V parku jsou všude květiny.	všade	V parku sú všade kvety.
到底	egentlig; præcis	Hvad betyder denne sætning egentlig?	oikeastaan; tarkalleen	Mitä tämä lause oikeastaan tarkoittaa?	vlastně; přesně	Co tato věta vlastně znamená?	vlastne; presne	Čo táto veta vlastne znamená?
道歉	at undskylde	Jeg har allerede undskyldt over for ham.	pyytää anteeksi	Olen jo pyytänyt häneltä anteeksi.	omluvit se	Už jsem se mu omluvil.	ospravedlniť sa	Už som sa mu ospravedlnil.
得	at måtte; at være nødt til	Jeg har eksamen i morgen, så jeg må gå tidligt i seng.	täytyä; olla pakko	Minulla on huomenna koe, joten minun täytyy mennä aikaisin nukkumaan.	muset; být nutné	Zítra mám zkoušku, takže musím jít brzy spát.	musieť; byť potrebné	Zajtra mám skúšku, takže musím ísť skoro spať.
得意	stolt af sig selv; tilfreds	Arbejdet lykkedes, og alle var meget stolte.	ylpeä itsestään; tyytyväinen	Työ onnistui, ja kaikki olivat hyvin ylpeitä.	pyšný na sebe; spokojený	Práce byla úspěšná a všichni byli velmi pyšní.	pyšný na seba; spokojný	Práca bola úspešná a všetci boli veľmi pyšní.
登机牌	et boardingkort	Tag venligst Deres boardingkort og gør Dem klar til at gå om bord.	maihinnousukortti	Ottakaa maihinnousukorttinne ja valmistautukaa nousemaan koneeseen.	palubní lístek	Vezměte si prosím palubní lístek a připravte se k nástupu.	palubný lístok	Vezmite si, prosím, palubný lístok a pripravte sa na nástup.
等	og så videre; såsom	Der ligger frugter som æbler og bananer på bordet.	ja niin edelleen; kuten	Pöydällä on hedelmiä, kuten omenoita ja banaaneja.	a tak dále; jako	Na stole je ovoce, jako jsou jablka a banány.	a tak ďalej; ako	Na stole je ovocie, ako sú jablká a banány.
低	lav	Lidt højere, det er for lavt nu.	matala; alhainen	Vähän korkeammalle, nyt se on liian matalalla.	nízký	Trochu výš, teď je to příliš nízko.	nízky	Trochu vyššie, teraz je to príliš nízko.
底	bund; base	Bunden af koppen er ren.	pohja	Kupin pohja on puhdas.	dno; základ	Dno hrnku je čisté.	dno; základ	Dno pohára je čisté.
地点	et sted; en placering	Mødestedet er i mødelokalet på tredje sal.	paikka; sijainti	Kokouspaikka on kolmannen kerroksen kokoushuoneessa.	místo; lokalita	Místo schůzky je v zasedací místnosti ve třetím patře.	miesto; lokalita	Miesto schôdze je v zasadacej miestnosti na treťom poschodí.
地球	Jorden; planeten	Det meste af Jordens overflade er hav.	Maa; planeetta	Suurin osa Maan pinnasta on merta.	Země; planeta	Většinu povrchu Země tvoří oceán.	Zem; planéta	Väčšinu povrchu Zeme tvorí oceán.
地址	en adresse	Skriv venligst Deres adresse ned.	osoite	Kirjoittakaa osoitteenne muistiin.	adresa	Napište prosím svou adresu.	adresa	Prosím, napíšte svoju adresu.
掉	at falde; at tabe	Nøglen faldt på jorden.	pudota; tiputtaa	Avain putosi maahan.	spadnout; upustit	Klíč spadl na zem.	spadnúť; pustiť	Kľúč spadol na zem.
调查	en undersøgelse; at undersøge	Politiet er i gang med en undersøgelse.	tutkimus; tutkia	Poliisi tutkii asiaa.	vyšetřování; vyšetřovat	Policie provádí vyšetřování.	vyšetrovanie; vyšetrovať	Polícia vykonáva vyšetrovanie.
丢	at miste	Har du mistet din skoletaske?	kadottaa; menettää	Kadotitko koulureppusi?	ztratit	Ztratil jsi školní tašku?	stratiť	Stratil si školskú tašku?
动作	en bevægelse; en handling	Lad mig lære dig at danse, bevægelserne er meget enkle.	liike; toiminta	Opetan sinut tanssimaan, liikkeet ovat hyvin yksinkertaisia.	pohyb; akce	Naučím tě tančit, pohyby jsou velmi jednoduché.	pohyb; akcia	Naučím ťa tancovať, pohyby sú veľmi jednoduché.
堵车	en trafikprop	Jeg er på vejen, og der er igen trafikprop.	liikenneruuhka	Olen matkalla, ja taas on ruuhka.	dopravní zácpa	Jsem na cestě a zase je dopravní zácpa.	dopravná zápcha	Som na ceste a zase je dopravná zápcha.
肚子	mave; maveområde	Jeg har ondt i maven.	vatsa	Minulla on vatsa kipeä.	břicho	Bolí mě břicho.	brucho	Bolí ma brucho.
短信	en sms; en tekstbesked	Send mig en sms eller ring, hvis der er noget.	tekstiviesti	Jos on asiaa, lähetä minulle tekstiviesti tai soita.	textová zpráva; SMS	Když bude něco potřeba, pošlete mi SMS nebo zavolejte.	textová správa; SMS	Ak bude niečo treba, pošlite mi SMS alebo zavolajte.
对话	en dialog	Denne dialog er ret enkel, jeg kan forstå den.	keskustelu; dialogi	Tämä dialogi on melko yksinkertainen, ymmärrän sen.	dialog	Tento dialog je poměrně jednoduchý, rozumím mu.	dialóg	Tento dialóg je pomerne jednoduchý, rozumiem mu.
对面	overfor; på den anden side	Jeg bor lige over for skolen.	vastapäätä	Asun aivan koulua vastapäätä.	naproti	Bydlím přímo naproti škole.	oproti	Bývam priamo oproti škole.
对于	angående; hvad angår	Jeg har et andet syn på dette spørgsmål.	koskien; mitä tulee	Minulla on tästä kysymyksestä erilainen näkemys.	pokud jde o; ohledně	Pokud jde o tuto otázku, mám jiný názor.	pokiaľ ide o; ohľadom	Pokiaľ ide o túto otázku, mám iný názor.
儿童	et barn; børn	Børn under 1,2 meter kan købe børnebillet.	lapsi; lapset	Alle 1,2 metriä pitkät lapset voivat ostaa lastenlipun.	dítě; děti	Děti nižší než 1,2 metru si mohou koupit dětskou jízdenku.	dieťa; deti	Deti nižšie než 1,2 metra si môžu kúpiť detský lístok.
而	og; men	Dette stykke tøj er billigt og pænt.	ja; mutta	Tämä vaate on halpa ja kaunis.	a; ale	Tento kus oblečení je levný a pěkný.	a; ale	Tento kus oblečenia je lacný a pekný.
发生	at ske; at finde sted	Situationen har ændret sig meget.	tapahtua	Tilanteessa on tapahtunut suuri muutos.	stát se; nastat	Situace se hodně změnila.	stať sa; nastať	Situácia sa veľmi zmenila.
发展	en udvikling; at udvikle sig	Økonomien har udviklet sig hurtigt i de seneste år.	kehitys; kehittyä	Talous on kehittynyt nopeasti viime vuosina.	rozvoj; rozvíjet se	Ekonomika se v posledních letech rychle rozvíjela.	rozvoj; rozvíjať sa	Ekonomika sa v posledných rokoch rýchlo rozvíjala.
法律	lov; jura	Jeg studerer jura på universitetet.	laki; oikeustiede	Opiskelen yliopistossa oikeustiedettä.	právo; zákon	Na univerzitě studuji právo.	právo; zákon	Na univerzite študujem právo.
翻译	at oversætte; en oversætter	Oversæt venligst denne artikel til kinesisk.	kääntää; kääntäjä	Käännä tämä artikkeli kiinaksi.	přeložit; překladatel	Přeložte prosím tento článek do čínštiny.	preložiť; prekladateľ	Preložte, prosím, tento článok do čínštiny.
烦恼	en bekymring; at bekymre sig	Lad være med at bekymre dig mere om denne sag.	huoli; murehtia	Älä enää murehdi tätä asiaa.	starost; trápit se	Už se kvůli této věci netrapte.	starosť; trápiť sa	Už sa kvôli tejto veci netrápte.
反对	at være imod; at modsætte sig	Alle er imod denne plan.	vastustaa	Kaikki vastustavat tätä suunnitelmaa.	odporovat; být proti	Všichni jsou proti tomuto plánu.	odporovať; byť proti	Všetci sú proti tomuto plánu.
方法	en metode; en måde	Vi kan helt sikkert finde en metode til at løse problemet.	menetelmä; tapa	Löydämme varmasti keinon ratkaista ongelma.	metoda; způsob	Určitě najdeme způsob, jak problém vyřešit.	metóda; spôsob	Určite nájdeme spôsob, ako problém vyriešiť.
