source_headword	AZ	example_AZ
crew	heyət	Heyət gəmini hazırladı.
crisis	böhran	Böhran hər şeyi dəyişdi.
criterion	meyar	Qiymət meyarlardan biridir.
critic	tənqidçi	Tənqidçi tamaşanı təriflədi.
critical	kritik	Onun vəziyyəti kritikdir.
criticism	tənqid	O, tənqidi sakitcə qəbul etdi.
criticize	tənqid etmək	Hər səhvi tənqid etməyin.
crop	məhsul	Bu il məhsul yaxşı olmadı.
crucial	həlledici	Burada vaxt həlledicidir.
cure	müalicə	Həkimlər müalicə tapdılar.
curve	döngə	Yol döngə ilə gedir.
curved	əyri	Divar bir az əyridir.
debate	debat	Debat saatlarla davam etdi.
debt	borc	O, borcunu ödədi.
decent	münasib	Onlar münasib bir mənzil tapdılar.
declare	elan etmək	Onlar nəticəni elan etdilər.
decline	azalmaq	Satışlar azalmağa davam etdi.
decoration	bəzək	Bəzək bahalı görünürdü.
decrease	azalmaq	Qiymətlər tezliklə azala bilər.
deeply	dərindən	O, ədalətə dərindən əhəmiyyət verirdi.
defeat	məğlubiyyət	Məğlubiyyət komandanı sarsıtdı.
defence	müdafiə	Müdafiə tərəfi sübutlara etiraz etdi.
defend	müdafiə etmək	O, özünü müdafiə etməyə çalışdı.
delay	gecikmə	Pis hava gecikməyə səbəb oldu.
deliberate	qəsdən olan	Bu, düşünülmüş bir seçim idi.
deliberately	qəsdən	O, xəbərdarlığa qəsdən məhəl qoymadı.
delight	sevindirmək	Xəbər hər kəsi sevindirdi.
delighted	məmnun	Hədiyyəyə görə çox sevindik.
delivery	çatdırılma	Çatdırılma tez gəldi.
demand	tələb etmək	İşçilər daha yaxşı maaş tələb edirlər.
demonstrate	nümayiş etdirmək	O, yeni proqram təminatını nümayiş etdirdi.
deny	inkar etmək	O, ittihamı inkar etdi.
depressed	məyus	Məğlubiyyətdən sonra o, özünü məyus hiss etdi.
depressing	ruhdan salan	Film çox ruhdan salan idi.
depth	dərinlik	Hovuz böyük dərinliyə malikdir.
deserve	layiq olmaq	Sən istirahətə layiqsən.
desire	arzu	O, səyahət etmək arzusunu bildirdi.
desperate	ümidsiz	Onlar ümidsizcəsinə zəng etdilər.
detailed	ətraflı	Bələdçi çox ətraflıdır.
detect	aşkar etmək	İtlər tüstünü aşkar edə bilər.
dig	qazmaq	Onlar yayda quyu qazırlar.
disc	disk	Disk cızılmışdı.
discipline	intizam	İntizam idmançılara inkişaf etməyə kömək edir.
dishonest	qeyri-səmimi	Onun cavabı yalan kimi səsləndi.
dismiss	rədd etmək	Menecer şikayəti rədd etdi.
display	nümayiş etdirmək	Ekran hesabı göstərir.
distribute	paylamaq	Könüllülər təmiz su payladılar.
distribution	paylanma	Paylanma gün çıxandan sonra başladı.
district	rayon	Rayon yeni mer seçdi.
division	şöbə	Şöbə hüquqi işlərə baxır.
domestic	daxili	Daxili reyslər daha ucuzdur.
dominate	üstünlük təşkil etmək	Bir şirkət bazarda üstünlük təşkil edə bilər.
downwards	aşağıya doğru	Yol aşağıya doğru meyillidir.
dozen	düjün	O, bir düjün yumurta aldı.
draft	layihə	Zəhmət olmasa, qaralamanı nəzərdən keçirin.
drag	sürükləmək	Masanı sürükləməyin.
dramatic	dramatik	Nəticələr dramatik idi.
edit	redaktə etmək	O, məqaləni redaktə etdi.
edition	nəşr	Bu nəşrə yeni fotoşəkillər daxildir.
efficient	səmərəli	Sistem səmərəlidir.
elderly	yaşlı	Yaşlı sakinlərin dəstəyə ehtiyacı var.
elect	seçmək	Seçicilər yeni şura seçirlər.
elsewhere	başqa yerdə	Biz köməyi başqa yerdə axtardıq.
emerge	ortaya çıxmaq	Təfərrüatlar gecə yarısından sonra məlum oldu.
emotional	emosional	Çıxış emosional idi.
emphasis	vurğu	Vurğunu təhlükəsizliyə qoyun.
emphasize	vurğulamaq	Müəllimlər gündəlik təcrübəni vurğulayırlar.
enable	imkan vermək	Tətbiq sürətli ödənişlərə imkan verir.
encounter	qarşılaşmaq	Biz sıx tıxacla qarşılaşdıq.
engage	cəlb etmək	Kurs yetkin öyrənənləri cəlb edir.
enhance	artırmaq	İşıqlandırma otağı daha da gözəlləşdirə bilər.
enquiry	sorğu	İstintaq üç ay davam etdi.
ensure	təmin etmək	Dəqiqliyi təmin etmək üçün iki dəfə yoxlayın.
enthusiasm	həvəs	Onun həvəsi qrupu ruhlandırdı.
enthusiastic	həvəsli	Könüllülər həvəsli idilər.
entire	bütün	Bütün kənd işıqsız qaldı.
entirely	tamamilə	Hekayə tamamilə yalandır.
establish	müəyyən etmək	Onlar aydın qaydalar müəyyən etdilər.
estate	əmlak	Əmlaka bir neçə ferma daxildir.
estimate	təxmin etmək	Biz on min ziyarətçi təxmin edirik.
ethical	etik	Qərar etik suallar yaratdı.
evaluate	qiymətləndirmək	Mütəxəssislər dizaynı qiymətləndirəcəklər.
evil	şər	Kral şər ruhlardan qorxurdu.
examination	imtahan	İmtahan bir saat çəkdi.
excuse	bəhanə	O bəhanə inandırıcı səslənmədi.
executive	rəhbər	Rəhbər müqaviləni təsdiqlədi.
existence	mövcudluq	Onların mövcudluğu məlum deyildi.
expectation	gözlənti	Buraxılışdan əvvəl gözlənti yüksək idi.
expense	xərc	Səyahət bizim ən böyük xərcimizdir.
exploration	tədqiqat	Kosmos tədqiqatı uşaqları ruhlandırır.
expose	ifşa etmək	Məqalə korrupsiyanı ifşa etdi.
extend	uzatmaq	Onlar müddəti uzatdılar.
extent	dərəcə	Biz miqyasını sonradan bildik.
external	xarici	Xarici təzyiq onlara təsir etdi.
extraordinary	qeyri-adi	Onun sağalması qeyri-adi idi.
facility	müəssisə	Müəssisə iyun ayında açıldı.
failure	uğursuzluq	Uğursuzluq ona səbri öyrətdi.
faith	inam	O, ona inamını saxladı.
fault	günah	Qəza mənim günahım idi.
feather	lələk	Yastıqdan lələk düşdü.
fee	rüsum	Rüsuma nahar da daxildir.
feedback	rəy	Rəy kursu inkişaf etdirməyə kömək etdi.
fellow	həmkar	Həmkarları onu dəstəklədilər.
finance	maliyyə	Bank genişlənməni maliyyələşdirəcək.
finding	tapıntı	Tapıntı tədqiqatçıları təəccübləndirdi.
firm	firma	Firma yeni işçilər işə götürdü.
flame	alov	Kiçik bir alov göründü.
flash	parıltı	Parıltı səmanı işıqlandırdı.
flexible	çevik	Qrafik çevikdir.
float	üzmək	Yarpaqlar suyun üzərində qalır.
folding	qatlanan	O, qatlanan stul aparırdı.
forgive	bağışlamaq	Onu bağışlaya bilərsinizmi?
former	keçmiş	Keçmiş mer qayıtdı.
fortune	sərvət	Onlar böyük sərvət itirdilər.
found	əsasını qoymaq	Onlar kiçik xeyriyyə təşkilatı qurdular.
freedom	azadlıq	Azadlıq məsuliyyət tələb edir.
frequency	tezlik	Qışda tezlik artdı.
fully	tam	Otel tam doludur.
fund	fond	Fond yerli məktəbləri dəstəkləyir.
fundamental	əsas	Hörmət burada əsasdır.
funding	maliyyələşdirmə	Maliyyələşdirmə keçən il başa çatdı.
furthermore	bundan əlavə	Bundan əlavə, xərclər artır.
gain	qazanmaq	Tələbələr tez bir zamanda özünə inam qazanırlar.
gang	dəstə	Küçəyə bir dəstə nəzarət edirdi.
generate	istehsal etmək	Günəş panelləri enerji istehsal edir.
genre	janr	Komediya onun sevimli janrıdır.
govern	idarə etmək	Qanunlar dövlət xərclərini tənzimləyir.
grab	yapışmaq	O, qolumdan yapışdı.
gradually	tədricən	Ağrı tədricən yox oldu.
grand	möhtəşəm	Otelin möhtəşəm girişi var.
grant	qrant	Qrant avadanlıqların pulunu ödədi.
guarantee	zəmanət	Bilet girişə zəmanət verir.
handle	həll etmək	O, şikayəti sakitcə həll etdi.
harm	zərər	Siqaret çəkmək sağlığa zərər verə bilər.
harmful	zərərli	O kimyəvi maddə zərərlidir.
hearing	eşitmə	Onun eşitməsi yaxşılaşdı.
heaven	cənnət	Onlar yuxarıda cənnəti təsəvvür etdilər.
heel	daban	Onun dabanı çox ağrıyırdı.
hell	cəhənnəm	Səyahət bir cəhənnəm idi.
hesitate	tərəddüd etmək	Soruşmağa tərəddüd etməyin.
hollow	boş	Ağacın içi boş idi.
holy	müqəddəs	Onlar müqəddəs bir yeri ziyarət etdilər.
honour	şərəf	Onlar şərəf üçün vuruşdular.
household	ev	Hər bir ev su aldı.
housing	mənzil	Mənzil xərcləri artmağa davam edir.
humorous	gülməli	Onun hekayəsi gülməli idi.
humour	yumor	Yumor gərginliyi azaltmağa kömək etdi.
hunting	ov	Burada ov etmək qadağandır.
illustrate	illüstrasiya etmək	Nümunələr qaydanı aydınlaşdırır.
illustration	illüstrasiya	İllüstrasiya prosesi göstərir.
imagination	təxəyyül	Uşaqlar təxəyyüllərindən sərbəst istifadə edirlər.
impatient	səbirsiz	Sürücülər səbirsizləşdilər.
imply	ima etmək	Onun susqunluğu razılıq demək ola bilər.
impose	tətbiq etmək	Məhkəmə cərimə tətbiq etdi.
impress	təəssürat yaratmaq	Onun cəsarəti hər kəsi heyran etdi.
impressed	heyran qalmış	Onun işindən təsirlənmişdim.
inch	düym	Onu bir düym sola çəkin.
incident	hadisə	Bu hadisə narahatlığa səbəb oldu.
income	gəlir	Onların gəliri yavaş-yavaş artdı.
increasingly	getdikcə	Mənzil getdikcə bahalaşır.
industrial	sənaye	Şəhərin sənaye kökləri var.
infection	infeksiya	İnfeksiya tez yayıldı.
inform	xəbər vermək	Zəhmət olmasa menecerə məlumat verin.
initial	ilkin	İlkin xərc yüksək idi.
initially	əvvəlcə	Əvvəlcə heç kim ona inanmadı.
initiative	təşəbbüs	O, yeni təşəbbüs irəli sürdü.
inner	daxili	İçəri qapı bağlı idi.
insight	anlayış	Hesabat faydalı anlayışlar təqdim edir.
insist	israr etmək	Onlar təhlükəsizlik yoxlamalarında israr edirlər.
inspire	ilham vermək	Onun hekayəsi başqalarına ilham verə bilər.
install	quraşdırmaq	Onlar yeni qızdırıcı quraşdırdılar.
instance	misal	Bu, aydın bir misaldır.
