simplified	TA	example_TA
操心	கவலைப்படுதல்	என்னைப் பற்றி கவலைப்படாதே.
册	புத்தகத் தொகுதி	நான் ஒரு புத்தகத் தொகுதியை வாங்கினேன்.
测验	சிறு தேர்வு	நாளை ஒரு சிறு தேர்வு உள்ளது.
曾经	ஒருகாலத்தில்	நான் ஒருகாலத்தில் பெய்ஜிங்கில் வாழ்ந்தேன்.
叉子	முள் கரண்டி	நான் சாலட்டை முள் கரண்டியால் சாப்பிடுகிறேன்.
差距	இடைவெளி	நகரமும் கிராமமும் இடையில் இடைவெளி உள்ளது.
插	செருகுதல்	தயவு செய்து மலர்களை குவளையில் செருகுங்கள்.
拆	இடித்தல்	தொழிலாளர்கள் பழைய வீட்டை இடித்துக் கொண்டிருக்கிறார்கள்.
产品	தயாரிப்பு	இந்த தயாரிப்பின் தரம் மிகவும் நல்லது.
产生	உருவாகுதல்	இந்த பிரச்சினை புதிய தாக்கத்தை உருவாக்கியது.
常识	பொது அறிவு	இது அடிப்படை பொது அறிவு.
长途	நீண்ட தூர	நீண்ட தூரப் பயணம் சோர்வாக இருக்கும்.
抄	நகலெடுத்தல்	தயவு செய்து பிறரின் வீட்டுப்பாடத்தை நகலெடுக்காதீர்கள்.
超级	மிகப்பெரிய	இது ஒரு மிகப்பெரிய சந்தை.
朝	அரச வம்சம்	தாங் அரச வம்சம் மிகவும் பிரசித்தமானது.
潮湿	ஈரப்பதமான	தெற்கின் கோடை மிகவும் ஈரப்பதமானது.
吵	சத்தமான	வெளியே மிகவும் சத்தமாக உள்ளது.
吵架	சண்டையிடுதல்	அவர்கள் மீண்டும் சண்டையிட்டார்கள்.
炒	வறுத்தல்	அம்மா காய்கறிகளை வறுத்துக் கொண்டிருக்கிறார்.
车库	வண்டி நிறுத்துமிடம்	கார் வண்டி நிறுத்துமிடத்தில் நிறுத்தப்பட்டுள்ளது.
车厢	ரயில் பெட்டி	இந்த ரயில் பெட்டி மிகவும் அமைதியாக உள்ளது.
彻底	முழுமையாக	அவர் முழுமையாகப் புரிந்துகொண்டார்.
沉默	மௌனம்	அவர் முழு நேரமும் மௌனமாக இருந்தார்.
趁	இருக்கும் போதே பயன்படுத்துதல்	இன்னும் இருள் ஆகாதபோதே நாம் போவோம்.
称	எடை போடுதல்	தயவு செய்து இந்த பொதியை எடை போடுங்கள்.
称呼	அழைப்பது	அவரை எப்படி அழைக்க வேண்டும் என்று எனக்கு தெரியவில்லை.
称赞	பாராட்டுதல்	ஆசிரியர் அவரது முன்னேற்றத்தை பாராட்டினார்.
成分	கூறு	இந்த மருந்தின் கூறுகள் மிகவும் எளிமையானவை.
成果	விளைவு	இந்த திட்டம் நல்ல விளைவுகளைப் பெற்றது.
成就	சாதனை	அவர் தொழிலில் பல சாதனைகள் செய்துள்ளார்.
成立	நிறுவப்படுதல்	நிறுவனம் கடந்த ஆண்டு நிறுவப்பட்டது.
成人	பெரியவர்	பெரியவர்களின் சீட்டு குழந்தைகளின் சீட்டைவிட விலை அதிகம்.
成熟	பழுத்த	ஆப்பிள்கள் ஏற்கனவே பழுத்துவிட்டன.
成语	பழமொழி போன்ற நிலையான சொற்றொடர்	இந்த சொற்றொடர் மிகவும் பொதுவாகப் பயன்படுத்தப்படுகிறது.
成长	வளர்ச்சி	குழந்தை மெதுவாக வளர்கிறது.
承担	ஏற்றுக்கொள்வது	அவர் பொறுப்பை ஏற்றுக்கொள்ள தயாராக உள்ளார்.
承认	ஒப்புக்கொள்வது	தான் தவறு செய்ததாக அவர் ஒப்புக்கொண்டார்.
承受	தாங்குதல்	இவ்வளவு பெரிய அழுத்தத்தை நான் தாங்க முடியாது.
程度	நிலை	அவரது சீன மொழி நிலை மிகவும் உயர்ந்தது.
程序	செயல்முறை	தயவு செய்து செயல்முறையின் படி செய்து முடிக்கவும்.
诚恳	உண்மையான	அவரது அணுகுமுறை மிகவும் உண்மையானது.
吃亏	இழப்பு அடைதல்	பொருள் வாங்குவதற்கு முன் தெளிவாகப் பாருங்கள், இழப்பு அடையாதீர்கள்.
持续	தொடர்தல்	மழை மூன்று நாட்கள் தொடர்ந்தது.
池塘	குளம்	குளத்தில் பல மீன்கள் உள்ளன.
迟早	விரைவிலோ தாமதமாகவோ	விரைவிலோ தாமதமாகவோ நீ புரிந்துகொள்வாய்.
尺子	அளவுகோல்	தயவு செய்து அளவுகோலால் அளவிடுங்கள்.
翅膀	சிறகு	பறவையின் சிறகு காயமடைந்தது.
充电器	மின்னேற்றிப் கருவி	என் மின்னேற்றிப் கருவி பழுதாகிவிட்டது.
充分	போதுமான	நாம் போதுமான தயாரிப்பு செய்தோம்.
充满	நிறைந்திருத்தல்	அறை சிரிப்பால் நிரம்பியது.
冲	கழுவுதல்	தயவு செய்து கோப்பையை நீரால் கழுவுங்கள்.
重复	மீண்டும் செய்வது	தயவு செய்து அதே தவறை மீண்டும் செய்யாதீர்கள்.
宠物	செல்லப்பிராணி	அவள் ஒரு செல்ல நாயை வளர்க்கிறாள்.
抽屉	இழுப்பறை	சாவி இழுப்பறையில் உள்ளது.
抽象	அருவமான	இந்த கருத்து மிக அருவமானது.
丑	அழகில்லாத	இந்த புகைப்படம் கொஞ்சம் அழகில்லாமல் உள்ளது.
臭	துர்நாற்றம்	குப்பைக்கு மிகுந்த துர்நாற்றம் உள்ளது.
出版	வெளியிடுதல்	இந்த புத்தகம் கடந்த ஆண்டு வெளியிடப்பட்டது.
出口	வெளியேறும் வழி	வெளியேறும் வழி முன்னால் உள்ளது.
出色	சிறப்பான	அவளுடைய செயல்பாடு மிகவும் சிறப்பானது.
出示	காட்டுதல்	தயவு செய்து உங்கள் கடவுச்சீட்டை காட்டுங்கள்.
出席	கலந்துகொள்வது	அவர் கூட்டத்தில் கலந்துகொள்வார்.
初级	ஆரம்ப நிலை	நான் ஆரம்ப நிலை வகுப்பில் சீனம் கற்கிறேன்.
除非	இல்லையெனில் மட்டும்	மழை பெய்யாவிட்டால், நாம் நாளை மலை ஏறச் செல்வோம்.
除夕	புத்தாண்டு முன்தினம்	புத்தாண்டு முன்தினத்தில் எங்கள் குடும்பம் எல்லாம் சேர்ந்து சாப்பிடும்.
处理	கையாளுதல்	நான் இந்த பிரச்சினையை கையாளுவேன்.
传播	பரவுதல்	இந்த செய்தி மிக வேகமாக பரவியது.
传染	தொற்றுதல்	சளி எளிதில் தொற்றும்.
传说	புராணக் கதை	இது ஒரு பழமையான புராணக் கதை.
传统	பாரம்பரியம்	வசந்தப் பண்டிகை சீனாவின் பாரம்பரிய பண்டிகை.
窗帘	திரைச்சீலை	தயவு செய்து திரைச்சீலையைத் திறக்கவும்.
闯	மீறிச் செல்வது	அவர் கவனக்குறைவால் சிவப்பு விளக்கை மீறிச் சென்றார்.
创造	உருவாக்குதல்	மக்கள் புதிய கருவிகளை உருவாக்கினர்.
吹	வீசுதல்	காற்று பலமாக வீசுகிறது.
词汇	சொற்களஞ்சியம்	இந்த சொல் மிகவும் பொதுவாகப் பயன்படுத்தப்படுகிறது.
辞职	வேலை விலகுதல்	அவர் வேலை விலக முடிவு செய்தார்.
此外	மேலும்	மேலும், எனக்கு இன்னொரு கேள்வி உள்ளது.
刺激	உற்சாகமூட்டும்	இந்த விளையாட்டு மிகவும் உற்சாகமூட்டுகிறது.
次要	இரண்டாம் நிலை	இந்த பிரச்சினை இரண்டாம் நிலையானது.
匆忙	அவசரமாக	அவர் அவசரமாக வீட்டை விட்டு வெளியேறினார்.
从此	அதன்பிறகு	அதன்பிறகு அவர் தினமும் உடற்பயிற்சி செய்தார்.
从而	அதனால்	அவர் கடினமாகப் படித்தார், அதனால் தேர்வில் தேர்ச்சி பெற்றார்.
从前	முன்பு	முன்பு இங்கு நிலத்தடி ரயில் இல்லை.
从事	ஈடுபடுதல்	அவள் கல்விப் பணியில் ஈடுபட்டிருக்கிறாள்.
粗糙	கரடுமுரடான	இந்த காகிதத் தாள் மிகவும் கரடுமுரடானது.
促进	ஊக்குவித்தல்	உடற்பயிற்சி ஆரோக்கியத்தை ஊக்குவிக்கும்.
促使	தூண்டுதல்	இந்த விஷயம் அவரை திட்டத்தை மாற்றத் தூண்டியது.
醋	வினிகர்	கறியில் வினிகர் சேர்க்கப்பட்டது.
催	விரைவுபடுத்தச் சொல்வது	அம்மா என்னை விரைவாக வெளியே போகச் சொன்னார்.
存在	இருப்பது	இந்த பிரச்சினை இன்னும் உள்ளது.
措施	நடவடிக்கை	பள்ளி பாதுகாப்பு நடவடிக்கைகளை எடுத்தது.
答应	சம்மதித்தல்	அவர் எனக்கு உதவ சம்மதித்தார்.
达到	அடைவது	அவரது மதிப்பெண்கள் தரநிலையை அடைந்தன.
打工	பகுதி நேர வேலை செய்தல்	அவர் கோடை விடுமுறையில் உணவகத்தில் பகுதி நேர வேலை செய்கிறார்.
打交道	தொடர்பில் இருப்பது	நான் வாடிக்கையாளர்களுடன் அடிக்கடி தொடர்பில் இருக்கிறேன்.
打喷嚏	தும்முதல்	அவருக்கு சளி, அவர் தொடர்ந்து தும்முகிறார்.
打听	விசாரித்தல்	ரயில் சீட்டுகள் பற்றி நான் விசாரிக்க விரும்புகிறேன்.
大方	தாராளமான	அவள் பணம் செலவிடுவதில் மிகவும் தாராளமாக இருக்கிறாள்.
大厦	பெரிய கட்டிடம்	அந்த பெரிய கட்டிடம் மிகவும் உயரமாக உள்ளது.
大象	யானை	குழந்தைகள் விலங்குக் காட்சிச்சாலையில் யானைகளைப் பார்க்கிறார்கள்.
大型	பெரிய அளவிலான	இங்கு ஒரு பெரிய அளவிலான வணிக வளாகம் கட்டப்படும்.
呆	தங்கியிருத்தல்	அவர் வீட்டில் தங்கி புத்தகம் படிக்கிறார்.
代表	பிரதிநிதித்துவம் செய்தல்	இந்த மலர் நட்பை பிரதிநிதித்துவம் செய்கிறது.
代替	பதிலாக செய்வது	இன்று நான் அவருக்குப் பதிலாக கூட்டத்தில் கலந்துகொள்கிறேன்.
待遇	சலுகைகள்	இந்த நிறுவனத்தின் சலுகைகள் நல்லவை.
贷款	கடன்	அவர்கள் வீட்டு கடனுக்கு விண்ணப்பித்தனர்.
单纯	எளிமையான	அவளுடைய எண்ணம் மிகவும் எளிமையானது.
单调	ஒரே மாதிரியான	இந்த வேலை கொஞ்சம் ஒரே மாதிரியானது.
单独	தனியாக	நான் உங்களுடன் தனியாக பேச விரும்புகிறேன்.
单位	பொது நிறுவனம்	அவர் ஒரு பொது நிறுவனத்தில் வேலை செய்கிறார்.
单元	அலகு	நாம் இன்று மூன்றாவது அலகைப் படிக்கிறோம்.
担任	பொறுப்பு வகித்தல்	அவள் இந்த செயல்பாட்டின் பொறுப்பாளராக இருக்கிறாள்.
耽误	நேரத்தை வீணாக்குதல்	அனைவரின் நேரத்தையும் வீணாக்காதீர்கள்.
胆小鬼	கோழை	அவரை கோழை என்று அழைக்காதே.
淡	சுவை குறைந்த	இந்த சூப் கொஞ்சம் சுவை குறைந்தது.
当地	உள்ளூர்	உள்ளூர் மக்கள் அனைவரும் இந்த சந்தையை விரும்புகிறார்கள்.
当心	கவனமாக இருத்தல்	சாலை வழுக்கலாக உள்ளது, நீ கொஞ்சம் கவனமாக இரு.
挡	மறைத்தல்	இந்த கார் நுழைவாயிலை மறைத்துள்ளது.
倒霉	துரதிர்ஷ்டம்	இன்று உண்மையிலேயே துரதிர்ஷ்டம், கைபேசி தொலைந்துவிட்டது.
导演	இயக்குநர்	இந்த இயக்குநர் மிகவும் பிரபலமானவர்.
导致	ஏற்படுத்துதல்	கனமழை போக்குவரத்து நெரிசலை ஏற்படுத்தியது.
岛屿	தீவு	இந்த நாட்டில் பல தீவுகள் உள்ளன.
到达	அடைதல்	ரயில் நேரத்திற்கு ஷாங்காயை அடைந்தது.
道德	ஒழுக்கம்	மனிதன் ஒழுக்கத்தைக் கடைப்பிடிக்க வேண்டும்.
道理	நியாயம்	அவர் சொன்னதில் நிறைய நியாயம் உள்ளது.
登记	பதிவு செய்தல்	தயவு செய்து முதலில் முன்பகுதியில் பதிவு செய்யுங்கள்.
等待	காத்திருத்தல்	நாம் முடிவுக்காக காத்திருக்கிறோம்.
等于	சமம்	ஐந்தும் ஐந்தும் சேர்ந்து பத்துக்கு சமம்.
滴	துளி	ஒரு துளி நீர் மேசையின் மீது விழுந்தது.
敌人	எதிரி	அவர்கள் எதிரிகள் அல்ல.
的确	உண்மையாகவே	இந்த விஷயம் உண்மையாகவே மிகவும் முக்கியமானது.
地道	அசல்	அவர் அசல் பெய்ஜிங் வழக்கில் பேசுகிறார்.
地理	புவியியல்	சீனாவின் புவியியல் குறித்து எனக்கு மிகுந்த ஆர்வம் உள்ளது.
地区	பிரதேசம்	இந்த பிரதேசம் குளிர்காலத்தில் மிகவும் குளிராக இருக்கும்.
地毯	கம்பளம்	வரவேற்பறையில் ஒரு கம்பளம் விரிக்கப்பட்டுள்ளது.
地位	நிலை	சமூகத்தில் கல்விக்கு முக்கிய நிலை உள்ளது.
地震	நிலநடுக்கம்	நேற்று இரவு இங்கு நிலநடுக்கம் ஏற்பட்டது.
递	கொடுத்து அனுப்புதல்	தயவு செய்து இந்த கடிதத்தை ஆசிரியரிடம் கொடுத்து அனுப்புங்கள்.
点心	இலகு உணவு	மதியம் நாம் இலகு உணவு சாப்பிட்டோம்.
电池	மின்கலம்	இந்த விளையாட்டு பொருளுக்கு இரண்டு மின்கலங்கள் தேவை.
电台	வானொலி நிலையம்	அவர் வானொலி நிலையத்தில் நிகழ்ச்சி நடத்துகிறார்.
钓	மீன் பிடித்தல்	தாத்தா ஆற்றங்கரைக்கு சென்று மீன் பிடிக்க விரும்புகிறார்.
顶	தொப்பி எண்ணும் அளவுச்சொல்	அவர் கருப்பு தொப்பி ஒன்றை அணிந்துள்ளார்.
冻	உறைதல்	வெளியே மிகக் குளிராக இருப்பதால் தண்ணீரே உறைந்துவிட்டது.
动画片	கார்ட்டூன்	குழந்தைகள் கார்ட்டூன் பார்த்துக் கொண்டிருக்கிறார்கள்.
洞	துளை	சுவரில் ஒரு சிறிய துளை உள்ளது.
豆腐	டோஃபு	இந்த டோஃபு உணவு மிகவும் சுவையாக உள்ளது.
逗	சிரிக்க வைப்பது	அவரது வார்த்தைகள் அனைவரையும் சிரிக்க வைத்தன.
独立	சுயமாக	அவள் சுயமாக வாழ விரும்புகிறாள்.
独特	தனித்துவமான	இந்த நகரத்திற்கு தனித்துவமான கலாசாரம் உள்ளது.
度过	கழித்தல்	நாம் கடற்கரையில் விடுமுறையை கழித்தோம்.
断	அறுந்துவிடுதல்	இந்த கயிறு அறுந்துவிட்டது.
堆	குவிந்து கிடத்தல்	மேசையின் மேல் பல ஆவணங்கள் குவிந்து கிடக்கின்றன.
兑换	மாற்றுதல்	நான் சில ரென்மின்பியை மாற்ற விரும்புகிறேன்.
对比	ஒப்பிடுதல்	தயவு செய்து இந்த இரண்டு திட்டங்களை ஒப்பிடுங்கள்.
对待	நடத்துதல்	நாம் ஒவ்வொருவரையும் நியாயமாக நடத்த வேண்டும்.
对方	மற்ற தரப்பு	தயவு செய்து முதலில் மற்ற தரப்பின் கருத்தைக் கேளுங்கள்.
对手	எதிரணி	அவரது எதிரணி மிகவும் வலிமையானது.
对象	ஆய்வு பொருள்	ஆய்வு பொருள் பல்கலைக்கழக மாணவர்கள்.
吨	டன்	இந்த லாரி மூன்று டன் சரக்குகளை ஏற்ற முடியும்.
蹲	குனிந்து உட்காருதல்	அவர் தரையில் குனிந்து உட்கார்ந்து சாவியைத் தேடுகிறார்.
顿	உணவுக்கான அளவுச்சொல்	நாம் ஒன்றாக ஒரு இரவு உணவு சாப்பிட்டோம்.
多亏	நன்றி காரணமாக	உங்கள் உதவியால் தான் நான் பணியை முடித்தேன்.
多余	தேவையற்ற	இந்த வாக்கியம் தேவையற்றது.
朵	மலருக்கான அளவுச்சொல்	மேசையின் மேல் ஒரு மலர் வைக்கப்பட்டுள்ளது.
躲藏	ஒளிந்து கொள்வது	சிறிய பூனை படுக்கையின் கீழ் ஒளிந்து கொண்டுள்ளது.
恶劣	மிக மோசமான	இன்றைய காலநிலை மிகவும் மோசமாக உள்ளது.
耳环	காதணி	அவள் ஒரு ஜோடி காதணிகளை அணிந்திருக்கிறாள்.
发表	வெளிப்படுத்துதல்	அவர் கூட்டத்தில் தனது கருத்தை வெளிப்படுத்தினார்.
发愁	கவலைப்படுதல்	இந்த சிறிய விஷயத்திற்காக கவலைப்படாதே.
发达	மேம்பட்ட	இந்த நகரத்தின் போக்குவரத்து மிகவும் மேம்பட்டுள்ளது.
发抖	நடுக்கம்	குளிரால் அவர் தொடர்ந்து நடுங்கினார்.
发挥	பயன்படுத்திக் காட்டுதல்	தயவு செய்து அனைவரும் தங்கள் கற்பனை திறனை பயன்படுத்திக் காட்டுங்கள்.
发明	கண்டுபிடிப்பு	மின்விளக்கு ஒரு முக்கியமான கண்டுபிடிப்பு.
发票	ரசீது	தயவு செய்து எனக்கு ரசீது கொடுங்கள்.
发言	பேசுதல்	அவர் கூட்டத்தில் பேசினார்.
罚款	அபராதம்	விதிமீறி நிறுத்தினால் அபராதம் விதிக்கப்படும்.
法院	நீதிமன்றம்	இந்த வழக்கு நீதிமன்றத்திடம் ஒப்படைக்கப்பட்டது.
翻	திருப்புதல்	தயவு செய்து புத்தகத்தை பத்தாவது பக்கத்திற்கு திருப்புங்கள்.
繁荣	செழிப்பு	பொருளாதாரம் மெதுவாக செழித்து வருகிறது.
反而	மாறாக	அவர் கோபப்படவில்லை, மாறாக சிரித்தார்.
反复	மீண்டும் மீண்டும்	இந்த வாக்கியத்தை மீண்டும் மீண்டும் பயிற்சி செய்ய வேண்டும்.
反应	எதிர்வினை	அவரது எதிர்வினை மிகவும் வேகமானது.
反映	பிரதிபலித்தல்	இந்த அறிக்கை உண்மையான நிலையை பிரதிபலிக்கிறது.
反正	எப்படியாயினும்	எப்படியாயினும் நாளை எனக்கு நேரம் உள்ளது.
范围	வரம்பு	தயவு செய்து இந்த வரம்பை மீறாதீர்கள்.
方	சதுரம்	தயவு செய்து காகிதத்தில் ஒரு சதுரம் வரையுங்கள்.
方案	திட்டம்	இந்த திட்டம் ஒப்பீட்டளவில் நியாயமானது.
方式	முறை	இந்த படிக்கும் முறை மிகவும் பயனுள்ளதாக உள்ளது.
妨碍	தடங்கல் செய்யுதல்	தயவு செய்து பிறர் வேலை செய்ய தடங்கல் செய்யாதீர்கள்.
仿佛	போல	அவர் எல்லாவற்றையும் அறிவது போல தோன்றுகிறது.
非	இல்லாமல் முடியாது	இந்த விஷயம் உன்னை இல்லாமல் முடியாது.
肥皂	சோப்பு	கைகளை கழுவும்போது சோப்பைப் பயன்படுத்த வேண்டும்.
废话	வெட்டிப் பேச்சு	வெட்டிப் பேச்சை குறைத்து விரைவாக தொடங்கு.
分别	பிரிந்து செல்லுதல்	அவர்கள் நிலையத்தில் பிரிந்து சென்றனர்.
分布	பரவியிருத்தல்	இந்த கடைகள் நகரம் முழுவதும் பரவியுள்ளன.
分配	ஒதுக்குதல்	ஆசிரியர் புதிய பணியை ஒதுக்கினார்.
分手	பிரிந்து செல்வது	அவர்கள் கடந்த ஆண்டு பிரிந்துவிட்டனர்.
分析	பகுப்பாய்வு செய்தல்	நாம் காரணங்களை பகுப்பாய்வு செய்ய வேண்டும்.
纷纷	ஒன்றன் பின் ஒன்றாக	அனைவரும் ஒன்றன் பின் ஒன்றாக சம்மதம் தெரிவித்தனர்.
奋斗	போராடி முயற்சித்தல்	இளைஞர்கள் கனவுகளுக்காக போராடி முயற்சிக்க வேண்டும்.
疯狂	வெறித்தனமாக	ரசிகர்கள் வெறித்தனமாக குரல் கொடுத்தனர்.
风格	பாணி	இந்த உணவகத்தின் பாணி மிகவும் சிறப்பானது.
风景	காட்சி	மலையின் காட்சி மிகவும் அழகாக உள்ளது.
风俗	வழக்கம்	ஒவ்வொரு இடத்திற்கும் தன் சொந்த வழக்குகள் உள்ளன.
风险	அபாயம்	முதலீட்டில் ஒரு அளவு அபாயம் உள்ளது.
