source_headword	TH	example_TH
consideration	ข้อพิจารณา	ต้นทุนเป็นข้อพิจารณาสำคัญ.
consistent	สม่ำเสมอ	ผลลัพธ์ของเธอสม่ำเสมอ.
constant	ตลอดเวลา	เสียงรบกวนตลอดเวลาทำให้เราเหนื่อย.
constantly	ตลอดเวลา	เขาตรวจโทรศัพท์ตลอดเวลา.
construct	สร้าง	คนงานสร้างสะพานใหม่.
construction	การก่อสร้าง	การก่อสร้างเริ่มเดือนหน้า.
contemporary	ร่วมสมัย	แกลเลอรีแสดงศิลปะร่วมสมัย.
contest	การประกวด	เธอเข้าร่วมการประกวด.
contract	สัญญา	อ่านสัญญาอย่างรอบคอบ.
contribute	มีส่วนร่วม	ทุกคนสามารถมีส่วนร่วมด้วยความคิด.
contribution	การมีส่วนร่วม	การมีส่วนร่วมของเธอมีคุณค่า.
convert	ดัดแปลง	พวกเขาดัดแปลงโรงรถ.
convinced	เชื่อมั่น	ฉันเชื่อมั่นว่าเขาโกหก.
core	แก่น	ความไว้วางใจคือประเด็นแก่น.
corporate	ของบริษัท	กฎของบริษัทเปลี่ยนอีกครั้ง.
council	สภา	สภาอนุมัติแผน.
county	มณฑล	มณฑลซ่อมถนน.
courage	ความกล้าหาญ	เธอแสดงความกล้าหาญแท้จริง.
crash	อุบัติเหตุชน	อุบัติเหตุชนปิดกั้นการจราจร.
creation	การสร้าง	การสร้างใช้เวลาหกเดือน.
creature	สิ่งมีชีวิต	สิ่งมีชีวิตนั้นเคลื่อนไหวเงียบๆ.
crew	ลูกเรือ	ลูกเรือเตรียมเรือ.
crisis	วิกฤต	วิกฤตเปลี่ยนทุกอย่าง.
criterion	เกณฑ์	ราคาเป็นเกณฑ์หนึ่ง.
critic	นักวิจารณ์	นักวิจารณ์ชมละคร.
critical	วิกฤต	อาการของเขาวิกฤต.
criticism	คำวิจารณ์	เธอยอมรับคำวิจารณ์อย่างสงบ.
criticize	วิจารณ์	อย่าวิจารณ์ทุกความผิดพลาด.
crop	พืชผล	พืชผลปีนี้ล้มเหลว.
crucial	สำคัญอย่างยิ่ง	เวลาเป็นสิ่งสำคัญอย่างยิ่งที่นี่.
cure	วิธีรักษา	แพทย์พบวิธีรักษา.
curve	โค้ง	ถนนไปตามโค้ง.
curved	โค้ง	กำแพงโค้งเล็กน้อย.
debate	การอภิปราย	การอภิปรายดำเนินต่อหลายชั่วโมง.
debt	หนี้	เขาชำระหนี้แล้ว.
decent	พอใช้ได้	พวกเขาพบอพาร์ตเมนต์ที่พอใช้ได้.
declare	ประกาศ	พวกเขาประกาศผล.
decline	ลดลง	ยอดขายยังคงลดลง.
decoration	ของตกแต่ง	ของตกแต่งดูแพง.
decrease	ลดลง	ราคาอาจลดลงเร็วๆนี้.
deeply	อย่างลึกซึ้ง	เธอใส่ใจความยุติธรรมอย่างลึกซึ้ง.
defeat	ความพ่ายแพ้	ความพ่ายแพ้ทำให้ทีมตกใจ.
defence	ฝ่ายจำเลย	ฝ่ายจำเลยโต้แย้งหลักฐาน.
defend	ปกป้อง	เขาพยายามปกป้องตัวเอง.
delay	ความล่าช้า	อากาศไม่ดีทำให้เกิดความล่าช้า.
deliberate	จงใจ	มันเป็นการเลือกอย่างจงใจ.
deliberately	อย่างจงใจ	เธอจงใจไม่สนใจคำเตือน.
delight	ทำให้ยินดี	ข่าวนั้นทำให้ทุกคนยินดี.
delighted	ยินดี	เรายินดีกับของขวัญ.
delivery	การส่งของ	การส่งของมาถึงเร็ว.
demand	ความต้องการ	คนงานต้องการค่าจ้างที่ดีขึ้น.
demonstrate	สาธิต	เขาสาธิตซอฟต์แวร์ใหม่.
deny	ปฏิเสธ	เธอปฏิเสธข้อกล่าวหา.
depressed	ซึมเศร้า	เขารู้สึกซึมเศร้าหลังแพ้.
depressing	น่าหดหู่	ภาพยนตร์นั้นน่าหดหู่.
depth	ความลึก	สระมีความลึกมาก.
deserve	สมควรได้รับ	คุณสมควรได้พัก.
desire	ความปรารถนา	เธอแสดงความปรารถนาจะเดินทาง.
desperate	สิ้นหวัง	พวกเขาโทรอย่างสิ้นหวัง.
detailed	ละเอียด	คู่มือละเอียดมาก.
detect	ตรวจจับ	สุนัขตรวจจับควันได้.
dig	ขุด	พวกเขาขุดบ่อน้ำในฤดูร้อน.
disc	แผ่นดิสก์	แผ่นดิสก์มีรอยขีดข่วน.
discipline	วินัย	วินัยช่วยให้นักกีฬาพัฒนา.
dishonest	ไม่ซื่อสัตย์	คำตอบของเขาฟังดูไม่ซื่อสัตย์.
dismiss	ปฏิเสธ	ผู้จัดการปฏิเสธคำร้องเรียน.
display	แสดง	หน้าจอแสดงคะแนน.
distribute	แจกจ่าย	อาสาสมัครแจกจ่ายน้ำสะอาด.
distribution	การแจกจ่าย	การแจกจ่ายเริ่มหลังพระอาทิตย์ขึ้น.
district	เขต	เขตเลือกนายกเทศมนตรี.
division	แผนก	แผนกนั้นจัดการคดีทางกฎหมาย.
domestic	ภายในประเทศ	เที่ยวบินภายในประเทศถูกกว่า.
dominate	ครอบงำ	บริษัทหนึ่งอาจครอบงำตลาด.
downwards	ลงด้านล่าง	ทางลาดลงด้านล่าง.
dozen	โหล	เธอซื้อไข่หนึ่งโหล.
draft	ร่าง	กรุณาทบทวนร่าง.
drag	ลาก	อย่าลากโต๊ะ.
dramatic	อย่างมาก	ผลลัพธ์เปลี่ยนแปลงอย่างมาก.
edit	แก้ไข	เธอแก้ไขบทความ.
edition	ฉบับ	ฉบับนี้มีรูปใหม่.
efficient	มีประสิทธิภาพ	ระบบมีประสิทธิภาพ.
elderly	สูงอายุ	ผู้อยู่อาศัยสูงอายุต้องการการสนับสนุน.
elect	เลือกตั้ง	ผู้มีสิทธิเลือกตั้งเลือกตั้งสภาใหม่.
elsewhere	ที่อื่น	เราหาความช่วยเหลือที่อื่น.
emerge	ปรากฏ	รายละเอียดปรากฏหลังเที่ยงคืน.
emotional	สะเทือนอารมณ์	สุนทรพจน์สะเทือนอารมณ์.
emphasis	การเน้น	เน้นความปลอดภัย.
emphasize	เน้น	ครูเน้นการฝึกทุกวัน.
enable	ทำให้สามารถ	แอปทำให้สามารถชำระเงินได้รวดเร็ว.
encounter	พบเจอ	เราพบเจอการจราจรหนาแน่น.
engage	ดึงดูด	หลักสูตรดึงดูดผู้เรียนผู้ใหญ่.
enhance	เพิ่มคุณค่า	แสงสามารถเพิ่มคุณค่าให้ห้อง.
enquiry	การสอบสวน	การสอบสวนกินเวลาสามเดือน.
ensure	รับรอง	ตรวจสองครั้งเพื่อรับรองความแม่นยำ.
enthusiasm	ความกระตือรือร้น	ความกระตือรือร้นของเธอให้กำลังใจกลุ่ม.
enthusiastic	กระตือรือร้น	อาสาสมัครกระตือรือร้น.
entire	ทั้งหมด	ทั้งหมู่บ้านไฟดับ.
entirely	ทั้งหมด	เรื่องนั้นเป็นเท็จทั้งหมด.
establish	จัดตั้ง	พวกเขาจัดตั้งกฎที่ชัดเจน.
estate	ที่ดิน	ที่ดินนั้นรวมฟาร์มหลายแห่ง.
estimate	ประมาณ	เราประมาณผู้มาเยือนหนึ่งหมื่นคน.
ethical	ทางจริยธรรม	การตัดสินใจทำให้เกิดคำถามทางจริยธรรม.
evaluate	ประเมิน	ผู้เชี่ยวชาญจะประเมินแบบ.
evil	ชั่วร้าย	กษัตริย์กลัววิญญาณชั่วร้าย.
examination	การสอบ	การสอบใช้เวลาหนึ่งชั่วโมง.
excuse	ข้อแก้ตัว	ข้อแก้ตัวนั้นฟังอ่อน.
executive	ผู้บริหาร	ผู้บริหารอนุมัติข้อตกลง.
existence	การมีอยู่	ไม่มีใครรู้การมีอยู่ของพวกเขา.
expectation	ความคาดหวัง	ความคาดหวังสูงก่อนเปิดตัว.
expense	ค่าใช้จ่าย	การเดินทางเป็นค่าใช้จ่ายใหญ่ที่สุดของเรา.
exploration	การสำรวจ	การสำรวจอวกาศสร้างแรงบันดาลใจให้เด็กๆ.
expose	เปิดโปง	บทความเปิดโปงการทุจริต.
extend	ขยาย	พวกเขาขยายกำหนดเวลา.
extent	ขอบเขต	เรารู้ขอบเขตภายหลัง.
external	ภายนอก	แรงกดดันภายนอกมีอิทธิพลต่อพวกเขา.
extraordinary	พิเศษมาก	การฟื้นตัวของเธอพิเศษมาก.
facility	สถานที่	สถานที่เปิดในเดือนมิถุนายน.
failure	ความล้มเหลว	ความล้มเหลวสอนความอดทนแก่เขา.
faith	ศรัทธา	เธอยังคงมีศรัทธาในตัวเขา.
fault	ความผิด	อุบัติเหตุเป็นความผิดของฉัน.
feather	ขนนก	ขนนกตกจากหมอน.
fee	ค่าธรรมเนียม	ค่าธรรมเนียมรวมอาหารกลางวัน.
feedback	ข้อเสนอแนะ	ข้อเสนอแนะช่วยปรับปรุงหลักสูตร.
fellow	เพื่อนร่วม	เพื่อนร่วมงานสนับสนุนเธอ.
finance	จัดหาเงินทุน	ธนาคารจะจัดหาเงินทุนเพื่อขยายกิจการ.
finding	ข้อค้นพบ	ข้อค้นพบทำให้นักวิจัยประหลาดใจ.
firm	บริษัท	บริษัทจ้างพนักงานใหม่.
flame	เปลวไฟ	เปลวไฟเล็กๆปรากฏขึ้น.
flash	แสงวาบ	แสงวาบส่องสว่างท้องฟ้า.
flexible	ยืดหยุ่น	ตารางเวลายืดหยุ่น.
float	ลอย	ใบไม้ลอยบนน้ำ.
folding	พับได้	เขาถือเก้าอี้พับได้.
forgive	ให้อภัย	คุณให้อภัยเขาได้ไหม?
former	อดีต	อดีตนายกเทศมนตรีกลับมา.
fortune	ทรัพย์สมบัติ	พวกเขาสูญเสียทรัพย์สมบัติมาก.
found	ก่อตั้ง	พวกเขาก่อตั้งองค์กรการกุศลเล็กๆ.
freedom	เสรีภาพ	เสรีภาพต้องการความรับผิดชอบ.
frequency	ความถี่	ความถี่เพิ่มขึ้นในฤดูหนาว.
fully	เต็มที่	โรงแรมถูกจองเต็มแล้ว.
fund	กองทุน	กองทุนสนับสนุนโรงเรียนท้องถิ่น.
fundamental	พื้นฐาน	ความเคารพเป็นสิ่งพื้นฐานที่นี่.
funding	เงินทุน	เงินทุนสิ้นสุดเมื่อปีที่แล้ว.
furthermore	นอกจากนี้	นอกจากนี้ค่าใช้จ่ายกำลังเพิ่มขึ้น.
gain	ได้รับ	นักเรียนได้รับความมั่นใจอย่างรวดเร็ว.
gang	แก๊ง	แก๊งควบคุมถนน.
generate	ผลิต	แผงโซลาร์เซลล์ผลิตไฟฟ้า.
genre	ประเภท	ตลกเป็นประเภทที่เธอชอบที่สุด.
govern	ควบคุม	กฎหมายควบคุมการใช้จ่ายสาธารณะ.
grab	คว้า	เขาคว้าแขนฉัน.
gradually	ค่อยๆ	ความเจ็บปวดค่อยๆหายไป.
grand	ยิ่งใหญ่	โรงแรมมีทางเข้ายิ่งใหญ่.
grant	ทุน	ทุนจ่ายค่าอุปกรณ์.
guarantee	รับประกัน	ตั๋วรับประกันการเข้า.
handle	จัดการ	เธอจัดการคำร้องเรียนอย่างสงบ.
harm	อันตราย	การสูบบุหรี่อาจทำอันตรายต่อสุขภาพ.
harmful	เป็นอันตราย	สารเคมีนั้นเป็นอันตราย.
hearing	การได้ยิน	การได้ยินของเธอดีขึ้น.
heaven	สวรรค์	พวกเขาจินตนาการถึงสวรรค์เบื้องบน.
heel	ส้นเท้า	ส้นเท้าของเขาเจ็บมาก.
hell	นรก	การเดินทางนั้นเหมือนนรก.
hesitate	ลังเล	อย่าลังเลที่จะถาม.
hollow	กลวง	ต้นไม้กลวงข้างใน.
holy	ศักดิ์สิทธิ์	พวกเขาไปเยือนสถานที่ศักดิ์สิทธิ์.
honour	เกียรติยศ	พวกเขาต่อสู้เพื่อเกียรติยศ.
household	ครัวเรือน	แต่ละครัวเรือนได้รับน้ำ.
housing	ที่อยู่อาศัย	ค่าใช้จ่ายที่อยู่อาศัยเพิ่มขึ้นต่อไป.
humorous	มีอารมณ์ขัน	เรื่องของเขามีอารมณ์ขัน.
humour	อารมณ์ขัน	อารมณ์ขันช่วยลดความตึงเครียด.
hunting	การล่าสัตว์	การล่าสัตว์ถูกห้ามที่นี่.
illustrate	อธิบายด้วยตัวอย่าง	ตัวอย่างอธิบายกฎ.
illustration	ภาพประกอบ	ภาพประกอบแสดงกระบวนการ.
imagination	จินตนาการ	เด็กๆใช้จินตนาการอย่างอิสระ.
impatient	ใจร้อน	คนขับเริ่มใจร้อน.
imply	บอกเป็นนัย	ความเงียบของเขาอาจบอกเป็นนัยว่าเห็นด้วย.
impose	กำหนด	ศาลกำหนดค่าปรับ.
impress	ทำให้ประทับใจ	ความกล้าหาญของเธอทำให้ทุกคนประทับใจ.
impressed	ประทับใจ	ฉันประทับใจกับงานของเธอ.
inch	นิ้ว	ขยับมันไปทางซ้ายหนึ่งนิ้ว.
incident	เหตุการณ์	เหตุการณ์นั้นทำให้เกิดความกังวล.
income	รายได้	รายได้ของพวกเขาเพิ่มขึ้นช้าๆ.
increasingly	มากขึ้นเรื่อยๆ	ที่อยู่อาศัยแพงขึ้นเรื่อยๆ.
industrial	อุตสาหกรรม	เมืองมีรากฐานอุตสาหกรรม.
infection	การติดเชื้อ	การติดเชื้อแพร่กระจายอย่างรวดเร็ว.
inform	แจ้ง	กรุณาแจ้งผู้จัดการ.
initial	เริ่มแรก	ต้นทุนเริ่มแรกสูง.
initially	ในตอนแรก	ในตอนแรกไม่มีใครเชื่อเขา.
initiative	โครงการริเริ่ม	เธอเริ่มโครงการริเริ่มใหม่.
inner	ด้านใน	ประตูด้านในล็อกอยู่.
insight	ความเข้าใจลึกซึ้ง	รายงานให้ความเข้าใจลึกซึ้งที่มีประโยชน์.
insist	ยืนกราน	พวกเขายืนกรานเรื่องการตรวจความปลอดภัย.
inspire	สร้างแรงบันดาลใจ	เรื่องของเธออาจสร้างแรงบันดาลใจให้คนอื่น.
install	ติดตั้ง	พวกเขาติดตั้งเครื่องทำความร้อนใหม่.
instance	กรณี	นี่เป็นกรณีที่ชัดเจนหนึ่งกรณี.
