source_headword	ID	example_ID
utility	utilitas	Apartemen tersebut mencakup semua biaya utilitas.
utilize	memanfaatkan	Tim memanfaatkan data yang tersedia.
utterly	sama sekali	Penjelasannya sama sekali membingungkan.
vacuum	kekosongan	Kekosongan dalam kepemimpinan menciptakan ketegangan.
vague	samar	Jawabannya samar dan lemah.
validity	validitas	Studi tersebut mempertanyakan validitas tes tersebut.
vanish	lenyap	File tersebut lenyap dari folder.
variable	variabel	Harga adalah salah satu variabel penting.
varied	bervariasi	Kursus ini menawarkan tugas yang bervariasi.
vein	pembuluh darah	Perawat menemukan pembuluh darah dengan cepat.
venture	usaha	Usaha baru itu menarik minat para investor.
verbal	lisan	Mereka mencapai kesepakatan lisan.
verdict	putusan	Juri membacakan putusannya.
verify	memverifikasi	Harap verifikasi alamat email Anda.
verse	bait	Dia mengutip satu bait dari puisi itu.
versus	melawan	Perdebatan itu adalah privasi melawan keamanan.
vessel	kapal	Kapal itu membawa gandum melintasi laut.
veteran	veteran	Veteran itu melatih staf baru.
viable	layak	Proposal itu layak secara finansial.
vibrant	hidup	Kota ini memiliki dunia seni yang hidup.
vice	sifat buruk	Keserakahan adalah sifat buruk terbesarnya.
vicious	kejam	Serangan kejam itu mengejutkan kota.
villager	penduduk desa	Seorang penduduk desa memandu kami ke sungai.
violate	melanggar	Perusahaan mungkin melanggar aturan keselamatan.
violation	pelanggaran	Inspektur melaporkan pelanggaran serius.
virtue	kebajikan	Kesabaran adalah kebajikan yang penting.
vocal	vokal	Dia vokal tentang keputusan tersebut.
vow	bersumpah	Dia bersumpah untuk menyelesaikan pekerjaan itu.
vulnerability	kerentanan	Audit tersebut mengungkapkan kerentanan keamanan.
vulnerable	rentan	Anak-anak rentan selama cuaca panas ekstrem.
ward	bangsal	Pasien tersebut pindah ke bangsal lain.
warehouse	gudang	Gudang tersebut menyimpan suku cadang.
warfare	peperangan	Peperangan modern bergantung pada teknologi.
warrant	surat perintah	Polisi menunjukkan surat perintah penggeledahan.
warrior	prajurit	Prajurit itu melindungi desa.
weaken	melemahkan	Cedera itu melemahkan cengkeramannya.
weave	menganyam	Dia belajar menganyam keranjang.
weed	rumput liar	Rumput liar tumbuh di antara bebatuan.
well	sumur	Sumur desa mengering.
well-being	kesejahteraan	Tidur sangat penting untuk kesejahteraan.
whatsoever	sama sekali	Dia tidak menunjukkan ketertarikan sama sekali.
whereby	di mana	Undang-undang tersebut menciptakan sistem di mana keluarga dapat mengajukan banding.
whilst	sementara	Dia bekerja sementara pria itu beristirahat.
whip	mengibas	Angin bisa mengibas bendera-bendera itu.
wholly	sepenuhnya	Keputusan itu sepenuhnya tidak terduga.
widen	memperlebar	Kota tersebut berencana untuk memperlebar jalan.
widow	janda	Janda itu tinggal di dekat sekolah.
width	lebar	Ukur lebar pintunya.
willingness	kesediaan	Kesediaannya untuk membantu mengesankan semua orang.
wipe	mengelap	Lap layarnya dengan kain.
wit	kecerdasan	Kecerdasannya membuat pidato itu hidup.
withdrawal	penarikan	Penarikan dana menunda proyek tersebut.
workout	latihan	Latihan berlangsung selama empat puluh menit.
worship	ibadah	Orang-orang berkumpul untuk beribadah saat fajar.
worthwhile	berharga	Perjalanan itu sangat berharga.
worthy	layak	Amal itu layak mendapat dukungan.
yell	berteriak	Jangan berteriak pada staf.
yield	hasil	Hasil pertanian meningkat musim ini.
youngster	anak muda	Anak muda itu menanyakan banyak pertanyaan.
