source_headword	MS	example_MS
attack	menyerang; serangan	Anjing itu mungkin menyerang.
attend	menghadiri; hadir	Saya menghadiri kelas hari ini.
attention	perhatian	Sila beri perhatian sekarang.
attractive	menarik; memikat	Taman itu menarik.
audience	penonton; hadirin	Penonton itu senyap.
author	pengarang; penulis	Pengarang itu menulis buku ini.
available	tersedia; ada	Makanan tersedia sekarang.
average	purata; biasa	Markah purata itu baik.
avoid	mengelakkan; hindari	Elakkan jalan yang sibuk.
award	anugerah; hadiah	Dia memenangi anugerah.
awful	teruk; sangat buruk	Cuaca itu sangat buruk.
background	latar belakang	Lukisan itu ada latar belakang gelap.
badly	dengan buruk; teruk	Dia bermain dengan buruk hari ini.
bar	bar; palang	Kami bertemu di bar hotel.
baseball	besbol	Besbol popular di sini.
based	berdasarkan; berasaskan	Filem itu berdasarkan sebuah buku.
basketball	bola keranjang	Kami bermain bola keranjang selepas sekolah.
bean	kacang	Kacang ini hijau.
bear (animal)	beruang	Seekor beruang tinggal di hutan.
beat	mengalahkan; memukul	Pasukan kami boleh mengalahkan mereka.
beef	daging lembu	Saya makan daging lembu untuk makan malam.
behave	berkelakuan; bersikap	Sila berkelakuan baik di kelas.
behaviour	tingkah laku	Tingkah lakunya sopan.
belong	milik; tergolong	Kasut ini milik saya.
belt	tali pinggang	Tali pinggangnya hitam.
benefit	manfaat; faedah	Senaman ada manfaat sebenar.
billion	bilion	Satu bilion ialah nombor yang sangat besar.
bin	tong sampah	Masukkan kertas ke dalam tong sampah.
biology	biologi	Biologi ialah kelas terbaik saya.
birth	kelahiran	Kelahirannya pada bulan Mei.
biscuit	biskut	Dia makan biskut.
bit	sedikit; bahagian kecil	Saya perlukan sedikit masa lagi.
blank	kosong; ruang kosong	Tulis nama anda di ruang kosong.
blood	darah	Darah berwarna merah.
blow	meniup; bertiup	Angin boleh bertiup kuat.
board	papan	Tulisnya di papan.
boil	mendidih; merebus	Rebus air itu dahulu.
bone	tulang	Anjing itu ada tulang.
borrow	meminjam	Boleh saya pinjam pen anda?
boss	bos; ketua	Bos saya mesra.
bottom	bahagian bawah	Tandatangan di bahagian bawah.
bowl	mangkuk	Mangkuk itu penuh.
brain	otak	Otak anda perlu berehat.
bridge	jambatan	Jambatan itu lama.
bright	terang; cerah	Bilik itu terang.
brilliant	cemerlang; hebat	Idea itu cemerlang.
broken	rosak; patah	Kerusi itu rosak.
brush	berus; memberus	Berus gigi anda sekarang.
burn	membakar; terbakar	Jangan bakar roti itu.
businessman	ahli perniagaan	Ahli perniagaan itu tiba awal.
button	butang	Tekan butang merah itu.
camp	berkhemah; kem	Kami berkhemah dekat tasik.
camping	perkhemahan	Perkhemahan menyeronokkan pada musim panas.
can2	tin	Buka tin itu dengan berhati-hati.
care	penjagaan; mengambil berat	Jaga kesihatan anda.
careful	berhati-hati; cermat	Berhati-hati di tangga.
carefully	dengan berhati-hati	Baca soalan itu dengan berhati-hati.
carpet	permaidani	Permaidani itu lembut.
cartoon	kartun	Kartun ini lucu.
case	bekas; kes	Letakkannya di dalam bekas.
cash	tunai	Saya membayar dengan tunai.
castle	istana	Istana itu sangat lama.
catch	menangkap; menyambut	Tangkap bola itu sekarang.
cause	sebab; menyebabkan	Hujan boleh menyebabkan masalah.
celebrate	meraikan; menyambut	Kami meraikan hari jadi saya.
celebrity	selebriti	Selebriti itu sangat baik hati.
certain	pasti; tertentu	Saya pasti tentang perkara ini.
certainly	tentu; sudah tentu	Saya tentu akan membantu.
chance	peluang	Anda ada peluang.
character	watak; perwatakan	Watak ini berani.
charity	badan amal; amal	Badan amal itu membantu kanak-kanak.
chat	berbual; sembang	Kami berbual selepas kelas.
chef	cef; tukang masak	Cef itu membuat sup.
chemistry	kimia	Kimia sukar bagi saya.
chip	kerepek; cip	Kerepek ini masin.
choice	pilihan	Pilihan ini penting.
church	gereja	Gereja itu dekat sini.
cigarette	rokok	Rokok tidak baik untuk kesihatan.
circle	bulatan; lingkaran	Lukis bulatan di sini.
classical	klasik	Saya menikmati muzik klasik.
clear	jelas; terang	Jawapan itu jelas.
clearly	dengan jelas	Sila bercakap dengan jelas.
clever	pandai; bijak	Dia kanak-kanak yang bijak.
climate	iklim	Iklim sedang berubah.
close2	dekat	Sekolah saya dekat dengan rumah.
closed	tutup; tertutup	Kedai itu tutup.
clothing	pakaian	Pakaian hangat berguna.
cloud	awan	Awan menutup matahari.
coach	jurulatih	Jurulatih itu membantu pasukan.
coast	pantai; pesisir	Kami memandu sepanjang pantai.
code	kod	Masukkan kod itu di sini.
colleague	rakan sekerja	Rakan sekerja saya menelefon.
collect	mengumpul; mengutip	Saya mengumpul kad lama.
column	lajur; tiang	Baca lajur pertama.
comedy	komedi	Komedi ini lucu.
comfortable	selesa	Kerusi ini selesa.
comment	komen; ulasan	Tinggalkan komen di bawah.
communicate	berkomunikasi	Kami berkomunikasi melalui e-mel.
community	komuniti; masyarakat	Komuniti kami mesra.
compete	bertanding; bersaing	Mereka bertanding setiap tahun.
competition	pertandingan; persaingan	Pertandingan bermula esok.
complain	mengadu; merungut	Jangan mengadu lagi.
completely	sepenuhnya; sama sekali	Saya setuju sepenuhnya dengan anda.
condition	keadaan; syarat	Kereta itu dalam keadaan baik.
conference	persidangan; konferens	Persidangan bermula pukul sembilan.
connect	menyambung; menghubungkan	Sambungkan telefon ke komputer.
connected	tersambung; berkaitan	Dua idea itu berkaitan.
consider	mempertimbangkan	Sila pertimbangkan idea saya.
contain	mengandungi	Kotak ini mengandungi buku.
context	konteks	Konteks membantu anda memahami.
continent	benua	Sebuah benua sangat besar.
continue	meneruskan; berterusan	Sila teruskan membaca.
control	mengawal; kawalan	Kawal kelajuan dengan berhati-hati.
cooker	dapur; periuk memasak	Dapur itu bersih.
copy	salinan; menyalin	Buat salinan untuk saya.
corner	sudut; penjuru	Duduk di sudut.
correctly	dengan betul	Tulis jawapan itu dengan betul.
count	mengira; kiraan	Kira buku-buku itu.
couple	pasangan	Pasangan itu tiba awal.
cover	menutup; penutup	Tutup mangkuk itu.
crazy	gila; pelik	Idea ini kedengaran gila.
creative	kreatif	Dia ada idea kreatif.
credit	kredit; penghargaan	Saya membayar dengan kad kredit.
crime	jenayah	Jenayah ialah masalah serius.
criminal	penjenayah; jenayah	Penjenayah itu pergi dengan cepat.
cross	menyeberang; silang	Seberang jalan dengan berhati-hati.
crowd	orang ramai	Orang ramai menunggu di luar.
crowded	sesak; penuh	Kereta api itu sesak.
cry	menangis	Jangan menangis sekarang.
cupboard	almari; kabinet	Cawan berada di dalam almari.
curly	kerinting	Dia ada rambut kerinting.
cycle	berbasikal; kitaran	Saya berbasikal ke sekolah.
daily	harian; setiap hari	Saya membaca berita setiap hari.
danger	bahaya	Papan tanda itu menunjukkan bahaya.
data	data	Data ini berguna.
dead	mati	Tumbuhan itu mati.
deal	tawaran; urusan	Ini tawaran yang baik.
death	kematian	Kematian ialah topik yang sukar.
decision	keputusan	Buat keputusan hari ini.
deep	dalam	Air itu dalam.
definitely	pasti; tentu	Saya pasti mahu teh.
degree	ijazah; darjah	Ijazah saya dalam sejarah.
dentist	doktor gigi	Doktor gigi memeriksa gigi saya.
department	jabatan; bahagian	Bahagian kasut di tingkat atas.
depend	bergantung	Ia bergantung pada cuaca.
desert	gurun; meninggalkan	Gurun itu sangat kering.
designer	pereka	Pereka itu membuat gaun ini.
destroy	memusnahkan; merosakkan	Jangan musnahkan fail itu.
detective	detektif; penyiasat	Detektif itu menemukan kunci.
develop	membangunkan; mengembangkan	Mereka membangunkan aplikasi baharu.
device	peranti; alat	Peranti ini berguna.
diary	diari	Dia menulis dalam diarinya.
differently	dengan cara berbeza	Kami melakukannya dengan cara berbeza.
digital	digital	Ini kamera digital.
direct	terus; langsung	Naik kereta api terus.
direction	arah	Berjalan ke arah ini.
director	pengarah	Pengarah itu suka filem itu.
disagree	tidak bersetuju	Saya tidak bersetuju dengan idea itu.
disappear	hilang	Matahari akan hilang tidak lama lagi.
disaster	bencana	Ribut itu satu bencana.
discover	menemui; menemukan	Mereka menemui pulau baharu.
discovery	penemuan	Penemuan itu mengubah sains.
discussion	perbincangan	Perbincangan itu tamat awal.
disease	penyakit	Penyakit ini serius.
distance	jarak	Jarak itu pendek.
divorced	bercerai	Ibu bapanya sudah bercerai.
document	dokumen	Simpan dokumen ini sekarang.
double	dua kali ganda; berkembar	Saya perlukan bilik berkembar.
download	memuat turun	Muat turun aplikasi itu hari ini.
drama	drama	Drama itu bermula malam ini.
drawing	lukisan	Lukisannya cantik.
dream	mimpi; bermimpi	Saya bermimpi pelik.
driving	pemanduan	Memandu pada waktu malam sukar.
drop	menjatuhkan; titik	Jangan jatuhkan gelas itu.
drug	ubat; dadah	Ubat itu membantu dia.
dry	kering; mengeringkan	Tuala itu kering.
earn	memperoleh; mendapat	Saya memperoleh wang di tempat kerja.
earth	bumi; tanah	Bumi itu bulat.
easily	dengan mudah	Dia belajar dengan mudah.
education	pendidikan	Pendidikan penting.
effect	kesan	Kesannya jelas.
either	salah satu; mana-mana	Mana-mana jawapan boleh.
electric	elektrik; berkuasa elektrik	Kereta ini elektrik.
electrical	berkaitan elektrik	Sistem elektrik itu selamat.
electricity	elektrik	Elektrik mahal di sini.
electronic	elektronik	Tiket elektronik ini berfungsi.
employ	menggaji	Mereka menggaji lima orang.
employee	pekerja	Pekerja itu bekerja keras.
employer	majikan	Majikan saya adil.
empty	kosong; mengosongkan	Bilik itu kosong.
ending	akhir; penamat	Penamatnya mengejutkan.
energy	tenaga	Hari ini saya tiada tenaga.
engine	enjin	Enjin itu bising.
engineer	jurutera	Jurutera itu membaiki jambatan.
enormous	sangat besar; besar sekali	Bangunan itu sangat besar.
enter	masuk; memasukkan	Masuk ke bilik dengan senyap.
environment	alam sekitar	Lindungi alam sekitar.
equipment	peralatan	Peralatan ini mahal.
error	ralat; kesilapan	Saya menemukan ralat.
especially	terutamanya; khususnya	Saya terutamanya suka lagu ini.
essay	esei	Tulis esei malam ini.
everyday	sehari-hari; harian	Ini bahasa Inggeris sehari-hari.
everywhere	di mana-mana	Bunga tumbuh di mana-mana.
evidence	bukti	Bukti itu jelas.
exact	tepat	Berikan nombor yang tepat.
exactly	tepat; betul-betul	Itu tepat sekali.
excellent	cemerlang; sangat baik	Kerja anda cemerlang.
except	kecuali	Semua orang datang kecuali saya.
exist	wujud	Adakah alamat ini wujud?
expect	menjangka; mengharapkan	Saya menjangka hujan esok.
experience	pengalaman; mengalami	Saya ada pengalaman dengan kanak-kanak.
experiment	eksperimen; percubaan	Eksperimen itu berjaya.
expert	pakar	Minta bantuan pakar.
explanation	penjelasan	Penjelasannya jelas.
express	menyatakan; meluahkan	Sila nyatakan pendapat anda.
expression	ungkapan; ekspresi	Ungkapan ini biasa digunakan.
extreme	melampau; ekstrem	Panas itu melampau.
extremely	sangat; amat	Ia sangat sejuk.
factor	faktor	Kos ialah satu faktor.
factory	kilang	Kilang itu tutup pukul lima.
fail	gagal	Saya tidak gagal.
fair	adil; munasabah	Harga itu adil.
fan	kipas; peminat	Hidupkan kipas.
farming	pertanian; bercucuk tanam	Pertanian ialah kerja berat.
fashion	fesyen	Fesyen berubah setiap tahun.
fear	ketakutan; takut	Ketakutan boleh menghentikan orang.
feature	ciri; fitur	Telefon ini ada ciri berguna.
feed	memberi makan	Beri makan kucing sekarang.
female	perempuan; betina	Atlet perempuan itu menang.
fiction	fiksyen; cerita rekaan	Dia membaca fiksyen pada waktu malam.
field	padang; bidang	Padang itu hijau.
fight	bergaduh; melawan	Mereka terlalu banyak bergaduh.
figure	angka; rajah; tokoh	Lihat rajah itu.
finally	akhirnya	Akhirnya kami tiba di rumah.
finger	jari	Jari saya sakit.
firstly	pertama sekali	Pertama sekali, baca soalan itu.
fishing	memancing	Memancing popular di sini.
fit	muat; sesuai	Kasut ini muat dengan baik.
fix	membaiki; menetapkan	Baiki kerusi yang rosak.
flu	selesema; flu	Saya menghidap selesema.
flying	penerbangan; terbang	Terbang itu cepat.
focus	fokus; menumpukan perhatian	Fokus pada tugas ini.
following	berikut; seterusnya	Baca ayat berikut.
foreign	asing; luar negara	Dia bercakap bahasa asing.
forest	hutan	Hutan itu tenang.
fork	garpu	Gunakan garpu.
formal	rasmi	Surat ini rasmi.
fortunately	nasib baik	Nasib baik tiada siapa cedera.
forward	ke hadapan	Bergerak ke hadapan perlahan-lahan.
fresh	segar; baharu	Roti itu segar.
