source_headword	JA	example_JA
bridge	橋	その橋は古いです。
bright	明るい;賢い	部屋は明るいです。
brilliant	すばらしい;優秀な	この考えはすばらしいです。
broken	壊れた	椅子は壊れています。
brush	ブラシ;磨く	今歯を磨いてください。
burn	燃える;焦がす	パンを焦がさないでください。
businessman	実業家;ビジネスマン	実業家は早く来ました。
button	ボタン	赤いボタンを押してください。
camp	キャンプ;野営地	湖のそばでキャンプします。
camping	キャンプ	夏のキャンプは楽しいです。
can2	缶	缶を注意して開けてください。
care	世話;注意	健康に気を付けてください。
careful	注意深い;慎重な	階段では注意してください。
carefully	注意深く;慎重に	問題を注意深く読んでください。
carpet	じゅうたん	じゅうたんは柔らかいです。
cartoon	アニメ;漫画映画	このアニメは面白いです。
case	場合;ケース	それをケースに入れてください。
cash	現金	現金で払いました。
castle	城	城はとても古いです。
catch	捕まえる;受ける	今ボールを捕ってください。
cause	原因;引き起こす	雨は問題を引き起こすことがあります。
celebrate	祝う	私の誕生日を祝います。
celebrity	有名人	その有名人はとても親切でした。
certain	確かな;ある	それについては確かです。
certainly	確かに;もちろん	もちろん手伝います。
chance	機会;チャンス	あなたにはチャンスがあります。
character	登場人物;性格	この登場人物は勇敢です。
charity	慈善団体;慈善	慈善団体は子どもを助けます。
chat	おしゃべりする;チャット	授業の後でおしゃべりします。
chef	料理長;シェフ	シェフはスープを作りました。
chemistry	化学	化学は私には難しいです。
chip	チップ;ポテトチップ	このポテトチップはしょっぱいです。
choice	選択	この選択は重要です。
church	教会	教会は近くにあります。
cigarette	たばこ	たばこは健康に悪いです。
circle	円;丸で囲む	ここに円を描いてください。
classical	クラシックの;古典的な	クラシック音楽が好きです。
clear	明確な;片付ける	答えは明確です。
clearly	はっきりと	はっきり話してください。
clever	賢い	彼女は賢い子どもです。
climate	気候	気候は変わっています。
close2	近い	私の学校は家に近いです。
closed	閉まっている	店は閉まっています。
clothing	衣服;服	暖かい服は役に立ちます。
cloud	雲	雲が太陽を隠しています。
coach	コーチ;長距離バス	コーチがチームを助けました。
coast	海岸	私たちは海岸に沿って旅しました。
code	コード;暗証番号	ここにコードを入力してください。
colleague	同僚	同僚が私に電話しました。
collect	集める;収集する	私は古いカードを集めます。
column	列	最初の列を読んでください。
comedy	喜劇;コメディ	このコメディは面白いです。
comfortable	快適な	この椅子は快適です。
comment	コメント;意見を書く	下にコメントを残してください。
communicate	連絡する;意思疎通する	メールで連絡します。
community	地域社会;共同体	私たちの地域社会は親切です。
compete	競争する;出場する	彼らは毎年競争します。
competition	競争;大会	大会は明日始まります。
complain	文句を言う;苦情を言う	また文句を言わないでください。
completely	完全に	私はあなたに完全に賛成です。
condition	状態;条件	車は良い状態です。
conference	会議	会議は九時に始まります。
connect	つなぐ;接続する	電話をコンピューターにつないでください。
connected	つながった;関連した	この二つの考えは関連しています。
consider	考慮する	私の考えを考慮してください。
contain	含む;入っている	この箱には本が入っています。
context	文脈;背景	文脈は理解を助けます。
continent	大陸	その大陸はとても大きいです。
continue	続ける	読み続けてください。
control	管理;制御する	速度を注意して制御してください。
cooker	コンロ;調理器	コンロはきれいです。
copy	コピー;写し	私にコピーを作ってください。
corner	角;隅	隅に座ってください。
correctly	正しく	答えを正しく書いてください。
count	数える;数	本を数えてください。
couple	一組;夫婦	その夫婦は早く来ました。
cover	覆う;表紙	ボウルを覆ってください。
crazy	狂った;変な	この考えは変に聞こえます。
creative	創造的な	彼女には創造的な考えがあります。
credit	信用;クレジット	クレジットカードで払いました。
crime	犯罪	犯罪は深刻な問題です。
criminal	犯罪者;犯罪の	犯罪者は急いで去りました。
cross	渡る;十字	注意して道を渡ってください。
crowd	群衆;人混み	群衆は外で待っていました。
crowded	混雑した	電車は混雑していました。
cry	泣く;叫び声	今泣かないでください。
cupboard	戸棚;食器棚	カップは食器棚にあります。
curly	巻き毛の	彼女は巻き毛です。
cycle	自転車に乗る;周期	私は自転車で学校へ行きます。
daily	毎日の;日常の	私は毎日ニュースを読みます。
danger	危険	標識は危険を示しています。
data	データ	このデータは役に立ちます。
dead	死んだ	植物は死んでいます。
deal	取引;合意	これは良い取引です。
death	死	死は難しい話題です。
decision	決定	今日決定をしてください。
deep	深い	水は深いです。
definitely	確かに;絶対に	私は絶対にお茶が欲しいです。
degree	学位;度	私の学位は歴史です。
dentist	歯医者	歯医者が私の歯を調べました。
department	部門;売り場	靴売り場は上の階です。
depend	頼る;次第である	それは天気次第です。
desert	砂漠	砂漠はとても乾いています。
designer	デザイナー	デザイナーがこの服を作りました。
destroy	破壊する	そのファイルを破壊しないでください。
detective	探偵	探偵は鍵を見つけました。
develop	発展させる;開発する	彼らは新しいアプリを開発します。
device	装置;デバイス	この装置は役に立ちます。
diary	日記	彼女は日記を書きます。
differently	違って;別の方法で	私たちは別の方法でします。
digital	デジタルの	これはデジタルカメラです。
direct	直接の;指揮する	直通電車に乗ってください。
direction	方向	この方向へ行ってください。
director	監督;取締役	監督は映画を気に入りました。
disagree	同意しない	私はこの考えに同意しません。
disappear	消える	太陽はすぐ消えます。
disaster	災害;大失敗	嵐は災害でした。
discover	発見する	彼らは新しい島を発見します。
discovery	発見	その発見は科学を変えました。
discussion	話し合い;議論	話し合いは早く終わりました。
disease	病気	この病気は深刻です。
distance	距離	距離は短いです。
divorced	離婚した	彼女の両親は離婚しています。
document	書類;文書化する	今この書類を保存してください。
double	二重の;ダブルの	ダブルの部屋が必要です。
download	ダウンロードする	今日アプリをダウンロードしてください。
drama	ドラマ;劇	ドラマは今夜始まります。
drawing	絵;図	彼女の絵はきれいです。
dream	夢;夢を見る	変な夢を見ました。
driving	運転	夜の運転は難しいです。
drop	落とす;しずく	グラスを落とさないでください。
drug	薬;麻薬	その薬は彼を助けました。
dry	乾いた;乾かす	タオルは乾いています。
earn	稼ぐ	私は仕事でお金を稼ぎます。
earth	地球;土	地球は丸いです。
easily	簡単に	彼女は簡単に学びます。
education	教育	教育は重要です。
effect	効果;影響	効果は明らかでした。
either	どちらか;どちらも	二つの答えの一つが合います。
electric	電気の	この車は電気自動車です。
electrical	電気の	電気系統は安全です。
electricity	電気	ここでは電気が高いです。
electronic	電子の	この電子チケットは使えます。
employ	雇う	彼らは五人を雇います。
employee	従業員	従業員はよく働きます。
employer	雇用主	私の雇用主は公平です。
empty	空の;空にする	部屋は空です。
ending	終わり;結末	結末は予想外でした。
energy	エネルギー;元気	今日は元気がありません。
engine	エンジン	エンジンはうるさいです。
engineer	技師;エンジニア	技師が橋を直しました。
enormous	巨大な	建物は巨大です。
enter	入る;入力する	静かに部屋に入ってください。
environment	環境	環境を守ってください。
equipment	設備;装備	この設備は高いです。
error	誤り;エラー	誤りを見つけました。
especially	特に	私はこの歌が特に好きです。
essay	作文;小論文	今夜作文を書いてください。
everyday	日常の	これは日常英語です。
everywhere	どこでも;至る所	花はどこでも育ちます。
evidence	証拠	証拠は明らかです。
exact	正確な	正確な数を言ってください。
exactly	正確に;ちょうど	それは正確に正しいです。
excellent	優秀な;すばらしい	あなたの仕事はすばらしいです。
except	を除いて	私を除いて全員が来ました。
exist	存在する	この住所は存在しますか。
expect	予想する;期待する	明日は雨を予想しています。
experience	経験	私は子どもとの経験があります。
experiment	実験	実験はうまくいきました。
expert	専門家	専門家に助けを求めてください。
explanation	説明	彼女の説明は明確でした。
express	表現する	意見を表現してください。
expression	表現;言い回し	この表現はよく使います。
extreme	極端な	暑さは極端でした。
extremely	非常に;極めて	非常に寒いです。
factor	要因	費用は一つの要因です。
factory	工場	工場は五時に閉まります。
fail	失敗する;落ちる	私は試験に落ちませんでした。
fair	公平な	価格は公平です。
fan	扇風機;ファン	扇風機をつけてください。
farming	農業	農業は大変な仕事です。
fashion	流行;ファッション	流行は毎年変わります。
fear	恐れ;怖がる	恐れは人を止めます。
feature	特徴;機能	この電話には便利な機能があります。
feed	餌をやる;餌	今猫に餌をやってください。
female	女性の;雌の	女性の選手が勝ちました。
fiction	小説;フィクション	彼女は夜に小説を読みます。
field	畑;分野	畑は緑です。
fight	戦う;けんか	彼らはけんかしすぎます。
figure	図;数字	その図を見てください。
finally	ついに;やっと	ついに家に着きました。
finger	指	指が痛いです。
firstly	まず;第一に	まず問題を読んでください。
fishing	釣り	ここでは釣りが人気です。
fit	合う;適合する	この靴はよく合います。
fix	直す;固定する	壊れた椅子を直してください。
flu	インフルエンザ	インフルエンザにかかっています。
flying	飛行;飛ぶ	飛行は速いです。
focus	集中する;焦点	この課題に集中してください。
following	次の;以下の	次の文を読んでください。
foreign	外国の	彼女は外国語を話します。
forest	森	森は静かです。
fork	フォーク	フォークを使ってください。
formal	正式な	この手紙は正式です。
fortunately	幸いにも	幸いにも誰もけがをしませんでした。
forward	前へ	ゆっくり前へ進んでください。
fresh	新鮮な	パンは新鮮です。
