source_headword	ES	example_ES
metaphor	la metáfora	El poema utiliza una fuerte metáfora.
miner	el minero	El minero trabajaba bajo tierra.
miserable	miserable	La lluvia hizo que el picnic fuera miserable.
mode	el modo	Cambia la cámara al modo nocturno.
modest	modesto	Viven en una casa modesta.
monster	el monstruo	La historia tiene un monstruo aterrador.
monthly	mensual	Pagamos el alquiler mensualmente.
monument	el monumento	El monumento está cerca del río.
moreover	además	Además, el plan ahorra dinero.
mortgage	la hipoteca	Solicitaron una hipoteca.
mosque	la mezquita	La mezquita está cerca del mercado.
motion	el movimiento	El sensor detecta el movimiento.
motivate	motivar	Los elogios pueden motivar a los estudiantes.
motivation	la motivación	Su motivación se mantuvo fuerte.
moving	conmovedor	El discurso fue conmovedor.
myth	el mito	El mito explica el nombre de la montaña.
naked	desnudo	El bebé estaba desnudo después del baño.
nasty	feo	El corte tenía mal aspecto.
navigation	la navegación	La aplicación mejora la navegación.
nearby	cercano	Una cafetería cercana abre temprano.
necessity	la necesidad	El agua limpia es una necesidad.
negotiate	negociar	Negocian el contrato mañana.
negotiation	la negociación	La negociación duró toda la mañana.
neutral	neutral	El juez se mantuvo neutral.
newly	recién	La puerta recién pintada se veía brillante.
norm	la norma	El trabajo remoto se convirtió en la norma.
notebook	el cuaderno	Escribe notas en tu cuaderno.
novelist	el novelista	La novelista firmó su libro.
nowadays	hoy en día	Hoy en día, muchas personas trabajan online.
nursing	la enfermería	Ella está estudiando enfermería.
nutrition	la nutrición	Una buena nutrición favorece la salud.
obesity	la obesidad	La obesidad aumenta los riesgos para la salud.
observer	el observador	El observador registró los resultados.
obstacle	el obstáculo	El árbol caído era un obstáculo.
occupation	la ocupación	Por favor, escriba su ocupación aquí.
occupy	ocupar	La familia ocupará el apartamento.
offender	el delincuente	El delincuente se disculpó en el tribunal.
ongoing	en curso	La investigación está en curso.
openly	abiertamente	Habló abiertamente de sus miedos.
opera	la ópera	Vimos una ópera en Milán.
operator	el operador	El operador conectó la llamada.
optimistic	optimista	Se siente optimista sobre el futuro.
orchestra	la orquesta	La orquesta tocó suavemente.
organic	orgánico	Compraron verduras orgánicas.
outfit	el atuendo	Su atuendo combinaba con la ocasión.
output	la producción	La producción de la máquina aumentó.
outstanding	excepcional	Su actuación fue excepcional.
overcome	superar	Superan los problemas juntos.
overnight	durante la noche	El paquete llegó durante la noche.
overseas	en el extranjero	Encontró trabajo en el extranjero.
ownership	la propiedad	La propiedad del terreno cambió.
oxygen	el oxígeno	Las plantas producen oxígeno.
packet	el paquete	Abre el paquete con cuidado.
palm	la palma	Sostén la moneda en tu palma.
panic	el pánico	El pánico se extendió por la multitud.
parade	el desfile	El desfile comenzó al mediodía.
parallel	paralelo	Las carreteras corren paralelas.
participation	la participación	La participación en clase mejoró.
partnership	la asociación	La asociación ayudó a ambas empresas.
part-time	a tiempo parcial	Encontró un trabajo a tiempo parcial.
passionate	apasionado	Le apasiona la música.
password	la contraseña	Elige una contraseña segura.
patience	la paciencia	Enseñar a niños pequeños requiere paciencia.
pause	pausar	Pausa el vídeo ahora.
peer	el compañero	La presión de sus compañeros influyó en su elección.
penalty	el penalti	El jugador recibió un penalti.
perceive	percibir	Las personas perciben el riesgo de forma diferente.
perception	la percepción	Su percepción del peligro cambió.
permanently	permanentemente	La tienda cerró permanentemente.
pill	la pastilla	Toma una pastilla después del desayuno.
pity	la lástima	Es una lástima.
placement	la colocación	La colocación del sofá importa.
portion	la porción	Sirve una porción pequeña de arroz.
potentially	potencialmente	Este cambio es potencialmente útil.
precede	preceder	Nubes oscuras a menudo preceden a la lluvia.
precious	precioso	El anillo es precioso.
precise	preciso	Las instrucciones eran precisas.
precisely	precisamente	Mide la distancia precisamente.
predictable	predecible	El final era predecible.
preference	la preferencia	Ella expresó una preferencia por el té.
pride	el orgullo	Sintió orgullo al terminar.
primarily	principalmente	El curso es principalmente en línea.
principal	el director	El director saludó a los nuevos estudiantes.
prior	previo	Necesitamos aprobación previa.
probability	la probabilidad	La probabilidad de lluvia es alta.
probable	probable	La lluvia es probable esta noche.
proceed	proceder	Por favor, proceda a la siguiente habitación.
programming	la programación	La programación requiere práctica.
progressive	progresista	La política era progresista para su época.
prohibit	prohibir	Las reglas prohíben fumar.
promising	prometedor	Los resultados parecen prometedores.
promotion	el ascenso	Consiguió un ascenso en el trabajo.
prompt	rápido	La rápida respuesta ahorró tiempo.
proportion	la proporción	Una gran proporción votó que sí.
protein	la proteína	Los frijoles contienen proteína.
protester	el manifestante	El manifestante sostenía un cartel.
psychological	psicológico	El accidente causó estrés psicológico.
publicity	la publicidad	El evento recibió publicidad.
publishing	la edición	Ella trabaja en el sector editorial.
punk	el punk	La música punk se hizo popular allí.
purely	puramente	La elección fue puramente práctica.
pursuit	la búsqueda	Continuó su búsqueda de la justicia.
puzzle	el rompecabezas	El rompecabezas llevó una hora.
questionnaire	el cuestionario	Por favor, complete el cuestionario.
racial	racial	El informe discutió la desigualdad racial.
racism	el racismo	El racismo daña a las comunidades.
racist	racista	El comentario fue racista.
radiation	la radiación	La radiación puede dañar las células.
rail	la barandilla	Agárrate a la barandilla en las escaleras.
random	aleatorio	El ordenador eligió un número aleatorio.
rat	la rata	Una rata corrió detrás de los contenedores.
rating	la calificación	El hotel tiene una calificación alta.
reasonably	razonablemente	La habitación estaba razonablemente limpia.
rebuild	reconstruir	Reconstruirán el puente.
receiver	el receptor	El receptor atrapó el balón.
recession	la recesión	La recesión redujo el gasto.
reckon	creer	Creo que el tren llega tarde.
recognition	el reconocimiento	Recibió reconocimiento por su trabajo.
recovery	la recuperación	La recuperación llevó varias semanas.
recruit	contratar	La empresa contratará ingenieros.
recruitment	la contratación	La contratación comienza el próximo lunes.
referee	el árbitro	El árbitro detuvo el partido.
refugee	el refugiado	El refugiado encontró un hogar seguro.
registration	el registro	El registro cierra el viernes.
regulate	regular	La ley regulará las emisiones.
reinforce	reforzar	Vigas extra refuerzan el techo.
relieve	aliviar	La medicina puede aliviar el dolor.
relieved	aliviado	Se sintió aliviada después de la llamada.
remarkable	notable	La recuperación fue notable.
remarkably	notablemente	Se recuperó notablemente rápido.
reporting	el informe	Los informes precisos son importantes.
resign	renunciar	El gerente renunciará mañana.
resolution	la resolución	La pantalla tiene alta resolución.
restore	restaurar	Los trabajadores restauran la vieja pintura.
restrict	restringir	Las reglas restringen el estacionamiento.
restriction	la restricción	La restricción termina mañana.
retail	el comercio minorista	Las ventas minoristas aumentaron.
retirement	la jubilación	Planeó su jubilación cuidadosamente.
revenue	los ingresos	Los ingresos por entradas pagaron las reparaciones.
revision	el repaso	El repaso ayudó antes del examen.
ridiculous	ridículo	El precio era ridículo.
risky	arriesgado	El plan parecía arriesgado.
rival	el rival	Nuestro rival abrió una nueva tienda.
rob	robar	Los hombres intentaron robar el banco.
robbery	el robo	El robo ocurrió por la noche.
rocket	el cohete	El cohete se lanzó con éxito.
romance	el romance	La novela incluye un romance.
rose	la rosa	Una rosa roja crecía junto a la valla.
roughly	aproximadamente	Asistieron aproximadamente veinte personas.
ruin	arruinar	La lluvia podría arruinar el picnic.
satisfaction	la satisfacción	La satisfacción del cliente mejoró.
scandal	el escándalo	El escándalo dañó su carrera.
scare	el susto	El fuerte ruido me dio un susto.
scenario	el escenario	El peor escenario es poco probable.
scholar	el erudito	El erudito estudiaba textos antiguos.
scholarship	la beca	Ella ganó una beca.
scratch	el arañazo	El gato dejó un arañazo.
screening	la prueba de detección	El hospital ofrece pruebas de detección de cáncer.
seeker	el buscador	El buscador de empleo envió solicitudes.
seminar	el seminario	El seminario comienza a las nueve.
settler	el colono	El colono construyó una pequeña granja.
severely	gravemente	La tormenta dañó gravemente las carreteras.
sexy	sexy	El vestido se consideraba sexy.
shocking	impactante	La noticia fue impactante.
shore	la orilla	Caminamos por la orilla.
shortage	la escasez	La ciudad enfrentó una escasez de agua.
shortly	poco	El autobús llegó poco después del mediodía.
short-term	a corto plazo	El plan tiene beneficios a corto plazo.
sibling	el hermano o hermana	Cada hermano o hermana recibió un regalo.
signature	la firma	Por favor, añade tu firma.
significance	la importancia	El descubrimiento tiene gran importancia.
skilled	cualificado	Trabajadores cualificados repararon el techo.
slogan	el eslogan	La campaña usó un eslogan simple.
so-called	supuesto	El supuesto experto cometió errores.
somehow	de alguna manera	De alguna manera, las llaves desaparecieron.
sometime	en algún momento	Visítanos en algún momento de la próxima semana.
sophisticated	sofisticado	El software es sofisticado.
spare	de repuesto	Guardamos una llave de repuesto.
specialize	especializarse	Los médicos se especializan en diferentes campos.
specify	especificar	Por favor, especifique su hora de llegada.
spectacular	espectacular	Los fuegos artificiales fueron espectaculares.
spectator	el espectador	Cada espectador recibió un programa.
speculate	especular	Los expertos especulan sobre la causa.
speculation	la especulación	El artículo fomentó la especulación.
spice	la especia	Añade una especia cada vez.
spill	derramar	No derrames el zumo.
spite	a pesar de	Tuvo éxito a pesar de los problemas.
spoil	estropear	Demasiada sal puede estropear la sopa.
spokesman	el portavoz	El portavoz respondió preguntas.
spokesperson	el portavoz	El portavoz leyó una declaración.
spokeswoman	la portavoz	La portavoz se dirigió a la prensa.
sponsorship	el patrocinio	El equipo necesita patrocinio.
sporting	deportivo	La ciudad alberga eventos deportivos.
stall	el puesto	El puesto del mercado vende fruta.
stance	la postura	El ministro cambió su postura.
starve	morir de hambre	Sin comida, los animales pueden morir de hambre.
steadily	constantemente	La empresa creció constantemente.
steam	el vapor	El vapor subía de la sopa.
stimulate	estimular	Los colores brillantes pueden estimular el interés.
